Orthogroup	CquinquefasciatusJHB2020	LlongipalpisASM
OG0001525	CQUJHB002784	LOC129794659
OG0001526	CQUJHB012704, CQUJHB014960	LOC129786471
OG0001527	CQUJHB006329, CQUJHB009076, CQUJHB017472	LOC129786192
OG0001528	CQUJHB004340	LOC129786390, LOC129786377
OG0001530	CQUJHB007850	LOC129785953
OG0001532	CQUJHB014995, CQUJHB005138, CQUJHB014354	LOC129797401
OG0001533	CQUJHB008419	LOC129788033, LOC129788157, LOC129788158
OG0001534	CQUJHB004219	LOC129796090
OG0001535	CQUJHB003258	LOC129790763
OG0001536	CQUJHB008904	LOC129795103, LOC129790583
OG0001537	CQUJHB018019	LOC129795333
OG0001538	CQUJHB016634	LOC129786614
OG0001539	CQUJHB005522, CQUJHB005824	LOC129790300, LOC129793277
OG0001540	CQUJHB017730	LOC129796484
OG0001541	CQUJHB007994	LOC129797282
OG0001543	CQUJHB006512	LOC129790535
OG0001545	CQUJHB001886	LOC129791550
OG0001546	CQUJHB005770	LOC129796309
OG0001547	CQUJHB016356	LOC129795817
OG0001548	CQUJHB003089	LOC129795510
OG0001549	CQUJHB006350	LOC129790245
OG0001550	CQUJHB014932	LOC129786366
OG0001551	CQUJHB014352	LOC129789089
OG0001552	CQUJHB010857	LOC129796512
OG0001553	CQUJHB013025, CQUJHB002513	LOC129792539, LOC129793331
OG0001554	CQUJHB009869	LOC129789305
OG0001555	CQUJHB004786	LOC129791177
OG0001556	CQUJHB013580	LOC129788452
OG0001557	CQUJHB006059	LOC129785961
OG0001558	CQUJHB003402	LOC129786044
OG0001559	CQUJHB013206	LOC129796361
OG0001560	CQUJHB015935	LOC129795006
OG0001561	CQUJHB010991, CQUJHB006122	LOC129795077, LOC129795076
OG0001563	CQUJHB014177	LOC129787878
OG0001564	CQUJHB001600	LOC129793487
OG0001565	CQUJHB005831	LOC129789959
OG0001566	CQUJHB015877	LOC129793035
OG0001569	CQUJHB007989	LOC129787760
OG0001570	CQUJHB002795	LOC129793656
OG0001571	CQUJHB000043	LOC129789218
OG0001572	CQUJHB001860	LOC129788874
OG0001573	CQUJHB018479	LOC129786492
OG0001574	CQUJHB007907	LOC129793674
OG0001575	CQUJHB001494	LOC129790110
OG0001576	CQUJHB003894	LOC129788159
OG0001577	CQUJHB004564, CQUJHB000443	LOC129791301
OG0001578	CQUJHB006128	LOC129790970
OG0001579	CQUJHB017441	LOC129792659
OG0001580	CQUJHB011676	LOC129787883
OG0001582	CQUJHB001601	LOC129797368
OG0001583	CQUJHB002636, CQUJHB009009	LOC129797370
OG0001584	CQUJHB010006, CQUJHB000661	LOC129797763
OG0001585	CQUJHB002648	LOC129789268
OG0001586	CQUJHB008155, CQUJHB002063	LOC129788752
OG0001587	CQUJHB011140	LOC129787948
OG0001588	CQUJHB009152	LOC129786414, LOC129786472
OG0001589	CQUJHB014204	LOC129789338, LOC129789341
OG0001590	CQUJHB007599	LOC129792557
OG0001592	CQUJHB010271	LOC129795990
OG0001593	CQUJHB003357	LOC129795094
OG0001594	CQUJHB006598	LOC129787197, LOC129789390
OG0001595	CQUJHB012402	LOC129792937
OG0001596	CQUJHB014376	LOC129793446
OG0001597	CQUJHB006773	LOC129794506
OG0001598	CQUJHB004368	LOC129796977
OG0001599	CQUJHB004600	LOC129795862, LOC129795861
OG0001600	CQUJHB008163	LOC129787918
OG0001601	CQUJHB007829	LOC129794834
OG0001602	CQUJHB016977	LOC129793648
OG0001603	CQUJHB000521	LOC129787433
OG0001604	CQUJHB016648	LOC129791740, LOC129797719
OG0001605	CQUJHB007633	LOC129792643
OG0001606	CQUJHB014943	LOC129786475
OG0001607	CQUJHB000830	LOC129794461
OG0001608	CQUJHB011681	LOC129793958
OG0001609	CQUJHB000477	LOC129793831
OG0001610	CQUJHB015813	LOC129790774
OG0001611	CQUJHB012937	LOC129794313
OG0001612	CQUJHB006423	LOC129795496
OG0001613	CQUJHB012285	LOC129793815, LOC129786668, LOC129786729
OG0001614	CQUJHB005858	LOC129795844
OG0001615	CQUJHB003375	LOC129793898
OG0001616	CQUJHB016725	LOC129792007
OG0001617	CQUJHB018130	LOC129790376
OG0001618	CQUJHB017878	LOC129792832, LOC129787634
OG0001619	CQUJHB002341	LOC129786506, LOC129786488
OG0001620	CQUJHB013609	LOC129786438
OG0001621	CQUJHB011768, CQUJHB012013	LOC129787620
OG0001622	CQUJHB016232	LOC129792130
OG0001623	CQUJHB011721, CQUJHB000767	LOC129787944
OG0001624	CQUJHB010551	LOC129787347
OG0001625	CQUJHB017514	LOC129796179
OG0001626	CQUJHB015913	LOC129792140, LOC129797795
OG0001627	CQUJHB001936, CQUJHB014379, CQUJHB009045	LOC129797847
OG0001628	CQUJHB012184	LOC129791569
OG0001629	CQUJHB016459, CQUJHB015848	LOC129790874, LOC129789217, LOC129792829
OG0001630	CQUJHB010279	LOC129795633
OG0001631	CQUJHB012109	LOC129786221
OG0001633	CQUJHB008156	LOC129789417
OG0001634	CQUJHB006424	LOC129796839
OG0001635	CQUJHB003654	LOC129795027
OG0001636	CQUJHB010165	LOC129790733
OG0001637	CQUJHB008618	LOC129790595
OG0001638	CQUJHB002093	LOC129790797
OG0001639	CQUJHB006605	LOC129796206
OG0001640	CQUJHB003721	LOC129789851, LOC129789850, LOC129789085
OG0001641	CQUJHB000231	LOC129790175
OG0001642	CQUJHB000714	LOC129793308
OG0001643	CQUJHB018425	LOC129797437
OG0001644	CQUJHB016041	LOC129796435
OG0001645	CQUJHB016366	LOC129795123
OG0001647	CQUJHB008510	LOC129796554
OG0001648	CQUJHB013766, CQUJHB013159	LOC129787158
OG0001649	CQUJHB017997	LOC129786326, LOC129795316, LOC129786322
OG0001650	CQUJHB003344	LOC129790931
OG0001651	CQUJHB017540	LOC129790887
OG0001652	CQUJHB014777	LOC129786116
OG0001654	CQUJHB007937	LOC129789585
OG0001655	CQUJHB009976	LOC129789602
OG0001656	CQUJHB007775, CQUJHB001306, CQUJHB014954	LOC129788086
OG0001657	CQUJHB003519	LOC129789357
OG0001658	CQUJHB016441	LOC129786809
OG0001659	CQUJHB000150, CQUJHB002747	LOC129793899
OG0001660	CQUJHB005301	LOC129786022
OG0001661	CQUJHB013990	LOC129786658
OG0001662	CQUJHB003050	LOC129792648
OG0001663	CQUJHB000198, CQUJHB010700	LOC129796251
OG0001664	CQUJHB010461	LOC129790572
OG0001665	CQUJHB003592	LOC129790134
OG0001666	CQUJHB003464	LOC129789751
OG0001667	CQUJHB016693	LOC129790063
OG0001668	CQUJHB016144, CQUJHB004410	LOC129793929
OG0001669	CQUJHB016614	LOC129792436
OG0001670	CQUJHB018280	LOC129795951
OG0001671	CQUJHB014605	LOC129788616
OG0001672	CQUJHB004808	LOC129789273, LOC129789272
OG0001673	CQUJHB009227, CQUJHB016629	LOC129787185
OG0001674	CQUJHB005423	LOC129792010
OG0001675	CQUJHB003520	LOC129791982
OG0001676	CQUJHB011297	LOC129795464
OG0001677	CQUJHB014529	LOC129797117
OG0001678	CQUJHB008422	LOC129789742
OG0001679	CQUJHB015103	LOC129788938
OG0001680	CQUJHB014713	LOC129797090
OG0001681	CQUJHB010546	LOC129794747, LOC129794746
OG0001682	CQUJHB007406	LOC129788060
OG0001683	CQUJHB004950, CQUJHB009972	LOC129790728
OG0001684	CQUJHB008526, CQUJHB002176	LOC129790725
OG0001685	CQUJHB000823	LOC129793889
OG0001686	CQUJHB004481	LOC129796857
OG0001688	CQUJHB010357	LOC129797292, LOC129797293, LOC129786585
OG0001689	CQUJHB005346	LOC129787992
OG0001690	CQUJHB014540, CQUJHB003980	LOC129789156
OG0001691	CQUJHB005414, CQUJHB010951, CQUJHB004782	LOC129793247, LOC129793246
OG0001692	CQUJHB003437	LOC129790239
OG0001694	CQUJHB011260	LOC129787868
OG0001695	CQUJHB006258	LOC129786751
OG0001696	CQUJHB005828	LOC129788426
OG0001697	CQUJHB017264	LOC129792997
OG0001699	CQUJHB005748	LOC129795526
OG0001700	CQUJHB008861	LOC129793749, LOC129791126, LOC129789479
OG0001702	CQUJHB011702	LOC129789529
OG0001704	CQUJHB012572, CQUJHB008756, CQUJHB003683	LOC129785963
OG0001705	CQUJHB007470	LOC129797629
OG0001706	CQUJHB006543, CQUJHB012272	LOC129789605, LOC129795515
OG0001708	CQUJHB000812	LOC129797541, LOC129792617, LOC129792400
OG0001709	CQUJHB007914	LOC129787238, LOC129790388
OG0001710	CQUJHB011610, CQUJHB000347	LOC129796140
OG0001711	CQUJHB016971	LOC129788442
OG0001712	CQUJHB016875	LOC129789964
OG0001714	CQUJHB003137	LOC129791296
OG0001715	CQUJHB017946	LOC129796923
OG0001716	CQUJHB006814	LOC129790480
OG0001717	CQUJHB011333	LOC129789932
OG0001718	CQUJHB018202	LOC129797155
OG0001719	CQUJHB007686	LOC129791721
OG0001720	CQUJHB002212	LOC129786098
OG0001721	CQUJHB006168, CQUJHB007712	LOC129785973
OG0001722	CQUJHB002479	LOC129797064
OG0001723	CQUJHB013881	LOC129795874
OG0001724	CQUJHB009916	LOC129786652
OG0001725	CQUJHB017260, CQUJHB007806	LOC129794113
OG0001726	CQUJHB010294	LOC129792607, LOC129792727
OG0001727	CQUJHB014054	LOC129788794
OG0001728	CQUJHB005672, CQUJHB009623, CQUJHB012341	LOC129787839
OG0001730	CQUJHB013851	LOC129796021
OG0001731	CQUJHB000468	LOC129788792, LOC129791986
OG0001732	CQUJHB001251	LOC129796695
OG0001733	CQUJHB012247	LOC129786263
OG0001734	CQUJHB014775	LOC129791737, LOC129792398
OG0001735	CQUJHB012889	LOC129790824
OG0001736	CQUJHB011598	LOC129796096
OG0001737	CQUJHB010770	LOC129795468
OG0001738	CQUJHB002836	LOC129788301
OG0001739	CQUJHB014106	LOC129788022
OG0001741	CQUJHB014649	LOC129787555
OG0001742	CQUJHB018010, CQUJHB005972	LOC129792632
OG0001743	CQUJHB005038	LOC129792747
OG0001744	CQUJHB002298	LOC129787602
OG0001745	CQUJHB004240	LOC129787587
OG0001746	CQUJHB011814	LOC129797065
OG0001747	CQUJHB011101	LOC129794259
OG0001748	CQUJHB015327	LOC129786441
OG0001749	CQUJHB004574	LOC129792376
OG0001751	CQUJHB003016	LOC129794909
OG0001752	CQUJHB017723	LOC129786866
OG0001753	CQUJHB009024	LOC129796574, LOC129796573
OG0001754	CQUJHB016596	LOC129788770, LOC129788776, LOC129795979
OG0001755	CQUJHB007071	LOC129794760
OG0001756	CQUJHB000001	LOC129791759
OG0001757	CQUJHB001477	LOC129789606
OG0001758	CQUJHB006163, CQUJHB003627	LOC129789116
OG0001759	CQUJHB009632	LOC129789065
OG0001760	CQUJHB000104	LOC129787052
OG0001762	CQUJHB006380	LOC129792088
OG0001763	CQUJHB013383	LOC129791736
OG0001764	CQUJHB008019	LOC129794248
OG0001765	CQUJHB000726	LOC129793816
OG0001767	CQUJHB007408	LOC129785893
OG0001768	CQUJHB013392	LOC129792769
OG0001769	CQUJHB016399	LOC129793630
OG0001771	CQUJHB005386	LOC129788791
OG0001773	CQUJHB014243	LOC129792735
OG0001774	CQUJHB010941	LOC129789403
OG0001775	CQUJHB001066	LOC129790827
OG0001776	CQUJHB010914	LOC129793498
OG0001777	CQUJHB008806	LOC129788364
OG0001778	CQUJHB014567	LOC129797665
OG0001779	CQUJHB017194	LOC129794840
OG0001780	CQUJHB017314	LOC129794939
OG0001781	CQUJHB011216, CQUJHB010073	LOC129793429
OG0001782	CQUJHB017348, CQUJHB014146, CQUJHB002991	LOC129787820
OG0001783	CQUJHB000545, CQUJHB006275, CQUJHB002402	LOC129786246
OG0001784	CQUJHB004390	LOC129793241
OG0001785	CQUJHB000216	LOC129797674
OG0001786	CQUJHB006327	LOC129791199
OG0001787	CQUJHB001626	LOC129791381
OG0001788	CQUJHB006166	LOC129792127
OG0001789	CQUJHB000712, CQUJHB014709	LOC129792135
OG0001790	CQUJHB017495	LOC129790876
OG0001791	CQUJHB016649	LOC129786553
OG0001792	CQUJHB005200	LOC129796385
OG0001793	CQUJHB005201	LOC129792442
OG0001794	CQUJHB002450	LOC129797226
OG0001795	CQUJHB008648, CQUJHB016749	LOC129789520, LOC129789252
OG0001796	CQUJHB010066	LOC129792783
OG0001798	CQUJHB000085	LOC129787211
OG0001799	CQUJHB007772	LOC129788959
OG0001800	CQUJHB014946	LOC129788729
OG0001802	CQUJHB018409	LOC129797610
OG0001803	CQUJHB012318, CQUJHB005517	LOC129791007, LOC129791008
OG0001804	CQUJHB003242	LOC129795693
OG0001805	CQUJHB001203	LOC129790995
OG0001806	CQUJHB015805	LOC129792413
OG0001807	CQUJHB011971	LOC129791367
OG0001808	CQUJHB015768	LOC129792755
OG0001811	CQUJHB013858, CQUJHB007105	LOC129792465
OG0001812	CQUJHB009625	LOC129787649
OG0001813	CQUJHB016927	LOC129793732, LOC129793734
OG0001814	CQUJHB000841	LOC129792252
OG0001815	CQUJHB011802	LOC129787405
OG0001816	CQUJHB007213	LOC129793276
OG0001817	CQUJHB004187	LOC129790365
OG0001818	CQUJHB015469	LOC129787508
OG0001819	CQUJHB012369	LOC129789556
OG0001820	CQUJHB007965	LOC129793706
OG0001821	CQUJHB016998	LOC129791557
OG0001822	CQUJHB007572	LOC129793139
OG0001823	CQUJHB014893	LOC129791671
OG0001824	CQUJHB003487	LOC129790984
OG0001825	CQUJHB005537	LOC129795054
OG0001827	CQUJHB010570, CQUJHB017812, CQUJHB010623	LOC129787714, LOC129787776
OG0001829	CQUJHB007499, CQUJHB014883	LOC129795457
OG0001830	CQUJHB012198	LOC129795064
OG0001831	CQUJHB014199	LOC129790640
OG0001832	CQUJHB012280	LOC129795501
OG0001833	CQUJHB012719	LOC129791389
OG0001834	CQUJHB011754	LOC129792115
OG0001835	CQUJHB000069	LOC129787975
OG0001837	CQUJHB000827	LOC129787074
OG0001838	CQUJHB001157	LOC129795573
OG0001839	CQUJHB002246	LOC129791005
OG0001841	CQUJHB004226	LOC129791580
OG0001842	CQUJHB003224	LOC129794817
OG0001843	CQUJHB001883	LOC129788150
OG0001844	CQUJHB017539	LOC129797361
OG0001845	CQUJHB002279	LOC129792975
OG0001846	CQUJHB010678	LOC129796912
OG0001848	CQUJHB015143	LOC129790690
OG0001849	CQUJHB005774	LOC129796195
OG0001850	CQUJHB015673	LOC129792298
OG0001851	CQUJHB004201	LOC129797616, LOC129797574
OG0001852	CQUJHB014663	LOC129797324
OG0001853	CQUJHB009903	LOC129794826
OG0001854	CQUJHB010799	LOC129794842
OG0001855	CQUJHB002102	LOC129794073
OG0001856	CQUJHB016160	LOC129789363
OG0001857	CQUJHB018237	LOC129797241
OG0001858	CQUJHB011662	LOC129796202, LOC129796420
OG0001859	CQUJHB010404	LOC129791467
OG0001860	CQUJHB017652	LOC129796988
OG0001861	CQUJHB018021	LOC129792410
OG0001862	CQUJHB011807	LOC129787215
OG0001863	CQUJHB006953	LOC129792072
OG0001864	CQUJHB006273	LOC129790855
OG0001865	CQUJHB016972	LOC129790845
OG0001866	CQUJHB008116	LOC129795328
OG0001867	CQUJHB009413, CQUJHB013482	LOC129788957
OG0001869	CQUJHB005793	LOC129795513
OG0001870	CQUJHB010502	LOC129786560
OG0001871	CQUJHB002846	LOC129787708
OG0001873	CQUJHB017060	LOC129787651
OG0001874	CQUJHB003814	LOC129795307
OG0001875	CQUJHB003769	LOC129794108
OG0001876	CQUJHB016428	LOC129786760
OG0001879	CQUJHB015487	LOC129794824
OG0001881	CQUJHB006399	LOC129787945, LOC129794298, LOC129794305
OG0001883	CQUJHB013762	LOC129793191
OG0001884	CQUJHB010453	LOC129790026
OG0001885	CQUJHB007303	LOC129791203
OG0001886	CQUJHB007991	LOC129785854
OG0001887	CQUJHB010974	LOC129789344, LOC129789624
OG0001889	CQUJHB000173	LOC129789558
OG0001890	CQUJHB018269	LOC129796812
OG0001891	CQUJHB010310	LOC129788054
OG0001892	CQUJHB000339	LOC129787869
OG0001893	CQUJHB008767	LOC129795913
OG0001894	CQUJHB005240	LOC129790362
OG0001895	CQUJHB005279	LOC129793818
OG0001896	CQUJHB014927	LOC129788046
OG0001897	CQUJHB000796	LOC129790146
OG0001898	CQUJHB008962	LOC129793044, LOC129790873, LOC129793877
OG0001899	CQUJHB016916	LOC129788657
OG0001901	CQUJHB001292, CQUJHB007141	LOC129791155
OG0001902	CQUJHB003665, CQUJHB015274	LOC129792775
OG0001905	CQUJHB015251	LOC129787833
OG0001906	CQUJHB012925	LOC129788661
OG0001908	CQUJHB003954	LOC129787564
OG0001909	CQUJHB010206, CQUJHB007957, CQUJHB008854	LOC129790425
OG0001911	CQUJHB001039, CQUJHB017423	LOC129791574
OG0001912	CQUJHB012127	LOC129795945
OG0001913	CQUJHB010947	LOC129790847
OG0001914	CQUJHB014627	LOC129794648
OG0001915	CQUJHB003422	LOC129795734
OG0001916	CQUJHB017477	LOC129791707
OG0001917	CQUJHB016388	LOC129795172, LOC129795169
OG0001918	CQUJHB011861	LOC129790323
OG0001919	CQUJHB013909	LOC129791890
OG0001920	CQUJHB016365	LOC129789627
OG0001923	CQUJHB011173	LOC129792576
OG0001924	CQUJHB008851	LOC129788384
OG0001925	CQUJHB008947	LOC129791354
OG0001926	CQUJHB005904	LOC129789853
OG0001928	CQUJHB017584	LOC129787417
OG0001929	CQUJHB009052	LOC129790888
OG0001930	CQUJHB000488	LOC129791566
OG0001931	CQUJHB001579	LOC129788027
OG0001933	CQUJHB009853	LOC129790383
OG0001934	CQUJHB008345, CQUJHB014551	LOC129793593
OG0001937	CQUJHB005452	LOC129792078
OG0001938	CQUJHB013689	LOC129796602
OG0001939	CQUJHB015433	LOC129787144
OG0001940	CQUJHB003955	LOC129788550
OG0001941	CQUJHB017019	LOC129790566
OG0001942	CQUJHB002444	LOC129787632, LOC129787549
OG0001944	CQUJHB012856	LOC129787103
OG0001945	CQUJHB015802	LOC129788609
OG0001946	CQUJHB004460	LOC129789835
OG0001947	CQUJHB017725	LOC129793148
OG0001948	CQUJHB012140	LOC129790027
OG0001949	CQUJHB007700	LOC129791154
OG0001950	CQUJHB007473	LOC129791722
OG0001951	CQUJHB017052	LOC129788275
OG0001952	CQUJHB014332	LOC129794314
OG0001953	CQUJHB009317	LOC129793162
OG0001954	CQUJHB006751	LOC129794292
OG0001955	CQUJHB014791	LOC129792214
OG0001956	CQUJHB015498	LOC129788139
OG0001957	CQUJHB008729, CQUJHB007723	LOC129793821
OG0001958	CQUJHB015953	LOC129785990
OG0001959	CQUJHB009277	LOC129785955, LOC129786145
OG0001960	CQUJHB018138	LOC129789692, LOC129789672, LOC129795154
OG0001961	CQUJHB014631	LOC129792189
OG0001962	CQUJHB016651	LOC129796121
OG0001963	CQUJHB011444	LOC129790872
OG0001964	CQUJHB018337	LOC129793403
OG0001965	CQUJHB013662	LOC129795975
OG0001968	CQUJHB002848	LOC129790144, LOC129793916
OG0001970	CQUJHB014942, CQUJHB003598, CQUJHB006771	LOC129797434
OG0001971	CQUJHB009557	LOC129793531
OG0001974	CQUJHB003100	LOC129785856
OG0001975	CQUJHB017537, CQUJHB000395	LOC129792950, LOC129792892
OG0001976	CQUJHB002571	LOC129795962
OG0001977	CQUJHB018154	LOC129789328
OG0001978	CQUJHB012118	LOC129794833, LOC129795403
OG0001979	CQUJHB016558, CQUJHB002147	LOC129786351
OG0001980	CQUJHB016028	LOC129789419, LOC129789930
OG0001981	CQUJHB002973	LOC129796027
OG0001982	CQUJHB010272, CQUJHB001693, CQUJHB010161	LOC129789617
OG0001983	CQUJHB007443	LOC129789082
OG0001988	CQUJHB001325	LOC129795250, LOC129795018
OG0001991	CQUJHB008591, CQUJHB015134, CQUJHB016889, CQUJHB007471, CQUJHB009367	LOC129786287
OG0001998	CQUJHB006595	LOC129790854
OG0002010	CQUJHB004416	LOC129786915
OG0002027	CQUJHB015303	LOC129786348
OG0002028	CQUJHB000015	LOC129786183
OG0002029	CQUJHB000454, CQUJHB003417	LOC129786150
OG0002030	CQUJHB007781	LOC129796868
OG0002031	CQUJHB015561, CQUJHB016004	LOC129794312
OG0002032	CQUJHB007591, CQUJHB017901	LOC129796943
OG0002033	CQUJHB000201	LOC129796820
OG0002034	CQUJHB002364	LOC129790140
OG0002035	CQUJHB012676	LOC129789332
OG0002036	CQUJHB008731	LOC129797306
OG0002037	CQUJHB020324, CQUJHB020378	LOC129786088
OG0002038	CQUJHB001224	LOC129797429
OG0002039	CQUJHB010689	LOC129797746
OG0002040	CQUJHB018123	LOC129797304, LOC129797307
OG0002041	CQUJHB010072	LOC129787111
OG0002042	CQUJHB011332	LOC129787206
OG0002043	CQUJHB013302	LOC129792702
OG0002044	CQUJHB016863	LOC129793762
OG0002045	CQUJHB011243	LOC129788678
OG0002046	CQUJHB018449, CQUJHB016117	LOC129787153
OG0002047	CQUJHB002076	LOC129792995
OG0002048	CQUJHB001769	LOC129795712
OG0002049	CQUJHB005527, CQUJHB007692	LOC129787065
OG0002050	CQUJHB014964	LOC129787969
OG0002052	CQUJHB007752	LOC129793489
OG0002053	CQUJHB001207	LOC129797520
OG0002054	CQUJHB014552	LOC129796471
OG0002055	CQUJHB013576	LOC129795446
OG0002056	CQUJHB002626	LOC129796303
OG0002057	CQUJHB012693	LOC129796472
OG0002058	CQUJHB004327	LOC129793910
OG0002059	CQUJHB003851	LOC129796534
OG0002060	CQUJHB018185	LOC129794853
OG0002061	CQUJHB009512	LOC129787988
OG0002062	CQUJHB012677	LOC129796074
OG0002063	CQUJHB004868	LOC129797489
OG0002064	CQUJHB017762	LOC129796436
OG0002065	CQUJHB001303	LOC129792004, LOC129794614
OG0002066	CQUJHB015590	LOC129796138
OG0002067	CQUJHB014615	LOC129795350
OG0002068	CQUJHB001906	LOC129797761
OG0002069	CQUJHB017104	LOC129797826, LOC129788594
OG0002071	CQUJHB001370	LOC129795692
OG0002072	CQUJHB008226	LOC129789432
OG0002073	CQUJHB009920	LOC129794275
OG0002074	CQUJHB008271	LOC129792662
OG0002075	CQUJHB015158	LOC129792271
OG0002076	CQUJHB013464	LOC129792610
OG0002077	CQUJHB015918	LOC129795742
OG0002078	CQUJHB011705	LOC129786002
OG0002079	CQUJHB001903	LOC129786109
OG0002080	CQUJHB013277	LOC129794911
OG0002081	CQUJHB009731	LOC129788016, LOC129795800
OG0002082	CQUJHB003397	LOC129794597
OG0002083	CQUJHB013356	LOC129787679
OG0002084	CQUJHB013949	LOC129791859
OG0002085	CQUJHB017489	LOC129788403, LOC129788402
OG0002086	CQUJHB010646	LOC129786135, LOC129786019
OG0002087	CQUJHB006590	LOC129796881
OG0002088	CQUJHB010181	LOC129795724
OG0002089	CQUJHB002003	LOC129796615
OG0002090	CQUJHB003030	LOC129796235
OG0002091	CQUJHB013258	LOC129788450
OG0002092	CQUJHB017744	LOC129787669
OG0002093	CQUJHB009534	LOC129795709
OG0002094	CQUJHB007383	LOC129795213
OG0002095	CQUJHB005853	LOC129786568
OG0002098	CQUJHB013710	LOC129785822
OG0002099	CQUJHB000391	LOC129797209
OG0002100	CQUJHB014387	LOC129793188, LOC129793187
OG0002101	CQUJHB012215	LOC129787041
OG0002102	CQUJHB004208	LOC129787051
OG0002104	CQUJHB017798	LOC129795021, LOC129788515
OG0002105	CQUJHB011479	LOC129790023
OG0002106	CQUJHB015190	LOC129791064
OG0002107	CQUJHB015721	LOC129796177
OG0002108	CQUJHB017811	LOC129788481
OG0002109	CQUJHB003037	LOC129791914
OG0002110	CQUJHB006433	LOC129790068
OG0002111	CQUJHB001706	LOC129796167
OG0002112	CQUJHB012500	LOC129789295
OG0002113	CQUJHB011651, CQUJHB014730	LOC129788380
OG0002114	CQUJHB010172, CQUJHB010508	LOC129790798
OG0002115	CQUJHB001590	LOC129792622
OG0002116	CQUJHB000110	LOC129791818
OG0002117	CQUJHB002257, CQUJHB017164	LOC129792628
OG0002118	CQUJHB003964, CQUJHB008253	LOC129792365
OG0002119	CQUJHB014981	LOC129792165
OG0002120	CQUJHB014175	LOC129786317
OG0002122	CQUJHB003340	LOC129791865
OG0002123	CQUJHB013223	LOC129792550
OG0002124	CQUJHB012406, CQUJHB007350	LOC129792128
OG0002125	CQUJHB011922	LOC129789847, LOC129791422
OG0002126	CQUJHB014744, CQUJHB000820	LOC129793297
OG0002127	CQUJHB014050, CQUJHB015643	LOC129792100
OG0002128	CQUJHB009908	LOC129792548
OG0002129	CQUJHB012894, CQUJHB016886	LOC129792129
OG0002130	CQUJHB009924	LOC129794340
OG0002131	CQUJHB001427	LOC129797194
OG0002132	CQUJHB014710	LOC129792102
OG0002133	CQUJHB006683	LOC129793858
OG0002134	CQUJHB012801	LOC129790066
OG0002135	CQUJHB002700	LOC129795626
OG0002136	CQUJHB011012	LOC129789141
OG0002137	CQUJHB008468	LOC129789022
OG0002138	CQUJHB008948	LOC129786190
OG0002139	CQUJHB001861	LOC129788531
OG0002140	CQUJHB003839	LOC129792041
OG0002141	CQUJHB011348	LOC129794790
OG0002142	CQUJHB004693	LOC129794293
OG0002143	CQUJHB018228	LOC129794878
OG0002144	CQUJHB006170	LOC129796165
OG0002145	CQUJHB002789	LOC129794992
OG0002146	CQUJHB011719	LOC129792611
OG0002149	CQUJHB008545, CQUJHB010818	LOC129795812
OG0002150	CQUJHB011406	LOC129793207
OG0002151	CQUJHB009644, CQUJHB007757	LOC129792849
OG0002152	CQUJHB014510	LOC129787483
OG0002153	CQUJHB003031	LOC129792349
OG0002154	CQUJHB002808	LOC129786459
OG0002156	CQUJHB012918	LOC129795641
OG0002157	CQUJHB000632	LOC129794282
OG0002158	CQUJHB003434	LOC129792677
OG0002159	CQUJHB016275	LOC129793989
OG0002160	CQUJHB015104	LOC129788807
OG0002161	CQUJHB001120	LOC129789584
OG0002162	CQUJHB002048	LOC129792208
OG0002163	CQUJHB004123	LOC129789633, LOC129795922
OG0002164	CQUJHB003090	LOC129789915
OG0002165	CQUJHB005631	LOC129790660
OG0002166	CQUJHB015094	LOC129788457
OG0002167	CQUJHB009230	LOC129793573
OG0002168	CQUJHB009807	LOC129790952
OG0002169	CQUJHB008100	LOC129789473
OG0002170	CQUJHB015311	LOC129790189
OG0002171	CQUJHB017228	LOC129790264
OG0002172	CQUJHB013281	LOC129789140
OG0002173	CQUJHB000228	LOC129789107
OG0002174	CQUJHB003725	LOC129790705, LOC129790700
OG0002176	CQUJHB012513	LOC129789087
OG0002177	CQUJHB012766	LOC129795949
OG0002178	CQUJHB001425	LOC129795722
OG0002179	CQUJHB001471	LOC129789021
OG0002180	CQUJHB003808	LOC129793143
OG0002181	CQUJHB017639, CQUJHB016180	LOC129790196
OG0002182	CQUJHB006550	LOC129786453
OG0002183	CQUJHB012486	LOC129791374
OG0002184	CQUJHB008635	LOC129797310
OG0002185	CQUJHB016880	LOC129795865
OG0002186	CQUJHB004159	LOC129797706
OG0002187	CQUJHB017101	LOC129786836
OG0002188	CQUJHB016517	LOC129786895
OG0002189	CQUJHB016647	LOC129787436
OG0002190	CQUJHB002487	LOC129788388
OG0002191	CQUJHB018069	LOC129788510
OG0002192	CQUJHB005712	LOC129788448
OG0002193	CQUJHB007235	LOC129789440
OG0002194	CQUJHB013506	LOC129792408
OG0002195	CQUJHB010450	LOC129793090
OG0002196	CQUJHB010713	LOC129792947
OG0002197	CQUJHB000244	LOC129796307
OG0002198	CQUJHB006518	LOC129796032
OG0002199	CQUJHB009360	LOC129794812
OG0002200	CQUJHB005566	LOC129793181
OG0002201	CQUJHB005134	LOC129793237
OG0002202	CQUJHB004704	LOC129793200
OG0002203	CQUJHB012321, CQUJHB015547	LOC129793485
OG0002204	CQUJHB005442, CQUJHB009865	LOC129788693
OG0002205	CQUJHB007144	LOC129794185
OG0002206	CQUJHB011470	LOC129793211
OG0002207	CQUJHB004389	LOC129797559
OG0002208	CQUJHB015490	LOC129789628
