Orthogroup	CquinquefasciatusJHB2020	AfunestusAfunGA1
OG0001486	CQUJHB007093	AFUN2_014768
OG0001488	CQUJHB017438	AFUN2_013484
OG0001489	CQUJHB003174	AFUN2_008993
OG0001490	CQUJHB005620, CQUJHB006779	AFUN2_011520
OG0001491	CQUJHB009598	AFUN2_011316
OG0001492	CQUJHB017908	AFUN2_004728
OG0001493	CQUJHB011057	AFUN2_008689
OG0001494	CQUJHB006222	AFUN2_008313
OG0001495	CQUJHB004236	AFUN2_009113
OG0001496	CQUJHB013730	AFUN2_005684
OG0001497	CQUJHB013736	AFUN2_014203
OG0001498	CQUJHB002219	AFUN2_014107
OG0001499	CQUJHB005868	AFUN2_014795, AFUN2_009169
OG0001500	CQUJHB002550	AFUN2_010323
OG0001501	CQUJHB001360, CQUJHB000445	AFUN2_012817
OG0001502	CQUJHB010071	AFUN2_005531
OG0001503	CQUJHB010599	AFUN2_009974
OG0001504	CQUJHB017861	AFUN2_002561, AFUN2_009083
OG0001505	CQUJHB011069	AFUN2_012889
OG0001506	CQUJHB016211	AFUN2_005291
OG0001507	CQUJHB004920, CQUJHB005220	AFUN2_011825
OG0001508	CQUJHB017226	AFUN2_009912
OG0001509	CQUJHB010194, CQUJHB004316	AFUN2_012231
OG0001510	CQUJHB003731, CQUJHB003523	AFUN2_005285
OG0001511	CQUJHB003943	AFUN2_011728
OG0001512	CQUJHB008488, CQUJHB010982, CQUJHB012250	AFUN2_002429
OG0001513	CQUJHB003898	AFUN2_002250
OG0001514	CQUJHB015908	AFUN2_009422
OG0001515	CQUJHB003378	AFUN2_006729
OG0001516	CQUJHB016371	AFUN2_005872
OG0001517	CQUJHB015770	AFUN2_012857
OG0001518	CQUJHB014184	AFUN2_014447
OG0001519	CQUJHB016885	AFUN2_000645
OG0001520	CQUJHB001943, CQUJHB001276	AFUN2_004949, AFUN2_005401
OG0001521	CQUJHB003530	AFUN2_012381
OG0001522	CQUJHB004981	AFUN2_003117
OG0001523	CQUJHB010954	AFUN2_013991
OG0001524	CQUJHB000455	AFUN2_013433
OG0001525	CQUJHB002784	AFUN2_008504
OG0001526	CQUJHB012704, CQUJHB014960	AFUN2_002772
OG0001527	CQUJHB006329, CQUJHB009076, CQUJHB017472	AFUN2_010612
OG0001528	CQUJHB004340	AFUN2_000867
OG0001529	CQUJHB010435	AFUN2_012592
OG0001530	CQUJHB007850	AFUN2_009250, AFUN2_006133
OG0001531	CQUJHB011448, CQUJHB009826	AFUN2_004191
OG0001532	CQUJHB014995, CQUJHB005138, CQUJHB014354	AFUN2_004100
OG0001533	CQUJHB008419	AFUN2_008180
OG0001534	CQUJHB004219	AFUN2_009155
OG0001535	CQUJHB003258	AFUN2_010804
OG0001536	CQUJHB008904	AFUN2_008326
OG0001537	CQUJHB018019	AFUN2_008238
OG0001538	CQUJHB016634	AFUN2_002194
OG0001539	CQUJHB005522, CQUJHB005824	AFUN2_002082
OG0001540	CQUJHB017730	AFUN2_005901
OG0001541	CQUJHB007994	AFUN2_008828
OG0001542	CQUJHB007813	AFUN2_010032, AFUN2_005028, AFUN2_011194, AFUN2_010787
OG0001543	CQUJHB006512	AFUN2_007707
OG0001544	CQUJHB011722	AFUN2_009676
OG0001545	CQUJHB001886	AFUN2_008409
OG0001546	CQUJHB005770	AFUN2_005603
OG0001547	CQUJHB016356	AFUN2_009947
OG0001548	CQUJHB003089	AFUN2_005481
OG0001549	CQUJHB006350	AFUN2_013289
OG0001550	CQUJHB014932	AFUN2_007869
OG0001551	CQUJHB014352	AFUN2_010073
OG0001552	CQUJHB010857	AFUN2_009487, AFUN2_010468
OG0001553	CQUJHB013025, CQUJHB002513	AFUN2_005805
OG0001554	CQUJHB009869	AFUN2_004593
OG0001555	CQUJHB004786	AFUN2_010245
OG0001556	CQUJHB013580	AFUN2_011036
OG0001557	CQUJHB006059	AFUN2_006190
OG0001558	CQUJHB003402	AFUN2_004173
OG0001559	CQUJHB013206	AFUN2_013269
OG0001560	CQUJHB015935	AFUN2_001463
OG0001561	CQUJHB010991, CQUJHB006122	AFUN2_007177
OG0001563	CQUJHB014177	AFUN2_013551
OG0001564	CQUJHB001600	AFUN2_011258
OG0001565	CQUJHB005831	AFUN2_003372
OG0001566	CQUJHB015877	AFUN2_002193
OG0001567	CQUJHB014453	AFUN2_013101
OG0001569	CQUJHB007989	AFUN2_007663
OG0001570	CQUJHB002795	AFUN2_007750
OG0001571	CQUJHB000043	AFUN2_003368
OG0001572	CQUJHB001860	AFUN2_008632
OG0001573	CQUJHB018479	AFUN2_006751
OG0001574	CQUJHB007907	AFUN2_003989
OG0001575	CQUJHB001494	AFUN2_005409
OG0001576	CQUJHB003894	AFUN2_006134
OG0001577	CQUJHB004564, CQUJHB000443	AFUN2_004803
OG0001578	CQUJHB006128	AFUN2_000690
OG0001579	CQUJHB017441	AFUN2_002158
OG0001581	CQUJHB000197, CQUJHB000190	AFUN2_009691
OG0001582	CQUJHB001601	AFUN2_006654
OG0001583	CQUJHB002636, CQUJHB009009	AFUN2_004974
OG0001584	CQUJHB010006, CQUJHB000661	AFUN2_001682
OG0001585	CQUJHB002648	AFUN2_014408
OG0001586	CQUJHB008155, CQUJHB002063	AFUN2_010022
OG0001587	CQUJHB011140	AFUN2_011600
OG0001588	CQUJHB009152	AFUN2_013753
OG0001589	CQUJHB014204	AFUN2_005829
OG0001590	CQUJHB007599	AFUN2_005748
OG0001591	CQUJHB012781	AFUN2_004729
OG0001592	CQUJHB010271	AFUN2_008158
OG0001593	CQUJHB003357	AFUN2_010677
OG0001594	CQUJHB006598	AFUN2_007255
OG0001595	CQUJHB012402	AFUN2_008381
OG0001596	CQUJHB014376	AFUN2_006283
OG0001597	CQUJHB006773	AFUN2_000601
OG0001598	CQUJHB004368	AFUN2_004271
OG0001599	CQUJHB004600	AFUN2_001580
OG0001600	CQUJHB008163	AFUN2_010971
OG0001601	CQUJHB007829	AFUN2_014262
OG0001602	CQUJHB016977	AFUN2_001517
OG0001603	CQUJHB000521	AFUN2_011074
OG0001604	CQUJHB016648	AFUN2_013383
OG0001605	CQUJHB007633	AFUN2_002800
OG0001606	CQUJHB014943	AFUN2_014414
OG0001607	CQUJHB000830	AFUN2_007598
OG0001608	CQUJHB011681	AFUN2_009555
OG0001609	CQUJHB000477	AFUN2_014251
OG0001610	CQUJHB015813	AFUN2_005349, AFUN2_012581
OG0001611	CQUJHB012937	AFUN2_009095
OG0001612	CQUJHB006423	AFUN2_012580
OG0001613	CQUJHB012285	AFUN2_001026
OG0001614	CQUJHB005858	AFUN2_003458
OG0001615	CQUJHB003375	AFUN2_005371
OG0001616	CQUJHB016725	AFUN2_006005
OG0001617	CQUJHB018130	AFUN2_010405
OG0001618	CQUJHB017878	AFUN2_002358
OG0001619	CQUJHB002341	AFUN2_012371
OG0001620	CQUJHB013609	AFUN2_007434
OG0001621	CQUJHB011768, CQUJHB012013	AFUN2_005123
OG0001622	CQUJHB016232	AFUN2_007620
OG0001623	CQUJHB011721, CQUJHB000767	AFUN2_007808
OG0001624	CQUJHB010551	AFUN2_011628
OG0001625	CQUJHB017514	AFUN2_004141
OG0001626	CQUJHB015913	AFUN2_011451
OG0001627	CQUJHB001936, CQUJHB014379, CQUJHB009045	AFUN2_006132
OG0001628	CQUJHB012184	AFUN2_008094
OG0001629	CQUJHB016459, CQUJHB015848	AFUN2_009385
OG0001630	CQUJHB010279	AFUN2_004334
OG0001631	CQUJHB012109	AFUN2_013907
OG0001633	CQUJHB008156	AFUN2_013812
OG0001634	CQUJHB006424	AFUN2_000547
OG0001635	CQUJHB003654	AFUN2_010220
OG0001636	CQUJHB010165	AFUN2_004870
OG0001637	CQUJHB008618	AFUN2_010991
OG0001638	CQUJHB002093	AFUN2_012185
OG0001639	CQUJHB006605	AFUN2_013342
OG0001640	CQUJHB003721	AFUN2_008023
OG0001641	CQUJHB000231	AFUN2_006037
OG0001642	CQUJHB000714	AFUN2_003656
OG0001643	CQUJHB018425	AFUN2_001404
OG0001644	CQUJHB016041	AFUN2_001371
OG0001645	CQUJHB016366	AFUN2_009626
OG0001647	CQUJHB008510	AFUN2_002867
OG0001648	CQUJHB013766	AFUN2_003046
OG0001649	CQUJHB017997	AFUN2_009771
OG0001650	CQUJHB003344	AFUN2_006582
OG0001651	CQUJHB017540	AFUN2_000911
OG0001652	CQUJHB014777	AFUN2_001236
OG0001653	CQUJHB002668, CQUJHB001147	AFUN2_013590
OG0001654	CQUJHB007937	AFUN2_004766
OG0001655	CQUJHB009976	AFUN2_011081
OG0001656	CQUJHB007775, CQUJHB001306, CQUJHB014954	AFUN2_008148
OG0001657	CQUJHB003519	AFUN2_006519
OG0001658	CQUJHB016441	AFUN2_007031
OG0001659	CQUJHB000150, CQUJHB002747	AFUN2_014028
OG0001660	CQUJHB005301	AFUN2_000737
OG0001661	CQUJHB013990	AFUN2_011434
OG0001662	CQUJHB003050	AFUN2_003165
OG0001663	CQUJHB000198, CQUJHB010700	AFUN2_006539
OG0001664	CQUJHB010461	AFUN2_002127
OG0001665	CQUJHB003592	AFUN2_002268
OG0001666	CQUJHB003464	AFUN2_012727
OG0001667	CQUJHB016693	AFUN2_008666
OG0001668	CQUJHB016144, CQUJHB004410	AFUN2_006810
OG0001669	CQUJHB016614	AFUN2_009579
OG0001670	CQUJHB018280	AFUN2_012797
OG0001671	CQUJHB014605	AFUN2_000541
OG0001672	CQUJHB004808	AFUN2_006518
OG0001673	CQUJHB016629	AFUN2_010148
OG0001674	CQUJHB005423	AFUN2_000710
OG0001675	CQUJHB003520	AFUN2_003507
OG0001676	CQUJHB011297	AFUN2_000525
OG0001677	CQUJHB014529	AFUN2_005849
OG0001678	CQUJHB008422	AFUN2_013306
OG0001679	CQUJHB015103	AFUN2_001850
OG0001680	CQUJHB014713	AFUN2_013461
OG0001681	CQUJHB010546	AFUN2_014618
OG0001682	CQUJHB007406	AFUN2_000664
OG0001683	CQUJHB004950, CQUJHB009972	AFUN2_014560
OG0001684	CQUJHB008526, CQUJHB002176	AFUN2_009267
OG0001685	CQUJHB000823	AFUN2_004923
OG0001686	CQUJHB004481	AFUN2_005997
OG0001687	CQUJHB006524, CQUJHB011409	AFUN2_004740
OG0001688	CQUJHB010357	AFUN2_010326
OG0001689	CQUJHB005346	AFUN2_005504
OG0001690	CQUJHB014540, CQUJHB003980	AFUN2_011134
OG0001691	CQUJHB005414, CQUJHB010951, CQUJHB004782	AFUN2_000660
OG0001692	CQUJHB003437	AFUN2_008960
OG0001693	CQUJHB010887, CQUJHB009390	AFUN2_000830
OG0001694	CQUJHB011260	AFUN2_008593
OG0001695	CQUJHB006258	AFUN2_002389
OG0001696	CQUJHB005828	AFUN2_011336
OG0001697	CQUJHB017264	AFUN2_004538
OG0001699	CQUJHB005748	AFUN2_003860
OG0001700	CQUJHB008861	AFUN2_001530
OG0001701	CQUJHB013301	AFUN2_009770
OG0001702	CQUJHB011702	AFUN2_001611
OG0001704	CQUJHB012572, CQUJHB008756, CQUJHB003683	AFUN2_013048
OG0001705	CQUJHB007470	AFUN2_003192, AFUN2_000729
OG0001706	CQUJHB006543, CQUJHB012272	AFUN2_009721
OG0001707	CQUJHB009517	AFUN2_003248
OG0001708	CQUJHB000812	AFUN2_009583
OG0001709	CQUJHB007914	AFUN2_011506
OG0001710	CQUJHB011610, CQUJHB000347	AFUN2_007229
OG0001711	CQUJHB016971	AFUN2_003265
OG0001712	CQUJHB016875	AFUN2_011250
OG0001713	CQUJHB009098, CQUJHB015985	AFUN2_002549
OG0001714	CQUJHB003137	AFUN2_003636
OG0001715	CQUJHB017946	AFUN2_010208, AFUN2_005337
OG0001716	CQUJHB006814	AFUN2_007940
OG0001717	CQUJHB011333	AFUN2_012053
OG0001718	CQUJHB018202	AFUN2_006086, AFUN2_011704
OG0001719	CQUJHB007686	AFUN2_002889
OG0001720	CQUJHB002212	AFUN2_000663
OG0001721	CQUJHB006168, CQUJHB007712	AFUN2_001186
OG0001722	CQUJHB002479	AFUN2_001009
OG0001723	CQUJHB013881	AFUN2_008954
OG0001724	CQUJHB009916	AFUN2_001237
OG0001725	CQUJHB017260, CQUJHB007806	AFUN2_010068
OG0001726	CQUJHB010294	AFUN2_002931
OG0001727	CQUJHB014054	AFUN2_009762
OG0001728	CQUJHB005672, CQUJHB009623, CQUJHB012341	AFUN2_012218
OG0001729	CQUJHB004027	AFUN2_010438
OG0001731	CQUJHB000468	AFUN2_006726
OG0001732	CQUJHB001251	AFUN2_007642
OG0001733	CQUJHB012247	AFUN2_010267
OG0001734	CQUJHB014775	AFUN2_001978
OG0001735	CQUJHB012889	AFUN2_006734
OG0001736	CQUJHB011598	AFUN2_001198
OG0001737	CQUJHB010770	AFUN2_004718
OG0001738	CQUJHB002836	AFUN2_002380
OG0001739	CQUJHB014106	AFUN2_009051, AFUN2_009576
OG0001740	CQUJHB007289, CQUJHB004827	AFUN2_001105
OG0001741	CQUJHB014649	AFUN2_007096
OG0001742	CQUJHB018010, CQUJHB005972	AFUN2_012173
OG0001743	CQUJHB005038	AFUN2_012257
OG0001744	CQUJHB002298	AFUN2_014229
OG0001745	CQUJHB004240	AFUN2_009992
OG0001746	CQUJHB011814	AFUN2_009688
OG0001747	CQUJHB011101	AFUN2_003189
OG0001748	CQUJHB015327	AFUN2_008016
OG0001749	CQUJHB004574	AFUN2_003323
OG0001751	CQUJHB003016	AFUN2_002625
OG0001752	CQUJHB017723	AFUN2_013026
OG0001753	CQUJHB009024	AFUN2_006138
OG0001754	CQUJHB016596	AFUN2_007020
OG0001755	CQUJHB007071	AFUN2_003557
OG0001756	CQUJHB000001	AFUN2_004599
OG0001757	CQUJHB001477	AFUN2_010325
OG0001758	CQUJHB006163, CQUJHB003627	AFUN2_005153
OG0001759	CQUJHB009632	AFUN2_007343
OG0001760	CQUJHB000104	AFUN2_014433
OG0001761	CQUJHB007842	AFUN2_013526
OG0001762	CQUJHB006380	AFUN2_005406
OG0001763	CQUJHB013383	AFUN2_004134
OG0001764	CQUJHB008019	AFUN2_012453
OG0001765	CQUJHB000726	AFUN2_008230
OG0001766	CQUJHB001897	AFUN2_007564
OG0001767	CQUJHB007408	AFUN2_010467
OG0001768	CQUJHB013392	AFUN2_005225
OG0001769	CQUJHB016399	AFUN2_008223
OG0001771	CQUJHB005386	AFUN2_008704
OG0001773	CQUJHB014243	AFUN2_004512
OG0001774	CQUJHB010941	AFUN2_005883
OG0001775	CQUJHB001066	AFUN2_009785
OG0001776	CQUJHB010914	AFUN2_003725
OG0001777	CQUJHB008806	AFUN2_010518
OG0001778	CQUJHB014567	AFUN2_009042
OG0001779	CQUJHB017194	AFUN2_010344
OG0001780	CQUJHB017314	AFUN2_011431
OG0001781	CQUJHB011216, CQUJHB010073	AFUN2_001495
OG0001782	CQUJHB017348, CQUJHB014146, CQUJHB002991	AFUN2_005627
OG0001783	CQUJHB000545, CQUJHB006275, CQUJHB002402	AFUN2_006604
OG0001784	CQUJHB004390	AFUN2_004799
OG0001785	CQUJHB000216	AFUN2_011901
OG0001786	CQUJHB006327	AFUN2_012893
OG0001787	CQUJHB001626	AFUN2_008779
OG0001788	CQUJHB006166	AFUN2_009861
OG0001789	CQUJHB000712, CQUJHB014709	AFUN2_005600
OG0001790	CQUJHB017495	AFUN2_007846
OG0001791	CQUJHB016649	AFUN2_014458
OG0001792	CQUJHB005200	AFUN2_004697
OG0001793	CQUJHB005201	AFUN2_000589
OG0001794	CQUJHB002450	AFUN2_004067
OG0001795	CQUJHB008648, CQUJHB016749	AFUN2_011000
OG0001796	CQUJHB010066	AFUN2_001703
OG0001797	CQUJHB012267, CQUJHB001776, CQUJHB006034	AFUN2_013201
OG0001798	CQUJHB000085	AFUN2_011218
OG0001799	CQUJHB007772	AFUN2_004876
OG0001800	CQUJHB014946	AFUN2_004617
OG0001801	CQUJHB016768	AFUN2_013956
OG0001802	CQUJHB018409	AFUN2_001109
OG0001803	CQUJHB012318, CQUJHB005517	AFUN2_012482
OG0001804	CQUJHB003242	AFUN2_014713
OG0001805	CQUJHB001203	AFUN2_010521
OG0001806	CQUJHB015805	AFUN2_004509
OG0001807	CQUJHB011971	AFUN2_010019
OG0001808	CQUJHB015768	AFUN2_005670
OG0001809	CQUJHB006504, CQUJHB006361	AFUN2_014205
OG0001810	CQUJHB003726	AFUN2_002598
OG0001811	CQUJHB013858	AFUN2_010409
OG0001812	CQUJHB009625	AFUN2_011783
OG0001813	CQUJHB016927	AFUN2_004019
OG0001814	CQUJHB000841	AFUN2_009026
OG0001815	CQUJHB011802	AFUN2_003355
OG0001816	CQUJHB007213	AFUN2_000959
OG0001817	CQUJHB004187	AFUN2_012666
OG0001818	CQUJHB015469	AFUN2_002923
OG0001819	CQUJHB012369	AFUN2_002912
OG0001820	CQUJHB007965	AFUN2_013679
OG0001821	CQUJHB016998	AFUN2_006009
OG0001822	CQUJHB007572	AFUN2_005825
OG0001823	CQUJHB014893	AFUN2_000366
OG0001824	CQUJHB003487	AFUN2_001723
OG0001825	CQUJHB005537	AFUN2_011701, AFUN2_014738, AFUN2_013241
OG0001826	CQUJHB006583	AFUN2_013520
OG0001827	CQUJHB010570, CQUJHB017812, CQUJHB010623	AFUN2_007052
OG0001828	CQUJHB014610, CQUJHB011345, CQUJHB009880	AFUN2_005642
OG0001829	CQUJHB007499, CQUJHB014883	AFUN2_002828
OG0001830	CQUJHB012198	AFUN2_010620
OG0001831	CQUJHB014199	AFUN2_007601
OG0001832	CQUJHB012280	AFUN2_000704
OG0001833	CQUJHB012719	AFUN2_011843
OG0001834	CQUJHB011754	AFUN2_007515
OG0001835	CQUJHB000069	AFUN2_011679
OG0001837	CQUJHB000827	AFUN2_010819
OG0001838	CQUJHB001157	AFUN2_004196
OG0001839	CQUJHB002246	AFUN2_012337
OG0001841	CQUJHB004226	AFUN2_013695
OG0001842	CQUJHB003224	AFUN2_014690
OG0001843	CQUJHB001883	AFUN2_004120
OG0001844	CQUJHB017539	AFUN2_003521
OG0001845	CQUJHB002279	AFUN2_006514
OG0001846	CQUJHB010678	AFUN2_000991
OG0001847	CQUJHB010987	AFUN2_008973, AFUN2_003513
OG0001848	CQUJHB015143	AFUN2_007656
OG0001849	CQUJHB005774	AFUN2_000820
OG0001850	CQUJHB015673	AFUN2_002724
OG0001851	CQUJHB004201	AFUN2_006711
OG0001852	CQUJHB014663	AFUN2_005160
OG0001853	CQUJHB009903	AFUN2_004240
OG0001854	CQUJHB010799	AFUN2_007007
OG0001855	CQUJHB002102	AFUN2_009184
OG0001856	CQUJHB016160	AFUN2_002547
OG0001857	CQUJHB018237	AFUN2_003446
OG0001858	CQUJHB011662	AFUN2_008665
OG0001859	CQUJHB010404	AFUN2_003250
OG0001860	CQUJHB017652	AFUN2_008776
OG0001861	CQUJHB018021	AFUN2_008282
OG0001862	CQUJHB011807	AFUN2_010029
OG0001863	CQUJHB006953	AFUN2_007773
OG0001864	CQUJHB006273	AFUN2_002233
OG0001865	CQUJHB016972	AFUN2_008646
OG0001866	CQUJHB008116	AFUN2_007799
OG0001867	CQUJHB013482	AFUN2_008520
OG0001869	CQUJHB005793	AFUN2_008080
OG0001870	CQUJHB010502	AFUN2_005694
OG0001871	CQUJHB002846	AFUN2_007627
OG0001872	CQUJHB014005	AFUN2_002314
OG0001873	CQUJHB017060	AFUN2_009743
OG0001874	CQUJHB003814	AFUN2_010683
OG0001875	CQUJHB003769	AFUN2_009650
OG0001876	CQUJHB016428	AFUN2_012466
OG0001877	CQUJHB007854	AFUN2_001212
OG0001878	CQUJHB012769	AFUN2_005068
OG0001879	CQUJHB015487	AFUN2_003883
OG0001881	CQUJHB006399	AFUN2_003732
OG0001883	CQUJHB013762	AFUN2_014797
OG0001884	CQUJHB010453	AFUN2_004138, AFUN2_013552
OG0001885	CQUJHB007303	AFUN2_008958
OG0001886	CQUJHB007991	AFUN2_010491
OG0001887	CQUJHB010974	AFUN2_014786
OG0001889	CQUJHB000173	AFUN2_013337
OG0001890	CQUJHB018269	AFUN2_006840
OG0001891	CQUJHB010310	AFUN2_014140
OG0001892	CQUJHB000339	AFUN2_011259
OG0001893	CQUJHB008767	AFUN2_005307
OG0001894	CQUJHB005240	AFUN2_004167
OG0001895	CQUJHB005279	AFUN2_014227
OG0001896	CQUJHB014927	AFUN2_014049, AFUN2_001216
OG0001897	CQUJHB000796	AFUN2_011751
OG0001898	CQUJHB008962	AFUN2_002656
OG0001899	CQUJHB016916	AFUN2_013404
OG0001901	CQUJHB001292, CQUJHB007141	AFUN2_014282
OG0001902	CQUJHB003665, CQUJHB015274	AFUN2_011565
OG0001903	CQUJHB016326, CQUJHB011952, CQUJHB010866, CQUJHB006662	AFUN2_012217
OG0001905	CQUJHB015251	AFUN2_000770
OG0001906	CQUJHB012925	AFUN2_002632
OG0001907	CQUJHB014583	AFUN2_004454
OG0001908	CQUJHB003954	AFUN2_006874
OG0001909	CQUJHB010206, CQUJHB007957, CQUJHB008854	AFUN2_010061
OG0001910	CQUJHB011929	AFUN2_009985
OG0001912	CQUJHB012127	AFUN2_007805
OG0001913	CQUJHB010947	AFUN2_009671
OG0001914	CQUJHB014627	AFUN2_011749
OG0001915	CQUJHB003422	AFUN2_006183
OG0001916	CQUJHB017477	AFUN2_003926
OG0001917	CQUJHB016388	AFUN2_013655
OG0001918	CQUJHB011861	AFUN2_002532
OG0001919	CQUJHB013909	AFUN2_010448
OG0001920	CQUJHB016365	AFUN2_014605
OG0001921	CQUJHB010226, CQUJHB020401, CQUJHB020267, CQUJHB001248	AFUN2_005840
OG0001922	CQUJHB001701	AFUN2_005043, AFUN2_010432
OG0001923	CQUJHB011173	AFUN2_008144
OG0001924	CQUJHB008851	AFUN2_013481
OG0001925	CQUJHB008947	AFUN2_010650
OG0001926	CQUJHB005904	AFUN2_012177
OG0001928	CQUJHB017584	AFUN2_005041
OG0001929	CQUJHB009052	AFUN2_004935
OG0001930	CQUJHB000488	AFUN2_010260
OG0001931	CQUJHB001579	AFUN2_005164
OG0001933	CQUJHB009853	AFUN2_001265
OG0001934	CQUJHB008345, CQUJHB014551	AFUN2_011352
OG0001937	CQUJHB005452	AFUN2_003400
OG0001938	CQUJHB013689	AFUN2_008764
OG0001939	CQUJHB015433	AFUN2_010516
OG0001940	CQUJHB003955	AFUN2_004276
OG0001941	CQUJHB017019	AFUN2_001355
OG0001942	CQUJHB002444	AFUN2_010549
OG0001944	CQUJHB012856	AFUN2_003749
OG0001945	CQUJHB015802	AFUN2_001756
OG0001946	CQUJHB004460	AFUN2_001159
OG0001947	CQUJHB017725	AFUN2_012837
OG0001948	CQUJHB012140	AFUN2_003040
OG0001949	CQUJHB007700	AFUN2_004415
OG0001950	CQUJHB007473	AFUN2_008735
OG0001951	CQUJHB017052	AFUN2_008013
OG0001952	CQUJHB014332	AFUN2_010807
OG0001953	CQUJHB009317	AFUN2_013783
OG0001954	CQUJHB006751	AFUN2_003660
OG0001955	CQUJHB014791	AFUN2_012249
OG0001956	CQUJHB015498	AFUN2_010316
OG0001957	CQUJHB008729, CQUJHB007723	AFUN2_011056
OG0001958	CQUJHB015953	AFUN2_005100
OG0001959	CQUJHB009277	AFUN2_004839
OG0001960	CQUJHB018138	AFUN2_013544
OG0001961	CQUJHB014631	AFUN2_000723
OG0001962	CQUJHB016651	AFUN2_005904
OG0001963	CQUJHB011444	AFUN2_004425
OG0001964	CQUJHB018337	AFUN2_003134
OG0001965	CQUJHB013662	AFUN2_000500
OG0001968	CQUJHB002848	AFUN2_001721
OG0001969	CQUJHB009273	AFUN2_002796
OG0001970	CQUJHB014942, CQUJHB003598, CQUJHB006771	AFUN2_009708
OG0001971	CQUJHB009557	AFUN2_011856
OG0001972	CQUJHB009191, CQUJHB017842	AFUN2_004339
OG0001973	CQUJHB003163	AFUN2_010667
OG0001974	CQUJHB003100	AFUN2_006777
OG0001975	CQUJHB017537, CQUJHB000395	AFUN2_009352
OG0001976	CQUJHB002571	AFUN2_004800
OG0001977	CQUJHB018154	AFUN2_011829
OG0001978	CQUJHB012118	AFUN2_010076
OG0001979	CQUJHB002147	AFUN2_001630
OG0001980	CQUJHB016028	AFUN2_012317
OG0001981	CQUJHB002973	AFUN2_011198
OG0001982	CQUJHB010272, CQUJHB001693, CQUJHB010161	AFUN2_009559
OG0001983	CQUJHB007443	AFUN2_008742
OG0001991	CQUJHB008591, CQUJHB015134, CQUJHB016889, CQUJHB007471, CQUJHB009367	AFUN2_006914
OG0001998	CQUJHB006595	AFUN2_013016
OG0002000	CQUJHB006851	AFUN2_013089, AFUN2_005691
OG0002010	CQUJHB004416	AFUN2_013191, AFUN2_008595, AFUN2_013297, AFUN2_002264, AFUN2_014644
OG0002011	CQUJHB009027	AFUN2_003437
OG0002011	CQUJHB008730	AFUN2_000923
OG0002018	CQUJHB020255, CQUJHB020336, CQUJHB020301	AFUN2_007208
OG0002027	CQUJHB015303	AFUN2_009172
OG0002028	CQUJHB000015	AFUN2_001046
OG0002029	CQUJHB000454, CQUJHB003417	AFUN2_004317
OG0002030	CQUJHB007781	AFUN2_012852
OG0002031	CQUJHB015561, CQUJHB016004	AFUN2_014361
OG0002032	CQUJHB007591, CQUJHB017901	AFUN2_009284
OG0002033	CQUJHB000201	AFUN2_011606
OG0002034	CQUJHB002364	AFUN2_009590
OG0002035	CQUJHB012676	AFUN2_003764
OG0002036	CQUJHB008731	AFUN2_005934
OG0002037	CQUJHB020324, CQUJHB020378	AFUN2_010259
OG0002038	CQUJHB001224	AFUN2_002681
OG0002039	CQUJHB010689	AFUN2_012449
OG0002040	CQUJHB018123	AFUN2_008505
OG0002041	CQUJHB010072	AFUN2_002134
OG0002042	CQUJHB011332	AFUN2_010121
OG0002043	CQUJHB013302	AFUN2_012585
OG0002044	CQUJHB016863	AFUN2_012791
OG0002045	CQUJHB011243	AFUN2_004535
OG0002046	CQUJHB018449, CQUJHB016117	AFUN2_006398
OG0002047	CQUJHB002076	AFUN2_006752
OG0002048	CQUJHB001769	AFUN2_006967
OG0002049	CQUJHB005527, CQUJHB007692	AFUN2_005410
OG0002050	CQUJHB014964	AFUN2_009262
OG0002051	CQUJHB005235, CQUJHB010587, CQUJHB000316	AFUN2_005354
OG0002052	CQUJHB007752	AFUN2_013828
OG0002053	CQUJHB001207	AFUN2_003693
OG0002054	CQUJHB014552	AFUN2_012860
OG0002055	CQUJHB013576	AFUN2_003231
OG0002056	CQUJHB002626	AFUN2_014228
OG0002057	CQUJHB012693	AFUN2_002996
OG0002058	CQUJHB004327	AFUN2_010573
OG0002059	CQUJHB003851	AFUN2_002833, AFUN2_008903
OG0002060	CQUJHB018185	AFUN2_010847
OG0002061	CQUJHB009512	AFUN2_003438
OG0002062	CQUJHB012677	AFUN2_005789
OG0002063	CQUJHB004868	AFUN2_008172
OG0002064	CQUJHB017762	AFUN2_004758
OG0002065	CQUJHB001303	AFUN2_008049
OG0002066	CQUJHB015590	AFUN2_001388
OG0002067	CQUJHB014615	AFUN2_001308
OG0002068	CQUJHB001906	AFUN2_012360
OG0002069	CQUJHB017104	AFUN2_013536
OG0002070	CQUJHB009199	AFUN2_013693
OG0002071	CQUJHB001370	AFUN2_012681, AFUN2_000832
OG0002072	CQUJHB008226	AFUN2_012665
OG0002073	CQUJHB009920	AFUN2_003920
OG0002074	CQUJHB008271	AFUN2_004349
OG0002075	CQUJHB015158	AFUN2_000462
OG0002076	CQUJHB013464	AFUN2_013726
OG0002077	CQUJHB015918	AFUN2_012898
OG0002078	CQUJHB011705	AFUN2_001878
OG0002079	CQUJHB001903	AFUN2_003274
OG0002080	CQUJHB013277	AFUN2_008661
OG0002081	CQUJHB009731	AFUN2_008613
OG0002082	CQUJHB003397	AFUN2_009457
OG0002083	CQUJHB013356	AFUN2_011982
