Orthogroup	CquinquefasciatusJHB2020	AaegyptiLVP_AGWG
OG0001944	CQUJHB012856	AAEL023989
OG0001945	CQUJHB015802	AAEL024005
OG0001946	CQUJHB004460	AAEL027002, AAEL024101
OG0001947	CQUJHB017725	AAEL024141
OG0001948	CQUJHB012140	AAEL024258
OG0001949	CQUJHB007700	AAEL024480
OG0001950	CQUJHB007473	AAEL024598
OG0001951	CQUJHB017052	AAEL024618
OG0001952	CQUJHB014332	AAEL024623
OG0001953	CQUJHB009317	AAEL024710
OG0001954	CQUJHB006751	AAEL024713
OG0001955	CQUJHB014791	AAEL024788
OG0001956	CQUJHB015498	AAEL025473, AAEL025076
OG0001957	CQUJHB008729, CQUJHB007723	AAEL025133, AAEL026994
OG0001958	CQUJHB015953	AAEL025230
OG0001959	CQUJHB009277	AAEL025353
OG0001960	CQUJHB018138	AAEL025443
OG0001961	CQUJHB014631	AAEL025578, AAEL025984
OG0001962	CQUJHB016651	AAEL025606
OG0001963	CQUJHB011444	AAEL026618, AAEL025692
OG0001964	CQUJHB018337	AAEL026074
OG0001965	CQUJHB013662	AAEL026170
OG0001967	CQUJHB014857, CQUJHB011439, CQUJHB007918, CQUJHB001615, CQUJHB018421, CQUJHB017737, CQUJHB007901, CQUJHB001597, CQUJHB018417, CQUJHB016633	AAEL026341
OG0001968	CQUJHB002848	AAEL026355
OG0001969	CQUJHB009273	AAEL026388, AAEL028233
OG0001970	CQUJHB014942, CQUJHB003598, CQUJHB006771	AAEL026710
OG0001971	CQUJHB009557	AAEL026716, AAEL027637
OG0001972	CQUJHB009191, CQUJHB017842	AAEL026746
OG0001973	CQUJHB003163	AAEL026751
OG0001974	CQUJHB003100	AAEL026796
OG0001975	CQUJHB017537, CQUJHB000395	AAEL026846
OG0001976	CQUJHB002571	AAEL026945
OG0001977	CQUJHB018154	AAEL027527
OG0001978	CQUJHB012118	AAEL027566
OG0001979	CQUJHB002147	AAEL027644
OG0001980	CQUJHB016028	AAEL027654
OG0001981	CQUJHB002973	AAEL028004
OG0001982	CQUJHB010272, CQUJHB001693, CQUJHB010161	AAEL028021
OG0001983	CQUJHB007443	AAEL028129
OG0002027	CQUJHB015303	AAEL000008
OG0002028	CQUJHB000015	AAEL002639, AAEL000010
OG0002029	CQUJHB000454, CQUJHB003417	AAEL000032
OG0002030	CQUJHB007781	AAEL000036
OG0002031	CQUJHB015561	AAEL000049
OG0002032	CQUJHB007591, CQUJHB017901	AAEL000091
OG0002033	CQUJHB000201	AAEL000098
OG0002034	CQUJHB002364	AAEL000102
OG0002035	CQUJHB012676	AAEL000109, AAEL025680
OG0002036	CQUJHB008731	AAEL000159
OG0002037	CQUJHB020324, CQUJHB020378	AAEL000162
OG0002038	CQUJHB001224	AAEL000181
OG0002039	CQUJHB010689	AAEL000186
OG0002040	CQUJHB018123	AAEL000188
OG0002041	CQUJHB010072	AAEL000193
OG0002042	CQUJHB011332	AAEL000206, AAEL004665
OG0002043	CQUJHB013302	AAEL000221
OG0002044	CQUJHB016863	AAEL000236
OG0002045	CQUJHB011243	AAEL021776, AAEL000243
OG0002046	CQUJHB018449, CQUJHB016117	AAEL000258
OG0002047	CQUJHB002076	AAEL000267
OG0002048	CQUJHB001769	AAEL000272
OG0002049	CQUJHB005527, CQUJHB007692	AAEL000291
OG0002050	CQUJHB014964	AAEL000327
OG0002051	CQUJHB005235, CQUJHB010587, CQUJHB000316	AAEL000340
OG0002052	CQUJHB007752	AAEL000343
OG0002053	CQUJHB001207	AAEL000362
OG0002054	CQUJHB014552	AAEL000397, AAEL027318
OG0002055	CQUJHB013576	AAEL000416
OG0002056	CQUJHB002626	AAEL000424
OG0002057	CQUJHB012693	AAEL000440, AAEL023005
OG0002058	CQUJHB004327	AAEL027802, AAEL000445
OG0002059	CQUJHB003851	AAEL000452
OG0002060	CQUJHB018185	AAEL000457
OG0002061	CQUJHB009512	AAEL000460, AAEL020197
OG0002062	CQUJHB012677	AAEL000464
OG0002063	CQUJHB004868	AAEL000510
OG0002064	CQUJHB017762	AAEL000550
OG0002065	CQUJHB001303	AAEL000551
OG0002066	CQUJHB015590	AAEL000559
OG0002067	CQUJHB014615	AAEL000590
OG0002068	CQUJHB001906	AAEL000593
OG0002069	CQUJHB017104	AAEL000618
OG0002070	CQUJHB009199	AAEL021450, AAEL000646
OG0002071	CQUJHB001370	AAEL000670
OG0002072	CQUJHB008226	AAEL000716
OG0002073	CQUJHB009920	AAEL000721
OG0002074	CQUJHB008271	AAEL000724
OG0002075	CQUJHB015158	AAEL000746
OG0002076	CQUJHB013464	AAEL000750
OG0002077	CQUJHB015918	AAEL000755
OG0002078	CQUJHB011705	AAEL020913, AAEL000825
OG0002079	CQUJHB001903	AAEL000849, AAEL027279
OG0002080	CQUJHB013277	AAEL000852, AAEL022708
OG0002081	CQUJHB009731	AAEL000883
OG0002082	CQUJHB003397	AAEL000897
OG0002083	CQUJHB013356	AAEL000924
OG0002084	CQUJHB013949	AAEL000925
OG0002085	CQUJHB017489	AAEL000933
OG0002086	CQUJHB010646	AAEL000938
OG0002087	CQUJHB006590	AAEL000940, AAEL022151
OG0002088	CQUJHB010181	AAEL000942
OG0002089	CQUJHB002003	AAEL024591, AAEL000950
OG0002090	CQUJHB003030	AAEL000951
OG0002091	CQUJHB013258	AAEL000953
OG0002092	CQUJHB017744	AAEL007879, AAEL000961
OG0002093	CQUJHB009534	AAEL026006, AAEL028134, AAEL000964
OG0002094	CQUJHB007383	AAEL000967
OG0002095	CQUJHB005853	AAEL000978
OG0002096	CQUJHB005530	AAEL000994
OG0002097	CQUJHB017962	AAEL000999
OG0002098	CQUJHB013710	AAEL001000
OG0002099	CQUJHB000391	AAEL001007
OG0002100	CQUJHB014387	AAEL001044
OG0002101	CQUJHB012215	AAEL001060
OG0002102	CQUJHB004208	AAEL001085
OG0002104	CQUJHB017798	AAEL001113
OG0002105	CQUJHB011479	AAEL001154
OG0002106	CQUJHB015190	AAEL021364, AAEL001162
OG0002107	CQUJHB015721	AAEL025170, AAEL001176
OG0002108	CQUJHB017811	AAEL020244, AAEL001182
OG0002109	CQUJHB003037	AAEL001184
OG0002110	CQUJHB006433	AAEL001191, AAEL020438
OG0002111	CQUJHB001706	AAEL001199, AAEL020222
OG0002112	CQUJHB012500	AAEL001228
OG0002113	CQUJHB011651, CQUJHB014730	AAEL001238
OG0002114	CQUJHB010172, CQUJHB010508	AAEL001241
OG0002115	CQUJHB001590	AAEL001245
OG0002116	CQUJHB000110	AAEL001254
OG0002117	CQUJHB002257, CQUJHB017164	AAEL001257
OG0002118	CQUJHB003964, CQUJHB008253	AAEL001268
OG0002119	CQUJHB014981	AAEL001281
OG0002120	CQUJHB014175	AAEL020619, AAEL001289
OG0002122	CQUJHB003340	AAEL001317
OG0002123	CQUJHB013223	AAEL001356
OG0002124	CQUJHB012406, CQUJHB007350	AAEL001359
OG0002125	CQUJHB011922	AAEL001368
OG0002126	CQUJHB014744, CQUJHB000820	AAEL001378
OG0002127	CQUJHB014050, CQUJHB015643	AAEL001389
OG0002128	CQUJHB009908	AAEL001397
OG0002129	CQUJHB012894, CQUJHB016886	AAEL001422
OG0002130	CQUJHB009924	AAEL001423
OG0002131	CQUJHB001427	AAEL001425
OG0002132	CQUJHB014710	AAEL023408, AAEL001426
OG0002133	CQUJHB006683	AAEL001428
OG0002134	CQUJHB012801	AAEL001446
OG0002135	CQUJHB002700	AAEL001472
OG0002136	CQUJHB011012	AAEL001474
OG0002137	CQUJHB008468	AAEL001475
OG0002138	CQUJHB008948	AAEL001493
OG0002139	CQUJHB001861	AAEL001497
OG0002140	CQUJHB003839	AAEL001500
OG0002141	CQUJHB011348	AAEL001505
OG0002142	CQUJHB004693	AAEL001506
OG0002143	CQUJHB018228	AAEL001513
OG0002144	CQUJHB006170	AAEL001518
OG0002145	CQUJHB002789	AAEL001526
OG0002146	CQUJHB011719	AAEL001541
OG0002148	CQUJHB003403	AAEL007545, AAEL028142, AAEL026925, AAEL021445, AAEL022223, AAEL002643, AAEL023448, AAEL001555
OG0002149	CQUJHB008545, CQUJHB010818	AAEL001557
OG0002150	CQUJHB011406	AAEL001559
OG0002151	CQUJHB009644, CQUJHB007757	AAEL001573
OG0002152	CQUJHB014510	AAEL001593
OG0002153	CQUJHB003031	AAEL001636
OG0002154	CQUJHB002808	AAEL001649
OG0002155	CQUJHB005873	AAEL008769
OG0002155	CQUJHB005980	AAEL001693
OG0002156	CQUJHB012918	AAEL001707
OG0002157	CQUJHB000632	AAEL001736
OG0002158	CQUJHB003434	AAEL001751
OG0002159	CQUJHB016275	AAEL001764
OG0002160	CQUJHB015104	AAEL001797, AAEL022985
OG0002161	CQUJHB001120	AAEL001808
OG0002162	CQUJHB002048	AAEL026493, AAEL001810
OG0002163	CQUJHB004123	AAEL001813
OG0002164	CQUJHB003090	AAEL001832
OG0002165	CQUJHB005631	AAEL001847
OG0002166	CQUJHB015094	AAEL026860, AAEL001852
OG0002167	CQUJHB009230	AAEL001856
OG0002168	CQUJHB009807	AAEL001864
OG0002169	CQUJHB008100	AAEL001865
OG0002170	CQUJHB015311	AAEL001869
OG0002171	CQUJHB017228	AAEL001874
OG0002172	CQUJHB013281	AAEL020591, AAEL001875
OG0002173	CQUJHB000228	AAEL001888
OG0002174	CQUJHB003725	AAEL001896
OG0002175	CQUJHB008401	AAEL019903, AAEL019902, AAEL001897
OG0002176	CQUJHB012513	AAEL001913, AAEL020754
OG0002177	CQUJHB012766	AAEL001920
OG0002178	CQUJHB001425	AAEL023816, AAEL001952
OG0002179	CQUJHB001471	AAEL021869, AAEL001962
OG0002180	CQUJHB003808	AAEL001978
OG0002181	CQUJHB017639, CQUJHB016180	AAEL002016
OG0002182	CQUJHB006550	AAEL021392, AAEL002068
OG0002183	CQUJHB012486	AAEL002079
OG0002184	CQUJHB008635	AAEL002132
OG0002185	CQUJHB016880	AAEL002134
OG0002186	CQUJHB004159	AAEL002142
OG0002187	CQUJHB017101	AAEL002165
OG0002188	CQUJHB016517	AAEL002167
OG0002189	CQUJHB016647	AAEL012075, AAEL002178
OG0002190	CQUJHB002487	AAEL002215
OG0002191	CQUJHB018069	AAEL002216
OG0002192	CQUJHB005712	AAEL002220
OG0002193	CQUJHB007235	AAEL002232
OG0002194	CQUJHB013506	AAEL002248, AAEL027046
OG0002195	CQUJHB010450	AAEL002250
OG0002196	CQUJHB010713	AAEL002271
OG0002197	CQUJHB000244	AAEL002307, AAEL002295
OG0002198	CQUJHB006518	AAEL002312
OG0002199	CQUJHB009360	AAEL002318, AAEL020455
OG0002200	CQUJHB005566	AAEL002322
OG0002201	CQUJHB005134	AAEL002324
OG0002202	CQUJHB004704	AAEL002329
OG0002203	CQUJHB012321, CQUJHB015547	AAEL002341
OG0002204	CQUJHB005442, CQUJHB009865	AAEL002343
OG0002205	CQUJHB007144	AAEL002345
OG0002206	CQUJHB011470	AAEL002355
OG0002207	CQUJHB004389	AAEL002387, AAEL025830
OG0002208	CQUJHB015490	AAEL002390
OG0002209	CQUJHB006118	AAEL002399
OG0002210	CQUJHB000032	AAEL002401
OG0002211	CQUJHB005012, CQUJHB008285	AAEL002404
OG0002212	CQUJHB006368	AAEL002412
OG0002213	CQUJHB013538	AAEL002433, AAEL024815
OG0002214	CQUJHB000717	AAEL002438
OG0002215	CQUJHB005950	AAEL002451
OG0002216	CQUJHB009349	AAEL021792, AAEL002463
OG0002217	CQUJHB009119	AAEL002483
OG0002218	CQUJHB015348	AAEL002504
OG0002219	CQUJHB006148	AAEL002537
OG0002220	CQUJHB003376	AAEL002543, AAEL023018
OG0002221	CQUJHB016640	AAEL002560
OG0002222	CQUJHB010238	AAEL002569
OG0002223	CQUJHB008688	AAEL002578
OG0002224	CQUJHB008876, CQUJHB001015	AAEL002581
OG0002225	CQUJHB005632	AAEL002591, AAEL002605
OG0002226	CQUJHB007377	AAEL002597, AAEL023576
OG0002227	CQUJHB007253	AAEL002602, AAEL011967
OG0002228	CQUJHB010088	AAEL002613
OG0002229	CQUJHB005588	AAEL022118, AAEL002615
OG0002230	CQUJHB014027	AAEL002645
OG0002231	CQUJHB011725, CQUJHB008978, CQUJHB015693	AAEL002652
OG0002232	CQUJHB016597	AAEL002701
OG0002233	CQUJHB016148	AAEL002714
OG0002234	CQUJHB009841	AAEL002752
OG0002235	CQUJHB010122	AAEL002775
OG0002236	CQUJHB007151	AAEL002782
OG0002237	CQUJHB014136	AAEL002783
OG0002238	CQUJHB014723	AAEL002815, AAEL022913
OG0002239	CQUJHB003596	AAEL002818
OG0002240	CQUJHB000437	AAEL002860
OG0002241	CQUJHB004604	AAEL002867, AAEL017409, AAEL026318, AAEL024386
OG0002242	CQUJHB014480	AAEL002870
OG0002243	CQUJHB016589	AAEL021181
OG0002243	CQUJHB000383	AAEL002880, AAEL027048
OG0002244	CQUJHB005805	AAEL002887
OG0002245	CQUJHB016908	AAEL002888
OG0002246	CQUJHB010050	AAEL002905, AAEL009418
OG0002247	CQUJHB004418, CQUJHB009622	AAEL002906
OG0002248	CQUJHB016195	AAEL002921
OG0002249	CQUJHB009438	AAEL002933
OG0002250	CQUJHB001918	AAEL020993, AAEL002949
OG0002251	CQUJHB014276	AAEL002961
OG0002252	CQUJHB009674	AAEL024580, AAEL002962
OG0002253	CQUJHB004508	AAEL002980, AAEL021837
OG0002254	CQUJHB004592	AAEL002988
OG0002255	CQUJHB010680	AAEL002993, AAEL021617
OG0002256	CQUJHB008335	AAEL003003
OG0002257	CQUJHB013146	AAEL003011
OG0002258	CQUJHB003065	AAEL003018
OG0002259	CQUJHB004536	AAEL003020
OG0002260	CQUJHB003014, CQUJHB015254	AAEL003032
OG0002261	CQUJHB010012	AAEL024996, AAEL003063
OG0002262	CQUJHB003690	AAEL003064
OG0002263	CQUJHB003385	AAEL003067
OG0002264	CQUJHB006913	AAEL003071
OG0002265	CQUJHB007912	AAEL003089
OG0002266	CQUJHB000401	AAEL003103
OG0002267	CQUJHB011217	AAEL003125
OG0002268	CQUJHB006856	AAEL003130
OG0002269	CQUJHB011397	AAEL003131
OG0002270	CQUJHB014938	AAEL026506, AAEL003136
OG0002271	CQUJHB010861	AAEL003140
OG0002272	CQUJHB005130	AAEL003143
OG0002273	CQUJHB005373	AAEL022327, AAEL003145
OG0002274	CQUJHB006935	AAEL003151
OG0002275	CQUJHB000691	AAEL003161
OG0002276	CQUJHB003103	AAEL003174
OG0002277	CQUJHB005431	AAEL003183
OG0002278	CQUJHB002987	AAEL003184
OG0002279	CQUJHB009582	AAEL029111, AAEL003192
OG0002280	CQUJHB016835	AAEL003198, AAEL026956
OG0002281	CQUJHB000127	AAEL003208, AAEL019417
OG0002282	CQUJHB011642	AAEL003214
OG0002283	CQUJHB002344	AAEL003216
OG0002284	CQUJHB001446	AAEL003229
OG0002285	CQUJHB002955, CQUJHB008269	AAEL003237
OG0002286	CQUJHB007418	AAEL003246
OG0002287	CQUJHB010863	AAEL003264
OG0002288	CQUJHB004334	AAEL003269
OG0002289	CQUJHB016882	AAEL003275
OG0002290	CQUJHB007502	AAEL003277
OG0002291	CQUJHB013153	AAEL003282
OG0002292	CQUJHB001130	AAEL003301
OG0002293	CQUJHB003490	AAEL028035, AAEL003320
OG0002294	CQUJHB003662	AAEL003326
OG0002295	CQUJHB000982	AAEL003344
OG0002296	CQUJHB000898	AAEL003346
OG0002297	CQUJHB020344	AAEL003353
OG0002298	CQUJHB006545	AAEL003365
OG0002299	CQUJHB009293	AAEL003367
OG0002300	CQUJHB013387	AAEL003377
OG0002301	CQUJHB018039	AAEL003397, AAEL024180
OG0002302	CQUJHB004570	AAEL003398
OG0002304	CQUJHB010742	AAEL003418
OG0002305	CQUJHB004635	AAEL003432
OG0002306	CQUJHB013760	AAEL003443
OG0002307	CQUJHB005630	AAEL017549, AAEL003448
OG0002308	CQUJHB011917	AAEL024469, AAEL003452
OG0002309	CQUJHB004445	AAEL003461, AAEL024690
OG0002310	CQUJHB009311	AAEL003485, AAEL011554
OG0002311	CQUJHB006845	AAEL003495
OG0002312	CQUJHB004384	AAEL003505
OG0002313	CQUJHB015733	AAEL003509
OG0002314	CQUJHB012634	AAEL003516
OG0002315	CQUJHB009401	AAEL003517
OG0002316	CQUJHB003740	AAEL003526
OG0002317	CQUJHB011893, CQUJHB013333	AAEL003529
OG0002318	CQUJHB003199	AAEL003530, AAEL005027
OG0002319	CQUJHB002990	AAEL003541, AAEL026564
OG0002320	CQUJHB014318, CQUJHB016145, CQUJHB005410	AAEL003546
OG0002321	CQUJHB004639	AAEL003564, AAEL003568
OG0002322	CQUJHB005601	AAEL003570
OG0002324	CQUJHB002432	AAEL019996, AAEL003601, AAEL007872, AAEL003600, AAEL022638
OG0002325	CQUJHB010565	AAEL003611
OG0002326	CQUJHB013806	AAEL003646
OG0002327	CQUJHB010813	AAEL003700, AAEL003679, AAEL003657
OG0002328	CQUJHB009440	AAEL027460, AAEL003666
OG0002329	CQUJHB008476	AAEL003698
OG0002330	CQUJHB009297	AAEL003736
OG0002331	CQUJHB000409	AAEL024850, AAEL003749
OG0002332	CQUJHB009608	AAEL022058, AAEL003754
OG0002333	CQUJHB014213	AAEL003755, AAEL020229
OG0002334	CQUJHB009980	AAEL003769
OG0002335	CQUJHB012103	AAEL003771, AAEL022498
OG0002336	CQUJHB007046	AAEL003772
OG0002337	CQUJHB016521	AAEL003812
OG0002338	CQUJHB016912	AAEL003813, AAEL023552
OG0002339	CQUJHB000264, CQUJHB002185	AAEL003837
OG0002340	CQUJHB015241	AAEL003896
OG0002341	CQUJHB017309	AAEL003901
OG0002342	CQUJHB000893	AAEL003908, AAEL025153
OG0002343	CQUJHB003320, CQUJHB010668	AAEL003929
OG0002344	CQUJHB010557	AAEL003945
OG0002345	CQUJHB003096	AAEL003965
OG0002346	CQUJHB006185	AAEL003983, AAEL021114
OG0002347	CQUJHB014113	AAEL027639, AAEL003986
OG0002348	CQUJHB006469	AAEL004013
OG0002349	CQUJHB011400	AAEL004023
OG0002350	CQUJHB015440	AAEL004035, AAEL022660
OG0002351	CQUJHB004563	AAEL004041
OG0002352	CQUJHB010594	AAEL004048
OG0002353	CQUJHB006051	AAEL004064
OG0002354	CQUJHB010462, CQUJHB008752, CQUJHB007099	AAEL004067
OG0002355	CQUJHB005547	AAEL004106
OG0002356	CQUJHB018068	AAEL004124
OG0002357	CQUJHB013014, CQUJHB004041	AAEL004128
OG0002358	CQUJHB002612	AAEL004130
OG0002359	CQUJHB014974	AAEL004138
OG0002360	CQUJHB011367	AAEL025212, AAEL004165
OG0002361	CQUJHB004650	AAEL004174
OG0002362	CQUJHB014684	AAEL004271
OG0002363	CQUJHB006766	AAEL004297
OG0002364	CQUJHB004756	AAEL004298
OG0002365	CQUJHB012487	AAEL004300
OG0002366	CQUJHB009929	AAEL004302, AAEL025429
OG0002367	CQUJHB016718, CQUJHB012929	AAEL004306
OG0002368	CQUJHB012789	AAEL004319
OG0002369	CQUJHB007800	AAEL004328
OG0002370	CQUJHB009564	AAEL004329
OG0002371	CQUJHB012855	AAEL004347
OG0002372	CQUJHB016742	AAEL004385
OG0002373	CQUJHB000794	AAEL004414
OG0002374	CQUJHB016411	AAEL004417
OG0002375	CQUJHB009769	AAEL004427
OG0002376	CQUJHB007982	AAEL004430
OG0002377	CQUJHB003022	AAEL004433
OG0002378	CQUJHB006638	AAEL004436
OG0002379	CQUJHB017208	AAEL004437
OG0002380	CQUJHB010596	AAEL004438
OG0002381	CQUJHB009411	AAEL004445
OG0002382	CQUJHB012201	AAEL004467
OG0002383	CQUJHB010836	AAEL021932, AAEL004471
OG0002384	CQUJHB014687	AAEL027716, AAEL004475
OG0002385	CQUJHB012067	AAEL004480
OG0002386	CQUJHB004362	AAEL024995, AAEL004489
OG0002387	CQUJHB015201	AAEL004509
OG0002388	CQUJHB012524	AAEL004521
OG0002389	CQUJHB010100	AAEL004532
OG0002390	CQUJHB017513	AAEL004557
OG0002391	CQUJHB001336	AAEL020850, AAEL004566
OG0002392	CQUJHB005239	AAEL004568
OG0002393	CQUJHB010590	AAEL004586, AAEL027991
OG0002395	CQUJHB016537	AAEL004688
OG0002396	CQUJHB001013	AAEL004697
OG0002397	CQUJHB013685	AAEL004698
OG0002398	CQUJHB006627	AAEL004699, AAEL021755, AAEL025856
OG0002399	CQUJHB000834	AAEL004700
OG0002400	CQUJHB018220	AAEL004703
OG0002401	CQUJHB017267	AAEL004709
OG0002402	CQUJHB015436	AAEL004715
OG0002403	CQUJHB003337	AAEL004728
OG0002404	CQUJHB010074	AAEL004741, AAEL021132
OG0002405	CQUJHB007031	AAEL004763
OG0002406	CQUJHB018093	AAEL004766
OG0002407	CQUJHB016791	AAEL004780
OG0002408	CQUJHB000279	AAEL020753, AAEL004783
OG0002409	CQUJHB001593	AAEL004802
OG0002410	CQUJHB013798	AAEL004803
OG0002411	CQUJHB011085	AAEL004817
OG0002412	CQUJHB012360	AAEL004818
OG0002413	CQUJHB000065	AAEL019930, AAEL004820, AAEL019931, AAEL027090
OG0002414	CQUJHB002452	AAEL027919, AAEL004859
OG0002415	CQUJHB015531	AAEL004877, AAEL027692
OG0002416	CQUJHB001206	AAEL004896
OG0002417	CQUJHB005610	AAEL004903
OG0002418	CQUJHB006127	AAEL004914
OG0002419	CQUJHB015871	AAEL004920
OG0002420	CQUJHB015617, CQUJHB017009	AAEL004931
OG0002421	CQUJHB016995	AAEL004952
OG0002422	CQUJHB017800	AAEL004972
OG0002423	CQUJHB012261	AAEL004973
OG0002424	CQUJHB013532	AAEL004974, AAEL021447
OG0002425	CQUJHB007575	AAEL004979
OG0002426	CQUJHB015489	AAEL004990
OG0002427	CQUJHB012702	AAEL005003
OG0002428	CQUJHB006392, CQUJHB003056	AAEL005006
OG0002429	CQUJHB010909	AAEL005008
OG0002430	CQUJHB012663, CQUJHB006534	AAEL005106
OG0002431	CQUJHB018145	AAEL005131
OG0002432	CQUJHB002271	AAEL028242, AAEL005133
OG0002433	CQUJHB008079	AAEL005137, AAEL026783
OG0002434	CQUJHB006991	AAEL005140, AAEL022249
OG0002435	CQUJHB007429	AAEL005145
OG0002436	CQUJHB018128	AAEL027000, AAEL005146
OG0002437	CQUJHB015695	AAEL024541, AAEL005176
OG0002438	CQUJHB008564, CQUJHB008781	AAEL005254
OG0002439	CQUJHB003907	AAEL005258
OG0002440	CQUJHB011136	AAEL005269
OG0002441	CQUJHB011205	AAEL005277
OG0002442	CQUJHB000964	AAEL020047, AAEL005285
OG0002443	CQUJHB003308	AAEL005290
OG0002444	CQUJHB013675	AAEL005308
OG0002445	CQUJHB005823	AAEL005309
OG0002446	CQUJHB014878	AAEL005312
OG0002447	CQUJHB011832	AAEL005374
OG0002448	CQUJHB013948	AAEL005375
OG0002449	CQUJHB005751	AAEL005395
OG0002450	CQUJHB010116	AAEL005410, AAEL025587
OG0002451	CQUJHB013600	AAEL005411
OG0002452	CQUJHB017719	AAEL005415, AAEL024350
OG0002453	CQUJHB013401	AAEL005432
OG0002454	CQUJHB013158	AAEL005437, AAEL021199
OG0002455	CQUJHB008588	AAEL005457
OG0002456	CQUJHB003838	AAEL005472
OG0002457	CQUJHB002815	AAEL022958, AAEL005475
OG0002458	CQUJHB000792	AAEL005477, AAEL024807
OG0002459	CQUJHB002715	AAEL005478, AAEL023936
OG0002460	CQUJHB011919	AAEL005490
OG0002461	CQUJHB010798	AAEL005491
OG0002462	CQUJHB017675	AAEL005493
OG0002463	CQUJHB000507	AAEL024830, AAEL005518
OG0002464	CQUJHB009902	AAEL005539
OG0002465	CQUJHB008691	AAEL020828, AAEL005552
OG0002466	CQUJHB011920	AAEL005581
OG0002467	CQUJHB006115	AAEL005590
OG0002468	CQUJHB012385	AAEL025712, AAEL005601
OG0002469	CQUJHB011123	AAEL024040, AAEL005610
OG0002470	CQUJHB002211	AAEL005628
OG0002471	CQUJHB017557	AAEL005633
OG0002472	CQUJHB007761, CQUJHB001566	AAEL005635
OG0002473	CQUJHB012618	AAEL014772, AAEL005671
OG0002474	CQUJHB006279	AAEL005701
OG0002475	CQUJHB001696	AAEL005704
OG0002476	CQUJHB001299	AAEL005708
OG0002477	CQUJHB009749	AAEL005712
OG0002478	CQUJHB000020	AAEL005718
OG0002479	CQUJHB017215	AAEL005722
OG0002480	CQUJHB013708	AAEL005738, AAEL025360
OG0002481	CQUJHB005702	AAEL005765
OG0002482	CQUJHB000819	AAEL005772
OG0002483	CQUJHB000171	AAEL005798, AAEL022056
OG0002484	CQUJHB010442	AAEL005802
OG0002485	CQUJHB005479	AAEL005811, AAEL022803
OG0002486	CQUJHB007533	AAEL005816
OG0002487	CQUJHB016355	AAEL005819
OG0002488	CQUJHB010277, CQUJHB010094	AAEL005851
OG0002489	CQUJHB006093, CQUJHB018006	AAEL005858
OG0002490	CQUJHB012668, CQUJHB015680	AAEL005863
OG0002491	CQUJHB013800	AAEL023516, AAEL005877
OG0002492	CQUJHB015851	AAEL027510, AAEL005880
OG0002493	CQUJHB015991	AAEL005885
OG0002494	CQUJHB007287	AAEL025333, AAEL005892
OG0002495	CQUJHB008579	AAEL019789, AAEL005901
OG0002496	CQUJHB017281	AAEL005921
OG0002497	CQUJHB003657	AAEL005943
OG0002498	CQUJHB000643	AAEL005945
OG0002499	CQUJHB007300	AAEL006013
OG0002500	CQUJHB011172	AAEL023372, AAEL006026
OG0002501	CQUJHB007006	AAEL006028
OG0002502	CQUJHB013686	AAEL006035
OG0002503	CQUJHB015917	AAEL025276, AAEL006038
OG0002504	CQUJHB008232	AAEL006039
OG0002505	CQUJHB012068, CQUJHB008038	AAEL006061
OG0002506	CQUJHB003498	AAEL023240, AAEL006063
OG0002507	CQUJHB015187	AAEL025772, AAEL006075
OG0002508	CQUJHB013504	AAEL006095
OG0002509	CQUJHB012352	AAEL006122
OG0002510	CQUJHB014679	AAEL006128
OG0002511	CQUJHB009676	AAEL006145, AAEL006812
OG0002512	CQUJHB015655	AAEL021190, AAEL006155
OG0002513	CQUJHB017553	AAEL006169
OG0002514	CQUJHB017708	AAEL006187
OG0002515	CQUJHB006348, CQUJHB015063	AAEL006196
OG0002516	CQUJHB006557	AAEL006214
OG0002517	CQUJHB006228	AAEL006226
OG0002518	CQUJHB009619	AAEL006227
OG0002519	CQUJHB011239	AAEL006236
OG0002520	CQUJHB018416	AAEL006239
OG0002521	CQUJHB005754	AAEL006258
OG0002522	CQUJHB001129	AAEL006269
OG0002523	CQUJHB012857	AAEL006275
OG0002524	CQUJHB012681	AAEL006294
OG0002525	CQUJHB001347	AAEL006309
OG0002526	CQUJHB001835	AAEL006312
OG0002527	CQUJHB013109	AAEL006315
OG0002528	CQUJHB014190	AAEL006320
OG0002529	CQUJHB010186	AAEL006321
OG0002530	CQUJHB007078	AAEL006354
OG0002530	CQUJHB013495	AAEL006342
OG0002531	CQUJHB007211, CQUJHB011313	AAEL006347
OG0002532	CQUJHB004346	AAEL006349
OG0002533	CQUJHB014674	AAEL006356
OG0002534	CQUJHB013984	AAEL006360
OG0002535	CQUJHB003824	AAEL006386
OG0002536	CQUJHB009733	AAEL006399
OG0002537	CQUJHB015268	AAEL006416, AAEL009224
OG0002538	CQUJHB002497, CQUJHB005070	AAEL006435
OG0002539	CQUJHB008846	AAEL006442
OG0002540	CQUJHB011114	AAEL006449
OG0002541	CQUJHB011485	AAEL006452
OG0002542	CQUJHB012656	AAEL006469
OG0002543	CQUJHB017907	AAEL006474
OG0002544	CQUJHB005985	AAEL006515, AAEL006507
OG0002545	CQUJHB004140	AAEL006510
OG0002546	CQUJHB017047	AAEL022739, AAEL006532
OG0002547	CQUJHB017911	AAEL006541
OG0002548	CQUJHB014078	AAEL006550
OG0002549	CQUJHB015145	AAEL006570, AAEL015457
OG0002550	CQUJHB004044	AAEL006571
