Orthogroup	CquinquefasciatusJHB2020	AminimusMINIMUS1
OG0001705	CQUJHB007470	AMIN004423, AMIN004424
OG0001706	CQUJHB006543, CQUJHB012272	AMIN004427
OG0001708	CQUJHB000812	AMIN011340
OG0001709	CQUJHB007914	AMIN004221
OG0001710	CQUJHB011610, CQUJHB000347	AMIN007022
OG0001711	CQUJHB016971	AMIN009564
OG0001712	CQUJHB016875	AMIN005114
OG0001713	CQUJHB009098, CQUJHB015985	AMIN007563
OG0001714	CQUJHB003137	AMIN009480
OG0001715	CQUJHB017946	AMIN007500, AMIN007498
OG0001716	CQUJHB006814	AMIN009853, AMIN009378
OG0001717	CQUJHB011333	AMIN009855, AMIN009856
OG0001718	CQUJHB018202	AMIN000197, AMIN000198
OG0001719	CQUJHB007686	AMIN007341
OG0001720	CQUJHB002212	AMIN004085
OG0001721	CQUJHB006168, CQUJHB007712	AMIN000752
OG0001722	CQUJHB002479	AMIN000262
OG0001723	CQUJHB013881	AMIN000260
OG0001724	CQUJHB009916	AMIN015519
OG0001725	CQUJHB017260, CQUJHB007806	AMIN011280
OG0001726	CQUJHB010294	AMIN010691
OG0001727	CQUJHB014054	AMIN005082
OG0001728	CQUJHB005672, CQUJHB009623, CQUJHB012341	AMIN008781
OG0001729	CQUJHB004027	AMIN007144
OG0001730	CQUJHB013851	AMIN010737
OG0001731	CQUJHB000468	AMIN008041
OG0001732	CQUJHB001251	AMIN008097
OG0001733	CQUJHB012247	AMIN008094
OG0001734	CQUJHB014775	AMIN000136
OG0001735	CQUJHB012889	AMIN004224, AMIN000973
OG0001736	CQUJHB011598	AMIN000931
OG0001737	CQUJHB010770	AMIN006545
OG0001738	CQUJHB002836	AMIN005607
OG0001740	CQUJHB007289, CQUJHB004827	AMIN008073
OG0001741	CQUJHB014649	AMIN002561
OG0001742	CQUJHB018010, CQUJHB005972	AMIN005632
OG0001743	CQUJHB005038	AMIN001594
OG0001744	CQUJHB002298	AMIN015660
OG0001745	CQUJHB004240	AMIN001592
OG0001746	CQUJHB011814	AMIN015661
OG0001747	CQUJHB011101	AMIN008181, AMIN008179
OG0001748	CQUJHB015327	AMIN004574
OG0001749	CQUJHB004574	AMIN011276, AMIN007287
OG0001751	CQUJHB003016	AMIN004323
OG0001752	CQUJHB017723	AMIN003462
OG0001753	CQUJHB009024	AMIN008741, AMIN008743
OG0001754	CQUJHB016596	AMIN008552
OG0001755	CQUJHB007071	AMIN001509
OG0001756	CQUJHB000001	AMIN008028, AMIN008031
OG0001757	CQUJHB001477	AMIN003463
OG0001758	CQUJHB006163, CQUJHB003627	AMIN001687
OG0001759	CQUJHB009632	AMIN001685
OG0001760	CQUJHB000104	AMIN002035
OG0001762	CQUJHB006380	AMIN005252, AMIN005251
OG0001763	CQUJHB013383	AMIN010356
OG0001764	CQUJHB008019	AMIN010999, AMIN011001
OG0001765	CQUJHB000726	AMIN011004, AMIN011005
OG0001766	CQUJHB001897	AMIN006458
OG0001767	CQUJHB007408	AMIN000602
OG0001768	CQUJHB013392	AMIN007697
OG0001769	CQUJHB016399	AMIN000601
OG0001771	CQUJHB005386	AMIN001562, AMIN001533
OG0001773	CQUJHB014243	AMIN000414
OG0001774	CQUJHB010941	AMIN000407
OG0001775	CQUJHB001066	AMIN009768
OG0001776	CQUJHB010914	AMIN007983
OG0001777	CQUJHB008806	AMIN001453
OG0001778	CQUJHB014567	AMIN002634, AMIN002636
OG0001779	CQUJHB017194	AMIN004320
OG0001780	CQUJHB017314	AMIN004319
OG0001781	CQUJHB011216, CQUJHB010073	AMIN003397
OG0001782	CQUJHB017348, CQUJHB014146, CQUJHB002991	AMIN003735
OG0001783	CQUJHB000545, CQUJHB006275, CQUJHB002402	AMIN004878
OG0001784	CQUJHB004390	AMIN011220
OG0001786	CQUJHB006327	AMIN006328, AMIN006329
OG0001787	CQUJHB001626	AMIN005488
OG0001788	CQUJHB006166	AMIN010624
OG0001789	CQUJHB000712, CQUJHB014709	AMIN010625
OG0001790	CQUJHB017495	AMIN002012
OG0001791	CQUJHB016649	AMIN003556
OG0001792	CQUJHB005200	AMIN009998
OG0001793	CQUJHB005201	AMIN009986
OG0001794	CQUJHB002450	AMIN009987
OG0001795	CQUJHB008648, CQUJHB016749	AMIN005564
OG0001796	CQUJHB010066	AMIN015771
OG0001797	CQUJHB012267, CQUJHB001776, CQUJHB006034	AMIN007957
OG0001798	CQUJHB000085	AMIN003399
OG0001799	CQUJHB007772	AMIN000646
OG0001800	CQUJHB014946	AMIN001449
OG0001801	CQUJHB016768	AMIN010499
OG0001802	CQUJHB018409	AMIN014005, AMIN000079, AMIN000080
OG0001803	CQUJHB012318, CQUJHB005517	AMIN005838
OG0001804	CQUJHB003242	AMIN006121
OG0001805	CQUJHB001203	AMIN015793, AMIN015794
OG0001806	CQUJHB015805	AMIN009902, AMIN009903
OG0001807	CQUJHB011971	AMIN009387, AMIN009388
OG0001808	CQUJHB015768	AMIN011580, AMIN011581
OG0001809	CQUJHB006504, CQUJHB006361	AMIN009558
OG0001810	CQUJHB003726	AMIN009569
OG0001811	CQUJHB013858	AMIN002928
OG0001812	CQUJHB009625	AMIN005218
OG0001813	CQUJHB016927	AMIN010630
OG0001814	CQUJHB000841	AMIN010631
OG0001815	CQUJHB011802	AMIN001576, AMIN001574
OG0001816	CQUJHB007213	AMIN011109
OG0001817	CQUJHB004187	AMIN009740
OG0001818	CQUJHB015469	AMIN010148
OG0001819	CQUJHB012369	AMIN005653
OG0001820	CQUJHB007965	AMIN010361
OG0001821	CQUJHB016998	AMIN007908
OG0001822	CQUJHB007572	AMIN009715
OG0001823	CQUJHB014893	AMIN010415
OG0001824	CQUJHB003487	AMIN006690
OG0001825	CQUJHB005537	AMIN005256
OG0001826	CQUJHB006583	AMIN015552
OG0001827	CQUJHB010570, CQUJHB017812, CQUJHB010623	AMIN005095
OG0001828	CQUJHB014610, CQUJHB011345, CQUJHB009880	AMIN006358
OG0001829	CQUJHB007499, CQUJHB014883	AMIN008903
OG0001830	CQUJHB012198	AMIN007611
OG0001831	CQUJHB014199	AMIN002093
OG0001832	CQUJHB012280	AMIN008561
OG0001833	CQUJHB012719	AMIN007185
OG0001834	CQUJHB011754	AMIN015497
OG0001835	CQUJHB000069	AMIN004932, AMIN004933
OG0001837	CQUJHB000827	AMIN004883, AMIN004881
OG0001838	CQUJHB001157	AMIN008289, AMIN008290
OG0001839	CQUJHB002246	AMIN001761
OG0001841	CQUJHB004226	AMIN010560
OG0001842	CQUJHB003224	AMIN009351
OG0001843	CQUJHB001883	AMIN003499, AMIN003500
OG0001844	CQUJHB017539	AMIN006986
OG0001845	CQUJHB002279	AMIN015778
OG0001846	CQUJHB010678	AMIN008369
OG0001847	CQUJHB010987	AMIN014466, AMIN005573, AMIN009051
OG0001848	CQUJHB015143	AMIN005470
OG0001849	CQUJHB005774	AMIN008447, AMIN008446
OG0001850	CQUJHB015673	AMIN000620, AMIN000621
OG0001851	CQUJHB004201	AMIN002423
OG0001852	CQUJHB014663	AMIN008435, AMIN008434
OG0001853	CQUJHB009903	AMIN015973
OG0001854	CQUJHB010799	AMIN004311
OG0001855	CQUJHB002102	AMIN007620, AMIN007619
OG0001856	CQUJHB016160	AMIN015737
OG0001857	CQUJHB018237	AMIN003689, AMIN003690
OG0001858	CQUJHB011662	AMIN016030
OG0001859	CQUJHB010404	AMIN003454
OG0001860	CQUJHB017652	AMIN000263
OG0001861	CQUJHB018021	AMIN010248
OG0001862	CQUJHB011807	AMIN003396
OG0001863	CQUJHB006953	AMIN008168
OG0001864	CQUJHB006273	AMIN009862
OG0001865	CQUJHB016972	AMIN005321
OG0001866	CQUJHB008116	AMIN003418
OG0001867	CQUJHB009413, CQUJHB013482	AMIN005984
OG0001869	CQUJHB005793	AMIN004954, AMIN006497, AMIN004999
OG0001870	CQUJHB010502	AMIN000808
OG0001871	CQUJHB002846	AMIN007313
OG0001872	CQUJHB014005	AMIN014894, AMIN014892, AMIN002741
OG0001873	CQUJHB017060	AMIN002562
OG0001874	CQUJHB003814	AMIN003048, AMIN003047
OG0001875	CQUJHB003769	AMIN010798
OG0001876	CQUJHB016428	AMIN004600, AMIN004595
OG0001877	CQUJHB007854	AMIN004826, AMIN004827
OG0001878	CQUJHB012769	AMIN006215, AMIN006213
OG0001879	CQUJHB015487	AMIN008890
OG0001881	CQUJHB006399	AMIN009979
OG0001883	CQUJHB013762	AMIN009931
OG0001884	CQUJHB010453	AMIN001054
OG0001885	CQUJHB007303	AMIN002968
OG0001886	CQUJHB007991	AMIN005742
OG0001887	CQUJHB010974	AMIN005613
OG0001889	CQUJHB000173	AMIN005658, AMIN005661
OG0001890	CQUJHB018269	AMIN008213
OG0001891	CQUJHB010310	AMIN009438
OG0001892	CQUJHB000339	AMIN000116, AMIN000114
OG0001893	CQUJHB008767	AMIN004384, AMIN004338
OG0001894	CQUJHB005240	AMIN002076
OG0001895	CQUJHB005279	AMIN010600
OG0001896	CQUJHB014927	AMIN001064
OG0001897	CQUJHB000796	AMIN005514, AMIN005515
OG0001898	CQUJHB008962	AMIN005288
OG0001899	CQUJHB016916	AMIN006008
OG0001901	CQUJHB001292, CQUJHB007141	AMIN006378
OG0001902	CQUJHB003665, CQUJHB015274	AMIN002991
OG0001903	CQUJHB016326, CQUJHB011952, CQUJHB010866, CQUJHB006662	AMIN000469
OG0001905	CQUJHB015251	AMIN000638
OG0001906	CQUJHB012925	AMIN004037
OG0001907	CQUJHB014583	AMIN008739, AMIN008738
OG0001908	CQUJHB003954	AMIN002563
OG0001909	CQUJHB010206, CQUJHB007957, CQUJHB008854	AMIN006182
OG0001910	CQUJHB011929	AMIN006553, AMIN006554
OG0001912	CQUJHB012127	AMIN004504
OG0001913	CQUJHB010947	AMIN005221, AMIN005223
OG0001914	CQUJHB014627	AMIN011518
OG0001915	CQUJHB003422	AMIN003811
OG0001916	CQUJHB017477	AMIN000785
OG0001917	CQUJHB016388	AMIN003280
OG0001918	CQUJHB011861	AMIN002067
OG0001919	CQUJHB013909	AMIN016209, AMIN010174
OG0001920	CQUJHB016365	AMIN000410
OG0001921	CQUJHB010226, CQUJHB020401, CQUJHB020267, CQUJHB001248	AMIN000378
OG0001922	CQUJHB001701	AMIN007989
OG0001923	CQUJHB011173	AMIN011279
OG0001924	CQUJHB008851	AMIN006781
OG0001925	CQUJHB008947	AMIN002090
OG0001926	CQUJHB005904	AMIN005567
OG0001928	CQUJHB017584	AMIN011226
OG0001929	CQUJHB009052	AMIN005224
OG0001930	CQUJHB000488	AMIN016212
OG0001931	CQUJHB001579	AMIN001231, AMIN001193
OG0001933	CQUJHB009853	AMIN000149
OG0001934	CQUJHB008345, CQUJHB014551	AMIN011386
OG0001937	CQUJHB005452	AMIN010521, AMIN010519
OG0001938	CQUJHB013689	AMIN006913
OG0001939	CQUJHB015433	AMIN015735
OG0001940	CQUJHB003955	AMIN005390, AMIN005388
OG0001941	CQUJHB017019	AMIN005486
OG0001942	CQUJHB002444	AMIN007330, AMIN007331
OG0001944	CQUJHB012856	AMIN004312
OG0001945	CQUJHB015802	AMIN005359
OG0001946	CQUJHB004460	AMIN006606
OG0001947	CQUJHB017725	AMIN007109, AMIN007108
OG0001948	CQUJHB012140	AMIN005424
OG0001949	CQUJHB007700	AMIN001886
OG0001950	CQUJHB007473	AMIN015502, AMIN007679
OG0001951	CQUJHB017052	AMIN001795
OG0001952	CQUJHB014332	AMIN011287
OG0001953	CQUJHB009317	AMIN010183
OG0001954	CQUJHB006751	AMIN009989
OG0001955	CQUJHB014791	AMIN007233
OG0001956	CQUJHB015498	AMIN005577
OG0001957	CQUJHB008729, CQUJHB007723	AMIN010161
OG0001958	CQUJHB015953	AMIN005075, AMIN004398
OG0001959	CQUJHB009277	AMIN000834
OG0001960	CQUJHB018138	AMIN003315
OG0001961	CQUJHB014631	AMIN001871
OG0001962	CQUJHB016651	AMIN001127, AMIN001126
OG0001963	CQUJHB011444	AMIN009864
OG0001964	CQUJHB018337	AMIN007949, AMIN007950
OG0001965	CQUJHB013662	AMIN004289
OG0001968	CQUJHB002848	AMIN008112
OG0001969	CQUJHB009273	AMIN010662
OG0001970	CQUJHB014942, CQUJHB003598, CQUJHB006771	AMIN003167
OG0001971	CQUJHB009557	AMIN004269
OG0001972	CQUJHB009191, CQUJHB017842	AMIN008126
OG0001973	CQUJHB003163	AMIN006810
OG0001974	CQUJHB003100	AMIN005498
OG0001975	CQUJHB017537, CQUJHB000395	AMIN011026
OG0001976	CQUJHB002571	AMIN003507
OG0001977	CQUJHB018154	AMIN005416
OG0001978	CQUJHB012118	AMIN015741
OG0001979	CQUJHB002147	AMIN000233
OG0001980	CQUJHB016028	AMIN005639
OG0001981	CQUJHB002973	AMIN004852
OG0001982	CQUJHB010272, CQUJHB001693, CQUJHB010161	AMIN005659
OG0001983	CQUJHB007443	AMIN005588
OG0001991	CQUJHB008591, CQUJHB015134, CQUJHB016889, CQUJHB007471, CQUJHB009367	AMIN005459
OG0001998	CQUJHB006595	AMIN005634
OG0002000	CQUJHB006851	AMIN004536
OG0002010	CQUJHB004416	AMIN005093
OG0002011	CQUJHB008730	AMIN004694
OG0002012	CQUJHB006495	AMIN001213, AMIN007289
OG0002027	CQUJHB015303	AMIN003035
OG0002028	CQUJHB000015	AMIN000742
OG0002029	CQUJHB000454, CQUJHB003417	AMIN016063
OG0002030	CQUJHB007781	AMIN000729
OG0002032	CQUJHB007591, CQUJHB017901	AMIN004840
OG0002033	CQUJHB000201	AMIN003566
OG0002034	CQUJHB002364	AMIN000883
OG0002035	CQUJHB012676	AMIN002860
OG0002036	CQUJHB008731	AMIN002474
OG0002037	CQUJHB020324, CQUJHB020378	AMIN007459
OG0002038	CQUJHB001224	AMIN016265
OG0002039	CQUJHB010689	AMIN005004
OG0002040	CQUJHB018123	AMIN016267
OG0002041	CQUJHB010072	AMIN006460
OG0002042	CQUJHB011332	AMIN005013
OG0002043	CQUJHB013302	AMIN010723
OG0002044	CQUJHB016863	AMIN002134
OG0002045	CQUJHB011243	AMIN005824
OG0002046	CQUJHB018449, CQUJHB016117	AMIN008681
OG0002047	CQUJHB002076	AMIN016072
OG0002048	CQUJHB001769	AMIN008309
OG0002049	CQUJHB005527, CQUJHB007692	AMIN008671
OG0002050	CQUJHB014964	AMIN007814, AMIN007813
OG0002051	CQUJHB005235, CQUJHB010587, CQUJHB000316	AMIN003126
OG0002052	CQUJHB007752	AMIN008508
OG0002053	CQUJHB001207	AMIN007810
OG0002054	CQUJHB014552	AMIN008924
OG0002055	CQUJHB013576	AMIN014085, AMIN000846
OG0002056	CQUJHB002626	AMIN004044
OG0002057	CQUJHB012693	AMIN000848
OG0002058	CQUJHB004327	AMIN000655
OG0002059	CQUJHB003851	AMIN004816
OG0002060	CQUJHB018185	AMIN000849
OG0002061	CQUJHB009512	AMIN000654
OG0002062	CQUJHB012677	AMIN003590, AMIN003592
OG0002063	CQUJHB004868	AMIN000395
OG0002064	CQUJHB017762	AMIN008791
OG0002065	CQUJHB001303	AMIN009170
OG0002066	CQUJHB015590	AMIN009163
OG0002067	CQUJHB014615	AMIN003419
OG0002068	CQUJHB001906	AMIN003413
OG0002069	CQUJHB017104	AMIN009474
OG0002070	CQUJHB009199	AMIN004404
OG0002072	CQUJHB008226	AMIN004763
OG0002073	CQUJHB009920	AMIN007740
OG0002074	CQUJHB008271	AMIN007739
OG0002075	CQUJHB015158	AMIN007737
OG0002076	CQUJHB013464	AMIN007738
OG0002077	CQUJHB015918	AMIN008560
OG0002078	CQUJHB011705	AMIN003972
OG0002079	CQUJHB001903	AMIN003975
OG0002080	CQUJHB013277	AMIN003973
OG0002081	CQUJHB009731	AMIN004275
OG0002082	CQUJHB003397	AMIN009309
OG0002083	CQUJHB013356	AMIN008954
OG0002084	CQUJHB013949	AMIN003006
OG0002085	CQUJHB017489	AMIN011061
OG0002086	CQUJHB010646	AMIN008582
OG0002087	CQUJHB006590	AMIN008197
OG0002088	CQUJHB010181	AMIN001301
OG0002089	CQUJHB002003	AMIN001310
OG0002090	CQUJHB003030	AMIN004529
OG0002091	CQUJHB013258	AMIN011062
OG0002092	CQUJHB017744	AMIN008580
OG0002094	CQUJHB007383	AMIN008340
OG0002095	CQUJHB005853	AMIN000347
OG0002096	CQUJHB005530	AMIN011144, AMIN011145
OG0002097	CQUJHB017962, CQUJHB012489, CQUJHB011659	AMIN011141
OG0002098	CQUJHB013710	AMIN003332
OG0002099	CQUJHB000391	AMIN003072
OG0002100	CQUJHB014387	AMIN003711
OG0002101	CQUJHB012215	AMIN003633
OG0002102	CQUJHB004208	AMIN003178
OG0002104	CQUJHB017798	AMIN006918
OG0002105	CQUJHB011479	AMIN009567
OG0002106	CQUJHB015190	AMIN001475
OG0002107	CQUJHB015721	AMIN001474
OG0002108	CQUJHB017811	AMIN015991
OG0002109	CQUJHB003037	AMIN011619
OG0002110	CQUJHB006433	AMIN001186
OG0002111	CQUJHB001706	AMIN009452
OG0002112	CQUJHB012500	AMIN005799
OG0002113	CQUJHB011651, CQUJHB014730	AMIN001551
OG0002114	CQUJHB010172, CQUJHB010508	AMIN009929
OG0002115	CQUJHB001590	AMIN011436
OG0002116	CQUJHB000110	AMIN007541
OG0002117	CQUJHB002257, CQUJHB017164	AMIN010906
OG0002118	CQUJHB003964, CQUJHB008253	AMIN011643
OG0002119	CQUJHB014981	AMIN009961
OG0002120	CQUJHB014175	AMIN002109
OG0002122	CQUJHB003340	AMIN006443
OG0002123	CQUJHB013223	AMIN010541
OG0002124	CQUJHB012406, CQUJHB007350	AMIN007304
OG0002125	CQUJHB011922	AMIN009682
OG0002126	CQUJHB014744, CQUJHB000820	AMIN007369
OG0002127	CQUJHB014050, CQUJHB015643	AMIN007276
OG0002128	CQUJHB009908	AMIN010480
OG0002129	CQUJHB012894, CQUJHB016886	AMIN010466
OG0002130	CQUJHB009924	AMIN010475
OG0002131	CQUJHB001427	AMIN010474
OG0002132	CQUJHB014710	AMIN010476
OG0002133	CQUJHB006683	AMIN010454
OG0002134	CQUJHB012801	AMIN005571
OG0002135	CQUJHB002700	AMIN001648
OG0002136	CQUJHB011012	AMIN005998
OG0002137	CQUJHB008468	AMIN006808
OG0002138	CQUJHB008948	AMIN007157
OG0002139	CQUJHB001861	AMIN005947
OG0002140	CQUJHB003839	AMIN001181
OG0002141	CQUJHB011348	AMIN005989
OG0002142	CQUJHB004693	AMIN001649
OG0002143	CQUJHB018228	AMIN008877
OG0002144	CQUJHB006170	AMIN008865
OG0002145	CQUJHB002789	AMIN008872
OG0002146	CQUJHB011719	AMIN010223
OG0002149	CQUJHB008545, CQUJHB010818	AMIN010343
OG0002150	CQUJHB011406	AMIN010211
OG0002151	CQUJHB009644, CQUJHB007757	AMIN010258
OG0002152	CQUJHB014510	AMIN010216
OG0002153	CQUJHB003031	AMIN001367
OG0002154	CQUJHB002808	AMIN006403
OG0002155	CQUJHB005873, CQUJHB005980	AMIN007610
OG0002156	CQUJHB012918	AMIN006042
OG0002157	CQUJHB000632	AMIN010929
OG0002158	CQUJHB003434	AMIN011547
OG0002159	CQUJHB016275	AMIN011542
OG0002160	CQUJHB015104	AMIN001568
OG0002161	CQUJHB001120	AMIN001351
OG0002162	CQUJHB002048	AMIN001569
OG0002163	CQUJHB004123	AMIN005940
OG0002164	CQUJHB003090	AMIN001347
OG0002165	CQUJHB005631	AMIN006362
OG0002166	CQUJHB015094	AMIN001180
OG0002167	CQUJHB009230	AMIN007218
OG0002168	CQUJHB009807	AMIN006366
OG0002169	CQUJHB008100	AMIN006364
OG0002170	CQUJHB015311	AMIN007220
OG0002171	CQUJHB017228	AMIN009559
OG0002172	CQUJHB013281	AMIN007219
OG0002173	CQUJHB000228	AMIN009690
OG0002174	CQUJHB003725	AMIN009428
OG0002175	CQUJHB008401	AMIN009691
OG0002176	CQUJHB012513	AMIN009699
OG0002177	CQUJHB012766	AMIN009066
OG0002178	CQUJHB001425	AMIN009064
OG0002179	CQUJHB001471	AMIN006223
OG0002180	CQUJHB003808	AMIN006207
OG0002181	CQUJHB017639, CQUJHB016180	AMIN006227
OG0002182	CQUJHB006550	AMIN015600
OG0002183	CQUJHB012486	AMIN006189, AMIN001209
OG0002184	CQUJHB008635	AMIN003881
OG0002185	CQUJHB016880	AMIN004055
OG0002186	CQUJHB004159	AMIN003245
OG0002187	CQUJHB017101	AMIN015560
OG0002188	CQUJHB016517	AMIN015561
OG0002189	CQUJHB016647	AMIN005353
OG0002190	CQUJHB002487	AMIN001744
OG0002191	CQUJHB018069	AMIN006085
OG0002192	CQUJHB005712	AMIN001743
OG0002193	CQUJHB007235	AMIN009819
OG0002194	CQUJHB013506	AMIN007920
OG0002195	CQUJHB010450	AMIN010990
OG0002196	CQUJHB010713	AMIN007921
OG0002197	CQUJHB000244	AMIN008906
OG0002198	CQUJHB006518	AMIN009252
OG0002199	CQUJHB009360	AMIN009233
OG0002200	CQUJHB005566	AMIN011284
OG0002201	CQUJHB005134	AMIN007387
OG0002202	CQUJHB004704	AMIN007390
OG0002203	CQUJHB012321, CQUJHB015547	AMIN007717
OG0002204	CQUJHB005442, CQUJHB009865	AMIN002121
OG0002205	CQUJHB007144	AMIN011282
OG0002206	CQUJHB011470	AMIN007389
OG0002208	CQUJHB015490	AMIN001518
OG0002209	CQUJHB006118	AMIN001540
OG0002210	CQUJHB000032	AMIN001593
OG0002211	CQUJHB005012, CQUJHB008285	AMIN011063
OG0002212	CQUJHB006368	AMIN004772
OG0002213	CQUJHB013538	AMIN003786
OG0002214	CQUJHB000717	AMIN005748
OG0002215	CQUJHB005950	AMIN005125
OG0002216	CQUJHB009349	AMIN007316
OG0002217	CQUJHB009119	AMIN010651
OG0002218	CQUJHB015348	AMIN007166
OG0002219	CQUJHB006148	AMIN002016
OG0002220	CQUJHB003376	AMIN002637
OG0002221	CQUJHB016640	AMIN003449
OG0002222	CQUJHB010238	AMIN003447
OG0002223	CQUJHB008688	AMIN005031
OG0002224	CQUJHB008876, CQUJHB001015	AMIN003688
OG0002226	CQUJHB007377	AMIN004298
OG0002227	CQUJHB007253	AMIN004092
OG0002228	CQUJHB010088	AMIN005029
OG0002229	CQUJHB005588	AMIN006858
OG0002230	CQUJHB014027	AMIN001386
OG0002231	CQUJHB011725, CQUJHB008978, CQUJHB015693	AMIN001378
OG0002232	CQUJHB016597	AMIN000767
OG0002233	CQUJHB016148	AMIN010342
OG0002234	CQUJHB009841	AMIN010890
OG0002235	CQUJHB010122	AMIN004800
OG0002236	CQUJHB007151	AMIN003969
OG0002237	CQUJHB014136	AMIN002665
OG0002238	CQUJHB014723	AMIN000733
OG0002239	CQUJHB003596	AMIN000730
OG0002240	CQUJHB000437	AMIN000595
OG0002241	CQUJHB004604	AMIN003649
OG0002242	CQUJHB014480	AMIN004779
OG0002244	CQUJHB005805	AMIN005615
OG0002245	CQUJHB016908	AMIN015556
OG0002246	CQUJHB010050	AMIN005616
OG0002247	CQUJHB004418, CQUJHB009622	AMIN000771
OG0002248	CQUJHB016195	AMIN005444
OG0002249	CQUJHB009438	AMIN011286
OG0002250	CQUJHB001918	AMIN000926
OG0002251	CQUJHB014276	AMIN000925
OG0002252	CQUJHB009674	AMIN000927
OG0002253	CQUJHB004508	AMIN008807
OG0002254	CQUJHB004592	AMIN003253
OG0002256	CQUJHB008335	AMIN003250, AMIN001938
OG0002257	CQUJHB013146	AMIN000803
OG0002258	CQUJHB003065	AMIN000287
OG0002259	CQUJHB004536	AMIN005547
OG0002260	CQUJHB003014, CQUJHB015254	AMIN005145
OG0002261	CQUJHB010012	AMIN011048
OG0002262	CQUJHB003690	AMIN015961
OG0002263	CQUJHB003385	AMIN007954
OG0002264	CQUJHB006913	AMIN016037
OG0002265	CQUJHB007912	AMIN007386
OG0002266	CQUJHB000401	AMIN005451
OG0002267	CQUJHB011217	AMIN010061
OG0002268	CQUJHB006856	AMIN001300
OG0002269	CQUJHB011397	AMIN001299
OG0002270	CQUJHB014938	AMIN008214
OG0002271	CQUJHB010861	AMIN001312
OG0002272	CQUJHB005130	AMIN001313
OG0002273	CQUJHB005373	AMIN004505
OG0002274	CQUJHB006935	AMIN007254
OG0002275	CQUJHB000691	AMIN003871
OG0002276	CQUJHB003103	AMIN007259
OG0002277	CQUJHB005431	AMIN003828
OG0002278	CQUJHB002987	AMIN003833
OG0002279	CQUJHB009582	AMIN003829
OG0002280	CQUJHB016835	AMIN016285
OG0002281	CQUJHB000127	AMIN003524
OG0002282	CQUJHB011642	AMIN010767
OG0002283	CQUJHB002344	AMIN009591
OG0002284	CQUJHB001446	AMIN010760
OG0002285	CQUJHB002955, CQUJHB008269	AMIN001710
OG0002286	CQUJHB007418	AMIN009705
OG0002287	CQUJHB010863	AMIN009707
OG0002288	CQUJHB004334	AMIN009706
OG0002289	CQUJHB016882	AMIN010780
OG0002290	CQUJHB007502	AMIN010769
OG0002291	CQUJHB013153	AMIN001027
OG0002292	CQUJHB001130	AMIN009184
OG0002293	CQUJHB003490	AMIN007462
OG0002294	CQUJHB003662	AMIN006126
OG0002295	CQUJHB000982	AMIN006125
OG0002296	CQUJHB000898	AMIN006109
OG0002297	CQUJHB020344	AMIN005185
OG0002298	CQUJHB006545	AMIN000502
OG0002299	CQUJHB009293	AMIN000444
OG0002300	CQUJHB013387	AMIN000499
OG0002301	CQUJHB018039	AMIN000437
OG0002302	CQUJHB004570	AMIN003674
OG0002304	CQUJHB010742	AMIN004350
OG0002305	CQUJHB004635	AMIN006523
OG0002306	CQUJHB013760	AMIN015970
OG0002307	CQUJHB005630	AMIN008616
OG0002308	CQUJHB011917	AMIN010484
OG0002309	CQUJHB004445	AMIN010206
OG0002310	CQUJHB009311	AMIN008098
OG0002311	CQUJHB006845	AMIN003423
OG0002312	CQUJHB004384	AMIN007981
OG0002313	CQUJHB015733	AMIN008258
OG0002314	CQUJHB012634	AMIN001595
OG0002315	CQUJHB009401	AMIN008285
OG0002316	CQUJHB003740	AMIN008286
OG0002317	CQUJHB011893, CQUJHB013333	AMIN001602
OG0002318	CQUJHB003199	AMIN006323
OG0002319	CQUJHB002990	AMIN001601
OG0002320	CQUJHB014318, CQUJHB016145, CQUJHB005410	AMIN001604
OG0002321	CQUJHB004639	AMIN000173
OG0002322	CQUJHB005601	AMIN000178
OG0002325	CQUJHB010565	AMIN003758
OG0002326	CQUJHB013806	AMIN002152
OG0002328	CQUJHB009440	AMIN006831
OG0002329	CQUJHB008476	AMIN002150
OG0002330	CQUJHB009297	AMIN007751
OG0002331	CQUJHB000409	AMIN004708
OG0002332	CQUJHB009608	AMIN003854
OG0002333	CQUJHB014213	AMIN004707
OG0002334	CQUJHB009980	AMIN004701
OG0002335	CQUJHB012103	AMIN004706
OG0002336	CQUJHB007046	AMIN004704
OG0002337	CQUJHB016521	AMIN005683
OG0002338	CQUJHB016912	AMIN007449
OG0002339	CQUJHB000264, CQUJHB002185	AMIN009214
OG0002340	CQUJHB015241	AMIN000763
OG0002341	CQUJHB017309	AMIN000759
OG0002342	CQUJHB000893	AMIN003495
OG0002344	CQUJHB010557	AMIN000787
OG0002345	CQUJHB003096	AMIN008242
OG0002346	CQUJHB006185	AMIN001538
OG0002347	CQUJHB014113	AMIN004340
OG0002348	CQUJHB006469	AMIN002918
OG0002349	CQUJHB011400	AMIN000669
OG0002350	CQUJHB015440	AMIN003148
OG0002351	CQUJHB004563	AMIN002910
OG0002352	CQUJHB010594	AMIN005560
OG0002353	CQUJHB006051	AMIN005674
OG0002354	CQUJHB010462, CQUJHB008752, CQUJHB007099	AMIN005717
OG0002355	CQUJHB005547	AMIN009352
OG0002356	CQUJHB018068	AMIN000660
OG0002357	CQUJHB013014, CQUJHB004041	AMIN000144
OG0002358	CQUJHB002612	AMIN002453
