Orthogroup	AfunestusAfunGA1	Aalbopictus_AalbF5
OG0002174	AFUN2_007413	LOC109427854
OG0002175	AFUN2_010735	LOC109427951
OG0002176	AFUN2_003254	LOC134287653
OG0002177	AFUN2_002492	LOC109412636, LOC109415898
OG0002178	AFUN2_011069	LOC115254132
OG0002179	AFUN2_013729	LOC109432552
OG0002180	AFUN2_006817	LOC109421499
OG0002181	AFUN2_005316	LOC109421441
OG0002182	AFUN2_010879	LOC109417751
OG0002183	AFUN2_002696	LOC115253940
OG0002184	AFUN2_003880	LOC109409012
OG0002185	AFUN2_006920	LOC109429114, LOC115261407
OG0002186	AFUN2_003349	LOC109412597, LOC109433466
OG0002187	AFUN2_008491	LOC109433542, LOC109412591
OG0002188	AFUN2_004365	LOC115259639, LOC109433552
OG0002189	AFUN2_007320	LOC109414087
OG0002190	AFUN2_003578	LOC109421345, LOC134289999
OG0002191	AFUN2_000966	LOC109421303
OG0002192	AFUN2_013609	LOC109421347
OG0002193	AFUN2_005861	LOC109621874
OG0002194	AFUN2_011152	LOC109623123
OG0002195	AFUN2_011826	LOC109623112
OG0002196	AFUN2_010120	LOC109623122
OG0002197	AFUN2_007596	LOC109622232
OG0002198	AFUN2_010752	LOC109622220
OG0002199	AFUN2_005884	LOC109403168
OG0002200	AFUN2_009296	LOC109399521
OG0002201	AFUN2_007928	LOC109398015
OG0002202	AFUN2_001681	LOC109399522
OG0002203	AFUN2_014402	LOC109399509
OG0002204	AFUN2_005868	LOC109415425
OG0002205	AFUN2_003887	LOC109398005
OG0002206	AFUN2_006443	LOC109399457
OG0002207	AFUN2_008386	LOC109409325, LOC115262905
OG0002208	AFUN2_013507	LOC109409311
OG0002209	AFUN2_000413	LOC109419113
OG0002210	AFUN2_011179	LOC109419105
OG0002211	AFUN2_000829	LOC109410267
OG0002212	AFUN2_012514	LOC109430200
OG0002213	AFUN2_003335	LOC109423501
OG0002214	AFUN2_005284	LOC109623422, LOC109413030
OG0002215	AFUN2_008671	LOC134283969, LOC109413007
OG0002216	AFUN2_002787	LOC109417065
OG0002217	AFUN2_011488	LOC109415735
OG0002218	AFUN2_010882	LOC109409421, LOC134285077
OG0002219	AFUN2_013061	LOC109398413, LOC115256555
OG0002220	AFUN2_012225	LOC109425306
OG0002221	AFUN2_008740	LOC134285537, LOC109419802
OG0002222	AFUN2_005905	LOC109425329, LOC109419800
OG0002223	AFUN2_003030	LOC134292059, LOC109433204
OG0002224	AFUN2_010496	LOC109405037
OG0002225	AFUN2_010110	LOC109403386, LOC109416726
OG0002226	AFUN2_013045	LOC115257472
OG0002227	AFUN2_004378	LOC109429491
OG0002228	AFUN2_001719, AFUN2_003051	LOC109403464
OG0002229	AFUN2_008871	LOC109403400
OG0002230	AFUN2_005716	LOC109427858, LOC134287077
OG0002231	AFUN2_001882	LOC109427863
OG0002232	AFUN2_011407	LOC109405991
OG0002233	AFUN2_001263	LOC109410372
OG0002234	AFUN2_007424	LOC109417851, LOC134288489
OG0002235	AFUN2_011873	LOC109403858
OG0002236	AFUN2_002742	LOC109408466
OG0002237	AFUN2_011203	LOC109412791, LOC109404039
OG0002238	AFUN2_001877	LOC109419338
OG0002239	AFUN2_006182	LOC115254246, LOC109420326
OG0002240	AFUN2_004592	LOC134285685, LOC109623083
OG0002242	AFUN2_007352	LOC109414930
OG0002244	AFUN2_013033	LOC134285148
OG0002245	AFUN2_002019	LOC109422877
OG0002246	AFUN2_005459	LOC109403518
OG0002247	AFUN2_005932	LOC109422938
OG0002248	AFUN2_004180	LOC109405092
OG0002249	AFUN2_009277	LOC109405086
OG0002250	AFUN2_009150	LOC115267344
OG0002251	AFUN2_002963	LOC109409091
OG0002252	AFUN2_012187	LOC109411175
OG0002253	AFUN2_013382	LOC109426519
OG0002254	AFUN2_006863	LOC109419228
OG0002255	AFUN2_013605	LOC109399865
OG0002256	AFUN2_011591	LOC109419233
OG0002257	AFUN2_014783	LOC109419166
OG0002258	AFUN2_011390	LOC109425282
OG0002259	AFUN2_013200	LOC115260961, LOC109425456
OG0002260	AFUN2_000860	LOC109418592
OG0002261	AFUN2_005219	LOC109423709
OG0002262	AFUN2_004155	LOC109423726
OG0002263	AFUN2_008774	LOC109414229
OG0002264	AFUN2_010554	LOC134288165, LOC109410293
OG0002265	AFUN2_008854	LOC109414239
OG0002266	AFUN2_014753, AFUN2_011028	LOC109432360
OG0002267	AFUN2_005146	LOC109420869
OG0002268	AFUN2_001639	LOC109412925
OG0002269	AFUN2_004946	LOC109412924
OG0002270	AFUN2_008101	LOC109418710
OG0002271	AFUN2_006491	LOC109418696
OG0002272	AFUN2_006110	LOC115257397
OG0002273	AFUN2_011537	LOC109415951
OG0002274	AFUN2_002904	LOC109420080
OG0002275	AFUN2_012320	LOC109621577
OG0002276	AFUN2_002288	LOC134287982, LOC109420074
OG0002277	AFUN2_007291	LOC134283903, LOC109430342
OG0002278	AFUN2_002292	LOC109621581
OG0002279	AFUN2_012280	LOC109430341, LOC134285460
OG0002280	AFUN2_008259	LOC109412448
OG0002281	AFUN2_013087	LOC109430330
OG0002282	AFUN2_013994	LOC109416056
OG0002283	AFUN2_013050, AFUN2_008928	LOC109419882
OG0002284	AFUN2_000894	LOC109406400
OG0002285	AFUN2_003434	LOC109415699
OG0002286	AFUN2_014185	LOC109420708, LOC109419878
OG0002287	AFUN2_012983	LOC134289036, LOC109420598
OG0002288	AFUN2_008123	LOC109420709, LOC109419880
OG0002289	AFUN2_002623	LOC109416070
OG0002290	AFUN2_006870	LOC109416062
OG0002291	AFUN2_001834	LOC109414266, LOC115255130
OG0002292	AFUN2_013802	LOC109409873
OG0002293	AFUN2_001575	LOC109397053
OG0002294	AFUN2_004962	LOC109432777, LOC109427581
OG0002295	AFUN2_013961	LOC115265866, LOC109432762
OG0002296	AFUN2_000557	LOC134288835, LOC109429946
OG0002297	AFUN2_006651	LOC109424749, LOC134288162, LOC134288161
OG0002298	AFUN2_004561	LOC134289420, LOC134284108
OG0002299	AFUN2_012079	LOC134284223, LOC134290051
OG0002300	AFUN2_007228	LOC134289491, LOC134289492
OG0002301	AFUN2_010702	LOC109399749
OG0002302	AFUN2_012785	LOC134283948, LOC109402043
OG0002304	AFUN2_006715	LOC109399568, LOC134291869
OG0002305	AFUN2_009685	LOC109399616
OG0002306	AFUN2_011364	LOC115253929
OG0002307	AFUN2_011618	LOC109399551
OG0002308	AFUN2_003614	LOC109407825
OG0002309	AFUN2_011658	LOC109410006
OG0002310	AFUN2_009606	LOC109412046
OG0002311	AFUN2_012906	LOC115254010
OG0002312	AFUN2_011557	LOC109408179
OG0002313	AFUN2_014403	LOC109424492
OG0002314	AFUN2_004280	LOC109408021
OG0002315	AFUN2_011435	LOC134290090, LOC109424483
OG0002316	AFUN2_010147	LOC134291937, LOC109424485
OG0002317	AFUN2_007524	LOC109412013
OG0002318	AFUN2_007398	LOC109407908
OG0002319	AFUN2_008395	LOC109412016
OG0002320	AFUN2_007830	LOC109412014
OG0002321	AFUN2_001679	LOC109426630, LOC109426656
OG0002322	AFUN2_003579	LOC109421107
OG0002323	AFUN2_003202	LOC109400725
OG0002325	AFUN2_004674	LOC109412429, LOC109430346
OG0002326	AFUN2_013348	LOC134291683, LOC134291681
OG0002327	AFUN2_009824, AFUN2_001564	LOC109398663, LOC109398634, LOC109404493, LOC134287796
OG0002328	AFUN2_003287	LOC109404731
OG0002329	AFUN2_000420	LOC134289440, LOC134291680
OG0002330	AFUN2_003817	LOC109424274
OG0002331	AFUN2_006319	LOC134285667
OG0002332	AFUN2_008937	LOC134285668
OG0002333	AFUN2_013199	LOC134285665
OG0002334	AFUN2_008270	LOC109398471, LOC134287530
OG0002335	AFUN2_005187	LOC134285664
OG0002336	AFUN2_004857	LOC109621515
OG0002337	AFUN2_013229	LOC109397859, LOC109402678
OG0002338	AFUN2_007181	LOC109397898
OG0002339	AFUN2_014538	LOC109399084
OG0002340	AFUN2_008044	LOC134291550, LOC134291549
OG0002341	AFUN2_011752	LOC134290551, LOC134291547
OG0002342	AFUN2_009989	LOC109417121
OG0002343	AFUN2_003195	LOC109428102
OG0002344	AFUN2_004380	LOC109428107, LOC109418327
OG0002345	AFUN2_000430	LOC109422336, LOC109424434
OG0002346	AFUN2_004853	LOC109622028, LOC109418563
OG0002347	AFUN2_001287	LOC109402265
OG0002348	AFUN2_003907	LOC109403260
OG0002349	AFUN2_001735	LOC109406509
OG0002350	AFUN2_014511	LOC109406567
OG0002351	AFUN2_010430	LOC109403272
OG0002352	AFUN2_013235	LOC109431388
OG0002353	AFUN2_008812	LOC115254054
OG0002354	AFUN2_011450	LOC115260703
OG0002355	AFUN2_007423	LOC109425885, LOC134292121
OG0002356	AFUN2_009604	LOC134291785, LOC115271088
OG0002357	AFUN2_002807	LOC109402775
OG0002358	AFUN2_012258	LOC109422549, LOC134292205
OG0002359	AFUN2_014655	LOC109422641, LOC109402798
OG0002360	AFUN2_005982	LOC109403780
OG0002361	AFUN2_011065	LOC109622619, LOC109430237
OG0002362	AFUN2_009979	LOC109425087
OG0002363	AFUN2_012209	LOC109425132
OG0002364	AFUN2_002860	LOC134284637, LOC109411181
OG0002365	AFUN2_010237	LOC109425134
OG0002366	AFUN2_008717	LOC134287012, LOC109401720
OG0002367	AFUN2_001531	LOC109410425
OG0002368	AFUN2_011247	LOC115266987
OG0002369	AFUN2_003279	LOC115268651, LOC109426460
OG0002370	AFUN2_011771	LOC109426459
OG0002371	AFUN2_006911	LOC109426436, LOC134291984
OG0002372	AFUN2_007781	LOC109421311
OG0002373	AFUN2_001167	LOC109418691
OG0002374	AFUN2_002487	LOC109424531
OG0002375	AFUN2_010238	LOC115269425, LOC109424529
OG0002376	AFUN2_013290	LOC109424530, LOC109428764
OG0002377	AFUN2_013852	LOC109411984
OG0002378	AFUN2_004068	LOC109428766, LOC109424527
OG0002380	AFUN2_012687	LOC109424556
OG0002381	AFUN2_001211	LOC109411982
OG0002382	AFUN2_012088	LOC134291462
OG0002383	AFUN2_008366	LOC109409560
OG0002384	AFUN2_011491	LOC109409568
OG0002385	AFUN2_014252	LOC109409562
OG0002386	AFUN2_001044	LOC115254140
OG0002387	AFUN2_002475	LOC109429595
OG0002388	AFUN2_003970	LOC109622823
OG0002389	AFUN2_005503	LOC109397530
OG0002390	AFUN2_008329	LOC134287219, LOC109400398
OG0002391	AFUN2_007801	LOC109430970
OG0002392	AFUN2_006003	LOC134283995, LOC109400418
OG0002393	AFUN2_010070	LOC109399284
OG0002395	AFUN2_005575	LOC115260692
OG0002396	AFUN2_008489	LOC109419673
OG0002397	AFUN2_003672	LOC109423063
OG0002398	AFUN2_002259	LOC109419656
OG0002399	AFUN2_011216	LOC109622736
OG0002400	AFUN2_014226	LOC109412133
OG0002401	AFUN2_014245	LOC109419770, LOC109398247
OG0002402	AFUN2_006071	LOC109419754
OG0002403	AFUN2_000520	LOC109419749
OG0002404	AFUN2_014424	LOC109425166
OG0002405	AFUN2_009109	LOC109400297
OG0002406	AFUN2_011148	LOC134287874
OG0002407	AFUN2_003487	LOC134286747, LOC134286746
OG0002408	AFUN2_011583	LOC134287870
OG0002409	AFUN2_005962	LOC109418673
OG0002410	AFUN2_012490	LOC109418659
OG0002411	AFUN2_005672	LOC109414804
OG0002412	AFUN2_013479	LOC109414787
OG0002414	AFUN2_010638	LOC109413491
OG0002415	AFUN2_002147	LOC109621885
OG0002416	AFUN2_005165	LOC109397364
OG0002417	AFUN2_007672	LOC134287332, LOC109417971
OG0002418	AFUN2_009722	LOC109420244
OG0002419	AFUN2_007412	LOC115257373, LOC109412351
OG0002420	AFUN2_004117	LOC134287965
OG0002421	AFUN2_001497	LOC109408720
OG0002422	AFUN2_013645	LOC109404201
OG0002423	AFUN2_001176	LOC109621948
OG0002424	AFUN2_007699	LOC109404208
OG0002425	AFUN2_001751	LOC109621971
OG0002426	AFUN2_013467	LOC109622032
OG0002427	AFUN2_000936	LOC115267754, LOC109428919
OG0002428	AFUN2_004900	LOC109429006
OG0002429	AFUN2_006346	LOC115267545, LOC115253482
OG0002430	AFUN2_009522	LOC109398065
OG0002431	AFUN2_014347	LOC109400785
OG0002432	AFUN2_013741	LOC109430180
OG0002433	AFUN2_005536	LOC109399618
OG0002434	AFUN2_013642	LOC134289649
OG0002435	AFUN2_009270, AFUN2_004582	LOC109399629
OG0002436	AFUN2_013859	LOC134289651
OG0002437	AFUN2_003805	LOC109405162
OG0002438	AFUN2_012663	LOC115255638
OG0002439	AFUN2_006281	LOC109420222, LOC134287057
OG0002440	AFUN2_004106	LOC109409973, LOC134287058
OG0002441	AFUN2_005378	LOC109420228
OG0002442	AFUN2_008399	LOC134287880
OG0002443	AFUN2_013617	LOC109424733, LOC109413656
OG0002444	AFUN2_008043	LOC109412776
OG0002445	AFUN2_004801	LOC109424734
OG0002446	AFUN2_012064	LOC115265347, LOC109411808
OG0002447	AFUN2_013415	LOC109427293
OG0002448	AFUN2_011767	LOC109418392
OG0002449	AFUN2_011366	LOC134287053, LOC109408297
OG0002450	AFUN2_005927	LOC109429300
OG0002451	AFUN2_007550	LOC109429298
OG0002452	AFUN2_012332	LOC109622685
OG0002453	AFUN2_009096	LOC109427437, LOC134284651
OG0002454	AFUN2_011225	LOC115254485
OG0002455	AFUN2_012409	LOC115260391, LOC109429374
OG0002456	AFUN2_011808	LOC109433510, LOC109410673
OG0002457	AFUN2_011051	LOC109410655
OG0002458	AFUN2_008688	LOC109410656
OG0002459	AFUN2_010946	LOC109433485
OG0002460	AFUN2_004345	LOC109411327
OG0002461	AFUN2_009718	LOC109415391
OG0002462	AFUN2_013300	LOC115254152
OG0002463	AFUN2_001608	LOC115256417
OG0002464	AFUN2_005583	LOC109420949, LOC109428960
OG0002465	AFUN2_005416	LOC109400723
OG0002466	AFUN2_002395	LOC109407578
OG0002467	AFUN2_000425	LOC109425912
OG0002468	AFUN2_009570	LOC109401774
OG0002469	AFUN2_002710	LOC109401773
OG0002470	AFUN2_011649	LOC109397889
OG0002471	AFUN2_006458	LOC134285697, LOC109416133
OG0002472	AFUN2_002605	LOC109416125
OG0002473	AFUN2_009971	LOC109425676
OG0002474	AFUN2_002514	LOC115258592, LOC109428894
OG0002475	AFUN2_002455	LOC134289091, LOC109428851
OG0002476	AFUN2_009869	LOC115258597, LOC115264813
OG0002477	AFUN2_006180	LOC109417146
OG0002478	AFUN2_014697	LOC109406308
OG0002479	AFUN2_013249	LOC109422770
OG0002480	AFUN2_003166	LOC109425125
OG0002481	AFUN2_008157	LOC109621402
OG0002482	AFUN2_003678	LOC109421811, LOC109422789
OG0002483	AFUN2_011211	LOC109430213
OG0002484	AFUN2_001838	LOC109432132
OG0002485	AFUN2_010826	LOC109430214
OG0002486	AFUN2_009115	LOC109432118
OG0002487	AFUN2_014299	LOC109432163
OG0002488	AFUN2_007271	LOC109398924
OG0002489	AFUN2_000942	LOC109398916
OG0002490	AFUN2_005092	LOC109401589
OG0002491	AFUN2_002699	LOC109431048
OG0002492	AFUN2_008924	LOC109407800
OG0002493	AFUN2_009866	LOC109431047, LOC134291461
OG0002494	AFUN2_009749	LOC109431050
OG0002495	AFUN2_005282	LOC109398833
OG0002496	AFUN2_004533	LOC134283901
OG0002497	AFUN2_006434	LOC109413893
OG0002498	AFUN2_009661	LOC115255941
OG0002499	AFUN2_006813	LOC109408612, LOC134290875
OG0002500	AFUN2_005818	LOC109426170
OG0002501	AFUN2_004133	LOC115263428
OG0002502	AFUN2_010664	LOC109408615
OG0002503	AFUN2_003203	LOC109418452
OG0002504	AFUN2_003097	LOC109426183
OG0002505	AFUN2_013623	LOC109427110
OG0002506	AFUN2_011016	LOC109430272
OG0002507	AFUN2_004690	LOC109415541
OG0002508	AFUN2_012745	LOC109401602, LOC109401592
OG0002509	AFUN2_008029	LOC109413662
OG0002510	AFUN2_005110	LOC109413672
OG0002511	AFUN2_008222	LOC109413677
OG0002512	AFUN2_008277	LOC109622406
OG0002513	AFUN2_005628	LOC109413801
OG0002514	AFUN2_011726	LOC109424031
OG0002515	AFUN2_012241	LOC109412286
OG0002516	AFUN2_005664	LOC109412821
OG0002517	AFUN2_007221	LOC109418134
OG0002518	AFUN2_009630	LOC109418128
OG0002519	AFUN2_003731	LOC109418316
OG0002520	AFUN2_010902	LOC109428086
OG0002522	AFUN2_012949	LOC109418463
OG0002523	AFUN2_010125	LOC109408911
OG0002524	AFUN2_003821	LOC109422823, LOC115254235
OG0002525	AFUN2_009480	LOC134289479
OG0002526	AFUN2_014120	LOC109430536
OG0002527	AFUN2_007929	LOC134284727
OG0002528	AFUN2_007868	LOC109414188
OG0002529	AFUN2_004395	LOC134284463
OG0002530	AFUN2_014003	LOC115268037, LOC109426003
OG0002531	AFUN2_011188	LOC109425980
OG0002532	AFUN2_014436	LOC115268207
OG0002533	AFUN2_007995	LOC115268040
OG0002534	AFUN2_008815	LOC109425999
OG0002535	AFUN2_011558	LOC109402897, LOC115264784
OG0002536	AFUN2_009091	LOC115265852
OG0002537	AFUN2_002529	LOC109408035, LOC109405150
OG0002538	AFUN2_004015	LOC109402504
OG0002539	AFUN2_013756	LOC109402526
OG0002540	AFUN2_004624	LOC109621378
OG0002541	AFUN2_008245	LOC109402524
OG0002542	AFUN2_014755	LOC109405592, LOC134291522
OG0002543	AFUN2_008789	LOC109399481
OG0002544	AFUN2_009477	LOC109416575, LOC109404263
OG0002545	AFUN2_007131	LOC109404617, LOC109411691
OG0002546	AFUN2_005255	LOC115262165
OG0002547	AFUN2_010435	LOC115255812, LOC109398050
OG0002548	AFUN2_004432	LOC109397944, LOC109418984
OG0002549	AFUN2_008015	LOC109425640
OG0002550	AFUN2_003522	LOC115264543
OG0002551	AFUN2_008892	LOC115269966
OG0002552	AFUN2_009290	LOC109422844
OG0002553	AFUN2_012815	LOC109398302
OG0002554	AFUN2_011321	LOC109402332
OG0002555	AFUN2_003777	LOC134290438, LOC109422745
OG0002556	AFUN2_013106	LOC109411905
OG0002558	AFUN2_006070	LOC109421148
OG0002559	AFUN2_012625	LOC109410561
OG0002560	AFUN2_001421	LOC109421162
OG0002561	AFUN2_009171	LOC109423199
OG0002562	AFUN2_002131	LOC109427130, LOC134288527
OG0002563	AFUN2_009563	LOC109406571, LOC134287362
OG0002564	AFUN2_010504	LOC109426577
OG0002565	AFUN2_013980	LOC134288526, LOC109426566
OG0002566	AFUN2_011017	LOC109426432
OG0002567	AFUN2_002563	LOC109415072
OG0002568	AFUN2_007404	LOC109404008
OG0002569	AFUN2_010901	LOC109414133
OG0002570	AFUN2_001937	LOC109414126
OG0002571	AFUN2_000326	LOC109427367
OG0002572	AFUN2_012826	LOC109427505
OG0002573	AFUN2_007854	LOC109414166
OG0002574	AFUN2_008181	LOC109403412
OG0002575	AFUN2_003851	LOC109403501, LOC134285707
OG0002576	AFUN2_000718	LOC109426385
OG0002577	AFUN2_004268	LOC109423327
OG0002578	AFUN2_012742	LOC109423975
OG0002579	AFUN2_012085	LOC134289836, LOC109418388
OG0002580	AFUN2_002571	LOC109405655
OG0002581	AFUN2_008378	LOC109405633
OG0002582	AFUN2_008203	LOC109408095, LOC109405124
OG0002583	AFUN2_006789	LOC109405653
OG0002584	AFUN2_014653	LOC109398814
OG0002585	AFUN2_003858	LOC109398867
OG0002586	AFUN2_010397	LOC109415154, LOC109401032
OG0002587	AFUN2_006823	LOC109623330
OG0002588	AFUN2_013035	LOC109426896
OG0002589	AFUN2_008149	LOC134284181
OG0002590	AFUN2_002729	LOC109426914, LOC115262691
OG0002591	AFUN2_013261	LOC115259608, LOC109416956
OG0002592	AFUN2_004156	LOC109402364
OG0002593	AFUN2_003739	LOC115259066, LOC109433120
OG0002594	AFUN2_004515	LOC109415651
OG0002595	AFUN2_010775	LOC109421544, LOC134288911
OG0002596	AFUN2_004926	LOC109404488, LOC115261477
OG0002597	AFUN2_002938	LOC109404485, LOC109406304
OG0002598	AFUN2_002924	LOC115261515, LOC109406330
OG0002599	AFUN2_011124	LOC115255186
OG0002600	AFUN2_005005	LOC115255198
OG0002601	AFUN2_014406	LOC109404843
OG0002602	AFUN2_003161	LOC109406408
OG0002603	AFUN2_002226	LOC109414745
OG0002604	AFUN2_009788	LOC109409145, LOC109421538
OG0002605	AFUN2_001076	LOC109421533
OG0002606	AFUN2_001056	LOC109421532
OG0002607	AFUN2_013594	LOC109622812, LOC115258686
OG0002608	AFUN2_013244	LOC109416620
OG0002609	AFUN2_006216	LOC109432823
OG0002610	AFUN2_010180	LOC109432824
OG0002611	AFUN2_001436	LOC115263106
OG0002612	AFUN2_011479	LOC115266598
OG0002613	AFUN2_001574	LOC109408281
OG0002614	AFUN2_006689	LOC109400374, LOC109432401
OG0002615	AFUN2_005587	LOC109400366, LOC115269287
OG0002616	AFUN2_000333	LOC109400373, LOC109432405
OG0002617	AFUN2_001519	LOC109432402, LOC109400372
OG0002618	AFUN2_000998	LOC115266307
OG0002619	AFUN2_001465	LOC109622266
OG0002620	AFUN2_013834	LOC109414459
OG0002621	AFUN2_001359	LOC109421127
OG0002623	AFUN2_012587	LOC109400501, LOC134285588
OG0002624	AFUN2_012325	LOC109417729
OG0002625	AFUN2_009005	LOC109417783
OG0002626	AFUN2_002252	LOC109430374
OG0002627	AFUN2_005597	LOC109411125
OG0002628	AFUN2_012506	LOC115266582
OG0002629	AFUN2_008437	LOC109407257
OG0002630	AFUN2_002232	LOC115254012
OG0002631	AFUN2_012605	LOC115258536, LOC134283945
OG0002632	AFUN2_011579	LOC115258892, LOC109410208
OG0002633	AFUN2_001202	LOC109410215
OG0002634	AFUN2_010643	LOC109417528
OG0002635	AFUN2_008026	LOC109417255
OG0002636	AFUN2_001880	LOC109403665
OG0002637	AFUN2_001411	LOC109430294
OG0002638	AFUN2_010140	LOC109411589
OG0002639	AFUN2_009243	LOC109411591
OG0002640	AFUN2_008408	LOC134287987, LOC109622877
OG0002641	AFUN2_005152	LOC109622886
OG0002642	AFUN2_014317	LOC115258143, LOC109622884
OG0002643	AFUN2_007856	LOC115258207, LOC109622885
OG0002644	AFUN2_003124	LOC134288820, LOC109404604
OG0002645	AFUN2_000580	LOC109411702, LOC134283907
OG0002646	AFUN2_008320	LOC109411711, LOC134288818
OG0002647	AFUN2_005785	LOC134288821, LOC109411696
OG0002648	AFUN2_012980	LOC109411701, LOC134287354
OG0002649	AFUN2_004963	LOC109403439, LOC134292070
OG0002650	AFUN2_006214	LOC109399959
OG0002651	AFUN2_005897	LOC115256583, LOC109422035
OG0002652	AFUN2_000442	LOC109408897
OG0002653	AFUN2_003976	LOC109430050, LOC109416375
OG0002654	AFUN2_013034	LOC109422682
OG0002655	AFUN2_003350	LOC109422535, LOC109422674
OG0002656	AFUN2_009210	LOC109401135, LOC109422670
OG0002657	AFUN2_000495	LOC109430962, LOC109433386
OG0002658	AFUN2_011581	LOC109433057, LOC115253917
OG0002659	AFUN2_003252	LOC109416093
OG0002660	AFUN2_009623	LOC115254121, LOC134289094
OG0002661	AFUN2_000798	LOC109429882
OG0002662	AFUN2_004407, AFUN2_007660	LOC109433505
OG0002663	AFUN2_011132	LOC109410649
OG0002664	AFUN2_007956	LOC109410630
OG0002665	AFUN2_001562	LOC109411747
OG0002666	AFUN2_011732	LOC109411839
OG0002667	AFUN2_007232	LOC109429026
OG0002668	AFUN2_007667	LOC109429027
OG0002669	AFUN2_004858	LOC109399253
OG0002670	AFUN2_009227	LOC134285749, LOC109423578
OG0002671	AFUN2_013545	LOC109399232
OG0002672	AFUN2_011171	LOC109399229
OG0002673	AFUN2_007471	LOC109421984
OG0002674	AFUN2_005930	LOC134285026, LOC115253977
OG0002675	AFUN2_003413	LOC109427501
OG0002676	AFUN2_009666	LOC109408454
OG0002677	AFUN2_004894	LOC115261842, LOC134283988
OG0002678	AFUN2_008097	LOC115255722
OG0002679	AFUN2_002064	LOC134284525, LOC134287529
OG0002680	AFUN2_011976	LOC109423421
OG0002681	AFUN2_011922	LOC109427042
OG0002682	AFUN2_010447	LOC109426325
OG0002683	AFUN2_009914	LOC109426327
OG0002684	AFUN2_010729	LOC109407197
OG0002685	AFUN2_014124	LOC109405848
OG0002686	AFUN2_012479	LOC109409748
OG0002687	AFUN2_005419	LOC109409734
OG0002688	AFUN2_011497	LOC115253927
OG0002689	AFUN2_007649	LOC134292139, LOC109402347
OG0002690	AFUN2_000863	LOC109433646, LOC109433642
OG0002691	AFUN2_003133	LOC115269543
OG0002692	AFUN2_003685	LOC109420029
OG0002693	AFUN2_011420	LOC115254285, LOC109433111
OG0002694	AFUN2_005793	LOC109407308
OG0002695	AFUN2_000987	LOC109402075, LOC109427373
OG0002696	AFUN2_009549	LOC109418026
OG0002697	AFUN2_010631	LOC109427333
OG0002698	AFUN2_013336	LOC109419260
OG0002699	AFUN2_011735	LOC109420153
OG0002700	AFUN2_002145	LOC115260154
OG0002701	AFUN2_000473	LOC109400612
OG0002702	AFUN2_011190	LOC109409483
OG0002703	AFUN2_012100	LOC109397238
OG0002704	AFUN2_000964	LOC109397252
OG0002705	AFUN2_006264	LOC109429542, LOC109430742
OG0002706	AFUN2_007512	LOC109405301, LOC134287693
OG0002707	AFUN2_013239	LOC109397253
OG0002708	AFUN2_010158	LOC134283999, LOC109427482
OG0002709	AFUN2_002950	LOC109427519
OG0002710	AFUN2_010596	LOC109427521
OG0002711	AFUN2_000849	LOC109427523
OG0002712	AFUN2_006802	LOC109433587
OG0002713	AFUN2_002926	LOC109417954
OG0002714	AFUN2_006313	LOC134288469, LOC109417959
OG0002716	AFUN2_006484	LOC134288472, LOC109426847
OG0002717	AFUN2_003212	LOC109424158
OG0002718	AFUN2_010984	LOC109430833, LOC109424157
OG0002719	AFUN2_009707	LOC109431288
OG0002720	AFUN2_002827	LOC109431310
OG0002721	AFUN2_002707	LOC109401442
OG0002722	AFUN2_001577	LOC115255464, LOC109419959
OG0002723	AFUN2_003391	LOC115266368
OG0002724	AFUN2_003658	LOC109406055
OG0002725	AFUN2_010493	LOC109425601
OG0002726	AFUN2_014761	LOC109429088
OG0002727	AFUN2_006376	LOC109423216, LOC109397292
OG0002728	AFUN2_009112	LOC115268227, LOC109414912
OG0002729	AFUN2_009087	LOC109428913, LOC134291731
OG0002730	AFUN2_010978	LOC115267715, LOC115254630
OG0002731	AFUN2_008226	LOC109428999, LOC134291723
OG0002732	AFUN2_003361	LOC109423873
OG0002733	AFUN2_000784	LOC109419381
OG0002734	AFUN2_009929	LOC109418435, LOC115270953
OG0002735	AFUN2_004519	LOC109426161, LOC115263613
OG0002736	AFUN2_004479	LOC109427892
OG0002737	AFUN2_007691	LOC109427905
OG0002738	AFUN2_002939	LOC109427898, LOC115263987
OG0002739	AFUN2_003657	LOC109418757, LOC134292263
OG0002740	AFUN2_013000	LOC109406504
OG0002741	AFUN2_003882	LOC109406496
OG0002742	AFUN2_002238	LOC134289600, LOC109432273
OG0002743	AFUN2_001184	LOC109397120, LOC134284675
OG0002744	AFUN2_008151	LOC115253526, LOC109427430
OG0002746	AFUN2_014381	LOC109427418, LOC109410138
OG0002747	AFUN2_002515	LOC109410141, LOC115256388
OG0002748	AFUN2_011830	LOC109404983
OG0002749	AFUN2_000362	LOC109411462
OG0002750	AFUN2_010921	LOC109432412
OG0002751	AFUN2_010175	LOC109622983
OG0002752	AFUN2_010687	LOC115254039, LOC109398996
OG0002753	AFUN2_013326	LOC115258629
OG0002754	AFUN2_006548	LOC115260562
OG0002755	AFUN2_010135	LOC109422989
OG0002756	AFUN2_003475	LOC109417874
OG0002757	AFUN2_008868	LOC134288486, LOC109426828
OG0002758	AFUN2_000727	LOC115254188
OG0002759	AFUN2_013349	LOC109398026
OG0002760	AFUN2_010392	LOC115267621
OG0002761	AFUN2_011698	LOC109431602, LOC109398048
OG0002762	AFUN2_003237	LOC115261809
