Orthogroup	AfunestusAfunGA1	AaegyptiLVP_AGWG
OG0001713	AFUN2_002549	AAEL010593
OG0001714	AFUN2_003636	AAEL010742, AAEL024119
OG0001715	AFUN2_010208, AFUN2_005337	AAEL010757
OG0001716	AFUN2_007940	AAEL010771
OG0001717	AFUN2_012053	AAEL010778
OG0001718	AFUN2_006086, AFUN2_011704	AAEL010827
OG0001719	AFUN2_002889	AAEL010855
OG0001720	AFUN2_000663	AAEL021416, AAEL011123
OG0001721	AFUN2_001186	AAEL024207, AAEL011124
OG0001722	AFUN2_001009	AAEL011157
OG0001723	AFUN2_008954	AAEL011159
OG0001724	AFUN2_001237	AAEL011271
OG0001725	AFUN2_010068	AAEL011345
OG0001726	AFUN2_002931	AAEL011349
OG0001727	AFUN2_009762	AAEL011379
OG0001728	AFUN2_012218	AAEL011382
OG0001729	AFUN2_010438	AAEL011411, AAEL012903
OG0001730	AFUN2_008487	AAEL011436
OG0001731	AFUN2_006726	AAEL011500
OG0001732	AFUN2_007642	AAEL011560
OG0001733	AFUN2_010267	AAEL011562
OG0001734	AFUN2_001978	AAEL011566
OG0001735	AFUN2_006734	AAEL011690, AAEL011691
OG0001736	AFUN2_001198	AAEL011697
OG0001737	AFUN2_004718	AAEL025949, AAEL021786, AAEL011731
OG0001738	AFUN2_002380	AAEL011751, AAEL023265
OG0001739	AFUN2_009051, AFUN2_009576	AAEL011754, AAEL023977
OG0001740	AFUN2_001105	AAEL011768, AAEL011771
OG0001741	AFUN2_007096	AAEL011808, AAEL027830
OG0001742	AFUN2_012173	AAEL011850
OG0001743	AFUN2_012257	AAEL011989
OG0001744	AFUN2_014229	AAEL011991
OG0001745	AFUN2_009992	AAEL011993
OG0001746	AFUN2_009688	AAEL011996
OG0001747	AFUN2_003189	AAEL012016
OG0001748	AFUN2_008016	AAEL027882, AAEL012059
OG0001749	AFUN2_003323	AAEL021939, AAEL012178
OG0001750	AFUN2_012487	AAEL012233
OG0001751	AFUN2_002625	AAEL012324
OG0001752	AFUN2_013026	AAEL022520, AAEL012341
OG0001753	AFUN2_006138	AAEL012410
OG0001754	AFUN2_007020	AAEL012501
OG0001755	AFUN2_003557	AAEL012525
OG0001756	AFUN2_004599	AAEL012539
OG0001757	AFUN2_010325	AAEL012552
OG0001758	AFUN2_005153	AAEL021254, AAEL012585
OG0001759	AFUN2_007343	AAEL012671
OG0001760	AFUN2_014433	AAEL012710, AAEL012715
OG0001761	AFUN2_013526	AAEL012711, AAEL012713, AAEL026876
OG0001762	AFUN2_005406	AAEL012717
OG0001763	AFUN2_004134	AAEL012731
OG0001764	AFUN2_012453	AAEL012751
OG0001765	AFUN2_008230	AAEL012756
OG0001766	AFUN2_007564	AAEL018249, AAEL012783
OG0001767	AFUN2_010467	AAEL012822
OG0001768	AFUN2_005225	AAEL012823
OG0001769	AFUN2_008223	AAEL012826
OG0001771	AFUN2_008704	AAEL013151
OG0001772	AFUN2_008091	AAEL013157, AAEL013152
OG0001773	AFUN2_004512	AAEL013197
OG0001774	AFUN2_005883	AAEL026895, AAEL013199
OG0001775	AFUN2_009785	AAEL013253
OG0001776	AFUN2_003725	AAEL013278
OG0001777	AFUN2_010518	AAEL013366
OG0001778	AFUN2_009042	AAEL013424
OG0001779	AFUN2_010344	AAEL013478
OG0001780	AFUN2_011431	AAEL013479
OG0001781	AFUN2_001495	AAEL013527
OG0001782	AFUN2_005627	AAEL013613
OG0001783	AFUN2_006604	AAEL013724
OG0001784	AFUN2_004799	AAEL013744
OG0001785	AFUN2_011901	AAEL013758
OG0001786	AFUN2_012893	AAEL013776
OG0001787	AFUN2_008779	AAEL013814
OG0001788	AFUN2_009861	AAEL013872
OG0001789	AFUN2_005600	AAEL013875
OG0001790	AFUN2_007846	AAEL013883
OG0001791	AFUN2_014458	AAEL013962
OG0001792	AFUN2_004697	AAEL020316, AAEL013974
OG0001793	AFUN2_000589	AAEL028215, AAEL013994
OG0001794	AFUN2_004067	AAEL013998, AAEL027973
OG0001795	AFUN2_011000	AAEL014009
OG0001796	AFUN2_001703	AAEL014022
OG0001797	AFUN2_013201	AAEL014027
OG0001798	AFUN2_011218	AAEL014054, AAEL025786
OG0001799	AFUN2_004876	AAEL014059
OG0001800	AFUN2_004617	AAEL025776, AAEL014216
OG0001801	AFUN2_013956	AAEL014246, AAEL014244
OG0001802	AFUN2_001109	AAEL014271
OG0001803	AFUN2_012482	AAEL014272
OG0001804	AFUN2_014713	AAEL014284
OG0001805	AFUN2_010521	AAEL014303
OG0001806	AFUN2_004509	AAEL024066, AAEL014318
OG0001807	AFUN2_010019	AAEL014326
OG0001808	AFUN2_005670	AAEL014340
OG0001809	AFUN2_014205	AAEL014348
OG0001810	AFUN2_002598	AAEL014349
OG0001811	AFUN2_010409	AAEL014435
OG0001812	AFUN2_011783	AAEL014505
OG0001813	AFUN2_004019	AAEL014577
OG0001814	AFUN2_009026	AAEL014578, AAEL023117
OG0001815	AFUN2_003355	AAEL014653
OG0001816	AFUN2_000959	AAEL014774
OG0001817	AFUN2_012666	AAEL014824
OG0001818	AFUN2_002923	AAEL014851
OG0001819	AFUN2_002912	AAEL024910, AAEL014853
OG0001820	AFUN2_013679	AAEL014863
OG0001821	AFUN2_006009	AAEL015118
OG0001822	AFUN2_005825	AAEL015255
OG0001823	AFUN2_000366	AAEL020424, AAEL015402
OG0001824	AFUN2_001723	AAEL015557
OG0001825	AFUN2_011701, AFUN2_014738, AFUN2_013241	AAEL015640
OG0001826	AFUN2_013520	AAEL017327, AAEL017097, AAEL017230
OG0001827	AFUN2_007052	AAEL017167
OG0001828	AFUN2_005642	AAEL023345, AAEL017186
OG0001829	AFUN2_002828	AAEL017251
OG0001830	AFUN2_010620	AAEL017356
OG0001831	AFUN2_007601	AAEL017391
OG0001832	AFUN2_000704	AAEL017512
OG0001833	AFUN2_011843	AAEL018103, AAEL026175
OG0001834	AFUN2_007515	AAEL018114
OG0001835	AFUN2_011679	AAEL018141
OG0001836	AFUN2_011297	AAEL024668, AAEL018183
OG0001837	AFUN2_010819	AAEL018215
OG0001838	AFUN2_004196	AAEL018227
OG0001839	AFUN2_012337	AAEL018232
OG0001840	AFUN2_003405	AAEL018263
OG0001841	AFUN2_013695	AAEL018302
OG0001842	AFUN2_014690	AAEL018310
OG0001843	AFUN2_004120	AAEL018324
OG0001844	AFUN2_003521	AAEL019406
OG0001845	AFUN2_006514	AAEL023349, AAEL019418
OG0001846	AFUN2_000991	AAEL019420, AAEL019419
OG0001847	AFUN2_008973, AFUN2_003513	AAEL019421
OG0001848	AFUN2_007656	AAEL019425
OG0001849	AFUN2_000820	AAEL019457
OG0001850	AFUN2_002724	AAEL019467
OG0001851	AFUN2_006711	AAEL019491
OG0001852	AFUN2_005160	AAEL019502
OG0001853	AFUN2_004240	AAEL019515, AAEL021312
OG0001854	AFUN2_007007	AAEL019543
OG0001855	AFUN2_009184	AAEL019551
OG0001856	AFUN2_002547	AAEL019553
OG0001857	AFUN2_003446	AAEL019566
OG0001858	AFUN2_008665	AAEL027018, AAEL019593
OG0001859	AFUN2_003250	AAEL019600, AAEL022282, AAEL023044
OG0001860	AFUN2_008776	AAEL019610
OG0001861	AFUN2_008282	AAEL019617
OG0001862	AFUN2_010029	AAEL025304, AAEL019619
OG0001863	AFUN2_007773	AAEL019632
OG0001864	AFUN2_002233	AAEL019640
OG0001865	AFUN2_008646	AAEL019656
OG0001866	AFUN2_007799	AAEL019671
OG0001867	AFUN2_008520	AAEL019680
OG0001868	AFUN2_002408	AAEL019686
OG0001869	AFUN2_008080	AAEL019704
OG0001870	AFUN2_005694	AAEL019721, AAEL021660
OG0001871	AFUN2_007627	AAEL019723
OG0001872	AFUN2_002314	AAEL027062, AAEL019734
OG0001873	AFUN2_009743	AAEL019738, AAEL022521
OG0001874	AFUN2_010683	AAEL019743
OG0001875	AFUN2_009650	AAEL019757
OG0001876	AFUN2_012466	AAEL019779
OG0001877	AFUN2_001212	AAEL019784
OG0001878	AFUN2_005068	AAEL019813
OG0001879	AFUN2_003883	AAEL019816
OG0001880	AFUN2_013384	AAEL019872
OG0001881	AFUN2_003732	AAEL019888
OG0001882	AFUN2_014593, AFUN2_010551	AAEL019914
OG0001883	AFUN2_014797	AAEL019934
OG0001884	AFUN2_004138, AFUN2_013552	AAEL019942, AAEL019943
OG0001885	AFUN2_008958	AAEL020938, AAEL019995
OG0001886	AFUN2_010491	AAEL020006
OG0001887	AFUN2_014786	AAEL020075
OG0001889	AFUN2_013337	AAEL020236
OG0001890	AFUN2_006840	AAEL020259
OG0001891	AFUN2_014140	AAEL020367, AAEL027037
OG0001892	AFUN2_011259	AAEL020427
OG0001893	AFUN2_005307	AAEL020670, AAEL026210
OG0001894	AFUN2_004167	AAEL020781, AAEL024786, AAEL024800
OG0001895	AFUN2_014227	AAEL024451, AAEL020804
OG0001896	AFUN2_014049, AFUN2_001216	AAEL020847
OG0001897	AFUN2_011751	AAEL021006
OG0001898	AFUN2_002656	AAEL021019
OG0001899	AFUN2_013404	AAEL021029
OG0001901	AFUN2_014282	AAEL022782, AAEL021202
OG0001902	AFUN2_011565	AAEL021288
OG0001903	AFUN2_012217	AAEL026413, AAEL021321, AAEL022776
OG0001905	AFUN2_000770	AAEL021386
OG0001906	AFUN2_002632	AAEL021402, AAEL024170, AAEL025488
OG0001907	AFUN2_004454	AAEL021419
OG0001908	AFUN2_006874	AAEL026022, AAEL021519
OG0001909	AFUN2_010061	AAEL021548
OG0001910	AFUN2_009985	AAEL021574
OG0001912	AFUN2_007805	AAEL021655, AAEL023077
OG0001913	AFUN2_009671	AAEL021676
OG0001914	AFUN2_011749	AAEL021748
OG0001915	AFUN2_006183	AAEL024321, AAEL022608, AAEL021767
OG0001916	AFUN2_003926	AAEL021771
OG0001917	AFUN2_013655	AAEL021925
OG0001918	AFUN2_002532	AAEL021955, AAEL028133
OG0001919	AFUN2_010448	AAEL022200
OG0001920	AFUN2_014605	AAEL022248
OG0001921	AFUN2_005840	AAEL022316
OG0001922	AFUN2_005043, AFUN2_010432	AAEL022351
OG0001923	AFUN2_008144	AAEL022431
OG0001924	AFUN2_013481	AAEL022611
OG0001925	AFUN2_010650	AAEL022632, AAEL023223
OG0001926	AFUN2_012177	AAEL022657, AAEL026213
OG0001927	AFUN2_008992, AFUN2_013102	AAEL022658
OG0001928	AFUN2_005041	AAEL026719, AAEL022716
OG0001929	AFUN2_004935	AAEL022855
OG0001930	AFUN2_010260	AAEL022893, AAEL025265
OG0001931	AFUN2_005164	AAEL024358, AAEL022938
OG0001932	AFUN2_000805	AAEL022967, AAEL025768, AAEL023043, AAEL027428, AAEL026079, AAEL028036
OG0001933	AFUN2_001265	AAEL024674, AAEL023115
OG0001934	AFUN2_011352	AAEL023151
OG0001935	AFUN2_011775, AFUN2_010742, AFUN2_007774, AFUN2_008447	AAEL023352
OG0001937	AFUN2_003400	AAEL023471
OG0001938	AFUN2_008764	AAEL023498, AAEL027331
OG0001939	AFUN2_010516	AAEL023502, AAEL025398
OG0001940	AFUN2_004276	AAEL023745
OG0001941	AFUN2_001355	AAEL023750, AAEL026150, AAEL024982
OG0001942	AFUN2_010549	AAEL023810
OG0001943	AFUN2_000692	AAEL026260, AAEL023943
OG0001944	AFUN2_003749	AAEL023989
OG0001945	AFUN2_001756	AAEL024005
OG0001946	AFUN2_001159	AAEL027002, AAEL024101
OG0001948	AFUN2_003040	AAEL024258
OG0001949	AFUN2_004415	AAEL024480
OG0001950	AFUN2_008735	AAEL024598
OG0001951	AFUN2_008013	AAEL025046, AAEL024618
OG0001952	AFUN2_010807	AAEL024623
OG0001953	AFUN2_013783	AAEL024710
OG0001954	AFUN2_003660	AAEL024713
OG0001955	AFUN2_012249	AAEL024788
OG0001956	AFUN2_010316	AAEL025473, AAEL025076
OG0001957	AFUN2_011056	AAEL025133, AAEL026994
OG0001958	AFUN2_005100	AAEL025230
OG0001959	AFUN2_004839	AAEL025353
OG0001960	AFUN2_013544	AAEL025443
OG0001961	AFUN2_000723	AAEL025578, AAEL025984
OG0001962	AFUN2_005904	AAEL025606
OG0001963	AFUN2_004425	AAEL026618, AAEL025692
OG0001964	AFUN2_003134	AAEL026074
OG0001965	AFUN2_000500	AAEL026170
OG0001966	AFUN2_008720, AFUN2_008622, AFUN2_009097	AAEL026291
OG0001968	AFUN2_001721	AAEL026355
OG0001969	AFUN2_002796	AAEL026388, AAEL028233
OG0001970	AFUN2_009708	AAEL026710
OG0001971	AFUN2_011856	AAEL026716, AAEL027637
OG0001972	AFUN2_004339	AAEL026746
OG0001973	AFUN2_010667	AAEL026751
OG0001974	AFUN2_006777	AAEL026796
OG0001975	AFUN2_009352	AAEL026846
OG0001976	AFUN2_004800	AAEL026945
OG0001977	AFUN2_011829	AAEL027527
OG0001978	AFUN2_010076	AAEL027566
OG0001979	AFUN2_001630	AAEL027644
OG0001980	AFUN2_012317	AAEL027654
OG0001981	AFUN2_011198	AAEL028004
OG0001982	AFUN2_009559	AAEL028021
OG0001983	AFUN2_008742	AAEL028129
OG0001984	AFUN2_002883	AAEL029070, AAEL029071
OG0002027	AFUN2_009172	AAEL000008
OG0002028	AFUN2_001046	AAEL002639, AAEL000010
OG0002029	AFUN2_004317	AAEL000032
OG0002030	AFUN2_012852	AAEL000036
OG0002031	AFUN2_014361	AAEL000049
OG0002032	AFUN2_009284	AAEL000091
OG0002033	AFUN2_011606	AAEL000098
OG0002034	AFUN2_009590	AAEL000102
OG0002035	AFUN2_003764	AAEL000109, AAEL025680
OG0002036	AFUN2_005934	AAEL000159
OG0002037	AFUN2_010259	AAEL000162
OG0002038	AFUN2_002681	AAEL000181
OG0002039	AFUN2_012449	AAEL000186
OG0002040	AFUN2_008505	AAEL000188
OG0002041	AFUN2_002134	AAEL000193
OG0002042	AFUN2_010121	AAEL000206, AAEL004665
OG0002043	AFUN2_012585	AAEL000221
OG0002044	AFUN2_012791	AAEL000236
OG0002045	AFUN2_004535	AAEL021776, AAEL000243
OG0002046	AFUN2_006398	AAEL000258
OG0002047	AFUN2_006752	AAEL000267
OG0002048	AFUN2_006967	AAEL000272
OG0002049	AFUN2_005410	AAEL000291
OG0002050	AFUN2_009262	AAEL000327
OG0002051	AFUN2_005354	AAEL000340
OG0002052	AFUN2_013828	AAEL000343
OG0002053	AFUN2_003693	AAEL000362
OG0002054	AFUN2_012860	AAEL000397, AAEL027318
OG0002055	AFUN2_003231	AAEL000416
OG0002056	AFUN2_014228	AAEL000424
OG0002057	AFUN2_002996	AAEL000440, AAEL023005
OG0002058	AFUN2_010573	AAEL027802, AAEL000445
OG0002059	AFUN2_002833, AFUN2_008903	AAEL000452
OG0002060	AFUN2_010847	AAEL000457
OG0002061	AFUN2_003438	AAEL000460, AAEL020197
OG0002062	AFUN2_005789	AAEL000464
OG0002063	AFUN2_008172	AAEL000510
OG0002064	AFUN2_004758	AAEL000550
OG0002065	AFUN2_008049	AAEL000551
OG0002066	AFUN2_001388	AAEL000559
OG0002067	AFUN2_001308	AAEL000590
OG0002068	AFUN2_012360	AAEL000593
OG0002069	AFUN2_013536	AAEL000618
OG0002070	AFUN2_013693	AAEL021450, AAEL000646
OG0002071	AFUN2_012681, AFUN2_000832	AAEL000670
OG0002072	AFUN2_012665	AAEL000716
OG0002073	AFUN2_003920	AAEL000721
OG0002074	AFUN2_004349	AAEL000724
OG0002075	AFUN2_000462	AAEL000746
OG0002076	AFUN2_013726	AAEL000750
OG0002077	AFUN2_012898	AAEL000755
OG0002078	AFUN2_001878	AAEL020913, AAEL000825
OG0002079	AFUN2_003274	AAEL000849, AAEL027279
OG0002080	AFUN2_008661	AAEL000852, AAEL022708
OG0002081	AFUN2_008613	AAEL000883
OG0002082	AFUN2_009457	AAEL000897
OG0002083	AFUN2_011982	AAEL000924
OG0002084	AFUN2_009919	AAEL000925
OG0002085	AFUN2_014707	AAEL000933
OG0002086	AFUN2_004782	AAEL000938
OG0002087	AFUN2_008086	AAEL000940, AAEL022151
OG0002088	AFUN2_013562	AAEL000942
OG0002089	AFUN2_011182	AAEL024591, AAEL000950
OG0002090	AFUN2_002895	AAEL000951
OG0002091	AFUN2_012309	AAEL000953
OG0002092	AFUN2_012593	AAEL007879, AAEL000961
OG0002093	AFUN2_010593	AAEL026006, AAEL028134, AAEL000964
OG0002094	AFUN2_009439	AAEL000967
OG0002095	AFUN2_003664	AAEL000978
OG0002096	AFUN2_006371	AAEL000994
OG0002097	AFUN2_004551	AAEL000999
OG0002098	AFUN2_001646	AAEL001000
OG0002099	AFUN2_005052	AAEL001007
OG0002100	AFUN2_001835	AAEL001044
OG0002101	AFUN2_013257	AAEL001060
OG0002102	AFUN2_003594	AAEL001085
OG0002103	AFUN2_000747	AAEL001099
OG0002104	AFUN2_004925	AAEL001113
OG0002105	AFUN2_001694	AAEL001154
OG0002106	AFUN2_006735	AAEL021364, AAEL001162
OG0002107	AFUN2_005676	AAEL025170, AAEL001176
OG0002108	AFUN2_006645	AAEL020244, AAEL001182
OG0002109	AFUN2_003026	AAEL001184
OG0002110	AFUN2_002017	AAEL001191, AAEL020438
OG0002111	AFUN2_008490	AAEL001199, AAEL020222
OG0002112	AFUN2_011695	AAEL001228
OG0002113	AFUN2_013602	AAEL001238
OG0002114	AFUN2_004586	AAEL001241
OG0002115	AFUN2_010808	AAEL001245
OG0002116	AFUN2_007460	AAEL001254
OG0002117	AFUN2_010364	AAEL001257
OG0002118	AFUN2_012876	AAEL001268
OG0002119	AFUN2_013502	AAEL001281
OG0002120	AFUN2_006039	AAEL020619, AAEL001289
OG0002121	AFUN2_011526	AAEL001308
OG0002122	AFUN2_001151	AAEL001317
OG0002123	AFUN2_014471	AAEL001356
OG0002124	AFUN2_006552	AAEL001359
OG0002125	AFUN2_001078	AAEL001368
OG0002126	AFUN2_008421	AAEL001378
OG0002127	AFUN2_004444	AAEL001389
OG0002128	AFUN2_012370	AAEL001397
OG0002129	AFUN2_011024	AAEL001422
OG0002130	AFUN2_012589	AAEL001423
OG0002131	AFUN2_014816	AAEL001425
OG0002132	AFUN2_003743	AAEL023408, AAEL001426
OG0002133	AFUN2_007327	AAEL001428
OG0002134	AFUN2_011988	AAEL001446
OG0002135	AFUN2_006753	AAEL001472
OG0002136	AFUN2_004462	AAEL001474
OG0002137	AFUN2_011716	AAEL001475
OG0002138	AFUN2_009006	AAEL001493
OG0002139	AFUN2_006243	AAEL001497
OG0002140	AFUN2_008983	AAEL001500
OG0002141	AFUN2_013816	AAEL001505
OG0002142	AFUN2_010701	AAEL001506
OG0002143	AFUN2_006388	AAEL001513
OG0002144	AFUN2_006782	AAEL001518
OG0002145	AFUN2_010331	AAEL001526
OG0002146	AFUN2_006521, AFUN2_004631	AAEL001541
OG0002149	AFUN2_012515	AAEL001557
OG0002150	AFUN2_000571	AAEL001559
OG0002151	AFUN2_013355	AAEL001573
OG0002152	AFUN2_008660	AAEL001593
OG0002153	AFUN2_004907	AAEL001636
OG0002154	AFUN2_006929	AAEL001649
OG0002155	AFUN2_003718	AAEL008769, AAEL001693
OG0002156	AFUN2_009613	AAEL001707
OG0002157	AFUN2_013176	AAEL001736
OG0002158	AFUN2_000837	AAEL001751
OG0002159	AFUN2_013046	AAEL001764
OG0002160	AFUN2_010876	AAEL001797, AAEL022985
OG0002161	AFUN2_002471	AAEL001808
OG0002162	AFUN2_006584	AAEL026493, AAEL001810
OG0002163	AFUN2_011162	AAEL001813
OG0002164	AFUN2_005960	AAEL001832
OG0002165	AFUN2_000714	AAEL001847
OG0002166	AFUN2_001494	AAEL026860, AAEL001852
OG0002167	AFUN2_005215	AAEL001856
OG0002168	AFUN2_002666	AAEL001864
OG0002169	AFUN2_001705	AAEL001865
OG0002170	AFUN2_012924	AAEL001869
OG0002171	AFUN2_003187	AAEL001874
OG0002172	AFUN2_011230	AAEL020591, AAEL001875
OG0002173	AFUN2_013886	AAEL001888
OG0002174	AFUN2_007413	AAEL001896
OG0002175	AFUN2_010735	AAEL019903, AAEL019902, AAEL001897
OG0002176	AFUN2_003254	AAEL001913, AAEL020754
OG0002177	AFUN2_002492	AAEL001920
OG0002178	AFUN2_011069	AAEL023816, AAEL001952
OG0002179	AFUN2_013729	AAEL021869, AAEL001962
OG0002180	AFUN2_006817	AAEL001978
OG0002181	AFUN2_005316	AAEL002016
OG0002182	AFUN2_010879	AAEL021392, AAEL002068
OG0002183	AFUN2_002696	AAEL002079
OG0002184	AFUN2_003880	AAEL002132
OG0002185	AFUN2_006920	AAEL002134
OG0002186	AFUN2_003349	AAEL002142
OG0002187	AFUN2_008491	AAEL002165
OG0002188	AFUN2_004365	AAEL002167
OG0002189	AFUN2_007320	AAEL012075, AAEL002178
OG0002190	AFUN2_003578	AAEL002215
OG0002191	AFUN2_000966	AAEL002216
OG0002192	AFUN2_013609	AAEL002220
OG0002193	AFUN2_005861	AAEL002232
OG0002194	AFUN2_011152	AAEL002248, AAEL027046
OG0002195	AFUN2_011826	AAEL002250
OG0002196	AFUN2_010120	AAEL002271
OG0002197	AFUN2_007596	AAEL002307, AAEL002295
OG0002198	AFUN2_010752	AAEL002312
OG0002199	AFUN2_005884	AAEL002318, AAEL020455
OG0002200	AFUN2_009296	AAEL002322
OG0002201	AFUN2_007928	AAEL002324
OG0002202	AFUN2_001681	AAEL002329
OG0002203	AFUN2_014402	AAEL002341
OG0002204	AFUN2_005868	AAEL002343
OG0002205	AFUN2_003887	AAEL002345
OG0002206	AFUN2_006443	AAEL002355
OG0002207	AFUN2_008386	AAEL002387, AAEL025830
OG0002208	AFUN2_013507	AAEL002390
OG0002209	AFUN2_000413	AAEL002399
OG0002210	AFUN2_011179	AAEL002401
OG0002211	AFUN2_000829	AAEL002404
OG0002212	AFUN2_012514	AAEL002412
OG0002213	AFUN2_003335	AAEL002433, AAEL024815
OG0002214	AFUN2_005284	AAEL002438
OG0002215	AFUN2_008671	AAEL002451
OG0002216	AFUN2_002787	AAEL021792, AAEL002463
OG0002217	AFUN2_011488	AAEL002483
OG0002218	AFUN2_010882	AAEL002504
OG0002219	AFUN2_013061	AAEL002537
OG0002220	AFUN2_012225	AAEL002543, AAEL023018
OG0002221	AFUN2_008740	AAEL002560
OG0002222	AFUN2_005905	AAEL002569
OG0002223	AFUN2_003030	AAEL002578
OG0002224	AFUN2_010496	AAEL002581
OG0002225	AFUN2_010110	AAEL002591, AAEL002605
OG0002226	AFUN2_013045	AAEL002597, AAEL023576
OG0002227	AFUN2_004378	AAEL002602, AAEL011967
OG0002228	AFUN2_001719, AFUN2_003051	AAEL002613
OG0002229	AFUN2_008871	AAEL022118, AAEL002615
OG0002230	AFUN2_005716	AAEL002645
OG0002231	AFUN2_001882	AAEL002652
OG0002232	AFUN2_011407	AAEL002701
OG0002233	AFUN2_001263	AAEL002714
OG0002234	AFUN2_007424	AAEL002752
OG0002235	AFUN2_011873	AAEL002775
OG0002236	AFUN2_002742	AAEL002782
OG0002237	AFUN2_011203	AAEL002783
OG0002238	AFUN2_001877	AAEL002815, AAEL022913
OG0002239	AFUN2_006182	AAEL002818
OG0002240	AFUN2_004592	AAEL002860
OG0002241	AFUN2_008568	AAEL002867, AAEL017409, AAEL026318, AAEL024386
OG0002242	AFUN2_007352	AAEL002870
OG0002243	AFUN2_003338	AAEL021181, AAEL002880, AAEL027048
OG0002244	AFUN2_013033	AAEL002887
OG0002245	AFUN2_002019	AAEL002888
OG0002246	AFUN2_005459	AAEL002905, AAEL009418
OG0002247	AFUN2_005932	AAEL002906
OG0002248	AFUN2_004180	AAEL002921
OG0002249	AFUN2_009277	AAEL002933
OG0002250	AFUN2_009150	AAEL020993, AAEL002949
OG0002251	AFUN2_002963	AAEL002961
OG0002252	AFUN2_012187	AAEL024580, AAEL002962
OG0002253	AFUN2_013382	AAEL002980, AAEL021837
OG0002254	AFUN2_006863	AAEL002988
OG0002255	AFUN2_013605	AAEL002993, AAEL021617
OG0002256	AFUN2_011591	AAEL003003
OG0002257	AFUN2_014783	AAEL003011
OG0002258	AFUN2_011390	AAEL003018
OG0002259	AFUN2_013200	AAEL003020
OG0002260	AFUN2_000860	AAEL003032
OG0002261	AFUN2_005219	AAEL024996, AAEL003063
OG0002262	AFUN2_004155	AAEL003064
OG0002263	AFUN2_008774	AAEL003067
OG0002264	AFUN2_010554	AAEL003071
OG0002265	AFUN2_008854	AAEL003089
OG0002266	AFUN2_014753, AFUN2_011028	AAEL003103
OG0002267	AFUN2_005146	AAEL003125
OG0002268	AFUN2_001639	AAEL003130
OG0002269	AFUN2_004946	AAEL003131
OG0002270	AFUN2_008101	AAEL026506, AAEL003136
OG0002271	AFUN2_006491	AAEL003140
OG0002272	AFUN2_006110	AAEL003143
OG0002273	AFUN2_011537	AAEL022327, AAEL003145
OG0002274	AFUN2_002904	AAEL003151
OG0002275	AFUN2_012320	AAEL003161
OG0002276	AFUN2_002288	AAEL003174
OG0002277	AFUN2_007291	AAEL003183
OG0002278	AFUN2_002292	AAEL003184
OG0002279	AFUN2_012280	AAEL029111, AAEL003192
OG0002280	AFUN2_008259	AAEL003198, AAEL026956
OG0002281	AFUN2_013087	AAEL003208, AAEL019417
OG0002282	AFUN2_013994	AAEL003214
OG0002283	AFUN2_013050, AFUN2_008928	AAEL003216
OG0002284	AFUN2_000894	AAEL003229
OG0002285	AFUN2_003434	AAEL003237
OG0002286	AFUN2_014185	AAEL003246
OG0002287	AFUN2_012983	AAEL003264
OG0002288	AFUN2_008123	AAEL003269
OG0002289	AFUN2_002623	AAEL003275
OG0002290	AFUN2_006870	AAEL003277
OG0002291	AFUN2_001834	AAEL003282
OG0002292	AFUN2_013802	AAEL003301
OG0002293	AFUN2_001575	AAEL028035, AAEL003320
OG0002294	AFUN2_004962	AAEL003326
OG0002295	AFUN2_013961	AAEL003344
OG0002296	AFUN2_000557	AAEL003346
OG0002297	AFUN2_006651	AAEL003353
OG0002298	AFUN2_004561	AAEL003365
OG0002299	AFUN2_012079	AAEL003367
OG0002300	AFUN2_007228	AAEL003377
OG0002301	AFUN2_010702	AAEL003397, AAEL024180
OG0002302	AFUN2_012785	AAEL003398
OG0002304	AFUN2_006715	AAEL003418
OG0002305	AFUN2_009685	AAEL003432
OG0002306	AFUN2_011364	AAEL003443
OG0002307	AFUN2_011618	AAEL017549, AAEL003448
OG0002308	AFUN2_003614	AAEL024469, AAEL003452
OG0002309	AFUN2_011658	AAEL003461, AAEL024690
OG0002310	AFUN2_009606	AAEL003485, AAEL011554
OG0002311	AFUN2_012906	AAEL003495
OG0002312	AFUN2_011557	AAEL003505
OG0002313	AFUN2_014403	AAEL003509
OG0002314	AFUN2_004280	AAEL003516
OG0002315	AFUN2_011435	AAEL003517
OG0002316	AFUN2_010147	AAEL003526
OG0002317	AFUN2_007524	AAEL003529
OG0002318	AFUN2_007398	AAEL003530, AAEL005027
OG0002319	AFUN2_008395	AAEL003541, AAEL026564
OG0002320	AFUN2_007830	AAEL003546
OG0002321	AFUN2_001679	AAEL003564, AAEL003568
OG0002322	AFUN2_003579	AAEL003570
OG0002323	AFUN2_003202	AAEL024927, AAEL024689, AAEL028067, AAEL003594
OG0002325	AFUN2_004674	AAEL003611
OG0002326	AFUN2_013348	AAEL003646
OG0002327	AFUN2_009824, AFUN2_001564	AAEL003700, AAEL003679, AAEL003657
OG0002328	AFUN2_003287	AAEL027460, AAEL003666
OG0002329	AFUN2_000420	AAEL003698
OG0002330	AFUN2_003817	AAEL003736
OG0002331	AFUN2_006319	AAEL024850, AAEL003749
OG0002332	AFUN2_008937	AAEL022058, AAEL003754
OG0002333	AFUN2_013199	AAEL003755, AAEL020229
OG0002334	AFUN2_008270	AAEL003769
OG0002335	AFUN2_005187	AAEL003771, AAEL022498
OG0002336	AFUN2_004857	AAEL003772
OG0002337	AFUN2_013229	AAEL003812
