Orthogroup	AdirusWRAIR2	CquinquefasciatusJHB2020
OG0001958	ADIR001005	CQUJHB015953
OG0001959	ADIR008941	CQUJHB009277
OG0001960	ADIR005313	CQUJHB018138
OG0001961	ADIR006030	CQUJHB014631
OG0001962	ADIR004077, ADIR004078	CQUJHB016651
OG0001963	ADIR011496	CQUJHB011444
OG0001964	ADIR007696	CQUJHB018337
OG0001965	ADIR002199	CQUJHB013662
OG0001968	ADIR009169	CQUJHB002848
OG0001969	ADIR007937	CQUJHB009273
OG0001970	ADIR006593	CQUJHB014942, CQUJHB003598, CQUJHB006771
OG0001971	ADIR002099	CQUJHB009557
OG0001972	ADIR009182	CQUJHB009191, CQUJHB017842
OG0001974	ADIR001226	CQUJHB003100
OG0001975	ADIR007393	CQUJHB017537, CQUJHB000395
OG0001976	ADIR010396	CQUJHB002571
OG0001977	ADIR001519	CQUJHB018154
OG0001978	ADIR011175	CQUJHB012118
OG0001979	ADIR003410	CQUJHB002147
OG0001980	ADIR003936	CQUJHB016028
OG0001981	ADIR010600	CQUJHB002973
OG0001982	ADIR003949	CQUJHB010272, CQUJHB001693, CQUJHB010161
OG0001983	ADIR004189, ADIR001406	CQUJHB007443
OG0001988	ADIR005678	CQUJHB001325
OG0001998	ADIR003932, ADIR003929	CQUJHB006595
OG0002000	ADIR000420	CQUJHB006851
OG0002005	ADIR005756, ADIR009025, ADIR001529, ADIR009090, ADIR010832	CQUJHB016333
OG0002010	ADIR004637	CQUJHB004416
OG0002011	ADIR005361	CQUJHB008730
OG0002012	ADIR005846	CQUJHB006495
OG0002027	ADIR010703	CQUJHB015303
OG0002028	ADIR002646	CQUJHB000015
OG0002029	ADIR016013	CQUJHB000454, CQUJHB003417
OG0002030	ADIR002665	CQUJHB007781
OG0002031	ADIR004200	CQUJHB015561, CQUJHB016004
OG0002032	ADIR010613	CQUJHB007591, CQUJHB017901
OG0002033	ADIR009911	CQUJHB000201
OG0002034	ADIR010637	CQUJHB002364
OG0002035	ADIR008433	CQUJHB012676
OG0002036	ADIR002724	CQUJHB008731
OG0002037	ADIR009116	CQUJHB020324, CQUJHB020378
OG0002038	ADIR010123	CQUJHB001224
OG0002039	ADIR005740	CQUJHB010689
OG0002040	ADIR010121	CQUJHB018123
OG0002041	ADIR003903	CQUJHB010072
OG0002042	ADIR005750	CQUJHB011332
OG0002043	ADIR009807	CQUJHB013302
OG0002044	ADIR000975	CQUJHB016863
OG0002045	ADIR001210	CQUJHB011243
OG0002046	ADIR009486	CQUJHB018449, CQUJHB016117
OG0002047	ADIR007533	CQUJHB002076
OG0002048	ADIR000048	CQUJHB001769
OG0002049	ADIR009494	CQUJHB005527, CQUJHB007692
OG0002050	ADIR007560	CQUJHB014964
OG0002051	ADIR005803	CQUJHB005235, CQUJHB010587, CQUJHB000316
OG0002052	ADIR010765	CQUJHB007752
OG0002053	ADIR007557	CQUJHB001207
OG0002054	ADIR000537	CQUJHB014552
OG0002055	ADIR010679	CQUJHB013576
OG0002056	ADIR006577	CQUJHB002626
OG0002057	ADIR010674	CQUJHB012693
OG0002058	ADIR006455	CQUJHB004327
OG0002059	ADIR008365	CQUJHB003851
OG0002060	ADIR010673	CQUJHB018185
OG0002061	ADIR006456	CQUJHB009512
OG0002062	ADIR015513	CQUJHB012677
OG0002063	ADIR002815	CQUJHB004868
OG0002064	ADIR001818	CQUJHB017762
OG0002065	ADIR002153	CQUJHB001303
OG0002066	ADIR002146	CQUJHB015590
OG0002067	ADIR010490	CQUJHB014615
OG0002068	ADIR010495	CQUJHB001906
OG0002069	ADIR005080	CQUJHB017104
OG0002070	ADIR004363	CQUJHB009199
OG0002072	ADIR005433	CQUJHB008226
OG0002073	ADIR016208	CQUJHB009920
OG0002074	ADIR008164	CQUJHB008271
OG0002075	ADIR008162	CQUJHB015158
OG0002076	ADIR016207	CQUJHB013464
OG0002077	ADIR002355	CQUJHB015918
OG0002078	ADIR010262	CQUJHB011705
OG0002079	ADIR010264	CQUJHB001903
OG0002080	ADIR010263	CQUJHB013277
OG0002081	ADIR016129	CQUJHB009731
OG0002082	ADIR005638	CQUJHB003397
OG0002083	ADIR000528	CQUJHB013356
OG0002084	ADIR005560	CQUJHB013949
OG0002085	ADIR007900	CQUJHB017489
OG0002086	ADIR001971	CQUJHB010646
OG0002087	ADIR000409	CQUJHB006590
OG0002088	ADIR000384	CQUJHB010181
OG0002089	ADIR000392	CQUJHB002003
OG0002090	ADIR000426	CQUJHB003030
OG0002091	ADIR007899	CQUJHB013258
OG0002092	ADIR001969	CQUJHB017744
OG0002093	ADIR005161	CQUJHB009534
OG0002094	ADIR009678	CQUJHB007383
OG0002095	ADIR008396	CQUJHB005853
OG0002096	ADIR007815, ADIR007814	CQUJHB005530
OG0002097	ADIR007818	CQUJHB017962, CQUJHB012489, CQUJHB011659
OG0002098	ADIR005329	CQUJHB013710
OG0002099	ADIR008981	CQUJHB000391
OG0002100	ADIR003121	CQUJHB014387
OG0002101	ADIR010177	CQUJHB012215
OG0002102	ADIR006581	CQUJHB004208
OG0002104	ADIR009552	CQUJHB017798
OG0002105	ADIR005178	CQUJHB011479
OG0002106	ADIR004838	CQUJHB015190
OG0002107	ADIR004840	CQUJHB015721
OG0002108	ADIR006832	CQUJHB017811
OG0002109	ADIR011522	CQUJHB003037
OG0002110	ADIR004018	CQUJHB006433
OG0002111	ADIR005057	CQUJHB001706
OG0002112	ADIR003966	CQUJHB012500
OG0002113	ADIR004987	CQUJHB011651, CQUJHB014730
OG0002114	ADIR008833	CQUJHB010172, CQUJHB010508
OG0002116	ADIR004326	CQUJHB000110
OG0002117	ADIR007168	CQUJHB002257, CQUJHB017164
OG0002118	ADIR009250	CQUJHB003964, CQUJHB008253
OG0002119	ADIR008593	CQUJHB014981
OG0002120	ADIR001060	CQUJHB014175
OG0002122	ADIR009453	CQUJHB003340
OG0002123	ADIR016146	CQUJHB013223
OG0002124	ADIR003763	CQUJHB012406, CQUJHB007350
OG0002125	ADIR006229	CQUJHB011922
OG0002126	ADIR003762	CQUJHB014744, CQUJHB000820
OG0002127	ADIR003793	CQUJHB014050, CQUJHB015643
OG0002128	ADIR007277	CQUJHB009908
OG0002129	ADIR007259	CQUJHB012894, CQUJHB016886
OG0002130	ADIR007271	CQUJHB009924
OG0002131	ADIR007270	CQUJHB001427
OG0002132	ADIR007272	CQUJHB014710
OG0002133	ADIR007247	CQUJHB006683
OG0002134	ADIR001141	CQUJHB012801
OG0002135	ADIR006789	CQUJHB002700
OG0002136	ADIR011211	CQUJHB011012
OG0002137	ADIR004772	CQUJHB008468
OG0002138	ADIR008547	CQUJHB008948
OG0002139	ADIR011114	CQUJHB001861
OG0002140	ADIR004023	CQUJHB003839
OG0002141	ADIR011071	CQUJHB011348
OG0002142	ADIR006790	CQUJHB004693
OG0002143	ADIR000177	CQUJHB018228
OG0002144	ADIR000165	CQUJHB006170
OG0002145	ADIR000173	CQUJHB002789
OG0002146	ADIR007098	CQUJHB011719
OG0002149	ADIR007043	CQUJHB008545, CQUJHB010818
OG0002150	ADIR007108	CQUJHB011406
OG0002151	ADIR007150	CQUJHB009644, CQUJHB007757
OG0002152	ADIR015914	CQUJHB014510
OG0002153	ADIR004944	CQUJHB003031
OG0002154	ADIR000739	CQUJHB002808
OG0002155	ADIR008661	CQUJHB005873, CQUJHB005980
OG0002156	ADIR011176	CQUJHB012918
OG0002157	ADIR007452	CQUJHB000632
OG0002158	ADIR008651	CQUJHB003434
OG0002159	ADIR008646	CQUJHB016275
OG0002160	ADIR004971	CQUJHB015104
OG0002161	ADIR004695	CQUJHB001120
OG0002162	ADIR004970	CQUJHB002048
OG0002163	ADIR011122	CQUJHB004123
OG0002164	ADIR004691	CQUJHB003090
OG0002165	ADIR000706	CQUJHB005631
OG0002166	ADIR004024	CQUJHB015094
OG0002167	ADIR009269	CQUJHB009230
OG0002168	ADIR000709	CQUJHB009807
OG0002169	ADIR000708	CQUJHB008100
OG0002170	ADIR000777	CQUJHB015311
OG0002171	ADIR005172	CQUJHB017228
OG0002172	ADIR000778	CQUJHB013281
OG0002173	ADIR006237	CQUJHB000228
OG0002174	ADIR005034	CQUJHB003725
OG0002175	ADIR006239	CQUJHB008401
OG0002176	ADIR006247	CQUJHB012513
OG0002177	ADIR000311	CQUJHB012766
OG0002178	ADIR000309	CQUJHB001425
OG0002179	ADIR011216	CQUJHB001471
OG0002180	ADIR011229	CQUJHB003808
OG0002181	ADIR011060	CQUJHB017639, CQUJHB016180
OG0002182	ADIR011247	CQUJHB006550
OG0002183	ADIR011245	CQUJHB012486
OG0002184	ADIR003494	CQUJHB008635
OG0002185	ADIR006566	CQUJHB016880
OG0002186	ADIR002889	CQUJHB004159
OG0002187	ADIR015585	CQUJHB017101
OG0002188	ADIR015586	CQUJHB016517
OG0002189	ADIR004127	CQUJHB016647
OG0002190	ADIR000629	CQUJHB002487
OG0002191	ADIR006344	CQUJHB018069
OG0002192	ADIR000627, ADIR000628	CQUJHB005712
OG0002193	ADIR011446	CQUJHB007235
OG0002194	ADIR007670	CQUJHB013506
OG0002195	ADIR007515	CQUJHB010450
OG0002196	ADIR007671	CQUJHB010713
OG0002197	ADIR000546	CQUJHB000244
OG0002198	ADIR005225	CQUJHB006518
OG0002199	ADIR005274	CQUJHB009360
OG0002200	ADIR008017	CQUJHB005566
OG0002201	ADIR003744	CQUJHB005134
OG0002202	ADIR003740	CQUJHB004704
OG0002203	ADIR004226	CQUJHB012321, CQUJHB015547
OG0002204	ADIR001051	CQUJHB005442, CQUJHB009865
OG0002205	ADIR008018	CQUJHB007144
OG0002206	ADIR003741	CQUJHB011470
OG0002207	ADIR005159	CQUJHB004389
OG0002208	ADIR005019	CQUJHB015490
OG0002209	ADIR004997	CQUJHB006118
OG0002210	ADIR011383	CQUJHB000032
OG0002211	ADIR007898	CQUJHB005012, CQUJHB008285
OG0002212	ADIR005441	CQUJHB006368
OG0002213	ADIR003292	CQUJHB013538
OG0002214	ADIR000890	CQUJHB000717
OG0002215	ADIR000810	CQUJHB005950
OG0002216	ADIR003835	CQUJHB009349
OG0002217	ADIR007947	CQUJHB009119
OG0002218	ADIR008557	CQUJHB015348
OG0002219	ADIR001290	CQUJHB006148
OG0002220	ADIR006633	CQUJHB003376
OG0002221	ADIR010460	CQUJHB016640
OG0002222	ADIR010462	CQUJHB010238
OG0002223	ADIR005672	CQUJHB008688
OG0002224	ADIR003142	CQUJHB008876, CQUJHB001015
OG0002226	ADIR002188	CQUJHB007377
OG0002227	ADIR005494	CQUJHB007253
OG0002229	ADIR000479	CQUJHB005588
OG0002230	ADIR004922	CQUJHB014027
OG0002231	ADIR004933	CQUJHB011725, CQUJHB008978, CQUJHB015693
OG0002232	ADIR008520, ADIR003557	CQUJHB016597
OG0002233	ADIR007046	CQUJHB016148
OG0002234	ADIR007184	CQUJHB009841
OG0002235	ADIR005468	CQUJHB010122
OG0002236	ADIR010260	CQUJHB007151
OG0002237	ADIR004571	CQUJHB014136
OG0002238	ADIR002662	CQUJHB014723
OG0002239	ADIR002664	CQUJHB003596
OG0002240	ADIR002876	CQUJHB000437
OG0002242	ADIR005447	CQUJHB014480
OG0002244	ADIR002103, ADIR001379	CQUJHB005805
OG0002245	ADIR015492, ADIR000798	CQUJHB016908
OG0002246	ADIR001378	CQUJHB010050
OG0002247	ADIR003551	CQUJHB004418, CQUJHB009622
OG0002248	ADIR000044	CQUJHB016195
OG0002249	ADIR000824	CQUJHB009438
OG0002250	ADIR008320	CQUJHB001918
OG0002251	ADIR008321	CQUJHB014276
OG0002252	ADIR008319	CQUJHB009674
OG0002253	ADIR000111	CQUJHB004508
OG0002254	ADIR002444	CQUJHB004592
OG0002255	ADIR002929	CQUJHB010680
OG0002256	ADIR015707	CQUJHB008335
OG0002257	ADIR010728	CQUJHB013146
OG0002258	ADIR003358	CQUJHB003065
OG0002259	ADIR001527	CQUJHB004536
OG0002260	ADIR004591	CQUJHB003014, CQUJHB015254
OG0002261	ADIR007912	CQUJHB010012
OG0002262	ADIR007698	CQUJHB003690
OG0002263	ADIR007700	CQUJHB003385
OG0002264	ADIR005763	CQUJHB006913
OG0002265	ADIR003745	CQUJHB007912
OG0002266	ADIR001443	CQUJHB000401
OG0002267	ADIR003607	CQUJHB011217
OG0002268	ADIR000383	CQUJHB006856
OG0002269	ADIR000382	CQUJHB011397
OG0002270	ADIR009665	CQUJHB014938
OG0002271	ADIR000393	CQUJHB010861
OG0002272	ADIR000395	CQUJHB005130
OG0002273	ADIR002227	CQUJHB005373
OG0002274	ADIR004000	CQUJHB006935
OG0002275	ADIR008272	CQUJHB000691
OG0002276	ADIR003995	CQUJHB003103
OG0002277	ADIR002931	CQUJHB005431
OG0002278	ADIR002936	CQUJHB002987
OG0002279	ADIR002932	CQUJHB009582
OG0002280	ADIR016217	CQUJHB016835
OG0002281	ADIR010379	CQUJHB000127
OG0002282	ADIR004337	CQUJHB011642
OG0002283	ADIR011342	CQUJHB002344
OG0002284	ADIR001698	CQUJHB001446
OG0002285	ADIR011189	CQUJHB002955, CQUJHB008269
OG0002286	ADIR006253	CQUJHB007418
OG0002287	ADIR006255	CQUJHB010863
OG0002288	ADIR006254	CQUJHB004334
OG0002289	ADIR004323	CQUJHB016882
OG0002290	ADIR008876	CQUJHB007502
OG0002291	ADIR004956	CQUJHB013153
OG0002292	ADIR002167, ADIR002168	CQUJHB001130
OG0002293	ADIR009168	CQUJHB003490
OG0002294	ADIR011306	CQUJHB003662
OG0002295	ADIR011308	CQUJHB000982
OG0002296	ADIR011322	CQUJHB000898
OG0002297	ADIR000873	CQUJHB020344
OG0002298	ADIR003087	CQUJHB006545
OG0002299	ADIR002681	CQUJHB009293
OG0002300	ADIR003084	CQUJHB013387
OG0002301	ADIR002689	CQUJHB018039
OG0002302	ADIR010824	CQUJHB004570
OG0002304	ADIR002341	CQUJHB010742
OG0002305	ADIR005770	CQUJHB004635
OG0002306	ADIR001922	CQUJHB013760
OG0002307	ADIR001928	CQUJHB005630
OG0002308	ADIR007280	CQUJHB011917
OG0002309	ADIR007022	CQUJHB004445
OG0002310	ADIR009158	CQUJHB009311
OG0002311	ADIR010486	CQUJHB006845
OG0002312	ADIR007430	CQUJHB004384
OG0002313	ADIR002263	CQUJHB015733
OG0002314	ADIR011385	CQUJHB012634
OG0002315	ADIR002040	CQUJHB009401
OG0002316	ADIR002041	CQUJHB003740
OG0002317	ADIR007523	CQUJHB011893, CQUJHB013333
OG0002318	ADIR010966	CQUJHB003199
OG0002319	ADIR011389	CQUJHB002990
OG0002320	ADIR011391	CQUJHB014318, CQUJHB016145, CQUJHB005410
OG0002321	ADIR008493	CQUJHB004639
OG0002322	ADIR008498	CQUJHB005601
OG0002325	ADIR003264	CQUJHB010565
OG0002326	ADIR004482	CQUJHB013806
OG0002328	ADIR004751	CQUJHB009440
OG0002329	ADIR004480	CQUJHB008476
OG0002330	ADIR007335	CQUJHB009297
OG0002331	ADIR005376	CQUJHB000409
OG0002332	ADIR008288	CQUJHB009608
OG0002333	ADIR005375	CQUJHB014213
OG0002334	ADIR005368	CQUJHB009980
OG0002335	ADIR005374	CQUJHB012103
OG0002336	ADIR005372	CQUJHB007046
OG0002337	ADIR010737	CQUJHB016521
OG0002338	ADIR009138	CQUJHB016912
OG0002339	ADIR005606	CQUJHB000264, CQUJHB002185
OG0002340	ADIR008517	CQUJHB015241
OG0002341	ADIR008513	CQUJHB017309
OG0002342	ADIR010411	CQUJHB000893
OG0002343	ADIR010661	CQUJHB010668
OG0002344	ADIR003538	CQUJHB010557
OG0002345	ADIR002248	CQUJHB003096
OG0002346	ADIR005001	CQUJHB006185
OG0002347	ADIR002330	CQUJHB014113
OG0002348	ADIR002524	CQUJHB006469
OG0002349	ADIR002826	CQUJHB011400
OG0002350	ADIR005825	CQUJHB015440
OG0002351	ADIR015686	CQUJHB004563
OG0002352	ADIR011541	CQUJHB010594
OG0002353	ADIR001143	CQUJHB006051
OG0002354	ADIR001178	CQUJHB010462, CQUJHB008752, CQUJHB007099
OG0002355	ADIR000506	CQUJHB005547
OG0002356	ADIR002837	CQUJHB018068
OG0002357	ADIR005568	CQUJHB013014, CQUJHB004041
OG0002358	ADIR003024	CQUJHB002612
OG0002359	ADIR002838	CQUJHB014974
OG0002360	ADIR008746	CQUJHB011367
OG0002361	ADIR008855	CQUJHB004650
OG0002362	ADIR011000	CQUJHB014684
OG0002363	ADIR009699	CQUJHB006766
OG0002364	ADIR002965	CQUJHB004756
OG0002365	ADIR011004	CQUJHB012487
OG0002366	ADIR004707	CQUJHB009929
OG0002367	ADIR010085	CQUJHB016718, CQUJHB012929
OG0002368	ADIR011364	CQUJHB012789
OG0002369	ADIR005696	CQUJHB007800
OG0002370	ADIR005709	CQUJHB009564
OG0002371	ADIR000446	CQUJHB012855
OG0002372	ADIR010650	CQUJHB016742
OG0002373	ADIR000378	CQUJHB000794
OG0002374	ADIR009304	CQUJHB016411
OG0002375	ADIR001781	CQUJHB009769
OG0002376	ADIR000403	CQUJHB007982
OG0002377	ADIR001768	CQUJHB003022
OG0002378	ADIR001780	CQUJHB006638
OG0002379	ADIR001771	CQUJHB017208
OG0002380	ADIR001766	CQUJHB010596
OG0002381	ADIR001769	CQUJHB009411
OG0002382	ADIR009119	CQUJHB012201
OG0002383	ADIR006424	CQUJHB010836
OG0002384	ADIR010382	CQUJHB014687
OG0002385	ADIR003169	CQUJHB012067
OG0002386	ADIR015611	CQUJHB004362
OG0002387	ADIR006081	CQUJHB015201
OG0002388	ADIR006819, ADIR006818	CQUJHB012524
OG0002389	ADIR004846	CQUJHB010100
OG0002390	ADIR006730	CQUJHB017513
OG0002391	ADIR002851	CQUJHB001336
OG0002392	ADIR006728	CQUJHB005239
OG0002393	ADIR007608	CQUJHB010590
OG0002395	ADIR001493	CQUJHB016537
OG0002396	ADIR006504	CQUJHB001013
OG0002397	ADIR007429	CQUJHB013685
OG0002398	ADIR010193	CQUJHB006627
OG0002399	ADIR006505	CQUJHB000834
OG0002400	ADIR006487	CQUJHB018220
OG0002401	ADIR010860	CQUJHB017267
OG0002402	ADIR004682	CQUJHB015436
OG0002403	ADIR010862	CQUJHB003337
OG0002404	ADIR016111	CQUJHB010074
OG0002405	ADIR005174	CQUJHB007031
OG0002406	ADIR009277	CQUJHB018093
OG0002408	ADIR009273	CQUJHB000279
OG0002409	ADIR000364	CQUJHB001593
OG0002410	ADIR000359	CQUJHB013798
OG0002411	ADIR000365	CQUJHB011085
OG0002412	ADIR000361	CQUJHB012360
OG0002414	ADIR007380	CQUJHB002452
OG0002415	ADIR004420	CQUJHB015531
OG0002416	ADIR004284	CQUJHB001206
OG0002417	ADIR007684	CQUJHB005610
OG0002418	ADIR004277	CQUJHB006127
OG0002419	ADIR009328	CQUJHB015871
OG0002420	ADIR009321	CQUJHB015617, CQUJHB017009
OG0002421	ADIR004516	CQUJHB016995
OG0002422	ADIR010842	CQUJHB017800
OG0002423	ADIR009359	CQUJHB012261
OG0002424	ADIR010846	CQUJHB013532
OG0002425	ADIR006334	CQUJHB007575
OG0002426	ADIR009357	CQUJHB015489
OG0002427	ADIR005773	CQUJHB012702
OG0002428	ADIR004517	CQUJHB006392, CQUJHB003056
OG0002429	ADIR005775	CQUJHB010909
OG0002430	ADIR003643	CQUJHB012663, CQUJHB006534
OG0002431	ADIR009767, ADIR009766	CQUJHB018145
OG0002432	ADIR006218	CQUJHB002271
OG0002433	ADIR002129	CQUJHB008079
OG0002434	ADIR002128	CQUJHB006991
OG0002435	ADIR009763	CQUJHB007429
OG0002436	ADIR002127	CQUJHB018128
OG0002437	ADIR003596	CQUJHB015695
OG0002438	ADIR006000	CQUJHB008564, CQUJHB008781
OG0002439	ADIR008750	CQUJHB003907
OG0002440	ADIR008749	CQUJHB011136
OG0002441	ADIR007443	CQUJHB011205
OG0002442	ADIR009284	CQUJHB000964
OG0002443	ADIR009190	CQUJHB003308
OG0002444	ADIR009184	CQUJHB013675
OG0002445	ADIR009189	CQUJHB005823
OG0002446	ADIR006993	CQUJHB014878
OG0002447	ADIR006406	CQUJHB011832
OG0002448	ADIR006403	CQUJHB013948
OG0002449	ADIR011498	CQUJHB005751
OG0002450	ADIR005392	CQUJHB010116
OG0002451	ADIR003389	CQUJHB013600
OG0002452	ADIR016060	CQUJHB017719
OG0002453	ADIR001323	CQUJHB013401
OG0002454	ADIR001223	CQUJHB013158
OG0002455	ADIR009389	CQUJHB008588
OG0002456	ADIR009474	CQUJHB003838
OG0002457	ADIR002156	CQUJHB002815
OG0002458	ADIR002157	CQUJHB000792
OG0002459	ADIR002158	CQUJHB002715
OG0002460	ADIR010221	CQUJHB011919
OG0002461	ADIR010218	CQUJHB010798
OG0002462	ADIR010205	CQUJHB017675
OG0002463	ADIR000972	CQUJHB000507
OG0002464	ADIR004800	CQUJHB009902
OG0002465	ADIR005415	CQUJHB008691
OG0002466	ADIR009562	CQUJHB011920
OG0002467	ADIR000338	CQUJHB006115
OG0002468	ADIR015965	CQUJHB012385
OG0002469	ADIR015978	CQUJHB011123
OG0002470	ADIR009784	CQUJHB002211
OG0002471	ADIR011429	CQUJHB017557
OG0002472	ADIR004924	CQUJHB007761, CQUJHB001566
OG0002473	ADIR004266	CQUJHB012618
OG0002474	ADIR011293	CQUJHB006279
OG0002475	ADIR011285	CQUJHB001696
OG0002476	ADIR011288	CQUJHB001299
OG0002477	ADIR001777, ADIR001776	CQUJHB009749
OG0002478	ADIR005567	CQUJHB000020
OG0002479	ADIR005193, ADIR007494	CQUJHB017215
OG0002480	ADIR009692	CQUJHB013708
OG0002481	ADIR004893	CQUJHB005702
OG0002482	ADIR015841	CQUJHB000819
OG0002483	ADIR003441	CQUJHB000171
OG0002484	ADIR006591	CQUJHB010442
OG0002485	ADIR008445	CQUJHB005479
OG0002486	ADIR006588	CQUJHB007533
OG0002487	ADIR005363	CQUJHB016355
OG0002488	ADIR005662	CQUJHB010277, CQUJHB010094
OG0002489	ADIR002057	CQUJHB006093, CQUJHB018006
OG0002490	ADIR002060	CQUJHB012668, CQUJHB015680
OG0002491	ADIR015715	CQUJHB013800
OG0002492	ADIR015716	CQUJHB015851
OG0002493	ADIR009731	CQUJHB015991
OG0002494	ADIR000354	CQUJHB007287
OG0002495	ADIR010654	CQUJHB008579
OG0002496	ADIR008474	CQUJHB017281
OG0002497	ADIR002578	CQUJHB003657
OG0002498	ADIR003438, ADIR003437	CQUJHB000643
OG0002499	ADIR001842	CQUJHB007300
OG0002500	ADIR002428	CQUJHB011172
OG0002501	ADIR015704	CQUJHB007006
OG0002502	ADIR009193	CQUJHB013686
OG0002503	ADIR002433	CQUJHB015917
OG0002504	ADIR002435	CQUJHB008232
OG0002505	ADIR010512	CQUJHB012068, CQUJHB008038
OG0002506	ADIR003392	CQUJHB003498
OG0002507	ADIR003390	CQUJHB015187
OG0002508	ADIR002105	CQUJHB013504
OG0002509	ADIR002835	CQUJHB012352
OG0002510	ADIR010317	CQUJHB014679
OG0002511	ADIR008481	CQUJHB009676
OG0002512	ADIR010316	CQUJHB015655
OG0002513	ADIR002781	CQUJHB017553
OG0002514	ADIR010393	CQUJHB017708
OG0002515	ADIR006623	CQUJHB006348, CQUJHB015063
OG0002516	ADIR008142	CQUJHB006557
OG0002517	ADIR008144	CQUJHB006228
OG0002518	ADIR008140	CQUJHB009619
OG0002519	ADIR005485	CQUJHB011239
OG0002520	ADIR003022	CQUJHB018416
OG0002521	ADIR011136, ADIR015994	CQUJHB005754
OG0002522	ADIR009813	CQUJHB001129
OG0002523	ADIR009817	CQUJHB012857
OG0002524	ADIR005284	CQUJHB012681
OG0002525	ADIR002736	CQUJHB001347
OG0002526	ADIR001546	CQUJHB001835
OG0002527	ADIR002738	CQUJHB013109
OG0002528	ADIR002734	CQUJHB014190
OG0002529	ADIR002739	CQUJHB010186
OG0002531	ADIR002021	CQUJHB007211, CQUJHB011313
OG0002532	ADIR001996, ADIR001995	CQUJHB004346
OG0002533	ADIR002008	CQUJHB014674
OG0002534	ADIR002002	CQUJHB013984
OG0002535	ADIR000335	CQUJHB003824
OG0002536	ADIR000601	CQUJHB009733
OG0002537	ADIR003589	CQUJHB015268
OG0002538	ADIR011419	CQUJHB002497, CQUJHB005070
OG0002539	ADIR006376	CQUJHB008846
OG0002540	ADIR011418	CQUJHB011114
OG0002541	ADIR006375	CQUJHB011485
OG0002542	ADIR005651	CQUJHB012656
OG0002543	ADIR005743	CQUJHB017907
OG0002544	ADIR005899	CQUJHB005985
OG0002545	ADIR006031	CQUJHB004140
OG0002546	ADIR006035	CQUJHB017047
OG0002547	ADIR016084	CQUJHB017911
OG0002548	ADIR008129	CQUJHB014078
OG0002549	ADIR016193, ADIR016192	CQUJHB015145
OG0002550	ADIR005829	CQUJHB004044
OG0002551	ADIR007987	CQUJHB012002
OG0002552	ADIR007986	CQUJHB014048
OG0002553	ADIR005941	CQUJHB010136
OG0002554	ADIR016113	CQUJHB006278
OG0002555	ADIR010008	CQUJHB004110
OG0002556	ADIR009308	CQUJHB013878
OG0002557	ADIR001959	CQUJHB017473, CQUJHB005775
OG0002558	ADIR001966	CQUJHB002217
OG0002559	ADIR001960	CQUJHB007385
OG0002560	ADIR001961	CQUJHB006910
OG0002561	ADIR002867	CQUJHB015452
OG0002562	ADIR008815	CQUJHB012582
OG0002563	ADIR008816	CQUJHB014513
OG0002564	ADIR004166	CQUJHB010984
OG0002565	ADIR004154	CQUJHB003369
OG0002566	ADIR000449	CQUJHB001402
OG0002567	ADIR003302	CQUJHB005685
OG0002568	ADIR000447	CQUJHB000006
OG0002569	ADIR002770	CQUJHB000293
OG0002571	ADIR000931	CQUJHB006090
OG0002572	ADIR009704	CQUJHB017578
OG0002573	ADIR010344	CQUJHB016861
OG0002574	ADIR002277	CQUJHB000934
OG0002575	ADIR000273	CQUJHB010355
OG0002576	ADIR002276	CQUJHB017097
OG0002577	ADIR007126	CQUJHB016962
OG0002578	ADIR009928	CQUJHB012644
OG0002579	ADIR006411	CQUJHB001217
OG0002580	ADIR010504	CQUJHB017277
OG0002581	ADIR004133	CQUJHB008792
OG0002582	ADIR003594	CQUJHB013520
OG0002583	ADIR010505	CQUJHB000170
OG0002584	ADIR008371	CQUJHB000376
OG0002585	ADIR008373	CQUJHB015510
OG0002586	ADIR001599	CQUJHB002474
OG0002587	ADIR000533	CQUJHB008457
OG0002588	ADIR001826	CQUJHB010356, CQUJHB017480
OG0002589	ADIR001825	CQUJHB007419, CQUJHB017663
OG0002590	ADIR000532	CQUJHB007825
OG0002591	ADIR016026	CQUJHB016206
OG0002593	ADIR010952	CQUJHB012538
OG0002594	ADIR005318	CQUJHB010227, CQUJHB001162
OG0002595	ADIR006351	CQUJHB000364
OG0002596	ADIR010156	CQUJHB003929
OG0002597	ADIR010155	CQUJHB002609
OG0002598	ADIR005563	CQUJHB005715
OG0002599	ADIR015998	CQUJHB014079
OG0002600	ADIR015999	CQUJHB014170
OG0002601	ADIR004743	CQUJHB005109
OG0002602	ADIR007469	CQUJHB013121
OG0002603	ADIR005531	CQUJHB007242
OG0002604	ADIR006342	CQUJHB011962
OG0002605	ADIR011463	CQUJHB005007
OG0002606	ADIR011462	CQUJHB009873
OG0002607	ADIR005156	CQUJHB004753
OG0002608	ADIR003102	CQUJHB014707
OG0002609	ADIR004475	CQUJHB009964
OG0002610	ADIR003118	CQUJHB012314
OG0002611	ADIR009239	CQUJHB006484
OG0002612	ADIR008609	CQUJHB007541, CQUJHB014776
OG0002613	ADIR004408	CQUJHB017552
OG0002614	ADIR004542	CQUJHB009165
OG0002615	ADIR004544	CQUJHB013323
OG0002616	ADIR004541	CQUJHB004053
OG0002617	ADIR004543	CQUJHB014044
OG0002618	ADIR004093, ADIR004092	CQUJHB016262
