Orthogroup	AdirusWRAIR2	AgambiaePEST
OG0001390	ADIR003347	AGAP003943
OG0001391	ADIR001147	AGAP000258
OG0001392	ADIR003665	AGAP006721
OG0001393	ADIR000606	AGAP008286
OG0001394	ADIR003257	AGAP003965
OG0001395	ADIR010449	AGAP028469
OG0001396	ADIR003866, ADIR003867	AGAP005096
OG0001397	ADIR008394	AGAP029112
OG0001398	ADIR005974	AGAP029897
OG0001399	ADIR008311	AGAP029198, AGAP003459
OG0001400	ADIR015900, ADIR015901	AGAP007543
OG0001401	ADIR005238	AGAP028616
OG0001402	ADIR016045	AGAP008202
OG0001403	ADIR001793, ADIR001791	AGAP011177
OG0001404	ADIR014138, ADIR011685, ADIR009320, ADIR009303	AGAP011534
OG0001405	ADIR005556	AGAP012668
OG0001405	ADIR005555	AGAP029586
OG0001406	ADIR007744	AGAP007076
OG0001408	ADIR008951	AGAP002226
OG0001409	ADIR004172	AGAP006235
OG0001410	ADIR001845	AGAP029516
OG0001411	ADIR004249	AGAP006923
OG0001412	ADIR001452, ADIR000500	AGAP012340
OG0001413	ADIR016046	AGAP006436
OG0001414	ADIR005634	AGAP029652
OG0001426	ADIR001292, ADIR001291	AGAP013147
OG0001426	ADIR001293	AGAP000789
OG0001427	ADIR003748, ADIR003749	AGAP005337, AGAP005339
OG0001428	ADIR004348	AGAP008714, AGAP011982
OG0001429	ADIR007829	AGAP005790
OG0001429	ADIR007828	AGAP005791
OG0001430	ADIR008186, ADIR008187, ADIR008190	AGAP007319, AGAP007318, AGAP007320, AGAP007321
OG0001432	ADIR010885	AGAP008562, AGAP008561, AGAP028046, AGAP029079
OG0001433	ADIR011299	AGAP013752
OG0001433	ADIR011298	AGAP008138
OG0001434	ADIR014715	AGAP029912
OG0001444	ADIR004198	AGAP006205
OG0001445	ADIR015519	AGAP003257
OG0001446	ADIR010639	AGAP013231, AGAP012662
OG0001447	ADIR008435	AGAP002476
OG0001448	ADIR002723	AGAP003202, AGAP003201
OG0001449	ADIR011678	AGAP000569
OG0001450	ADIR006906	AGAP005673
OG0001451	ADIR004821	AGAP009639
OG0001452	ADIR006575	AGAP003867
OG0001453	ADIR015806	AGAP001789, AGAP012732
OG0001454	ADIR000567	AGAP012391
OG0001455	ADIR010895	AGAP008570
OG0001456	ADIR005712	AGAP010422
OG0001458	ADIR005163, ADIR005162	AGAP009823
OG0001459	ADIR009685	AGAP012012
OG0001460	ADIR000394	AGAP010573
OG0001462	ADIR009861	AGAP001501
OG0001463	ADIR002755	AGAP002494
OG0001464	ADIR015744	AGAP005178
OG0001465	ADIR000765	AGAP007839
OG0001466	ADIR000651	AGAP008931
OG0001467	ADIR006313	AGAP009075
OG0001468	ADIR006100	AGAP009399, AGAP009400
OG0001469	ADIR009944	AGAP001298
OG0001470	ADIR006230	AGAP009137
OG0001471	ADIR008865	AGAP005886
OG0001472	ADIR007997	AGAP006169
OG0001473	ADIR009102	AGAP010616, AGAP012469
OG0001474	ADIR004011	AGAP010165
OG0001475	ADIR006785	AGAP008879
OG0001476	ADIR004951	AGAP009036
OG0001477	ADIR000184	AGAP011553
OG0001478	ADIR007151	AGAP007617
OG0001479	ADIR007160	AGAP007609, AGAP007610
OG0001480	ADIR011228	AGAP008063
OG0001481	ADIR003884	AGAP006118
OG0001482	ADIR003885	AGAP006117
OG0001483	ADIR003868, ADIR003869	AGAP005099
OG0001484	ADIR003859	AGAP005311
OG0001486	ADIR016204, ADIR016203	AGAP006025
OG0001487	ADIR015607	AGAP007061
OG0001487	ADIR015605	AGAP007060
OG0001488	ADIR015950, ADIR015951	AGAP005059, AGAP012612, AGAP005060
OG0001489	ADIR004969	AGAP009021
OG0001490	ADIR006233	AGAP009140
OG0001491	ADIR000308	AGAP011520
OG0001492	ADIR011051, ADIR011054	AGAP008035
OG0001493	ADIR011061	AGAP013736
OG0001494	ADIR011227	AGAP008062
OG0001495	ADIR004619	AGAP000739
OG0001496	ADIR006895	AGAP005654
OG0001497	ADIR006891	AGAP005650
OG0001498	ADIR001470, ADIR010642	AGAP000120
OG0001499	ADIR010812	AGAP029969, AGAP001031
OG0001500	ADIR009525	AGAP012224
OG0001500	ADIR002375	AGAP001032
OG0001501	ADIR002872	AGAP001416
OG0001502	ADIR005157	AGAP009816
OG0001503	ADIR008291	AGAP012744, AGAP003429
OG0001504	ADIR001749, ADIR001085	AGAP000780
OG0001505	ADIR000887	AGAP001065
OG0001506	ADIR008558, ADIR004340, ADIR001328	AGAP000022
OG0001507	ADIR016126	AGAP011782
OG0001508	ADIR000478	AGAP012316
OG0001509	ADIR004937	AGAP008736
OG0001510	ADIR007047	AGAP007705
OG0001511	ADIR000341	AGAP011391, AGAP011389, AGAP011390
OG0001512	ADIR009576	AGAP028519
OG0001513	ADIR010423, ADIR010425	AGAP029568
OG0001514	ADIR004364	AGAP011985
OG0001515	ADIR001488	AGAP000018
OG0001516	ADIR000822	AGAP013158
OG0001517	ADIR007909	AGAP005747
OG0001518	ADIR002115	AGAP011357
OG0001519	ADIR010432	AGAP001671
OG0001521	ADIR008314	AGAP003462
OG0001522	ADIR002940	AGAP012802, AGAP004109
OG0001523	ADIR011300	AGAP008143
OG0001524	ADIR003085	AGAP001940
OG0001525	ADIR000525	AGAP012364
OG0001526	ADIR007426	AGAP029903
OG0001527	ADIR011390	AGAP008846
OG0001528	ADIR011388	AGAP008843
OG0001529	ADIR008495, ADIR008496	AGAP003572
OG0001530	ADIR001108	AGAP000178
OG0001532	ADIR002473	AGAP001381
OG0001533	ADIR005448	AGAP004395
OG0001534	ADIR010817	AGAP010751
OG0001535	ADIR010800	AGAP011293
OG0001536	ADIR010808	AGAP011284
OG0001537	ADIR016104	AGAP029469
OG0001538	ADIR002827	AGAP003219
OG0001539	ADIR001787	AGAP011172
OG0001540	ADIR002286	AGAP011045
OG0001541	ADIR002484	AGAP001954
OG0001542	ADIR001002	AGAP000108
OG0001543	ADIR000818	AGAP000159
OG0001544	ADIR011002	AGAP007981
OG0001545	ADIR010999	AGAP013732
OG0001546	ADIR001813	AGAP011655
OG0001547	ADIR000380	AGAP010554
OG0001548	ADIR000379	AGAP010553
OG0001549	ADIR002725	AGAP012856, AGAP029379, AGAP013035
OG0001550	ADIR009121	AGAP004720
OG0001551	ADIR006085	AGAP009428
OG0001552	ADIR004345	AGAP011535
OG0001553	ADIR003706	AGAP005381
OG0001554	ADIR011653	AGAP013495
OG0001555	ADIR009283	AGAP010094, AGAP013723
OG0001556	ADIR011108, ADIR011107	AGAP008348
OG0001557	ADIR003014	AGAP012694, AGAP002081
OG0001558	ADIR003013, ADIR003012	AGAP002082
OG0001559	ADIR015717	AGAP010517
OG0001560	ADIR009682	AGAP029443
OG0001561	ADIR005687	AGAP010463
OG0001563	ADIR009083, ADIR014787	AGAP004649
OG0001564	ADIR007138, ADIR007139	AGAP007627
OG0001565	ADIR005348, ADIR005349	AGAP003672
OG0001566	ADIR007440	AGAP006376
OG0001567	ADIR004613	AGAP000204
OG0001569	ADIR005390	AGAP004329, AGAP004330
OG0001570	ADIR005384	AGAP003717, AGAP003716
OG0001571	ADIR004692	AGAP008706
OG0001572	ADIR001325	AGAP000552
OG0001573	ADIR009480	AGAP010676
OG0001574	ADIR010106	AGAP001113
OG0001575	ADIR001020	AGAP000894
OG0001576	ADIR001161	AGAP000403
OG0001577	ADIR006827	AGAP008647
OG0001578	ADIR005862	AGAP004624
OG0001579	ADIR010304	AGAP002558
OG0001580	ADIR005365	AGAP003692
OG0001581	ADIR011710	AGAP028434
OG0001582	ADIR004115	AGAP004672
OG0001583	ADIR011711	AGAP004695
OG0001584	ADIR002058	AGAP012191
OG0001585	ADIR005592	AGAP010380
OG0001586	ADIR010571	AGAP003132
OG0001587	ADIR003431	AGAP002891
OG0001588	ADIR003435, ADIR003436	AGAP002888
OG0001589	ADIR000292	AGAP011508
OG0001590	ADIR011260	AGAP008098
OG0001591	ADIR000519	AGAP012357
OG0001592	ADIR001727	AGAP010920, AGAP012418
OG0001593	ADIR010395	AGAP001697
OG0001594	ADIR010394	AGAP001699
OG0001595	ADIR002543	AGAP003755
OG0001596	ADIR008141	AGAP029185
OG0001597	ADIR002020	AGAP011025
OG0001598	ADIR002009, ADIR002012	AGAP010985
OG0001599	ADIR002006	AGAP011964
OG0001600	ADIR001072	AGAP000242
OG0001601	ADIR000334	AGAP012900, AGAP012577, AGAP010645
OG0001602	ADIR004477	AGAP001471
OG0001603	ADIR011203	AGAP009280
OG0001604	ADIR008125	AGAP006039
OG0001605	ADIR008806	AGAP005431
OG0001606	ADIR010010	AGAP001217
OG0001607	ADIR001965	AGAP011904
OG0001608	ADIR001962	AGAP011907
OG0001609	ADIR001963	AGAP011906
OG0001610	ADIR008093	AGAP006344
OG0001611	ADIR004156	AGAP005412
OG0001612	ADIR009646	AGAP029645
OG0001613	ADIR009638	AGAP011736
OG0001614	ADIR001814	AGAP011659
OG0001615	ADIR010331	AGAP002533
OG0001616	ADIR009673	AGAP028108, AGAP028157
OG0001617	ADIR008276	AGAP003410
OG0001618	ADIR010321	AGAP002543
OG0001619	ADIR006847	AGAP008666
OG0001620	ADIR006855	AGAP008674
OG0001621	ADIR005959	AGAP007871
OG0001622	ADIR000229	AGAP011444, AGAP012608
OG0001623	ADIR002583	AGAP002340
OG0001624	ADIR006279	AGAP009183
OG0001625	ADIR009855, ADIR004503	AGAP001495
OG0001626	ADIR004723	AGAP009053
OG0001628	ADIR007804	AGAP005810, AGAP005811
OG0001630	ADIR001215	AGAP011656, AGAP011657, AGAP000355
OG0001631	ADIR004561	AGAP002392
OG0001632	ADIR015668	AGAP005010
OG0001633	ADIR004897	AGAP008771, AGAP012796
OG0001634	ADIR006023	AGAP009506
OG0001635	ADIR002562	AGAP013455
OG0001636	ADIR002560	AGAP003739
OG0001637	ADIR009721	AGAP008862
OG0001638	ADIR005977	AGAP009549
OG0001639	ADIR015882	AGAP009188
OG0001640	ADIR011206	AGAP009284
OG0001641	ADIR007314	AGAP007361
OG0001642	ADIR007293	AGAP007379
OG0001643	ADIR008405	AGAP003305
OG0001644	ADIR010562	AGAP001340
OG0001645	ADIR005317	AGAP002011
OG0001647	ADIR003041	AGAP001886
OG0001648	ADIR003060	AGAP012906, AGAP001911
OG0001649	ADIR008229	AGAP007264
OG0001650	ADIR001468	AGAP000809
OG0001651	ADIR001466	AGAP008539, AGAP000291
OG0001652	ADIR006670	AGAP002307
OG0001653	ADIR006690, ADIR006687	AGAP002323
OG0001654	ADIR011635	AGAP000660
OG0001655	ADIR000770	AGAP010670
OG0001656	ADIR011248	AGAP008087
OG0001657	ADIR011123	AGAP008360
OG0001658	ADIR003215	AGAP004011
OG0001659	ADIR009651	AGAP012045
OG0001660	ADIR002426	AGAP002039, AGAP012803
OG0001661	ADIR006856	AGAP029610
OG0001662	ADIR010988	AGAP007967
OG0001663	ADIR014799	AGAP012804, AGAP004759
OG0001664	ADIR001135	AGAP000324
OG0001665	ADIR002090	AGAP011383
OG0001666	ADIR000802	AGAP000328
OG0001667	ADIR001027	AGAP000634
OG0001668	ADIR003407	AGAP003875
OG0001669	ADIR006865	AGAP005624
OG0001670	ADIR000433	AGAP029622
OG0001671	ADIR010938	AGAP007771
OG0001672	ADIR007052	AGAP007700
OG0001673	ADIR006649	AGAP002287
OG0001674	ADIR007965	AGAP007201
OG0001675	ADIR007966	AGAP007202
OG0001676	ADIR009175	AGAP004780
OG0001677	ADIR009889	AGAP001537
OG0001678	ADIR002374	AGAP001030
OG0001679	ADIR001172	AGAP029239
OG0001680	ADIR006597	AGAP002954
OG0001681	ADIR002123	AGAP011350
OG0001682	ADIR005050	AGAP009002
OG0001683	ADIR004442	AGAP004532
OG0001684	ADIR004441	AGAP004533
OG0001685	ADIR004574	AGAP004306
OG0001686	ADIR008918	AGAP029562
OG0001687	ADIR005594	AGAP010377
OG0001688	ADIR009735	AGAP010370
OG0001689	ADIR001139	AGAP013021
OG0001690	ADIR001176	AGAP000425
OG0001691	ADIR010032	AGAP001197
OG0001692	ADIR002311	AGAP000901
OG0001693	ADIR009478	AGAP010675
OG0001694	ADIR009079, ADIR009080	AGAP004646
OG0001695	ADIR002927	AGAP004097
OG0001696	ADIR008991	AGAP002181
OG0001697	ADIR014151	AGAP012779, AGAP012902, AGAP004964
OG0001698	ADIR002823	AGAP003224, AGAP012820
OG0001699	ADIR011358	AGAP008814
OG0001701	ADIR011278	AGAP008117
OG0001702	ADIR008553	AGAP029772
OG0001704	ADIR010761	AGAP029632
OG0001705	ADIR004381	AGAP012001
OG0001706	ADIR004384	AGAP012004
OG0001707	ADIR004180, ADIR015849, ADIR015851	AGAP006222, AGAP006223
OG0001708	ADIR004177	AGAP006227
OG0001709	ADIR015593	AGAP013023, AGAP012972
OG0001710	ADIR011581	AGAP010794
OG0001711	ADIR011673	AGAP012471, AGAP000575
OG0001712	ADIR000920	AGAP000967
OG0001713	ADIR006870	AGAP005629
OG0001714	ADIR005085	AGAP009737
OG0001715	ADIR005602	AGAP028433
OG0001716	ADIR011484	AGAP029791, AGAP009586
OG0001717	ADIR011487, ADIR011488	AGAP009583
OG0001718	ADIR002625	AGAP003595
OG0001719	ADIR015742	AGAP005176
OG0001720	ADIR005487	AGAP012809, AGAP004266
OG0001721	ADIR002636	AGAP002929
OG0001722	ADIR003382	AGAP012705, AGAP003900
OG0001723	ADIR003384	AGAP003898
OG0001724	ADIR008710	AGAP005531
OG0001725	ADIR008021	AGAP007138
OG0001726	ADIR003882	AGAP006120
OG0001727	ADIR004632	AGAP006572, AGAP000118
OG0001728	ADIR001827	AGAP011677
OG0001729	ADIR008535	AGAP007859, AGAP007856
OG0001730	ADIR009794, ADIR009795	AGAP029989
OG0001731	ADIR007718	AGAP006279
OG0001732	ADIR009157	AGAP004757
OG0001733	ADIR009156	AGAP004754
OG0001734	ADIR005577	AGAP002268
OG0001736	ADIR008316	AGAP003464
OG0001737	ADIR009751	AGAP010351
OG0001738	ADIR001387	AGAP000463
OG0001739	ADIR005213	AGAP000948
OG0001740	ADIR006957	AGAP028399
OG0001741	ADIR010312	AGAP002552
OG0001742	ADIR003927	AGAP000284
OG0001743	ADIR011384	AGAP008838
OG0001744	ADIR015525	AGAP008835
OG0001745	ADIR011382	AGAP008836
OG0001746	ADIR015526	AGAP008834
OG0001747	ADIR009227	AGAP004882, AGAP012660
OG0001748	ADIR006656	AGAP002295
OG0001749	ADIR003781	AGAP005125
OG0001750	ADIR001286, ADIR001287	AGAP000646
OG0001751	ADIR010777	AGAP011819
OG0001752	ADIR010445	AGAP001652
OG0001753	ADIR009617	AGAP011717
OG0001754	ADIR002346	AGAP011847
OG0001755	ADIR004804	AGAP009650
OG0001756	ADIR016047	AGAP006328
OG0001757	ADIR002363	AGAP001653
OG0001758	ADIR000672	AGAP008916
OG0001759	ADIR000675	AGAP008914
OG0001760	ADIR004609	AGAP000670
OG0001762	ADIR000796	AGAP029815
OG0001763	ADIR007031	AGAP007722
OG0001764	ADIR007526	AGAP006665
OG0001765	ADIR007531	AGAP006669
OG0001766	ADIR005785	AGAP002508
OG0001768	ADIR004246	AGAP006925
OG0001769	ADIR002880	AGAP001421
OG0001771	ADIR004977	AGAP009680
OG0001772	ADIR004980	AGAP009009
OG0001773	ADIR002715	AGAP001819
OG0001774	ADIR006416	AGAP001810
OG0001775	ADIR006167	AGAP008412
OG0001776	ADIR007431	AGAP006384
OG0001777	ADIR004859	AGAP008511
OG0001778	ADIR015496, ADIR006631	AGAP013121
OG0001779	ADIR010780	AGAP011817
OG0001780	ADIR010781	AGAP011816
OG0001781	ADIR005301	AGAP001584
OG0001782	ADIR003096	AGAP003030
OG0001783	ADIR006736	AGAP004504
OG0001784	ADIR007739	AGAP007082
OG0001786	ADIR010960	AGAP029704
OG0001787	ADIR001236	AGAP000338
OG0001788	ADIR004146	AGAP007210
OG0001789	ADIR004147	AGAP007209
OG0001790	ADIR001802, ADIR001295	AGAP000791
OG0001791	ADIR009902	AGAP002760
OG0001792	ADIR003819	AGAP005789, AGAP005864
OG0001793	ADIR003805	AGAP007001
OG0001794	ADIR003806	AGAP007002
OG0001795	ADIR001494	AGAP000840
OG0001796	ADIR016051	AGAP006045
OG0001797	ADIR007410	AGAP006408
OG0001798	ADIR010510	AGAP001586
OG0001799	ADIR006465	AGAP002094
OG0001800	ADIR004863	AGAP008515
OG0001801	ADIR007300	AGAP007374
OG0001802	ADIR005869	AGAP004631
OG0001803	ADIR000935	AGAP000699
OG0001804	ADIR011312	AGAP008155
OG0001805	ADIR006461	AGAP002090
OG0001806	ADIR016158	AGAP006063
OG0001807	ADIR011423, ADIR011422	AGAP008944
OG0001808	ADIR009821	AGAP005243
OG0001809	ADIR005171	AGAP009832
OG0001810	ADIR005180	AGAP009844
OG0001811	ADIR002536	AGAP003766
OG0001812	ADIR006559, ADIR000843	AGAP000618
OG0001813	ADIR004152	AGAP007205
OG0001814	ADIR004153	AGAP007204
OG0001815	ADIR004964	AGAP009025
OG0001816	ADIR007852, ADIR004479	AGAP007032
OG0001817	ADIR015888	AGAP029480
OG0001818	ADIR003700	AGAP005700
OG0001819	ADIR003946	AGAP000389
OG0001820	ADIR007027, ADIR007026	AGAP007724
OG0001821	ADIR007655, ADIR007656	AGAP006460
OG0001822	ADIR006265	AGAP029455
OG0001823	ADIR007204	AGAP007510
OG0001824	ADIR009340	AGAP010040, AGAP012657
OG0001825	ADIR000790	AGAP000507
OG0001826	ADIR015559, ADIR015558	AGAP009857
OG0001828	ADIR010934	AGAP007775
OG0001829	ADIR004343	AGAP029752, AGAP029751
OG0001830	ADIR008660	AGAP005064
OG0001831	ADIR000988, ADIR000989	AGAP000029
OG0001832	ADIR002356	AGAP011859
OG0001833	ADIR010845	AGAP008807, AGAP008810
OG0001834	ADIR009810, ADIR009809	AGAP029579
OG0001835	ADIR004410, ADIR004409	AGAP004572
OG0001836	ADIR005062	AGAP009708
OG0001837	ADIR006739	AGAP004507
OG0001838	ADIR002044, ADIR002046	AGAP012123
OG0001839	ADIR006131, ADIR006130	AGAP029911
OG0001840	ADIR011540, ADIR003133	AGAP000835, AGAP004972, AGAP004973
OG0001841	ADIR008203	AGAP012771, AGAP007305
OG0001842	ADIR000507	AGAP028640, AGAP012729
OG0001843	ADIR010406, ADIR010405	AGAP001690
OG0001844	ADIR009848	AGAP012693
OG0001844	ADIR009468	AGAP029564
OG0001845	ADIR015691	AGAP029052
OG0001846	ADIR000080	AGAP029630
OG0001847	ADIR009777	AGAP028004
OG0001848	ADIR001138, ADIR006420	AGAP013441
OG0001849	ADIR001751	AGAP011134
OG0001850	ADIR003167	AGAP029570
OG0001851	ADIR009883	AGAP029498
OG0001852	ADIR001763, ADIR001764	AGAP011143
OG0001853	ADIR015714	AGAP010646, AGAP012576
OG0001854	ADIR010789	AGAP011811
OG0001855	ADIR003559	AGAP029584
OG0001856	ADIR003968, ADIR003969	AGAP010201
OG0001857	ADIR003141	AGAP002986
OG0001858	ADIR007219	AGAP013547, AGAP007493
OG0001859	ADIR010455	AGAP001645
OG0001860	ADIR003381	AGAP003901
OG0001861	ADIR007161	AGAP007608
OG0001862	ADIR005300	AGAP001583
OG0001863	ADIR009218, ADIR009220	AGAP004892
OG0001864	ADIR011493	AGAP009577
OG0001865	ADIR001317	AGAP000577
OG0001867	ADIR011076	AGAP008318
OG0001868	ADIR004552, ADIR004551	AGAP002382
OG0001869	ADIR005735	AGAP010442
OG0001870	ADIR010723	AGAP013204
OG0001871	ADIR003838	AGAP005150
OG0001872	ADIR008442	AGAP002469
OG0001873	ADIR010311	AGAP002553
OG0001874	ADIR010713	AGAP003355
OG0001875	ADIR008777	AGAP005465
OG0001876	ADIR006683	AGAP002315
OG0001877	ADIR015705	AGAP004446, AGAP004447
OG0001878	ADIR011224	AGAP029127
OG0001879	ADIR000190	AGAP011547
OG0001880	ADIR006387	AGAP002431
OG0001881	ADIR004395	AGAP006994
OG0001883	ADIR000879, ADIR008834	AGAP006089
OG0001884	ADIR004729	AGAP009060
OG0001885	ADIR002574	AGAP003727
OG0001886	ADIR000884	AGAP001083
OG0001887	ADIR001381	AGAP012187, AGAP000471
OG0001889	ADIR003948, ADIR003950	AGAP029657
OG0001890	ADIR009666	AGAP028133, AGAP028598
OG0001891	ADIR005043	AGAP008996
OG0001892	ADIR009077	AGAP013157
OG0001893	ADIR002005	AGAP011965
OG0001894	ADIR001349	AGAP000626
OG0001895	ADIR008239	AGAP007250
OG0001896	ADIR004736	AGAP009890
OG0001897	ADIR001264	AGAP000236
OG0001898	ADIR000959	AGAP000537
OG0001899	ADIR000605	AGAP008285
OG0001901	ADIR000721	AGAP007792
OG0001902	ADIR002907	AGAP004310
OG0001905	ADIR009690	AGAP001064
OG0001906	ADIR005354	AGAP003678
OG0001907	ADIR009619, ADIR009620	AGAP011720
OG0001908	ADIR010310	AGAP002554
OG0001909	ADIR011251	AGAP008090
OG0001910	ADIR009743, ADIR009742	AGAP010359
OG0001912	ADIR002226	AGAP011746
OG0001913	ADIR011669	AGAP000620
OG0001914	ADIR008620	AGAP005030
OG0001915	ADIR003323	AGAP003118
OG0001916	ADIR003539	AGAP013266
OG0001917	ADIR010533	AGAP001974
OG0001918	ADIR001340	AGAP000850
OG0001919	ADIR006898	AGAP005658
OG0001920	ADIR002718	AGAP001814
OG0001921	ADIR002796	AGAP003258
OG0001922	ADIR007437	AGAP006377
OG0001923	ADIR008022	AGAP007137
OG0001924	ADIR004794	AGAP009950
OG0001925	ADIR001330	AGAP000023
OG0001926	ADIR004600	AGAP013491, AGAP000629
OG0001927	ADIR008597	AGAP006973, AGAP006972
OG0001928	ADIR008075	AGAP007089
OG0001929	ADIR011668, ADIR011667, ADIR011752	AGAP000619
OG0001930	ADIR006887	AGAP005647
OG0001931	ADIR005212	AGAP000949
OG0001933	ADIR008917	AGAP002256
OG0001934	ADIR008799	AGAP005438
OG0001935	ADIR004670	AGAP008692
OG0001937	ADIR007321, ADIR007320	AGAP007349
OG0001938	ADIR009556	AGAP012255
OG0001939	ADIR009999	AGAP001231
OG0001941	ADIR001354	AGAP000334
OG0001942	ADIR015677	AGAP005165
OG0001943	ADIR010369	AGAP001726
OG0001944	ADIR010788	AGAP011812
OG0001945	ADIR002380	AGAP013210
OG0001946	ADIR009989, ADIR011656	AGAP000932
OG0001947	ADIR005933	AGAP007892
OG0001948	ADIR001111	AGAP028653
OG0001949	ADIR006014	AGAP009514
OG0001950	ADIR006962, ADIR006963	AGAP006260
OG0001951	ADIR006105	AGAP012764, AGAP009389
OG0001952	ADIR008015	AGAP006151
OG0001953	ADIR006890	AGAP029520
OG0001954	ADIR003809, ADIR003810	AGAP007005
OG0001955	ADIR009700	AGAP013739, AGAP013762
OG0001956	ADIR000846	AGAP000430
OG0001957	ADIR006911	AGAP005680
OG0001958	ADIR001005	AGAP011170
OG0001959	ADIR008941	AGAP029626
OG0001960	ADIR005313	AGAP002006
OG0001961	ADIR006030	AGAP009497
OG0001962	ADIR004077, ADIR004078	AGAP010265
OG0001963	ADIR011496	AGAP012921, AGAP009575
OG0001964	ADIR007696	AGAP006415
OG0001965	ADIR002199	AGAP011779
OG0001966	ADIR010742	AGAP002803
OG0001968	ADIR009169	AGAP004774
OG0001969	ADIR007937	AGAP007155
OG0001970	ADIR006593	AGAP002949
OG0001971	ADIR002099	AGAP011375
OG0001972	ADIR009182	AGAP004784
OG0001974	ADIR001226	AGAP013397
OG0001975	ADIR007393	AGAP029549
OG0001976	ADIR010396	AGAP001696
OG0001977	ADIR001519	AGAP000185
OG0001978	ADIR011175	AGAP008247, AGAP012476
OG0001979	ADIR003410	AGAP003872
OG0001980	ADIR003936	AGAP012953, AGAP000275
OG0001981	ADIR010600	AGAP029553
OG0001982	ADIR003949	AGAP000385
OG0001983	ADIR004189, ADIR001406	AGAP009064, AGAP000441
OG0001984	ADIR002169	AGAP011303, AGAP011305
OG0001986	ADIR007910	AGAP005745, AGAP005746
OG0001988	ADIR005677	AGAP028078
OG0001988	ADIR005678	AGAP028062
OG0001997	ADIR001142	AGAP000935
OG0001998	ADIR003932	AGAP029390
OG0001998	ADIR003929	AGAP000281
OG0002000	ADIR000420	AGAP010602, AGAP010604
OG0002008	ADIR008983	AGAP013151
OG0002009	ADIR004520	AGAP010968
OG0002010	ADIR004637	AGAP013373
OG0002011	ADIR005361	AGAP013425
OG0002012	ADIR005846	AGAP029252
OG0002013	ADIR006198	AGAP009111
OG0002013	ADIR015563	AGAP009390
OG0002014	ADIR007457	AGAP006007, AGAP006008
OG0002016	ADIR009487	AGAP029868
OG0002027	ADIR010703	AGAP003346, AGAP012877
OG0002028	ADIR002646	AGAP002921
OG0002029	ADIR016013	AGAP002919
OG0002030	ADIR002665	AGAP013354
OG0002031	ADIR004200	AGAP006662
OG0002032	ADIR010613	AGAP004459
OG0002033	ADIR009911	AGAP028610
OG0002034	ADIR010637	AGAP012746, AGAP003514
OG0002035	ADIR008433	AGAP003331
OG0002036	ADIR002724	AGAP012981, AGAP003200
OG0002037	ADIR009116	AGAP004727
OG0002038	ADIR010123	AGAP001099
OG0002039	ADIR005740	AGAP010449, AGAP010447
OG0002040	ADIR010121	AGAP013094
OG0002041	ADIR003903	AGAP012481
OG0002042	ADIR005750	AGAP010458
OG0002043	ADIR009807	AGAP005228
OG0002044	ADIR000975	AGAP000069
OG0002045	ADIR001210	AGAP000360
OG0002046	ADIR009486	AGAP010681
OG0002047	ADIR007533	AGAP006671
OG0002048	ADIR000048	AGAP012853, AGAP012137
OG0002049	ADIR009494	AGAP028154
OG0002050	ADIR007560	AGAP006571
OG0002051	ADIR005803	AGAP002138
OG0002052	ADIR010765	AGAP011085
OG0002053	ADIR007557	AGAP006574
OG0002054	ADIR000537	AGAP012403
OG0002055	ADIR010679	AGAP000244, AGAP003550
OG0002056	ADIR006577	AGAP013233
OG0002057	ADIR010674	AGAP003548
OG0002058	ADIR006455	AGAP002085
OG0002059	ADIR008365	AGAP004434
OG0002060	ADIR010673	AGAP003547
OG0002061	ADIR006456	AGAP013167
OG0002062	ADIR015513	AGAP002725
OG0002063	ADIR002815	AGAP003232
OG0002064	ADIR001818	AGAP028415
OG0002065	ADIR002153	AGAP011319
OG0002066	ADIR002146	AGAP011324
OG0002067	ADIR010490	AGAP012751, AGAP001609
OG0002068	ADIR010495	AGAP001603
OG0002069	ADIR005080	AGAP009733
OG0002070	ADIR004363	AGAP011984
OG0002072	ADIR005433	AGAP004371, AGAP012860
OG0002073	ADIR016208	AGAP006657
OG0002074	ADIR008164	AGAP006658
OG0002075	ADIR008162	AGAP006660
OG0002076	ADIR016207	AGAP006659
OG0002077	ADIR002355	AGAP011858
OG0002078	ADIR010262	AGAP002603
OG0002079	ADIR010264	AGAP002601
OG0002080	ADIR010263	AGAP013296
OG0002081	ADIR016129	AGAP011762
OG0002082	ADIR005638	AGAP010928
OG0002083	ADIR000528	AGAP012368
OG0002084	ADIR005560	AGAP004292
OG0002085	ADIR007900	AGAP005761
OG0002086	ADIR001971	AGAP011900
OG0002087	ADIR000409	AGAP010595
OG0002088	ADIR000384	AGAP010558
OG0002089	ADIR000392	AGAP010572
OG0002090	ADIR000426	AGAP010613, AGAP010612
OG0002091	ADIR007899	AGAP005762
OG0002092	ADIR001969	AGAP011897
OG0002093	ADIR005161	AGAP009822
OG0002094	ADIR009678	AGAP028580, AGAP012019
OG0002095	ADIR008396	AGAP003294
OG0002096	ADIR007815, ADIR007814	AGAP005803
OG0002097	ADIR007818	AGAP005800
OG0002098	ADIR005329	AGAP002021
OG0002099	ADIR008981	AGAP002193
OG0002100	ADIR003121	AGAP003003
OG0002101	ADIR010177	AGAP002672
OG0002102	ADIR006581	AGAP029803
OG0002103	ADIR004603	AGAP000631
OG0002104	ADIR009552	AGAP012251
