Orthogroup	AstephensiUCISS2018	Aalbopictus_AalbF5
OG0000452	ASTEI20_032646	LOC109622640, LOC109419264
OG0000453	ASTEI20_038848	LOC109413132
OG0000454	ASTEI20_040653	LOC109406531, LOC109429681
OG0000455	ASTEI20_043217	LOC109423314
OG0000455	ASTEI20_034510	LOC115253807
OG0000456	ASTEI20_042221	LOC109415681
OG0000456	ASTEI20_044668	LOC109418348
OG0000457	ASTEI20_036516	LOC109398361
OG0000457	ASTEI20_039941	LOC109398558
OG0000458	ASTEI20_041659, ASTEI20_046062, ASTEI20_030965	LOC109431816
OG0000459	ASTEI20_038648	LOC134284121, LOC134284123, LOC134290263, LOC134284117, LOC134284118, LOC134284124
OG0000460	ASTEI20_036157	LOC115268722
OG0000461	ASTEI20_045433	LOC109422876
OG0000461	ASTEI20_035860	LOC109433652
OG0000462	ASTEI20_036809	LOC115264747
OG0000462	ASTEI20_037502, ASTEI20_042379	LOC109403759
OG0000463	ASTEI20_035779, ASTEI20_044901, ASTEI20_041629, ASTEI20_036724, ASTEI20_033904, ASTEI20_041237, ASTEI20_031922, ASTEI20_042539, ASTEI20_034696, ASTEI20_032344, ASTEI20_035753, ASTEI20_043136, ASTEI20_039325, ASTEI20_032742	LOC115260592
OG0000464	ASTEI20_044688, ASTEI20_036234	LOC115265356
OG0000464	ASTEI20_040750	LOC115265355
OG0000465	ASTEI20_041528, ASTEI20_034169	LOC109424835
OG0000466	ASTEI20_038266, ASTEI20_039358, ASTEI20_045228	LOC109433657
OG0000477	ASTEI20_034459	LOC109621595
OG0000477	ASTEI20_031328	LOC109400142, LOC109400026
OG0000478	ASTEI20_042435	LOC115265005
OG0000478	ASTEI20_043336	LOC115264937
OG0000479	ASTEI20_036926, ASTEI20_033540	LOC115268723, LOC109428027
OG0000480	ASTEI20_044004, ASTEI20_033719, ASTEI20_043012	LOC109426513
OG0000481	ASTEI20_038127	LOC109407398
OG0000482	ASTEI20_040294	LOC109429643
OG0000482	ASTEI20_035220	LOC109429642
OG0000483	ASTEI20_046009	LOC109419070, LOC134286400
OG0000484	ASTEI20_039134	LOC109425082
OG0000484	ASTEI20_032451	LOC109419028
OG0000485	ASTEI20_037768	LOC109621341
OG0000485	ASTEI20_041653	LOC109621339
OG0000486	ASTEI20_032382	LOC109415196
OG0000486	ASTEI20_042498	LOC109421809
OG0000487	ASTEI20_042028	LOC109621808
OG0000487	ASTEI20_039840	LOC109416114
OG0000488	ASTEI20_038299, ASTEI20_042656	LOC109403460, LOC109403431
OG0000489	ASTEI20_041468	LOC109406904
OG0000489	ASTEI20_042784	LOC109412957
OG0000490	ASTEI20_040243	LOC134289965, LOC134291854
OG0000491	ASTEI20_036635	LOC109416868
OG0000491	ASTEI20_039466	LOC109623095
OG0000492	ASTEI20_035871	LOC109425357
OG0000492	ASTEI20_045934	LOC109418683
OG0000493	ASTEI20_040939, ASTEI20_042234	LOC109402010, LOC109401998
OG0000494	ASTEI20_033870	LOC109400872
OG0000494	ASTEI20_032431	LOC134287907, LOC109623132
OG0000495	ASTEI20_035282	LOC109417730
OG0000495	ASTEI20_032883, ASTEI20_037893	LOC109428206
OG0000497	ASTEI20_045382	LOC115269560
OG0000497	ASTEI20_037285	LOC109420370
OG0000498	ASTEI20_035903	LOC109414799
OG0000498	ASTEI20_041832	LOC109418646
OG0000499	ASTEI20_045587	LOC134288418, LOC109413463
OG0000499	ASTEI20_044209	LOC134285570, LOC109400515
OG0000500	ASTEI20_041628	LOC109431093
OG0000500	ASTEI20_038055	LOC109414630, LOC109424816
OG0000501	ASTEI20_043725	LOC109401537, LOC109412613, LOC109412614
OG0000502	ASTEI20_041728	LOC109421941
OG0000503	ASTEI20_031803	LOC109425029, LOC109425031
OG0000504	ASTEI20_037781	LOC115266033, LOC109424039
OG0000504	ASTEI20_036455	LOC109402353
OG0000505	ASTEI20_045172	LOC109417013, LOC109412849
OG0000506	ASTEI20_040117	LOC115256099, LOC109414068
OG0000506	ASTEI20_033754	LOC115256102
OG0000507	ASTEI20_041414	LOC115256103
OG0000507	ASTEI20_041289	LOC109414072
OG0000508	ASTEI20_043392, ASTEI20_035349, ASTEI20_032410	LOC109422787
OG0000509	ASTEI20_038831	LOC109426589
OG0000509	ASTEI20_035801	LOC109426590, LOC134287360
OG0000510	ASTEI20_033762	LOC109425180
OG0000510	ASTEI20_039972	LOC109425173
OG0000511	ASTEI20_033393, ASTEI20_045020	LOC109425513, LOC109425525
OG0000512	ASTEI20_041881	LOC109415211
OG0000512	ASTEI20_033648	LOC109428382
OG0000514	ASTEI20_036623	LOC109400992
OG0000514	ASTEI20_033991	LOC115255015
OG0000515	ASTEI20_034553	LOC115264138
OG0000515	ASTEI20_034276	LOC109398588
OG0000516	ASTEI20_032940	LOC109410440
OG0000516	ASTEI20_038444	LOC109401458
OG0000517	ASTEI20_040378	LOC109415719
OG0000518	ASTEI20_033369	LOC109423301
OG0000518	ASTEI20_032107	LOC109423253
OG0000519	ASTEI20_040559, ASTEI20_041085	LOC109417624, LOC109426733, LOC109417822, LOC109417827, LOC109426788
OG0000520	ASTEI20_041641	LOC109423887
OG0000520	ASTEI20_032992	LOC109404792
OG0000521	ASTEI20_042416	LOC109418072
OG0000521	ASTEI20_044133	LOC109418321
OG0000522	ASTEI20_038428	LOC115257747
OG0000522	ASTEI20_046044	LOC109420067
OG0000523	ASTEI20_038482	LOC115259474
OG0000524	ASTEI20_042547, ASTEI20_038645	LOC109403198, LOC109402739
OG0000525	ASTEI20_045684	LOC134283917, LOC109418111
OG0000526	ASTEI20_035259	LOC109411927
OG0000526	ASTEI20_040898	LOC109406265
OG0000527	ASTEI20_039423	LOC109423591
OG0000527	ASTEI20_042499	LOC109423594
OG0000528	ASTEI20_045012	LOC115270379
OG0000528	ASTEI20_030881	LOC109403072
OG0000534	ASTEI20_045701	LOC109419079
OG0000534	ASTEI20_033692	LOC109408101, LOC109419033
OG0000535	ASTEI20_040711, ASTEI20_040459	LOC109429794, LOC109398275
OG0000536	ASTEI20_035360	LOC109414815
OG0000536	ASTEI20_041850	LOC109418840
OG0000537	ASTEI20_041709	LOC109412349, LOC109416192, LOC115255562, LOC109419835, LOC109420602
OG0000538	ASTEI20_039788	LOC109430354
OG0000538	ASTEI20_037185	LOC109430325
OG0000539	ASTEI20_039944, ASTEI20_040382	LOC109412473, LOC134286592
OG0000540	ASTEI20_040729	LOC109402659, LOC115268762, LOC134284849, LOC134284856, LOC134284906, LOC109402682
OG0000541	ASTEI20_038990, ASTEI20_039267	LOC134288839, LOC115257877
OG0000542	ASTEI20_039372	LOC109412237
OG0000542	ASTEI20_038527	LOC115253484
OG0000543	ASTEI20_035081, ASTEI20_034836	LOC109427741, LOC115260725
OG0000544	ASTEI20_038237	LOC109429585
OG0000544	ASTEI20_034674	LOC109415777
OG0000545	ASTEI20_036842	LOC134285805, LOC134285800, LOC109403930, LOC109413361, LOC134285799, LOC115264252, LOC134284053, LOC134284062, LOC134284083, LOC115264081, LOC134284078, LOC115264241, LOC134284070, LOC134285794
OG0000546	ASTEI20_044898, ASTEI20_045436	LOC115253915, LOC109423056
OG0000547	ASTEI20_033385	LOC109622788
OG0000547	ASTEI20_043826	LOC109622622
OG0000548	ASTEI20_034641	LOC109427046, LOC109623357, LOC115256573, LOC109424775
OG0000549	ASTEI20_042215, ASTEI20_034707	LOC109427648
OG0000550	ASTEI20_033645	LOC115263103, LOC109416717, LOC115263134, LOC109425632
OG0000551	ASTEI20_038495	LOC109432153
OG0000552	ASTEI20_031270, ASTEI20_035763	LOC115267361, LOC134285723
OG0000553	ASTEI20_039011, ASTEI20_038476, ASTEI20_035372, ASTEI20_043810, ASTEI20_034770, ASTEI20_038525, ASTEI20_030821, ASTEI20_033051	LOC109412894
OG0000554	ASTEI20_042565	LOC109428614, LOC109421685, LOC134290135, LOC109428015
OG0000555	ASTEI20_041597	LOC109416395, LOC109430046, LOC109416372, LOC115263411
OG0000556	ASTEI20_039864, ASTEI20_033691	LOC115264438, LOC115264437
OG0000557	ASTEI20_037722, ASTEI20_043279	LOC109405654
OG0000558	ASTEI20_045893	LOC109419262
OG0000558	ASTEI20_040611	LOC109400382
OG0000559	ASTEI20_044897	LOC109429221
OG0000559	ASTEI20_044255	LOC115261363
OG0000560	ASTEI20_039212	LOC109418122
OG0000560	ASTEI20_034474	LOC109424772
OG0000561	ASTEI20_034083	LOC109431665
OG0000561	ASTEI20_032907	LOC109431683
OG0000562	ASTEI20_037671	LOC109406730
OG0000563	ASTEI20_033376	LOC115264129
OG0000563	ASTEI20_039362	LOC115264141
OG0000564	ASTEI20_036810	LOC109409290
OG0000564	ASTEI20_038563	LOC109419533
OG0000565	ASTEI20_034561, ASTEI20_043978	LOC109422005, LOC115256419
OG0000566	ASTEI20_036931	LOC109410100
OG0000566	ASTEI20_037016	LOC109418615
OG0000567	ASTEI20_044543	LOC109403135
OG0000567	ASTEI20_043215	LOC109414720
OG0000568	ASTEI20_041157, ASTEI20_040815, ASTEI20_042101	LOC115268481, LOC109407918
OG0000569	ASTEI20_042222	LOC109414177
OG0000569	ASTEI20_032603	LOC109414176
OG0000570	ASTEI20_038382, ASTEI20_037872	LOC109425508
OG0000571	ASTEI20_046145	LOC109416085, LOC109402929, LOC109402930
OG0000573	ASTEI20_035427	LOC115256807, LOC109405102
OG0000576	ASTEI20_046026	LOC109424753, LOC109417232, LOC115256780
OG0000576	ASTEI20_035412	LOC134288156
OG0000577	ASTEI20_041713	LOC134284800, LOC134284726, LOC109415289, LOC109623205, LOC109415288
OG0000579	ASTEI20_041978	LOC115253489
OG0000579	ASTEI20_044000	LOC109413755
OG0000581	ASTEI20_032779	LOC115263322
OG0000581	ASTEI20_034834	LOC109416943
OG0000582	ASTEI20_040931, ASTEI20_039818	LOC109621814
OG0000583	ASTEI20_042980, ASTEI20_043115, ASTEI20_041640	LOC134288929, LOC134288931
OG0000584	ASTEI20_038624, ASTEI20_042452	LOC109400174
OG0000585	ASTEI20_041849, ASTEI20_036469	LOC109622485, LOC109420172
OG0000586	ASTEI20_031342, ASTEI20_044118	LOC109412123, LOC109411871, LOC109425546
OG0000588	ASTEI20_033837	LOC109403852
OG0000588	ASTEI20_032937	LOC115268552
OG0000596	ASTEI20_038600	LOC134286870
OG0000596	ASTEI20_045102, ASTEI20_040089	LOC134288570, LOC115257075
OG0000597	ASTEI20_044306, ASTEI20_038784, ASTEI20_043985	LOC115258065, LOC134287690, LOC134288404, LOC134292110, LOC134291917, LOC134285420, LOC134287117, LOC134288313, LOC134287892, LOC134285719, LOC134285235, LOC115268329, LOC134287503
OG0000606	ASTEI20_033665	LOC109415498, LOC109415500, LOC115267668
OG0000607	ASTEI20_042885, ASTEI20_045739	LOC109409115
OG0000607	ASTEI20_034728, ASTEI20_036316	LOC109413555
OG0000608	ASTEI20_031412, ASTEI20_034955	LOC109429916
OG0000609	ASTEI20_035298	LOC109419595
OG0000610	ASTEI20_043727, ASTEI20_041175	LOC109416014
OG0000611	ASTEI20_039290	LOC109622501
OG0000611	ASTEI20_037875	LOC109622498
OG0000612	ASTEI20_031753	LOC115265630
OG0000613	ASTEI20_041847	LOC109429147
OG0000614	ASTEI20_039250	LOC109413458
OG0000615	ASTEI20_039181	LOC109623116
OG0000615	ASTEI20_040540	LOC109623117
OG0000616	ASTEI20_040935, ASTEI20_041180	LOC109409377, LOC109409353, LOC109419551, LOC109409287, LOC109623130
OG0000617	ASTEI20_038857	LOC109409326, LOC109419099
OG0000618	ASTEI20_035924, ASTEI20_031267	LOC109400383
OG0000619	ASTEI20_036799	LOC109425300
OG0000619	ASTEI20_031879	LOC109399851
OG0000620	ASTEI20_041959	LOC109419854, LOC109420716, LOC109419855
OG0000621	ASTEI20_035003	LOC109432285
OG0000621	ASTEI20_044240	LOC109420692
OG0000622	ASTEI20_044291	LOC134290554, LOC109396976
OG0000623	ASTEI20_044444, ASTEI20_039798, ASTEI20_032866	LOC109399668
OG0000624	ASTEI20_045250, ASTEI20_030850	LOC109429096, LOC109429098
OG0000625	ASTEI20_041384	LOC109413737
OG0000626	ASTEI20_040404	LOC134284905, LOC109402692
OG0000626	ASTEI20_033336	LOC134284853, LOC109402667
OG0000627	ASTEI20_043380, ASTEI20_044482	LOC109409926
OG0000628	ASTEI20_046080, ASTEI20_034080, ASTEI20_040507	LOC115260719
OG0000629	ASTEI20_044768, ASTEI20_036712	LOC109431375, LOC109431398
OG0000630	ASTEI20_042898, ASTEI20_043119	LOC109425952, LOC109407629
OG0000631	ASTEI20_042189	LOC115264910
OG0000632	ASTEI20_046127, ASTEI20_036447	LOC115255627, LOC115255639
OG0000633	ASTEI20_032149, ASTEI20_034452	LOC109424971
OG0000634	ASTEI20_034663, ASTEI20_044651	LOC109397138
OG0000635	ASTEI20_033652, ASTEI20_040942	LOC109428007, LOC115268734
OG0000636	ASTEI20_036562	LOC109425681
OG0000636	ASTEI20_041621	LOC109423014
OG0000637	ASTEI20_033096, ASTEI20_034420	LOC109422198
OG0000638	ASTEI20_043693, ASTEI20_032313	LOC109399427, LOC109401200
OG0000639	ASTEI20_041346	LOC115261964
OG0000639	ASTEI20_035907	LOC109423337
OG0000640	ASTEI20_033633	LOC109414369, LOC109415824, LOC115269659, LOC115269658
OG0000641	ASTEI20_036755	LOC109622813
OG0000642	ASTEI20_037257	LOC134285837
OG0000642	ASTEI20_045150	LOC109412847
OG0000643	ASTEI20_034280	LOC109427063, LOC115266489, LOC109427062
OG0000644	ASTEI20_040015	LOC109420412, LOC134292130
OG0000645	ASTEI20_044424	LOC109420201
OG0000645	ASTEI20_038350	LOC109420202
OG0000646	ASTEI20_035725	LOC109622580, LOC109622515, LOC109622581
OG0000647	ASTEI20_041470	LOC109622524
OG0000647	ASTEI20_045698	LOC109622523
OG0000648	ASTEI20_041830, ASTEI20_034191	LOC109419940, LOC109419941
OG0000649	ASTEI20_043999	LOC109412099, LOC115269169
OG0000650	ASTEI20_034631	LOC109424450, LOC115258682
OG0000651	ASTEI20_044038, ASTEI20_041186	LOC109414895
OG0000652	ASTEI20_032794, ASTEI20_041989	LOC109412987
OG0000653	ASTEI20_035696	LOC109407076
OG0000653	ASTEI20_034748	LOC109407178
OG0000654	ASTEI20_042985	LOC109429065
OG0000654	ASTEI20_043626	LOC109399249
OG0000655	ASTEI20_039647	LOC109410041
OG0000655	ASTEI20_031588	LOC109430876
OG0000656	ASTEI20_043798	LOC109419565
OG0000657	ASTEI20_037447	LOC109419528, LOC115258746, LOC109409299
OG0000658	ASTEI20_042425	LOC109402847
OG0000659	ASTEI20_040379	LOC109415972
OG0000659	ASTEI20_035025	LOC109415974
OG0000660	ASTEI20_033087, ASTEI20_034449, ASTEI20_045387, ASTEI20_037943, ASTEI20_043563, ASTEI20_034883, ASTEI20_039637, ASTEI20_042512	LOC109404968
OG0000661	ASTEI20_045619, ASTEI20_043795, ASTEI20_041395	LOC109405382
OG0000662	ASTEI20_036989, ASTEI20_038394	LOC109426928
OG0000663	ASTEI20_043505, ASTEI20_036063	LOC109425363, LOC115262363
OG0000664	ASTEI20_030816	LOC109410571, LOC109417342
OG0000665	ASTEI20_043790	LOC109400176
OG0000665	ASTEI20_040364	LOC109400205
OG0000666	ASTEI20_031715	LOC134285018, LOC109422047
OG0000667	ASTEI20_035731	LOC109401310, LOC109623294
OG0000668	ASTEI20_041617	LOC109428378, LOC109415212
OG0000668	ASTEI20_040675	LOC109428377
OG0000671	ASTEI20_033489, ASTEI20_035422	LOC115267997
OG0000672	ASTEI20_042831	LOC109427628
OG0000674	ASTEI20_040597	LOC115253893
OG0000675	ASTEI20_036005	LOC109418473
OG0000676	ASTEI20_045253	LOC109422703, LOC115264863, LOC115266101
OG0000677	ASTEI20_046051	LOC109421075
OG0000678	ASTEI20_040632, ASTEI20_034866	LOC109426679
OG0000679	ASTEI20_035762, ASTEI20_041118	LOC109414996
OG0000680	ASTEI20_031200	LOC109397657, LOC109432919
OG0000681	ASTEI20_039667	LOC109412528
OG0000682	ASTEI20_037885	LOC109431465
OG0000683	ASTEI20_041410, ASTEI20_044101, ASTEI20_033021	LOC115255007
OG0000684	ASTEI20_042093, ASTEI20_045238	LOC109422124
OG0000685	ASTEI20_032378	LOC134286086
OG0000685	ASTEI20_044585, ASTEI20_036058	LOC134288802, LOC134284548
OG0000686	ASTEI20_045424	LOC109405741
OG0000687	ASTEI20_036644	LOC115263936
OG0000698	ASTEI20_031490	LOC109400851
OG0000699	ASTEI20_045210	LOC115255446
OG0000700	ASTEI20_039183	LOC109426058
OG0000701	ASTEI20_038815, ASTEI20_037838	LOC115253491
OG0000703	ASTEI20_031023, ASTEI20_035177	LOC109424813, LOC109414631
OG0000704	ASTEI20_042619	LOC109432159
OG0000704	ASTEI20_038664	LOC109428437
OG0000705	ASTEI20_042623	LOC115267291
OG0000706	ASTEI20_040065	LOC109415200, LOC109402140, LOC115254736
OG0000707	ASTEI20_042481	LOC134288666, LOC109623129
OG0000709	ASTEI20_042639, ASTEI20_035313	LOC109433007, LOC115255771
OG0000710	ASTEI20_033026, ASTEI20_045896	LOC134285812, LOC109397699, LOC109432974
OG0000711	ASTEI20_034286	LOC115257573
OG0000711	ASTEI20_043282	LOC115257738
OG0000712	ASTEI20_045867, ASTEI20_037742	LOC115257461, LOC109403425
OG0000713	ASTEI20_043731	LOC109428739, LOC115270179, LOC109426302
OG0000714	ASTEI20_031182	LOC109427282
OG0000715	ASTEI20_037706, ASTEI20_043023	LOC109433405, LOC109433403
OG0000716	ASTEI20_033629, ASTEI20_041196	LOC109403259
OG0000717	ASTEI20_041443	LOC109402253
OG0000718	ASTEI20_034424	LOC109418644
OG0000719	ASTEI20_031976, ASTEI20_046128	LOC109408711, LOC109428968, LOC109408710, LOC115267753
OG0000720	ASTEI20_040950	LOC115263718
OG0000721	ASTEI20_034084	LOC109398470
OG0000722	ASTEI20_033287	LOC109411373
OG0000723	ASTEI20_039107, ASTEI20_043899	LOC109416240
OG0000724	ASTEI20_043064	LOC109399449
OG0000724	ASTEI20_040049	LOC109404319
OG0000725	ASTEI20_043335, ASTEI20_035800	LOC109405632
OG0000726	ASTEI20_039608, ASTEI20_037590	LOC109429237
OG0000727	ASTEI20_043472	LOC109621475, LOC109621486
OG0000728	ASTEI20_032388, ASTEI20_040426, ASTEI20_036046	LOC109410133
OG0000729	ASTEI20_042200, ASTEI20_040151	LOC115260570
OG0000730	ASTEI20_044904	LOC109399566, LOC109399105
OG0000731	ASTEI20_044451, ASTEI20_031889, ASTEI20_031875	LOC109401917
OG0000732	ASTEI20_039673, ASTEI20_031041	LOC109430359, LOC109430358
OG0000733	ASTEI20_038325, ASTEI20_044652	LOC115270390
OG0000734	ASTEI20_040309, ASTEI20_043083	LOC115253434, LOC109422004
OG0000735	ASTEI20_038947, ASTEI20_040845	LOC115270450
OG0000736	ASTEI20_037342	LOC134288725
OG0000736	ASTEI20_042261, ASTEI20_042182	LOC109407731
OG0000737	ASTEI20_041073	LOC109405345
OG0000738	ASTEI20_034436, ASTEI20_040787	LOC109415132
OG0000739	ASTEI20_041642, ASTEI20_037468, ASTEI20_037469	LOC109398030
OG0000740	ASTEI20_043165	LOC109405285
OG0000741	ASTEI20_044735	LOC109412774
OG0000742	ASTEI20_035073	LOC115269291, LOC115269290, LOC109415309
OG0000743	ASTEI20_042644	LOC109421916
OG0000743	ASTEI20_030874	LOC109432718
OG0000744	ASTEI20_038133	LOC109406520
OG0000745	ASTEI20_034158, ASTEI20_032748	LOC109430722, LOC115257484
OG0000746	ASTEI20_034581	LOC115267638, LOC115268656
OG0000747	ASTEI20_043260, ASTEI20_036353	LOC134291558, LOC134292032
OG0000748	ASTEI20_039121	LOC109427008, LOC109400207
OG0000749	ASTEI20_039921, ASTEI20_043173	LOC134284672, LOC109416871
OG0000750	ASTEI20_039926	LOC109623155
OG0000751	ASTEI20_043371	LOC134289711, LOC109431492
OG0000752	ASTEI20_043822, ASTEI20_036265	LOC109430087, LOC115256456
OG0000753	ASTEI20_036308, ASTEI20_034045, ASTEI20_045602	LOC109403630
OG0000754	ASTEI20_034077	LOC109400239, LOC109414274
OG0000755	ASTEI20_033644	LOC109430345
OG0000756	ASTEI20_040316, ASTEI20_037829	LOC134289725
OG0000757	ASTEI20_034616	LOC109399842, LOC115256995, LOC109399850
OG0000760	ASTEI20_032155	LOC109425998
OG0000761	ASTEI20_046085	LOC109414440
OG0000762	ASTEI20_037826	LOC109404958
OG0000763	ASTEI20_032476, ASTEI20_045816	LOC134284619, LOC109398403
OG0000764	ASTEI20_032434	LOC109429977, LOC109429978
OG0000766	ASTEI20_030954	LOC109399236
OG0000769	ASTEI20_039990, ASTEI20_044293	LOC109421901, LOC115267702
OG0000770	ASTEI20_039892	LOC109428484
OG0000771	ASTEI20_032854	LOC109415781
OG0000773	ASTEI20_043468, ASTEI20_034825	LOC115254013
OG0000774	ASTEI20_043729	LOC109427045, LOC109426944
OG0000775	ASTEI20_041717	LOC109622194
OG0000776	ASTEI20_038588	LOC109431991
OG0000777	ASTEI20_031695	LOC109414982
OG0000778	ASTEI20_033706	LOC115261554
OG0000778	ASTEI20_031392	LOC115261571
OG0000779	ASTEI20_031977, ASTEI20_039029	LOC109423124
OG0000786	ASTEI20_035440	LOC109430291
OG0000789	ASTEI20_044100	LOC134290026, LOC134290534, LOC134286892, LOC134290660, LOC134292158, LOC134290850, LOC134290532, LOC134285116, LOC134286589, LOC134289847, LOC134290535, LOC134290027, LOC134291058, LOC134286568, LOC134290280
OG0000790	ASTEI20_045626, ASTEI20_044194, ASTEI20_038190	LOC134289963
OG0000799	ASTEI20_030862	LOC115266992, LOC109413206, LOC109425581
OG0000800	ASTEI20_035513	LOC109427250
OG0000801	ASTEI20_038774, ASTEI20_032752	LOC109421741
OG0000802	ASTEI20_039903, ASTEI20_033998	LOC109421663
OG0000803	ASTEI20_032929, ASTEI20_045546	LOC109622651
OG0000804	ASTEI20_040283	LOC109422411, LOC115266245
OG0000805	ASTEI20_045323	LOC134288706
OG0000805	ASTEI20_036191	LOC109408749
OG0000806	ASTEI20_046137	LOC109415861, LOC109409872
OG0000807	ASTEI20_038033	LOC109420572, LOC109417327, LOC115255550, LOC109417411, LOC109420574
OG0000808	ASTEI20_039245	LOC109420215, LOC134284697
OG0000809	ASTEI20_035120	LOC109421435
OG0000809	ASTEI20_035445	LOC109416633
OG0000810	ASTEI20_039483, ASTEI20_046097	LOC109401901
OG0000811	ASTEI20_044563, ASTEI20_045076	LOC109401915
OG0000812	ASTEI20_034815	LOC109397309, LOC115260908
OG0000813	ASTEI20_037179	LOC109432481
OG0000814	ASTEI20_038002	LOC109408708, LOC115270935, LOC109623118
OG0000815	ASTEI20_032132	LOC109622218, LOC115267928, LOC109431594, LOC115268157
OG0000816	ASTEI20_035781	LOC134289436, LOC134290611, LOC109432189
OG0000817	ASTEI20_035275, ASTEI20_041498	LOC109409415
OG0000818	ASTEI20_031764	LOC109403459
OG0000820	ASTEI20_033514	LOC134289784, LOC109431559, LOC115267921
OG0000821	ASTEI20_035913	LOC109416561, LOC109416543
OG0000822	ASTEI20_036898, ASTEI20_045287, ASTEI20_034381	LOC115261472, LOC109427214
OG0000823	ASTEI20_037538	LOC109398036
OG0000824	ASTEI20_032739	LOC109431321
OG0000824	ASTEI20_045853	LOC109431319
OG0000825	ASTEI20_040682	LOC109414942
OG0000826	ASTEI20_040369, ASTEI20_037448	LOC109427745
OG0000827	ASTEI20_034623	LOC109407627, LOC115256953
OG0000828	ASTEI20_041164	LOC109402179
OG0000829	ASTEI20_030906	LOC115254222, LOC109397206
OG0000830	ASTEI20_041246	LOC109403994, LOC109432040, LOC109403982, LOC109432039
OG0000831	ASTEI20_041343	LOC134287875, LOC134287869
OG0000832	ASTEI20_031357, ASTEI20_034075	LOC115263972
OG0000833	ASTEI20_037575	LOC109400918, LOC109429315
OG0000834	ASTEI20_034731	LOC109429391, LOC109402113, LOC109412105
OG0000835	ASTEI20_043704	LOC134291987, LOC109415804
OG0000836	ASTEI20_038803	LOC109430157
OG0000837	ASTEI20_042660	LOC109416502
OG0000838	ASTEI20_031314	LOC109415565
OG0000839	ASTEI20_042058	LOC115255254, LOC109398228
OG0000840	ASTEI20_045806	LOC134291248
OG0000842	ASTEI20_044864	LOC109417693
OG0000843	ASTEI20_039772	LOC109415209, LOC109423491
OG0000844	ASTEI20_044178	LOC115269572, LOC115254854
OG0000845	ASTEI20_041161	LOC115265786, LOC109418023, LOC109418018
OG0000846	ASTEI20_043008	LOC109423234
OG0000846	ASTEI20_032168	LOC109413556
OG0000847	ASTEI20_031099, ASTEI20_044161	LOC109427518
OG0000849	ASTEI20_042112	LOC109429212
OG0000850	ASTEI20_031769, ASTEI20_041948	LOC109422051
OG0000852	ASTEI20_035599	LOC109427421, LOC115257141
OG0000853	ASTEI20_040852	LOC109430966, LOC109430951
OG0000854	ASTEI20_034595	LOC115269852, LOC109405120
OG0000855	ASTEI20_032493, ASTEI20_042132	LOC115253665
OG0000856	ASTEI20_036510, ASTEI20_041735	LOC109399245
OG0000857	ASTEI20_040336	LOC109413324
OG0000858	ASTEI20_034712	LOC115267652
OG0000859	ASTEI20_037362	LOC109415843, LOC109418743
OG0000860	ASTEI20_043892	LOC109408950
OG0000861	ASTEI20_041727	LOC109404460
OG0000861	ASTEI20_038521	LOC109418895
OG0000862	ASTEI20_044800, ASTEI20_033388	LOC109420860
OG0000863	ASTEI20_039681	LOC134287500
OG0000864	ASTEI20_040084	LOC134287582
OG0000865	ASTEI20_044183	LOC109412170
OG0000866	ASTEI20_036038	LOC109430912
OG0000867	ASTEI20_041802, ASTEI20_036774	LOC109406888
OG0000868	ASTEI20_031032	LOC109430789
OG0000869	ASTEI20_045680, ASTEI20_043696, ASTEI20_044341	LOC109399160
OG0000870	ASTEI20_041721, ASTEI20_039027	LOC109422027
OG0000871	ASTEI20_032046	LOC115260913
OG0000871	ASTEI20_043245	LOC109409278
OG0000872	ASTEI20_035045	LOC109415590
OG0000873	ASTEI20_037241	LOC115259327, LOC109407944
OG0000874	ASTEI20_032447, ASTEI20_036343	LOC115258615, LOC109414353
OG0000875	ASTEI20_031975	LOC109397203
OG0000876	ASTEI20_038171	LOC115259484
OG0000877	ASTEI20_040971, ASTEI20_037309	LOC109623040
OG0000878	ASTEI20_041893, ASTEI20_036003	LOC109416487
OG0000879	ASTEI20_043715	LOC134287710, LOC109419955
OG0000882	ASTEI20_039800	LOC109428958, LOC134284482
OG0000883	ASTEI20_038661, ASTEI20_031209	LOC109410282
OG0000884	ASTEI20_040416	LOC134292001, LOC109402124
OG0000885	ASTEI20_046138	LOC109403870
OG0000886	ASTEI20_044506, ASTEI20_037892	LOC115253623
OG0000887	ASTEI20_038548, ASTEI20_045008	LOC109429899
OG0000888	ASTEI20_033933	LOC109411294
OG0000889	ASTEI20_045458	LOC109424340
OG0000890	ASTEI20_045313	LOC109417328, LOC109623185
OG0000891	ASTEI20_044959	LOC109429102
OG0000893	ASTEI20_039923	LOC109419193
OG0000894	ASTEI20_036594	LOC109420563
OG0000895	ASTEI20_042878	LOC115254223, LOC134284748, LOC109397194
OG0000896	ASTEI20_034832	LOC115254967
OG0000897	ASTEI20_043474, ASTEI20_036984, ASTEI20_032916, ASTEI20_042579	LOC109407883
OG0000898	ASTEI20_043964	LOC134285828, LOC115262133, LOC115268714, LOC115255929, LOC115268173, LOC134290317, LOC115265163
OG0000900	ASTEI20_039875	LOC109433641
OG0000901	ASTEI20_038514, ASTEI20_032584	LOC109408340
OG0000902	ASTEI20_033803, ASTEI20_039735	LOC109405106
OG0000903	ASTEI20_032454, ASTEI20_032648	LOC109399718, LOC115265699
OG0000904	ASTEI20_036389, ASTEI20_039996	LOC109398927
OG0000906	ASTEI20_039052	LOC109426344
