Orthogroup	AstephensiUCISS2018	LlongipalpisASM
OG0001681	ASTEI20_034194	LOC129794747, LOC129794746
OG0001682	ASTEI20_040807	LOC129788060
OG0001683	ASTEI20_044784	LOC129790728
OG0001684	ASTEI20_033861	LOC129790725
OG0001685	ASTEI20_032996	LOC129793889
OG0001686	ASTEI20_031720	LOC129796857
OG0001688	ASTEI20_033197	LOC129797292, LOC129797293, LOC129786585
OG0001689	ASTEI20_033480	LOC129787992
OG0001690	ASTEI20_040662	LOC129789156
OG0001692	ASTEI20_042850	LOC129790239
OG0001694	ASTEI20_030880	LOC129787868
OG0001695	ASTEI20_039885	LOC129786751
OG0001696	ASTEI20_035894, ASTEI20_041382	LOC129788426
OG0001697	ASTEI20_039674	LOC129792997
OG0001699	ASTEI20_035910	LOC129795526
OG0001700	ASTEI20_034640	LOC129793749, LOC129791126, LOC129789479
OG0001702	ASTEI20_044318	LOC129789529
OG0001704	ASTEI20_035409	LOC129785963
OG0001705	ASTEI20_034803	LOC129797629
OG0001706	ASTEI20_031185	LOC129789605, LOC129795515
OG0001708	ASTEI20_032726	LOC129797541, LOC129792617, LOC129792400
OG0001709	ASTEI20_031168	LOC129787238, LOC129790388
OG0001710	ASTEI20_044040	LOC129796140
OG0001711	ASTEI20_043482	LOC129788442
OG0001712	ASTEI20_044747	LOC129789964
OG0001714	ASTEI20_035959	LOC129791296
OG0001715	ASTEI20_031480	LOC129796923
OG0001716	ASTEI20_038842	LOC129790480
OG0001717	ASTEI20_037507	LOC129789932
OG0001718	ASTEI20_038625	LOC129797155
OG0001719	ASTEI20_036464	LOC129791721
OG0001720	ASTEI20_041287	LOC129786098
OG0001721	ASTEI20_042411	LOC129785973
OG0001722	ASTEI20_032535, ASTEI20_041731	LOC129797064
OG0001723	ASTEI20_031843, ASTEI20_040841, ASTEI20_031160	LOC129795874
OG0001724	ASTEI20_036983	LOC129786652
OG0001725	ASTEI20_041120, ASTEI20_042746	LOC129794113
OG0001726	ASTEI20_040981	LOC129792607, LOC129792727
OG0001727	ASTEI20_039043, ASTEI20_036302	LOC129788794
OG0001728	ASTEI20_033338	LOC129787839
OG0001730	ASTEI20_046147	LOC129796021
OG0001731	ASTEI20_043032	LOC129788792, LOC129791986
OG0001732	ASTEI20_038824	LOC129796695
OG0001733	ASTEI20_045861	LOC129786263
OG0001734	ASTEI20_034717	LOC129791737, LOC129792398
OG0001735	ASTEI20_043192	LOC129790824
OG0001736	ASTEI20_042485	LOC129796096
OG0001737	ASTEI20_040207	LOC129795468
OG0001738	ASTEI20_045717	LOC129788301
OG0001739	ASTEI20_033145	LOC129788022
OG0001741	ASTEI20_032063, ASTEI20_041681	LOC129787555
OG0001742	ASTEI20_033660	LOC129792632
OG0001743	ASTEI20_032035, ASTEI20_038238	LOC129792747
OG0001744	ASTEI20_031801, ASTEI20_031467	LOC129787602
OG0001745	ASTEI20_043866, ASTEI20_032094	LOC129787587
OG0001746	ASTEI20_045808, ASTEI20_037204	LOC129797065
OG0001747	ASTEI20_031995	LOC129794259
OG0001748	ASTEI20_040333	LOC129786441
OG0001749	ASTEI20_032529	LOC129792376
OG0001750	ASTEI20_042506	LOC129790222
OG0001751	ASTEI20_043046, ASTEI20_037157	LOC129794909
OG0001752	ASTEI20_037540, ASTEI20_044241	LOC129786866
OG0001753	ASTEI20_033934	LOC129796574, LOC129796573
OG0001754	ASTEI20_043771	LOC129788770, LOC129788776, LOC129795979
OG0001755	ASTEI20_036243	LOC129794760
OG0001756	ASTEI20_032384	LOC129791759
OG0001757	ASTEI20_039607, ASTEI20_031747	LOC129789606
OG0001758	ASTEI20_043429	LOC129789116
OG0001759	ASTEI20_036159, ASTEI20_036150	LOC129789065
OG0001760	ASTEI20_041913	LOC129787052
OG0001762	ASTEI20_035407	LOC129792088
OG0001763	ASTEI20_035419, ASTEI20_034875	LOC129791736
OG0001764	ASTEI20_041129	LOC129794248
OG0001765	ASTEI20_043912	LOC129793816
OG0001767	ASTEI20_030990	LOC129785893
OG0001768	ASTEI20_041744	LOC129792769
OG0001769	ASTEI20_040757	LOC129793630
OG0001771	ASTEI20_031072	LOC129788791
OG0001772	ASTEI20_035647	LOC129789245, LOC129789345
OG0001773	ASTEI20_037349, ASTEI20_038577	LOC129792735
OG0001774	ASTEI20_034613, ASTEI20_040447	LOC129789403
OG0001775	ASTEI20_033886	LOC129790827
OG0001776	ASTEI20_040153, ASTEI20_041357	LOC129793498
OG0001777	ASTEI20_045676	LOC129788364
OG0001778	ASTEI20_044516	LOC129797665
OG0001779	ASTEI20_040038, ASTEI20_033471	LOC129794840
OG0001780	ASTEI20_035209, ASTEI20_033533	LOC129794939
OG0001781	ASTEI20_033007, ASTEI20_039908	LOC129793429
OG0001782	ASTEI20_045598	LOC129787820
OG0001783	ASTEI20_033681	LOC129786246
OG0001784	ASTEI20_036964	LOC129793241
OG0001785	ASTEI20_030933	LOC129797674
OG0001786	ASTEI20_045923	LOC129791199
OG0001787	ASTEI20_037413, ASTEI20_040924	LOC129791381
OG0001788	ASTEI20_032268, ASTEI20_031441	LOC129792127
OG0001789	ASTEI20_040809, ASTEI20_042407	LOC129792135
OG0001790	ASTEI20_033967	LOC129790876
OG0001791	ASTEI20_031834	LOC129786553
OG0001792	ASTEI20_032082	LOC129796385
OG0001793	ASTEI20_036230	LOC129792442
OG0001794	ASTEI20_042088	LOC129797226
OG0001795	ASTEI20_038575	LOC129789520, LOC129789252
OG0001796	ASTEI20_042488, ASTEI20_033782	LOC129792783
OG0001798	ASTEI20_039834, ASTEI20_037577	LOC129787211
OG0001799	ASTEI20_042574	LOC129788959
OG0001800	ASTEI20_041925	LOC129788729
OG0001802	ASTEI20_039123	LOC129797610
OG0001803	ASTEI20_031046	LOC129791007, LOC129791008
OG0001804	ASTEI20_032019	LOC129795693
OG0001805	ASTEI20_041337	LOC129790995
OG0001806	ASTEI20_030899	LOC129792413
OG0001807	ASTEI20_030854	LOC129791367
OG0001808	ASTEI20_040564	LOC129792755
OG0001811	ASTEI20_042652	LOC129792465
OG0001812	ASTEI20_033856	LOC129787649
OG0001813	ASTEI20_044757, ASTEI20_035110	LOC129793732, LOC129793734
OG0001814	ASTEI20_035510, ASTEI20_042165	LOC129792252
OG0001815	ASTEI20_034099	LOC129787405
OG0001816	ASTEI20_031736	LOC129793276
OG0001817	ASTEI20_041523	LOC129790365
OG0001818	ASTEI20_042705	LOC129787508
OG0001819	ASTEI20_046034	LOC129789556
OG0001820	ASTEI20_033501	LOC129793706
OG0001821	ASTEI20_040854	LOC129791557
OG0001822	ASTEI20_036744	LOC129793139
OG0001823	ASTEI20_032997	LOC129791671
OG0001824	ASTEI20_045455	LOC129790984
OG0001825	ASTEI20_039143	LOC129795054
OG0001827	ASTEI20_045866	LOC129787714, LOC129787776
OG0001829	ASTEI20_046038	LOC129795457
OG0001830	ASTEI20_041299	LOC129795064
OG0001831	ASTEI20_041187	LOC129790640
OG0001832	ASTEI20_040160, ASTEI20_032039	LOC129795501
OG0001833	ASTEI20_031708	LOC129791389
OG0001834	ASTEI20_037485	LOC129792115
OG0001835	ASTEI20_036403	LOC129787975
OG0001837	ASTEI20_033220	LOC129787074
OG0001838	ASTEI20_032676	LOC129795573
OG0001839	ASTEI20_038069	LOC129791005
OG0001840	ASTEI20_035424	LOC129788825
OG0001841	ASTEI20_043914	LOC129791580
OG0001842	ASTEI20_045526	LOC129794817
OG0001843	ASTEI20_031750	LOC129788150
OG0001844	ASTEI20_044431	LOC129797361
OG0001845	ASTEI20_037816	LOC129792975
OG0001846	ASTEI20_038890	LOC129796912
OG0001848	ASTEI20_031988	LOC129790690
OG0001849	ASTEI20_030903	LOC129796195
OG0001850	ASTEI20_031794	LOC129792298
OG0001851	ASTEI20_041258	LOC129797616, LOC129797574
OG0001852	ASTEI20_036534	LOC129797324
OG0001853	ASTEI20_037869	LOC129794826
OG0001854	ASTEI20_034268, ASTEI20_037029	LOC129794842
OG0001855	ASTEI20_036388	LOC129794073
OG0001856	ASTEI20_040542	LOC129789363
OG0001857	ASTEI20_035922	LOC129797241
OG0001858	ASTEI20_042276	LOC129796202, LOC129796420
OG0001859	ASTEI20_031681	LOC129791467
OG0001860	ASTEI20_039863, ASTEI20_046134	LOC129796988
OG0001861	ASTEI20_038042	LOC129792410
OG0001862	ASTEI20_037651, ASTEI20_044537	LOC129787215
OG0001863	ASTEI20_037372	LOC129792072
OG0001864	ASTEI20_044602	LOC129790855
OG0001865	ASTEI20_043097	LOC129790845
OG0001866	ASTEI20_037390	LOC129795328
OG0001867	ASTEI20_042987	LOC129788957
OG0001868	ASTEI20_038241	LOC129787270
OG0001869	ASTEI20_037491	LOC129795513
OG0001870	ASTEI20_034082	LOC129786560
OG0001871	ASTEI20_042752	LOC129787708
OG0001873	ASTEI20_038024, ASTEI20_038582	LOC129787651
OG0001874	ASTEI20_041695	LOC129795307
OG0001875	ASTEI20_041292	LOC129794108
OG0001876	ASTEI20_044603	LOC129786760
OG0001879	ASTEI20_032455	LOC129794824
OG0001880	ASTEI20_042614	LOC129786509
OG0001881	ASTEI20_038226	LOC129787945, LOC129794298, LOC129794305
OG0001882	ASTEI20_042291, ASTEI20_040087	LOC129789049
OG0001883	ASTEI20_032672	LOC129793191
OG0001884	ASTEI20_036565	LOC129790026
OG0001885	ASTEI20_036144	LOC129791203
OG0001886	ASTEI20_044448	LOC129785854
OG0001887	ASTEI20_032333	LOC129789344, LOC129789624
OG0001889	ASTEI20_031789	LOC129789558
OG0001890	ASTEI20_038678	LOC129796812
OG0001891	ASTEI20_043144	LOC129788054
OG0001892	ASTEI20_039023	LOC129787869
OG0001893	ASTEI20_042354	LOC129795913
OG0001894	ASTEI20_039276	LOC129790362
OG0001895	ASTEI20_034192	LOC129793818
OG0001896	ASTEI20_039087	LOC129788046
OG0001897	ASTEI20_038612	LOC129790146
OG0001898	ASTEI20_039514	LOC129793044, LOC129790873, LOC129793877
OG0001899	ASTEI20_037992, ASTEI20_041200	LOC129788657
OG0001901	ASTEI20_033230	LOC129791155
OG0001902	ASTEI20_033748, ASTEI20_034244	LOC129792775
OG0001905	ASTEI20_039676, ASTEI20_039442	LOC129787833
OG0001906	ASTEI20_043599	LOC129788661
OG0001908	ASTEI20_034931, ASTEI20_045139	LOC129787564
OG0001909	ASTEI20_034649	LOC129790425
OG0001912	ASTEI20_038308	LOC129795945
OG0001913	ASTEI20_045888	LOC129790847
OG0001914	ASTEI20_033192	LOC129794648
OG0001915	ASTEI20_032137	LOC129795734
OG0001916	ASTEI20_036547	LOC129791707
OG0001917	ASTEI20_033135	LOC129795172, LOC129795169
OG0001918	ASTEI20_039850	LOC129790323
OG0001919	ASTEI20_032506, ASTEI20_034145	LOC129791890
OG0001920	ASTEI20_032952, ASTEI20_035955	LOC129789627
OG0001923	ASTEI20_042360, ASTEI20_043663	LOC129792576
OG0001924	ASTEI20_044885	LOC129788384
OG0001925	ASTEI20_045408	LOC129791354
OG0001926	ASTEI20_044355	LOC129789853
OG0001928	ASTEI20_037817	LOC129787417
OG0001929	ASTEI20_045832	LOC129790888
OG0001930	ASTEI20_037415, ASTEI20_043375	LOC129791566
OG0001931	ASTEI20_037972	LOC129788027
OG0001933	ASTEI20_042626	LOC129790383
OG0001934	ASTEI20_032057	LOC129793593
OG0001935	ASTEI20_038257	LOC129787271
OG0001937	ASTEI20_031233	LOC129792078
OG0001938	ASTEI20_043302	LOC129796602
OG0001939	ASTEI20_042844	LOC129787144
OG0001940	ASTEI20_036625	LOC129788550
OG0001941	ASTEI20_037166	LOC129790566
OG0001942	ASTEI20_041905	LOC129787632, LOC129787549
OG0001943	ASTEI20_034028, ASTEI20_045234	LOC129787936
OG0001944	ASTEI20_031703, ASTEI20_035250	LOC129787103
OG0001945	ASTEI20_035291	LOC129788609
OG0001946	ASTEI20_034942	LOC129789835
OG0001947	ASTEI20_033022	LOC129793148
OG0001948	ASTEI20_042689	LOC129790027
OG0001949	ASTEI20_045917	LOC129791154
OG0001950	ASTEI20_036486	LOC129791722
OG0001951	ASTEI20_042361	LOC129788275
OG0001952	ASTEI20_033277, ASTEI20_045218	LOC129794314
OG0001953	ASTEI20_043565, ASTEI20_045155, ASTEI20_035295	LOC129793162
OG0001954	ASTEI20_035344	LOC129794292
OG0001955	ASTEI20_042105	LOC129792214
OG0001956	ASTEI20_044647	LOC129788139
OG0001957	ASTEI20_032903	LOC129793821
OG0001958	ASTEI20_041677	LOC129785990
OG0001959	ASTEI20_043534	LOC129785955, LOC129786145
OG0001960	ASTEI20_037795	LOC129789692, LOC129789672, LOC129795154
OG0001961	ASTEI20_040225	LOC129792189
OG0001962	ASTEI20_036824	LOC129796121
OG0001963	ASTEI20_031084	LOC129790872
OG0001964	ASTEI20_035509, ASTEI20_030939	LOC129793403
OG0001965	ASTEI20_045582, ASTEI20_038449	LOC129795975
OG0001968	ASTEI20_039612	LOC129790144, LOC129793916
OG0001970	ASTEI20_045665	LOC129797434
OG0001971	ASTEI20_038689	LOC129793531
OG0001974	ASTEI20_043787	LOC129785856
OG0001975	ASTEI20_035666	LOC129792950, LOC129792892
OG0001976	ASTEI20_045292, ASTEI20_032118	LOC129795962
OG0001977	ASTEI20_031158	LOC129789328
OG0001978	ASTEI20_045946	LOC129794833, LOC129795403
OG0001979	ASTEI20_039620	LOC129786351
OG0001980	ASTEI20_040848	LOC129789419, LOC129789930
OG0001981	ASTEI20_045261	LOC129796027
OG0001982	ASTEI20_041821	LOC129789617
OG0001983	ASTEI20_033180	LOC129789082
OG0001984	ASTEI20_041173	LOC129789641
OG0001988	ASTEI20_044476	LOC129795250, LOC129795018
OG0001991	ASTEI20_032250	LOC129786287
OG0001997	ASTEI20_033486, ASTEI20_037702	LOC129787900
OG0001998	ASTEI20_033580	LOC129790854
OG0002010	ASTEI20_043728	LOC129786915
OG0002015	ASTEI20_040624, ASTEI20_038403, ASTEI20_033628, ASTEI20_041615, ASTEI20_034195, ASTEI20_043028, ASTEI20_043542, ASTEI20_038782, ASTEI20_040603, ASTEI20_039874	LOC129788679
OG0002016	ASTEI20_033827	LOC129794168
OG0002016	ASTEI20_043707	LOC129794169
OG0002027	ASTEI20_040844	LOC129786348
OG0002028	ASTEI20_030975	LOC129786183
OG0002029	ASTEI20_038356	LOC129786150
OG0002030	ASTEI20_045294	LOC129796868
OG0002031	ASTEI20_046042	LOC129794312
OG0002032	ASTEI20_033387	LOC129796943
OG0002033	ASTEI20_031548	LOC129796820
OG0002034	ASTEI20_038919	LOC129790140
OG0002035	ASTEI20_037405	LOC129789332
OG0002036	ASTEI20_032974	LOC129797306
OG0002037	ASTEI20_035677	LOC129786088
OG0002038	ASTEI20_037287, ASTEI20_041594	LOC129797429
OG0002039	ASTEI20_038166	LOC129797746
OG0002040	ASTEI20_033867, ASTEI20_041043	LOC129797304, LOC129797307
OG0002041	ASTEI20_037622	LOC129787111
OG0002042	ASTEI20_031365	LOC129787206
OG0002043	ASTEI20_034261	LOC129792702
OG0002044	ASTEI20_033133	LOC129793762
OG0002045	ASTEI20_041826	LOC129788678
OG0002046	ASTEI20_045091	LOC129787153
OG0002047	ASTEI20_040307	LOC129792995
OG0002048	ASTEI20_042497	LOC129795712
OG0002049	ASTEI20_043422	LOC129787065
OG0002050	ASTEI20_037316	LOC129787969
OG0002052	ASTEI20_041524	LOC129793489
OG0002053	ASTEI20_035514	LOC129797520
OG0002054	ASTEI20_032285	LOC129796471
OG0002055	ASTEI20_035471	LOC129795446
OG0002056	ASTEI20_030861, ASTEI20_039151	LOC129796303
OG0002057	ASTEI20_034804	LOC129796472
OG0002058	ASTEI20_034372	LOC129793910
OG0002059	ASTEI20_040668	LOC129796534
OG0002060	ASTEI20_040983	LOC129794853
OG0002061	ASTEI20_041687	LOC129787988
OG0002062	ASTEI20_041269	LOC129796074
OG0002063	ASTEI20_034120	LOC129797489
OG0002064	ASTEI20_040879, ASTEI20_032487	LOC129796436
OG0002065	ASTEI20_035451	LOC129792004, LOC129794614
OG0002066	ASTEI20_030894	LOC129796138
OG0002067	ASTEI20_042700	LOC129795350
OG0002068	ASTEI20_031658	LOC129797761
OG0002069	ASTEI20_035230	LOC129797826, LOC129788594
OG0002071	ASTEI20_032494, ASTEI20_036643	LOC129795692
OG0002072	ASTEI20_031374	LOC129789432
OG0002073	ASTEI20_042939	LOC129794275
OG0002074	ASTEI20_033610	LOC129792662
OG0002075	ASTEI20_045022	LOC129792271
OG0002076	ASTEI20_039020	LOC129792610
OG0002077	ASTEI20_042676, ASTEI20_038212	LOC129795742
OG0002078	ASTEI20_037427	LOC129786002
OG0002079	ASTEI20_036201	LOC129786109
OG0002080	ASTEI20_034912	LOC129794911
OG0002081	ASTEI20_044082	LOC129788016, LOC129795800
OG0002082	ASTEI20_031484	LOC129794597
OG0002083	ASTEI20_034882	LOC129787679
OG0002084	ASTEI20_036723	LOC129791859
OG0002085	ASTEI20_042187	LOC129788403, LOC129788402
OG0002086	ASTEI20_031564	LOC129786135, LOC129786019
OG0002087	ASTEI20_042145	LOC129796881
OG0002088	ASTEI20_033684, ASTEI20_035704	LOC129795724
OG0002089	ASTEI20_038481, ASTEI20_037646	LOC129796615
OG0002090	ASTEI20_031049	LOC129796235
OG0002091	ASTEI20_034908	LOC129788450
OG0002092	ASTEI20_035793	LOC129787669
OG0002093	ASTEI20_044480	LOC129795709
OG0002094	ASTEI20_033284	LOC129795213
OG0002095	ASTEI20_044352	LOC129786568
OG0002098	ASTEI20_031451	LOC129785822
OG0002099	ASTEI20_041002	LOC129797209
OG0002100	ASTEI20_041235	LOC129793188, LOC129793187
OG0002101	ASTEI20_040812, ASTEI20_044122	LOC129787041
OG0002102	ASTEI20_031709	LOC129787051
OG0002103	ASTEI20_035027	LOC129790062
OG0002104	ASTEI20_041521	LOC129795021, LOC129788515
OG0002105	ASTEI20_031650	LOC129790023
OG0002106	ASTEI20_034217	LOC129791064
OG0002107	ASTEI20_044283	LOC129796177
OG0002108	ASTEI20_041613	LOC129788481
OG0002109	ASTEI20_041163	LOC129791914
OG0002110	ASTEI20_045396	LOC129790068
OG0002111	ASTEI20_035886	LOC129796167
OG0002112	ASTEI20_040398	LOC129789295
OG0002113	ASTEI20_034837	LOC129788380
OG0002114	ASTEI20_040665	LOC129790798
OG0002115	ASTEI20_040730	LOC129792622
OG0002116	ASTEI20_033071	LOC129791818
OG0002117	ASTEI20_041900	LOC129792628
OG0002118	ASTEI20_030999	LOC129792365
OG0002119	ASTEI20_034988	LOC129792165
OG0002120	ASTEI20_044893	LOC129786317
OG0002121	ASTEI20_043881	LOC129789097
OG0002122	ASTEI20_035468	LOC129791865
OG0002123	ASTEI20_040903	LOC129792550
OG0002124	ASTEI20_045171	LOC129792128
OG0002125	ASTEI20_039350	LOC129789847, LOC129791422
OG0002126	ASTEI20_043991	LOC129793297
OG0002127	ASTEI20_039865	LOC129792100
OG0002128	ASTEI20_042584	LOC129792548
OG0002129	ASTEI20_032714	LOC129792129
OG0002130	ASTEI20_042890	LOC129794340
OG0002131	ASTEI20_036107	LOC129797194
OG0002132	ASTEI20_045512	LOC129792102
OG0002133	ASTEI20_035183	LOC129793858
OG0002134	ASTEI20_041249	LOC129790066
OG0002135	ASTEI20_043509	LOC129795626
OG0002136	ASTEI20_044664	LOC129789141
OG0002137	ASTEI20_041310, ASTEI20_044941	LOC129789022
OG0002138	ASTEI20_045926, ASTEI20_037295	LOC129786190
OG0002139	ASTEI20_045133	LOC129788531
OG0002140	ASTEI20_045067	LOC129792041
OG0002141	ASTEI20_045483	LOC129794790
OG0002142	ASTEI20_046159	LOC129794293
OG0002143	ASTEI20_037003	LOC129794878
OG0002144	ASTEI20_044553	LOC129796165
OG0002145	ASTEI20_041539	LOC129794992
OG0002146	ASTEI20_037196	LOC129792611
OG0002149	ASTEI20_040288, ASTEI20_040483	LOC129795812
OG0002150	ASTEI20_041855	LOC129793207
OG0002151	ASTEI20_036092	LOC129792849
OG0002152	ASTEI20_043368	LOC129787483
OG0002153	ASTEI20_036400	LOC129792349
OG0002154	ASTEI20_044590	LOC129786459
OG0002156	ASTEI20_041089	LOC129795641
OG0002157	ASTEI20_039045	LOC129794282
OG0002158	ASTEI20_046149	LOC129792677
OG0002159	ASTEI20_033709	LOC129793989
OG0002160	ASTEI20_033303	LOC129788807
OG0002161	ASTEI20_042500	LOC129789584
OG0002162	ASTEI20_045719	LOC129792208
OG0002163	ASTEI20_044009	LOC129789633, LOC129795922
OG0002164	ASTEI20_038889	LOC129789915
OG0002165	ASTEI20_032420	LOC129790660
OG0002166	ASTEI20_033236	LOC129788457
OG0002167	ASTEI20_035998	LOC129793573
OG0002168	ASTEI20_031546	LOC129790952
OG0002169	ASTEI20_045450	LOC129789473
OG0002170	ASTEI20_039366	LOC129790189
OG0002171	ASTEI20_044237	LOC129790264
OG0002172	ASTEI20_030876	LOC129789140
OG0002173	ASTEI20_042249	LOC129789107
OG0002174	ASTEI20_039001	LOC129790705, LOC129790700
OG0002176	ASTEI20_037794	LOC129789087
OG0002177	ASTEI20_034873	LOC129795949
OG0002178	ASTEI20_043055	LOC129795722
OG0002179	ASTEI20_034393	LOC129789021
OG0002180	ASTEI20_034482, ASTEI20_031731	LOC129793143
OG0002181	ASTEI20_039889	LOC129790196
OG0002182	ASTEI20_039066	LOC129786453
OG0002183	ASTEI20_035823	LOC129791374
OG0002184	ASTEI20_036865	LOC129797310
OG0002185	ASTEI20_038700	LOC129795865
OG0002186	ASTEI20_031406	LOC129797706
OG0002187	ASTEI20_042567	LOC129786836
OG0002188	ASTEI20_036417	LOC129786895
OG0002189	ASTEI20_039485	LOC129787436
OG0002190	ASTEI20_036177	LOC129788388
OG0002191	ASTEI20_042517	LOC129788510
OG0002192	ASTEI20_032625	LOC129788448
OG0002193	ASTEI20_045635	LOC129789440
OG0002194	ASTEI20_033869	LOC129792408
OG0002195	ASTEI20_043113	LOC129793090
OG0002196	ASTEI20_030907	LOC129792947
OG0002197	ASTEI20_037747	LOC129796307
OG0002198	ASTEI20_044611	LOC129796032
OG0002199	ASTEI20_044477	LOC129794812
OG0002200	ASTEI20_039345, ASTEI20_035076	LOC129793181
OG0002201	ASTEI20_034899, ASTEI20_043590	LOC129793237
OG0002202	ASTEI20_042659, ASTEI20_038102	LOC129793200
OG0002203	ASTEI20_032832	LOC129793485
OG0002204	ASTEI20_039331	LOC129788693
OG0002205	ASTEI20_044937, ASTEI20_043622	LOC129794185
OG0002206	ASTEI20_041536, ASTEI20_033605	LOC129793211
OG0002207	ASTEI20_044187	LOC129797559
OG0002208	ASTEI20_045046	LOC129789628
OG0002209	ASTEI20_040057	LOC129789680, LOC129789687
OG0002210	ASTEI20_040549, ASTEI20_037897	LOC129791980
OG0002211	ASTEI20_033041	LOC129787391
OG0002212	ASTEI20_035996	LOC129797348
OG0002213	ASTEI20_033801	LOC129788136
OG0002214	ASTEI20_038668	LOC129788860
OG0002215	ASTEI20_033327	LOC129786768
OG0002216	ASTEI20_040253	LOC129794210
OG0002217	ASTEI20_032995	LOC129793381, LOC129793379
OG0002218	ASTEI20_035481	LOC129788862
OG0002219	ASTEI20_032843	LOC129790860
OG0002220	ASTEI20_045640	LOC129797609
OG0002221	ASTEI20_034270	LOC129787562
OG0002222	ASTEI20_037211	LOC129793261
OG0002223	ASTEI20_040530	LOC129795732
OG0002224	ASTEI20_037607	LOC129797443
OG0002225	ASTEI20_032806	LOC129795743, LOC129795745
OG0002226	ASTEI20_034642	LOC129796496
OG0002227	ASTEI20_032289	LOC129795589
OG0002229	ASTEI20_043800	LOC129795588
OG0002230	ASTEI20_039163	LOC129796777
OG0002231	ASTEI20_042868	LOC129788560
OG0002232	ASTEI20_034129	LOC129785910
OG0002233	ASTEI20_036255, ASTEI20_032533	LOC129793461
OG0002234	ASTEI20_040334	LOC129792716
OG0002235	ASTEI20_044223	LOC129796803
OG0002236	ASTEI20_033975	LOC129789903, LOC129797367
OG0002237	ASTEI20_032334	LOC129787792
OG0002238	ASTEI20_033686	LOC129786065
OG0002239	ASTEI20_035417	LOC129797602
OG0002240	ASTEI20_045129	LOC129790493
OG0002241	ASTEI20_033295	LOC129787979
OG0002242	ASTEI20_039000	LOC129787955
OG0002244	ASTEI20_033717	LOC129788699
OG0002245	ASTEI20_044614	LOC129794046
OG0002246	ASTEI20_044379	LOC129788702
OG0002247	ASTEI20_035720	LOC129785965
OG0002248	ASTEI20_038610	LOC129790227, LOC129797606
OG0002249	ASTEI20_043522, ASTEI20_036117	LOC129789817
OG0002251	ASTEI20_031231	LOC129789579
OG0002252	ASTEI20_043997	LOC129786273
OG0002253	ASTEI20_035231	LOC129788451
OG0002254	ASTEI20_035718	LOC129793410
OG0002255	ASTEI20_038984	LOC129796246
OG0002256	ASTEI20_035525	LOC129793333
OG0002257	ASTEI20_044773	LOC129786737
OG0002258	ASTEI20_036901	LOC129788415, LOC129793194
OG0002259	ASTEI20_034292	LOC129785858
OG0002260	ASTEI20_035331	LOC129788509
OG0002261	ASTEI20_040889	LOC129793788
OG0002262	ASTEI20_041779, ASTEI20_032004	LOC129791873
OG0002263	ASTEI20_043796, ASTEI20_033307	LOC129791669
OG0002264	ASTEI20_035137	LOC129793023
OG0002265	ASTEI20_030902, ASTEI20_039602	LOC129791657
OG0002266	ASTEI20_035343	LOC129785912
OG0002267	ASTEI20_031246	LOC129791731, LOC129791729
OG0002268	ASTEI20_044596, ASTEI20_042453	LOC129797731
OG0002270	ASTEI20_037324	LOC129795116
OG0002271	ASTEI20_038708, ASTEI20_035936	LOC129795960
OG0002272	ASTEI20_036329, ASTEI20_037546	LOC129790531
OG0002273	ASTEI20_044467	LOC129794997
OG0002274	ASTEI20_031610	LOC129788771
OG0002275	ASTEI20_034951	LOC129788122, LOC129796151
OG0002276	ASTEI20_035951	LOC129788796
OG0002277	ASTEI20_036205	LOC129786934
OG0002278	ASTEI20_038910	LOC129786933, LOC129786932
OG0002281	ASTEI20_039057	LOC129787739
OG0002282	ASTEI20_040222	LOC129788062, LOC129788066
OG0002283	ASTEI20_039083	LOC129793663
OG0002284	ASTEI20_033382	LOC129786555
OG0002285	ASTEI20_037197	LOC129788063
OG0002286	ASTEI20_033455	LOC129793658
OG0002287	ASTEI20_040694	LOC129793672
OG0002288	ASTEI20_034325	LOC129793661
OG0002289	ASTEI20_045997	LOC129788137
OG0002290	ASTEI20_033129	LOC129789278
OG0002291	ASTEI20_041218	LOC129787557
OG0002292	ASTEI20_036545	LOC129795898
OG0002293	ASTEI20_041434	LOC129794480
OG0002294	ASTEI20_041852	LOC129786106
OG0002295	ASTEI20_043473	LOC129797132
OG0002296	ASTEI20_036165	LOC129790316
OG0002298	ASTEI20_045742	LOC129792758
OG0002299	ASTEI20_034255	LOC129797168
OG0002300	ASTEI20_044583	LOC129787547
OG0002301	ASTEI20_042907	LOC129797203
OG0002302	ASTEI20_039469	LOC129797189
OG0002304	ASTEI20_045284	LOC129795418
OG0002305	ASTEI20_044481	LOC129797328, LOC129792354
OG0002306	ASTEI20_035750, ASTEI20_040659	LOC129795987
OG0002307	ASTEI20_036319	LOC129787027
OG0002308	ASTEI20_037047	LOC129791629
OG0002309	ASTEI20_036694	LOC129792903
OG0002310	ASTEI20_045787	LOC129789716
OG0002311	ASTEI20_040734	LOC129797452
OG0002312	ASTEI20_033632, ASTEI20_044979	LOC129785887
OG0002313	ASTEI20_042950	LOC129795613
OG0002314	ASTEI20_031522, ASTEI20_045365	LOC129797510
OG0002315	ASTEI20_036867	LOC129794653
OG0002316	ASTEI20_045144	LOC129796203
OG0002317	ASTEI20_039040	LOC129793168
OG0002318	ASTEI20_044442	LOC129790590
OG0002319	ASTEI20_038811	LOC129797356
OG0002321	ASTEI20_041840	LOC129787175
