Orthogroup	AstephensiUCISS2018	AaegyptiLVP_AGWG
OG0001409	ASTEI20_041400	AAEL026671
OG0001410	ASTEI20_033841	AAEL026939
OG0001411	ASTEI20_040823	AAEL027023
OG0001412	ASTEI20_037936	AAEL027589
OG0001413	ASTEI20_032148	AAEL027616
OG0001414	ASTEI20_039471	AAEL028205
OG0001443	ASTEI20_043189	AAEL000044, AAEL014995
OG0001444	ASTEI20_042232	AAEL000081, AAEL020741
OG0001445	ASTEI20_033406	AAEL000092
OG0001446	ASTEI20_032195	AAEL000146, AAEL000111
OG0001447	ASTEI20_031721	AAEL027754, AAEL025874, AAEL000154
OG0001448	ASTEI20_038801	AAEL000217
OG0001449	ASTEI20_034512	AAEL000250
OG0001450	ASTEI20_043043, ASTEI20_036182	AAEL000284
OG0001451	ASTEI20_039282	AAEL013951, AAEL000432
OG0001452	ASTEI20_043753, ASTEI20_044958, ASTEI20_045059	AAEL000468
OG0001453	ASTEI20_038486	AAEL024335, AAEL000502
OG0001454	ASTEI20_038175	AAEL000669, AAEL027395, AAEL023031
OG0001455	ASTEI20_038399	AAEL000705, AAEL011193
OG0001456	ASTEI20_038959	AAEL000803, AAEL011405
OG0001458	ASTEI20_031141	AAEL000944
OG0001459	ASTEI20_044087	AAEL000956
OG0001460	ASTEI20_043716, ASTEI20_044681	AAEL000963, AAEL021108
OG0001461	ASTEI20_032695	AAEL027902, AAEL001016
OG0001462	ASTEI20_045706	AAEL001020, AAEL001022
OG0001463	ASTEI20_045970	AAEL001127, AAEL020358
OG0001464	ASTEI20_032028	AAEL013004, AAEL001143
OG0001465	ASTEI20_033775	AAEL001207
OG0001466	ASTEI20_044705	AAEL001209
OG0001467	ASTEI20_041177	AAEL001216
OG0001468	ASTEI20_044862	AAEL001304
OG0001469	ASTEI20_037210	AAEL001352, AAEL022991
OG0001470	ASTEI20_036526	AAEL001364
OG0001471	ASTEI20_038534	AAEL022805, AAEL001387
OG0001472	ASTEI20_043415	AAEL001458
OG0001473	ASTEI20_031636	AAEL001464
OG0001474	ASTEI20_040481	AAEL001491
OG0001475	ASTEI20_041556	AAEL001495
OG0001476	ASTEI20_040476	AAEL001503
OG0001477	ASTEI20_045156	AAEL022416, AAEL001522
OG0001478	ASTEI20_042072	AAEL001554
OG0001479	ASTEI20_046156	AAEL001561
OG0001480	ASTEI20_035707, ASTEI20_040929	AAEL001619
OG0001481	ASTEI20_034821	AAEL001680
OG0001482	ASTEI20_033822	AAEL001682, AAEL027289
OG0001483	ASTEI20_043132	AAEL001695
OG0001484	ASTEI20_039063	AAEL001696
OG0001486	ASTEI20_045803	AAEL001738
OG0001487	ASTEI20_038385	AAEL001766
OG0001488	ASTEI20_040453	AAEL001782
OG0001489	ASTEI20_046000	AAEL001819
OG0001490	ASTEI20_035267	AAEL010261, AAEL001879
OG0001491	ASTEI20_031902	AAEL001939
OG0001492	ASTEI20_037929	AAEL001986
OG0001493	ASTEI20_033590	AAEL024597, AAEL002006
OG0001494	ASTEI20_037717, ASTEI20_037155	AAEL002011
OG0001495	ASTEI20_033067	AAEL002047
OG0001496	ASTEI20_044203, ASTEI20_042888	AAEL002050
OG0001497	ASTEI20_032188, ASTEI20_031884, ASTEI20_039158	AAEL002069
OG0001498	ASTEI20_040018	AAEL002135
OG0001499	ASTEI20_045306, ASTEI20_042484	AAEL002139
OG0001500	ASTEI20_038292	AAEL002175
OG0001501	ASTEI20_033966	AAEL015481, AAEL002275
OG0001502	ASTEI20_039855	AAEL002389, AAEL020851
OG0001503	ASTEI20_041666	AAEL024419, AAEL002415
OG0001504	ASTEI20_044102	AAEL002503
OG0001505	ASTEI20_036662	AAEL025146, AAEL002510
OG0001506	ASTEI20_041216	AAEL002527
OG0001507	ASTEI20_043640	AAEL002577, AAEL002632
OG0001508	ASTEI20_043195	AAEL002599
OG0001509	ASTEI20_040645	AAEL002651
OG0001510	ASTEI20_046071, ASTEI20_044760	AAEL002719
OG0001511	ASTEI20_034944	AAEL002835
OG0001512	ASTEI20_042505	AAEL002838, AAEL002840
OG0001513	ASTEI20_042373	AAEL002859
OG0001514	ASTEI20_032961	AAEL002902
OG0001515	ASTEI20_032453	AAEL002903
OG0001516	ASTEI20_040956	AAEL023241, AAEL002932
OG0001517	ASTEI20_044673	AAEL003075
OG0001518	ASTEI20_032224	AAEL003139
OG0001519	ASTEI20_032370	AAEL003173, AAEL003163
OG0001520	ASTEI20_042142	AAEL003177
OG0001521	ASTEI20_043996	AAEL027087, AAEL003179
OG0001522	ASTEI20_041166	AAEL003194
OG0001523	ASTEI20_039319	AAEL003211
OG0001524	ASTEI20_038637	AAEL003384
OG0001525	ASTEI20_040237	AAEL003406, AAEL003430
OG0001526	ASTEI20_042600, ASTEI20_038239	AAEL003493
OG0001527	ASTEI20_032111	AAEL003522
OG0001528	ASTEI20_032608	AAEL027762, AAEL003550
OG0001529	ASTEI20_044610	AAEL003566
OG0001530	ASTEI20_037525, ASTEI20_040690	AAEL003605
OG0001531	ASTEI20_038377	AAEL011519, AAEL003633
OG0001532	ASTEI20_044665	AAEL003658
OG0001533	ASTEI20_038771	AAEL003750
OG0001534	ASTEI20_041581	AAEL003815
OG0001535	ASTEI20_037361	AAEL003824
OG0001536	ASTEI20_036452	AAEL023486, AAEL003835
OG0001537	ASTEI20_036174	AAEL003953
OG0001538	ASTEI20_046094	AAEL004010
OG0001539	ASTEI20_038598	AAEL004059
OG0001540	ASTEI20_031999	AAEL004119
OG0001541	ASTEI20_034930	AAEL004142
OG0001542	ASTEI20_044457	AAEL004155
OG0001543	ASTEI20_040231	AAEL004235
OG0001544	ASTEI20_045418, ASTEI20_038397	AAEL004281, AAEL004273
OG0001545	ASTEI20_045019, ASTEI20_044263	AAEL004295
OG0001546	ASTEI20_045940, ASTEI20_035292	AAEL004344
OG0001547	ASTEI20_033081, ASTEI20_043265, ASTEI20_039105	AAEL004405
OG0001548	ASTEI20_041000, ASTEI20_035398, ASTEI20_035930	AAEL004415
OG0001549	ASTEI20_038170	AAEL004456
OG0001550	ASTEI20_031586	AAEL004478
OG0001551	ASTEI20_031517	AAEL004495
OG0001552	ASTEI20_037960	AAEL004653
OG0001553	ASTEI20_031337	AAEL004661
OG0001554	ASTEI20_041831	AAEL004702
OG0001555	ASTEI20_038997	AAEL022153, AAEL024364, AAEL004750
OG0001556	ASTEI20_038092	AAEL004768
OG0001557	ASTEI20_043337, ASTEI20_034214	AAEL004791
OG0001558	ASTEI20_034968, ASTEI20_044765	AAEL004799
OG0001559	ASTEI20_036676	AAEL025388, AAEL004823
OG0001560	ASTEI20_034699	AAEL004964
OG0001561	ASTEI20_039849	AAEL004967
OG0001563	ASTEI20_035345	AAEL005195
OG0001564	ASTEI20_032669	AAEL005206
OG0001565	ASTEI20_035143	AAEL005247
OG0001566	ASTEI20_038150	AAEL005255
OG0001567	ASTEI20_043052	AAEL021152, AAEL023206, AAEL005287, AAEL013691, AAEL008094
OG0001568	ASTEI20_041179, ASTEI20_031271	AAEL005350, AAEL007999, AAEL007998
OG0001569	ASTEI20_032660	AAEL005414
OG0001570	ASTEI20_033344	AAEL005419
OG0001571	ASTEI20_030967	AAEL028201, AAEL021183, AAEL005433
OG0001572	ASTEI20_037744	AAEL026733, AAEL005438, AAEL022095
OG0001573	ASTEI20_037253	AAEL005476
OG0001574	ASTEI20_040548	AAEL005485
OG0001575	ASTEI20_037790	AAEL024254, AAEL005525, AAEL005526
OG0001576	ASTEI20_043512	AAEL026634, AAEL005528
OG0001577	ASTEI20_039632	AAEL012528, AAEL005536
OG0001578	ASTEI20_043994	AAEL005631
OG0001579	ASTEI20_035048	AAEL005767
OG0001580	ASTEI20_043521	AAEL005808
OG0001581	ASTEI20_042471, ASTEI20_041650	AAEL005842, AAEL022335
OG0001582	ASTEI20_031452	AAEL021854, AAEL026114, AAEL005843
OG0001583	ASTEI20_041262, ASTEI20_039932	AAEL005846
OG0001584	ASTEI20_035912	AAEL021191, AAEL005866
OG0001585	ASTEI20_044441	AAEL020020, AAEL005893
OG0001586	ASTEI20_037119	AAEL005905
OG0001587	ASTEI20_042774	AAEL020376, AAEL005950
OG0001588	ASTEI20_036765	AAEL005952
OG0001589	ASTEI20_037340	AAEL005962
OG0001590	ASTEI20_041576	AAEL005970
OG0001591	ASTEI20_036076	AAEL006034, AAEL025718
OG0001592	ASTEI20_035700	AAEL006164, AAEL009201
OG0001593	ASTEI20_040618, ASTEI20_043827	AAEL006174
OG0001594	ASTEI20_042979, ASTEI20_031010	AAEL006181
OG0001595	ASTEI20_033584	AAEL006205
OG0001596	ASTEI20_034342, ASTEI20_039302	AAEL020128, AAEL006216
OG0001597	ASTEI20_044865	AAEL006348, AAEL006326
OG0001598	ASTEI20_038933	AAEL006340
OG0001599	ASTEI20_031179	AAEL006343, AAEL025287
OG0001600	ASTEI20_031432	AAEL006367
OG0001601	ASTEI20_042412	AAEL006389
OG0001602	ASTEI20_043804	AAEL007284, AAEL006440
OG0001603	ASTEI20_032821	AAEL022222, AAEL023228, AAEL006445
OG0001604	ASTEI20_038041	AAEL006548, AAEL006556
OG0001605	ASTEI20_041888	AAEL021322, AAEL024679, AAEL006553
OG0001606	ASTEI20_032912	AAEL027492, AAEL006659
OG0001607	ASTEI20_035159, ASTEI20_034709	AAEL020946, AAEL006687
OG0001608	ASTEI20_034840, ASTEI20_044016, ASTEI20_033544	AAEL006688
OG0001609	ASTEI20_045180, ASTEI20_036423, ASTEI20_030959	AAEL006697
OG0001610	ASTEI20_044216	AAEL006718
OG0001611	ASTEI20_036341	AAEL026097, AAEL006732
OG0001612	ASTEI20_035322	AAEL006772, AAEL024260
OG0001613	ASTEI20_045820	AAEL006774
OG0001614	ASTEI20_036771, ASTEI20_031787	AAEL006790
OG0001615	ASTEI20_034149	AAEL006839
OG0001616	ASTEI20_044333	AAEL020314, AAEL006854
OG0001617	ASTEI20_031280	AAEL006859, AAEL014276
OG0001618	ASTEI20_040544	AAEL006919
OG0001619	ASTEI20_039287	AAEL006987, AAEL006990
OG0001620	ASTEI20_038003	AAEL021420, AAEL006998, AAEL028089
OG0001621	ASTEI20_038407	AAEL025660, AAEL007001
OG0001622	ASTEI20_043214	AAEL007049
OG0001623	ASTEI20_035190	AAEL020187, AAEL007078
OG0001624	ASTEI20_032688	AAEL007278, AAEL022274
OG0001625	ASTEI20_030847	AAEL007285
OG0001626	ASTEI20_044126	AAEL007349
OG0001627	ASTEI20_042318	AAEL010393, AAEL007385
OG0001628	ASTEI20_031835	AAEL007409
OG0001629	ASTEI20_043931	AAEL007473
OG0001630	ASTEI20_034772	AAEL007476
OG0001631	ASTEI20_032115, ASTEI20_045953	AAEL025261, AAEL007492
OG0001632	ASTEI20_039039	AAEL007505
OG0001633	ASTEI20_035631	AAEL007568
OG0001634	ASTEI20_044402	AAEL026096, AAEL007708
OG0001635	ASTEI20_043048	AAEL007805
OG0001636	ASTEI20_034133	AAEL007814, AAEL021591
OG0001637	ASTEI20_040201, ASTEI20_041719	AAEL007823
OG0001638	ASTEI20_031809	AAEL007902
OG0001639	ASTEI20_042777	AAEL007959
OG0001640	ASTEI20_038098	AAEL007979
OG0001641	ASTEI20_043874, ASTEI20_039789	AAEL007987, AAEL025151
OG0001642	ASTEI20_045363, ASTEI20_033668	AAEL007996
OG0001643	ASTEI20_036233	AAEL008010, AAEL025987
OG0001644	ASTEI20_033213	AAEL008041
OG0001645	ASTEI20_040194	AAEL023409, AAEL008046
OG0001647	ASTEI20_040122	AAEL008154
OG0001648	ASTEI20_033676	AAEL008188
OG0001649	ASTEI20_043102	AAEL008219
OG0001650	ASTEI20_041065	AAEL008403
OG0001651	ASTEI20_038643	AAEL012845, AAEL008412
OG0001652	ASTEI20_041725	AAEL021627, AAEL008416, AAEL022499, AAEL023848
OG0001653	ASTEI20_040657	AAEL008450
OG0001654	ASTEI20_038658, ASTEI20_041708, ASTEI20_035258	AAEL008459
OG0001655	ASTEI20_032458, ASTEI20_033526	AAEL008463
OG0001656	ASTEI20_040616	AAEL008592
OG0001657	ASTEI20_034754	AAEL008596
OG0001658	ASTEI20_040368	AAEL008700
OG0001659	ASTEI20_043475	AAEL008738
OG0001660	ASTEI20_040536, ASTEI20_045282	AAEL008826
OG0001661	ASTEI20_044485	AAEL023781, AAEL008842
OG0001662	ASTEI20_042004	AAEL008849
OG0001663	ASTEI20_030908	AAEL008865
OG0001664	ASTEI20_039495	AAEL008941
OG0001665	ASTEI20_045308	AAEL008942
OG0001666	ASTEI20_037901	AAEL026683, AAEL008956
OG0001667	ASTEI20_032747	AAEL008960
OG0001668	ASTEI20_038978	AAEL009097
OG0001669	ASTEI20_044434	AAEL009183, AAEL027505
OG0001670	ASTEI20_042847	AAEL009196
OG0001671	ASTEI20_040484	AAEL009265
OG0001672	ASTEI20_032892, ASTEI20_031649	AAEL009298
OG0001673	ASTEI20_040460	AAEL009307
OG0001674	ASTEI20_034604, ASTEI20_043556	AAEL009351, AAEL021624
OG0001675	ASTEI20_044370, ASTEI20_040187	AAEL009356, AAEL024601
OG0001676	ASTEI20_040785	AAEL009364
OG0001677	ASTEI20_039678	AAEL009438
OG0001678	ASTEI20_034278	AAEL009471, AAEL009458
OG0001679	ASTEI20_034213	AAEL009466
OG0001680	ASTEI20_043783	AAEL023741, AAEL009469
OG0001681	ASTEI20_034194	AAEL009503, AAEL020495
OG0001682	ASTEI20_040807	AAEL009588
OG0001683	ASTEI20_044784	AAEL009634
OG0001684	ASTEI20_033861	AAEL009637
OG0001685	ASTEI20_032996	AAEL026149
OG0001686	ASTEI20_031720	AAEL025383, AAEL009701
OG0001687	ASTEI20_039948	AAEL009757, AAEL009751
OG0001688	ASTEI20_033197	AAEL009753
OG0001689	ASTEI20_033480	AAEL009763
OG0001690	ASTEI20_040662	AAEL009779
OG0001692	ASTEI20_042850	AAEL028144, AAEL009872
OG0001693	ASTEI20_033868	AAEL009894, AAEL012911
OG0001694	ASTEI20_030880	AAEL009950
OG0001695	ASTEI20_039885	AAEL010008, AAEL026984
OG0001696	ASTEI20_035894, ASTEI20_041382	AAEL010062
OG0001697	ASTEI20_039674	AAEL010090
OG0001698	ASTEI20_034312	AAEL011805, AAEL010110
OG0001699	ASTEI20_035910	AAEL021547, AAEL024827, AAEL010226
OG0001700	ASTEI20_034640	AAEL010260
OG0001701	ASTEI20_043240	AAEL010266
OG0001702	ASTEI20_044318	AAEL010283
OG0001704	ASTEI20_035409	AAEL010311
OG0001705	ASTEI20_034803	AAEL010354
OG0001706	ASTEI20_031185	AAEL010355
OG0001707	ASTEI20_034193	AAEL010390, AAEL010381
OG0001708	ASTEI20_032726	AAEL010389
OG0001709	ASTEI20_031168	AAEL010422
OG0001710	ASTEI20_044040	AAEL021184, AAEL010511
OG0001711	ASTEI20_043482	AAEL010568
OG0001712	ASTEI20_044747	AAEL010571, AAEL026067
OG0001713	ASTEI20_043609	AAEL010593
OG0001714	ASTEI20_035959	AAEL010742, AAEL024119
OG0001715	ASTEI20_031480	AAEL010757
OG0001716	ASTEI20_038842	AAEL010771
OG0001717	ASTEI20_037507	AAEL010778
OG0001718	ASTEI20_038625	AAEL010827
OG0001719	ASTEI20_036464	AAEL010855
OG0001720	ASTEI20_041287	AAEL021416, AAEL011123
OG0001721	ASTEI20_042411	AAEL024207, AAEL011124
OG0001722	ASTEI20_032535, ASTEI20_041731	AAEL011157
OG0001723	ASTEI20_031843, ASTEI20_040841, ASTEI20_031160	AAEL011159
OG0001724	ASTEI20_036983	AAEL011271
OG0001725	ASTEI20_041120, ASTEI20_042746	AAEL011345
OG0001726	ASTEI20_040981	AAEL011349
OG0001727	ASTEI20_039043, ASTEI20_036302	AAEL011379
OG0001728	ASTEI20_033338	AAEL011382
OG0001729	ASTEI20_032573	AAEL011411, AAEL012903
OG0001730	ASTEI20_046147	AAEL011436
OG0001731	ASTEI20_043032	AAEL011500
OG0001732	ASTEI20_038824	AAEL011560
OG0001733	ASTEI20_045861	AAEL011562
OG0001734	ASTEI20_034717	AAEL011566
OG0001735	ASTEI20_043192	AAEL011690, AAEL011691
OG0001736	ASTEI20_042485	AAEL011697
OG0001737	ASTEI20_040207	AAEL025949, AAEL021786, AAEL011731
OG0001738	ASTEI20_045717	AAEL011751, AAEL023265
OG0001739	ASTEI20_033145	AAEL011754, AAEL023977
OG0001740	ASTEI20_032194	AAEL011768, AAEL011771
OG0001741	ASTEI20_032063, ASTEI20_041681	AAEL011808, AAEL027830
OG0001742	ASTEI20_033660	AAEL011850
OG0001743	ASTEI20_032035, ASTEI20_038238	AAEL011989
OG0001744	ASTEI20_031801, ASTEI20_031467	AAEL011991
OG0001745	ASTEI20_043866, ASTEI20_032094	AAEL011993
OG0001746	ASTEI20_045808, ASTEI20_037204	AAEL011996
OG0001747	ASTEI20_031995	AAEL012016
OG0001748	ASTEI20_040333	AAEL027882, AAEL012059
OG0001749	ASTEI20_032529	AAEL021939, AAEL012178
OG0001750	ASTEI20_042506	AAEL012233
OG0001751	ASTEI20_043046, ASTEI20_037157	AAEL012324
OG0001752	ASTEI20_037540, ASTEI20_044241	AAEL022520, AAEL012341
OG0001753	ASTEI20_033934	AAEL012410
OG0001754	ASTEI20_043771	AAEL012501
OG0001755	ASTEI20_036243	AAEL012525
OG0001756	ASTEI20_032384	AAEL012539
OG0001757	ASTEI20_039607, ASTEI20_031747	AAEL012552
OG0001758	ASTEI20_043429	AAEL021254, AAEL012585
OG0001759	ASTEI20_036159, ASTEI20_036150	AAEL012671
OG0001760	ASTEI20_041913	AAEL012710, AAEL012715
OG0001761	ASTEI20_041466	AAEL012711, AAEL012713, AAEL026876
OG0001762	ASTEI20_035407	AAEL012717
OG0001763	ASTEI20_035419, ASTEI20_034875	AAEL012731
OG0001764	ASTEI20_041129	AAEL012751
OG0001765	ASTEI20_043912	AAEL012756
OG0001766	ASTEI20_042139	AAEL018249, AAEL012783
OG0001767	ASTEI20_030990	AAEL012822
OG0001768	ASTEI20_041744	AAEL012823
OG0001769	ASTEI20_040757	AAEL012826
OG0001771	ASTEI20_031072	AAEL013151
OG0001772	ASTEI20_035647	AAEL013157, AAEL013152
OG0001773	ASTEI20_037349, ASTEI20_038577	AAEL013197
OG0001774	ASTEI20_034613, ASTEI20_040447	AAEL026895, AAEL013199
OG0001775	ASTEI20_033886	AAEL013253
OG0001776	ASTEI20_040153, ASTEI20_041357	AAEL013278
OG0001777	ASTEI20_045676	AAEL013366
OG0001778	ASTEI20_044516	AAEL013424
OG0001779	ASTEI20_040038, ASTEI20_033471	AAEL013478
OG0001780	ASTEI20_035209, ASTEI20_033533	AAEL013479
OG0001781	ASTEI20_033007, ASTEI20_039908	AAEL013527
OG0001782	ASTEI20_045598	AAEL013613
OG0001783	ASTEI20_033681	AAEL013724
OG0001784	ASTEI20_036964	AAEL013744
OG0001785	ASTEI20_030933	AAEL013758
OG0001786	ASTEI20_045923	AAEL013776
OG0001787	ASTEI20_037413, ASTEI20_040924	AAEL013814
OG0001788	ASTEI20_032268, ASTEI20_031441	AAEL013872
OG0001789	ASTEI20_040809, ASTEI20_042407	AAEL013875
OG0001790	ASTEI20_033967	AAEL013883
OG0001791	ASTEI20_031834	AAEL013962
OG0001792	ASTEI20_032082	AAEL020316, AAEL013974
OG0001793	ASTEI20_036230	AAEL028215, AAEL013994
OG0001794	ASTEI20_042088	AAEL013998, AAEL027973
OG0001795	ASTEI20_038575	AAEL014009
OG0001796	ASTEI20_042488, ASTEI20_033782	AAEL014022
OG0001797	ASTEI20_039382, ASTEI20_042133	AAEL014027
OG0001798	ASTEI20_039834, ASTEI20_037577	AAEL014054, AAEL025786
OG0001799	ASTEI20_042574	AAEL014059
OG0001800	ASTEI20_041925	AAEL025776, AAEL014216
OG0001801	ASTEI20_032249, ASTEI20_044419	AAEL014246, AAEL014244
OG0001802	ASTEI20_039123	AAEL014271
OG0001803	ASTEI20_031046	AAEL014272
OG0001804	ASTEI20_032019	AAEL014284
OG0001805	ASTEI20_041337	AAEL014303
OG0001806	ASTEI20_030899	AAEL024066, AAEL014318
OG0001807	ASTEI20_030854	AAEL014326
OG0001808	ASTEI20_040564	AAEL014340
OG0001809	ASTEI20_035245	AAEL014348
OG0001810	ASTEI20_034003	AAEL014349
OG0001811	ASTEI20_042652	AAEL014435
OG0001812	ASTEI20_033856	AAEL014505
OG0001813	ASTEI20_044757, ASTEI20_035110	AAEL014577
OG0001814	ASTEI20_035510, ASTEI20_042165	AAEL014578, AAEL023117
OG0001815	ASTEI20_034099	AAEL014653
OG0001816	ASTEI20_031736	AAEL014774
OG0001817	ASTEI20_041523	AAEL014824
OG0001818	ASTEI20_042705	AAEL014851
OG0001819	ASTEI20_046034	AAEL024910, AAEL014853
OG0001820	ASTEI20_033501	AAEL014863
OG0001821	ASTEI20_040854	AAEL015118
OG0001822	ASTEI20_036744	AAEL015255
OG0001823	ASTEI20_032997	AAEL020424, AAEL015402
OG0001824	ASTEI20_045455	AAEL015557
OG0001825	ASTEI20_039143	AAEL015640
OG0001826	ASTEI20_035827	AAEL017327, AAEL017097, AAEL017230
OG0001827	ASTEI20_045866	AAEL017167
OG0001828	ASTEI20_037985	AAEL023345, AAEL017186
OG0001829	ASTEI20_046038	AAEL017251
OG0001830	ASTEI20_041299	AAEL017356
OG0001831	ASTEI20_041187	AAEL017391
OG0001832	ASTEI20_040160, ASTEI20_032039	AAEL017512
OG0001833	ASTEI20_031708	AAEL018103, AAEL026175
OG0001834	ASTEI20_037485	AAEL018114
OG0001835	ASTEI20_036403	AAEL018141
OG0001836	ASTEI20_042347	AAEL024668, AAEL018183
OG0001837	ASTEI20_033220	AAEL018215
OG0001838	ASTEI20_032676	AAEL018227
OG0001839	ASTEI20_038069	AAEL018232
OG0001840	ASTEI20_035424	AAEL018263
OG0001841	ASTEI20_043914	AAEL018302
OG0001842	ASTEI20_045526	AAEL018310
OG0001843	ASTEI20_031750	AAEL018324
OG0001844	ASTEI20_044431	AAEL019406
OG0001845	ASTEI20_037816	AAEL023349, AAEL019418
OG0001846	ASTEI20_038890	AAEL019420, AAEL019419
OG0001848	ASTEI20_031988	AAEL019425
OG0001849	ASTEI20_030903	AAEL019457
OG0001850	ASTEI20_031794	AAEL019467
OG0001851	ASTEI20_041258	AAEL019491
OG0001852	ASTEI20_036534	AAEL019502
OG0001853	ASTEI20_037869	AAEL019515, AAEL021312
OG0001854	ASTEI20_034268, ASTEI20_037029	AAEL019543
OG0001855	ASTEI20_036388	AAEL019551
OG0001856	ASTEI20_040542	AAEL019553
OG0001857	ASTEI20_035922	AAEL019566
OG0001858	ASTEI20_042276	AAEL027018, AAEL019593
OG0001859	ASTEI20_031681	AAEL019600, AAEL022282, AAEL023044
OG0001860	ASTEI20_039863, ASTEI20_046134	AAEL019610
OG0001861	ASTEI20_038042	AAEL019617
OG0001862	ASTEI20_037651, ASTEI20_044537	AAEL025304, AAEL019619
OG0001863	ASTEI20_037372	AAEL019632
OG0001864	ASTEI20_044602	AAEL019640
OG0001865	ASTEI20_043097	AAEL019656
OG0001866	ASTEI20_037390	AAEL019671
OG0001867	ASTEI20_042987	AAEL019680
OG0001868	ASTEI20_038241	AAEL019686
OG0001869	ASTEI20_037491	AAEL019704
OG0001870	ASTEI20_034082	AAEL019721, AAEL021660
OG0001871	ASTEI20_042752	AAEL019723
OG0001872	ASTEI20_038278	AAEL027062, AAEL019734
OG0001873	ASTEI20_038024, ASTEI20_038582	AAEL019738, AAEL022521
OG0001874	ASTEI20_041695	AAEL019743
OG0001876	ASTEI20_044603	AAEL019779
OG0001877	ASTEI20_036784	AAEL019784
OG0001878	ASTEI20_033787	AAEL019813
OG0001879	ASTEI20_032455	AAEL019816
OG0001880	ASTEI20_042614	AAEL019872
OG0001881	ASTEI20_038226	AAEL019888
OG0001882	ASTEI20_042291, ASTEI20_040087	AAEL019914
OG0001883	ASTEI20_032672	AAEL019934
OG0001884	ASTEI20_036565	AAEL019942, AAEL019943
OG0001885	ASTEI20_036144	AAEL020938, AAEL019995
OG0001886	ASTEI20_044448	AAEL020006
OG0001887	ASTEI20_032333	AAEL020075
OG0001889	ASTEI20_031789	AAEL020236
OG0001890	ASTEI20_038678	AAEL020259
OG0001891	ASTEI20_043144	AAEL020367, AAEL027037
OG0001892	ASTEI20_039023	AAEL020427
OG0001893	ASTEI20_042354	AAEL020670, AAEL026210
OG0001894	ASTEI20_039276	AAEL020781, AAEL024786, AAEL024800
OG0001895	ASTEI20_034192	AAEL024451, AAEL020804
OG0001896	ASTEI20_039087	AAEL020847
OG0001897	ASTEI20_038612	AAEL021006
OG0001898	ASTEI20_039514	AAEL021019
OG0001899	ASTEI20_037992, ASTEI20_041200	AAEL021029
OG0001901	ASTEI20_033230	AAEL022782, AAEL021202
OG0001902	ASTEI20_033748, ASTEI20_034244	AAEL021288
OG0001903	ASTEI20_037682	AAEL026413, AAEL021321, AAEL022776
OG0001905	ASTEI20_039676, ASTEI20_039442	AAEL021386
OG0001906	ASTEI20_043599	AAEL021402, AAEL024170, AAEL025488
OG0001907	ASTEI20_039981	AAEL021419
OG0001908	ASTEI20_034931, ASTEI20_045139	AAEL026022, AAEL021519
OG0001909	ASTEI20_034649	AAEL021548
OG0001910	ASTEI20_035560	AAEL021574
OG0001912	ASTEI20_038308	AAEL021655, AAEL023077
OG0001913	ASTEI20_045888	AAEL021676
OG0001914	ASTEI20_033192	AAEL021748
OG0001915	ASTEI20_032137	AAEL024321, AAEL022608, AAEL021767
OG0001916	ASTEI20_036547	AAEL021771
OG0001917	ASTEI20_033135	AAEL021925
OG0001918	ASTEI20_039850	AAEL021955, AAEL028133
OG0001919	ASTEI20_032506, ASTEI20_034145	AAEL022200
OG0001920	ASTEI20_032952, ASTEI20_035955	AAEL022248
OG0001922	ASTEI20_041614	AAEL022351
OG0001923	ASTEI20_042360, ASTEI20_043663	AAEL022431
OG0001924	ASTEI20_044885	AAEL022611
OG0001925	ASTEI20_045408	AAEL022632, AAEL023223
OG0001926	ASTEI20_044355	AAEL022657, AAEL026213
OG0001927	ASTEI20_036613, ASTEI20_034791	AAEL022658
OG0001928	ASTEI20_037817	AAEL026719, AAEL022716
OG0001929	ASTEI20_045832	AAEL022855
OG0001930	ASTEI20_037415, ASTEI20_043375	AAEL022893, AAEL025265
OG0001931	ASTEI20_037972	AAEL024358, AAEL022938
OG0001933	ASTEI20_042626	AAEL024674, AAEL023115
OG0001934	ASTEI20_032057	AAEL023151
OG0001935	ASTEI20_038257	AAEL023352
OG0001937	ASTEI20_031233	AAEL023471
OG0001938	ASTEI20_043302	AAEL023498, AAEL027331
OG0001939	ASTEI20_042844	AAEL023502, AAEL025398
OG0001940	ASTEI20_036625	AAEL023745
OG0001941	ASTEI20_037166	AAEL023750, AAEL026150, AAEL024982
OG0001942	ASTEI20_041905	AAEL023810
OG0001943	ASTEI20_034028, ASTEI20_045234	AAEL026260, AAEL023943
OG0001944	ASTEI20_031703, ASTEI20_035250	AAEL023989
OG0001945	ASTEI20_035291	AAEL024005
OG0001946	ASTEI20_034942	AAEL027002, AAEL024101
OG0001948	ASTEI20_042689	AAEL024258
OG0001949	ASTEI20_045917	AAEL024480
OG0001950	ASTEI20_036486	AAEL024598
OG0001951	ASTEI20_042361	AAEL025046, AAEL024618
OG0001952	ASTEI20_033277, ASTEI20_045218	AAEL024623
OG0001953	ASTEI20_043565, ASTEI20_045155, ASTEI20_035295	AAEL024710
OG0001954	ASTEI20_035344	AAEL024713
OG0001955	ASTEI20_042105	AAEL024788
OG0001956	ASTEI20_044647	AAEL025473, AAEL025076
OG0001957	ASTEI20_032903	AAEL025133, AAEL026994
OG0001958	ASTEI20_041677	AAEL025230
OG0001959	ASTEI20_043534	AAEL025353
OG0001960	ASTEI20_037795	AAEL025443
