Orthogroup	Aalbopictus_AalbF5	AdirusWRAIR2
OG0000954	LOC109398396	ADIR001308
OG0000955	LOC109419793, LOC109425332, LOC109419787, LOC115259537	ADIR010464
OG0000956	LOC109401226, LOC109621887	ADIR014508, ADIR007056
OG0000957	LOC115267122, LOC109410200	ADIR015908
OG0000958	LOC109416544	ADIR004809, ADIR003923, ADIR004810
OG0000959	LOC109419225	ADIR005324, ADIR005326
OG0000960	LOC109419243	ADIR008258, ADIR008256, ADIR010734
OG0000961	LOC109414235	ADIR007697
OG0000962	LOC109430338, LOC134286626	ADIR008280
OG0000963	LOC109399713	ADIR002688, ADIR002686
OG0000964	LOC109399631	ADIR000239
OG0000965	LOC115270143, LOC134285661	ADIR008783
OG0000967	LOC109406478	ADIR015702
OG0000968	LOC109431125	ADIR001057
OG0000969	LOC134285741, LOC115260841, LOC115261960, LOC134288856, LOC109416926	ADIR009225
OG0000970	LOC134284886, LOC134284891	ADIR016117, ADIR002256, ADIR000903
OG0000972	LOC109428891, LOC109397524, LOC115258581	ADIR006278
OG0000973	LOC109400410, LOC134283973	ADIR006725, ADIR006726
OG0000974	LOC109429695	ADIR006144
OG0000975	LOC109420491, LOC109402579, LOC109402586	ADIR007520
OG0000976	LOC109409684	ADIR007778, ADIR007776
OG0000977	LOC109419129	ADIR010731
OG0000978	LOC115255109	ADIR008533, ADIR008532
OG0000979	LOC109408318	ADIR011494
OG0000980	LOC109431120	ADIR001163
OG0000982	LOC109422812	ADIR000845
OG0000982	LOC134285200	ADIR000844
OG0000983	LOC115257625	ADIR005364
OG0000984	LOC109621675	ADIR007396, ADIR007394
OG0000986	LOC109405691, LOC109399915, LOC109405647	ADIR005647
OG0000987	LOC109411688	ADIR006032
OG0000988	LOC109398322, LOC109398331, LOC109398282	ADIR005981
OG0000989	LOC109418806	ADIR005738
OG0000990	LOC109411712	ADIR006013
OG0000991	LOC109424680	ADIR000231
OG0000992	LOC109431737, LOC109424145	ADIR007862
OG0000993	LOC115261560	ADIR009921
OG0000994	LOC109413053	ADIR007809
OG0000995	LOC109397902	ADIR000369
OG0000996	LOC109407247	ADIR005123
OG0000997	LOC115254240	ADIR003631, ADIR003633
OG0000998	LOC109403247, LOC109425394	ADIR005445
OG0000999	LOC115267533	ADIR001743, ADIR001742
OG0001000	LOC109410626	ADIR002180
OG0001001	LOC109410638, LOC109433503	ADIR006808, ADIR006820
OG0001002	LOC109420451, LOC109411748	ADIR005976
OG0001003	LOC115255731, LOC109401885	ADIR014477
OG0001004	LOC109431947	ADIR008236
OG0001005	LOC109402076	ADIR000854, ADIR001632
OG0001006	LOC109427352, LOC109427351	ADIR000927
OG0001007	LOC109398853	ADIR010950, ADIR014008
OG0001008	LOC109431053	ADIR001703
OG0001009	LOC109427406, LOC109410125	ADIR000803
OG0001010	LOC109428446	ADIR004598
OG0001011	LOC109425486, LOC109399007	ADIR006614, ADIR006612
OG0001012	LOC109421550	ADIR016071
OG0001013	LOC109405326, LOC134284674	ADIR004335
OG0001014	LOC109403563	ADIR004702
OG0001015	LOC109426817	ADIR008745, ADIR008743
OG0001016	LOC109423112, LOC109419080	ADIR008409
OG0001017	LOC109406871, LOC134284967	ADIR000881, ADIR000880
OG0001018	LOC109432961	ADIR001455, ADIR001457
OG0001019	LOC109431255	ADIR000054
OG0001020	LOC109422119	ADIR000801, ADIR007840
OG0001021	LOC109419157, LOC109427981	ADIR014264, ADIR003123
OG0001022	LOC134287968, LOC134287970	ADIR003465
OG0001024	LOC115255616, LOC115256844	ADIR006784
OG0001025	LOC109422710	ADIR002535
OG0001026	LOC109407505	ADIR000853
OG0001027	LOC115262720	ADIR001858
OG0001028	LOC109398974, LOC115258403	ADIR006619
OG0001029	LOC115256872, LOC109422006	ADIR000848
OG0001030	LOC109422466	ADIR003731, ADIR003732, ADIR003730
OG0001031	LOC109410546	ADIR000134
OG0001032	LOC109426306, LOC109411963	ADIR014167
OG0001033	LOC109424634	ADIR000254
OG0001034	LOC109405749	ADIR002817
OG0001036	LOC115254170	ADIR006092
OG0001037	LOC109409116	ADIR011043
OG0001038	LOC109402168	ADIR002831, ADIR002830
OG0001039	LOC109419299	ADIR015683
OG0001040	LOC109431811	ADIR000588
OG0001041	LOC134287945, LOC109398433	ADIR003293
OG0001042	LOC109406257	ADIR009987
OG0001043	LOC109430472	ADIR015783, ADIR015785
OG0001044	LOC109426969	ADIR008101
OG0001045	LOC109416816, LOC109398231	ADIR001033
OG0001046	LOC109412738	ADIR004445
OG0001047	LOC109419295	ADIR010119
OG0001048	LOC109424711, LOC134291622	ADIR002284
OG0001049	LOC109401184	ADIR011557, ADIR011559, ADIR011555
OG0001050	LOC109431503, LOC109431497	ADIR003667
OG0001051	LOC134285936, LOC109417138, LOC115258522, LOC109417139, LOC115258481	ADIR004862
OG0001052	LOC109402125, LOC109426304, LOC109414782	ADIR000902
OG0001053	LOC134289431	ADIR010224, ADIR010223
OG0001054	LOC109431822	ADIR000584, ADIR000583
OG0001055	LOC134284918, LOC109397852	ADIR001133
OG0001056	LOC109415291	ADIR001338
OG0001056	LOC109424859	ADIR010392
OG0001057	LOC115267651, LOC109430321	ADIR003270
OG0001058	LOC109413676, LOC109413675	ADIR008480
OG0001059	LOC109397930, LOC109397925, LOC109622058	ADIR003144
OG0001060	LOC109423623	ADIR003285
OG0001061	LOC134286357, LOC109411791	ADIR006769, ADIR006771
OG0001062	LOC109432868	ADIR011069
OG0001063	LOC109427199	ADIR001952, ADIR001951, ADIR008490
OG0001064	LOC109406424	ADIR007468
OG0001065	LOC109415434	ADIR001052
OG0001066	LOC134285574	ADIR003489
OG0001067	LOC109398937	ADIR015687
OG0001068	LOC109415536	ADIR006585
OG0001069	LOC115269359	ADIR005552, ADIR005553
OG0001071	LOC109621286, LOC109415957	ADIR000099
OG0001072	LOC115255409	ADIR010879
OG0001072	LOC134288767	ADIR010878
OG0001073	LOC109428467	ADIR000793, ADIR000792
OG0001074	LOC109397885	ADIR003601
OG0001075	LOC134291882	ADIR010243
OG0001075	LOC109622353	ADIR010244
OG0001076	LOC109431918	ADIR003010, ADIR003009, ADIR003011
OG0001077	LOC109424682, LOC134284300	ADIR000549, ADIR000548
OG0001078	LOC109420654	ADIR008525
OG0001079	LOC109414963	ADIR001601
OG0001079	LOC109415153	ADIR001598
OG0001080	LOC109405099	ADIR001755, ADIR001756
OG0001081	LOC109404941, LOC134286822	ADIR016110
OG0001082	LOC109406965	ADIR001136
OG0001083	LOC109409390	ADIR000316, ADIR000313, ADIR000314
OG0001084	LOC115266894	ADIR000465, ADIR000462
OG0001085	LOC109424401	ADIR009755
OG0001086	LOC109414826	ADIR007956, ADIR007958
OG0001087	LOC109420026	ADIR011239
OG0001090	LOC109422192	ADIR016112
OG0001091	LOC109401617	ADIR011600
OG0001092	LOC134285075, LOC109409419	ADIR000886
OG0001095	LOC115254947	ADIR011362, ADIR011363
OG0001096	LOC115260715, LOC115267137	ADIR001194
OG0001097	LOC109409190	ADIR000620, ADIR000619
OG0001098	LOC109419910, LOC134287707	ADIR011117
OG0001101	LOC109410008	ADIR006978
OG0001102	LOC109403065	ADIR007415
OG0001103	LOC109427539	ADIR001516
OG0001104	LOC115260266	ADIR003543, ADIR003544
OG0001105	LOC109405833	ADIR003122, ADIR003125
OG0001106	LOC109400621	ADIR008243
OG0001107	LOC109433280	ADIR010275, ADIR010276
OG0001109	LOC109432525	ADIR011046, ADIR011047
OG0001110	LOC134286761, LOC109403813	ADIR011524, ADIR011523
OG0001111	LOC109431650	ADIR008652, ADIR008653
OG0001112	LOC109422256	ADIR000342
OG0001113	LOC109415821	ADIR003815, ADIR003816
OG0001115	LOC109404189	ADIR008453, ADIR008454, ADIR008455, ADIR008452
OG0001123	LOC134284832, LOC134286670	ADIR004214
OG0001138	LOC109420901, LOC109425977	ADIR015796
OG0001140	LOC109400141, LOC109400144	ADIR008333
OG0001141	LOC109400108, LOC115254309, LOC109400127	ADIR006642
OG0001142	LOC109430404	ADIR000264
OG0001143	LOC109405767	ADIR011585
OG0001144	LOC115254213, LOC109417979, LOC109398203	ADIR011534
OG0001145	LOC109424932	ADIR001204
OG0001146	LOC109424953, LOC115256337	ADIR001207
OG0001147	LOC134288547, LOC109416473	ADIR006905
OG0001148	LOC109401796, LOC115257064	ADIR002497
OG0001149	LOC109433434	ADIR002811
OG0001149	LOC115261300	ADIR002813
OG0001150	LOC115267983	ADIR002149, ADIR002152
OG0001151	LOC109415097, LOC109408543	ADIR015610
OG0001152	LOC109429914	ADIR005906
OG0001153	LOC109408999, LOC109426467	ADIR001812
OG0001154	LOC115253958	ADIR000110
OG0001155	LOC109408988	ADIR001810
OG0001158	LOC109411232	ADIR002749, ADIR002748, ADIR002747
OG0001159	LOC109406167	ADIR008577, ADIR008574
OG0001160	LOC109422898	ADIR004649, ADIR004648
OG0001162	LOC109429639	ADIR006106
OG0001163	LOC109408144	ADIR000745
OG0001164	LOC109426660, LOC115260748	ADIR003852
OG0001166	LOC134287911, LOC109433152	ADIR000707
OG0001167	LOC109427842	ADIR005033
OG0001168	LOC115254133, LOC115259941	ADIR000318
OG0001169	LOC109422497	ADIR006936, ADIR006934, ADIR006932
OG0001170	LOC109400599, LOC109404937	ADIR006896
OG0001171	LOC109398784	ADIR003508, ADIR003509
OG0001172	LOC109402238, LOC115267212	ADIR007432
OG0001173	LOC115254019, LOC109409323	ADIR004781, ADIR011680
OG0001174	LOC109423252	ADIR005525
OG0001175	LOC109430199	ADIR005518, ADIR005520
OG0001176	LOC109407838, LOC109406699	ADIR010247
OG0001178	LOC109398429, LOC109400389	ADIR001310
OG0001179	LOC109424163	ADIR004919
OG0001180	LOC109398296	ADIR005893, ADIR005894
OG0001181	LOC109431898	ADIR006427
OG0001182	LOC109404407	ADIR010320, ADIR010319
OG0001183	LOC115254245	ADIR002659, ADIR002660, ADIR002661
OG0001184	LOC115260379	ADIR002272
OG0001185	LOC109408324	ADIR002871, ADIR002875
OG0001186	LOC109399828, LOC109425278	ADIR003355, ADIR003357
OG0001187	LOC115268790, LOC115257806	ADIR002116
OG0001188	LOC109400071, LOC134285480	ADIR008274
OG0001189	LOC134285458, LOC109430336	ADIR010372
OG0001190	LOC109399858	ADIR001917
OG0001191	LOC109426877, LOC109623336	ADIR002062
OG0001192	LOC109404765	ADIR004747
OG0001193	LOC109622575, LOC134287488	ADIR007758
OG0001194	LOC109422324	ADIR009502
OG0001195	LOC109420175, LOC115265507, LOC115253931	ADIR002238, ADIR002237
OG0001196	LOC109402290	ADIR000104, ADIR000103
OG0001197	LOC109425930	ADIR000509, ADIR014042
OG0001198	LOC115257036, LOC115271087	ADIR015795
OG0001199	LOC109401821	ADIR004124, ADIR004125
OG0001200	LOC109429397, LOC109429398	ADIR009696
OG0001201	LOC109429413	ADIR010998
OG0001202	LOC109429357, LOC109399008	ADIR006605
OG0001203	LOC109402653, LOC134284821, LOC134284842, LOC134284829	ADIR000901
OG0001204	LOC109398994	ADIR006600, ADIR006601
OG0001205	LOC109423381, LOC109411733	ADIR005943, ADIR002650
OG0001206	LOC115266521, LOC109405943	ADIR008419, ADIR008421
OG0001207	LOC109400415, LOC134285561	ADIR006729
OG0001208	LOC109401631	ADIR005244
OG0001209	LOC109412137	ADIR006489, ADIR006490, ADIR006491
OG0001210	LOC109419765	ADIR010857
OG0001211	LOC109418670	ADIR000362
OG0001212	LOC109413525, LOC109404511	ADIR007240
OG0001213	LOC115265128	ADIR006921
OG0001214	LOC115267647, LOC109407286, LOC134285833	ADIR002594
OG0001215	LOC109402519	ADIR011161
OG0001218	LOC115264208, LOC109424846	ADIR009094
OG0001219	LOC109397997	ADIR003648, ADIR003646, ADIR003650
OG0001220	LOC109409965	ADIR007441, ADIR007442
OG0001221	LOC109424732, LOC115262659	ADIR009191
OG0001222	LOC109429370	ADIR000761
OG0001223	LOC109397896, LOC134284903	ADIR009783
OG0001224	LOC109419778	ADIR011191, ADIR011190
OG0001225	LOC109422806, LOC109422805	ADIR001304, ADIR001305
OG0001226	LOC109423007	ADIR005203, ADIR005204
OG0001227	LOC109398837	ADIR003525, ADIR003526
OG0001228	LOC109424084	ADIR015808, ADIR015807
OG0001229	LOC109432373	ADIR007543, ADIR007542
OG0001230	LOC109421195	ADIR005993
OG0001231	LOC134289400, LOC109421940	ADIR005270
OG0001232	LOC109425023	ADIR010389
OG0001234	LOC109411239	ADIR002742
OG0001235	LOC115260549	ADIR014492
OG0001235	LOC109429483	ADIR005830
OG0001236	LOC109425430	ADIR005345, ADIR005344
OG0001237	LOC109429816	ADIR006202, ADIR005912
OG0001239	LOC134285050, LOC109402083	ADIR000930
OG0001240	LOC109430111, LOC109430116, LOC109430112	ADIR006197
OG0001241	LOC134287589, LOC109409124	ADIR000616
OG0001242	LOC109409140, LOC109421534	ADIR011466
OG0001243	LOC109411872, LOC109412715	ADIR006747
OG0001244	LOC109407655	ADIR000431, ADIR000432
OG0001245	LOC109397845, LOC134284920	ADIR009021, ADIR001530
OG0001246	LOC115256389, LOC109422032	ADIR001004
OG0001247	LOC109401126	ADIR002558
OG0001248	LOC109411800, LOC134284657	ADIR005794
OG0001249	LOC109426998, LOC134289906	ADIR002698
OG0001251	LOC109433013	ADIR004493, ADIR009708
OG0001252	LOC109622518, LOC115265421	ADIR015902
OG0001253	LOC109424155	ADIR001985
OG0001254	LOC109428509, LOC115256602, LOC115256201	ADIR005793
OG0001255	LOC109406841	ADIR005120
OG0001256	LOC115267144	ADIR015837
OG0001257	LOC109421565	ADIR006367
OG0001257	LOC134287600	ADIR006368
OG0001258	LOC115268579, LOC109424235	ADIR004676
OG0001259	LOC109411315, LOC115256778	ADIR006801
OG0001260	LOC134287926	ADIR011473
OG0001261	LOC109429164	ADIR016175, ADIR016176
OG0001262	LOC134288991	ADIR004656
OG0001263	LOC109427473, LOC115253538	ADIR008279
OG0001264	LOC109623253, LOC134283943	ADIR000387
OG0001265	LOC109397730	ADIR000962, ADIR000961
OG0001266	LOC109397755	ADIR009136, ADIR009134
OG0001267	LOC115261027	ADIR011604, ADIR006203, ADIR006201
OG0001268	LOC109427980	ADIR009228
OG0001269	LOC134286042, LOC115265573	ADIR000599
OG0001270	LOC109397767, LOC109428788	ADIR009344
OG0001271	LOC115254229	ADIR009457
OG0001272	LOC115256865, LOC115256862	ADIR000718
OG0001273	LOC115259235, LOC109419784	ADIR004790
OG0001274	LOC109422727	ADIR015820, ADIR005661, ADIR015821
OG0001275	LOC134292068	ADIR009992
OG0001276	LOC109416267, LOC134287628, LOC109423903	ADIR009422
OG0001277	LOC115255477, LOC109416191, LOC109415073	ADIR004861
OG0001278	LOC109425769	ADIR010763
OG0001279	LOC109622238	ADIR004377, ADIR004376
OG0001280	LOC115268747, LOC109425210	ADIR003425
OG0001281	LOC109419875	ADIR006257, ADIR006258
OG0001282	LOC115267375, LOC109414779, LOC109403608, LOC134283976	ADIR002958
OG0001283	LOC109417628	ADIR003842
OG0001284	LOC109423481, LOC109432158	ADIR005884
OG0001285	LOC109431042	ADIR000345, ADIR000346
OG0001286	LOC134289703, LOC109431437	ADIR001192
OG0001287	LOC109623370, LOC109623392	ADIR002063
OG0001288	LOC109404970	ADIR003383
OG0001289	LOC115269772	ADIR007589
OG0001289	LOC109404340	ADIR014647
OG0001290	LOC115253728	ADIR007586
OG0001292	LOC109405109	ADIR011551, ADIR009838
OG0001293	LOC109428987, LOC109428986	ADIR000490
OG0001294	LOC109420767, LOC109420768	ADIR004242
OG0001295	LOC115253773	ADIR003026
OG0001296	LOC115253446, LOC109417626	ADIR004212
OG0001297	LOC115267280	ADIR005574, ADIR005573
OG0001298	LOC109418502	ADIR015709
OG0001299	LOC109416152	ADIR003095
OG0001300	LOC134287657, LOC115269315, LOC115258242	ADIR008350
OG0001301	LOC109419050	ADIR005164
OG0001302	LOC134286327, LOC109409335, LOC115258647	ADIR009403
OG0001303	LOC115254181	ADIR008748
OG0001304	LOC109423814, LOC109423816	ADIR003782
OG0001305	LOC134287947, LOC134285832	ADIR003454
OG0001306	LOC109410908	ADIR003199
OG0001307	LOC109411157	ADIR004071
OG0001308	LOC109409757, LOC109432166, LOC109409762	ADIR016032
OG0001309	LOC109412146	ADIR006498
OG0001310	LOC109401653	ADIR009043
OG0001310	LOC109423622	ADIR009044
OG0001311	LOC115271017	ADIR011676
OG0001312	LOC134284789, LOC115253587, LOC109400069	ADIR008275
OG0001313	LOC109415593	ADIR001372, ADIR001371
OG0001314	LOC109418486, LOC134290799	ADIR009746, ADIR009747
OG0001315	LOC109410593	ADIR007216
OG0001316	LOC109415596	ADIR001369, ADIR001368
OG0001317	LOC109405223	ADIR004548
OG0001318	LOC109429474	ADIR002833
OG0001319	LOC115253800	ADIR015823, ADIR015822
OG0001321	LOC109404943	ADIR006904
OG0001322	LOC109430816	ADIR001575
OG0001324	LOC109405167	ADIR007367
OG0001326	LOC109417777	ADIR005046, ADIR005047
OG0001327	LOC109428554, LOC115256775	ADIR001059
OG0001328	LOC109417236, LOC109424745, LOC134288154	ADIR000872
OG0001329	LOC109399298, LOC109433350	ADIR010308
OG0001331	LOC109431357	ADIR011287, ADIR001183
OG0001332	LOC109429511	ADIR009946
OG0001333	LOC109405215, LOC109400336	ADIR011582
OG0001334	LOC109429898, LOC109418351	ADIR010200
OG0001335	LOC109425652	ADIR007490, ADIR007491
OG0001336	LOC109622846	ADIR016049
OG0001337	LOC109398792	ADIR010550, ADIR010548
OG0001338	LOC109408443	ADIR010556, ADIR010558
OG0001339	LOC109411545	ADIR005797, ADIR005796
OG0001340	LOC134284004	ADIR005153, ADIR005154
OG0001341	LOC109409870	ADIR002164, ADIR002165
OG0001342	LOC109429299	ADIR006325, ADIR006323
OG0001343	LOC109425390	ADIR003351
OG0001344	LOC109409584	ADIR003373, ADIR003371
OG0001345	LOC109397824	ADIR001284, ADIR001285
OG0001346	LOC109429111	ADIR006563, ADIR006565
OG0001347	LOC109423693	ADIR011075, ADIR011074
OG0001348	LOC109398732	ADIR005028, ADIR005029, ADIR005030
OG0001349	LOC115261534	ADIR016144
OG0001350	LOC109398757	ADIR010229
OG0001351	LOC109409011	ADIR003491, ADIR003495
OG0001352	LOC109431771	ADIR003016
OG0001354	LOC109414240	ADIR016147
OG0001355	LOC134288770	ADIR010899
OG0001355	LOC109410234	ADIR010898
OG0001356	LOC134287590, LOC109421539	ADIR006348, ADIR006346
OG0001357	LOC134289560, LOC109416894	ADIR009624, ADIR009623
OG0001358	LOC109401679	ADIR009659, ADIR009661
OG0001359	LOC134289509	ADIR011566
OG0001360	LOC109621323	ADIR004367, ADIR004371
OG0001361	LOC109402379	ADIR009054, ADIR009056
OG0001362	LOC109417226	ADIR006295, ADIR006294
OG0001363	LOC109423859	ADIR001628, ADIR001627
OG0001364	LOC109415242	ADIR011701
OG0001366	LOC134284978	ADIR001036
OG0001369	LOC109433666	ADIR005631, ADIR005632
OG0001370	LOC134291765, LOC115264667	ADIR000329
OG0001371	LOC115263025, LOC109410219	ADIR015861
OG0001372	LOC109431036	ADIR010752, ADIR010750
OG0001373	LOC109422117	ADIR001174
OG0001374	LOC109427893	ADIR004822
OG0001375	LOC115254608	ADIR007341
OG0001376	LOC109426839	ADIR003845, ADIR003843
OG0001377	LOC109401309	ADIR000257, ADIR000258
OG0001378	LOC109399634	ADIR002124
OG0001379	LOC109425436	ADIR005355
OG0001380	LOC115255807	ADIR007035
OG0001381	LOC134285580, LOC109417800	ADIR005456
OG0001382	LOC134284445, LOC109416467	ADIR007521
OG0001383	LOC109405057	ADIR003139
OG0001384	LOC115263576	ADIR014077, ADIR000852
OG0001385	LOC109433599	ADIR003952, ADIR003954
OG0001386	LOC115257876	ADIR000162
OG0001387	LOC109400433	ADIR005399
OG0001388	LOC109405203	ADIR003448
OG0001389	LOC109420544	ADIR006812
OG0001390	LOC134284141	ADIR003347
OG0001391	LOC134285373	ADIR001147
OG0001392	LOC109398078	ADIR003665
OG0001393	LOC109421628, LOC115265587	ADIR000606
OG0001394	LOC109423405	ADIR003258, ADIR003259
OG0001395	LOC109406231	ADIR010449, ADIR010448
OG0001396	LOC109410520	ADIR003866, ADIR003867
OG0001397	LOC109426160, LOC109418423	ADIR008394
OG0001398	LOC134287342	ADIR005974
OG0001399	LOC109404024	ADIR008311
OG0001400	LOC109410014	ADIR015900, ADIR015901
OG0001402	LOC109421548	ADIR016045
OG0001403	LOC109431372	ADIR001793, ADIR001791
OG0001404	LOC109401891	ADIR014138, ADIR011685, ADIR009320, ADIR009303
OG0001405	LOC109402372	ADIR005556, ADIR005555
OG0001406	LOC109417578	ADIR007743, ADIR007744
OG0001408	LOC109416447	ADIR008951
OG0001409	LOC109409967	ADIR004172
OG0001410	LOC134284644	ADIR001846
OG0001410	LOC109424724	ADIR001845
OG0001411	LOC134287310, LOC109407909	ADIR004252, ADIR004249
OG0001412	LOC109432366, LOC109423073	ADIR001452, ADIR000500
OG0001413	LOC134284471, LOC134283931, LOC109623134	ADIR016046
OG0001414	LOC134289566, LOC109432331	ADIR005633, ADIR005634
OG0001443	LOC109409048, LOC109398988	ADIR009105
OG0001444	LOC115254260	ADIR004198
OG0001445	LOC109415316	ADIR015519
OG0001446	LOC109430394, LOC109430401	ADIR010639
OG0001447	LOC109400053	ADIR008435
OG0001448	LOC134284498, LOC109430466	ADIR002723
OG0001449	LOC134288003, LOC134284401, LOC109413202	ADIR011678
OG0001450	LOC134283904, LOC109402569	ADIR006906
OG0001451	LOC109412699, LOC109427211, LOC115254074	ADIR004821
OG0001452	LOC115261415	ADIR006575
OG0001453	LOC109401790	ADIR015806
OG0001454	LOC109426047	ADIR000567
OG0001455	LOC109417637	ADIR010895
OG0001456	LOC109411415, LOC109411417, LOC115267899	ADIR005712
OG0001458	LOC115258944	ADIR005163, ADIR005162
OG0001459	LOC109410753	ADIR009685
OG0001460	LOC109410759	ADIR000394
OG0001462	LOC109417375, LOC109410397	ADIR009861
OG0001463	LOC109411214	ADIR002755
OG0001464	LOC115255401, LOC109411220	ADIR015744
OG0001465	LOC109418060	ADIR000766, ADIR000765
OG0001466	LOC109421653	ADIR000651
OG0001467	LOC109421659	ADIR006313
OG0001468	LOC134283928, LOC109429626	ADIR006100
OG0001469	LOC134289575, LOC109403034	ADIR009944
OG0001470	LOC109430774	ADIR006230
OG0001471	LOC109423771	ADIR008865
OG0001472	LOC109423748	ADIR007997
OG0001473	LOC109403573	ADIR009102
OG0001474	LOC115257191, LOC109432861	ADIR004011
OG0001475	LOC109412369	ADIR006785
OG0001476	LOC109412368	ADIR004951
OG0001477	LOC134291944, LOC109424500	ADIR000184
OG0001478	LOC109423370, LOC115257528	ADIR007151
OG0001479	LOC109408358	ADIR007160
OG0001480	LOC109431403, LOC134285926	ADIR011228
OG0001481	LOC109426648, LOC134284780, LOC134288523	ADIR003884
OG0001482	LOC134287358, LOC109426647	ADIR003885
OG0001483	LOC109426672	ADIR003869
OG0001484	LOC115267285	ADIR003859
OG0001486	LOC109413954	ADIR016204, ADIR016203
OG0001487	LOC109431718	ADIR015607, ADIR015605
OG0001488	LOC109430940	ADIR015950, ADIR015951
OG0001489	LOC134284001, LOC109420624	ADIR004969
OG0001490	LOC115254898, LOC109428049	ADIR006233
OG0001491	LOC109415901	ADIR000308
OG0001492	LOC109421432	ADIR011051, ADIR011054
OG0001493	LOC115266443, LOC109432536	ADIR011061
OG0001494	LOC115265509	ADIR011227
OG0001495	LOC134285717, LOC109401923	ADIR004619
OG0001496	LOC109404954	ADIR006895
OG0001497	LOC109404952	ADIR006891
OG0001498	LOC109415195	ADIR001470, ADIR010642
OG0001499	LOC109428390	ADIR010812
OG0001500	LOC109415202	ADIR009525, ADIR002375
OG0001501	LOC109424018, LOC109399279	ADIR002872
OG0001502	LOC109409324, LOC115258583	ADIR005157
OG0001503	LOC109432154	ADIR008291
OG0001504	LOC115256587	ADIR001749, ADIR001085
OG0001505	LOC109409418, LOC134285076	ADIR000887
OG0001506	LOC109409431	ADIR008558, ADIR004340, ADIR001328
OG0001507	LOC115257757, LOC115257606	ADIR016126
OG0001508	LOC109416719	ADIR000478
OG0001509	LOC109427823, LOC115259047	ADIR004937
OG0001510	LOC109621708	ADIR007047
OG0001511	LOC115264697	ADIR000341
OG0001512	LOC109422268	ADIR009576
OG0001513	LOC109623099	ADIR010423, ADIR010425
OG0001514	LOC109431589	ADIR004364
OG0001515	LOC109397596, LOC134284656	ADIR001488
OG0001516	LOC109398423, LOC134284660	ADIR000822
OG0001517	LOC109410291	ADIR007909
OG0001518	LOC109415941, LOC134290778	ADIR002115
OG0001519	LOC109411048, LOC109411047	ADIR010432
OG0001521	LOC109418948, LOC109400097	ADIR008314
OG0001522	LOC109622284, LOC109409963	ADIR002940
OG0001523	LOC109416057	ADIR011300
OG0001524	LOC134289496, LOC134289494, LOC134289495	ADIR003085
OG0001525	LOC134289673, LOC109399658	ADIR000525
OG0001526	LOC115266550	ADIR007426
OG0001527	LOC109412015	ADIR011390
OG0001528	LOC109412018	ADIR011388
OG0001529	LOC115261461	ADIR008495, ADIR008496
OG0001530	LOC109422144	ADIR001108
OG0001532	LOC134289439	ADIR002473
OG0001533	LOC109621513	ADIR005448
OG0001534	LOC109399108	ADIR010817, ADIR010819
OG0001535	LOC109399100	ADIR010801, ADIR010800
OG0001536	LOC109399093	ADIR010808
OG0001537	LOC109422342, LOC109424442	ADIR016104
OG0001538	LOC109406517, LOC109403312	ADIR002827
OG0001539	LOC109431389	ADIR001787
OG0001540	LOC109407674	ADIR002286
OG0001541	LOC109422649, LOC134291372, LOC109402824	ADIR002484
OG0001542	LOC109412267	ADIR001002
OG0001543	LOC109412996	ADIR000818
OG0001544	LOC109425086, LOC109429448	ADIR011002
OG0001545	LOC134286314, LOC109425088	ADIR010999
OG0001546	LOC134289754, LOC109426437	ADIR001813
OG0001547	LOC115257489	ADIR000380
OG0001548	LOC109412921	ADIR000379
OG0001549	LOC109409558	ADIR002725
OG0001550	LOC134291447	ADIR009121
OG0001551	LOC109429598, LOC115262100	ADIR006085
OG0001552	LOC109420357	ADIR004345
OG0001553	LOC109406422	ADIR003706
OG0001554	LOC115260696, LOC109432362	ADIR011653
OG0001555	LOC134286757	ADIR009283
OG0001556	LOC109400308	ADIR011108, ADIR011107
OG0001557	LOC109431868	ADIR003014
OG0001559	LOC115260213, LOC109414794	ADIR015717
OG0001560	LOC109428936	ADIR009681, ADIR009682
OG0001561	LOC109428933	ADIR005687
OG0001563	LOC109409653	ADIR009083, ADIR014787
OG0001564	LOC109409662	ADIR007138, ADIR007139
OG0001565	LOC109432222	ADIR005348, ADIR005349
OG0001566	LOC109409964	ADIR007438, ADIR007440
OG0001567	LOC115255706	ADIR004613
OG0001569	LOC109429359, LOC109398210	ADIR005390
OG0001570	LOC109429314, LOC109400906	ADIR005384
OG0001571	LOC109427435	ADIR004692
OG0001572	LOC109427434	ADIR001325
OG0001573	LOC109410664	ADIR009479, ADIR009480
OG0001574	LOC109427067	ADIR010106
OG0001575	LOC109424979	ADIR001020
OG0001576	LOC109431106, LOC109424968	ADIR001161
OG0001577	LOC115254138, LOC109421033	ADIR006827
OG0001578	LOC109416121, LOC109419098, LOC109405787	ADIR005862
OG0001579	LOC109433328	ADIR010304
OG0001580	LOC109430281	ADIR005365
OG0001581	LOC109401806	ADIR011710
OG0001582	LOC109398907	ADIR004115
OG0001583	LOC115264563	ADIR011711
OG0001584	LOC109398917	ADIR002058
OG0001585	LOC109431046, LOC134284127	ADIR005592
OG0001586	LOC115261381	ADIR010571
OG0001587	LOC115255928, LOC109421116	ADIR003431
OG0001588	LOC109431331	ADIR003435, ADIR003436
OG0001589	LOC109412611, LOC109401544	ADIR000292
OG0001590	LOC109419966, LOC134287715	ADIR011260
