Orthogroup	Aalbopictus_AalbF5	AstephensiUCISS2018
OG0001200	LOC109429397, LOC109429398	ASTEI20_032316
OG0001201	LOC109429413	ASTEI20_041949, ASTEI20_045078, ASTEI20_036270
OG0001202	LOC109429357, LOC109399008	ASTEI20_035931
OG0001203	LOC109402653, LOC134284821, LOC134284842, LOC134284829	ASTEI20_035162
OG0001204	LOC109398994	ASTEI20_035671
OG0001205	LOC109423381, LOC109411733	ASTEI20_040926
OG0001206	LOC115266521, LOC109405943	ASTEI20_036701
OG0001207	LOC109400415, LOC134285561	ASTEI20_033357
OG0001208	LOC109401631	ASTEI20_035106
OG0001209	LOC109412137	ASTEI20_031594
OG0001210	LOC109419765	ASTEI20_035556
OG0001211	LOC109418670	ASTEI20_040238, ASTEI20_039987
OG0001212	LOC109413525, LOC109404511	ASTEI20_041598
OG0001213	LOC115265128	ASTEI20_043541, ASTEI20_036617
OG0001214	LOC115267647, LOC109407286, LOC134285833	ASTEI20_042489
OG0001215	LOC109402519	ASTEI20_041685
OG0001216	LOC109406522	ASTEI20_041429, ASTEI20_037591
OG0001218	LOC115264208, LOC109424846	ASTEI20_034852
OG0001219	LOC109397997	ASTEI20_035173
OG0001220	LOC109409965	ASTEI20_036333
OG0001221	LOC109424732, LOC115262659	ASTEI20_035973
OG0001222	LOC109429370	ASTEI20_035938
OG0001223	LOC109397896, LOC134284903	ASTEI20_040140
OG0001224	LOC109419778	ASTEI20_032086
OG0001225	LOC109422806, LOC109422805	ASTEI20_039472
OG0001226	LOC109423007	ASTEI20_041077
OG0001227	LOC109398837	ASTEI20_040805
OG0001228	LOC109424084	ASTEI20_044020
OG0001229	LOC109432373	ASTEI20_033440
OG0001230	LOC109421195	ASTEI20_037753
OG0001231	LOC134289400, LOC109421940	ASTEI20_035857
OG0001232	LOC109425023	ASTEI20_034063
OG0001234	LOC109411239	ASTEI20_045679, ASTEI20_045030
OG0001235	LOC109429483	ASTEI20_043063
OG0001236	LOC109425430	ASTEI20_038843
OG0001237	LOC109429816	ASTEI20_039747, ASTEI20_042138
OG0001238	LOC134290013, LOC109431876	ASTEI20_038086, ASTEI20_031674
OG0001239	LOC134285050, LOC109402083	ASTEI20_041060
OG0001240	LOC109430111, LOC109430116, LOC109430112	ASTEI20_044077
OG0001241	LOC134287589, LOC109409124	ASTEI20_045999
OG0001242	LOC109409140, LOC109421534	ASTEI20_044309
OG0001243	LOC109411872, LOC109412715	ASTEI20_041872
OG0001244	LOC109407655	ASTEI20_041786
OG0001245	LOC109397845, LOC134284920	ASTEI20_033276
OG0001246	LOC115256389, LOC109422032	ASTEI20_034564
OG0001247	LOC109401126	ASTEI20_040370
OG0001248	LOC109411800, LOC134284657	ASTEI20_038974
OG0001249	LOC109426998, LOC134289906	ASTEI20_044243
OG0001250	LOC109426285, LOC109426330	ASTEI20_036475
OG0001251	LOC109433013	ASTEI20_036781
OG0001252	LOC109622518, LOC115265421	ASTEI20_037283
OG0001253	LOC109424155	ASTEI20_045648
OG0001254	LOC109428509, LOC115256602, LOC115256201	ASTEI20_031419
OG0001255	LOC109406841	ASTEI20_038178, ASTEI20_038352
OG0001256	LOC115267144	ASTEI20_041385
OG0001257	LOC134287600	ASTEI20_044701
OG0001258	LOC115268579, LOC109424235	ASTEI20_042582
OG0001259	LOC109411315, LOC115256778	ASTEI20_034415
OG0001260	LOC134287926	ASTEI20_040339
OG0001261	LOC109429164	ASTEI20_031118, ASTEI20_033138
OG0001262	LOC134288991	ASTEI20_043346
OG0001263	LOC109427473, LOC115253538	ASTEI20_033024
OG0001264	LOC109623253, LOC134283943	ASTEI20_039480, ASTEI20_039924
OG0001265	LOC109397730	ASTEI20_031100
OG0001266	LOC109397755	ASTEI20_044830
OG0001267	LOC115261027	ASTEI20_036119
OG0001268	LOC109427980	ASTEI20_037694, ASTEI20_034761
OG0001269	LOC134286042, LOC115265573	ASTEI20_043574
OG0001270	LOC109397767, LOC109428788	ASTEI20_041208
OG0001271	LOC115254229	ASTEI20_044512
OG0001272	LOC115256865, LOC115256862	ASTEI20_032452
OG0001273	LOC115259235, LOC109419784	ASTEI20_042664, ASTEI20_033683
OG0001274	LOC109422727	ASTEI20_045270
OG0001275	LOC134292068	ASTEI20_031688
OG0001276	LOC109416267, LOC134287628, LOC109423903	ASTEI20_044988
OG0001277	LOC115255477, LOC109416191, LOC109415073	ASTEI20_040166
OG0001278	LOC109425769	ASTEI20_031435
OG0001279	LOC109622238	ASTEI20_045175
OG0001280	LOC115268747, LOC109425210	ASTEI20_030833, ASTEI20_039688
OG0001281	LOC109419875	ASTEI20_031355
OG0001282	LOC115267375, LOC109414779, LOC109403608, LOC134283976	ASTEI20_037170
OG0001283	LOC109417628	ASTEI20_038777, ASTEI20_032878
OG0001284	LOC109423481, LOC109432158	ASTEI20_037848
OG0001285	LOC109431042	ASTEI20_045902
OG0001286	LOC109431437	ASTEI20_046079, ASTEI20_046017
OG0001287	LOC109623370, LOC109623392	ASTEI20_045173
OG0001288	LOC109404970	ASTEI20_037853, ASTEI20_033120
OG0001289	LOC115269772	ASTEI20_033797
OG0001289	LOC109404340	ASTEI20_044446
OG0001290	LOC115253728	ASTEI20_031637
OG0001292	LOC109405109	ASTEI20_038206, ASTEI20_045992
OG0001293	LOC109428987, LOC109428986	ASTEI20_037544
OG0001294	LOC109420767, LOC109420768	ASTEI20_039396
OG0001295	LOC115253773	ASTEI20_045894
OG0001296	LOC115253446, LOC109417626	ASTEI20_041214
OG0001297	LOC115267280	ASTEI20_039168
OG0001298	LOC109418502	ASTEI20_032981
OG0001299	LOC109416152	ASTEI20_044797
OG0001300	LOC134287657, LOC115269315, LOC115258242	ASTEI20_035501
OG0001301	LOC109419050	ASTEI20_030945, ASTEI20_039379
OG0001302	LOC134286327, LOC109409335, LOC115258647	ASTEI20_031273
OG0001303	LOC115254181	ASTEI20_041016
OG0001304	LOC109423814, LOC109423816	ASTEI20_038999
OG0001305	LOC134287947, LOC134285832	ASTEI20_044825
OG0001306	LOC109410908	ASTEI20_043155
OG0001307	LOC109411157	ASTEI20_037477
OG0001308	LOC109409757, LOC109432166, LOC109409762	ASTEI20_031823
OG0001309	LOC109412146	ASTEI20_041047
OG0001310	LOC109423622	ASTEI20_032624
OG0001311	LOC115271017	ASTEI20_032457
OG0001312	LOC134284789, LOC115253587, LOC109400069	ASTEI20_037527
OG0001313	LOC109415593	ASTEI20_043313
OG0001314	LOC109418486, LOC134290799	ASTEI20_035855
OG0001315	LOC109410593	ASTEI20_041233
OG0001316	LOC109415596	ASTEI20_041760
OG0001317	LOC109405223	ASTEI20_032953, ASTEI20_039009
OG0001318	LOC109429474	ASTEI20_033878
OG0001319	LOC115253800	ASTEI20_036764
OG0001321	LOC109404943	ASTEI20_031728, ASTEI20_044505
OG0001322	LOC109430816	ASTEI20_038075
OG0001324	LOC109405167	ASTEI20_043409
OG0001325	LOC109408945, LOC109408968, LOC109433597, LOC109431157	ASTEI20_045463
OG0001326	LOC109417777	ASTEI20_031232
OG0001327	LOC109428554, LOC115256775	ASTEI20_034219
OG0001328	LOC109417236, LOC109424745, LOC134288154	ASTEI20_041917
OG0001329	LOC109399298, LOC109433350	ASTEI20_038893, ASTEI20_032602
OG0001331	LOC109431357	ASTEI20_032502, ASTEI20_036204
OG0001332	LOC109429511	ASTEI20_038793
OG0001333	LOC109405215, LOC109400336	ASTEI20_031383
OG0001334	LOC109429898, LOC109418351	ASTEI20_041251
OG0001335	LOC109425652	ASTEI20_035142
OG0001336	LOC109622846	ASTEI20_037664, ASTEI20_040121
OG0001337	LOC109398792	ASTEI20_031448
OG0001338	LOC109408443	ASTEI20_034924
OG0001339	LOC109411545	ASTEI20_037969
OG0001340	LOC115253815, LOC134284004	ASTEI20_031806
OG0001341	LOC109409870	ASTEI20_033932
OG0001342	LOC109429299	ASTEI20_033836
OG0001343	LOC109425390	ASTEI20_035967
OG0001344	LOC109409584	ASTEI20_042158
OG0001345	LOC109397824	ASTEI20_039482
OG0001346	LOC109429111	ASTEI20_042704
OG0001347	LOC109423693	ASTEI20_041149
OG0001348	LOC109398732	ASTEI20_037819
OG0001349	LOC115261534	ASTEI20_039577
OG0001350	LOC109398757	ASTEI20_039856
OG0001351	LOC109409011	ASTEI20_045765
OG0001352	LOC109431771	ASTEI20_033173, ASTEI20_041673
OG0001354	LOC109414240	ASTEI20_045741, ASTEI20_033595
OG0001355	LOC134288770, LOC109410234	ASTEI20_032490
OG0001356	LOC134287590, LOC109421539	ASTEI20_042013
OG0001357	LOC134289560, LOC109416894	ASTEI20_036470
OG0001358	LOC109401679	ASTEI20_034439
OG0001359	LOC134289509, LOC109397126	ASTEI20_032014
OG0001360	LOC109621323	ASTEI20_045198
OG0001362	LOC109417226	ASTEI20_032543
OG0001363	LOC109423859	ASTEI20_032553
OG0001364	LOC109415242	ASTEI20_036955
OG0001365	LOC134286413	ASTEI20_035423
OG0001366	LOC134284978	ASTEI20_045232
OG0001369	LOC109433666	ASTEI20_041363
OG0001370	LOC134291765, LOC115264667	ASTEI20_046089
OG0001371	LOC115263025, LOC109410219	ASTEI20_046176
OG0001372	LOC109431036	ASTEI20_039706
OG0001373	LOC109422117	ASTEI20_043710
OG0001374	LOC109427893	ASTEI20_041703
OG0001375	LOC115254608	ASTEI20_032879
OG0001376	LOC109426839	ASTEI20_045181
OG0001377	LOC109401309	ASTEI20_035538
OG0001378	LOC109399634	ASTEI20_040876
OG0001379	LOC109425436	ASTEI20_036252
OG0001380	LOC115255807	ASTEI20_035766, ASTEI20_043359
OG0001381	LOC134285580, LOC109417800	ASTEI20_042971
OG0001382	LOC134284445, LOC109416467	ASTEI20_037044
OG0001383	LOC109405057	ASTEI20_031395
OG0001384	LOC115263576	ASTEI20_045158
OG0001385	LOC109433599	ASTEI20_042174
OG0001386	LOC115257876	ASTEI20_037585
OG0001388	LOC109405203	ASTEI20_033476
OG0001389	LOC109420544	ASTEI20_043859
OG0001390	LOC134284141	ASTEI20_033241
OG0001391	LOC134285373	ASTEI20_035284
OG0001392	LOC109398078	ASTEI20_032895
OG0001393	LOC109421628, LOC115265587	ASTEI20_039933, ASTEI20_044313
OG0001395	LOC109406231	ASTEI20_038627, ASTEI20_039598
OG0001396	LOC109410520	ASTEI20_045373
OG0001397	LOC109426160, LOC109418423	ASTEI20_031646
OG0001398	LOC134287342	ASTEI20_032973
OG0001399	LOC109404024	ASTEI20_045622
OG0001400	LOC109410014, LOC115265144	ASTEI20_032621
OG0001401	LOC109407868	ASTEI20_041932
OG0001402	LOC109421548	ASTEI20_038506, ASTEI20_035528, ASTEI20_035017
OG0001403	LOC109431372	ASTEI20_037368
OG0001404	LOC109401891	ASTEI20_036395
OG0001405	LOC109402372	ASTEI20_043820
OG0001406	LOC109417578	ASTEI20_034506, ASTEI20_046158
OG0001408	LOC109416447	ASTEI20_041103
OG0001409	LOC109409967	ASTEI20_041400
OG0001410	LOC109424724	ASTEI20_033841
OG0001411	LOC134287310, LOC109407909	ASTEI20_040823
OG0001412	LOC109432366, LOC109423073	ASTEI20_037936
OG0001413	LOC134284471, LOC134283931, LOC109623134	ASTEI20_032148
OG0001414	LOC134289566, LOC109432331	ASTEI20_039471
OG0001418	LOC109622675, LOC109417404, LOC115269160, LOC134286195, LOC134286516, LOC115268828	ASTEI20_032011, ASTEI20_035107
OG0001443	LOC109409048, LOC109398988	ASTEI20_043189
OG0001444	LOC115254260	ASTEI20_042232
OG0001445	LOC109415316	ASTEI20_033406
OG0001446	LOC109430394, LOC109430401	ASTEI20_032195
OG0001447	LOC109400053	ASTEI20_031721
OG0001448	LOC134284498, LOC109430466	ASTEI20_038801
OG0001449	LOC134288003, LOC134284401, LOC109413202	ASTEI20_034512
OG0001450	LOC134283904, LOC109402569	ASTEI20_043043, ASTEI20_036182
OG0001451	LOC109412699, LOC109427211, LOC115254074	ASTEI20_039282
OG0001452	LOC115261415	ASTEI20_043753, ASTEI20_044958, ASTEI20_045059
OG0001453	LOC109401790	ASTEI20_038486
OG0001454	LOC109426047	ASTEI20_038175
OG0001455	LOC109417637	ASTEI20_038399
OG0001456	LOC109411415, LOC109411417, LOC115267899	ASTEI20_038959
OG0001458	LOC115258944	ASTEI20_031141
OG0001459	LOC109410753	ASTEI20_044087
OG0001460	LOC109410759	ASTEI20_043716, ASTEI20_044681
OG0001461	LOC134291262, LOC109410390	ASTEI20_032695
OG0001462	LOC109417375, LOC109410397	ASTEI20_045706
OG0001463	LOC109411214	ASTEI20_045970
OG0001464	LOC115255401, LOC109411220	ASTEI20_032028
OG0001465	LOC109418060	ASTEI20_033775
OG0001466	LOC109421653	ASTEI20_044705
OG0001467	LOC109421659	ASTEI20_041177
OG0001468	LOC134283928, LOC109429626	ASTEI20_044862
OG0001469	LOC134289575, LOC109403034	ASTEI20_037210
OG0001470	LOC109430774	ASTEI20_036526
OG0001471	LOC109423771	ASTEI20_038534
OG0001472	LOC109423748	ASTEI20_043415
OG0001473	LOC109403573	ASTEI20_031636
OG0001474	LOC115257191, LOC109432861	ASTEI20_040481
OG0001475	LOC109412369	ASTEI20_041556
OG0001476	LOC109412368	ASTEI20_040476
OG0001477	LOC134291944, LOC109424500	ASTEI20_045156
OG0001478	LOC109423370, LOC115257528	ASTEI20_042072
OG0001479	LOC109408358	ASTEI20_046156
OG0001480	LOC109431403, LOC134285926	ASTEI20_035707, ASTEI20_040929
OG0001481	LOC109426648, LOC134284780, LOC134288523	ASTEI20_034821
OG0001482	LOC134287358, LOC109426647	ASTEI20_033822
OG0001483	LOC109426672	ASTEI20_043132
OG0001484	LOC115267285	ASTEI20_039063
OG0001486	LOC109413954	ASTEI20_045803
OG0001487	LOC109431718	ASTEI20_038385
OG0001488	LOC109430940	ASTEI20_040453
OG0001489	LOC134284001	ASTEI20_046000
OG0001490	LOC115254898, LOC109428049	ASTEI20_035267
OG0001491	LOC109415901	ASTEI20_031902
OG0001492	LOC109421432	ASTEI20_037929
OG0001493	LOC115266443, LOC109432536	ASTEI20_033590
OG0001494	LOC115265509	ASTEI20_037717, ASTEI20_037155
OG0001495	LOC134285717, LOC109401923	ASTEI20_033067
OG0001496	LOC109404954	ASTEI20_044203, ASTEI20_042888
OG0001497	LOC109404952	ASTEI20_032188, ASTEI20_031884, ASTEI20_039158
OG0001498	LOC109415195	ASTEI20_040018
OG0001499	LOC109428390	ASTEI20_045306, ASTEI20_042484
OG0001500	LOC109415202	ASTEI20_038292
OG0001501	LOC109424018, LOC109399279	ASTEI20_033966
OG0001502	LOC109409324, LOC115258583	ASTEI20_039855
OG0001503	LOC109432154	ASTEI20_041666
OG0001504	LOC115256587	ASTEI20_044102
OG0001505	LOC109409418, LOC134285076	ASTEI20_036662
OG0001506	LOC109409431	ASTEI20_041216
OG0001507	LOC115257757, LOC115257606	ASTEI20_043640
OG0001508	LOC109416719	ASTEI20_043195
OG0001509	LOC109427823, LOC115259047	ASTEI20_040645
OG0001510	LOC109621708	ASTEI20_046071, ASTEI20_044760
OG0001511	LOC115264697	ASTEI20_034944
OG0001512	LOC109422268	ASTEI20_042505
OG0001513	LOC109623099	ASTEI20_042373
OG0001514	LOC109431589	ASTEI20_032961
OG0001515	LOC109397596, LOC134284656	ASTEI20_032453
OG0001516	LOC109398423, LOC134284660	ASTEI20_040956
OG0001517	LOC109410291	ASTEI20_044673
OG0001518	LOC109415941, LOC134290778	ASTEI20_032224
OG0001519	LOC109411048, LOC109411047	ASTEI20_032370
OG0001521	LOC109418948, LOC109400097	ASTEI20_043996
OG0001522	LOC109622284, LOC109409963	ASTEI20_041166
OG0001523	LOC109416057	ASTEI20_039319
OG0001524	LOC134289496, LOC134289494, LOC134289495	ASTEI20_038637
OG0001525	LOC134289673, LOC109399658	ASTEI20_040237
OG0001526	LOC115266550	ASTEI20_042600, ASTEI20_038239
OG0001527	LOC109412015	ASTEI20_032111
OG0001528	LOC109412018	ASTEI20_032608
OG0001529	LOC115261461	ASTEI20_044610
OG0001530	LOC109422144	ASTEI20_037525, ASTEI20_040690
OG0001531	LOC109426929, LOC134291542, LOC109623394	ASTEI20_038377
OG0001532	LOC134289439	ASTEI20_044665
OG0001533	LOC109621513	ASTEI20_038771
OG0001534	LOC109399108	ASTEI20_041581
OG0001535	LOC109399100	ASTEI20_037361
OG0001536	LOC109399093	ASTEI20_036452
OG0001537	LOC109422342, LOC109424442	ASTEI20_036174
OG0001538	LOC109406517, LOC109403312	ASTEI20_046094
OG0001539	LOC109431389	ASTEI20_038598
OG0001540	LOC109407674	ASTEI20_031999
OG0001541	LOC109422649, LOC134291372, LOC109402824	ASTEI20_034930
OG0001542	LOC109412267	ASTEI20_044457
OG0001543	LOC109412996	ASTEI20_040231
OG0001544	LOC109425086, LOC109429448	ASTEI20_045418, ASTEI20_038397
OG0001545	LOC134286314, LOC109425088	ASTEI20_045019, ASTEI20_044263
OG0001546	LOC134289754, LOC109426437	ASTEI20_045940, ASTEI20_035292
OG0001547	LOC115257489	ASTEI20_033081, ASTEI20_043265, ASTEI20_039105
OG0001548	LOC109412921	ASTEI20_041000, ASTEI20_035398, ASTEI20_035930
OG0001549	LOC109409558	ASTEI20_038170
OG0001550	LOC134291447	ASTEI20_031586
OG0001551	LOC109429598, LOC115262100	ASTEI20_031517
OG0001552	LOC109420357	ASTEI20_037960
OG0001553	LOC109406422	ASTEI20_031337
OG0001554	LOC115260696, LOC109432362	ASTEI20_041831
OG0001555	LOC134286757	ASTEI20_038997
OG0001556	LOC109400308	ASTEI20_038092
OG0001557	LOC109431868	ASTEI20_043337, ASTEI20_034214
OG0001559	LOC115260213, LOC109414794	ASTEI20_036676
OG0001560	LOC109428936	ASTEI20_034699
OG0001561	LOC109428933	ASTEI20_039849
OG0001563	LOC109409653	ASTEI20_035345
OG0001564	LOC109409662	ASTEI20_032669
OG0001565	LOC109432222	ASTEI20_035143
OG0001566	LOC109409964	ASTEI20_038150
OG0001567	LOC115255706	ASTEI20_043052
OG0001568	LOC109429467, LOC109399163, LOC109414010	ASTEI20_041179, ASTEI20_031271
OG0001569	LOC109429359, LOC109398210	ASTEI20_032660
OG0001570	LOC109429314, LOC109400906	ASTEI20_033344
OG0001571	LOC109427435	ASTEI20_030967
OG0001572	LOC109427434	ASTEI20_037744
OG0001573	LOC109410664	ASTEI20_037253
OG0001574	LOC109427067	ASTEI20_040548
OG0001575	LOC109424979	ASTEI20_037790
OG0001576	LOC109431106, LOC109424968	ASTEI20_043512
OG0001577	LOC115254138, LOC109421033	ASTEI20_039632
OG0001578	LOC109416121, LOC109419098, LOC109405787	ASTEI20_043994
OG0001579	LOC109433328	ASTEI20_035048
OG0001580	LOC109430281	ASTEI20_043521
OG0001581	LOC109401806	ASTEI20_042471, ASTEI20_041650
OG0001582	LOC109398907	ASTEI20_031452
OG0001583	LOC115264563	ASTEI20_041262, ASTEI20_039932
OG0001584	LOC109398917	ASTEI20_035912
OG0001585	LOC109431046, LOC134284127	ASTEI20_044441
OG0001586	LOC115261381	ASTEI20_037119
OG0001587	LOC115255928, LOC109421116	ASTEI20_042774
OG0001588	LOC109431331	ASTEI20_036765
OG0001589	LOC109412611, LOC109401544	ASTEI20_037340
OG0001590	LOC109419966, LOC134287715	ASTEI20_041576
OG0001591	LOC109421937, LOC109421936, LOC109421938	ASTEI20_036076
OG0001592	LOC115268366	ASTEI20_035700
OG0001593	LOC134284199, LOC109424033	ASTEI20_040618, ASTEI20_043827
OG0001594	LOC109424032	ASTEI20_042979, ASTEI20_031010
OG0001595	LOC115264858, LOC134284715	ASTEI20_033584
OG0001596	LOC109412832	ASTEI20_034342, ASTEI20_039302
OG0001597	LOC109425981	ASTEI20_044865
OG0001598	LOC115268041	ASTEI20_038933
OG0001599	LOC109425997	ASTEI20_031179
OG0001600	LOC115256111	ASTEI20_031432
OG0001601	LOC109411829	ASTEI20_042412
OG0001602	LOC115261561, LOC109402475	ASTEI20_043804
OG0001603	LOC109402525	ASTEI20_032821
OG0001604	LOC115269208, LOC109418988	ASTEI20_038041
OG0001605	LOC109398184	ASTEI20_041888
OG0001606	LOC134289650, LOC109422742	ASTEI20_032912
OG0001607	LOC109410579	ASTEI20_035159, ASTEI20_034709
OG0001608	LOC109421160	ASTEI20_034840, ASTEI20_044016, ASTEI20_033544
OG0001609	LOC109421159	ASTEI20_045180, ASTEI20_036423, ASTEI20_030959
OG0001610	LOC134283998, LOC109427105	ASTEI20_044216
OG0001611	LOC109410535, LOC134287361	ASTEI20_036341
OG0001612	LOC109418813	ASTEI20_035322
OG0001613	LOC109405806	ASTEI20_045820
OG0001614	LOC109403984	ASTEI20_036771, ASTEI20_031787
OG0001615	LOC115254470	ASTEI20_034149
OG0001616	LOC109403403	ASTEI20_044333
OG0001617	LOC109621635, LOC109429086	ASTEI20_031280
OG0001618	LOC109431932	ASTEI20_040544
OG0001619	LOC109427882	ASTEI20_039287
OG0001620	LOC109427885	ASTEI20_038003
OG0001621	LOC109398864	ASTEI20_038407
OG0001622	LOC134283989, LOC109426925	ASTEI20_043214
OG0001623	LOC134285599, LOC109416957	ASTEI20_035190
OG0001624	LOC109397551	ASTEI20_032688
OG0001625	LOC109432771	ASTEI20_030847
OG0001626	LOC109417532, LOC109410216	ASTEI20_044126
OG0001627	LOC109421124	ASTEI20_042318
OG0001628	LOC109621710	ASTEI20_031835
OG0001629	LOC115269210	ASTEI20_043931
OG0001630	LOC109397865	ASTEI20_034772
OG0001631	LOC109400499	ASTEI20_032115, ASTEI20_045953
OG0001632	LOC109415156	ASTEI20_039039
OG0001633	LOC109622893, LOC115258542	ASTEI20_035631
OG0001634	LOC109411700, LOC134288815	ASTEI20_044402
OG0001635	LOC115254267	ASTEI20_043048
OG0001636	LOC109401140, LOC109422552	ASTEI20_034133
OG0001637	LOC109433074	ASTEI20_040201, ASTEI20_041719
OG0001638	LOC109420450	ASTEI20_031809
OG0001639	LOC115253945, LOC109416842, LOC109405681	ASTEI20_042777
OG0001640	LOC109621844	ASTEI20_038098
OG0001641	LOC109399186	ASTEI20_043874, ASTEI20_039789
OG0001642	LOC109420954, LOC109399228	ASTEI20_045363, ASTEI20_033668
OG0001643	LOC115257156	ASTEI20_036233
OG0001644	LOC109408449	ASTEI20_033213
OG0001645	LOC109415684, LOC109425047	ASTEI20_040194
OG0001647	LOC109426339	ASTEI20_040122
OG0001648	LOC109405852	ASTEI20_033676
OG0001649	LOC109409730	ASTEI20_043102
OG0001650	LOC115271010	ASTEI20_041065
OG0001651	LOC109409494	ASTEI20_038643
OG0001652	LOC109397239	ASTEI20_041725
OG0001653	LOC109397269	ASTEI20_040657
OG0001654	LOC109398935	ASTEI20_038658, ASTEI20_041708, ASTEI20_035258
OG0001655	LOC109427527, LOC115256522	ASTEI20_032458, ASTEI20_033526
OG0001656	LOC109417569	ASTEI20_040616
OG0001657	LOC109419928, LOC134284520	ASTEI20_034754
OG0001658	LOC109411254	ASTEI20_040368
OG0001659	LOC109400136, LOC109413090	ASTEI20_043475
OG0001660	LOC109426168	ASTEI20_040536, ASTEI20_045282
OG0001661	LOC109428200	ASTEI20_044485
OG0001662	LOC109427897, LOC115263986	ASTEI20_042004
OG0001663	LOC109398740, LOC109418764	ASTEI20_030908
OG0001664	LOC109427405, LOC109410123	ASTEI20_039495
OG0001665	LOC109427431, LOC134285038	ASTEI20_045308
OG0001666	LOC109410126, LOC109427407	ASTEI20_037901
OG0001667	LOC115254514, LOC109427416	ASTEI20_032747
OG0001668	LOC115261817, LOC109405709	ASTEI20_038978
OG0001669	LOC109417873, LOC134288487	ASTEI20_044434
OG0001670	LOC109621464	ASTEI20_042847
OG0001671	LOC109433059	ASTEI20_040484
OG0001672	LOC109409320	ASTEI20_032892, ASTEI20_031649
OG0001673	LOC115253996	ASTEI20_040460
OG0001674	LOC109418062	ASTEI20_034604, ASTEI20_043556
OG0001675	LOC109414834	ASTEI20_044370, ASTEI20_040187
OG0001676	LOC109623260	ASTEI20_040785
OG0001677	LOC109428052, LOC109428054, LOC115261585	ASTEI20_039678
OG0001678	LOC115264498, LOC109406869	ASTEI20_034278
OG0001679	LOC109401866, LOC134284971	ASTEI20_034213
OG0001680	LOC134285041, LOC109406867	ASTEI20_043783
OG0001681	LOC109399621	ASTEI20_034194
OG0001682	LOC109417772	ASTEI20_040807
OG0001683	LOC109411854, LOC115259476	ASTEI20_044784
OG0001684	LOC109412731, LOC109411856	ASTEI20_033861
OG0001686	LOC134291965, LOC109422607	ASTEI20_031720
OG0001687	LOC109431059, LOC109431039	ASTEI20_039948
OG0001688	LOC109411570	ASTEI20_033197
OG0001689	LOC134288000, LOC109413201	ASTEI20_033480
OG0001690	LOC109421972	ASTEI20_040662
OG0001692	LOC109409457, LOC115256851	ASTEI20_042850
OG0001693	LOC109621313, LOC109413128	ASTEI20_033868
OG0001694	LOC109405232	ASTEI20_030880
OG0001695	LOC115254377, LOC109400080	ASTEI20_039885
OG0001696	LOC109421739	ASTEI20_035894, ASTEI20_041382
OG0001697	LOC115270187	ASTEI20_039674
OG0001698	LOC109405751, LOC109429050	ASTEI20_034312
OG0001699	LOC109416248	ASTEI20_035910
OG0001700	LOC115253486	ASTEI20_034640
OG0001701	LOC109414896, LOC134286191, LOC134286192, LOC115255478	ASTEI20_043240
OG0001702	LOC109416535	ASTEI20_044318
OG0001704	LOC109407506	ASTEI20_035409
OG0001705	LOC109622241	ASTEI20_034803
OG0001706	LOC109622242	ASTEI20_031185
OG0001707	LOC109403088, LOC109408671	ASTEI20_034193
OG0001708	LOC109403032	ASTEI20_032726
OG0001709	LOC109416365	ASTEI20_031168
OG0001710	LOC134284301, LOC109424714	ASTEI20_044040
OG0001711	LOC109398767, LOC134284945	ASTEI20_043482
OG0001712	LOC134284927, LOC109427493	ASTEI20_044747
OG0001713	LOC115268078, LOC109408019, LOC109405158	ASTEI20_043609
OG0001714	LOC109404794, LOC109423879	ASTEI20_035959
OG0001715	LOC109623312	ASTEI20_031480
OG0001716	LOC109419530	ASTEI20_038842
OG0001717	LOC109409288	ASTEI20_037507
OG0001718	LOC109410458	ASTEI20_038625
OG0001719	LOC109427538	ASTEI20_036464
OG0001720	LOC109415992	ASTEI20_041287
OG0001721	LOC115267417	ASTEI20_042411
OG0001722	LOC109404966	ASTEI20_032535, ASTEI20_041731
OG0001723	LOC109416168	ASTEI20_031843, ASTEI20_040841, ASTEI20_031160
OG0001724	LOC115266621	ASTEI20_036983
OG0001725	LOC109417806	ASTEI20_041120, ASTEI20_042746
OG0001726	LOC134283970, LOC109426755	ASTEI20_040981
OG0001727	LOC109431071	ASTEI20_039043, ASTEI20_036302
OG0001728	LOC109405380	ASTEI20_033338
OG0001729	LOC109420617, LOC109420616	ASTEI20_032573
OG0001730	LOC109414978	ASTEI20_046147
OG0001731	LOC109414740, LOC109426838	ASTEI20_043032
OG0001732	LOC134284641, LOC109412044	ASTEI20_038824
OG0001733	LOC109412040, LOC134284643	ASTEI20_045861
OG0001734	LOC109423450	ASTEI20_034717
OG0001735	LOC109432041, LOC109432033	ASTEI20_043192
OG0001736	LOC109404016	ASTEI20_042485
OG0001737	LOC109413566	ASTEI20_040207
OG0001738	LOC134285257, LOC134285256	ASTEI20_045717
OG0001739	LOC109431508	ASTEI20_033145
OG0001740	LOC109431730, LOC109431727	ASTEI20_032194
OG0001741	LOC109405745, LOC109433391	ASTEI20_032063, ASTEI20_041681
OG0001742	LOC134285350, LOC109406906	ASTEI20_033660
OG0001743	LOC109409336, LOC109419088	ASTEI20_032035, ASTEI20_038238
OG0001744	LOC115266916, LOC109409339	ASTEI20_031801, ASTEI20_031467
OG0001745	LOC115253436, LOC109409337	ASTEI20_043866, ASTEI20_032094
OG0001746	LOC109419087, LOC115254144	ASTEI20_045808, ASTEI20_037204
OG0001747	LOC109412507	ASTEI20_031995
