Orthogroup	Aalbopictus_AalbF5	CquinquefasciatusJHB2020
OG0001711	LOC109398767, LOC134284945	CQUJHB016971
OG0001712	LOC134284927, LOC109427493	CQUJHB016875
OG0001713	LOC115268078	CQUJHB009098
OG0001713	LOC109408019, LOC109405158	CQUJHB015985
OG0001714	LOC109404794, LOC109423879	CQUJHB003137
OG0001715	LOC109623312	CQUJHB017946
OG0001716	LOC109419530	CQUJHB006814
OG0001717	LOC109409288	CQUJHB011333
OG0001718	LOC109410458	CQUJHB018202
OG0001719	LOC109427538	CQUJHB007686
OG0001720	LOC109415992	CQUJHB002212
OG0001721	LOC115267417	CQUJHB006168, CQUJHB007712
OG0001722	LOC109404966	CQUJHB002479
OG0001723	LOC109416168	CQUJHB013881
OG0001724	LOC115266621	CQUJHB009916
OG0001725	LOC109417806	CQUJHB017260, CQUJHB007806
OG0001726	LOC134283970, LOC109426755	CQUJHB010294
OG0001727	LOC109431071	CQUJHB014054
OG0001728	LOC109405380	CQUJHB005672, CQUJHB009623, CQUJHB012341
OG0001729	LOC109420617, LOC109420616	CQUJHB004027
OG0001730	LOC109414978	CQUJHB013851
OG0001731	LOC109414740, LOC109426838	CQUJHB000468
OG0001732	LOC134284641, LOC109412044	CQUJHB001251
OG0001733	LOC109412040, LOC134284643	CQUJHB012247
OG0001734	LOC109423450	CQUJHB014775
OG0001735	LOC109432041, LOC109432033	CQUJHB012889
OG0001736	LOC109404016	CQUJHB011598
OG0001737	LOC109413566	CQUJHB010770
OG0001738	LOC134285257, LOC134285256	CQUJHB002836
OG0001739	LOC109431508	CQUJHB014106
OG0001740	LOC109431730	CQUJHB007289
OG0001740	LOC109431727	CQUJHB004827
OG0001741	LOC109405745, LOC109433391	CQUJHB014649
OG0001742	LOC134285350, LOC109406906	CQUJHB018010, CQUJHB005972
OG0001743	LOC109409336, LOC109419088	CQUJHB005038
OG0001744	LOC115266916, LOC109409339	CQUJHB002298
OG0001745	LOC115253436, LOC109409337	CQUJHB004240
OG0001746	LOC109419087, LOC115254144	CQUJHB011814
OG0001747	LOC109412507	CQUJHB011101
OG0001748	LOC109622592	CQUJHB015327
OG0001749	LOC109423813	CQUJHB004574
OG0001751	LOC115262555, LOC109421913	CQUJHB003016
OG0001752	LOC109412833	CQUJHB017723
OG0001753	LOC109425656	CQUJHB009024
OG0001754	LOC109405799	CQUJHB016596
OG0001755	LOC109407063, LOC134287784	CQUJHB007071
OG0001756	LOC109404905	CQUJHB000001
OG0001757	LOC109428450	CQUJHB001477
OG0001758	LOC109424214	CQUJHB006163, CQUJHB003627
OG0001759	LOC115253756	CQUJHB009632
OG0001760	LOC109409473, LOC109409536	CQUJHB000104
OG0001761	LOC115253466, LOC115256661, LOC109409534, LOC109409468	CQUJHB007842
OG0001762	LOC109403484	CQUJHB006380
OG0001763	LOC109409745, LOC134290471	CQUJHB013383
OG0001764	LOC109416470	CQUJHB008019
OG0001765	LOC109416471	CQUJHB000726
OG0001766	LOC115259763, LOC109402938, LOC115259762, LOC109402932	CQUJHB001897
OG0001767	LOC109412573, LOC134285652, LOC134291846, LOC109397046	CQUJHB007408
OG0001768	LOC109417011	CQUJHB013392
OG0001769	LOC134285649, LOC109397026, LOC109397016	CQUJHB016399
OG0001770	LOC109428544, LOC109420977, LOC115269478	CQUJHB001726, CQUJHB007583
OG0001770	LOC109420984, LOC109420983	CQUJHB010016
OG0001771	LOC109417248	CQUJHB005386
OG0001773	LOC134292031, LOC134291557	CQUJHB014243
OG0001774	LOC134291921	CQUJHB010941
OG0001775	LOC109430170, LOC115264870	CQUJHB001066
OG0001776	LOC134284690, LOC109417821	CQUJHB010914
OG0001777	LOC115258559, LOC109407268	CQUJHB008806
OG0001778	LOC109412274	CQUJHB014567
OG0001779	LOC109432700, LOC134291660	CQUJHB017194
OG0001780	LOC109421912, LOC134291661	CQUJHB017314
OG0001781	LOC109417113	CQUJHB011216, CQUJHB010073
OG0001782	LOC109404988	CQUJHB017348, CQUJHB014146, CQUJHB002991
OG0001783	LOC134285564	CQUJHB000545, CQUJHB006275, CQUJHB002402
OG0001784	LOC109417839, LOC109400156, LOC134291253	CQUJHB004390
OG0001785	LOC109398559	CQUJHB000216
OG0001786	LOC109622009	CQUJHB006327
OG0001787	LOC109430088, LOC115256457	CQUJHB001626
OG0001788	LOC109399416	CQUJHB006166
OG0001789	LOC109400672	CQUJHB000712, CQUJHB014709
OG0001790	LOC109398409	CQUJHB017495
OG0001791	LOC115258107, LOC109421724	CQUJHB016649
OG0001792	LOC109425704	CQUJHB005200
OG0001793	LOC134288462, LOC109418002	CQUJHB005201
OG0001794	LOC109406030, LOC134287316	CQUJHB002450
OG0001795	LOC109401855	CQUJHB008648, CQUJHB016749
OG0001796	LOC109397908	CQUJHB010066
OG0001797	LOC109430946	CQUJHB012267, CQUJHB001776, CQUJHB006034
OG0001798	LOC109417110	CQUJHB000085
OG0001799	LOC134292118, LOC109431857	CQUJHB007772
OG0001800	LOC115267643, LOC109398720	CQUJHB014946
OG0001801	LOC109429036, LOC109429037	CQUJHB016768
OG0001802	LOC109402431	CQUJHB018409
OG0001803	LOC109427363	CQUJHB012318, CQUJHB005517
OG0001804	LOC109427576, LOC109432855, LOC115268908	CQUJHB003242
OG0001805	LOC109411553	CQUJHB001203
OG0001806	LOC109418918	CQUJHB015805
OG0001807	LOC109398712	CQUJHB011971
OG0001808	LOC134288996	CQUJHB015768
OG0001809	LOC109428244, LOC115266369, LOC109427949	CQUJHB006504, CQUJHB006361
OG0001810	LOC109427940	CQUJHB003726
OG0001811	LOC109422709	CQUJHB013858
OG0001811	LOC109412322	CQUJHB007105
OG0001812	LOC134288872, LOC109401913	CQUJHB009625
OG0001813	LOC109418066	CQUJHB016927
OG0001814	LOC109414833	CQUJHB000841
OG0001815	LOC109427442	CQUJHB011802
OG0001816	LOC115263163	CQUJHB007213
OG0001817	LOC115255345	CQUJHB004187
OG0001818	LOC109407931	CQUJHB015469
OG0001819	LOC109428456, LOC109422096	CQUJHB012369
OG0001820	LOC109409788	CQUJHB007965
OG0001821	LOC109403224	CQUJHB016998
OG0001822	LOC109416244	CQUJHB007572
OG0001823	LOC109622551, LOC109622547	CQUJHB014893
OG0001824	LOC109622879, LOC134287988	CQUJHB003487
OG0001825	LOC109428464	CQUJHB005537
OG0001826	LOC109428247	CQUJHB006583
OG0001827	LOC109413232	CQUJHB010570, CQUJHB017812, CQUJHB010623
OG0001828	LOC109420226	CQUJHB014610, CQUJHB011345, CQUJHB009880
OG0001829	LOC109424480	CQUJHB007499, CQUJHB014883
OG0001830	LOC109426675	CQUJHB012198
OG0001831	LOC109428415, LOC134284681	CQUJHB014199
OG0001832	LOC109401664, LOC109418846	CQUJHB012280
OG0001833	LOC109621803	CQUJHB012719
OG0001834	LOC109416692	CQUJHB011754
OG0001835	LOC109413271	CQUJHB000069
OG0001837	LOC109411881	CQUJHB000827
OG0001838	LOC115264580	CQUJHB001157
OG0001839	LOC109423925	CQUJHB002246
OG0001841	LOC109407816, LOC134288728	CQUJHB004226
OG0001842	LOC134292126, LOC109425933	CQUJHB003224
OG0001843	LOC115261297	CQUJHB001883
OG0001844	LOC109433484	CQUJHB017539
OG0001845	LOC109422692, LOC115260992	CQUJHB002279
OG0001846	LOC109405247	CQUJHB010678
OG0001848	LOC134284916, LOC109397853	CQUJHB015143
OG0001849	LOC109419429	CQUJHB005774
OG0001850	LOC109401980	CQUJHB015673
OG0001851	LOC134292233, LOC109428047	CQUJHB004201
OG0001852	LOC109428744	CQUJHB014663
OG0001853	LOC109402885	CQUJHB009903
OG0001854	LOC109432643, LOC109401984	CQUJHB010799
OG0001855	LOC109404342	CQUJHB002102
OG0001856	LOC109409625	CQUJHB016160
OG0001857	LOC109622061	CQUJHB018237
OG0001859	LOC115260811	CQUJHB010404
OG0001860	LOC134291182, LOC109404964	CQUJHB017652
OG0001861	LOC109408373	CQUJHB018021
OG0001862	LOC109423135	CQUJHB011807
OG0001863	LOC109403764	CQUJHB006953
OG0001864	LOC134284696	CQUJHB006273
OG0001865	LOC109402625, LOC134284665	CQUJHB016972
OG0001866	LOC109421746	CQUJHB008116
OG0001867	LOC109419826	CQUJHB013482
OG0001869	LOC109418781	CQUJHB005793
OG0001870	LOC109426187	CQUJHB010502
OG0001871	LOC109422596	CQUJHB002846
OG0001872	LOC109410077	CQUJHB014005
OG0001873	LOC109399319	CQUJHB017060
OG0001874	LOC109419187	CQUJHB003814
OG0001875	LOC109419645	CQUJHB003769
OG0001876	LOC109397249	CQUJHB016428
OG0001877	LOC109401326, LOC134289759	CQUJHB007854
OG0001878	LOC109621340	CQUJHB012769
OG0001879	LOC109621461	CQUJHB015487
OG0001881	LOC109406017	CQUJHB006399
OG0001883	LOC109419707, LOC109398542	CQUJHB013762
OG0001884	LOC134285003	CQUJHB010453
OG0001885	LOC109415066, LOC109403279	CQUJHB007303
OG0001886	LOC109424966	CQUJHB007991
OG0001887	LOC115257308	CQUJHB010974
OG0001889	LOC109433612	CQUJHB000173
OG0001890	LOC134290813, LOC109425718	CQUJHB018269
OG0001891	LOC109419396, LOC115255253	CQUJHB010310
OG0001892	LOC109406961	CQUJHB000339
OG0001893	LOC115268038	CQUJHB008767
OG0001894	LOC109405079	CQUJHB005240
OG0001895	LOC109404946	CQUJHB005279
OG0001896	LOC109398729	CQUJHB014927
OG0001897	LOC109427728	CQUJHB000796
OG0001898	LOC109397684	CQUJHB008962
OG0001899	LOC109421627, LOC109407309	CQUJHB016916
OG0001900	LOC134287643, LOC134291705	CQUJHB013396
OG0001900	LOC115269876	CQUJHB005339, CQUJHB003181, CQUJHB017610, CQUJHB002673
OG0001901	LOC109401394	CQUJHB001292
OG0001902	LOC109425480	CQUJHB003665, CQUJHB015274
OG0001903	LOC109417933	CQUJHB016326, CQUJHB011952, CQUJHB010866, CQUJHB006662
OG0001904	LOC109417639, LOC134288392, LOC109429967, LOC134287081	CQUJHB008925
OG0001904	LOC109399441	CQUJHB009889
OG0001904	LOC134285197	CQUJHB017139
OG0001905	LOC115260613, LOC109422822	CQUJHB015251
OG0001906	LOC115263719	CQUJHB012925
OG0001907	LOC109433256	CQUJHB014583
OG0001908	LOC109399310	CQUJHB003954
OG0001909	LOC109401882	CQUJHB010206, CQUJHB007957, CQUJHB008854
OG0001910	LOC109406561	CQUJHB011929
OG0001911	LOC134288626, LOC109412697, LOC109412674, LOC109418867	CQUJHB001039, CQUJHB017423
OG0001912	LOC109418706	CQUJHB012127
OG0001913	LOC109415218	CQUJHB010947
OG0001914	LOC109622269, LOC134284321	CQUJHB014627
OG0001915	LOC109411724	CQUJHB003422
OG0001916	LOC109418329, LOC109427298, LOC134290652	CQUJHB017477
OG0001917	LOC134289826, LOC134290016	CQUJHB016388
OG0001918	LOC109416319, LOC109426538	CQUJHB011861
OG0001919	LOC109404918	CQUJHB013909
OG0001920	LOC134291561, LOC134292029	CQUJHB016365
OG0001921	LOC109400821, LOC115261618	CQUJHB010226, CQUJHB020401, CQUJHB020267, CQUJHB001248
OG0001922	LOC109432087	CQUJHB001701
OG0001923	LOC109418028	CQUJHB011173
OG0001924	LOC109407223	CQUJHB008851
OG0001925	LOC134289014, LOC109433003	CQUJHB008947
OG0001926	LOC109422966	CQUJHB005904
OG0001928	LOC109411119	CQUJHB017584
OG0001929	LOC109415216	CQUJHB009052
OG0001930	LOC109407984	CQUJHB000488
OG0001931	LOC109431473	CQUJHB001579
OG0001933	LOC109422611, LOC134290099	CQUJHB009853
OG0001934	LOC109409980, LOC109420213	CQUJHB008345, CQUJHB014551
OG0001936	LOC109420512	CQUJHB004665, CQUJHB005204, CQUJHB015632, CQUJHB013367, CQUJHB020250, CQUJHB011298, CQUJHB013671, CQUJHB004805
OG0001937	LOC109428694	CQUJHB005452
OG0001938	LOC134289924, LOC134291084	CQUJHB013689
OG0001939	LOC109431794	CQUJHB015433
OG0001940	LOC109402629, LOC134284706	CQUJHB003955
OG0001941	LOC109428574	CQUJHB017019
OG0001942	LOC109430547	CQUJHB002444
OG0001944	LOC115267705, LOC109401974	CQUJHB012856
OG0001945	LOC109416118	CQUJHB015802
OG0001946	LOC109428492	CQUJHB004460
OG0001947	LOC109398278, LOC134287376	CQUJHB017725
OG0001948	LOC134285004	CQUJHB012140
OG0001949	LOC109411764, LOC134283906, LOC115262162	CQUJHB007700
OG0001950	LOC109420871	CQUJHB007473
OG0001951	LOC109429628	CQUJHB017052
OG0001952	LOC109414279	CQUJHB014332
OG0001953	LOC109400594	CQUJHB009317
OG0001954	LOC115269977	CQUJHB006751
OG0001955	LOC109429386	CQUJHB014791
OG0001956	LOC109424975, LOC109431086	CQUJHB015498
OG0001957	LOC115254148	CQUJHB008729, CQUJHB007723
OG0001958	LOC109422033, LOC115258249	CQUJHB015953
OG0001959	LOC109400375, LOC134292012	CQUJHB009277
OG0001960	LOC109400170	CQUJHB018138
OG0001961	LOC115262164, LOC109411692	CQUJHB014631
OG0001962	LOC109411919	CQUJHB016651
OG0001963	LOC109400999	CQUJHB011444
OG0001964	LOC115259196	CQUJHB018337
OG0001965	LOC109408777	CQUJHB013662
OG0001967	LOC109404916	CQUJHB014857, CQUJHB011439, CQUJHB007918, CQUJHB001615, CQUJHB018421, CQUJHB017737, CQUJHB007901, CQUJHB001597, CQUJHB018417, CQUJHB016633
OG0001968	LOC109397081	CQUJHB002848
OG0001969	LOC109406016, LOC134287314, LOC109426628	CQUJHB009273
OG0001970	LOC109430327	CQUJHB014942, CQUJHB003598, CQUJHB006771
OG0001971	LOC109622601, LOC115262671	CQUJHB009557
OG0001972	LOC109424736, LOC109412777, LOC109424735	CQUJHB009191, CQUJHB017842
OG0001973	LOC134284006, LOC109401373	CQUJHB003163
OG0001974	LOC109424678	CQUJHB003100
OG0001975	LOC109404750	CQUJHB017537, CQUJHB000395
OG0001976	LOC134290393, LOC109424037	CQUJHB002571
OG0001977	LOC115256432, LOC115256898	CQUJHB018154
OG0001978	LOC109415848	CQUJHB012118
OG0001979	LOC109405716	CQUJHB002147
OG0001980	LOC109421982	CQUJHB016028
OG0001981	LOC109401056	CQUJHB002973
OG0001982	LOC109408928	CQUJHB010272, CQUJHB001693, CQUJHB010161
OG0001983	LOC109428527	CQUJHB007443
OG0001987	LOC134291220, LOC134291212, LOC134288974, LOC134289751, LOC134289772, LOC109403392, LOC134291616, LOC134291594, LOC134287742, LOC134291308, LOC134287466	CQUJHB006876
OG0001988	LOC109403458	CQUJHB001325
OG0001989	LOC109405746, LOC115253797, LOC109406285, LOC109405945, LOC115259199, LOC134283954, LOC134285202, LOC109429803, LOC134286786, LOC109423604, LOC134286819	CQUJHB004683
OG0001991	LOC109408951	CQUJHB008591, CQUJHB015134, CQUJHB016889, CQUJHB007471, CQUJHB009367
OG0001993	LOC134286335, LOC134289842, LOC134286521	CQUJHB005649, CQUJHB008574
OG0001993	LOC134290929, LOC134290871, LOC134290601, LOC109415089	CQUJHB017660
OG0001993	LOC134286897	CQUJHB010806
OG0001994	LOC134287007, LOC109623162, LOC109420516, LOC115255408, LOC109420972, LOC109623167, LOC134287009, LOC134287011, LOC109420494, LOC109421147, LOC134286346	CQUJHB008971
OG0001995	LOC134284796	CQUJHB003881
OG0001995	LOC134286091, LOC134290687, LOC134286076, LOC134290498, LOC134285693, LOC134291739, LOC109424290, LOC134286049, LOC134290044	CQUJHB016406
OG0001998	LOC109427676	CQUJHB006595
OG0002000	LOC109622174	CQUJHB006851
OG0002003	LOC134288100, LOC134284517, LOC134291055, LOC134290586, LOC134287639, LOC134291463, LOC134290343, LOC134286577, LOC134286370, LOC134286038, LOC134286696	CQUJHB002863
OG0002005	LOC134289822	CQUJHB016333
OG0002007	LOC134290641, LOC134290358	CQUJHB005008, CQUJHB010288
OG0002007	LOC134289529, LOC134290269	CQUJHB011482, CQUJHB015678, CQUJHB012262, CQUJHB007319, CQUJHB005850, CQUJHB013157
OG0002027	LOC134284098	CQUJHB015303
OG0002028	LOC109400867	CQUJHB000015
OG0002029	LOC109400853	CQUJHB000454, CQUJHB003417
OG0002030	LOC109415517	CQUJHB007781
OG0002031	LOC109622166	CQUJHB015561
OG0002031	LOC115258974	CQUJHB016004
OG0002032	LOC109416752	CQUJHB007591, CQUJHB017901
OG0002033	LOC109400817	CQUJHB000201
OG0002034	LOC109408864	CQUJHB002364
OG0002035	LOC109400059	CQUJHB012676
OG0002036	LOC109430465	CQUJHB008731
OG0002037	LOC109400635	CQUJHB020324, CQUJHB020378
OG0002038	LOC109409544	CQUJHB001224
OG0002039	LOC109405475	CQUJHB010689
OG0002040	LOC109423284	CQUJHB018123
OG0002041	LOC134291427	CQUJHB010072
OG0002042	LOC109409112, LOC109420361	CQUJHB011332
OG0002043	LOC109407042, LOC134284007	CQUJHB013302
OG0002044	LOC109424917, LOC134289878	CQUJHB016863
OG0002045	LOC109431073	CQUJHB011243
OG0002046	LOC109424407	CQUJHB018449, CQUJHB016117
OG0002047	LOC134287379, LOC109402571	CQUJHB002076
OG0002048	LOC109422373	CQUJHB001769
OG0002049	LOC109422315	CQUJHB005527, CQUJHB007692
OG0002050	LOC109399436	CQUJHB014964
OG0002051	LOC109430500	CQUJHB005235, CQUJHB010587, CQUJHB000316
OG0002052	LOC109400724, LOC134288393	CQUJHB007752
OG0002053	LOC134284704, LOC109399363	CQUJHB001207
OG0002054	LOC109426021	CQUJHB014552
OG0002055	LOC109427215	CQUJHB013576
OG0002056	LOC109411621	CQUJHB002626
OG0002057	LOC115254070	CQUJHB012693
OG0002058	LOC109427264	CQUJHB004327
OG0002059	LOC109411614	CQUJHB003851
OG0002060	LOC115261425	CQUJHB018185
OG0002061	LOC109411631	CQUJHB009512
OG0002062	LOC109428135	CQUJHB012677
OG0002063	LOC109403732	CQUJHB004868
OG0002064	LOC115267986	CQUJHB017762
OG0002065	LOC115267989	CQUJHB001303
OG0002066	LOC109407648	CQUJHB015590
OG0002067	LOC109421749	CQUJHB014615
OG0002068	LOC109421742	CQUJHB001906
OG0002069	LOC115265604	CQUJHB017104
OG0002070	LOC109426013, LOC134292105	CQUJHB009199
OG0002071	LOC109426042	CQUJHB001370
OG0002072	LOC109429538	CQUJHB008226
OG0002073	LOC109418903, LOC134287421	CQUJHB009920
OG0002074	LOC109407764, LOC134287422	CQUJHB008271
OG0002075	LOC134288620, LOC109407766	CQUJHB015158
OG0002076	LOC109407765, LOC134288618	CQUJHB013464
OG0002077	LOC115268668	CQUJHB015918
OG0002078	LOC115269073	CQUJHB011705
OG0002079	LOC109413927	CQUJHB001903
OG0002080	LOC109622070	CQUJHB013277
OG0002081	LOC115267811	CQUJHB009731
OG0002082	LOC115260975, LOC109432267	CQUJHB003397
OG0002083	LOC109397123, LOC134289571	CQUJHB013356
OG0002084	LOC134291763, LOC109432323	CQUJHB013949
OG0002085	LOC109410268	CQUJHB017489
OG0002086	LOC109410742	CQUJHB010646
OG0002087	LOC109403343	CQUJHB006590
OG0002088	LOC109403370	CQUJHB010181
OG0002089	LOC109410756	CQUJHB002003
OG0002090	LOC109622181	CQUJHB003030
OG0002091	LOC109410269	CQUJHB013258
OG0002092	LOC109410744	CQUJHB017744
OG0002093	LOC109419095	CQUJHB009534
OG0002094	LOC109403365	CQUJHB007383
OG0002095	LOC109426154, LOC115262909	CQUJHB005853
OG0002096	LOC109413045	CQUJHB005530
OG0002097	LOC109621711	CQUJHB017962
OG0002098	LOC109418416, LOC115262876	CQUJHB013710
OG0002099	LOC109418413, LOC115263952	CQUJHB000391
OG0002100	LOC109410392	CQUJHB014387
OG0002101	LOC109430278	CQUJHB012215
OG0002102	LOC115255990, LOC109430275	CQUJHB004208
OG0002104	LOC109425830	CQUJHB017798
OG0002105	LOC109419582, LOC134287816	CQUJHB011479
OG0002106	LOC109409242	CQUJHB015190
OG0002107	LOC109419602	CQUJHB015721
OG0002108	LOC109397554	CQUJHB017811
OG0002109	LOC115253868	CQUJHB003037
OG0002110	LOC109419603	CQUJHB006433
OG0002111	LOC109418101	CQUJHB001706
OG0002112	LOC109405331, LOC109422994	CQUJHB012500
OG0002113	LOC109407734	CQUJHB011651, CQUJHB014730
OG0002114	LOC109419706	CQUJHB010172, CQUJHB010508
OG0002115	LOC109419413	CQUJHB001590
OG0002116	LOC109416058, LOC134288309	CQUJHB000110
OG0002117	LOC115263247	CQUJHB002257, CQUJHB017164
OG0002118	LOC115253829	CQUJHB003964, CQUJHB008253
OG0002119	LOC109419421	CQUJHB014981
OG0002120	LOC109428485	CQUJHB014175
OG0002122	LOC109428898	CQUJHB003340
OG0002123	LOC134287413, LOC109418954	CQUJHB013223
OG0002124	LOC109423789	CQUJHB012406, CQUJHB007350
OG0002125	LOC109430785	CQUJHB011922
OG0002126	LOC109430626	CQUJHB014744, CQUJHB000820
OG0002127	LOC115270285	CQUJHB014050, CQUJHB015643
OG0002128	LOC109406442	CQUJHB009908
OG0002129	LOC109413170	CQUJHB012894, CQUJHB016886
OG0002130	LOC109418076, LOC134289683	CQUJHB009924
OG0002131	LOC109418045	CQUJHB001427
OG0002132	LOC109418078	CQUJHB014710
OG0002133	LOC109418113	CQUJHB006683
OG0002134	LOC109403570	CQUJHB012801
OG0002135	LOC134287957, LOC109412372	CQUJHB002700
OG0002136	LOC109432886, LOC109401423	CQUJHB011012
OG0002137	LOC109432885	CQUJHB008468
OG0002138	LOC109432877	CQUJHB008948
OG0002139	LOC109432878, LOC115257144	CQUJHB001861
OG0002140	LOC109412364, LOC134287960	CQUJHB003839
OG0002141	LOC109401402, LOC134287975	CQUJHB011348
OG0002142	LOC109412374	CQUJHB004693
OG0002143	LOC109422420	CQUJHB018228
OG0002144	LOC115253715, LOC115257520	CQUJHB006170
OG0002145	LOC109417180, LOC115258192	CQUJHB002789
OG0002146	LOC109622503	CQUJHB011719
OG0002148	LOC109401077, LOC115269814	CQUJHB003403
OG0002149	LOC109423358	CQUJHB008545, CQUJHB010818
OG0002150	LOC109622494, LOC109408572	CQUJHB011406
OG0002151	LOC109423373	CQUJHB009644, CQUJHB007757
OG0002152	LOC134284473, LOC109622496	CQUJHB014510
OG0002153	LOC134287835, LOC109408104	CQUJHB003031
OG0002154	LOC109419069, LOC134283963	CQUJHB002808
OG0002155	LOC109426636	CQUJHB005873
OG0002155	LOC109410531	CQUJHB005980
OG0002156	LOC109402345	CQUJHB012918
OG0002157	LOC109413994	CQUJHB000632
OG0002158	LOC109430952	CQUJHB003434
OG0002159	LOC109431639	CQUJHB016275
OG0002160	LOC109417170	CQUJHB015104
OG0002161	LOC109407612	CQUJHB001120
OG0002162	LOC109417181	CQUJHB002048
OG0002163	LOC109420521	CQUJHB004123
OG0002164	LOC115255020, LOC134286135	CQUJHB003090
OG0002165	LOC134286353, LOC109420179	CQUJHB005631
OG0002166	LOC109420136	CQUJHB015094
OG0002167	LOC109420437	CQUJHB009230
OG0002168	LOC109420252	CQUJHB009807
OG0002169	LOC109420234	CQUJHB008100
OG0002170	LOC109401710, LOC134283939	CQUJHB015311
OG0002171	LOC109420154, LOC134287016	CQUJHB017228
OG0002172	LOC109420446	CQUJHB013281
OG0002173	LOC109428002	CQUJHB000228
OG0002174	LOC109427854	CQUJHB003725
OG0002175	LOC109427951	CQUJHB008401
OG0002176	LOC134287653	CQUJHB012513
OG0002177	LOC109412636, LOC109415898	CQUJHB012766
OG0002178	LOC115254132	CQUJHB001425
OG0002179	LOC109432552	CQUJHB001471
OG0002180	LOC109421499	CQUJHB003808
OG0002181	LOC109421441	CQUJHB017639, CQUJHB016180
OG0002182	LOC109417751	CQUJHB006550
OG0002183	LOC115253940	CQUJHB012486
OG0002184	LOC109409012	CQUJHB008635
OG0002185	LOC109429114, LOC115261407	CQUJHB016880
OG0002186	LOC109412597, LOC109433466	CQUJHB004159
OG0002187	LOC109433542, LOC109412591	CQUJHB017101
OG0002188	LOC115259639, LOC109433552	CQUJHB016517
OG0002189	LOC109414087	CQUJHB016647
OG0002190	LOC109421345, LOC134289999	CQUJHB002487
OG0002191	LOC109421303	CQUJHB018069
OG0002192	LOC109421347	CQUJHB005712
OG0002193	LOC109621874	CQUJHB007235
OG0002194	LOC109623123	CQUJHB013506
OG0002195	LOC109623112	CQUJHB010450
OG0002196	LOC109623122	CQUJHB010713
OG0002197	LOC109622232	CQUJHB000244
OG0002198	LOC109622220	CQUJHB006518
OG0002199	LOC109403168	CQUJHB009360
OG0002200	LOC109399521	CQUJHB005566
OG0002201	LOC109398015	CQUJHB005134
OG0002202	LOC109399522	CQUJHB004704
OG0002203	LOC109399509	CQUJHB012321, CQUJHB015547
OG0002204	LOC109415425	CQUJHB005442, CQUJHB009865
OG0002205	LOC109398005	CQUJHB007144
OG0002206	LOC109399457	CQUJHB011470
OG0002207	LOC109409325, LOC115262905	CQUJHB004389
OG0002208	LOC109409311	CQUJHB015490
OG0002209	LOC109419113	CQUJHB006118
OG0002210	LOC109419105	CQUJHB000032
OG0002211	LOC109410267	CQUJHB005012, CQUJHB008285
OG0002212	LOC109430200	CQUJHB006368
OG0002213	LOC109423501	CQUJHB013538
OG0002214	LOC109623422, LOC109413030	CQUJHB000717
OG0002215	LOC134283969, LOC109413007	CQUJHB005950
OG0002216	LOC109417065	CQUJHB009349
OG0002217	LOC109415735	CQUJHB009119
OG0002218	LOC109409421, LOC134285077	CQUJHB015348
OG0002219	LOC109398413, LOC115256555	CQUJHB006148
OG0002220	LOC109425306	CQUJHB003376
OG0002221	LOC134285537, LOC109419802	CQUJHB016640
OG0002222	LOC109425329, LOC109419800	CQUJHB010238
OG0002223	LOC134292059, LOC109433204	CQUJHB008688
OG0002224	LOC109405037	CQUJHB008876, CQUJHB001015
OG0002225	LOC109403386, LOC109416726	CQUJHB005632
OG0002226	LOC115257472	CQUJHB007377
OG0002227	LOC109429491	CQUJHB007253
OG0002228	LOC109403464	CQUJHB010088
OG0002229	LOC109403400	CQUJHB005588
OG0002230	LOC109427858, LOC134287077	CQUJHB014027
OG0002231	LOC109427863	CQUJHB011725, CQUJHB008978, CQUJHB015693
OG0002232	LOC109405991	CQUJHB016597
OG0002233	LOC109410372	CQUJHB016148
OG0002234	LOC109417851, LOC134288489	CQUJHB009841
OG0002235	LOC109403858	CQUJHB010122
OG0002236	LOC109408466	CQUJHB007151
OG0002237	LOC109412791, LOC109404039	CQUJHB014136
OG0002238	LOC109419338	CQUJHB014723
OG0002239	LOC115254246, LOC109420326	CQUJHB003596
OG0002240	LOC134285685, LOC109623083	CQUJHB000437
OG0002242	LOC109414930	CQUJHB014480
OG0002244	LOC134285148	CQUJHB005805
OG0002245	LOC109422877	CQUJHB016908
OG0002246	LOC109403518	CQUJHB010050
OG0002247	LOC109422938	CQUJHB004418, CQUJHB009622
OG0002248	LOC109405092	CQUJHB016195
OG0002249	LOC109405086	CQUJHB009438
OG0002250	LOC115267344	CQUJHB001918
OG0002251	LOC109409091	CQUJHB014276
OG0002252	LOC109411175	CQUJHB009674
OG0002253	LOC109426519	CQUJHB004508
OG0002254	LOC109419228	CQUJHB004592
OG0002255	LOC109399865	CQUJHB010680
OG0002256	LOC109419233	CQUJHB008335
OG0002257	LOC109419166	CQUJHB013146
OG0002258	LOC109425282	CQUJHB003065
OG0002259	LOC115260961, LOC109425456	CQUJHB004536
OG0002260	LOC109418592	CQUJHB003014, CQUJHB015254
OG0002261	LOC109423709	CQUJHB010012
OG0002262	LOC109423726	CQUJHB003690
OG0002263	LOC109414229	CQUJHB003385
OG0002264	LOC134288165, LOC109410293	CQUJHB006913
OG0002265	LOC109414239	CQUJHB007912
OG0002266	LOC109432360	CQUJHB000401
OG0002267	LOC109420869	CQUJHB011217
OG0002268	LOC109412925	CQUJHB006856
OG0002269	LOC109412924	CQUJHB011397
OG0002270	LOC109418710	CQUJHB014938
OG0002271	LOC109418696	CQUJHB010861
