Orthogroup	Aalbopictus_AalbF5	AsinensisChina
OG0001970	LOC109430327	ASIC020957
OG0001971	LOC109622601, LOC115262671	ASIC020075
OG0001972	LOC109424736, LOC109412777, LOC109424735	ASIC014975
OG0001973	LOC134284006, LOC109401373	ASIC014644, ASIC014647, ASIC014646
OG0001974	LOC109424678	ASIC006809, ASIC006810, ASIC006808
OG0001975	LOC109404750	ASIC016307
OG0001976	LOC134290393, LOC109424037	ASIC002837
OG0001977	LOC115256898	ASIC007593
OG0001978	LOC109415848	ASIC013183
OG0001979	LOC109405716	ASIC021431
OG0001980	LOC109421982	ASIC007105
OG0001981	LOC109401056	ASIC004738, ASIC005416, ASIC005417
OG0001982	LOC109408928	ASIC009559
OG0001983	LOC109428527	ASIC000726
OG0001984	LOC134289613, LOC134289614	ASIC007908
OG0001985	LOC115257017, LOC109401735, LOC134284508, LOC115259448	ASIC002600, ASIC014350, ASIC009355, ASIC011656, ASIC006856
OG0001986	LOC109406627, LOC109401861	ASIC018430, ASIC018431
OG0001988	LOC109403458	ASIC009309
OG0001991	LOC109408951	ASIC015307
OG0001997	LOC109621246, LOC109427461	ASIC008026, ASIC005202
OG0001998	LOC109427676	ASIC018519, ASIC007113
OG0002000	LOC109622174	ASIC017876
OG0002008	LOC134291300	ASIC009736
OG0002027	LOC134284098	ASIC003238
OG0002028	LOC109400867	ASIC004635
OG0002029	LOC109400853	ASIC004624
OG0002030	LOC109415517	ASIC003349, ASIC003350
OG0002031	LOC109622166, LOC115258974	ASIC018682
OG0002032	LOC109416752	ASIC002958
OG0002033	LOC109400817	ASIC011378, ASIC011377
OG0002034	LOC109408864	ASIC012000
OG0002035	LOC109400059	ASIC021027
OG0002036	LOC109430465	ASIC000810
OG0002037	LOC109400635	ASIC011301
OG0002038	LOC109409544	ASIC021827
OG0002039	LOC109405475	ASIC002947
OG0002041	LOC134291427	ASIC005413
OG0002043	LOC109407042, LOC134284007	ASIC016092
OG0002044	LOC109424917, LOC134289878	ASIC020314
OG0002045	LOC109431073	ASIC003997
OG0002046	LOC109424407	ASIC022294
OG0002047	LOC134287379, LOC109402571	ASIC015164
OG0002048	LOC109422373	ASIC019373
OG0002049	LOC109422315	ASIC022323
OG0002050	LOC109399436	ASIC019555
OG0002051	LOC109430500	ASIC021402
OG0002052	LOC109400724, LOC134288393	ASIC019453
OG0002053	LOC134284704, LOC109399363	ASIC019558
OG0002054	LOC109426021	ASIC017988
OG0002056	LOC109411621	ASIC014046
OG0002057	LOC115254070	ASIC001072
OG0002058	LOC109427264	ASIC021480
OG0002059	LOC109411614	ASIC020254
OG0002060	LOC115261425	ASIC001073, ASIC001075
OG0002061	LOC109411631	ASIC021479
OG0002062	LOC109428135	ASIC008087
OG0002063	LOC109403732	ASIC021534, ASIC021535
OG0002064	LOC115267986	ASIC005023
OG0002065	LOC115267989	ASIC007917
OG0002066	LOC109407648	ASIC022139, ASIC007889
OG0002067	LOC109421749	ASIC008733
OG0002068	LOC109421742	ASIC008782, ASIC008781
OG0002069	LOC115265604	ASIC022124
OG0002070	LOC109426013, LOC134292105	ASIC013018
OG0002071	LOC109426042	ASIC018214
OG0002072	LOC109429538	ASIC021729
OG0002073	LOC109418903, LOC134287421	ASIC021275
OG0002074	LOC109407764, LOC134287422	ASIC021271
OG0002075	LOC134288620, LOC109407766	ASIC021274
OG0002076	LOC109407765, LOC134288618	ASIC021272
OG0002077	LOC115268668	ASIC018161
OG0002078	LOC115269073	ASIC021866
OG0002079	LOC109413927	ASIC021930
OG0002080	LOC109622070	ASIC021867
OG0002081	LOC115267811	ASIC018312
OG0002082	LOC115260975, LOC109432267	ASIC015286
OG0002083	LOC109397123, LOC134289571	ASIC018021
OG0002084	LOC134291763, LOC109432323	ASIC005781
OG0002085	LOC109410268	ASIC018454
OG0002086	LOC109410742	ASIC018129
OG0002087	LOC109403343	ASIC017914
OG0002088	LOC109403370	ASIC006000
OG0002090	LOC109622181	ASIC017867
OG0002091	LOC109410269	ASIC018456, ASIC018455
OG0002092	LOC109410744	ASIC018125
OG0002093	LOC109419095	ASIC017181
OG0002094	LOC109403365	ASIC017936
OG0002095	LOC109426154, LOC115262909	ASIC007719
OG0002096	LOC109413045	ASIC016402
OG0002097	LOC109621711	ASIC016405
OG0002098	LOC109418416, LOC115262876	ASIC004650
OG0002099	LOC109418413, LOC115263952	ASIC001246
OG0002100	LOC109410392	ASIC005556
OG0002101	LOC109430278	ASIC013962
OG0002102	LOC115255990, LOC109430275	ASIC014056
OG0002103	LOC109428428	ASIC007670, ASIC012713
OG0002104	LOC109425830	ASIC022330
OG0002105	LOC109419582, LOC134287816	ASIC014546
OG0002106	LOC109409242	ASIC006877
OG0002107	LOC109419602	ASIC006879
OG0002108	LOC109397554	ASIC008629
OG0002109	LOC115253868	ASIC001854, ASIC001856
OG0002110	LOC109419603	ASIC016203
OG0002111	LOC109418101	ASIC022024
OG0002112	LOC109405331, LOC109422994	ASIC009627
OG0002113	LOC109407734	ASIC005908
OG0002114	LOC109419706	ASIC002871
OG0002115	LOC109419413	ASIC016066
OG0002116	LOC109416058, LOC134288309	ASIC002426
OG0002117	LOC115263247	ASIC002449
OG0002118	LOC115253829	ASIC014936
OG0002119	LOC109419421	ASIC021143
OG0002120	LOC109428485	ASIC005250
OG0002121	LOC109622653	ASIC006671, ASIC022374
OG0002122	LOC109428898	ASIC010254, ASIC013901
OG0002123	LOC134287413, LOC109418954	ASIC007755
OG0002124	LOC109423789	ASIC000961
OG0002125	LOC109430785	ASIC015819
OG0002126	LOC109430626	ASIC000959
OG0002127	LOC115270285	ASIC014918
OG0002128	LOC109406442	ASIC019705, ASIC019707
OG0002129	LOC109413170	ASIC019737
OG0002130	LOC109418076, LOC134289683	ASIC019714
OG0002131	LOC109418045	ASIC019715
OG0002132	LOC109418078	ASIC019713
OG0002133	LOC109418113	ASIC019760, ASIC019759
OG0002134	LOC109403570	ASIC007671
OG0002135	LOC134287957, LOC109412372	ASIC010759
OG0002136	LOC109432886, LOC109401423	ASIC010608
OG0002137	LOC109432885	ASIC014649
OG0002138	LOC109432877	ASIC012823
OG0002139	LOC109432878, LOC115257144	ASIC013576
OG0002140	LOC134287960	ASIC016191
OG0002141	LOC109401402, LOC134287975	ASIC015744
OG0002142	LOC109412374	ASIC010760, ASIC010761
OG0002143	LOC109422420	ASIC019340, ASIC002840
OG0002144	LOC115253715, LOC115257520	ASIC010953
OG0002145	LOC109417180, LOC115258192	ASIC020567
OG0002146	LOC109622503	ASIC010207
OG0002150	LOC109622494, LOC109408572	ASIC010178
OG0002151	LOC109423373	ASIC010199
OG0002152	LOC134284473, LOC109622496	ASIC010176
OG0002153	LOC134287835, LOC109408104	ASIC006529
OG0002154	LOC109419069, LOC134283963	ASIC003166
OG0002156	LOC109402345	ASIC013182
OG0002157	LOC109413994	ASIC013249, ASIC011665
OG0002158	LOC109430952	ASIC016147
OG0002159	LOC109431639	ASIC016158
OG0002160	LOC109417170	ASIC005907
OG0002161	LOC109407612	ASIC006503, ASIC006502
OG0002162	LOC109417181	ASIC005909
OG0002163	LOC109420521	ASIC013595
OG0002164	LOC115255020, LOC134286135	ASIC006489
OG0002165	LOC134286353, LOC109420179	ASIC014180
OG0002166	LOC109420136	ASIC016190
OG0002167	LOC109420437	ASIC017363
OG0002168	LOC109420252	ASIC014172, ASIC014173
OG0002169	LOC109420234	ASIC014175, ASIC014177
OG0002170	LOC109401710, LOC134283939	ASIC017385
OG0002171	LOC109420154, LOC134287016	ASIC014537
OG0002172	LOC109420446	ASIC017374
OG0002173	LOC109428002	ASIC015855, ASIC015859
OG0002174	LOC109427854	ASIC015765
OG0002175	LOC109427951	ASIC015862
OG0002176	LOC134287653	ASIC015758
OG0002177	LOC109412636, LOC109415898	ASIC010305
OG0002178	LOC115254132	ASIC010323
OG0002179	LOC109432552	ASIC006967
OG0002180	LOC109421499	ASIC006946
OG0002181	LOC109421441	ASIC006978
OG0002182	LOC109417751	ASIC006962
OG0002183	LOC115253940	ASIC006984
OG0002184	LOC109409012	ASIC011348, ASIC011347
OG0002185	LOC109429114, LOC115261407	ASIC019987
OG0002186	LOC109412597, LOC109433466	ASIC009871
OG0002187	LOC109433542, LOC109412591	ASIC005548
OG0002188	LOC115259639, LOC109433552	ASIC005547
OG0002189	LOC109414087	ASIC017009
OG0002190	LOC109421345, LOC134289999	ASIC012115
OG0002191	LOC109421303	ASIC006119, ASIC004492
OG0002192	LOC109421347	ASIC006854
OG0002193	LOC109621874	ASIC006085
OG0002194	LOC109623123	ASIC010661
OG0002195	LOC109623112	ASIC006826, ASIC015187
OG0002196	LOC109623122	ASIC010660, ASIC009424
OG0002197	LOC109622232	ASIC017994
OG0002198	LOC109622220	ASIC020897, ASIC020896
OG0002199	LOC109403168	ASIC000166
OG0002200	LOC109399521	ASIC016662
OG0002201	LOC109398015	ASIC011783
OG0002202	LOC109399522	ASIC011776
OG0002203	LOC109399509	ASIC011768
OG0002204	LOC109415425	ASIC020338
OG0002205	LOC109398005	ASIC016661
OG0002206	LOC109399457	ASIC011778
OG0002207	LOC109409325, LOC115262905	ASIC017189
OG0002208	LOC109409311	ASIC005717, ASIC005716
OG0002209	LOC109419113	ASIC010450
OG0002210	LOC109419105	ASIC010672
OG0002211	LOC109410267	ASIC018457
OG0002212	LOC109430200	ASIC012834
OG0002213	LOC109423501	ASIC014686
OG0002214	LOC109623422, LOC109413030	ASIC002967
OG0002215	LOC134283969, LOC109413007	ASIC005356
OG0002216	LOC109417065	ASIC012340
OG0002217	LOC109415735	ASIC007862
OG0002218	LOC109409421, LOC134285077	ASIC007958
OG0002219	LOC109398413, LOC115256555	ASIC005214
OG0002220	LOC109425306	ASIC003502
OG0002221	LOC134285537, LOC109419802	ASIC004404
OG0002222	LOC109425329, LOC109419800	ASIC013406
OG0002223	LOC134292059, LOC109433204	ASIC009321
OG0002224	LOC109405037	ASIC005338
OG0002225	LOC109403386, LOC109416726	ASIC018378
OG0002226	LOC115257472	ASIC017768
OG0002227	LOC109429491	ASIC020108
OG0002228	LOC109403464	ASIC009316
OG0002229	LOC109403400	ASIC018388
OG0002230	LOC109427858, LOC134287077	ASIC006570
OG0002232	LOC109405991	ASIC012482
OG0002233	LOC109410372	ASIC003803
OG0002234	LOC109417851, LOC134288489	ASIC018832
OG0002235	LOC109403858	ASIC020246
OG0002236	LOC109408466	ASIC021864
OG0002237	LOC109412791, LOC109404039	ASIC011984
OG0002238	LOC109419338	ASIC004264
OG0002239	LOC115254246, LOC109420326	ASIC008778
OG0002240	LOC134285685, LOC109623083	ASIC009868
OG0002242	LOC109414930	ASIC012644
OG0002244	LOC134285148	ASIC006254
OG0002245	LOC109422877	ASIC012060
OG0002246	LOC109403518	ASIC006255
OG0002247	LOC109422938	ASIC012488
OG0002248	LOC109405092	ASIC015312
OG0002249	LOC109405086	ASIC017046
OG0002250	LOC115267344	ASIC020015, ASIC020014
OG0002251	LOC109409091	ASIC020017
OG0002252	LOC109411175	ASIC020013
OG0002253	LOC109426519	ASIC020516
OG0002254	LOC109419228	ASIC008970, ASIC008969
OG0002255	LOC109399865	ASIC002560
OG0002256	LOC109419233	ASIC008976
OG0002257	LOC109419166	ASIC021687
OG0002258	LOC109425282	ASIC014718
OG0002259	LOC115260961, LOC109425456	ASIC020458
OG0002260	LOC109418592	ASIC007614
OG0002261	LOC109423709	ASIC018422
OG0002262	LOC109423726	ASIC010469
OG0002263	LOC109414229	ASIC010460
OG0002264	LOC134288165, LOC109410293	ASIC018427
OG0002265	LOC109414239	ASIC011784
OG0002266	LOC109432360	ASIC017061
OG0002267	LOC109420869	ASIC019662
OG0002268	LOC109412925	ASIC005984
OG0002269	LOC109412924	ASIC005983
OG0002270	LOC109418710	ASIC005100
OG0002271	LOC109418696	ASIC005986
OG0002272	LOC115257397	ASIC005985
OG0002273	LOC109415951	ASIC018296
OG0002275	LOC109621577	ASIC011148
OG0002276	LOC134287982, LOC109420074	ASIC007520
OG0002277	LOC134283903, LOC109430342	ASIC002572
OG0002278	LOC109621581	ASIC002724
OG0002279	LOC109430341, LOC134285460	ASIC002571
OG0002280	LOC109412448	ASIC006169
OG0002281	LOC109430330	ASIC013797
OG0002282	LOC109416056	ASIC010435
OG0002283	LOC109419882	ASIC012038
OG0002284	LOC109406400	ASIC010442, ASIC010444
OG0002285	LOC109415699	ASIC017303
OG0002286	LOC109420708, LOC109419878	ASIC006645
OG0002287	LOC134289036, LOC109420598	ASIC006647
OG0002288	LOC109420709, LOC109419880	ASIC006646
OG0002289	LOC109416070	ASIC018649, ASIC018645
OG0002290	LOC109416062	ASIC009573, ASIC010433
OG0002291	LOC109414266, LOC115255130	ASIC008587
OG0002292	LOC109409873	ASIC007907
OG0002293	LOC109397053	ASIC011292
OG0002294	LOC109432777, LOC109427581	ASIC014393
OG0002295	LOC115265866, LOC109432762	ASIC014391
OG0002296	LOC134288835, LOC109429946	ASIC014370
OG0002297	LOC109424749, LOC134288162, LOC134288161	ASIC009676
OG0002298	LOC134289420, LOC134284108	ASIC008215
OG0002299	LOC134284223, LOC134290051	ASIC008306
OG0002300	LOC134289491, LOC134289492	ASIC008212
OG0002301	LOC109399749	ASIC008296
OG0002302	LOC109402043	ASIC003284
OG0002304	LOC109399568, LOC134291869	ASIC018180
OG0002305	LOC109399616	ASIC005594
OG0002306	LOC115253929	ASIC018042
OG0002307	LOC109399551	ASIC018053
OG0002308	LOC109407825	ASIC019701
OG0002309	LOC109410006	ASIC003770
OG0002310	LOC109412046	ASIC011269
OG0002311	LOC115254010	ASIC012554, ASIC012555
OG0002312	LOC109408179	ASIC010993
OG0002313	LOC109424492	ASIC017979
OG0002314	LOC109408021	ASIC010674
OG0002315	LOC134290090, LOC109424483	ASIC019351
OG0002316	LOC134291937, LOC109424485	ASIC019352
OG0002317	LOC109412013	ASIC010685
OG0002318	LOC109407908	ASIC017653
OG0002319	LOC109412016	ASIC010684
OG0002320	LOC109412014	ASIC010687
OG0002322	LOC109421107	ASIC010914
OG0002323	LOC109400725	ASIC000287
OG0002325	LOC109412429, LOC109430346	ASIC013807
OG0002326	LOC134291683, LOC134291681	ASIC012179
OG0002327	LOC109398663, LOC109398634, LOC109404493, LOC134287796	ASIC020775
OG0002328	LOC109404731	ASIC014614
OG0002329	LOC134289440, LOC134291680	ASIC012174
OG0002330	LOC109424274	ASIC019643, ASIC019654
OG0002331	LOC134285667	ASIC020931
OG0002332	LOC134285668	ASIC010499
OG0002333	LOC134285665	ASIC020932
OG0002334	LOC109398471, LOC134287530	ASIC020940
OG0002335	LOC134285664	ASIC020933
OG0002336	LOC109621515	ASIC020937, ASIC020936
OG0002337	LOC109397859, LOC109402678	ASIC010283
OG0002338	LOC109397898	ASIC009556
OG0002339	LOC109399084	ASIC015352
OG0002340	LOC134291550, LOC134291549	ASIC013306
OG0002341	LOC134290551, LOC134291547	ASIC013312
OG0002342	LOC109417121	ASIC009779
OG0002343	LOC109428102	ASIC021224, ASIC021223
OG0002344	LOC109428107, LOC109418327	ASIC012532
OG0002345	LOC109422336, LOC109424434	ASIC018261, ASIC018262
OG0002347	LOC109402265	ASIC018191
OG0002348	LOC109403260	ASIC004325
OG0002349	LOC109406509	ASIC021519, ASIC021518
OG0002350	LOC109406567	ASIC011104
OG0002351	LOC109403272	ASIC009921
OG0002352	LOC109431388	ASIC007654
OG0002353	LOC115254054	ASIC009591, ASIC015326
OG0002354	LOC115260703	ASIC003973
OG0002355	LOC109425885, LOC134292121	ASIC004931
OG0002356	LOC134291785, LOC115271088	ASIC021496
OG0002357	LOC109402775	ASIC010108
OG0002359	LOC109422641, LOC109402798	ASIC021495
OG0002360	LOC109403780	ASIC018824
OG0002361	LOC109622619, LOC109430237	ASIC012405
OG0002362	LOC109425087	ASIC013622
OG0002363	LOC109425132	ASIC017364
OG0002364	LOC134284637, LOC109411181	ASIC006141
OG0002365	LOC109425134	ASIC013631
OG0002366	LOC134287012, LOC109401720	ASIC006517
OG0002367	LOC109410425	ASIC011485
OG0002368	LOC115266987	ASIC008520, ASIC008531
OG0002369	LOC115268651, LOC109426460	ASIC009313
OG0002370	LOC109426459	ASIC002175
OG0002371	LOC109426436, LOC134291984	ASIC017836
OG0002372	LOC109421311	ASIC008412
OG0002373	LOC109418691	ASIC005978
OG0002374	LOC109424531	ASIC012855
OG0002375	LOC115269425, LOC109424529	ASIC004772
OG0002376	LOC109424530, LOC109428764	ASIC017921
OG0002377	LOC109411984	ASIC004763
OG0002378	LOC109428766, LOC109424527	ASIC004771
OG0002379	LOC134289516, LOC134291359, LOC109411968	ASIC004754
OG0002381	LOC109411982	ASIC004774
OG0002382	LOC134291462	ASIC011305
OG0002383	LOC109409560	ASIC000807
OG0002384	LOC109409568	ASIC004856
OG0002385	LOC109409562	ASIC015007
OG0002386	LOC115254140	ASIC007365
OG0002387	LOC109429595	ASIC007364
OG0002388	LOC109622823	ASIC014123
OG0002389	LOC109397530	ASIC006890
OG0002390	LOC134287219, LOC109400398	ASIC020170
OG0002391	LOC109430970	ASIC020823
OG0002392	LOC134283995, LOC109400418	ASIC020168
OG0002393	LOC109399284	ASIC019906
OG0002395	LOC115260692	ASIC009156, ASIC004465
OG0002396	LOC109419673	ASIC016864
OG0002397	LOC109423063	ASIC010992
OG0002398	LOC109419656	ASIC013987
OG0002399	LOC109622736	ASIC016875
OG0002401	LOC109419770, LOC109398247	ASIC009075
OG0002402	LOC109419754	ASIC006470
OG0002403	LOC109419749	ASIC009086
OG0002404	LOC109425166	ASIC006598
OG0002405	LOC109400297	ASIC014541
OG0002406	LOC134287874	ASIC010155
OG0002407	LOC134286747, LOC134286746	ASIC010140, ASIC010142
OG0002408	LOC134287870	ASIC010157
OG0002409	LOC109418673	ASIC015515
OG0002410	LOC109418659	ASIC015582
OG0002411	LOC109414804	ASIC015504
OG0002412	LOC109414787	ASIC015548
OG0002414	LOC109413491	ASIC017442
OG0002415	LOC109621885	ASIC021870
OG0002416	LOC109397364	ASIC000414, ASIC013785
OG0002417	LOC134287332, LOC109417971	ASIC002709
OG0002418	LOC109420244	ASIC003259
OG0002419	LOC115257373, LOC109412351	ASIC020540
OG0002420	LOC134287965	ASIC012868
OG0002421	LOC109408720	ASIC020906
OG0002422	LOC109404201	ASIC005299
OG0002423	LOC109621948	ASIC002626
OG0002424	LOC109404208	ASIC005304
OG0002425	LOC109621971	ASIC012615, ASIC012614
OG0002426	LOC109622032	ASIC002624
OG0002427	LOC115267754, LOC109428919	ASIC005574
OG0002428	LOC109429006	ASIC020903
OG0002429	LOC115267545, LOC115253482	ASIC013876
OG0002430	LOC109398065	ASIC019093
OG0002431	LOC109400785	ASIC005571
OG0002432	LOC109430180	ASIC015755
OG0002433	LOC109399618	ASIC004804
OG0002434	LOC134289649	ASIC004806
OG0002435	LOC109399629	ASIC005577
OG0002436	LOC134289651	ASIC004808
OG0002437	LOC109405162	ASIC019645
OG0002438	LOC115255638	ASIC002437
OG0002439	LOC109420222, LOC134287057	ASIC003107
OG0002440	LOC109409973, LOC134287058	ASIC003106
OG0002441	LOC109420228	ASIC001377, ASIC016620
OG0002442	LOC134287880	ASIC010122
OG0002443	LOC109424733, LOC109413656	ASIC014965
OG0002444	LOC109412776	ASIC014972
OG0002445	LOC109424734	ASIC014967
OG0002446	LOC115265347, LOC109411808	ASIC002499
OG0002447	LOC109427293	ASIC021092
OG0002448	LOC109418392	ASIC020557
OG0002449	LOC134287053, LOC109408297	ASIC012776
OG0002450	LOC109429300	ASIC020968
OG0002451	LOC109429298	ASIC020876
OG0002452	LOC109622685	ASIC020915
OG0002453	LOC109427437, LOC134284651	ASIC007625
OG0002454	LOC115254485	ASIC006819
OG0002455	LOC115260391, LOC109429374	ASIC008558
OG0002456	LOC109433510, LOC109410673	ASIC013663
OG0002457	LOC109410655	ASIC007893
OG0002458	LOC109410656	ASIC007894
OG0002459	LOC109433485	ASIC007896
OG0002460	LOC109411327	ASIC022233
OG0002461	LOC109415391	ASIC022222
OG0002462	LOC115254152	ASIC014024
OG0002463	LOC115256417	ASIC020320
OG0002464	LOC109420949, LOC109428960	ASIC009948
OG0002465	LOC109400723	ASIC020587
OG0002466	LOC109407578	ASIC019349
OG0002467	LOC109425912	ASIC019430, ASIC019429
OG0002468	LOC109401774	ASIC011552
OG0002469	LOC109401773	ASIC011553
OG0002470	LOC109397889	ASIC010257, ASIC018856
OG0002471	LOC134285697, LOC109416133	ASIC012058
OG0002472	LOC109416125	ASIC006568
OG0002473	LOC109425676	ASIC018869
OG0002474	LOC115258592, LOC109428894	ASIC014426
OG0002475	LOC134289091, LOC109428851	ASIC014434
OG0002476	LOC115258597, LOC115264813	ASIC014429
OG0002477	LOC109417146	ASIC004761
OG0002478	LOC109406308	ASIC005798
OG0002479	LOC109422770	ASIC015087
OG0002480	LOC109425125	ASIC017345
OG0002481	LOC109621402	ASIC006614
OG0002482	LOC109421811, LOC109422789	ASIC007108
OG0002483	LOC109430213	ASIC010486
OG0002484	LOC109432132	ASIC020961, ASIC020959
OG0002485	LOC109430214	ASIC021040
OG0002486	LOC109432118	ASIC020964
OG0002487	LOC109432163	ASIC020954
OG0002488	LOC109398924	ASIC009336
OG0002489	LOC109398916	ASIC022364
OG0002490	LOC109401589	ASIC022160
OG0002491	LOC109431048	ASIC015614
OG0002492	LOC109407800	ASIC015613
OG0002493	LOC109431047, LOC134291461	ASIC015890
OG0002494	LOC109431050	ASIC015612
OG0002495	LOC109398833	ASIC000337
OG0002496	LOC134283901	ASIC007061
OG0002497	LOC109413893	ASIC021722
OG0002498	LOC115255941	ASIC008689
OG0002499	LOC109408612, LOC134290875	ASIC005073
OG0002500	LOC109426170	ASIC008998
OG0002501	LOC115263428	ASIC008994
OG0002502	LOC109408615	ASIC014961, ASIC014962
OG0002503	LOC109418452	ASIC008990
OG0002504	LOC109426183	ASIC008988
OG0002505	LOC109427110	ASIC004554
OG0002506	LOC109430272	ASIC020872
OG0002507	LOC109415541	ASIC020875
OG0002508	LOC109401602, LOC109401592	ASIC015242
OG0002509	LOC109413662	ASIC021499, ASIC021498
OG0002510	LOC109413672	ASIC002752, ASIC002751
OG0002511	LOC109413677	ASIC007053
OG0002512	LOC109622406	ASIC002750
OG0002513	LOC109413801	ASIC012633
OG0002514	LOC109424031	ASIC002834
OG0002515	LOC109412286	ASIC003509
OG0002516	LOC109412821	ASIC012928
OG0002517	LOC109418134	ASIC012933, ASIC012931
OG0002518	LOC109418128	ASIC012926
OG0002519	LOC109418316	ASIC020118
OG0002520	LOC109428086	ASIC000725
OG0002522	LOC109418463	ASIC021263, ASIC021262
OG0002523	LOC109408911	ASIC021256
OG0002524	LOC109422823, LOC115254235	ASIC007579
OG0002525	LOC134289479	ASIC000827
OG0002526	LOC109430536	ASIC012302, ASIC012303
OG0002527	LOC134284727	ASIC000828
OG0002528	LOC109414188	ASIC000823
OG0002529	LOC134284463	ASIC000829
OG0002530	LOC115268037, LOC109426003	ASIC014810
OG0002531	LOC109425980	ASIC014767, ASIC014769
OG0002532	LOC115268207	ASIC014818
OG0002533	LOC115268040	ASIC014798
OG0002534	LOC109425999	ASIC014806, ASIC014796
OG0002535	LOC109402897, LOC115264784	ASIC014484
OG0002536	LOC115265852	ASIC010632
OG0002537	LOC109408035, LOC109405150	ASIC019630
OG0002538	LOC109402504	ASIC020720
OG0002539	LOC109402526	ASIC013106
OG0002540	LOC109621378	ASIC020731
OG0002541	LOC109402524	ASIC013105
OG0002542	LOC109405592, LOC134291522	ASIC015285
OG0002543	LOC109399481	ASIC002949
OG0002544	LOC109416575, LOC109404263	ASIC007414
OG0002545	LOC109404617, LOC109411691	ASIC007254
OG0002546	LOC115262165	ASIC007266
OG0002547	LOC115255812, LOC109398050	ASIC012905
OG0002548	LOC109397944, LOC109418984	ASIC012910
OG0002549	LOC109425640	ASIC018963
OG0002550	LOC115264543	ASIC011099
OG0002552	LOC109422844	ASIC018970
OG0002553	LOC109398302	ASIC007443
OG0002554	LOC109402332	ASIC016006
OG0002555	LOC134290438, LOC109422745	ASIC011392
OG0002556	LOC109411905	ASIC012854
OG0002557	LOC109410563	ASIC018107
OG0002558	LOC109421148	ASIC018116
OG0002559	LOC109410561	ASIC018108
OG0002560	LOC109421162	ASIC018109
OG0002561	LOC109423199	ASIC013215
OG0002562	LOC109427130, LOC134288527	ASIC016335
OG0002563	LOC109406571, LOC134287362	ASIC016334
OG0002564	LOC109426577	ASIC003120
OG0002565	LOC134288526, LOC109426566	ASIC016276
OG0002566	LOC109426432	ASIC017832
OG0002567	LOC109415072	ASIC002420, ASIC002421
OG0002568	LOC109404008	ASIC017835, ASIC017834
OG0002569	LOC109414133	ASIC003356, ASIC003357
OG0002570	LOC109414126	ASIC001786
OG0002571	LOC109427367	ASIC004358, ASIC004359
OG0002572	LOC109427505	ASIC005172, ASIC005173
OG0002573	LOC109414166	ASIC019271, ASIC000881
OG0002574	LOC109403412	ASIC018243
OG0002575	LOC109403501, LOC134285707	ASIC015443
OG0002576	LOC109426385	ASIC018239
OG0002577	LOC109423327	ASIC003714
OG0002578	LOC109423975	ASIC008353, ASIC001767
OG0002579	LOC134289836, LOC109418388	ASIC021086
OG0002580	LOC109405655	ASIC004910
OG0002581	LOC109405633	ASIC007713
OG0002582	LOC109408095, LOC109405124	ASIC019641
OG0002583	LOC109405653	ASIC004911
OG0002584	LOC109398814	ASIC020124
OG0002585	LOC109398867	ASIC020126
OG0002587	LOC109623330	ASIC018012
OG0002588	LOC109426896	ASIC005051
OG0002589	LOC134284181	ASIC005050
OG0002590	LOC109426914, LOC115262691	ASIC018014
OG0002592	LOC109402364	ASIC003528
OG0002593	LOC115259066, LOC109433120	ASIC014230
OG0002594	LOC109415651	ASIC004666
OG0002595	LOC109421544, LOC134288911	ASIC003840
OG0002596	LOC109404488, LOC115261477	ASIC020997
OG0002597	LOC109404485, LOC109406304	ASIC020998
OG0002598	LOC115261515, LOC109406330	ASIC005788
OG0002599	LOC115255186	ASIC017737
OG0002600	LOC115255198	ASIC017726
OG0002601	LOC109404843	ASIC014591
OG0002602	LOC109406408	ASIC011704, ASIC011703
OG0002603	LOC109414745	ASIC006181
OG0002604	LOC109409145, LOC109421538	ASIC006117
OG0002605	LOC109421533	ASIC006110
OG0002606	LOC109421532	ASIC006109, ASIC006108
OG0002607	LOC109622812, LOC115258686	ASIC017188
OG0002608	LOC109416620	ASIC008013, ASIC008014
OG0002609	LOC109432823	ASIC020088, ASIC020087
OG0002610	LOC109432824	ASIC008004
OG0002611	LOC115263106	ASIC018495
OG0002612	LOC115266598	ASIC016479
OG0002613	LOC109408281	ASIC021728, ASIC021739
OG0002614	LOC109400374, LOC109432401	ASIC008403
OG0002615	LOC109400366, LOC115269287	ASIC008433
OG0002616	LOC109400373, LOC109432405	ASIC008407
OG0002617	LOC109432402, LOC109400372	ASIC008404
OG0002618	LOC115266307	ASIC013458
OG0002619	LOC109622266	ASIC013457
OG0002620	LOC109414459	ASIC013456, ASIC013454
OG0002621	LOC109421127	ASIC021047
OG0002623	LOC109400501, LOC134285588	ASIC012655
OG0002624	LOC109417729	ASIC013315
OG0002625	LOC109417783	ASIC011971
OG0002626	LOC109430374	ASIC003204
OG0002627	LOC109411125	ASIC011007
OG0002628	LOC115266582	ASIC011005, ASIC011004
OG0002629	LOC109407257	ASIC006101
OG0002630	LOC115254012	ASIC006121
OG0002631	LOC115258536, LOC134283945	ASIC006602
OG0002633	LOC109410215	ASIC010828
OG0002634	LOC109417528	ASIC010829
OG0002635	LOC109417255	ASIC013940
OG0002636	LOC109403665	ASIC019086, ASIC019085
OG0002637	LOC109430294	ASIC021355
OG0002638	LOC109411589	ASIC015907
OG0002639	LOC109411591	ASIC005692, ASIC007594
OG0002640	LOC134287987, LOC109622877	ASIC002799
