Orthogroup	Aalbopictus_AalbF5	LlongipalpisASM
OG0001160	LOC109422898	LOC129789294
OG0001162	LOC109429639	LOC129789452
OG0001163	LOC109408144	LOC129793609
OG0001166	LOC134287911, LOC109433152	LOC129791338
OG0001167	LOC109427842	LOC129790044
OG0001168	LOC115254133, LOC115259941	LOC129797215
OG0001170	LOC109400599, LOC109404937	LOC129791829
OG0001171	LOC109398784	LOC129794785
OG0001172	LOC109402238, LOC115267212	LOC129787585
OG0001173	LOC115254019, LOC109409323	LOC129797583
OG0001174	LOC109423252	LOC129786251
OG0001175	LOC109430199	LOC129787315
OG0001176	LOC109407838, LOC109406699	LOC129797364
OG0001177	LOC109398410, LOC134285080	LOC129785986
OG0001178	LOC109398429, LOC109400389	LOC129790517
OG0001179	LOC109424163	LOC129791030
OG0001180	LOC109398296	LOC129788976
OG0001181	LOC109431898	LOC129786120
OG0001182	LOC109404407	LOC129787593
OG0001183	LOC115254245	LOC129786482
OG0001184	LOC115260379	LOC129795045
OG0001185	LOC109408324	LOC129788331
OG0001186	LOC109399828, LOC109425278	LOC129790558
OG0001188	LOC109400071, LOC134285480	LOC129786823
OG0001189	LOC134285458, LOC109430336	LOC129787741
OG0001190	LOC109399858	LOC129794660
OG0001191	LOC109426877, LOC109623336	LOC129796042
OG0001192	LOC109404765	LOC129795136
OG0001194	LOC109422324	LOC129797076, LOC129786937
OG0001195	LOC109420175, LOC115265507, LOC115253931	LOC129796300
OG0001196	LOC109402290	LOC129796450
OG0001197	LOC109425930	LOC129796231
OG0001198	LOC115257036, LOC115271087	LOC129796825
OG0001199	LOC109401821	LOC129787441
OG0001200	LOC109429397, LOC109429398	LOC129794951
OG0001201	LOC109429413	LOC129793638
OG0001202	LOC109429357, LOC109399008	LOC129790675
OG0001204	LOC109398994	LOC129788920
OG0001205	LOC109423381, LOC109411733	LOC129788476
OG0001206	LOC115266521, LOC109405943	LOC129793483
OG0001207	LOC109400415, LOC134285561	LOC129789730
OG0001208	LOC109401631	LOC129792511, LOC129790343
OG0001209	LOC109412137	LOC129787116
OG0001210	LOC109419765	LOC129789059
OG0001211	LOC109418670	LOC129794278, LOC129789216, LOC129796320
OG0001212	LOC109413525, LOC109404511	LOC129786776
OG0001215	LOC109402519	LOC129794117
OG0001218	LOC115264208, LOC109424846	LOC129787982
OG0001219	LOC109397997	LOC129792661
OG0001220	LOC109409965	LOC129792760
OG0001221	LOC109424732, LOC115262659	LOC129795596
OG0001222	LOC109429370	LOC129792565
OG0001223	LOC109397896, LOC134284903	LOC129789118
OG0001224	LOC109419778	LOC129789722, LOC129788434
OG0001225	LOC109422806, LOC109422805	LOC129791107
OG0001226	LOC109423007	LOC129789466
OG0001227	LOC109398837	LOC129786360
OG0001229	LOC109432373	LOC129793019
OG0001230	LOC109421195	LOC129790742
OG0001231	LOC134289400, LOC109421940	LOC129786580
OG0001232	LOC109425023	LOC129787800, LOC129797716, LOC129788785, LOC129788854
OG0001234	LOC109411239	LOC129797505
OG0001235	LOC115260549, LOC109429483	LOC129797456
OG0001236	LOC109425430	LOC129790098
OG0001237	LOC109429816	LOC129788970
OG0001238	LOC134290013, LOC109431876	LOC129790419
OG0001239	LOC134285050, LOC109402083	LOC129790877
OG0001241	LOC134287589, LOC109409124	LOC129789826
OG0001244	LOC109407655	LOC129794671
OG0001245	LOC109397845, LOC134284920	LOC129790968
OG0001246	LOC115256389, LOC109422032	LOC129792984
OG0001247	LOC109401126	LOC129794715, LOC129794718, LOC129791053
OG0001248	LOC109411800, LOC134284657	LOC129791559
OG0001249	LOC109426998, LOC134289906	LOC129796838
OG0001250	LOC109426285, LOC109426330	LOC129787582
OG0001251	LOC109433013	LOC129793082
OG0001252	LOC109622518, LOC115265421	LOC129789405, LOC129786917
OG0001253	LOC109424155	LOC129792804
OG0001254	LOC109428509, LOC115256602, LOC115256201	LOC129789034
OG0001255	LOC109406841	LOC129790304
OG0001257	LOC109421565, LOC134287600	LOC129791044
OG0001258	LOC115268579, LOC109424235	LOC129794691, LOC129795222
OG0001259	LOC109411315, LOC115256778	LOC129791214
OG0001260	LOC134287926	LOC129789595
OG0001262	LOC134288991, LOC109425229	LOC129791832
OG0001263	LOC109427473, LOC115253538	LOC129790926
OG0001264	LOC109623253, LOC134283943	LOC129795841, LOC129795859
OG0001265	LOC109397730	LOC129788738
OG0001266	LOC109397755	LOC129794670
OG0001267	LOC115261027	LOC129790155
OG0001270	LOC109397767, LOC109428788	LOC129787668
OG0001271	LOC115254229	LOC129786592
OG0001272	LOC115256865, LOC115256862	LOC129788766, LOC129789543
OG0001274	LOC109422727	LOC129785967
OG0001275	LOC134292068	LOC129792084, LOC129792227, LOC129794467, LOC129792193, LOC129792203
OG0001279	LOC109622238	LOC129796608
OG0001281	LOC109419875	LOC129794285
OG0001282	LOC115267375, LOC109414779, LOC109403608, LOC134283976	LOC129786284
OG0001284	LOC109423481, LOC109432158	LOC129790360
OG0001285	LOC109431042	LOC129796168
OG0001286	LOC134289703, LOC109431437	LOC129789014
OG0001288	LOC109404970	LOC129797044
OG0001290	LOC115253728, LOC115253648	LOC129787999
OG0001291	LOC134287434, LOC115265489, LOC134287431, LOC115265793, LOC134288628, LOC134287432, LOC109412769, LOC109412656	LOC129791602
OG0001292	LOC109405109	LOC129789424
OG0001293	LOC109428987, LOC109428986	LOC129786935
OG0001294	LOC109420767, LOC109420768	LOC129791685
OG0001295	LOC115253773	LOC129793962
OG0001296	LOC115253446, LOC109417626	LOC129794252
OG0001297	LOC115267280	LOC129797220
OG0001298	LOC109418502	LOC129797123
OG0001299	LOC109416152	LOC129787722
OG0001300	LOC134287657, LOC115269315, LOC115258242	LOC129797464
OG0001301	LOC109419050	LOC129796273
OG0001302	LOC134286327, LOC109409335, LOC115258647	LOC129792444
OG0001303	LOC115254181	LOC129797679
OG0001304	LOC109423814, LOC109423816	LOC129791772
OG0001305	LOC134287947, LOC134285832	LOC129786484
OG0001306	LOC109410908	LOC129796126, LOC129796098, LOC129796104
OG0001307	LOC109411157	LOC129792399, LOC129791720
OG0001309	LOC109412146	LOC129787408
OG0001310	LOC109401653, LOC109423622	LOC129787452
OG0001312	LOC134284789, LOC115253587, LOC109400069	LOC129786821
OG0001313	LOC109415593	LOC129787578
OG0001314	LOC109418486, LOC134290799	LOC129796344
OG0001316	LOC109415596	LOC129787612
OG0001317	LOC109405223	LOC129787196
OG0001318	LOC109429474	LOC129789533
OG0001321	LOC109404943	LOC129793272, LOC129795294, LOC129791884
OG0001322	LOC109430816	LOC129792131, LOC129793391
OG0001323	LOC109401483	LOC129785945
OG0001324	LOC109405167	LOC129792952
OG0001325	LOC109408945, LOC109408968, LOC109433597, LOC109431157	LOC129794890
OG0001326	LOC109417777	LOC129788057
OG0001327	LOC109428554, LOC115256775	LOC129787207, LOC129788203
OG0001329	LOC109399298, LOC109433350	LOC129787650
OG0001331	LOC109431357	LOC129790418
OG0001332	LOC109429511	LOC129794793
OG0001333	LOC109405215, LOC109400336	LOC129786501
OG0001334	LOC109429898, LOC109418351	LOC129787387
OG0001335	LOC109425652	LOC129792520
OG0001336	LOC109622846	LOC129791812
OG0001337	LOC109398792	LOC129788453
OG0001338	LOC109408443	LOC129795569
OG0001339	LOC109411545	LOC129797428
OG0001340	LOC115253815, LOC134284004	LOC129789911
OG0001341	LOC109409870	LOC129794983
OG0001342	LOC109429299	LOC129791318
OG0001343	LOC109425390	LOC129788194
OG0001344	LOC109409584	LOC129797436
OG0001345	LOC109397824	LOC129790255
OG0001346	LOC109429111	LOC129789567
OG0001347	LOC109423693	LOC129788984
OG0001348	LOC109398732	LOC129786210
OG0001349	LOC115261534	LOC129791767
OG0001350	LOC109398757	LOC129787246, LOC129787425, LOC129786048
OG0001351	LOC109409011	LOC129797309
OG0001352	LOC109431771	LOC129786038, LOC129794831
OG0001354	LOC109414240	LOC129791656
OG0001355	LOC134288770, LOC109410234	LOC129790355
OG0001356	LOC134287590, LOC109421539	LOC129788536
OG0001357	LOC134289560, LOC109416894	LOC129795488
OG0001358	LOC109401679	LOC129794642
OG0001359	LOC134289509, LOC109397126	LOC129794603
OG0001360	LOC109621323	LOC129794827
OG0001361	LOC109402379	LOC129787346
OG0001362	LOC109417226	LOC129788712
OG0001363	LOC109423859	LOC129794094
OG0001364	LOC109415242	LOC129790890
OG0001366	LOC109401936, LOC134284978	LOC129788668
OG0001369	LOC109433666	LOC129795634
OG0001370	LOC134291765, LOC115264667	LOC129795437
OG0001371	LOC115263025, LOC109410219	LOC129792074
OG0001372	LOC109431036	LOC129795849
OG0001373	LOC109422117	LOC129789048, LOC129789043, LOC129793651, LOC129789013
OG0001374	LOC109427893	LOC129792865
OG0001375	LOC115254608	LOC129793978, LOC129792762, LOC129795854, LOC129791830
OG0001376	LOC109426839	LOC129792898
OG0001377	LOC109401309	LOC129792532
OG0001378	LOC109399634	LOC129794706
OG0001379	LOC109425436	LOC129788726
OG0001380	LOC115255807	LOC129792424
OG0001381	LOC134285580, LOC109417800	LOC129793780
OG0001382	LOC134284445, LOC109416467	LOC129793511, LOC129795968
OG0001383	LOC109405057	LOC129797248
OG0001384	LOC115263576	LOC129792709
OG0001385	LOC109433599	LOC129789000
OG0001386	LOC115257876	LOC129795895, LOC129795900, LOC129796669
OG0001387	LOC109400433	LOC129795414
OG0001388	LOC109405203	LOC129787304
OG0001389	LOC109420544	LOC129791452
OG0001390	LOC109412784, LOC134284140, LOC134284141	LOC129787307
OG0001391	LOC134285373	LOC129789040
OG0001392	LOC109398078	LOC129792320
OG0001393	LOC109421628, LOC115265587	LOC129788658
OG0001394	LOC109423405	LOC129786332
OG0001395	LOC109406231	LOC129786709
OG0001396	LOC109410520	LOC129792394
OG0001397	LOC109426160, LOC109418423	LOC129790720
OG0001398	LOC109411751, LOC134287342	LOC129790783
OG0001399	LOC109404024	LOC129789852
OG0001400	LOC109410014, LOC115265144	LOC129794148
OG0001401	LOC109407868	LOC129785966
OG0001402	LOC109421548	LOC129788358, LOC129788323
OG0001403	LOC109431372	LOC129790814
OG0001404	LOC109401891	LOC129789519
OG0001405	LOC109402372	LOC129787029
OG0001408	LOC109416447	LOC129794090
OG0001409	LOC109409967	LOC129787691, LOC129787692, LOC129787693, LOC129787694
OG0001410	LOC134284294, LOC134284644, LOC109424724	LOC129795836
OG0001411	LOC134287310, LOC109407909	LOC129792767
OG0001412	LOC109432366, LOC109423073	LOC129787254
OG0001413	LOC134284471, LOC134283931, LOC109623134	LOC129792243
OG0001414	LOC134289566, LOC109432331	LOC129795699
OG0001444	LOC115254260	LOC129791749
OG0001447	LOC109400053	LOC129789309
OG0001448	LOC134284498, LOC109430466	LOC129797300
OG0001449	LOC134288003, LOC134284401, LOC109413202	LOC129793937
OG0001450	LOC134283904, LOC109402569	LOC129792179
OG0001452	LOC115261415	LOC129796323
OG0001454	LOC109426047	LOC129795189
OG0001455	LOC109417637	LOC129789413
OG0001456	LOC109411415, LOC109411417, LOC115267899	LOC129796306
OG0001458	LOC115258944	LOC129792908
OG0001459	LOC109410753	LOC129785982
OG0001460	LOC109410759	LOC129792966
OG0001463	LOC109411214	LOC129797338, LOC129797339
OG0001464	LOC115255401, LOC109411220	LOC129797131
OG0001465	LOC109418060	LOC129791129
OG0001466	LOC109421653	LOC129793510, LOC129786827, LOC129785848
OG0001467	LOC109421659	LOC129791077
OG0001468	LOC134283928, LOC109429626	LOC129788389
OG0001469	LOC134289575, LOC109403034	LOC129791746
OG0001471	LOC109423771	LOC129793106
OG0001472	LOC109423748	LOC129794429, LOC129794428, LOC129793075
OG0001473	LOC109403573	LOC129787638
OG0001474	LOC115257191, LOC109432861	LOC129788540
OG0001475	LOC109412369	LOC129790456
OG0001476	LOC109412368	LOC129790454
OG0001477	LOC134291944, LOC109424500	LOC129794782
OG0001478	LOC109423370, LOC115257528	LOC129791803
OG0001479	LOC109408358	LOC129792690
OG0001480	LOC109431403, LOC134285926	LOC129789467
OG0001481	LOC109426648, LOC134284780, LOC134288523	LOC129792723
OG0001482	LOC134287358, LOC109426647	LOC129792722
OG0001483	LOC109426672	LOC129791534
OG0001484	LOC115267285	LOC129792446
OG0001486	LOC109413954	LOC129791975
OG0001488	LOC109430940	LOC129786309
OG0001489	LOC134284001, LOC109420624	LOC129786140
OG0001491	LOC109415901	LOC129795445
OG0001492	LOC109421432	LOC129788839
OG0001493	LOC115266443, LOC109432536	LOC129789657
OG0001494	LOC115265509	LOC129795685
OG0001495	LOC134285717, LOC109401923	LOC129794601, LOC129795731
OG0001496	LOC109404954	LOC129791948
OG0001497	LOC109404952	LOC129793206
OG0001498	LOC109415195	LOC129790584
OG0001499	LOC109428390	LOC129789756
OG0001500	LOC109415202	LOC129791347
OG0001502	LOC109409324, LOC115258583	LOC129790803
OG0001503	LOC109432154	LOC129797594
OG0001504	LOC115256587	LOC129789482
OG0001505	LOC109409418, LOC134285076	LOC129788406
OG0001506	LOC109409431	LOC129797141
OG0001509	LOC109427823, LOC115259047	LOC129789890
OG0001510	LOC109621708	LOC129791619
OG0001511	LOC115264697	LOC129794898
OG0001513	LOC109623099	LOC129790094
OG0001514	LOC109431589	LOC129794509, LOC129788006
OG0001515	LOC109397596, LOC134284656	LOC129794063
OG0001516	LOC109398423, LOC134284660	LOC129789723
OG0001517	LOC109410291	LOC129793025
OG0001518	LOC109415941, LOC134290778	LOC129786143
OG0001519	LOC109411048, LOC109411047	LOC129787590
OG0001521	LOC109418948, LOC109400097	LOC129787794
OG0001522	LOC109622284, LOC109409963	LOC129786952
OG0001523	LOC109416057	LOC129789653, LOC129796678, LOC129790491
OG0001524	LOC134289496, LOC134289494, LOC134289495	LOC129787654
OG0001525	LOC134289673, LOC109399658	LOC129794659
OG0001526	LOC115266550	LOC129786471
OG0001527	LOC109412015	LOC129786192
OG0001528	LOC109412018	LOC129786390, LOC129786377
OG0001530	LOC109422144	LOC129785953
OG0001532	LOC134289439	LOC129797401
OG0001533	LOC109621513	LOC129788033, LOC129788157, LOC129788158
OG0001534	LOC109399108	LOC129796090
OG0001535	LOC109399100	LOC129790763
OG0001536	LOC109399093	LOC129795103, LOC129790583
OG0001537	LOC109422342, LOC109424442	LOC129795333
OG0001538	LOC109406517, LOC109403312	LOC129786614
OG0001539	LOC109431389	LOC129790300, LOC129793277
OG0001540	LOC109407674	LOC129796484
OG0001541	LOC109422649, LOC134291372, LOC109402824	LOC129797282
OG0001543	LOC109412996	LOC129790535
OG0001545	LOC134286314, LOC109425088	LOC129791550
OG0001546	LOC134289754, LOC109426437	LOC129796309
OG0001547	LOC115257489	LOC129795817
OG0001548	LOC109412921	LOC129795510
OG0001549	LOC109409558	LOC129790245
OG0001550	LOC134291447	LOC129786366
OG0001551	LOC109429598, LOC115262100	LOC129789089
OG0001552	LOC109420357	LOC129796512
OG0001553	LOC109406422	LOC129792539, LOC129793331
OG0001554	LOC115260696, LOC109432362	LOC129789305
OG0001555	LOC134286757	LOC129791177
OG0001556	LOC109400308	LOC129788452
OG0001557	LOC109431868	LOC129785961
OG0001559	LOC115260213, LOC109414794	LOC129796361
OG0001560	LOC109428936	LOC129795006
OG0001561	LOC109428933	LOC129795077, LOC129795076
OG0001563	LOC109409653	LOC129787878
OG0001564	LOC109409662	LOC129793487
OG0001565	LOC109432222	LOC129789959
OG0001566	LOC109409964	LOC129793035
OG0001569	LOC109429359, LOC109398210	LOC129787760
OG0001570	LOC109429314, LOC109400906	LOC129793656
OG0001571	LOC109427435	LOC129789218
OG0001572	LOC109427434	LOC129788874
OG0001573	LOC109410664	LOC129786492
OG0001574	LOC109427067	LOC129793674
OG0001575	LOC109424979	LOC129790110
OG0001576	LOC109431106, LOC109424968	LOC129788159
OG0001577	LOC115254138, LOC109421033	LOC129791301
OG0001578	LOC109416121, LOC109419098, LOC109405787	LOC129790970
OG0001579	LOC109433328	LOC129792659
OG0001580	LOC109430281	LOC129787883
OG0001582	LOC109398907	LOC129797368
OG0001583	LOC115264563	LOC129797370
OG0001584	LOC109398917	LOC129797763
OG0001585	LOC109431046, LOC134284127	LOC129789268
OG0001586	LOC115261381	LOC129788752
OG0001587	LOC115255928, LOC109421116	LOC129787948
OG0001588	LOC109431331	LOC129786414, LOC129786472
OG0001589	LOC109412611, LOC109401544	LOC129789338, LOC129789341
OG0001590	LOC109419966, LOC134287715	LOC129792557
OG0001592	LOC115268366	LOC129795990
OG0001593	LOC134284199, LOC109424033	LOC129795094
OG0001594	LOC109424032	LOC129787197, LOC129789390
OG0001595	LOC115264858, LOC134284715	LOC129792937
OG0001596	LOC109412832	LOC129793446
OG0001597	LOC109425981	LOC129794506
OG0001598	LOC115268041	LOC129796977
OG0001599	LOC109425997	LOC129795862, LOC129795861
OG0001600	LOC115256111	LOC129787918
OG0001601	LOC109411829	LOC129794834
OG0001602	LOC115261561, LOC109402475	LOC129793648
OG0001603	LOC109402525	LOC129787433
OG0001604	LOC115269208, LOC109418988	LOC129791740, LOC129797719
OG0001605	LOC109398184	LOC129792643
OG0001606	LOC134289650, LOC109422742	LOC129786475
OG0001607	LOC109410579	LOC129794461
OG0001608	LOC109421160	LOC129793958
OG0001609	LOC109421159	LOC129793831
OG0001610	LOC134283998, LOC109427105	LOC129790774
OG0001611	LOC109410535, LOC134287361	LOC129794313
OG0001612	LOC109418813	LOC129795496
OG0001613	LOC109405806	LOC129793815, LOC129786668, LOC129786729
OG0001614	LOC109403984	LOC129795844
OG0001615	LOC115254470	LOC129793898
OG0001616	LOC109403403	LOC129792007
OG0001617	LOC109621635, LOC109429086	LOC129790376
OG0001618	LOC109431932	LOC129792832, LOC129787634
OG0001619	LOC109427882	LOC129786506, LOC129786488
OG0001620	LOC109427885	LOC129786438
OG0001621	LOC109398864	LOC129787620
OG0001622	LOC134283989, LOC109426925	LOC129792130
OG0001623	LOC134285599, LOC109416957	LOC129787944
OG0001624	LOC109397551	LOC129787347
OG0001625	LOC109432771	LOC129796179
OG0001626	LOC109417532, LOC109410216	LOC129792140, LOC129797795
OG0001627	LOC109421124	LOC129797847
OG0001628	LOC109621710	LOC129791569
OG0001629	LOC115269210	LOC129790874, LOC129789217, LOC129792829
OG0001630	LOC109397865	LOC129795633
OG0001631	LOC109400499	LOC129786221
OG0001632	LOC109415156	LOC129793617
OG0001633	LOC109622893, LOC115258542	LOC129789417
OG0001634	LOC109411700, LOC134288815	LOC129796839
OG0001635	LOC115254267	LOC129795027
OG0001636	LOC109401140, LOC109422552	LOC129790733
OG0001637	LOC109433074	LOC129790595
OG0001638	LOC109420450	LOC129790797
OG0001639	LOC115253945, LOC109416842, LOC109405681	LOC129796206
OG0001640	LOC109621844	LOC129789851, LOC129789850, LOC129789085
OG0001641	LOC109399186	LOC129790175
OG0001642	LOC109420954, LOC109399228	LOC129793308
OG0001643	LOC115257156	LOC129797437
OG0001644	LOC109408449	LOC129796435
OG0001645	LOC109415684, LOC109425047	LOC129795123
OG0001647	LOC109426339	LOC129796554
OG0001648	LOC109405852	LOC129787158
OG0001649	LOC109409730	LOC129786326, LOC129795316, LOC129786322
OG0001650	LOC115271010	LOC129790931
OG0001651	LOC109409494	LOC129790887
OG0001652	LOC109397239	LOC129786116
OG0001654	LOC109398935	LOC129789585
OG0001655	LOC109427527, LOC115256522	LOC129789602
OG0001656	LOC109417569	LOC129788086
OG0001657	LOC109419928, LOC134284520	LOC129789357
OG0001658	LOC109411254	LOC129786809
OG0001659	LOC109400136, LOC109413090	LOC129793899
OG0001660	LOC109426168	LOC129786022
OG0001661	LOC109428200	LOC129786658
OG0001662	LOC109427897, LOC115263986	LOC129792648
OG0001663	LOC109398740, LOC109418764	LOC129796251
OG0001664	LOC109427405, LOC109410123	LOC129790572
OG0001665	LOC109427431, LOC134285038	LOC129790134
OG0001666	LOC109410126, LOC109427407	LOC129789751
OG0001667	LOC115254514, LOC109427416	LOC129790063
OG0001668	LOC115261817, LOC109405709	LOC129793929
OG0001669	LOC109417873, LOC134288487	LOC129792436
OG0001670	LOC109621464	LOC129795951
OG0001671	LOC109433059	LOC129788616
OG0001672	LOC109409320	LOC129789273, LOC129789272
OG0001673	LOC115253996	LOC129787185
OG0001674	LOC109418062	LOC129792010
OG0001675	LOC109414834	LOC129791982
OG0001676	LOC109623260	LOC129795464
OG0001677	LOC109428052, LOC109428054, LOC115261585	LOC129797117
OG0001678	LOC115264498, LOC109406869	LOC129789742
OG0001679	LOC109401866, LOC134284971	LOC129788938
OG0001680	LOC134285041, LOC109406867	LOC129797090
OG0001681	LOC109399621	LOC129794747, LOC129794746
OG0001682	LOC109417772	LOC129788060
OG0001683	LOC109411854, LOC115259476	LOC129790728
OG0001684	LOC109412731, LOC109411856	LOC129790725
OG0001686	LOC134291965, LOC109422607	LOC129796857
OG0001688	LOC109411570	LOC129797292, LOC129797293, LOC129786585
OG0001689	LOC134288000, LOC109413201	LOC129787992
OG0001690	LOC109421972	LOC129789156
OG0001691	LOC109427990	LOC129793247, LOC129793246
OG0001692	LOC109409457, LOC115256851	LOC129790239
OG0001694	LOC109405232	LOC129787868
OG0001695	LOC115254377, LOC109400080	LOC129786751
OG0001696	LOC109421739	LOC129788426
OG0001697	LOC115270187	LOC129792997
OG0001699	LOC109416248	LOC129795526
OG0001700	LOC115253486	LOC129793749, LOC129791126, LOC129789479
OG0001702	LOC109416535, LOC115258710	LOC129789529
OG0001704	LOC109407506	LOC129785963
OG0001705	LOC109622241	LOC129797629
OG0001706	LOC109622242	LOC129789605, LOC129795515
OG0001708	LOC109403032	LOC129797541, LOC129792617, LOC129792400
OG0001709	LOC109416365	LOC129787238, LOC129790388
OG0001710	LOC134284301, LOC109424714	LOC129796140
OG0001711	LOC109398767, LOC134284945	LOC129788442
OG0001712	LOC134284927, LOC109427493	LOC129789964
OG0001714	LOC109404794, LOC109423879	LOC129791296
OG0001715	LOC109623312	LOC129796923
OG0001716	LOC109419530	LOC129790480
OG0001717	LOC109409288	LOC129789932
OG0001718	LOC109410458	LOC129797155
OG0001719	LOC109427538	LOC129791721
OG0001720	LOC109415992	LOC129786098
OG0001721	LOC115267417	LOC129785973
OG0001722	LOC109404966	LOC129797064
OG0001723	LOC109416168	LOC129795874
OG0001724	LOC115266621	LOC129786652
OG0001725	LOC109417806	LOC129794113
OG0001726	LOC134283970, LOC109426755	LOC129792607, LOC129792727
OG0001727	LOC109431071	LOC129788794
OG0001728	LOC109405380	LOC129787839
OG0001730	LOC109414978	LOC129796021
OG0001731	LOC109414740, LOC109426838	LOC129788792, LOC129791986
OG0001732	LOC134284641, LOC109412044	LOC129796695
OG0001733	LOC109412040, LOC134284643	LOC129786263
OG0001734	LOC109423450	LOC129791737, LOC129792398
OG0001735	LOC109432041, LOC109432033	LOC129790824
OG0001736	LOC109404016	LOC129796096
OG0001737	LOC109413566	LOC129795468
OG0001738	LOC134285257, LOC134285256	LOC129788301
OG0001739	LOC109431508	LOC129788022
OG0001741	LOC109405745, LOC109433391	LOC129787555
OG0001742	LOC134285350, LOC109406906	LOC129792632
OG0001743	LOC109409336, LOC109419088	LOC129792747
OG0001744	LOC115266916, LOC109409339	LOC129787602
OG0001745	LOC115253436, LOC109409337	LOC129787587
OG0001746	LOC109419087, LOC115254144	LOC129797065
OG0001747	LOC109412507	LOC129794259
OG0001748	LOC109622592	LOC129786441
OG0001749	LOC109423813	LOC129792376
OG0001750	LOC109397805	LOC129790222
OG0001751	LOC115262555, LOC109421913	LOC129794909
OG0001752	LOC109412833	LOC129786866
OG0001753	LOC109425656	LOC129796574, LOC129796573
OG0001754	LOC109405799	LOC129788770, LOC129788776, LOC129795979
OG0001755	LOC109407063, LOC134287784	LOC129794760
OG0001756	LOC109404905	LOC129791759
OG0001757	LOC109428450	LOC129789606
OG0001758	LOC109424214	LOC129789116
OG0001759	LOC115253756	LOC129789065
OG0001760	LOC109409473, LOC109409536	LOC129787052
OG0001762	LOC109403484	LOC129792088
OG0001763	LOC109409745, LOC134290471	LOC129791736
OG0001764	LOC109416470	LOC129794248
OG0001765	LOC109416471	LOC129793816
OG0001767	LOC109412573, LOC134285652, LOC134291846, LOC109397046	LOC129785893
OG0001768	LOC109417011	LOC129792769
OG0001769	LOC134285649, LOC109397026, LOC109397016	LOC129793630
OG0001771	LOC109417248	LOC129788791
OG0001772	LOC109420576, LOC109417482	LOC129789245, LOC129789345
OG0001773	LOC134292031, LOC134291557	LOC129792735
OG0001774	LOC134291921	LOC129789403
OG0001775	LOC109430170, LOC115264870	LOC129790827
OG0001776	LOC134284690, LOC109417821	LOC129793498
OG0001777	LOC115258559, LOC109407268	LOC129788364
OG0001778	LOC109412274	LOC129797665
OG0001779	LOC109432700, LOC134291660	LOC129794840
OG0001780	LOC109421912, LOC134291661	LOC129794939
OG0001781	LOC109417113	LOC129793429
OG0001782	LOC109404988	LOC129787820
OG0001783	LOC115269840, LOC134285564	LOC129786246
OG0001784	LOC109417839, LOC109400156, LOC134291253	LOC129793241
OG0001785	LOC109398559	LOC129797674
OG0001786	LOC109622009	LOC129791199
OG0001787	LOC109430088, LOC115256457	LOC129791381
OG0001788	LOC109399416	LOC129792127
OG0001789	LOC109400672	LOC129792135
OG0001790	LOC115269692, LOC109398409	LOC129790876
OG0001791	LOC115258107, LOC109421724	LOC129786553
OG0001792	LOC109425704	LOC129796385
OG0001793	LOC134288462, LOC109418002	LOC129792442
OG0001794	LOC109406030, LOC134287316	LOC129797226
OG0001795	LOC109401855	LOC129789520, LOC129789252
OG0001796	LOC109397908	LOC129792783
OG0001798	LOC109417110	LOC129787211
OG0001799	LOC134292118, LOC109431857	LOC129788959
OG0001800	LOC115267643, LOC109398720	LOC129788729
OG0001802	LOC109402431	LOC129797610
OG0001803	LOC109427363	LOC129791007, LOC129791008
OG0001804	LOC109427576, LOC109432855, LOC115268908	LOC129795693
OG0001805	LOC109411553	LOC129790995
OG0001806	LOC109418918	LOC129792413
OG0001807	LOC109398712	LOC129791367
OG0001808	LOC134288996	LOC129792755
OG0001811	LOC109422709, LOC109412322	LOC129792465
OG0001812	LOC134288872, LOC109401913	LOC129787649
OG0001813	LOC109418066	LOC129793732, LOC129793734
OG0001814	LOC109414833	LOC129792252
OG0001815	LOC109427442	LOC129787405
OG0001816	LOC115263163	LOC129793276
OG0001817	LOC115255345	LOC129790365
OG0001818	LOC109407931	LOC129787508
OG0001819	LOC109428456, LOC109422096	LOC129789556
OG0001820	LOC109409788	LOC129793706
OG0001821	LOC109403224	LOC129791557
OG0001822	LOC109416244	LOC129793139
OG0001823	LOC109622551, LOC109622547	LOC129791671
OG0001824	LOC109622879, LOC134287988	LOC129790984
OG0001825	LOC109428464	LOC129795054
OG0001827	LOC109413232	LOC129787714, LOC129787776
OG0001829	LOC109424480	LOC129795457
OG0001830	LOC109406715, LOC109426675, LOC115265264, LOC115265266	LOC129795064
OG0001831	LOC109428415, LOC134284681	LOC129790640
OG0001832	LOC109401664, LOC109418846	LOC129795501
OG0001833	LOC109621803	LOC129791389
OG0001834	LOC109416692	LOC129792115
OG0001835	LOC109413271	LOC129787975
OG0001837	LOC109411881	LOC129787074
OG0001838	LOC115264580	LOC129795573
OG0001839	LOC109423925	LOC129791005
OG0001840	LOC109405671	LOC129788825
OG0001841	LOC109407816, LOC134288728	LOC129791580
OG0001842	LOC134292126, LOC109425933	LOC129794817
OG0001843	LOC115261297	LOC129788150
OG0001844	LOC109433484	LOC129797361
OG0001845	LOC109422692, LOC115260992	LOC129792975
OG0001846	LOC109405247	LOC129796912
OG0001848	LOC134284916, LOC109397853	LOC129790690
OG0001849	LOC109419429	LOC129796195
OG0001850	LOC109401980	LOC129792298
OG0001851	LOC134292233, LOC109428047	LOC129797616, LOC129797574
OG0001852	LOC109428744	LOC129797324
OG0001853	LOC109402885	LOC129794826
OG0001854	LOC109432643, LOC109401984	LOC129794842
