Orthogroup	Aalbopictus_AalbF5	AgambiaePEST
OG0001510	LOC109621708	AGAP007705
OG0001511	LOC115264697	AGAP011391, AGAP011389, AGAP011390
OG0001512	LOC109422268	AGAP028519
OG0001513	LOC109623099	AGAP029568
OG0001514	LOC109431589	AGAP011985
OG0001515	LOC109397596, LOC134284656	AGAP000018
OG0001516	LOC109398423, LOC134284660	AGAP013158
OG0001517	LOC109410291	AGAP005747
OG0001518	LOC109415941, LOC134290778	AGAP011357
OG0001519	LOC109411048, LOC109411047	AGAP001671
OG0001521	LOC109418948, LOC109400097	AGAP003462
OG0001522	LOC109622284, LOC109409963	AGAP012802, AGAP004109
OG0001523	LOC109416057	AGAP008143
OG0001524	LOC134289496, LOC134289494, LOC134289495	AGAP001940
OG0001525	LOC134289673, LOC109399658	AGAP012364
OG0001526	LOC115266550	AGAP029903
OG0001527	LOC109412015	AGAP008846
OG0001528	LOC109412018	AGAP008843
OG0001529	LOC115261461	AGAP003572
OG0001530	LOC109422144	AGAP000178
OG0001531	LOC109426929, LOC134291542, LOC109623394	AGAP010855
OG0001532	LOC134289439	AGAP001381
OG0001533	LOC109621513	AGAP004395
OG0001534	LOC109399108	AGAP010751
OG0001535	LOC109399100	AGAP011293
OG0001536	LOC109399093	AGAP011284
OG0001537	LOC109422342, LOC109424442	AGAP029469
OG0001538	LOC109406517, LOC109403312	AGAP003219
OG0001539	LOC109431389	AGAP011172
OG0001540	LOC109407674	AGAP012910, AGAP011045
OG0001541	LOC109422649, LOC134291372, LOC109402824	AGAP001954
OG0001542	LOC109412267	AGAP000108
OG0001543	LOC109412996	AGAP000159
OG0001544	LOC109425086, LOC109429448	AGAP007981
OG0001545	LOC134286314, LOC109425088	AGAP013732
OG0001546	LOC134289754, LOC109426437	AGAP011655
OG0001547	LOC115257489	AGAP010554
OG0001548	LOC109412921	AGAP010553
OG0001549	LOC109409558	AGAP012856, AGAP029379, AGAP013035
OG0001550	LOC134291447	AGAP004720
OG0001551	LOC109429598, LOC115262100	AGAP009428
OG0001552	LOC109420357	AGAP011535
OG0001553	LOC109406422	AGAP005381
OG0001554	LOC115260696, LOC109432362	AGAP013495
OG0001555	LOC134286757	AGAP010094, AGAP013723
OG0001556	LOC109400308	AGAP008348
OG0001557	LOC109431868	AGAP012694, AGAP002081
OG0001559	LOC115260213, LOC109414794	AGAP010517
OG0001560	LOC109428936	AGAP029443
OG0001561	LOC109428933	AGAP010463
OG0001563	LOC109409653	AGAP004649
OG0001564	LOC109409662	AGAP007627
OG0001565	LOC109432222	AGAP003672
OG0001566	LOC109409964	AGAP006376
OG0001567	LOC115255706	AGAP000204
OG0001568	LOC109429467, LOC109399163, LOC109414010	AGAP007356
OG0001569	LOC109429359, LOC109398210	AGAP004329, AGAP004330
OG0001570	LOC109429314, LOC109400906	AGAP003717, AGAP003716
OG0001571	LOC109427435	AGAP008706
OG0001572	LOC109427434	AGAP000552
OG0001573	LOC109410664	AGAP010676
OG0001574	LOC109427067	AGAP001113
OG0001575	LOC109424979	AGAP000894
OG0001576	LOC109431106, LOC109424968	AGAP000403
OG0001577	LOC115254138, LOC109421033	AGAP008647
OG0001578	LOC109416121, LOC109419098, LOC109405787	AGAP004624
OG0001579	LOC109433328	AGAP002558
OG0001580	LOC109430281	AGAP003695, AGAP003692
OG0001581	LOC109401806	AGAP028434
OG0001582	LOC109398907	AGAP004672
OG0001583	LOC115264563	AGAP004695
OG0001584	LOC109398917	AGAP012191
OG0001585	LOC109431046, LOC134284127	AGAP010380
OG0001586	LOC115261381	AGAP003132
OG0001587	LOC115255928, LOC109421116	AGAP002891
OG0001588	LOC109431331	AGAP002888
OG0001589	LOC109412611, LOC109401544	AGAP011508
OG0001590	LOC109419966, LOC134287715	AGAP008098
OG0001591	LOC109421937, LOC109421936, LOC109421938	AGAP012357
OG0001592	LOC115268366	AGAP010920, AGAP012418
OG0001593	LOC134284199, LOC109424033	AGAP001697
OG0001594	LOC109424032	AGAP001699
OG0001595	LOC115264858, LOC134284715	AGAP003755
OG0001596	LOC109412832	AGAP029185
OG0001597	LOC109425981	AGAP011025
OG0001598	LOC115268041	AGAP010985
OG0001599	LOC109425997	AGAP011964
OG0001600	LOC115256111	AGAP000242
OG0001601	LOC109411829	AGAP012900, AGAP012577, AGAP010645
OG0001602	LOC115261561, LOC109402475	AGAP001471
OG0001603	LOC109402525	AGAP009280
OG0001604	LOC115269208, LOC109418988	AGAP006039
OG0001605	LOC109398184	AGAP005431
OG0001606	LOC134289650, LOC109422742	AGAP001217
OG0001607	LOC109410579	AGAP011904
OG0001608	LOC109421160	AGAP011907
OG0001609	LOC109421159	AGAP011906
OG0001610	LOC134283998, LOC109427105	AGAP006344
OG0001611	LOC109410535, LOC134287361	AGAP005412
OG0001612	LOC109418813	AGAP029645
OG0001613	LOC109405806	AGAP011736
OG0001614	LOC109403984	AGAP011659
OG0001615	LOC115254470	AGAP002533
OG0001616	LOC109403403	AGAP028108, AGAP028157
OG0001617	LOC109621635, LOC109429086	AGAP003410
OG0001618	LOC109431932	AGAP002543
OG0001619	LOC109427882	AGAP008666
OG0001620	LOC109427885	AGAP008674
OG0001621	LOC109398864	AGAP007871
OG0001622	LOC134283989, LOC109426925	AGAP011444, AGAP012608
OG0001623	LOC134285599, LOC109416957	AGAP002340
OG0001624	LOC109397551	AGAP009183
OG0001625	LOC109432771	AGAP001495
OG0001626	LOC109417532, LOC109410216	AGAP009053
OG0001627	LOC109421124	AGAP002465
OG0001628	LOC109621710	AGAP005810, AGAP005811
OG0001629	LOC115269210	AGAP007480
OG0001630	LOC109397865	AGAP011656, AGAP011657, AGAP000355
OG0001631	LOC109400499	AGAP002392
OG0001632	LOC109415156	AGAP005010
OG0001633	LOC109622893, LOC115258542	AGAP008771, AGAP012796
OG0001634	LOC109411700, LOC134288815	AGAP009506
OG0001635	LOC115254267	AGAP013455
OG0001636	LOC109401140, LOC109422552	AGAP003739
OG0001637	LOC109433074	AGAP008862
OG0001638	LOC109420450	AGAP009549
OG0001639	LOC115253945, LOC109416842, LOC109405681	AGAP009188
OG0001640	LOC109621844	AGAP009284
OG0001641	LOC109399186	AGAP007361
OG0001642	LOC109420954, LOC109399228	AGAP007379
OG0001643	LOC115257156	AGAP003305
OG0001644	LOC109408449	AGAP001340, AGAP001341
OG0001645	LOC109415684, LOC109425047	AGAP002011
OG0001647	LOC109426339	AGAP001886
OG0001648	LOC109405852	AGAP012906, AGAP001911
OG0001649	LOC109409730	AGAP007264
OG0001650	LOC115271010	AGAP000809
OG0001651	LOC109409494	AGAP008539, AGAP000291
OG0001652	LOC109397239	AGAP002307
OG0001653	LOC109397269	AGAP002323
OG0001654	LOC109398935	AGAP000660
OG0001655	LOC109427527, LOC115256522	AGAP010670
OG0001656	LOC109417569	AGAP008087
OG0001657	LOC109419928, LOC134284520	AGAP008360
OG0001658	LOC109411254	AGAP004011
OG0001659	LOC109400136, LOC109413090	AGAP012045
OG0001660	LOC109426168	AGAP002039, AGAP012803
OG0001661	LOC109428200	AGAP029610
OG0001662	LOC109427897, LOC115263986	AGAP007967
OG0001663	LOC109398740, LOC109418764	AGAP012804, AGAP004759
OG0001664	LOC109427405, LOC109410123	AGAP000324
OG0001665	LOC109427431, LOC134285038	AGAP011383
OG0001666	LOC109410126, LOC109427407	AGAP000328
OG0001667	LOC115254514, LOC109427416	AGAP000634
OG0001668	LOC115261817, LOC109405709	AGAP003875
OG0001669	LOC109417873, LOC134288487	AGAP005624
OG0001670	LOC109621464	AGAP029622
OG0001671	LOC109433059	AGAP007771
OG0001672	LOC109409320	AGAP007700
OG0001673	LOC115253996	AGAP002287
OG0001674	LOC109418062	AGAP007201
OG0001675	LOC109414834	AGAP007202
OG0001676	LOC109623260	AGAP004780
OG0001677	LOC109428052, LOC109428054, LOC115261585	AGAP001537
OG0001678	LOC115264498, LOC109406869	AGAP001030
OG0001679	LOC109401866, LOC134284971	AGAP029239
OG0001680	LOC134285041, LOC109406867	AGAP002954
OG0001681	LOC109399621	AGAP011350
OG0001682	LOC109417772	AGAP009002
OG0001683	LOC109411854, LOC115259476	AGAP004532
OG0001684	LOC109412731, LOC109411856	AGAP004533
OG0001686	LOC134291965, LOC109422607	AGAP029562
OG0001687	LOC109431059, LOC109431039	AGAP010377
OG0001688	LOC109411570	AGAP010370
OG0001689	LOC134288000, LOC109413201	AGAP013021
OG0001690	LOC109421972	AGAP000425
OG0001691	LOC109427990	AGAP001197
OG0001692	LOC109409457, LOC115256851	AGAP000901
OG0001693	LOC109621313, LOC109413128	AGAP010675
OG0001694	LOC109405232	AGAP004646
OG0001695	LOC115254377, LOC109400080	AGAP004097
OG0001696	LOC109421739	AGAP002181
OG0001697	LOC115270187	AGAP012779, AGAP012902, AGAP004964
OG0001698	LOC109405751, LOC109429050	AGAP003224, AGAP012820
OG0001699	LOC109416248	AGAP008814
OG0001700	LOC115253486	AGAP008113
OG0001701	LOC109414896, LOC134286191, LOC134286192, LOC115255478	AGAP008117
OG0001702	LOC109416535	AGAP029772
OG0001704	LOC109407506	AGAP029632
OG0001705	LOC109622241	AGAP012001
OG0001706	LOC109622242	AGAP012004
OG0001707	LOC109403088, LOC109408671	AGAP006222, AGAP006223
OG0001708	LOC109403032	AGAP006227
OG0001709	LOC109416365	AGAP013023, AGAP012972
OG0001710	LOC134284301, LOC109424714	AGAP010794
OG0001711	LOC109398767, LOC134284945	AGAP012471, AGAP000575
OG0001712	LOC134284927, LOC109427493	AGAP000967
OG0001713	LOC115268078, LOC109408019, LOC109405158	AGAP005629
OG0001714	LOC109404794, LOC109423879	AGAP009737
OG0001715	LOC109623312	AGAP028433
OG0001716	LOC109419530	AGAP029791, AGAP009586
OG0001717	LOC109409288	AGAP009583
OG0001718	LOC109410458	AGAP003595
OG0001719	LOC109427538	AGAP005176
OG0001720	LOC109415992	AGAP012809, AGAP004266
OG0001721	LOC115267417	AGAP002929
OG0001722	LOC109404966	AGAP012705, AGAP003900
OG0001723	LOC109416168	AGAP003898
OG0001724	LOC115266621	AGAP005531
OG0001725	LOC109417806	AGAP007138
OG0001726	LOC134283970, LOC109426755	AGAP006120
OG0001727	LOC109431071	AGAP006572, AGAP000118
OG0001728	LOC109405380	AGAP011677
OG0001729	LOC109420617, LOC109420616	AGAP007859, AGAP007856
OG0001730	LOC109414978	AGAP029989
OG0001731	LOC109414740, LOC109426838	AGAP006279
OG0001732	LOC134284641, LOC109412044	AGAP004757
OG0001733	LOC109412040, LOC134284643	AGAP004754
OG0001734	LOC109423450	AGAP002268
OG0001736	LOC109404016	AGAP012787, AGAP003464
OG0001737	LOC109413566	AGAP010351
OG0001738	LOC134285257, LOC134285256	AGAP000463
OG0001739	LOC109431508	AGAP000948
OG0001740	LOC109431730, LOC109431727	AGAP028399
OG0001741	LOC109405745, LOC109433391	AGAP002552
OG0001742	LOC134285350, LOC109406906	AGAP000284
OG0001743	LOC109409336, LOC109419088	AGAP008838
OG0001744	LOC115266916, LOC109409339	AGAP008835
OG0001745	LOC115253436, LOC109409337	AGAP008836
OG0001746	LOC109419087, LOC115254144	AGAP008834
OG0001747	LOC109412507	AGAP004882, AGAP012660
OG0001749	LOC109423813	AGAP005125
OG0001750	LOC109397805	AGAP000646
OG0001751	LOC115262555, LOC109421913	AGAP011819
OG0001752	LOC109412833	AGAP001652
OG0001753	LOC109425656	AGAP011717
OG0001754	LOC109405799	AGAP011847
OG0001755	LOC109407063, LOC134287784	AGAP009650
OG0001756	LOC109404905	AGAP006328
OG0001757	LOC109428450	AGAP001653
OG0001758	LOC109424214	AGAP008916
OG0001759	LOC115253756	AGAP008914
OG0001760	LOC109409473, LOC109409536	AGAP000670
OG0001761	LOC115253466, LOC115256661, LOC109409534, LOC109409468	AGAP000572
OG0001762	LOC109403484	AGAP029815
OG0001763	LOC109409745, LOC134290471	AGAP007722
OG0001764	LOC109416470	AGAP006665
OG0001765	LOC109416471	AGAP006669
OG0001766	LOC115259763, LOC109402938, LOC115259762, LOC109402932	AGAP002508
OG0001767	LOC109412573, LOC134285652, LOC134291846, LOC109397046	AGAP001422
OG0001768	LOC109417011	AGAP006925
OG0001769	LOC134285649, LOC109397026, LOC109397016	AGAP001421
OG0001771	LOC109417248	AGAP009680
OG0001772	LOC109420576, LOC109417482	AGAP009009
OG0001773	LOC134292031, LOC134291557	AGAP001819
OG0001774	LOC134291921	AGAP001810
OG0001775	LOC109430170, LOC115264870	AGAP008412
OG0001776	LOC134284690, LOC109417821	AGAP006384
OG0001777	LOC109407268	AGAP008511
OG0001778	LOC109412274	AGAP013121
OG0001779	LOC109432700, LOC134291660	AGAP011817
OG0001780	LOC109421912, LOC134291661	AGAP011816
OG0001781	LOC109417113	AGAP001584
OG0001782	LOC109404988	AGAP003030
OG0001783	LOC115269840, LOC134285564	AGAP004504
OG0001784	LOC109417839, LOC109400156, LOC134291253	AGAP007082
OG0001785	LOC109398559	AGAP001658
OG0001786	LOC109622009	AGAP029704
OG0001787	LOC109430088, LOC115256457	AGAP000338
OG0001788	LOC109399416	AGAP007210
OG0001789	LOC109400672	AGAP007209
OG0001790	LOC115269692, LOC109398409	AGAP000791
OG0001791	LOC115258107, LOC109421724	AGAP002760
OG0001792	LOC109425704	AGAP005789, AGAP005864
OG0001793	LOC134288462, LOC109418002	AGAP007001
OG0001794	LOC109406030, LOC134287316	AGAP007002
OG0001795	LOC109401855	AGAP000840
OG0001796	LOC109397908	AGAP006045
OG0001797	LOC109430946	AGAP006408
OG0001798	LOC109417110	AGAP001586
OG0001799	LOC134292118, LOC109431857	AGAP002094
OG0001800	LOC115267643, LOC109398720	AGAP008515
OG0001801	LOC109429036, LOC109429037	AGAP007374
OG0001802	LOC109402431	AGAP004631
OG0001803	LOC109427363	AGAP000699
OG0001804	LOC109427576, LOC109432855, LOC115268908	AGAP008155
OG0001805	LOC109411553	AGAP002090
OG0001806	LOC109418918	AGAP006063
OG0001807	LOC109398712	AGAP008944
OG0001808	LOC134288996	AGAP005243
OG0001809	LOC109428244, LOC115266369, LOC109427949	AGAP009832
OG0001810	LOC109427940	AGAP009844
OG0001811	LOC109422709	AGAP003766
OG0001812	LOC134288872, LOC109401913	AGAP000618
OG0001813	LOC109418066	AGAP007205
OG0001814	LOC109414833	AGAP007204
OG0001815	LOC109427442	AGAP009025
OG0001816	LOC115263163	AGAP007032
OG0001817	LOC115255345	AGAP029480
OG0001818	LOC109407931	AGAP005700
OG0001819	LOC109428456, LOC109422096	AGAP000389
OG0001820	LOC109409788	AGAP007724
OG0001821	LOC109403224	AGAP006460
OG0001822	LOC109416244	AGAP029455
OG0001823	LOC109622551, LOC109622547	AGAP007510
OG0001824	LOC109622879, LOC134287988	AGAP010040, AGAP012657
OG0001825	LOC109428464	AGAP000507
OG0001826	LOC109428247	AGAP009857
OG0001827	LOC109413232	AGAP029802
OG0001828	LOC109420226	AGAP007775
OG0001829	LOC109424480	AGAP029752, AGAP029751
OG0001830	LOC109426675	AGAP005064
OG0001831	LOC109428415, LOC134284681	AGAP000029
OG0001832	LOC109401664, LOC109418846	AGAP011859
OG0001833	LOC109621803	AGAP008807, AGAP008810
OG0001834	LOC109416692	AGAP029579
OG0001835	LOC109413271	AGAP004572
OG0001836	LOC109418152	AGAP009709, AGAP009708
OG0001837	LOC109411881	AGAP004507
OG0001838	LOC115264580	AGAP012123
OG0001839	LOC109423925	AGAP029911
OG0001840	LOC109405671	AGAP000835, AGAP004972, AGAP004973
OG0001841	LOC109407816, LOC134288728	AGAP012771, AGAP007305
OG0001842	LOC134292126, LOC109425933	AGAP028640, AGAP012729
OG0001843	LOC115261297	AGAP001690
OG0001844	LOC109433484	AGAP012693, AGAP029564
OG0001845	LOC109422692, LOC115260992	AGAP029052
OG0001846	LOC109405247	AGAP029630
OG0001848	LOC134284916, LOC109397853	AGAP013441
OG0001849	LOC109419429	AGAP011134
OG0001850	LOC109401980	AGAP029570
OG0001851	LOC134292233, LOC109428047	AGAP029498
OG0001852	LOC109428744	AGAP011143
OG0001853	LOC109402885	AGAP010646, AGAP012576
OG0001854	LOC109432643, LOC109401984	AGAP011811
OG0001855	LOC109404342	AGAP029584
OG0001856	LOC109409625	AGAP010201
OG0001857	LOC109622061	AGAP002986
OG0001859	LOC115260811	AGAP001645
OG0001860	LOC134291182, LOC109404964	AGAP003901
OG0001861	LOC109408373	AGAP007608
OG0001862	LOC109423135	AGAP001583
OG0001863	LOC109403764	AGAP004892
OG0001864	LOC134284696	AGAP009577
OG0001865	LOC109402625, LOC134284665	AGAP000577
OG0001866	LOC109421746	AGAP001608
OG0001867	LOC109419826	AGAP008318
OG0001868	LOC109412872	AGAP002382
OG0001869	LOC109418781	AGAP010442
OG0001870	LOC109426187	AGAP013204
OG0001871	LOC109422596	AGAP005150, AGAP029363
OG0001872	LOC109410077	AGAP002469
OG0001873	LOC109399319	AGAP002553
OG0001874	LOC109419187	AGAP003355
OG0001875	LOC109419645	AGAP005465
OG0001876	LOC109397249	AGAP002315
OG0001877	LOC109401326, LOC134289759	AGAP004446, AGAP004447
OG0001878	LOC109621340	AGAP029127
OG0001879	LOC109621461	AGAP011547
OG0001881	LOC109406017	AGAP006994
OG0001882	LOC109398299	AGAP028024, AGAP007946
OG0001883	LOC109419707, LOC109398542	AGAP006089
OG0001884	LOC134285003	AGAP009060
OG0001885	LOC109415066, LOC109403279	AGAP003727
OG0001886	LOC109424966	AGAP001083
OG0001887	LOC115257308	AGAP012187, AGAP000471
OG0001889	LOC109433612	AGAP029657
OG0001890	LOC134290813, LOC109425718	AGAP028133, AGAP028598
OG0001891	LOC109419396, LOC115255253	AGAP008996
OG0001892	LOC109406961	AGAP013157
OG0001893	LOC115268038	AGAP011965
OG0001894	LOC109405079	AGAP000626
OG0001895	LOC109404946	AGAP007250
OG0001896	LOC109398729	AGAP012600, AGAP009890
OG0001897	LOC109427728	AGAP000236
OG0001898	LOC109397684	AGAP000537
OG0001899	LOC109421627, LOC109407309	AGAP008285
OG0001901	LOC109401394	AGAP007792
OG0001902	LOC109425480	AGAP004310
OG0001905	LOC115260613, LOC109422822	AGAP001064
OG0001906	LOC115263719	AGAP003678
OG0001907	LOC109433256	AGAP011720
OG0001908	LOC109399310	AGAP002554
OG0001909	LOC109401882	AGAP008090
OG0001910	LOC109406561	AGAP010359
OG0001912	LOC109418706	AGAP011746
OG0001913	LOC109415218	AGAP000620
OG0001914	LOC109622269, LOC134284321	AGAP005030
OG0001915	LOC109411724	AGAP003118
OG0001916	LOC109418329, LOC109427298, LOC134290652	AGAP013266
OG0001917	LOC134289826, LOC134290016	AGAP001974
OG0001918	LOC109416319, LOC109426538	AGAP000850
OG0001919	LOC109404918	AGAP005658
OG0001920	LOC134291561, LOC134292029	AGAP001814
OG0001921	LOC109400821, LOC115261618	AGAP003258
OG0001922	LOC109432087	AGAP028455, AGAP006377
OG0001923	LOC109418028	AGAP007137
OG0001924	LOC109407223	AGAP009950
OG0001925	LOC134289014, LOC109433003	AGAP000023
OG0001926	LOC109422966	AGAP013491, AGAP000629
OG0001927	LOC109430812	AGAP006973, AGAP006972
OG0001928	LOC109411119	AGAP007089
OG0001929	LOC109415216	AGAP000619
OG0001930	LOC109407984	AGAP005647
OG0001931	LOC109431473	AGAP000949
OG0001932	LOC115268016, LOC115253593, LOC109401641, LOC115258698	AGAP029479
OG0001933	LOC109422611, LOC134290099	AGAP002256
OG0001934	LOC109409980, LOC109420213	AGAP005438
OG0001935	LOC115255029	AGAP008692
OG0001937	LOC109428694	AGAP007349
OG0001938	LOC134289924	AGAP012255
OG0001939	LOC109431794	AGAP001231
OG0001940	LOC134284706	AGAP001015
OG0001941	LOC109428574	AGAP000334
OG0001942	LOC109430547	AGAP005165
OG0001943	LOC109423620, LOC109400223	AGAP001726
OG0001944	LOC115267705, LOC109401974	AGAP011812
OG0001945	LOC109416118	AGAP013210
OG0001946	LOC109428492	AGAP000932
OG0001948	LOC134285004	AGAP028653
OG0001949	LOC109411764, LOC134283906, LOC115262162	AGAP009514
OG0001950	LOC109420871	AGAP006260
OG0001951	LOC109429628	AGAP009389
OG0001952	LOC109414279	AGAP006151
OG0001953	LOC109400594	AGAP029520
OG0001954	LOC115269977	AGAP007005
OG0001955	LOC109429386	AGAP013739, AGAP013762
OG0001956	LOC109424975, LOC109431086	AGAP000430
OG0001957	LOC115254148	AGAP005680
OG0001958	LOC109422033, LOC115258249	AGAP011170
OG0001959	LOC109400375, LOC134292012	AGAP029626
OG0001960	LOC109400170	AGAP002006
OG0001961	LOC115262164, LOC109411692	AGAP009497
OG0001962	LOC109411919	AGAP010265
OG0001963	LOC109400999	AGAP012921, AGAP009575
OG0001964	LOC115259196	AGAP006415
OG0001965	LOC109408777	AGAP011779
OG0001966	LOC109403469, LOC134287393, LOC134289734, LOC115257890, LOC134286961	AGAP002803
OG0001968	LOC109432288, LOC109397081	AGAP004774
OG0001969	LOC109406016, LOC134287314, LOC109426628	AGAP007155
OG0001970	LOC109430327	AGAP002949
OG0001971	LOC109622601, LOC115262671	AGAP011375
OG0001972	LOC109424736, LOC109412777, LOC109424735	AGAP004784
OG0001973	LOC134284006, LOC109401373	AGAP029708, AGAP029707
OG0001974	LOC109424678	AGAP013397
OG0001975	LOC109404750	AGAP029549
OG0001976	LOC134290393, LOC109424037	AGAP001696
OG0001977	LOC115256432, LOC115256898	AGAP000185
OG0001978	LOC109415848	AGAP008247, AGAP012476
OG0001979	LOC109405716	AGAP003872
OG0001980	LOC109421982	AGAP000275
OG0001981	LOC109401056	AGAP029553
OG0001982	LOC109408928	AGAP000385
OG0001983	LOC109428527	AGAP009064, AGAP000441
OG0001984	LOC134289613, LOC134289614	AGAP011303, AGAP011305
OG0001986	LOC109406627, LOC109401861	AGAP005745, AGAP005746
OG0001988	LOC109403458	AGAP028062
OG0001991	LOC109408951	AGAP013093
OG0001997	LOC109621246, LOC109427461	AGAP001767, AGAP000935
OG0001998	LOC109427676	AGAP029390, AGAP000281
OG0002000	LOC109622174	AGAP010601, AGAP010602, AGAP010604
OG0002008	LOC134291300	AGAP012968, AGAP013151, AGAP013203, AGAP028472
OG0002027	LOC134284098	AGAP003346, AGAP012877
OG0002028	LOC109400867	AGAP002921
OG0002029	LOC109400853	AGAP002919
OG0002030	LOC109415517	AGAP013354
OG0002031	LOC109622166, LOC115258974	AGAP006662
OG0002032	LOC109416752	AGAP004459
OG0002033	LOC109400817	AGAP028610
OG0002034	LOC109408864	AGAP012746, AGAP003514
OG0002035	LOC109400059	AGAP003331
OG0002036	LOC109430465	AGAP012981, AGAP003200
OG0002037	LOC109400635	AGAP004727
OG0002038	LOC109409544	AGAP001099
OG0002039	LOC109405475	AGAP010449, AGAP010447
OG0002040	LOC109423284	AGAP013094
OG0002041	LOC134291427	AGAP012610, AGAP012481
OG0002042	LOC109409112, LOC109420361	AGAP010458
OG0002043	LOC109407042, LOC134284007	AGAP005228
OG0002044	LOC109424917, LOC134289878	AGAP000069
OG0002045	LOC109431073	AGAP000360
OG0002046	LOC109424407	AGAP010681
OG0002047	LOC134287379, LOC109402571	AGAP006671
OG0002048	LOC109422373	AGAP012853, AGAP012137
OG0002049	LOC109422315	AGAP028154
OG0002050	LOC109399436	AGAP006571
OG0002051	LOC109430500	AGAP002138
OG0002052	LOC109400724, LOC134288393	AGAP011085
OG0002053	LOC134284704, LOC109399363	AGAP006574
OG0002054	LOC109426021	AGAP012403
OG0002055	LOC109427215	AGAP000244, AGAP003550
OG0002056	LOC109411621	AGAP013233
OG0002057	LOC115254070	AGAP003548
OG0002058	LOC109427264	AGAP002085
OG0002059	LOC109411614	AGAP004434
OG0002060	LOC115261425	AGAP003547
OG0002061	LOC109411631	AGAP013167
OG0002062	LOC109428135	AGAP002725
OG0002063	LOC109403732	AGAP003232
OG0002064	LOC115267986	AGAP028415
OG0002065	LOC115267989	AGAP011319
OG0002066	LOC109407648	AGAP011324
OG0002067	LOC109421749	AGAP012751, AGAP001609
OG0002068	LOC109421742	AGAP001603
OG0002069	LOC115265604	AGAP009733
OG0002070	LOC109426013, LOC134292105	AGAP011984
OG0002071	LOC109426042	AGAP012394, AGAP012395
OG0002072	LOC109429538	AGAP004371, AGAP012860
OG0002073	LOC109418903, LOC134287421	AGAP006657
OG0002074	LOC109407764, LOC134287422	AGAP006658
OG0002075	LOC134288620, LOC109407766	AGAP006660
OG0002076	LOC109407765, LOC134288618	AGAP006659
OG0002077	LOC115268668	AGAP011858
OG0002078	LOC115269073	AGAP002603
OG0002079	LOC109413927	AGAP002601
OG0002080	LOC109622070	AGAP013296
OG0002081	LOC115267811	AGAP011762
OG0002082	LOC115260975, LOC109432267	AGAP010928
OG0002083	LOC109397123, LOC134289571	AGAP012368
OG0002084	LOC134291763, LOC109432323	AGAP004292
OG0002085	LOC109410268	AGAP005761
OG0002086	LOC109410742	AGAP011900
OG0002087	LOC109403343	AGAP010595
OG0002088	LOC109403370	AGAP010558
OG0002089	LOC109410756	AGAP010572
OG0002090	LOC109622181	AGAP010613, AGAP010612
OG0002091	LOC109410269	AGAP005762
OG0002092	LOC109410744	AGAP011897
OG0002093	LOC109419095	AGAP009822
OG0002094	LOC109403365	AGAP028580, AGAP012019
OG0002095	LOC109426154, LOC115262909	AGAP003294
OG0002096	LOC109413045	AGAP005803
OG0002097	LOC109621711	AGAP005800
OG0002098	LOC109418416, LOC115262876	AGAP002021
OG0002099	LOC109418413, LOC115263952	AGAP002193
OG0002100	LOC109410392	AGAP003003
OG0002101	LOC109430278	AGAP002672
OG0002102	LOC115255990, LOC109430275	AGAP029803
OG0002103	LOC109428428	AGAP000631
OG0002104	LOC109425830	AGAP012251
OG0002105	LOC109419582, LOC134287816	AGAP009841
OG0002106	LOC109409242	AGAP009620
OG0002107	LOC109419602	AGAP009619
OG0002108	LOC109397554	AGAP008652
OG0002109	LOC115253868	AGAP004834
OG0002110	LOC109419603	AGAP010204
OG0002111	LOC109418101	AGAP009702
OG0002112	LOC109405331, LOC109422994	AGAP000874
OG0002113	LOC109407734	AGAP009004
OG0002114	LOC109419706	AGAP006088
OG0002115	LOC109419413	AGAP004942
OG0002116	LOC109416058, LOC134288309	AGAP005606
OG0002117	LOC115263247	AGAP005600
OG0002118	LOC115253829	AGAP004863
OG0002119	LOC109419421	AGAP006968, AGAP006115
OG0002120	LOC109428485	AGAP000046
OG0002121	LOC109622653	AGAP009364, AGAP009376, AGAP029881
OG0002122	LOC109428898	AGAP012523
OG0002123	LOC134287413, LOC109418954	AGAP007325
OG0002124	LOC109423789	AGAP005141
OG0002125	LOC109430785	AGAP009136
OG0002126	LOC109430626	AGAP005325
OG0002127	LOC115270285	AGAP005111
OG0002128	LOC109406442	AGAP007395
OG0002129	LOC109413170	AGAP007418
OG0002130	LOC109418076, LOC134289683	AGAP007400
OG0002131	LOC109418045	AGAP007405, AGAP007402
OG0002132	LOC109418078	AGAP007399
OG0002133	LOC109418113	AGAP007450
OG0002134	LOC109403570	AGAP005309, AGAP000633
OG0002135	LOC134287957, LOC109412372	AGAP008881
OG0002136	LOC109432886, LOC109401423	AGAP008302
OG0002137	LOC109432885	AGAP009930
OG0002138	LOC109432877	AGAP007849
OG0002139	LOC109432878, LOC115257144	AGAP008353
OG0002140	LOC109412364, LOC134287960	AGAP010209
OG0002141	LOC109401402, LOC134287975	AGAP008312
OG0002142	LOC109412374	AGAP008882
OG0002143	LOC109422420	AGAP011562
OG0002144	LOC115253715, LOC115257520	AGAP011573
OG0002145	LOC109417180, LOC115258192	AGAP029534
OG0002146	LOC109622503	AGAP007586
OG0002149	LOC109423358	AGAP007710
OG0002150	LOC109622494, LOC109408572	AGAP007598
OG0002151	LOC109423373	AGAP007618
OG0002152	LOC134284473, LOC109622496	AGAP007593
OG0002153	LOC134287835, LOC109408104	AGAP008728
