Orthogroup	AminimusMINIMUS1	CquinquefasciatusJHB2020
OG0001647	AMIN000456	CQUJHB008510
OG0001648	AMIN000474	CQUJHB013766
OG0001649	AMIN010588	CQUJHB017997
OG0001650	AMIN001986, AMIN001985	CQUJHB003344
OG0001651	AMIN001983	CQUJHB017540
OG0001652	AMIN004587	CQUJHB014777
OG0001653	AMIN004604	CQUJHB002668, CQUJHB001147
OG0001654	AMIN010756	CQUJHB007937
OG0001655	AMIN005792	CQUJHB009976
OG0001656	AMIN006186	CQUJHB007775, CQUJHB001306, CQUJHB014954
OG0001657	AMIN016153	CQUJHB003519
OG0001658	AMIN002815	CQUJHB016441
OG0001659	AMIN008225	CQUJHB000150, CQUJHB002747
OG0001660	AMIN003346	CQUJHB005301
OG0001661	AMIN009074	CQUJHB013990
OG0001662	AMIN006302	CQUJHB003050
OG0001663	AMIN014628	CQUJHB000198, CQUJHB010700
OG0001664	AMIN005474	CQUJHB010461
OG0001665	AMIN004491	CQUJHB003592
OG0001666	AMIN005479	CQUJHB003464
OG0001667	AMIN010062, AMIN005572	CQUJHB016693
OG0001668	AMIN000236	CQUJHB016144, CQUJHB004410
OG0001669	AMIN007557	CQUJHB016614
OG0001670	AMIN006905, AMIN004952, AMIN004953	CQUJHB018280
OG0001671	AMIN006353	CQUJHB014605
OG0001672	AMIN010337	CQUJHB004808
OG0001673	AMIN004565	CQUJHB016629
OG0001674	AMIN010633	CQUJHB005423
OG0001675	AMIN010632	CQUJHB003520
OG0001676	AMIN014634, AMIN008119	CQUJHB011297
OG0001677	AMIN002429	CQUJHB014529
OG0001678	AMIN005374	CQUJHB008422
OG0001679	AMIN005705, AMIN005708	CQUJHB015103
OG0001680	AMIN003163	CQUJHB014713
OG0001681	AMIN004248	CQUJHB010546
OG0001682	AMIN009446	CQUJHB007406
OG0001683	AMIN004904	CQUJHB004950, CQUJHB009972
OG0001684	AMIN004905	CQUJHB008526, CQUJHB002176
OG0001685	AMIN002994	CQUJHB000823
OG0001686	AMIN000150	CQUJHB004481
OG0001687	AMIN006572	CQUJHB006524, CQUJHB011409
OG0001688	AMIN006563	CQUJHB010357
OG0001689	AMIN005738	CQUJHB005346
OG0001690	AMIN005716	CQUJHB014540, CQUJHB003980
OG0001691	AMIN002277	CQUJHB005414, CQUJHB010951, CQUJHB004782
OG0001692	AMIN001087	CQUJHB003437
OG0001693	AMIN008688	CQUJHB010887, CQUJHB009390
OG0001694	AMIN000112, AMIN000111	CQUJHB011260
OG0001695	AMIN003825	CQUJHB006258
OG0001696	AMIN003087	CQUJHB005828
OG0001697	AMIN011457	CQUJHB017264
OG0001699	AMIN007190	CQUJHB005748
OG0001700	AMIN006163	CQUJHB008861
OG0001701	AMIN006157	CQUJHB013301
OG0001702	AMIN007162	CQUJHB011702
OG0001704	AMIN008503	CQUJHB012572, CQUJHB008756, CQUJHB003683
OG0001705	AMIN004423, AMIN004424	CQUJHB007470
OG0001706	AMIN004427	CQUJHB006543, CQUJHB012272
OG0001708	AMIN011340	CQUJHB000812
OG0001709	AMIN004221	CQUJHB007914
OG0001710	AMIN007022	CQUJHB011610, CQUJHB000347
OG0001711	AMIN009564	CQUJHB016971
OG0001712	AMIN005114	CQUJHB016875
OG0001713	AMIN007563	CQUJHB009098, CQUJHB015985
OG0001714	AMIN009480	CQUJHB003137
OG0001715	AMIN007500, AMIN007498	CQUJHB017946
OG0001716	AMIN009853, AMIN009378	CQUJHB006814
OG0001717	AMIN009855, AMIN009856	CQUJHB011333
OG0001718	AMIN000197, AMIN000198	CQUJHB018202
OG0001719	AMIN007341	CQUJHB007686
OG0001720	AMIN004085	CQUJHB002212
OG0001721	AMIN000752	CQUJHB006168, CQUJHB007712
OG0001722	AMIN000262	CQUJHB002479
OG0001723	AMIN000260	CQUJHB013881
OG0001724	AMIN015519	CQUJHB009916
OG0001725	AMIN011280	CQUJHB017260, CQUJHB007806
OG0001726	AMIN010691	CQUJHB010294
OG0001727	AMIN005082	CQUJHB014054
OG0001728	AMIN008781	CQUJHB005672, CQUJHB009623, CQUJHB012341
OG0001729	AMIN007144	CQUJHB004027
OG0001730	AMIN010737	CQUJHB013851
OG0001731	AMIN008041	CQUJHB000468
OG0001732	AMIN008097	CQUJHB001251
OG0001733	AMIN008094	CQUJHB012247
OG0001734	AMIN000136	CQUJHB014775
OG0001735	AMIN004224, AMIN000973	CQUJHB012889
OG0001736	AMIN000931	CQUJHB011598
OG0001737	AMIN006545	CQUJHB010770
OG0001738	AMIN005607	CQUJHB002836
OG0001740	AMIN008073	CQUJHB007289, CQUJHB004827
OG0001741	AMIN002561	CQUJHB014649
OG0001742	AMIN005632	CQUJHB018010, CQUJHB005972
OG0001743	AMIN001594	CQUJHB005038
OG0001744	AMIN015660	CQUJHB002298
OG0001745	AMIN001592	CQUJHB004240
OG0001746	AMIN015661	CQUJHB011814
OG0001747	AMIN008181, AMIN008179	CQUJHB011101
OG0001748	AMIN004574	CQUJHB015327
OG0001749	AMIN011276, AMIN007287	CQUJHB004574
OG0001751	AMIN004323	CQUJHB003016
OG0001752	AMIN003462	CQUJHB017723
OG0001753	AMIN008741, AMIN008743	CQUJHB009024
OG0001754	AMIN008552	CQUJHB016596
OG0001755	AMIN001509	CQUJHB007071
OG0001756	AMIN008028, AMIN008031	CQUJHB000001
OG0001757	AMIN003463	CQUJHB001477
OG0001758	AMIN001687	CQUJHB006163, CQUJHB003627
OG0001759	AMIN001685	CQUJHB009632
OG0001760	AMIN002035	CQUJHB000104
OG0001762	AMIN005252, AMIN005251	CQUJHB006380
OG0001763	AMIN010356	CQUJHB013383
OG0001764	AMIN010999, AMIN011001	CQUJHB008019
OG0001765	AMIN011004, AMIN011005	CQUJHB000726
OG0001766	AMIN006458	CQUJHB001897
OG0001767	AMIN000602	CQUJHB007408
OG0001768	AMIN007697	CQUJHB013392
OG0001769	AMIN000601	CQUJHB016399
OG0001771	AMIN001562, AMIN001533	CQUJHB005386
OG0001773	AMIN000414	CQUJHB014243
OG0001774	AMIN000407	CQUJHB010941
OG0001775	AMIN009768	CQUJHB001066
OG0001776	AMIN007983	CQUJHB010914
OG0001777	AMIN001453	CQUJHB008806
OG0001778	AMIN002634, AMIN002636	CQUJHB014567
OG0001779	AMIN004320	CQUJHB017194
OG0001780	AMIN004319	CQUJHB017314
OG0001781	AMIN003397	CQUJHB011216, CQUJHB010073
OG0001782	AMIN003735	CQUJHB017348, CQUJHB014146, CQUJHB002991
OG0001783	AMIN004878	CQUJHB000545, CQUJHB006275, CQUJHB002402
OG0001784	AMIN011220	CQUJHB004390
OG0001786	AMIN006328, AMIN006329	CQUJHB006327
OG0001787	AMIN005488	CQUJHB001626
OG0001788	AMIN010624	CQUJHB006166
OG0001789	AMIN010625	CQUJHB000712, CQUJHB014709
OG0001790	AMIN002012	CQUJHB017495
OG0001791	AMIN003556	CQUJHB016649
OG0001792	AMIN009998	CQUJHB005200
OG0001793	AMIN009986	CQUJHB005201
OG0001794	AMIN009987	CQUJHB002450
OG0001795	AMIN005564	CQUJHB008648, CQUJHB016749
OG0001796	AMIN015771	CQUJHB010066
OG0001797	AMIN007957	CQUJHB012267, CQUJHB001776, CQUJHB006034
OG0001798	AMIN003399	CQUJHB000085
OG0001799	AMIN000646	CQUJHB007772
OG0001800	AMIN001449	CQUJHB014946
OG0001801	AMIN010499	CQUJHB016768
OG0001802	AMIN014005, AMIN000079, AMIN000080	CQUJHB018409
OG0001803	AMIN005838	CQUJHB012318, CQUJHB005517
OG0001804	AMIN006121	CQUJHB003242
OG0001805	AMIN015793, AMIN015794	CQUJHB001203
OG0001806	AMIN009902, AMIN009903	CQUJHB015805
OG0001807	AMIN009387, AMIN009388	CQUJHB011971
OG0001808	AMIN011580, AMIN011581	CQUJHB015768
OG0001809	AMIN009558	CQUJHB006504, CQUJHB006361
OG0001810	AMIN009569	CQUJHB003726
OG0001811	AMIN002928	CQUJHB013858
OG0001812	AMIN005218	CQUJHB009625
OG0001813	AMIN010630	CQUJHB016927
OG0001814	AMIN010631	CQUJHB000841
OG0001815	AMIN001576, AMIN001574	CQUJHB011802
OG0001816	AMIN011109	CQUJHB007213
OG0001817	AMIN009740	CQUJHB004187
OG0001818	AMIN010148	CQUJHB015469
OG0001819	AMIN005653	CQUJHB012369
OG0001820	AMIN010361	CQUJHB007965
OG0001821	AMIN007908	CQUJHB016998
OG0001822	AMIN009715	CQUJHB007572
OG0001823	AMIN010415	CQUJHB014893
OG0001824	AMIN006690	CQUJHB003487
OG0001825	AMIN005256	CQUJHB005537
OG0001826	AMIN015552	CQUJHB006583
OG0001827	AMIN005095	CQUJHB010570, CQUJHB017812, CQUJHB010623
OG0001828	AMIN006358	CQUJHB014610, CQUJHB011345, CQUJHB009880
OG0001829	AMIN008903	CQUJHB007499, CQUJHB014883
OG0001830	AMIN007611	CQUJHB012198
OG0001831	AMIN002093	CQUJHB014199
OG0001832	AMIN008561	CQUJHB012280
OG0001833	AMIN007185	CQUJHB012719
OG0001834	AMIN015497	CQUJHB011754
OG0001835	AMIN004932, AMIN004933	CQUJHB000069
OG0001837	AMIN004883, AMIN004881	CQUJHB000827
OG0001838	AMIN008289, AMIN008290	CQUJHB001157
OG0001839	AMIN001761	CQUJHB002246
OG0001841	AMIN010560	CQUJHB004226
OG0001842	AMIN009351	CQUJHB003224
OG0001843	AMIN003499, AMIN003500	CQUJHB001883
OG0001844	AMIN006986	CQUJHB017539
OG0001845	AMIN015778	CQUJHB002279
OG0001846	AMIN008369	CQUJHB010678
OG0001847	AMIN014466, AMIN005573, AMIN009051	CQUJHB010987
OG0001848	AMIN005470	CQUJHB015143
OG0001849	AMIN008447, AMIN008446	CQUJHB005774
OG0001850	AMIN000620, AMIN000621	CQUJHB015673
OG0001851	AMIN002423	CQUJHB004201
OG0001852	AMIN008435, AMIN008434	CQUJHB014663
OG0001853	AMIN015973	CQUJHB009903
OG0001854	AMIN004311	CQUJHB010799
OG0001855	AMIN007620, AMIN007619	CQUJHB002102
OG0001856	AMIN015737	CQUJHB016160
OG0001857	AMIN003689, AMIN003690	CQUJHB018237
OG0001858	AMIN016030	CQUJHB011662
OG0001859	AMIN003454	CQUJHB010404
OG0001860	AMIN000263	CQUJHB017652
OG0001861	AMIN010248	CQUJHB018021
OG0001862	AMIN003396	CQUJHB011807
OG0001863	AMIN008168	CQUJHB006953
OG0001864	AMIN009862	CQUJHB006273
OG0001865	AMIN005321	CQUJHB016972
OG0001866	AMIN003418	CQUJHB008116
OG0001867	AMIN005984	CQUJHB009413, CQUJHB013482
OG0001869	AMIN004954, AMIN006497, AMIN004999	CQUJHB005793
OG0001870	AMIN000808	CQUJHB010502
OG0001871	AMIN007313	CQUJHB002846
OG0001872	AMIN014894, AMIN014892, AMIN002741	CQUJHB014005
OG0001873	AMIN002562	CQUJHB017060
OG0001874	AMIN003048, AMIN003047	CQUJHB003814
OG0001875	AMIN010798	CQUJHB003769
OG0001876	AMIN004600, AMIN004595	CQUJHB016428
OG0001877	AMIN004826, AMIN004827	CQUJHB007854
OG0001878	AMIN006215, AMIN006213	CQUJHB012769
OG0001879	AMIN008890	CQUJHB015487
OG0001881	AMIN009979	CQUJHB006399
OG0001883	AMIN009931	CQUJHB013762
OG0001884	AMIN001054	CQUJHB010453
OG0001885	AMIN002968	CQUJHB007303
OG0001886	AMIN005742	CQUJHB007991
OG0001887	AMIN005613	CQUJHB010974
OG0001889	AMIN005658, AMIN005661	CQUJHB000173
OG0001890	AMIN008213	CQUJHB018269
OG0001891	AMIN009438	CQUJHB010310
OG0001892	AMIN000116, AMIN000114	CQUJHB000339
OG0001893	AMIN004384, AMIN004338	CQUJHB008767
OG0001894	AMIN002076	CQUJHB005240
OG0001895	AMIN010600	CQUJHB005279
OG0001896	AMIN001064	CQUJHB014927
OG0001897	AMIN005514, AMIN005515	CQUJHB000796
OG0001898	AMIN005288	CQUJHB008962
OG0001899	AMIN006008	CQUJHB016916
OG0001901	AMIN006378	CQUJHB001292, CQUJHB007141
OG0001902	AMIN002991	CQUJHB003665, CQUJHB015274
OG0001903	AMIN000469	CQUJHB016326, CQUJHB011952, CQUJHB010866, CQUJHB006662
OG0001905	AMIN000638	CQUJHB015251
OG0001906	AMIN004037	CQUJHB012925
OG0001907	AMIN008739, AMIN008738	CQUJHB014583
OG0001908	AMIN002563	CQUJHB003954
OG0001909	AMIN006182	CQUJHB010206, CQUJHB007957, CQUJHB008854
OG0001910	AMIN006553, AMIN006554	CQUJHB011929
OG0001912	AMIN004504	CQUJHB012127
OG0001913	AMIN005221, AMIN005223	CQUJHB010947
OG0001914	AMIN011518	CQUJHB014627
OG0001915	AMIN003811	CQUJHB003422
OG0001916	AMIN000785	CQUJHB017477
OG0001917	AMIN003280	CQUJHB016388
OG0001918	AMIN002067	CQUJHB011861
OG0001919	AMIN016209, AMIN010174	CQUJHB013909
OG0001920	AMIN000410	CQUJHB016365
OG0001921	AMIN000378	CQUJHB010226, CQUJHB020401, CQUJHB020267, CQUJHB001248
OG0001922	AMIN007989	CQUJHB001701
OG0001923	AMIN011279	CQUJHB011173
OG0001924	AMIN006781	CQUJHB008851
OG0001925	AMIN002090	CQUJHB008947
OG0001926	AMIN005567	CQUJHB005904
OG0001928	AMIN011226	CQUJHB017584
OG0001929	AMIN005224	CQUJHB009052
OG0001930	AMIN016212	CQUJHB000488
OG0001931	AMIN001231, AMIN001193	CQUJHB001579
OG0001933	AMIN000149	CQUJHB009853
OG0001934	AMIN011386	CQUJHB008345, CQUJHB014551
OG0001937	AMIN010521, AMIN010519	CQUJHB005452
OG0001938	AMIN006913	CQUJHB013689
OG0001939	AMIN015735	CQUJHB015433
OG0001940	AMIN005390, AMIN005388	CQUJHB003955
OG0001941	AMIN005486	CQUJHB017019
OG0001942	AMIN007330, AMIN007331	CQUJHB002444
OG0001944	AMIN004312	CQUJHB012856
OG0001945	AMIN005359	CQUJHB015802
OG0001946	AMIN006606	CQUJHB004460
OG0001947	AMIN007109, AMIN007108	CQUJHB017725
OG0001948	AMIN005424	CQUJHB012140
OG0001949	AMIN001886	CQUJHB007700
OG0001950	AMIN015502, AMIN007679	CQUJHB007473
OG0001951	AMIN001795	CQUJHB017052
OG0001952	AMIN011287	CQUJHB014332
OG0001953	AMIN010183	CQUJHB009317
OG0001954	AMIN009989	CQUJHB006751
OG0001955	AMIN007233	CQUJHB014791
OG0001956	AMIN005577	CQUJHB015498
OG0001957	AMIN010161	CQUJHB008729, CQUJHB007723
OG0001958	AMIN005075, AMIN004398	CQUJHB015953
OG0001959	AMIN000834	CQUJHB009277
OG0001960	AMIN003315	CQUJHB018138
OG0001961	AMIN001871	CQUJHB014631
OG0001962	AMIN001127, AMIN001126	CQUJHB016651
OG0001963	AMIN009864	CQUJHB011444
OG0001964	AMIN007949, AMIN007950	CQUJHB018337
OG0001965	AMIN004289	CQUJHB013662
OG0001968	AMIN008112	CQUJHB002848
OG0001969	AMIN010662	CQUJHB009273
OG0001970	AMIN003167	CQUJHB014942, CQUJHB003598, CQUJHB006771
OG0001971	AMIN004269	CQUJHB009557
OG0001972	AMIN008126	CQUJHB009191, CQUJHB017842
OG0001973	AMIN006810	CQUJHB003163
OG0001974	AMIN005498	CQUJHB003100
OG0001975	AMIN011026	CQUJHB017537, CQUJHB000395
OG0001976	AMIN003507	CQUJHB002571
OG0001977	AMIN005416	CQUJHB018154
OG0001978	AMIN015741	CQUJHB012118
OG0001979	AMIN000233	CQUJHB002147
OG0001980	AMIN005639	CQUJHB016028
OG0001981	AMIN004852	CQUJHB002973
OG0001982	AMIN005659	CQUJHB010272, CQUJHB001693, CQUJHB010161
OG0001983	AMIN005588	CQUJHB007443
OG0001991	AMIN005459	CQUJHB008591, CQUJHB015134, CQUJHB016889, CQUJHB007471, CQUJHB009367
OG0001998	AMIN005634	CQUJHB006595
OG0002000	AMIN004536	CQUJHB006851
OG0002010	AMIN005093	CQUJHB004416
OG0002011	AMIN004694	CQUJHB008730
OG0002012	AMIN001213, AMIN007289	CQUJHB006495
OG0002027	AMIN003035	CQUJHB015303
OG0002028	AMIN000742	CQUJHB000015
OG0002029	AMIN016063	CQUJHB000454, CQUJHB003417
OG0002030	AMIN000729	CQUJHB007781
OG0002032	AMIN004840	CQUJHB007591, CQUJHB017901
OG0002033	AMIN003566	CQUJHB000201
OG0002034	AMIN000883	CQUJHB002364
OG0002035	AMIN002860	CQUJHB012676
OG0002036	AMIN002474	CQUJHB008731
OG0002037	AMIN007459	CQUJHB020324, CQUJHB020378
OG0002038	AMIN016265	CQUJHB001224
OG0002039	AMIN005004	CQUJHB010689
OG0002040	AMIN016267	CQUJHB018123
OG0002041	AMIN006460	CQUJHB010072
OG0002042	AMIN005013	CQUJHB011332
OG0002043	AMIN010723	CQUJHB013302
OG0002044	AMIN002134	CQUJHB016863
OG0002045	AMIN005824	CQUJHB011243
OG0002046	AMIN008681	CQUJHB018449, CQUJHB016117
OG0002047	AMIN016072	CQUJHB002076
OG0002048	AMIN008309	CQUJHB001769
OG0002049	AMIN008671	CQUJHB005527, CQUJHB007692
OG0002050	AMIN007814, AMIN007813	CQUJHB014964
OG0002051	AMIN003126	CQUJHB005235, CQUJHB010587, CQUJHB000316
OG0002052	AMIN008508	CQUJHB007752
OG0002053	AMIN007810	CQUJHB001207
OG0002054	AMIN008924	CQUJHB014552
OG0002055	AMIN014085, AMIN000846	CQUJHB013576
OG0002056	AMIN004044	CQUJHB002626
OG0002057	AMIN000848	CQUJHB012693
OG0002058	AMIN000655	CQUJHB004327
OG0002059	AMIN004816	CQUJHB003851
OG0002060	AMIN000849	CQUJHB018185
OG0002061	AMIN000654	CQUJHB009512
OG0002062	AMIN003590, AMIN003592	CQUJHB012677
OG0002063	AMIN000395	CQUJHB004868
OG0002064	AMIN008791	CQUJHB017762
OG0002065	AMIN009170	CQUJHB001303
OG0002066	AMIN009163	CQUJHB015590
OG0002067	AMIN003419	CQUJHB014615
OG0002068	AMIN003413	CQUJHB001906
OG0002069	AMIN009474	CQUJHB017104
OG0002070	AMIN004404	CQUJHB009199
OG0002072	AMIN004763	CQUJHB008226
OG0002073	AMIN007740	CQUJHB009920
OG0002074	AMIN007739	CQUJHB008271
OG0002075	AMIN007737	CQUJHB015158
OG0002076	AMIN007738	CQUJHB013464
OG0002077	AMIN008560	CQUJHB015918
OG0002078	AMIN003972	CQUJHB011705
OG0002079	AMIN003975	CQUJHB001903
OG0002080	AMIN003973	CQUJHB013277
OG0002081	AMIN004275	CQUJHB009731
OG0002082	AMIN009309	CQUJHB003397
OG0002083	AMIN008954	CQUJHB013356
OG0002084	AMIN003006	CQUJHB013949
OG0002085	AMIN011061	CQUJHB017489
OG0002086	AMIN008582	CQUJHB010646
OG0002087	AMIN008197	CQUJHB006590
OG0002088	AMIN001301	CQUJHB010181
OG0002089	AMIN001310	CQUJHB002003
OG0002090	AMIN004529	CQUJHB003030
OG0002091	AMIN011062	CQUJHB013258
OG0002092	AMIN008580	CQUJHB017744
OG0002094	AMIN008340	CQUJHB007383
OG0002095	AMIN000347	CQUJHB005853
OG0002096	AMIN011144, AMIN011145	CQUJHB005530
OG0002097	AMIN011141	CQUJHB017962, CQUJHB012489, CQUJHB011659
OG0002098	AMIN003332	CQUJHB013710
OG0002099	AMIN003072	CQUJHB000391
OG0002100	AMIN003711	CQUJHB014387
OG0002101	AMIN003633	CQUJHB012215
OG0002102	AMIN003178	CQUJHB004208
OG0002104	AMIN006918	CQUJHB017798
OG0002105	AMIN009567	CQUJHB011479
OG0002106	AMIN001475	CQUJHB015190
OG0002107	AMIN001474	CQUJHB015721
OG0002108	AMIN015991	CQUJHB017811
OG0002109	AMIN011619	CQUJHB003037
OG0002110	AMIN001186	CQUJHB006433
OG0002111	AMIN009452	CQUJHB001706
OG0002112	AMIN005799	CQUJHB012500
OG0002113	AMIN001551	CQUJHB011651, CQUJHB014730
OG0002114	AMIN009929	CQUJHB010172, CQUJHB010508
OG0002115	AMIN011436	CQUJHB001590
OG0002116	AMIN007541	CQUJHB000110
OG0002117	AMIN010906	CQUJHB002257, CQUJHB017164
OG0002118	AMIN011643	CQUJHB003964, CQUJHB008253
OG0002119	AMIN009961	CQUJHB014981
OG0002120	AMIN002109	CQUJHB014175
OG0002122	AMIN006443	CQUJHB003340
OG0002123	AMIN010541	CQUJHB013223
OG0002124	AMIN007304	CQUJHB012406, CQUJHB007350
OG0002125	AMIN009682	CQUJHB011922
OG0002126	AMIN007369	CQUJHB014744, CQUJHB000820
OG0002127	AMIN007276	CQUJHB014050, CQUJHB015643
OG0002128	AMIN010480	CQUJHB009908
OG0002129	AMIN010466	CQUJHB012894, CQUJHB016886
OG0002130	AMIN010475	CQUJHB009924
OG0002131	AMIN010474	CQUJHB001427
OG0002132	AMIN010476	CQUJHB014710
OG0002133	AMIN010454	CQUJHB006683
OG0002134	AMIN005571	CQUJHB012801
OG0002135	AMIN001648	CQUJHB002700
OG0002136	AMIN005998	CQUJHB011012
OG0002137	AMIN006808	CQUJHB008468
OG0002138	AMIN007157	CQUJHB008948
OG0002139	AMIN005947	CQUJHB001861
OG0002140	AMIN001181	CQUJHB003839
OG0002141	AMIN005989	CQUJHB011348
OG0002142	AMIN001649	CQUJHB004693
OG0002143	AMIN008877	CQUJHB018228
OG0002144	AMIN008865	CQUJHB006170
OG0002145	AMIN008872	CQUJHB002789
OG0002146	AMIN010223	CQUJHB011719
OG0002149	AMIN010343	CQUJHB008545, CQUJHB010818
OG0002150	AMIN010211	CQUJHB011406
OG0002151	AMIN010258	CQUJHB009644, CQUJHB007757
OG0002152	AMIN010216	CQUJHB014510
OG0002153	AMIN001367	CQUJHB003031
OG0002154	AMIN006403	CQUJHB002808
OG0002155	AMIN007610	CQUJHB005873, CQUJHB005980
OG0002156	AMIN006042	CQUJHB012918
OG0002157	AMIN010929	CQUJHB000632
OG0002158	AMIN011547	CQUJHB003434
OG0002159	AMIN011542	CQUJHB016275
OG0002160	AMIN001568	CQUJHB015104
OG0002161	AMIN001351	CQUJHB001120
OG0002162	AMIN001569	CQUJHB002048
OG0002163	AMIN005940	CQUJHB004123
OG0002164	AMIN001347	CQUJHB003090
OG0002165	AMIN006362	CQUJHB005631
OG0002166	AMIN001180	CQUJHB015094
OG0002167	AMIN007218	CQUJHB009230
OG0002168	AMIN006366	CQUJHB009807
OG0002169	AMIN006364	CQUJHB008100
OG0002170	AMIN007220	CQUJHB015311
OG0002171	AMIN009559	CQUJHB017228
OG0002172	AMIN007219	CQUJHB013281
OG0002173	AMIN009690	CQUJHB000228
OG0002174	AMIN009428	CQUJHB003725
OG0002175	AMIN009691	CQUJHB008401
OG0002176	AMIN009699	CQUJHB012513
OG0002177	AMIN009066	CQUJHB012766
OG0002178	AMIN009064	CQUJHB001425
OG0002179	AMIN006223	CQUJHB001471
OG0002180	AMIN006207	CQUJHB003808
OG0002181	AMIN006227	CQUJHB017639, CQUJHB016180
OG0002182	AMIN015600	CQUJHB006550
OG0002183	AMIN006189, AMIN001209	CQUJHB012486
OG0002184	AMIN003881	CQUJHB008635
OG0002185	AMIN004055	CQUJHB016880
OG0002186	AMIN003245	CQUJHB004159
OG0002187	AMIN015560	CQUJHB017101
OG0002188	AMIN015561	CQUJHB016517
OG0002189	AMIN005353	CQUJHB016647
OG0002190	AMIN001744	CQUJHB002487
OG0002191	AMIN006085	CQUJHB018069
OG0002192	AMIN001743	CQUJHB005712
OG0002193	AMIN009819	CQUJHB007235
OG0002194	AMIN007920	CQUJHB013506
OG0002195	AMIN010990	CQUJHB010450
OG0002196	AMIN007921	CQUJHB010713
OG0002197	AMIN008906	CQUJHB000244
OG0002198	AMIN009252	CQUJHB006518
OG0002199	AMIN009233	CQUJHB009360
OG0002200	AMIN011284	CQUJHB005566
OG0002201	AMIN007387	CQUJHB005134
OG0002202	AMIN007390	CQUJHB004704
OG0002203	AMIN007717	CQUJHB012321, CQUJHB015547
OG0002204	AMIN002121	CQUJHB005442, CQUJHB009865
OG0002205	AMIN011282	CQUJHB007144
OG0002206	AMIN007389	CQUJHB011470
OG0002208	AMIN001518	CQUJHB015490
OG0002209	AMIN001540	CQUJHB006118
OG0002210	AMIN001593	CQUJHB000032
OG0002211	AMIN011063	CQUJHB005012, CQUJHB008285
OG0002212	AMIN004772	CQUJHB006368
OG0002213	AMIN003786	CQUJHB013538
OG0002214	AMIN005748	CQUJHB000717
OG0002215	AMIN005125	CQUJHB005950
OG0002216	AMIN007316	CQUJHB009349
OG0002217	AMIN010651	CQUJHB009119
OG0002218	AMIN007166	CQUJHB015348
OG0002219	AMIN002016	CQUJHB006148
OG0002220	AMIN002637	CQUJHB003376
OG0002221	AMIN003449	CQUJHB016640
OG0002222	AMIN003447	CQUJHB010238
OG0002223	AMIN005031	CQUJHB008688
OG0002224	AMIN003688	CQUJHB008876, CQUJHB001015
OG0002226	AMIN004298	CQUJHB007377
OG0002227	AMIN004092	CQUJHB007253
OG0002228	AMIN005029	CQUJHB010088
OG0002229	AMIN006858	CQUJHB005588
OG0002230	AMIN001386	CQUJHB014027
OG0002231	AMIN001378	CQUJHB011725, CQUJHB008978, CQUJHB015693
OG0002232	AMIN000767	CQUJHB016597
OG0002233	AMIN010342	CQUJHB016148
OG0002234	AMIN010890	CQUJHB009841
OG0002235	AMIN004800	CQUJHB010122
OG0002236	AMIN003969	CQUJHB007151
OG0002237	AMIN002665	CQUJHB014136
OG0002238	AMIN000733	CQUJHB014723
OG0002239	AMIN000730	CQUJHB003596
OG0002240	AMIN000595	CQUJHB000437
OG0002241	AMIN003649	CQUJHB004604
OG0002242	AMIN004779	CQUJHB014480
OG0002244	AMIN005615	CQUJHB005805
OG0002245	AMIN015556	CQUJHB016908
OG0002246	AMIN005616	CQUJHB010050
OG0002247	AMIN000771	CQUJHB004418, CQUJHB009622
OG0002248	AMIN005444	CQUJHB016195
OG0002249	AMIN011286	CQUJHB009438
OG0002250	AMIN000926	CQUJHB001918
OG0002251	AMIN000925	CQUJHB014276
OG0002252	AMIN000927	CQUJHB009674
OG0002253	AMIN008807	CQUJHB004508
OG0002254	AMIN003253	CQUJHB004592
OG0002256	AMIN003250, AMIN001938	CQUJHB008335
OG0002257	AMIN000803	CQUJHB013146
OG0002258	AMIN000287	CQUJHB003065
OG0002259	AMIN005547	CQUJHB004536
OG0002260	AMIN005145	CQUJHB003014, CQUJHB015254
OG0002261	AMIN011048	CQUJHB010012
OG0002262	AMIN015961	CQUJHB003690
OG0002263	AMIN007954	CQUJHB003385
OG0002264	AMIN016037	CQUJHB006913
OG0002265	AMIN007386	CQUJHB007912
OG0002266	AMIN005451	CQUJHB000401
OG0002267	AMIN010061	CQUJHB011217
OG0002268	AMIN001300	CQUJHB006856
OG0002269	AMIN001299	CQUJHB011397
OG0002270	AMIN008214	CQUJHB014938
OG0002271	AMIN001312	CQUJHB010861
OG0002272	AMIN001313	CQUJHB005130
OG0002273	AMIN004505	CQUJHB005373
OG0002274	AMIN007254	CQUJHB006935
OG0002275	AMIN003871	CQUJHB000691
OG0002276	AMIN007259	CQUJHB003103
OG0002277	AMIN003828	CQUJHB005431
OG0002278	AMIN003833	CQUJHB002987
OG0002279	AMIN003829	CQUJHB009582
OG0002280	AMIN016285	CQUJHB016835
OG0002281	AMIN003524	CQUJHB000127
OG0002282	AMIN010767	CQUJHB011642
OG0002283	AMIN009591	CQUJHB002344
OG0002284	AMIN010760	CQUJHB001446
OG0002285	AMIN001710	CQUJHB002955, CQUJHB008269
OG0002286	AMIN009705	CQUJHB007418
OG0002287	AMIN009707	CQUJHB010863
OG0002288	AMIN009706	CQUJHB004334
OG0002289	AMIN010780	CQUJHB016882
OG0002290	AMIN010769	CQUJHB007502
OG0002291	AMIN001027	CQUJHB013153
OG0002292	AMIN009184	CQUJHB001130
