Orthogroup	AminimusMINIMUS1	AaegyptiLVP_AGWG
OG0001255	AMIN009515, AMIN009516	AAEL008687
OG0001256	AMIN002813	AAEL008699
OG0001257	AMIN006060	AAEL008961
OG0001258	AMIN001331	AAEL009019
OG0001259	AMIN001660	AAEL009054, AAEL027056
OG0001260	AMIN009843	AAEL009062
OG0001261	AMIN003902, AMIN003903	AAEL009176
OG0001262	AMIN011587	AAEL022573
OG0001263	AMIN003863	AAEL009328, AAEL009324
OG0001264	AMIN001305	AAEL009362
OG0001265	AMIN005285, AMIN005286	AAEL009489
OG0001266	AMIN007451, AMIN007453	AAEL009684
OG0001267	AMIN009655, AMIN009653	AAEL009761
OG0001268	AMIN008180	AAEL009836
OG0001269	AMIN006015	AAEL010041
OG0001270	AMIN006447	AAEL010069, AAEL024373
OG0001271	AMIN006448	AAEL026935, AAEL027269, AAEL010070
OG0001272	AMIN006375	AAEL010140, AAEL010148
OG0001273	AMIN006786	AAEL023181, AAEL010157
OG0001274	AMIN002923	AAEL010182
OG0001275	AMIN002236	AAEL010219
OG0001276	AMIN006751	AAEL010235, AAEL010228
OG0001277	AMIN001451	AAEL021534, AAEL026085, AAEL010265
OG0001278	AMIN008506	AAEL027836, AAEL024539, AAEL010314
OG0001279	AMIN004417, AMIN004416	AAEL010364
OG0001280	AMIN003191, AMIN003193	AAEL010397
OG0001281	AMIN009709, AMIN009710	AAEL010545
OG0001282	AMIN000962	AAEL010628, AAEL010631
OG0001283	AMIN007309	AAEL010647
OG0001284	AMIN000096	AAEL021724, AAEL010789
OG0001285	AMIN001256, AMIN001258	AAEL010926
OG0001286	AMIN002057	AAEL010941
OG0001287	AMIN004465, AMIN004466	AAEL011032, AAEL011029
OG0001288	AMIN000261	AAEL011150
OG0001289	AMIN014610	AAEL011238
OG0001290	AMIN007840	AAEL011239
OG0001292	AMIN005261	AAEL011357
OG0001293	AMIN009368	AAEL011419, AAEL027486, AAEL011428
OG0001294	AMIN007703	AAEL011458, AAEL013031
OG0001295	AMIN002451	AAEL025944, AAEL011475
OG0001296	AMIN001577, AMIN007728, AMIN007729	AAEL014842, AAEL011510
OG0001297	AMIN000139, AMIN000140	AAEL011575
OG0001298	AMIN009005	AAEL011632
OG0001299	AMIN003736	AAEL011786
OG0001300	AMIN000893	AAEL011941
OG0001301	AMIN009551	AAEL011992
OG0001302	AMIN015933	AAEL011995
OG0001303	AMIN009941	AAEL012107
OG0001304	AMIN007286	AAEL012161, AAEL012162
OG0001305	AMIN003218	AAEL014916, AAEL012344
OG0001306	AMIN002798	AAEL012382
OG0001307	AMIN001134	AAEL012472, AAEL027557
OG0001308	AMIN016081	AAEL012564, AAEL012565, AAEL012563
OG0001309	AMIN002761	AAEL019473, AAEL012613
OG0001310	AMIN000010	AAEL012621
OG0001312	AMIN003868	AAEL013335
OG0001313	AMIN005226, AMIN005227	AAEL013405
OG0001314	AMIN006550, AMIN006549	AAEL013882
OG0001315	AMIN010426	AAEL027503, AAEL023538, AAEL025158, AAEL024757, AAEL014089
OG0001316	AMIN005229, AMIN005230	AAEL014125
OG0001317	AMIN004677	AAEL014361
OG0001318	AMIN000664	AAEL023570, AAEL020504, AAEL014377
OG0001319	AMIN015856, AMIN015857	AAEL014441
OG0001321	AMIN010169	AAEL014452
OG0001322	AMIN007360	AAEL014640
OG0001324	AMIN007783	AAEL027937, AAEL014744
OG0001326	AMIN009441, AMIN009442	AAEL015109
OG0001327	AMIN002110	AAEL021791, AAEL015119
OG0001329	AMIN002565	AAEL018025, AAEL015313
OG0001330	AMIN010673	AAEL017158
OG0001331	AMIN009042, AMIN002026	AAEL017198
OG0001332	AMIN002187	AAEL017357, AAEL026428
OG0001333	AMIN007021	AAEL019858, AAEL018036
OG0001334	AMIN003654	AAEL018126
OG0001335	AMIN010967, AMIN010968	AAEL018131
OG0001336	AMIN010915	AAEL018149
OG0001337	AMIN003261, AMIN003263	AAEL018161
OG0001338	AMIN000536, AMIN000534	AAEL018165
OG0001339	AMIN003119, AMIN003118	AAEL018211
OG0001341	AMIN009181, AMIN009182	AAEL018298
OG0001342	AMIN006102	AAEL019430
OG0001343	AMIN000295	AAEL019439
OG0001344	AMIN000271, AMIN000272	AAEL019444
OG0001345	AMIN005721, AMIN005727, AMIN005728	AAEL019446
OG0001346	AMIN004057, AMIN004056	AAEL019476
OG0001347	AMIN005985, AMIN005986	AAEL019480
OG0001348	AMIN009422, AMIN009423, AMIN009424	AAEL019489
OG0001349	AMIN016225	AAEL020521, AAEL024405, AAEL024673, AAEL019542
OG0001350	AMIN003939, AMIN003937	AAEL019573
OG0001351	AMIN003884, AMIN003880	AAEL019577
OG0001352	AMIN002461	AAEL019587
OG0001354	AMIN016152	AAEL019667
OG0001355	AMIN000986	AAEL019714
OG0001356	AMIN006081, AMIN006083	AAEL019762
OG0001357	AMIN008735	AAEL019795
OG0001358	AMIN008219, AMIN008217	AAEL019835
OG0001360	AMIN004407, AMIN004412	AAEL019843
OG0001361	AMIN000019, AMIN000021	AAEL019848
OG0001362	AMIN009748, AMIN009746	AAEL019852
OG0001363	AMIN011466	AAEL019879
OG0001364	AMIN005344	AAEL019990
OG0001366	AMIN005058	AAEL020095
OG0001369	AMIN009302, AMIN009303	AAEL020499
OG0001370	AMIN008697, AMIN008696	AAEL020551, AAEL025762
OG0001371	AMIN015804	AAEL020651
OG0001372	AMIN008496, AMIN008495	AAEL020702
OG0001373	AMIN005713	AAEL020789
OG0001374	AMIN001494, AMIN001493, AMIN001492	AAEL020800
OG0001375	AMIN007757	AAEL021099
OG0001376	AMIN007306, AMIN007308	AAEL021805, AAEL022509
OG0001377	AMIN009022, AMIN009023	AAEL021865
OG0001378	AMIN004247	AAEL027926
OG0001380	AMIN010353	AAEL021945
OG0001381	AMIN004788	AAEL022092, AAEL024337
OG0001382	AMIN010997	AAEL022155, AAEL028005
OG0001383	AMIN003691	AAEL023190, AAEL024558, AAEL022214
OG0001384	AMIN001216, AMIN001210	AAEL022539
OG0001385	AMIN005663, AMIN005665	AAEL022589
OG0001386	AMIN008862	AAEL022718
OG0001387	AMIN004734	AAEL023148
OG0001388	AMIN003213	AAEL028188, AAEL023294
OG0001389	AMIN001670	AAEL025458, AAEL024104, AAEL026110
OG0001392	AMIN010115	AAEL024268
OG0001393	AMIN006007	AAEL024506, AAEL024812
OG0001394	AMIN000308	AAEL026507
OG0001395	AMIN003459, AMIN003460	AAEL024922
OG0001396	AMIN010195, AMIN010193, AMIN010194	AAEL025165
OG0001397	AMIN000349	AAEL025298, AAEL028110, AAEL026623
OG0001398	AMIN001926	AAEL025391
OG0001399	AMIN000936	AAEL025547
OG0001400	AMIN016027, AMIN015773	AAEL025567
OG0001401	AMIN009280	AAEL025911
OG0001402	AMIN006070	AAEL025973
OG0001403	AMIN008406, AMIN008408	AAEL026169
OG0001404	AMIN006185	AAEL026227
OG0001405	AMIN003010, AMIN003011	AAEL026287
OG0001406	AMIN011216	AAEL026387
OG0001408	AMIN000823	AAEL027904
OG0001408	AMIN000824	AAEL026581
OG0001409	AMIN011346	AAEL026671
OG0001410	AMIN008767	AAEL026939
OG0001411	AMIN007694	AAEL027023
OG0001412	AMIN009358	AAEL027589
OG0001413	AMIN016156	AAEL027616
OG0001414	AMIN009304, AMIN009305	AAEL028205
OG0001443	AMIN007487	AAEL000044, AAEL014995
OG0001444	AMIN011327	AAEL000081, AAEL020741
OG0001445	AMIN015547	AAEL000092
OG0001447	AMIN002748	AAEL027754, AAEL025874, AAEL000154
OG0001448	AMIN002473	AAEL000217
OG0001449	AMIN005327	AAEL000250
OG0001450	AMIN010167	AAEL000284
OG0001451	AMIN001495	AAEL013951, AAEL000432
OG0001452	AMIN004042	AAEL000468
OG0001453	AMIN016098	AAEL024335, AAEL000502
OG0001454	AMIN008932	AAEL000669, AAEL027395, AAEL023031
OG0001455	AMIN007267	AAEL000705, AAEL011193
OG0001456	AMIN004976	AAEL000803, AAEL011405
OG0001458	AMIN009550	AAEL000944
OG0001459	AMIN004437	AAEL000956
OG0001460	AMIN001311	AAEL000963, AAEL021108
OG0001461	AMIN002831	AAEL027902, AAEL001016
OG0001462	AMIN002399	AAEL001020, AAEL001022
OG0001463	AMIN002507	AAEL001127, AAEL020358
OG0001464	AMIN007342	AAEL013004, AAEL001143
OG0001465	AMIN007168, AMIN007169	AAEL001207
OG0001466	AMIN005886	AAEL001209
OG0001467	AMIN009736, AMIN009620	AAEL001216
OG0001468	AMIN001798	AAEL001304
OG0001469	AMIN002185	AAEL001352, AAEL022991
OG0001470	AMIN009683	AAEL001364
OG0001471	AMIN010014	AAEL022805, AAEL001387
OG0001472	AMIN011302	AAEL001458
OG0001473	AMIN005773	AAEL001464
OG0001474	AMIN007243	AAEL001491
OG0001475	AMIN001644	AAEL001495
OG0001476	AMIN001035, AMIN001032	AAEL001503
OG0001477	AMIN008885	AAEL022416, AAEL001522
OG0001478	AMIN010257	AAEL001554
OG0001479	AMIN010250	AAEL001561
OG0001480	AMIN006208	AAEL001619
OG0001481	AMIN010693	AAEL001680
OG0001482	AMIN010695	AAEL001682, AAEL027289
OG0001483	AMIN010198	AAEL001695
OG0001484	AMIN007577, AMIN007578	AAEL001696
OG0001486	AMIN010918	AAEL001738
OG0001487	AMIN011083, AMIN011084	AAEL001766
OG0001488	AMIN011553	AAEL001782
OG0001489	AMIN001570	AAEL001819
OG0001490	AMIN009685	AAEL010261, AAEL001879
OG0001491	AMIN009063	AAEL001939
OG0001492	AMIN006235, AMIN006233	AAEL001986
OG0001493	AMIN006226	AAEL024597, AAEL002006
OG0001494	AMIN006210, AMIN006209	AAEL002011
OG0001495	AMIN005162	AAEL002047
OG0001496	AMIN010179	AAEL002050
OG0001497	AMIN010182	AAEL002069
OG0001498	AMIN005084	AAEL002135
OG0001499	AMIN005373	AAEL002139
OG0001500	AMIN006943, AMIN005372	AAEL002175
OG0001501	AMIN000593	AAEL015481, AAEL002275
OG0001502	AMIN009547	AAEL002389, AAEL020851
OG0001503	AMIN000955	AAEL024419, AAEL002415
OG0001504	AMIN002024	AAEL002503
OG0001505	AMIN005745	AAEL025146, AAEL002510
OG0001506	AMIN002088	AAEL002527
OG0001507	AMIN004292	AAEL002577, AAEL002632
OG0001508	AMIN006859, AMIN006863	AAEL002599
OG0001509	AMIN001375	AAEL002651
OG0001510	AMIN010341	AAEL002719
OG0001511	AMIN009313	AAEL002835
OG0001512	AMIN009316	AAEL002838, AAEL002840
OG0001513	AMIN003485, AMIN003483	AAEL002859
OG0001514	AMIN004405	AAEL002902
OG0001515	AMIN002085	AAEL002903
OG0001516	AMIN005442	AAEL023241, AAEL002932
OG0001517	AMIN016039	AAEL003075
OG0001518	AMIN004255	AAEL003139
OG0001519	AMIN003478	AAEL003173, AAEL003163
OG0001520	AMIN001923	AAEL003177
OG0001521	AMIN000933	AAEL027087, AAEL003179
OG0001522	AMIN003837	AAEL003194
OG0001523	AMIN006137	AAEL003211
OG0001524	AMIN000500	AAEL003384
OG0001525	AMIN009335	AAEL003406, AAEL003430
OG0001526	AMIN007977	AAEL003493
OG0001527	AMIN001603	AAEL003522
OG0001528	AMIN001600	AAEL027762, AAEL003550
OG0001529	AMIN000175, AMIN000176	AAEL003566
OG0001531	AMIN004473	AAEL011519, AAEL003633
OG0001532	AMIN000561	AAEL003658
OG0001533	AMIN004780	AAEL003750
OG0001534	AMIN009213	AAEL003815
OG0001535	AMIN009198, AMIN009197	AAEL003824
OG0001536	AMIN009206	AAEL023486, AAEL003835
OG0001537	AMIN008239, AMIN008240	AAEL003953
OG0001538	AMIN000668	AAEL004010
OG0001539	AMIN008412	AAEL004059
OG0001540	AMIN008541	AAEL004119
OG0001541	AMIN000514	AAEL004142
OG0001542	AMIN005072	AAEL004155
OG0001543	AMIN005437	AAEL004235
OG0001544	AMIN006283	AAEL004281, AAEL004273
OG0001545	AMIN006286	AAEL004295
OG0001546	AMIN008796	AAEL004344
OG0001547	AMIN001298	AAEL004405
OG0001548	AMIN001297	AAEL004415
OG0001549	AMIN002475	AAEL004456
OG0001550	AMIN007466	AAEL004478
OG0001551	AMIN001816	AAEL004495
OG0001552	AMIN004519, AMIN009554	AAEL004653
OG0001553	AMIN007416	AAEL004661
OG0001554	AMIN001228	AAEL004702
OG0001555	AMIN006630	AAEL022153, AAEL024364, AAEL004750
OG0001556	AMIN016154	AAEL004768
OG0001557	AMIN002464	AAEL004791
OG0001558	AMIN002465, AMIN002466	AAEL004799
OG0001559	AMIN001265	AAEL025388, AAEL004823
OG0001560	AMIN004441, AMIN004440	AAEL004964
OG0001561	AMIN005018	AAEL004967
OG0001563	AMIN000106, AMIN000107	AAEL005195
OG0001564	AMIN010269, AMIN010268	AAEL005206
OG0001565	AMIN004033, AMIN004032	AAEL005247
OG0001566	AMIN007990, AMIN007992	AAEL005255
OG0001567	AMIN002031	AAEL021152, AAEL023206, AAEL005287, AAEL013691, AAEL008094
OG0001569	AMIN004727	AAEL005414
OG0001570	AMIN004721	AAEL005419
OG0001571	AMIN001348	AAEL028201, AAEL021183, AAEL005433
OG0001572	AMIN005305	AAEL026733, AAEL005438, AAEL022095
OG0001573	AMIN008687, AMIN008686	AAEL005476
OG0001574	AMIN007268	AAEL020297
OG0001574	AMIN002350	AAEL005485
OG0001575	AMIN001074	AAEL024254, AAEL005525, AAEL005526
OG0001576	AMIN005694	AAEL026634, AAEL005528
OG0001577	AMIN009097	AAEL012528, AAEL005536
OG0001578	AMIN000048	AAEL005631
OG0001579	AMIN002569	AAEL005767
OG0001580	AMIN004698	AAEL005808
OG0001581	AMIN007494	AAEL005842, AAEL022335
OG0001582	AMIN007518	AAEL021854, AAEL026114, AAEL005843
OG0001583	AMIN007493	AAEL005846
OG0001584	AMIN004460	AAEL021191, AAEL005866
OG0001585	AMIN006574	AAEL020020, AAEL005893
OG0001586	AMIN004651	AAEL005905
OG0001587	AMIN003198	AAEL020376, AAEL005950
OG0001588	AMIN003202	AAEL005952
OG0001589	AMIN009052	AAEL005962
OG0001590	AMIN006174	AAEL005970
OG0001591	AMIN009340	AAEL006034, AAEL025718
OG0001592	AMIN015974	AAEL006164, AAEL009201
OG0001593	AMIN003508	AAEL006174
OG0001594	AMIN003510	AAEL006181
OG0001595	AMIN002936	AAEL006205
OG0001596	AMIN009891	AAEL020128, AAEL006216
OG0001597	AMIN004363, AMIN004365	AAEL006348, AAEL006326
OG0001598	AMIN004380, AMIN004377	AAEL006340
OG0001599	AMIN004383	AAEL006343, AAEL025287
OG0001600	AMIN005508	AAEL006367
OG0001601	AMIN008703	AAEL006389
OG0001602	AMIN016270	AAEL007284, AAEL006440
OG0001603	AMIN001724	AAEL022222, AAEL023228, AAEL006445
OG0001604	AMIN007532	AAEL006548, AAEL006556
OG0001605	AMIN011379	AAEL021322, AAEL024679, AAEL006553
OG0001606	AMIN016251	AAEL027492, AAEL006659
OG0001607	AMIN008584	AAEL020946, AAEL006687
OG0001608	AMIN008587	AAEL006688
OG0001609	AMIN008586	AAEL006697
OG0001610	AMIN008022	AAEL006718
OG0001611	AMIN011361	AAEL026097, AAEL006732
OG0001612	AMIN008714	AAEL006772, AAEL024260
OG0001613	AMIN008721	AAEL006774
OG0001614	AMIN008794	AAEL006790
OG0001615	AMIN002543	AAEL006839
OG0001616	AMIN008207	AAEL020314, AAEL006854
OG0001617	AMIN003867	AAEL006859, AAEL014276
OG0001618	AMIN002552	AAEL006919
OG0001619	AMIN009082	AAEL006987, AAEL006990
OG0001620	AMIN009076	AAEL021420, AAEL006998, AAEL028089
OG0001621	AMIN007133	AAEL025660, AAEL007001
OG0001622	AMIN008991	AAEL007049
OG0001623	AMIN000212	AAEL020187, AAEL007078
OG0001624	AMIN009727	AAEL007278, AAEL022274
OG0001625	AMIN016222	AAEL007285
OG0001626	AMIN016236	AAEL007349
OG0001627	AMIN002736	AAEL010393, AAEL007385
OG0001628	AMIN011153	AAEL007409
OG0001630	AMIN005818	AAEL007476
OG0001631	AMIN002655	AAEL025261, AAEL007492
OG0001632	AMIN011494, AMIN011492, AMIN011495	AAEL007505
OG0001633	AMIN001413	AAEL007568
OG0001634	AMIN001878	AAEL026096, AAEL007708
OG0001635	AMIN002954	AAEL007805
OG0001636	AMIN002952	AAEL007814, AAEL021591
OG0001637	AMIN001620, AMIN001621	AAEL007823
OG0001638	AMIN014197, AMIN001924	AAEL007902
OG0001639	AMIN009729	AAEL007959
OG0001640	AMIN001727	AAEL007979
OG0001641	AMIN010513	AAEL007987, AAEL025151
OG0001642	AMIN016032	AAEL007996
OG0001643	AMIN000337, AMIN000338	AAEL008010, AAEL025987
OG0001644	AMIN000528	AAEL008041
OG0001645	AMIN003320	AAEL023409, AAEL008046
OG0001647	AMIN000456	AAEL008154
OG0001648	AMIN000474	AAEL008188
OG0001649	AMIN010588	AAEL008219
OG0001650	AMIN001986, AMIN001985	AAEL008403
OG0001651	AMIN001983	AAEL012845, AAEL008412
OG0001652	AMIN004587	AAEL021627, AAEL008416, AAEL022499, AAEL023848
OG0001653	AMIN004604	AAEL008450
OG0001654	AMIN010756	AAEL008459
OG0001655	AMIN005792	AAEL008463
OG0001656	AMIN006186	AAEL008592
OG0001657	AMIN016153	AAEL008596
OG0001658	AMIN002815	AAEL008700
OG0001659	AMIN008225	AAEL008738
OG0001660	AMIN003346	AAEL008826
OG0001661	AMIN009074	AAEL023781, AAEL008842
OG0001662	AMIN006302	AAEL008849
OG0001663	AMIN014628	AAEL008865
OG0001664	AMIN005474	AAEL008941
OG0001665	AMIN004491	AAEL008942
OG0001666	AMIN005479	AAEL026683, AAEL008956
OG0001667	AMIN010062, AMIN005572	AAEL008960
OG0001668	AMIN000236	AAEL009097
OG0001669	AMIN007557	AAEL009183, AAEL027505
OG0001670	AMIN006905, AMIN004952, AMIN004953	AAEL009196
OG0001671	AMIN006353	AAEL009265
OG0001672	AMIN010337	AAEL009298
OG0001673	AMIN004565	AAEL009307
OG0001674	AMIN010633	AAEL009351, AAEL021624
OG0001675	AMIN010632	AAEL009356, AAEL024601
OG0001676	AMIN014634, AMIN008119	AAEL009364
OG0001677	AMIN002429	AAEL009438
OG0001678	AMIN005374	AAEL009471, AAEL009458
OG0001679	AMIN005705, AMIN005708	AAEL009466
OG0001680	AMIN003163	AAEL023741, AAEL009469
OG0001681	AMIN004248	AAEL009503, AAEL020495
OG0001682	AMIN009446	AAEL009588
OG0001683	AMIN004904	AAEL009634
OG0001684	AMIN004905	AAEL009637
OG0001685	AMIN002994	AAEL026149
OG0001686	AMIN000150	AAEL025383, AAEL009701
OG0001687	AMIN006572	AAEL009757, AAEL009751
OG0001688	AMIN006563	AAEL009753
OG0001689	AMIN005738	AAEL009763
OG0001690	AMIN005716	AAEL009779
OG0001691	AMIN002277	AAEL009850
OG0001692	AMIN001087	AAEL028144, AAEL009872
OG0001693	AMIN008688	AAEL009894, AAEL012911
OG0001694	AMIN000112, AMIN000111	AAEL009950
OG0001695	AMIN003825	AAEL010008, AAEL026984
OG0001696	AMIN003087	AAEL010062
OG0001697	AMIN011457	AAEL010090
OG0001698	AMIN000403	AAEL011805, AAEL010110
OG0001699	AMIN007190	AAEL021547, AAEL024827, AAEL010226
OG0001700	AMIN006163	AAEL010260
OG0001701	AMIN006157	AAEL010266
OG0001702	AMIN007162	AAEL010283
OG0001704	AMIN008503	AAEL010311
OG0001705	AMIN004423, AMIN004424	AAEL010354
OG0001706	AMIN004427	AAEL010355
OG0001708	AMIN011340	AAEL010389
OG0001709	AMIN004221	AAEL010422
OG0001710	AMIN007022	AAEL021184, AAEL010511
OG0001711	AMIN009564	AAEL010568
OG0001712	AMIN005114	AAEL010571, AAEL026067
OG0001713	AMIN007563	AAEL010593
OG0001714	AMIN009480	AAEL010742, AAEL024119
OG0001715	AMIN007500, AMIN007498	AAEL010757
OG0001716	AMIN009853, AMIN009378	AAEL010771
OG0001717	AMIN009855, AMIN009856	AAEL010778
OG0001718	AMIN000197, AMIN000198	AAEL010827
OG0001719	AMIN007341	AAEL010855
OG0001720	AMIN004085	AAEL021416, AAEL011123
OG0001721	AMIN000752	AAEL024207, AAEL011124
OG0001722	AMIN000262	AAEL011157
OG0001723	AMIN000260	AAEL011159
OG0001724	AMIN015519	AAEL011271
OG0001725	AMIN011280	AAEL011345
OG0001726	AMIN010691	AAEL011349
OG0001727	AMIN005082	AAEL011379
OG0001728	AMIN008781	AAEL011382
OG0001729	AMIN007144	AAEL011411, AAEL012903
OG0001730	AMIN010737, AMIN010736	AAEL011436
OG0001731	AMIN008041	AAEL011500
OG0001732	AMIN008097	AAEL011560
OG0001733	AMIN008094	AAEL011562
OG0001734	AMIN000136	AAEL011566
OG0001735	AMIN004224, AMIN000973	AAEL011690, AAEL011691
OG0001736	AMIN000931	AAEL011697
OG0001737	AMIN006545	AAEL025949, AAEL021786, AAEL011731
OG0001738	AMIN005607	AAEL011751, AAEL023265
OG0001740	AMIN008073	AAEL011768, AAEL011771
OG0001741	AMIN002561	AAEL011808, AAEL027830
OG0001742	AMIN005632	AAEL011850
OG0001743	AMIN001594	AAEL011989
OG0001744	AMIN015660	AAEL011991
OG0001745	AMIN001592	AAEL011993
OG0001746	AMIN015661	AAEL011996
OG0001747	AMIN008181, AMIN008179	AAEL012016
OG0001748	AMIN004574	AAEL027882, AAEL012059
OG0001749	AMIN011276, AMIN007287	AAEL021939, AAEL012178
OG0001750	AMIN005729, AMIN005730	AAEL012233
OG0001751	AMIN004323	AAEL012324
OG0001752	AMIN003462	AAEL022520, AAEL012341
OG0001753	AMIN008741, AMIN008743	AAEL012410
OG0001754	AMIN008552	AAEL012501
OG0001755	AMIN001509	AAEL012525
OG0001756	AMIN008028, AMIN008031	AAEL012539
OG0001757	AMIN003463	AAEL012552
OG0001758	AMIN001687	AAEL021254, AAEL012585
OG0001759	AMIN001685	AAEL012671
OG0001760	AMIN002035	AAEL012710, AAEL012715
OG0001762	AMIN005252, AMIN005251	AAEL012717
OG0001763	AMIN010356	AAEL012731
OG0001764	AMIN010999, AMIN011001	AAEL012751
OG0001765	AMIN011004, AMIN011005	AAEL012756
OG0001766	AMIN006458	AAEL018249, AAEL012783
OG0001767	AMIN000602	AAEL012822
OG0001768	AMIN007696, AMIN007697	AAEL012823
OG0001769	AMIN000601	AAEL012826
OG0001771	AMIN001562, AMIN001533	AAEL013151
OG0001772	AMIN001558	AAEL013157, AAEL013152
OG0001773	AMIN000414	AAEL013197
OG0001774	AMIN000407	AAEL026895, AAEL013199
OG0001775	AMIN009768	AAEL013253
OG0001776	AMIN007983	AAEL013278
OG0001777	AMIN001453	AAEL013366
OG0001778	AMIN002634, AMIN002636	AAEL013424
OG0001779	AMIN004320	AAEL013478
OG0001780	AMIN004319	AAEL013479
OG0001781	AMIN003397	AAEL013527
OG0001782	AMIN003735	AAEL013613
OG0001783	AMIN004878	AAEL013724
OG0001784	AMIN011220	AAEL013744
OG0001786	AMIN006328, AMIN006329	AAEL013776
OG0001787	AMIN005488	AAEL013814
OG0001788	AMIN010624	AAEL013872
OG0001789	AMIN010625	AAEL013875
OG0001790	AMIN002012	AAEL013883
OG0001791	AMIN003556	AAEL013962
OG0001792	AMIN009998	AAEL020316, AAEL013974
OG0001793	AMIN009986	AAEL028215, AAEL013994
OG0001794	AMIN009987	AAEL013998, AAEL027973
OG0001795	AMIN005564	AAEL014009
OG0001796	AMIN015771	AAEL014022
OG0001797	AMIN007957	AAEL014027
OG0001798	AMIN003399	AAEL014054, AAEL025786
OG0001799	AMIN000646	AAEL014059
OG0001800	AMIN001449	AAEL025776, AAEL014216
OG0001801	AMIN010499	AAEL014246, AAEL014244
OG0001802	AMIN014005, AMIN000079, AMIN000080	AAEL014271
OG0001803	AMIN005838	AAEL014272
OG0001804	AMIN006121	AAEL014284
OG0001805	AMIN015793, AMIN015794	AAEL014303
OG0001806	AMIN009902, AMIN009903	AAEL024066, AAEL014318
OG0001807	AMIN009387, AMIN009388	AAEL014326
OG0001808	AMIN011580, AMIN011581	AAEL014340
OG0001809	AMIN009558	AAEL014348
OG0001810	AMIN009569	AAEL014349
OG0001811	AMIN002928	AAEL014435
OG0001812	AMIN005218	AAEL014505
OG0001813	AMIN010630	AAEL014577
OG0001814	AMIN010631	AAEL014578, AAEL023117
OG0001815	AMIN001576, AMIN001574	AAEL014653
OG0001816	AMIN011109	AAEL014774
OG0001817	AMIN009741, AMIN009740	AAEL014824
OG0001818	AMIN010148	AAEL014851
OG0001819	AMIN005653	AAEL024910, AAEL014853
OG0001820	AMIN010360, AMIN010361	AAEL014863
OG0001821	AMIN007908	AAEL015118
OG0001822	AMIN009715	AAEL015255
OG0001823	AMIN010415	AAEL020424, AAEL015402
OG0001824	AMIN006690	AAEL015557
OG0001825	AMIN005256	AAEL015640
OG0001826	AMIN015552	AAEL017327, AAEL017097, AAEL017230
OG0001827	AMIN005095	AAEL017167
OG0001828	AMIN006358	AAEL023345, AAEL017186
OG0001829	AMIN008903	AAEL017251
OG0001830	AMIN007611	AAEL017356
OG0001831	AMIN002093	AAEL017391
OG0001832	AMIN008561	AAEL017512
OG0001833	AMIN007185	AAEL018103, AAEL026175
OG0001834	AMIN015497	AAEL018114
OG0001835	AMIN004932, AMIN004933	AAEL018141
OG0001836	AMIN009456	AAEL024668, AAEL018183
OG0001837	AMIN004883, AMIN004881	AAEL018215
OG0001838	AMIN008289, AMIN008290	AAEL018227
OG0001839	AMIN001761	AAEL018232
OG0001840	AMIN005561	AAEL018263
OG0001841	AMIN010560	AAEL018302
OG0001842	AMIN009351	AAEL018310
OG0001843	AMIN003499, AMIN003500	AAEL018324
OG0001844	AMIN006986	AAEL019406
OG0001845	AMIN015778	AAEL023349, AAEL019418
OG0001846	AMIN008369	AAEL019420, AAEL019419
OG0001847	AMIN014466, AMIN005573, AMIN009051	AAEL019421
OG0001848	AMIN005470	AAEL019425
OG0001849	AMIN008447, AMIN008446	AAEL019457
OG0001850	AMIN000620, AMIN000621	AAEL019467
OG0001851	AMIN002423	AAEL019491
OG0001852	AMIN008435, AMIN008434	AAEL019502
OG0001853	AMIN015973	AAEL019515, AAEL021312
OG0001854	AMIN004311	AAEL019543
OG0001855	AMIN007620, AMIN007619	AAEL019551
OG0001856	AMIN015737	AAEL019553
OG0001857	AMIN003689, AMIN003690	AAEL019566
OG0001858	AMIN016030	AAEL027018, AAEL019593
OG0001859	AMIN003454	AAEL019600, AAEL022282, AAEL023044
OG0001860	AMIN000263	AAEL019610
OG0001861	AMIN010248	AAEL019617
OG0001862	AMIN003396	AAEL025304, AAEL019619
OG0001863	AMIN008168	AAEL019632
OG0001864	AMIN009862	AAEL019640
OG0001865	AMIN005321	AAEL019656
OG0001866	AMIN003416	AAEL021311
OG0001866	AMIN003418	AAEL019671
OG0001867	AMIN005984	AAEL019680
OG0001868	AMIN004673, AMIN004674	AAEL019686
OG0001869	AMIN004954, AMIN006497, AMIN004999	AAEL019704
OG0001870	AMIN000808	AAEL019721, AAEL021660
OG0001871	AMIN007313	AAEL019723
OG0001872	AMIN014894, AMIN014892, AMIN002741	AAEL027062, AAEL019734
OG0001873	AMIN002562	AAEL019738, AAEL022521
OG0001874	AMIN003048, AMIN003047	AAEL019743
OG0001875	AMIN010798	AAEL019757
OG0001876	AMIN004600, AMIN004595	AAEL019779
OG0001877	AMIN004826, AMIN004827	AAEL019784
OG0001878	AMIN006215, AMIN006213	AAEL019813
OG0001879	AMIN008890	AAEL019816
OG0001880	AMIN002697, AMIN002696, AMIN011086, AMIN002698	AAEL019872
OG0001881	AMIN009979	AAEL019888
OG0001883	AMIN009931	AAEL019934
OG0001884	AMIN001054	AAEL019942, AAEL019943
OG0001885	AMIN002968	AAEL020938, AAEL019995
OG0001886	AMIN005742	AAEL020006
OG0001887	AMIN005613	AAEL020075
