Orthogroup	AminimusMINIMUS1	LlongipalpisASM
OG0001611	AMIN011361	LOC129794313
OG0001612	AMIN008714	LOC129795496
OG0001613	AMIN008721	LOC129793815, LOC129786668, LOC129786729
OG0001614	AMIN008794	LOC129795844
OG0001615	AMIN002543	LOC129793898
OG0001616	AMIN008207	LOC129792007
OG0001617	AMIN003867	LOC129790376
OG0001618	AMIN002552	LOC129792832, LOC129787634
OG0001619	AMIN009082	LOC129786506, LOC129786488
OG0001620	AMIN009076	LOC129786438
OG0001621	AMIN007133	LOC129787620
OG0001622	AMIN008991	LOC129792130
OG0001623	AMIN000212	LOC129787944
OG0001624	AMIN009727	LOC129787347
OG0001625	AMIN016222	LOC129796179
OG0001626	AMIN016236	LOC129792140, LOC129797795
OG0001627	AMIN002736	LOC129797847
OG0001628	AMIN011153	LOC129791569
OG0001630	AMIN005818	LOC129795633
OG0001631	AMIN002655	LOC129786221
OG0001632	AMIN011494, AMIN011492, AMIN011495	LOC129793617
OG0001633	AMIN001413	LOC129789417
OG0001634	AMIN001878	LOC129796839
OG0001635	AMIN002954	LOC129795027
OG0001636	AMIN002952	LOC129790733
OG0001637	AMIN001620, AMIN001621	LOC129790595
OG0001638	AMIN014197, AMIN001924	LOC129790797
OG0001639	AMIN009729	LOC129796206
OG0001640	AMIN001727	LOC129789851, LOC129789850, LOC129789085
OG0001641	AMIN010513	LOC129790175
OG0001642	AMIN016032	LOC129793308
OG0001643	AMIN000337, AMIN000338	LOC129797437
OG0001644	AMIN000528	LOC129796435
OG0001645	AMIN003320	LOC129795123
OG0001647	AMIN000456	LOC129796554
OG0001648	AMIN000474	LOC129787158
OG0001649	AMIN010588	LOC129786326, LOC129795316, LOC129786322
OG0001650	AMIN001986, AMIN001985	LOC129790931
OG0001651	AMIN001983	LOC129790887
OG0001652	AMIN004587	LOC129786116
OG0001654	AMIN010756	LOC129789585
OG0001655	AMIN005792	LOC129789602
OG0001656	AMIN006186	LOC129788086
OG0001657	AMIN016153	LOC129789357
OG0001658	AMIN002815	LOC129786809
OG0001659	AMIN008225	LOC129793899
OG0001660	AMIN003346	LOC129786022
OG0001661	AMIN009074	LOC129786658
OG0001662	AMIN006302	LOC129792648
OG0001663	AMIN014628	LOC129796251
OG0001664	AMIN005474	LOC129790572
OG0001665	AMIN004491	LOC129790134
OG0001666	AMIN005479	LOC129789751
OG0001667	AMIN010062, AMIN005572	LOC129790063
OG0001668	AMIN000236	LOC129793929
OG0001669	AMIN007557	LOC129792436
OG0001670	AMIN006905, AMIN004952, AMIN004953	LOC129795951
OG0001671	AMIN006353	LOC129788616
OG0001672	AMIN010337	LOC129789273, LOC129789272
OG0001673	AMIN004565	LOC129787185
OG0001674	AMIN010633	LOC129792010
OG0001675	AMIN010632	LOC129791982
OG0001676	AMIN014634, AMIN008119	LOC129795464
OG0001677	AMIN002429	LOC129797117
OG0001678	AMIN005374	LOC129789742
OG0001679	AMIN005705, AMIN005708	LOC129788938
OG0001680	AMIN003163	LOC129797090
OG0001681	AMIN004248	LOC129794747, LOC129794746
OG0001682	AMIN009446	LOC129788060
OG0001683	AMIN004904	LOC129790728
OG0001684	AMIN004905	LOC129790725
OG0001685	AMIN002994	LOC129793889
OG0001686	AMIN000150	LOC129796857
OG0001688	AMIN006563	LOC129797292, LOC129797293, LOC129786585
OG0001689	AMIN005738	LOC129787992
OG0001690	AMIN005716	LOC129789156
OG0001691	AMIN002277	LOC129793247, LOC129793246
OG0001692	AMIN001087	LOC129790239
OG0001694	AMIN000112, AMIN000111	LOC129787868
OG0001695	AMIN003825	LOC129786751
OG0001696	AMIN003087	LOC129788426
OG0001697	AMIN011457	LOC129792997
OG0001699	AMIN007190	LOC129795526
OG0001700	AMIN006163	LOC129793749, LOC129791126, LOC129789479
OG0001702	AMIN007162	LOC129789529
OG0001704	AMIN008503	LOC129785963
OG0001705	AMIN004423, AMIN004424	LOC129797629
OG0001706	AMIN004427	LOC129789605, LOC129795515
OG0001708	AMIN011340	LOC129797541, LOC129792617, LOC129792400
OG0001709	AMIN004221	LOC129787238, LOC129790388
OG0001710	AMIN007022	LOC129796140
OG0001711	AMIN009564	LOC129788442
OG0001712	AMIN005114	LOC129789964
OG0001714	AMIN009480	LOC129791296
OG0001715	AMIN007500, AMIN007498	LOC129796923
OG0001716	AMIN009853, AMIN009378	LOC129790480
OG0001717	AMIN009855, AMIN009856	LOC129789932
OG0001718	AMIN000197, AMIN000198	LOC129797155
OG0001719	AMIN007341	LOC129791721
OG0001720	AMIN004085	LOC129786098
OG0001721	AMIN000752	LOC129785973
OG0001722	AMIN000262	LOC129797064
OG0001723	AMIN000260	LOC129795874
OG0001724	AMIN015519	LOC129786652
OG0001725	AMIN011280	LOC129794113
OG0001726	AMIN010691	LOC129792607, LOC129792727
OG0001727	AMIN005082	LOC129788794
OG0001728	AMIN008781	LOC129787839
OG0001730	AMIN010737, AMIN010736	LOC129796021
OG0001731	AMIN008041	LOC129788792, LOC129791986
OG0001732	AMIN008097	LOC129796695
OG0001733	AMIN008094	LOC129786263
OG0001734	AMIN000136	LOC129791737, LOC129792398
OG0001735	AMIN004224, AMIN000973	LOC129790824
OG0001736	AMIN000931	LOC129796096
OG0001737	AMIN006545	LOC129795468
OG0001738	AMIN005607	LOC129788301
OG0001741	AMIN002561	LOC129787555
OG0001742	AMIN005632	LOC129792632
OG0001743	AMIN001594	LOC129792747
OG0001744	AMIN015660	LOC129787602
OG0001745	AMIN001592	LOC129787587
OG0001746	AMIN015661	LOC129797065
OG0001747	AMIN008181, AMIN008179	LOC129794259
OG0001748	AMIN004574	LOC129786441
OG0001749	AMIN011276, AMIN007287	LOC129792376
OG0001750	AMIN005729, AMIN005730	LOC129790222
OG0001751	AMIN004323	LOC129794909
OG0001752	AMIN003462	LOC129786866
OG0001753	AMIN008741, AMIN008743	LOC129796574, LOC129796573
OG0001754	AMIN008552	LOC129788770, LOC129788776, LOC129795979
OG0001755	AMIN001509	LOC129794760
OG0001756	AMIN008028, AMIN008031	LOC129791759
OG0001757	AMIN003463	LOC129789606
OG0001758	AMIN001687	LOC129789116
OG0001759	AMIN001685	LOC129789065
OG0001760	AMIN002035	LOC129787052
OG0001762	AMIN005252, AMIN005251	LOC129792088
OG0001763	AMIN010356	LOC129791736
OG0001764	AMIN010999, AMIN011001	LOC129794248
OG0001765	AMIN011004, AMIN011005	LOC129793816
OG0001767	AMIN000602	LOC129785893
OG0001768	AMIN007696, AMIN007697	LOC129792769
OG0001769	AMIN000601	LOC129793630
OG0001771	AMIN001562, AMIN001533	LOC129788791
OG0001772	AMIN001558	LOC129789245, LOC129789345
OG0001773	AMIN000414	LOC129792735
OG0001774	AMIN000407	LOC129789403
OG0001775	AMIN009768	LOC129790827
OG0001776	AMIN007983	LOC129793498
OG0001777	AMIN001453	LOC129788364
OG0001778	AMIN002634, AMIN002636	LOC129797665
OG0001779	AMIN004320	LOC129794840
OG0001780	AMIN004319	LOC129794939
OG0001781	AMIN003397	LOC129793429
OG0001782	AMIN003735	LOC129787820
OG0001783	AMIN004878	LOC129786246
OG0001784	AMIN011220	LOC129793241
OG0001785	AMIN003468	LOC129787696, LOC129787686
OG0001786	AMIN006328, AMIN006329	LOC129791199
OG0001787	AMIN005488	LOC129791381
OG0001788	AMIN010624	LOC129792127
OG0001789	AMIN010625	LOC129792135
OG0001790	AMIN002012	LOC129790876
OG0001791	AMIN003556	LOC129786553
OG0001792	AMIN009998	LOC129796385
OG0001793	AMIN009986	LOC129792442
OG0001794	AMIN009987	LOC129797226
OG0001795	AMIN005564	LOC129789520, LOC129789252
OG0001796	AMIN015771	LOC129792783
OG0001798	AMIN003399	LOC129787211
OG0001799	AMIN000646	LOC129788959
OG0001800	AMIN001449	LOC129788729
OG0001802	AMIN014005, AMIN000079, AMIN000080	LOC129797610
OG0001803	AMIN005838	LOC129791007, LOC129791008
OG0001804	AMIN006121	LOC129795693
OG0001805	AMIN015793, AMIN015794	LOC129790995
OG0001806	AMIN009902, AMIN009903	LOC129792413
OG0001807	AMIN009387, AMIN009388	LOC129791367
OG0001808	AMIN011580, AMIN011581	LOC129792755
OG0001811	AMIN002928	LOC129792465
OG0001812	AMIN005218	LOC129787649
OG0001813	AMIN010630	LOC129793732, LOC129793734
OG0001814	AMIN010631	LOC129792252
OG0001815	AMIN001576, AMIN001574	LOC129787405
OG0001816	AMIN011109	LOC129793276
OG0001817	AMIN009741, AMIN009740	LOC129790365
OG0001818	AMIN010148	LOC129787508
OG0001819	AMIN005653	LOC129789556
OG0001820	AMIN010360, AMIN010361	LOC129793706
OG0001821	AMIN007908	LOC129791557
OG0001822	AMIN009715	LOC129793139
OG0001823	AMIN010415	LOC129791671
OG0001824	AMIN006690	LOC129790984
OG0001825	AMIN005256	LOC129795054
OG0001827	AMIN005095	LOC129787714, LOC129787776
OG0001829	AMIN008903	LOC129795457
OG0001830	AMIN007611	LOC129795064
OG0001831	AMIN002093	LOC129790640
OG0001832	AMIN008561	LOC129795501
OG0001833	AMIN007185	LOC129791389
OG0001834	AMIN015497	LOC129792115
OG0001835	AMIN004932, AMIN004933	LOC129787975
OG0001837	AMIN004883, AMIN004881	LOC129787074
OG0001838	AMIN008289, AMIN008290	LOC129795573
OG0001839	AMIN001761	LOC129791005
OG0001840	AMIN005561	LOC129788825
OG0001841	AMIN010560	LOC129791580
OG0001842	AMIN009351	LOC129794817
OG0001843	AMIN003499, AMIN003500	LOC129788150
OG0001844	AMIN006986	LOC129797361
OG0001845	AMIN015778	LOC129792975
OG0001846	AMIN008369	LOC129796912
OG0001848	AMIN005470	LOC129790690
OG0001849	AMIN008447, AMIN008446	LOC129796195
OG0001850	AMIN000620, AMIN000621	LOC129792298
OG0001851	AMIN002423	LOC129797616, LOC129797574
OG0001852	AMIN008435, AMIN008434	LOC129797324
OG0001853	AMIN015973	LOC129794826
OG0001854	AMIN004311	LOC129794842
OG0001855	AMIN007620, AMIN007619	LOC129794073
OG0001856	AMIN015737	LOC129789363
OG0001857	AMIN003689, AMIN003690	LOC129797241
OG0001858	AMIN016030	LOC129796202, LOC129796420
OG0001859	AMIN003454	LOC129791467
OG0001860	AMIN000263	LOC129796988
OG0001861	AMIN010248	LOC129792410
OG0001862	AMIN003396	LOC129787215
OG0001863	AMIN008168	LOC129792072
OG0001864	AMIN009862	LOC129790855
OG0001865	AMIN005321	LOC129790845
OG0001866	AMIN003416, AMIN003418	LOC129795328
OG0001867	AMIN005984	LOC129788957
OG0001868	AMIN004673, AMIN004674	LOC129787270
OG0001869	AMIN004954, AMIN006497, AMIN004999	LOC129795513
OG0001870	AMIN000808	LOC129786560
OG0001871	AMIN007313	LOC129787708
OG0001873	AMIN002562	LOC129787651
OG0001874	AMIN003048, AMIN003047	LOC129795307
OG0001875	AMIN010798, AMIN010797	LOC129794108
OG0001876	AMIN004600, AMIN004595	LOC129786760
OG0001879	AMIN008890	LOC129794824
OG0001880	AMIN002697, AMIN002696, AMIN011086, AMIN002698	LOC129786509
OG0001881	AMIN009979	LOC129787945, LOC129794298, LOC129794305
OG0001883	AMIN009931	LOC129793191
OG0001884	AMIN001054	LOC129790026
OG0001885	AMIN002968	LOC129791203
OG0001886	AMIN005742	LOC129785854
OG0001887	AMIN005613	LOC129789344, LOC129789624
OG0001889	AMIN005658, AMIN005661	LOC129789558
OG0001890	AMIN008213	LOC129796812
OG0001891	AMIN009438	LOC129788054
OG0001892	AMIN000116, AMIN000114	LOC129787869
OG0001893	AMIN004384, AMIN004338	LOC129795913
OG0001894	AMIN002076	LOC129790362
OG0001895	AMIN010600	LOC129793818
OG0001896	AMIN001064	LOC129788046
OG0001897	AMIN005514, AMIN005515	LOC129790146
OG0001898	AMIN005288	LOC129793044, LOC129790873, LOC129793877
OG0001899	AMIN006008	LOC129788657
OG0001901	AMIN006378	LOC129791155
OG0001902	AMIN002991	LOC129792775
OG0001905	AMIN000638	LOC129787833
OG0001906	AMIN004037	LOC129788661
OG0001908	AMIN002563	LOC129787564
OG0001909	AMIN006182	LOC129790425
OG0001912	AMIN004504	LOC129795945
OG0001913	AMIN005221, AMIN005223	LOC129790847
OG0001914	AMIN011518	LOC129794648
OG0001915	AMIN003811	LOC129795734
OG0001916	AMIN000785	LOC129791707
OG0001917	AMIN003280	LOC129795172, LOC129795169
OG0001918	AMIN002067	LOC129790323
OG0001919	AMIN016209, AMIN010174	LOC129791890
OG0001920	AMIN000410	LOC129789627
OG0001923	AMIN011279	LOC129792576
OG0001924	AMIN006781	LOC129788384
OG0001925	AMIN002090	LOC129791354
OG0001926	AMIN005567	LOC129789853
OG0001928	AMIN011226	LOC129787417
OG0001929	AMIN005224	LOC129790888
OG0001930	AMIN016212	LOC129791566
OG0001931	AMIN001231, AMIN001193	LOC129788027
OG0001933	AMIN000149	LOC129790383
OG0001934	AMIN011386	LOC129793593
OG0001935	AMIN001324	LOC129787271
OG0001937	AMIN010521, AMIN010519	LOC129792078
OG0001938	AMIN006913	LOC129796602
OG0001939	AMIN015735	LOC129787144
OG0001940	AMIN005390, AMIN005388	LOC129788550
OG0001941	AMIN005486	LOC129790566
OG0001942	AMIN007330, AMIN007331	LOC129787632, LOC129787549
OG0001943	AMIN003533	LOC129787936
OG0001944	AMIN004312	LOC129787103
OG0001945	AMIN005359	LOC129788609
OG0001946	AMIN006606	LOC129789835
OG0001947	AMIN007109, AMIN007108	LOC129793148
OG0001948	AMIN005424	LOC129790027
OG0001949	AMIN001886	LOC129791154
OG0001950	AMIN015502, AMIN007679	LOC129791722
OG0001951	AMIN001795	LOC129788275
OG0001952	AMIN011287	LOC129794314
OG0001953	AMIN010183	LOC129793162
OG0001954	AMIN009989	LOC129794292
OG0001955	AMIN007233	LOC129792214
OG0001956	AMIN005577	LOC129788139
OG0001957	AMIN010161	LOC129793821
OG0001958	AMIN005075, AMIN004398	LOC129785990
OG0001959	AMIN000834	LOC129785955, LOC129786145
OG0001960	AMIN003315	LOC129789692, LOC129789672, LOC129795154
OG0001961	AMIN001871	LOC129792189
OG0001962	AMIN001127, AMIN001126	LOC129796121
OG0001963	AMIN009864	LOC129790872
OG0001964	AMIN007949, AMIN007950	LOC129793403
OG0001965	AMIN004289	LOC129795975
OG0001968	AMIN008112	LOC129790144, LOC129793916
OG0001970	AMIN003167	LOC129797434
OG0001971	AMIN004269	LOC129793531
OG0001974	AMIN005498	LOC129785856
OG0001975	AMIN011026	LOC129792950, LOC129792892
OG0001976	AMIN003507	LOC129795962
OG0001977	AMIN005416	LOC129789328
OG0001978	AMIN015741	LOC129794833, LOC129795403
OG0001979	AMIN000233	LOC129786351
OG0001980	AMIN005639	LOC129789419, LOC129789930
OG0001981	AMIN004852	LOC129796027
OG0001982	AMIN005659	LOC129789617
OG0001983	AMIN005588	LOC129789082
OG0001984	AMIN009185	LOC129789641
OG0001991	AMIN005459	LOC129786287
OG0001997	AMIN015625	LOC129787900
OG0001998	AMIN005634	LOC129790854
OG0002010	AMIN005093	LOC129786915
OG0002016	AMIN008680	LOC129794168
OG0002027	AMIN003035	LOC129786348
OG0002028	AMIN000742	LOC129786183
OG0002029	AMIN016063	LOC129786150
OG0002030	AMIN000729	LOC129796868
OG0002032	AMIN004840	LOC129796943
OG0002033	AMIN003566	LOC129796820
OG0002034	AMIN000883	LOC129790140
OG0002035	AMIN002860	LOC129789332
OG0002036	AMIN002474	LOC129797306
OG0002037	AMIN007459	LOC129786088
OG0002038	AMIN016265	LOC129797429
OG0002039	AMIN005004	LOC129797746
OG0002040	AMIN016267	LOC129797304, LOC129797307
OG0002041	AMIN006460	LOC129787111
OG0002042	AMIN005013	LOC129787206
OG0002043	AMIN010723	LOC129792702
OG0002044	AMIN002134	LOC129793762
OG0002045	AMIN005824	LOC129788678
OG0002046	AMIN008681	LOC129787153
OG0002047	AMIN016072	LOC129792995
OG0002048	AMIN008309	LOC129795712
OG0002049	AMIN008671	LOC129787065
OG0002050	AMIN007814, AMIN007813	LOC129787969
OG0002052	AMIN008508	LOC129793489
OG0002053	AMIN007810	LOC129797520
OG0002054	AMIN008924	LOC129796471
OG0002055	AMIN014085, AMIN000846	LOC129795446
OG0002056	AMIN004044	LOC129796303
OG0002057	AMIN000848	LOC129796472
OG0002058	AMIN000655	LOC129793910
OG0002059	AMIN004816	LOC129796534
OG0002060	AMIN000849	LOC129794853
OG0002061	AMIN000654	LOC129787988
OG0002062	AMIN003590, AMIN003592	LOC129796074
OG0002063	AMIN000395	LOC129797489
OG0002064	AMIN008791	LOC129796436
OG0002065	AMIN009170	LOC129792004, LOC129794614
OG0002066	AMIN009163	LOC129796138
OG0002067	AMIN003419	LOC129795350
OG0002068	AMIN003413	LOC129797761
OG0002069	AMIN009474	LOC129797826, LOC129788594
OG0002072	AMIN004763	LOC129789432
OG0002073	AMIN007740	LOC129794275
OG0002074	AMIN007739	LOC129792662
OG0002075	AMIN007737	LOC129792271
OG0002076	AMIN007738	LOC129792610
OG0002077	AMIN008560	LOC129795742
OG0002078	AMIN003972	LOC129786002
OG0002079	AMIN003975	LOC129786109
OG0002080	AMIN003973	LOC129794911
OG0002081	AMIN004275	LOC129788016, LOC129795800
OG0002082	AMIN009309	LOC129794597
OG0002083	AMIN008954	LOC129787679
OG0002084	AMIN003006	LOC129791859
OG0002085	AMIN011061	LOC129788403, LOC129788402
OG0002086	AMIN008582	LOC129786135, LOC129786019
OG0002087	AMIN008197	LOC129796881
OG0002088	AMIN001301	LOC129795724
OG0002089	AMIN001310	LOC129796615
OG0002090	AMIN004529	LOC129796235
OG0002091	AMIN011062	LOC129788450
OG0002092	AMIN008580	LOC129787669
OG0002094	AMIN008340	LOC129795213
OG0002095	AMIN000347	LOC129786568
OG0002098	AMIN003332	LOC129785822
OG0002099	AMIN003072	LOC129797209
OG0002100	AMIN003711	LOC129793188, LOC129793187
OG0002101	AMIN003633	LOC129787041
OG0002102	AMIN003178	LOC129787051
OG0002103	AMIN005570	LOC129790062
OG0002104	AMIN006918	LOC129795021, LOC129788515
OG0002105	AMIN009567	LOC129790023
OG0002106	AMIN001475	LOC129791064
OG0002107	AMIN001474	LOC129796177
OG0002108	AMIN015991	LOC129788481
OG0002109	AMIN011619	LOC129791914
OG0002110	AMIN001186	LOC129790068
OG0002111	AMIN009452	LOC129796167
OG0002112	AMIN005799	LOC129789295
OG0002113	AMIN001551	LOC129788380
OG0002114	AMIN009929	LOC129790798
OG0002115	AMIN011435, AMIN011436	LOC129792622
OG0002116	AMIN007541	LOC129791818
OG0002117	AMIN010906	LOC129792628
OG0002118	AMIN011643	LOC129792365
OG0002119	AMIN009961	LOC129792165
OG0002120	AMIN002109	LOC129786317
OG0002122	AMIN006443	LOC129791865
OG0002123	AMIN010541	LOC129792550
OG0002124	AMIN007304	LOC129792128
OG0002125	AMIN009682	LOC129789847, LOC129791422
OG0002126	AMIN007369	LOC129793297
OG0002127	AMIN007276	LOC129792100
OG0002128	AMIN010480	LOC129792548
OG0002129	AMIN010466	LOC129792129
OG0002130	AMIN010475	LOC129794340
OG0002131	AMIN010474	LOC129797194
OG0002132	AMIN010476	LOC129792102
OG0002133	AMIN010454	LOC129793858
OG0002134	AMIN005571	LOC129790066
OG0002135	AMIN001648	LOC129795626
OG0002136	AMIN005998	LOC129789141
OG0002137	AMIN006808	LOC129789022
OG0002138	AMIN007157	LOC129786190
OG0002139	AMIN005947	LOC129788531
OG0002140	AMIN001181	LOC129792041
OG0002141	AMIN005989	LOC129794790
OG0002142	AMIN001649	LOC129794293
OG0002143	AMIN008877	LOC129794878
OG0002144	AMIN008865	LOC129796165
OG0002145	AMIN008872	LOC129794992
OG0002146	AMIN010223	LOC129792611
OG0002149	AMIN010343	LOC129795812
OG0002150	AMIN010211	LOC129793207
OG0002151	AMIN010258	LOC129792849
OG0002152	AMIN010216	LOC129787483
OG0002153	AMIN001367	LOC129792349
OG0002154	AMIN006403	LOC129786459
OG0002156	AMIN006042	LOC129795641
OG0002157	AMIN010929	LOC129794282
OG0002158	AMIN011547	LOC129792677
OG0002159	AMIN011542	LOC129793989
OG0002160	AMIN001568	LOC129788807
OG0002161	AMIN001351	LOC129789584
OG0002162	AMIN001569	LOC129792208
OG0002163	AMIN005940	LOC129789633, LOC129795922
OG0002164	AMIN001347	LOC129789915
OG0002165	AMIN006362	LOC129790660
OG0002166	AMIN001180	LOC129788457
OG0002167	AMIN007218	LOC129793573
OG0002168	AMIN006366	LOC129790952
OG0002169	AMIN006364	LOC129789473
OG0002170	AMIN007220	LOC129790189
OG0002171	AMIN009559	LOC129790264
OG0002172	AMIN007219	LOC129789140
OG0002173	AMIN009690	LOC129789107
OG0002174	AMIN009428	LOC129790705, LOC129790700
OG0002176	AMIN009699	LOC129789087
OG0002177	AMIN009066	LOC129795949
OG0002178	AMIN009064	LOC129795722
OG0002179	AMIN006223	LOC129789021
OG0002180	AMIN006207	LOC129793143
OG0002181	AMIN006227	LOC129790196
OG0002182	AMIN015600	LOC129786453
OG0002183	AMIN006189, AMIN001209	LOC129791374
OG0002184	AMIN003881	LOC129797310
OG0002185	AMIN004055	LOC129795865
OG0002186	AMIN003245	LOC129797706
OG0002187	AMIN015560	LOC129786836
OG0002188	AMIN015561	LOC129786895
OG0002189	AMIN005353	LOC129787436
OG0002190	AMIN001744	LOC129788388
OG0002191	AMIN006085	LOC129788510
OG0002192	AMIN001743	LOC129788448
OG0002193	AMIN009819	LOC129789440
OG0002194	AMIN007920	LOC129792408
OG0002195	AMIN010990	LOC129793090
OG0002196	AMIN007921	LOC129792947
OG0002197	AMIN008906	LOC129796307
OG0002198	AMIN009252	LOC129796032
OG0002199	AMIN009233	LOC129794812
OG0002200	AMIN011284	LOC129793181
OG0002201	AMIN007387	LOC129793237
OG0002202	AMIN007390	LOC129793200
OG0002203	AMIN007717	LOC129793485
OG0002204	AMIN002121	LOC129788693
OG0002205	AMIN011282	LOC129794185
OG0002206	AMIN007389	LOC129793211
OG0002208	AMIN001518	LOC129789628
OG0002209	AMIN001540	LOC129789680, LOC129789687
OG0002210	AMIN001593	LOC129791980
OG0002211	AMIN011063	LOC129787391
OG0002212	AMIN004772	LOC129797348
OG0002213	AMIN003786	LOC129788136
OG0002214	AMIN005748	LOC129788860
OG0002215	AMIN005125	LOC129786768
OG0002216	AMIN007316	LOC129794210
OG0002217	AMIN010651	LOC129793381, LOC129793379
OG0002218	AMIN007166	LOC129788862
OG0002219	AMIN002016	LOC129790860
OG0002220	AMIN002637	LOC129797609
OG0002221	AMIN003449	LOC129787562
OG0002222	AMIN003447	LOC129793261
OG0002223	AMIN005031	LOC129795732
OG0002224	AMIN003688	LOC129797443
OG0002226	AMIN004298	LOC129796496
OG0002227	AMIN004092	LOC129795589
OG0002229	AMIN006858	LOC129795588
OG0002230	AMIN001386	LOC129796777
OG0002231	AMIN001378	LOC129788560
OG0002232	AMIN000767	LOC129785910
OG0002233	AMIN010342	LOC129793461
OG0002234	AMIN010890	LOC129792716
OG0002235	AMIN004800	LOC129796803
OG0002236	AMIN003969	LOC129789903, LOC129797367
OG0002237	AMIN002665	LOC129787792
OG0002238	AMIN000733	LOC129786065
OG0002239	AMIN000730	LOC129797602
OG0002240	AMIN000595	LOC129790493
OG0002241	AMIN003649	LOC129787979
OG0002242	AMIN004779	LOC129787955
OG0002244	AMIN005615	LOC129788699
OG0002245	AMIN015556	LOC129794046
OG0002246	AMIN005616	LOC129788702
OG0002247	AMIN000771	LOC129785965
OG0002248	AMIN005444	LOC129790227, LOC129797606
OG0002249	AMIN011286	LOC129789817
OG0002251	AMIN000925	LOC129789579
OG0002252	AMIN000927	LOC129786273
OG0002253	AMIN008807	LOC129788451
OG0002254	AMIN003253	LOC129793410
OG0002256	AMIN003250, AMIN001938	LOC129793333
OG0002257	AMIN000803	LOC129786737
OG0002258	AMIN000287	LOC129788415, LOC129793194
OG0002259	AMIN005547	LOC129785858
OG0002260	AMIN005145	LOC129788509
OG0002261	AMIN011048	LOC129793788
OG0002262	AMIN015961	LOC129791873
OG0002263	AMIN007954	LOC129791669
OG0002264	AMIN016037	LOC129793023
OG0002265	AMIN007386	LOC129791657
OG0002266	AMIN005451	LOC129785912
OG0002267	AMIN010061	LOC129791731, LOC129791729
OG0002268	AMIN001300	LOC129797731
OG0002270	AMIN008214	LOC129795116
OG0002271	AMIN001312	LOC129795960
OG0002272	AMIN001313	LOC129790531
OG0002273	AMIN004505	LOC129794997
OG0002274	AMIN007254	LOC129788771
OG0002275	AMIN003871	LOC129788122, LOC129796151
OG0002276	AMIN007259	LOC129788796
OG0002277	AMIN003828	LOC129786934
OG0002278	AMIN003833	LOC129786933, LOC129786932
OG0002281	AMIN003524	LOC129787739
OG0002282	AMIN010767	LOC129788062, LOC129788066
OG0002283	AMIN009591	LOC129793663
OG0002284	AMIN010760	LOC129786555
OG0002285	AMIN001710	LOC129788063
OG0002286	AMIN009705	LOC129793658
OG0002287	AMIN009707	LOC129793672
OG0002288	AMIN009706	LOC129793661
OG0002289	AMIN010780	LOC129788137
OG0002290	AMIN010769	LOC129789278
OG0002291	AMIN001027	LOC129787557
OG0002292	AMIN009184	LOC129795898
OG0002293	AMIN007462	LOC129794480
OG0002294	AMIN006126	LOC129786106
OG0002295	AMIN006125	LOC129797132
OG0002296	AMIN006109	LOC129790316
OG0002298	AMIN000502	LOC129792758
OG0002299	AMIN000444	LOC129797168
OG0002300	AMIN000499	LOC129787547
OG0002301	AMIN000437	LOC129797203
OG0002302	AMIN003674	LOC129797189
OG0002304	AMIN004350	LOC129795418
OG0002305	AMIN006523	LOC129797328, LOC129792354
OG0002306	AMIN015970	LOC129795987
OG0002307	AMIN008616	LOC129787027
OG0002308	AMIN010484	LOC129791629
OG0002309	AMIN010206	LOC129792903
OG0002310	AMIN008098	LOC129789716
OG0002311	AMIN003423	LOC129797452
OG0002312	AMIN007981	LOC129785887
OG0002313	AMIN008258	LOC129795613
OG0002314	AMIN001595	LOC129797510
OG0002315	AMIN008285	LOC129794653
OG0002316	AMIN008286	LOC129796203
OG0002317	AMIN001602	LOC129793168
OG0002318	AMIN006323	LOC129790590
OG0002319	AMIN001601	LOC129797356
OG0002321	AMIN000173	LOC129787175
OG0002322	AMIN000178	LOC129789941, LOC129789940
OG0002325	AMIN003758	LOC129785876
OG0002326	AMIN002152	LOC129787545
OG0002328	AMIN006831	LOC129791851
OG0002329	AMIN002150	LOC129797403
OG0002330	AMIN007751	LOC129786253
OG0002331	AMIN004708	LOC129786187
OG0002332	AMIN003854	LOC129786748
OG0002333	AMIN004707	LOC129786299
OG0002334	AMIN004701	LOC129786267
OG0002335	AMIN004706	LOC129786296
OG0002336	AMIN004704	LOC129786256
OG0002337	AMIN005683	LOC129791435
OG0002338	AMIN007449	LOC129786699
OG0002339	AMIN009214	LOC129796019
OG0002340	AMIN000763	LOC129795472
OG0002341	AMIN000759	LOC129795471
OG0002342	AMIN003495	LOC129791807
OG0002344	AMIN000787	LOC129786043
OG0002346	AMIN001538	LOC129796797
OG0002347	AMIN004340	LOC129794184
OG0002348	AMIN002918	LOC129787124, LOC129789001
OG0002349	AMIN000669	LOC129787282
OG0002350	AMIN003148	LOC129787523
OG0002351	AMIN002910	LOC129787150
OG0002352	AMIN005560	LOC129790865, LOC129790231
OG0002353	AMIN005674	LOC129789284
OG0002355	AMIN009352	LOC129795357
OG0002356	AMIN000660	LOC129786496
OG0002357	AMIN000144	LOC129796952
OG0002358	AMIN002453	LOC129789471
OG0002359	AMIN000659	LOC129796826
OG0002360	AMIN010883	LOC129793096
OG0002361	AMIN011562	LOC129794309
OG0002362	AMIN006285	LOC129786375
OG0002363	AMIN007232	LOC129792566
OG0002364	AMIN000970	LOC129786277
OG0002365	AMIN006281	LOC129792656
OG0002367	AMIN002328	LOC129794620
OG0002368	AMIN007196	LOC129794057
