Orthogroup	AminimusMINIMUS1	Aalbopictus_AalbF5
OG0000827	AMIN008535	LOC109407627, LOC115256953
OG0000828	AMIN005213	LOC109402179
OG0000828	AMIN005210	LOC109397612
OG0000829	AMIN005324	LOC115254222, LOC109397206
OG0000830	AMIN003548	LOC109403994, LOC109432040, LOC109403982, LOC109432039
OG0000831	AMIN006617	LOC134287875, LOC134287869
OG0000832	AMIN002709, AMIN002710	LOC115263972
OG0000833	AMIN005624, AMIN005623, AMIN002585	LOC109400918, LOC109429315
OG0000834	AMIN007227	LOC109429391, LOC109402113, LOC109412105
OG0000835	AMIN015867, AMIN015865	LOC134291987, LOC109415804
OG0000836	AMIN009645	LOC109430154
OG0000836	AMIN009644	LOC109430157
OG0000837	AMIN011511	LOC109416502
OG0000838	AMIN008048, AMIN005566	LOC109415565
OG0000839	AMIN002681	LOC115255254, LOC109398228
OG0000840	AMIN000129, AMIN006873	LOC134291248
OG0000842	AMIN016014, AMIN016015	LOC109417693
OG0000843	AMIN002747	LOC109415209, LOC109423491
OG0000844	AMIN016188, AMIN005381	LOC115269572, LOC115254854
OG0000845	AMIN014862	LOC115265786, LOC109418023, LOC109418018
OG0000846	AMIN004594	LOC109423234
OG0000847	AMIN005435	LOC109427518
OG0000849	AMIN003267	LOC109429212
OG0000850	AMIN001224	LOC109422051
OG0000852	AMIN007207, AMIN006783, AMIN010226, AMIN009132, AMIN004322	LOC109427421, LOC115257141
OG0000853	AMIN011125	LOC109430966, LOC109430951
OG0000854	AMIN010048, AMIN010047	LOC115269852, LOC109405120
OG0000855	AMIN005292	LOC115253665
OG0000856	AMIN010508, AMIN010509	LOC109399245
OG0000857	AMIN004794	LOC109413324
OG0000858	AMIN003765	LOC115267652
OG0000859	AMIN004995	LOC109415843, LOC109418743
OG0000860	AMIN005458	LOC109408950
OG0000861	AMIN008606	LOC109404460, LOC109418895
OG0000862	AMIN010111, AMIN010130	LOC109420860
OG0000863	AMIN010434	LOC109409669, LOC134287500
OG0000864	AMIN006245	LOC134287582
OG0000864	AMIN006246	LOC109421514
OG0000865	AMIN005467, AMIN007173	LOC109412170
OG0000866	AMIN011126, AMIN011127	LOC109430912
OG0000867	AMIN003607	LOC109406888
OG0000868	AMIN009956	LOC109430789
OG0000869	AMIN010932	LOC109399160
OG0000870	AMIN007260, AMIN005403	LOC109422027
OG0000871	AMIN001525	LOC109409278
OG0000872	AMIN005621, AMIN010271	LOC109415590
OG0000873	AMIN007294	LOC115259327, LOC109407944
OG0000874	AMIN005902, AMIN005901	LOC115258615, LOC109414353
OG0000875	AMIN005449	LOC109397203
OG0000876	AMIN000345	LOC115259484
OG0000877	AMIN004669, AMIN002993	LOC109623040
OG0000878	AMIN011498	LOC109416487
OG0000879	AMIN015599, AMIN015598	LOC134287710, LOC109419955
OG0000880	AMIN007698	LOC115257986, LOC109412548, LOC109412559
OG0000881	AMIN002676	LOC109432399, LOC115269272
OG0000882	AMIN008476, AMIN008475, AMIN008478	LOC109428958, LOC134284482
OG0000883	AMIN011056, AMIN011057	LOC109410282
OG0000884	AMIN004966, AMIN004962	LOC134292001, LOC109402124
OG0000885	AMIN002663	LOC109403870
OG0000886	AMIN007762, AMIN007758	LOC115253623
OG0000887	AMIN010554, AMIN002394	LOC109429899
OG0000888	AMIN001617, AMIN001618, AMIN001619	LOC109411294
OG0000889	AMIN007853, AMIN007857, AMIN007854	LOC109424340
OG0000890	AMIN004575, AMIN004578	LOC109417328, LOC109623185
OG0000891	AMIN004067	LOC109429101
OG0000891	AMIN004064	LOC109429102
OG0000893	AMIN000745	LOC109419193, LOC115253707
OG0000894	AMIN007146	LOC109420563, LOC109419840
OG0000895	AMIN005450	LOC115254223, LOC134284748, LOC109397194
OG0000896	AMIN001698	LOC115254967
OG0000897	AMIN007495	LOC109407883
OG0000900	AMIN005076	LOC109433641
OG0000901	AMIN008822, AMIN008821	LOC109408340
OG0000902	AMIN005263, AMIN005262	LOC109405106
OG0000903	AMIN010665	LOC109399718, LOC115265699
OG0000904	AMIN016094, AMIN016093	LOC109398927
OG0000905	AMIN006476	LOC134286131, LOC134286631
OG0000906	AMIN010094, AMIN010093	LOC109426344
OG0000907	AMIN003529	LOC109412455, LOC134285459
OG0000908	AMIN000097, AMIN004225, AMIN000972	LOC115264234
OG0000909	AMIN004174, AMIN004173	LOC115271075, LOC134283980, LOC115271061
OG0000910	AMIN003898	LOC109398826
OG0000911	AMIN005201	LOC109415236
OG0000913	AMIN004902	LOC109413157, LOC134284833, LOC109402651, LOC134284834, LOC134288308, LOC109413169
OG0000914	AMIN002114	LOC115267818, LOC109427985, LOC109403536
OG0000922	AMIN006499	LOC115263871, LOC134286987, LOC134291069, LOC134289664, LOC134286116, LOC134286965, LOC134286334, LOC134288731
OG0000940	AMIN006257	LOC109420679
OG0000941	AMIN000656	LOC109427263
OG0000942	AMIN000394	LOC109433416, LOC115257322
OG0000943	AMIN008564	LOC109420299, LOC109416793
OG0000944	AMIN000418	LOC109399785
OG0000945	AMIN005200	LOC109403566
OG0000946	AMIN005993, AMIN005992	LOC109401384, LOC134287951
OG0000947	AMIN005024	LOC109431530, LOC115257508
OG0000948	AMIN006406	LOC109419064
OG0000949	AMIN006043, AMIN006044	LOC109402335
OG0000950	AMIN009802	LOC115265524
OG0000951	AMIN010985	LOC115261050
OG0000952	AMIN005746, AMIN005747, AMIN008233	LOC109432985
OG0000953	AMIN005407	LOC109398420, LOC109409416
OG0000954	AMIN001996	LOC109398396
OG0000954	AMIN001997	LOC115260031
OG0000955	AMIN003445	LOC109419793, LOC109425332, LOC109419787, LOC115259537
OG0000956	AMIN007072, AMIN010334	LOC109401226, LOC109621887
OG0000957	AMIN016025	LOC115267122, LOC109410200
OG0000958	AMIN003537, AMIN005628	LOC109416544
OG0000959	AMIN003328, AMIN003330	LOC109419225
OG0000960	AMIN003889, AMIN003892	LOC109419243
OG0000961	AMIN015960	LOC109414235
OG0000962	AMIN003862	LOC109430338, LOC134286626
OG0000963	AMIN000438, AMIN000439	LOC109399713
OG0000964	AMIN008982	LOC109399631
OG0000965	AMIN010793	LOC115270143, LOC134285661
OG0000966	AMIN008668	LOC109422321, LOC109422323
OG0000967	AMIN002911	LOC109406478
OG0000968	AMIN002113, AMIN000054	LOC109431125
OG0000969	AMIN008175	LOC134285741, LOC115260841, LOC115261960, LOC134288856, LOC109416926
OG0000970	AMIN005393	LOC134284886, LOC134284891
OG0000972	AMIN009726	LOC109428891, LOC109397524, LOC115258581
OG0000973	AMIN004868, AMIN004869	LOC109400410, LOC134283973
OG0000974	AMIN001752, AMIN009795	LOC109429695
OG0000975	AMIN010995	LOC109420491, LOC109402579, LOC109402586
OG0000976	AMIN011179, AMIN011180	LOC109409684
OG0000977	AMIN003896	LOC109419129
OG0000978	AMIN001929	LOC115255109
OG0000979	AMIN009863	LOC109408318
OG0000980	AMIN003509, AMIN005697	LOC109431120
OG0000982	AMIN005578	LOC109422812
OG0000982	AMIN005579	LOC134285200
OG0000983	AMIN004697	LOC115257625, LOC109430290
OG0000984	AMIN011029, AMIN011027	LOC109621675
OG0000985	AMIN002865	LOC109402823, LOC115271096
OG0000986	AMIN001244	LOC109405691, LOC109399915, LOC109405647
OG0000987	AMIN001869	LOC109411688
OG0000988	AMIN006425	LOC109398322, LOC109398331, LOC109398282
OG0000989	AMIN005002	LOC109418806
OG0000990	AMIN001887	LOC109411712
OG0000991	AMIN008989	LOC109424680
OG0000992	AMIN011100	LOC109431737, LOC109424145
OG0000993	AMIN003577	LOC115261560
OG0000994	AMIN011148	LOC109413053
OG0000995	AMIN001280, AMIN005774	LOC109397902
OG0000996	AMIN005963, AMIN005983, AMIN009519	LOC109407247
OG0000997	AMIN010086, AMIN010087	LOC115254240
OG0000998	AMIN004777	LOC109403247, LOC109425394
OG0000999	AMIN008453, AMIN008454	LOC115267533
OG0001000	AMIN004305	LOC109410626
OG0001001	AMIN001667	LOC109410638, LOC109433503
OG0001002	AMIN001925	LOC109420451, LOC109411748
OG0001003	AMIN005789	LOC115255731, LOC109401885
OG0001004	AMIN010597	LOC109432332, LOC109431947
OG0001005	AMIN005179, AMIN004616	LOC109402076
OG0001006	AMIN005829	LOC109427352, LOC109427351
OG0001007	AMIN002047, AMIN006341	LOC109398853
OG0001008	AMIN008491	LOC109431053
OG0001009	AMIN005477	LOC109427406, LOC109410125
OG0001010	AMIN005139	LOC109428446
OG0001011	AMIN002616, AMIN002614	LOC109425486, LOC109399007
OG0001012	AMIN006069	LOC109421550
OG0001013	AMIN005771	LOC109405326, LOC134284674
OG0001014	AMIN005525, AMIN001357	LOC109403563
OG0001015	AMIN010884	LOC109426817
OG0001016	AMIN016151, AMIN000332	LOC109423112, LOC109419080
OG0001017	AMIN001220, AMIN001218, AMIN001219	LOC109406871, LOC134284967
OG0001018	AMIN001971, AMIN001973	LOC109432961
OG0001019	AMIN008304, AMIN008299	LOC109431255
OG0001020	AMIN005243	LOC109422119
OG0001021	AMIN003709, AMIN003707	LOC109419157, LOC109427981
OG0001022	AMIN016113	LOC134287968, LOC134287970
OG0001024	AMIN001092, AMIN001643	LOC115255616, LOC115256844
OG0001025	AMIN002927	LOC109422710
OG0001027	AMIN008758	LOC115262720
OG0001028	AMIN002624	LOC109398974, LOC115258403
OG0001029	AMIN009759, AMIN005176	LOC115256872, LOC109422006
OG0001030	AMIN007398	LOC109422466
OG0001031	AMIN008831, AMIN008830	LOC109410546
OG0001032	AMIN015967	LOC109426306, LOC109411963
OG0001033	AMIN009019	LOC109424634
OG0001034	AMIN000397	LOC109405749
OG0001036	AMIN001809	LOC115254170
OG0001037	AMIN006243	LOC109409116
OG0001039	AMIN003390, AMIN003387, AMIN003388	LOC109419299
OG0001040	AMIN001691	LOC109431811
OG0001040	AMIN001692	LOC134288764
OG0001041	AMIN003787	LOC134287945, LOC109398433
OG0001042	AMIN002230	LOC109406257
OG0001044	AMIN008030	LOC109426969
OG0001045	AMIN008350, AMIN005271	LOC109416816, LOC109398231
OG0001046	AMIN004900	LOC109412738
OG0001047	AMIN016264	LOC109419295
OG0001048	AMIN008279	LOC109424711, LOC134291622
OG0001049	AMIN007044, AMIN007042, AMIN007045	LOC109401184
OG0001050	AMIN010117	LOC109431503, LOC109431497
OG0001051	AMIN001450	LOC134285936, LOC109417138, LOC115258522, LOC109417139, LOC115258481
OG0001052	AMIN005392	LOC109402125, LOC109426304, LOC109414782
OG0001053	AMIN003934, AMIN003933	LOC134289431
OG0001054	AMIN001695, AMIN001696	LOC109431822
OG0001055	AMIN005476, AMIN004336	LOC134284918, LOC109397852
OG0001057	AMIN003764	LOC115267651, LOC109430321
OG0001058	AMIN004160	LOC109413676, LOC109413675
OG0001059	AMIN003687	LOC109397930, LOC109397925, LOC109622058
OG0001060	AMIN003780	LOC109423623
OG0001061	AMIN001627, AMIN001626, AMIN001630	LOC134286357, LOC109411791
OG0001062	AMIN005991	LOC109432868
OG0001063	AMIN000170, AMIN000169	LOC109427199
OG0001064	AMIN010943	LOC109406424
OG0001065	AMIN002120	LOC109415434
OG0001066	AMIN000617	LOC134285574
OG0001067	AMIN003259, AMIN003257, AMIN003258	LOC109398937
OG0001068	AMIN003175	LOC109415536
OG0001069	AMIN003015, AMIN003014	LOC115269359
OG0001070	AMIN009549	LOC109419096
OG0001072	AMIN001002	LOC115255409
OG0001072	AMIN001005	LOC134288767
OG0001073	AMIN005253, AMIN005254	LOC109428467
OG0001074	AMIN005048	LOC109397885
OG0001075	AMIN003953	LOC134291882
OG0001075	AMIN003954	LOC109622353
OG0001076	AMIN002469, AMIN002470, AMIN002468	LOC109431918
OG0001077	AMIN008908	LOC109424682, LOC134284300
OG0001078	AMIN001937, AMIN009873	LOC109420654
OG0001079	AMIN011488	LOC109414963
OG0001079	AMIN011491	LOC109415153
OG0001080	AMIN008441, AMIN008442, AMIN008440	LOC109405099
OG0001081	AMIN010171	LOC134286822
OG0001082	AMIN005472	LOC109406965
OG0001083	AMIN009068, AMIN009070	LOC109409390
OG0001084	AMIN006872, AMIN006875	LOC115266894
OG0001085	AMIN006542	LOC109424401
OG0001086	AMIN010642, AMIN010640	LOC109414826
OG0001087	AMIN006196	LOC109420026
OG0001090	AMIN004977, AMIN005063	LOC109422192
OG0001091	AMIN016060	LOC109401617
OG0001092	AMIN005744	LOC134285075, LOC109409419
OG0001095	AMIN007194, AMIN007195	LOC115254947
OG0001096	AMIN002055	LOC115260715, LOC115267137
OG0001097	AMIN001735	LOC109409190
OG0001098	AMIN005944, AMIN016144	LOC109419910, LOC134287707
OG0001101	AMIN010394	LOC109410008
OG0001102	AMIN015757	LOC109403065
OG0001103	AMIN005413	LOC109427539
OG0001104	AMIN000780	LOC115260266
OG0001105	AMIN003708, AMIN003705	LOC109405833
OG0001106	AMIN010606	LOC109400621
OG0001107	AMIN003986, AMIN003987	LOC109433280
OG0001109	AMIN006240, AMIN006239	LOC109432525
OG0001110	AMIN011622, AMIN011621	LOC134286761, LOC109403813
OG0001111	AMIN011548	LOC109431650
OG0001112	AMIN009312	LOC109422256
OG0001113	AMIN009994, AMIN009995	LOC109415821
OG0001115	AMIN016157, AMIN004187	LOC109404189
OG0001120	AMIN007506	LOC134288586, LOC109427826, LOC115266680, LOC115265003, LOC134290961
OG0001123	AMIN007727, AMIN002886	LOC134284832, LOC134286670
OG0001138	AMIN000512	LOC109420901, LOC109425977
OG0001139	AMIN015609	LOC109408072
OG0001140	AMIN000911	LOC109400141, LOC109400144
OG0001141	AMIN002645	LOC109400108, LOC115254309, LOC109400127
OG0001142	AMIN000881	LOC109430404
OG0001143	AMIN007019	LOC109405767
OG0001144	AMIN011633	LOC115254213, LOC109417979, LOC109398203
OG0001145	AMIN005804	LOC109424932
OG0001145	AMIN009888, AMIN005805	LOC115254883
OG0001146	AMIN005828	LOC109424953, LOC115256337
OG0001147	AMIN010168	LOC134288547, LOC109416473
OG0001148	AMIN000695	LOC109401796, LOC115257064
OG0001149	AMIN000393	LOC115261300
OG0001150	AMIN009169, AMIN009166	LOC115267983
OG0001151	AMIN001819	LOC109415097, LOC109408543
OG0001152	AMIN007075	LOC109429914
OG0001153	AMIN008797	LOC109408999, LOC109426467
OG0001154	AMIN008806	LOC115253958
OG0001155	AMIN008799	LOC109408988
OG0001157	AMIN016005	LOC109396993, LOC109397000, LOC109397051, LOC109397020
OG0001158	AMIN002500, AMIN002499	LOC109411232
OG0001159	AMIN010879, AMIN010881	LOC109406167
OG0001160	AMIN005106, AMIN005105	LOC109422898
OG0001162	AMIN015818	LOC109429639
OG0001163	AMIN006407	LOC109408144
OG0001164	AMIN007583	LOC109426660, LOC115260748
OG0001166	AMIN006363	LOC134287911, LOC109433152
OG0001167	AMIN009427	LOC109427842
OG0001168	AMIN004522	LOC115254133, LOC115259941
OG0001169	AMIN007432, AMIN007431, AMIN007429	LOC109422497
OG0001170	AMIN010178	LOC109400599, LOC109404937
OG0001171	AMIN003910, AMIN003909	LOC109398784
OG0001172	AMIN007984	LOC109402238, LOC115267212
OG0001173	AMIN006798	LOC115254019, LOC109409323
OG0001174	AMIN004122	LOC109423252
OG0001175	AMIN004115, AMIN004117	LOC109430199
OG0001176	AMIN003957	LOC109407838, LOC109406699
OG0001177	AMIN006333, AMIN005797	LOC109398410, LOC134285080
OG0001178	AMIN001994	LOC109398429, LOC109400389
OG0001179	AMIN001390	LOC109424163
OG0001180	AMIN007064, AMIN007063	LOC109398296
OG0001181	AMIN000679	LOC109431898
OG0001182	AMIN002553, AMIN002554	LOC109404407
OG0001183	AMIN000735, AMIN000734	LOC115254245
OG0001184	AMIN008267	LOC115260379
OG0001185	AMIN000592, AMIN000594	LOC109408324
OG0001186	AMIN000290, AMIN000288	LOC109399828, LOC109425278
OG0001187	AMIN004254	LOC115268790, LOC115257806
OG0001188	AMIN003869	LOC109400071, LOC134285480
OG0001189	AMIN003531	LOC134285458, LOC109430336
OG0001191	AMIN004463	LOC109426877, LOC109623336
OG0001192	AMIN006834	LOC109404765
OG0001193	AMIN011202	LOC109622575, LOC134287488
OG0001194	AMIN008662, AMIN008664	LOC109422324
OG0001195	AMIN008234	LOC109420175, LOC115265507, LOC115253931
OG0001196	AMIN008391, AMIN008390	LOC109402290
OG0001197	AMIN009348	LOC109425930
OG0001199	AMIN005356, AMIN005355	LOC109401821
OG0001200	AMIN007229	LOC109429397, LOC109429398
OG0001201	AMIN006287	LOC109429413
OG0001202	AMIN002606	LOC109429357, LOC109399008
OG0001203	AMIN005391	LOC109402653, LOC134284821, LOC134284842, LOC134284829
OG0001204	AMIN002600, AMIN002601	LOC109398994
OG0001205	AMIN001913	LOC109423381, LOC109411733
OG0001206	AMIN002843, AMIN002845	LOC115266521, LOC109405943
OG0001207	AMIN004870	LOC109400415, LOC134285561
OG0001208	AMIN009276	LOC109401631
OG0001209	AMIN002768	LOC109412137
OG0001210	AMIN001022	LOC109419765
OG0001211	AMIN014129	LOC109418670
OG0001212	AMIN016214	LOC109413525, LOC109404511
OG0001213	AMIN010151	LOC115265128
OG0001214	AMIN000223	LOC115267647, LOC109407286, LOC134285833
OG0001215	AMIN015920	LOC109402519
OG0001216	AMIN009787	LOC109406522
OG0001218	AMIN010751	LOC115264208, LOC109424846
OG0001219	AMIN010100	LOC109397997
OG0001220	AMIN007993, AMIN007994	LOC109409965
OG0001221	AMIN008134	LOC109424732, LOC115262659
OG0001222	AMIN007210	LOC109429370
OG0001223	AMIN010277	LOC109397896, LOC134284903
OG0001224	AMIN001712, AMIN001711	LOC109419778
OG0001225	AMIN002003, AMIN002002	LOC109422806, LOC109422805
OG0001226	AMIN001953, AMIN001952	LOC109423007
OG0001227	AMIN000799, AMIN000798	LOC109398837
OG0001228	AMIN000703, AMIN000702	LOC109424084
OG0001229	AMIN011018, AMIN011017, AMIN011016	LOC109432373
OG0001230	AMIN001906	LOC109421195
OG0001231	AMIN009230	LOC134289400, LOC109421940
OG0001232	AMIN003514	LOC109425023
OG0001234	AMIN002494	LOC109411239
OG0001235	AMIN003152	LOC109429483
OG0001236	AMIN004029, AMIN004028	LOC109425430
OG0001237	AMIN009654, AMIN007084	LOC109429816
OG0001238	AMIN005146	LOC134290013, LOC109431876
OG0001239	AMIN005832	LOC134285050, LOC109402083
OG0001240	AMIN009649	LOC109430111, LOC109430116, LOC109430112
OG0001241	AMIN001732	LOC134287589, LOC109409124
OG0001242	AMIN015506	LOC109409140, LOC109421534
OG0001243	AMIN004889	LOC109411872, LOC109412715
OG0001244	AMIN006909, AMIN006908	LOC109407655
OG0001245	AMIN001089, AMIN001090	LOC109397845, LOC134284920
OG0001246	AMIN005074	LOC115256389, LOC109422032
OG0001247	AMIN002950	LOC109401126
OG0001248	AMIN003116	LOC109411800, LOC134284657
OG0001249	AMIN000429	LOC109426998, LOC134289906
OG0001251	AMIN005148	LOC109433013
OG0001252	AMIN016023	LOC109622518, LOC115265421
OG0001253	AMIN011119	LOC109424155
OG0001254	AMIN003115	LOC109428509, LOC115256602, LOC115256201
OG0001255	AMIN009515, AMIN009516	LOC109406841
OG0001256	AMIN002813	LOC115267144
OG0001257	AMIN006061	LOC109421565
OG0001257	AMIN006060	LOC134287600
OG0001258	AMIN001331	LOC115268579, LOC109424235
OG0001259	AMIN001660	LOC109411315, LOC115256778
OG0001260	AMIN009843	LOC134287926
OG0001261	AMIN003902, AMIN003903	LOC109429164
OG0001262	AMIN011587	LOC134288991
OG0001263	AMIN003863	LOC109427473, LOC115253538
OG0001264	AMIN001305	LOC109623253, LOC134283943
OG0001265	AMIN005285, AMIN005286	LOC109397730
OG0001266	AMIN007451, AMIN007453	LOC109397755
OG0001267	AMIN009655, AMIN009653	LOC115261027
OG0001268	AMIN008180	LOC109427980
OG0001269	AMIN006015	LOC134286042, LOC115265573
OG0001270	AMIN006447	LOC109397767, LOC109428788
OG0001271	AMIN006448	LOC115254229
OG0001272	AMIN006375	LOC115256865, LOC115256862
OG0001273	AMIN006786	LOC115259235, LOC109419784
OG0001274	AMIN002923	LOC109422727
OG0001275	AMIN002236	LOC134292068
OG0001276	AMIN006751	LOC109416267, LOC134287628, LOC109423903
OG0001277	AMIN001451	LOC115255477, LOC109416191, LOC109415073
OG0001278	AMIN008506	LOC109425769
OG0001279	AMIN004417, AMIN004416	LOC109622238
OG0001280	AMIN003191, AMIN003193	LOC115268747, LOC109425210
OG0001281	AMIN009709, AMIN009710	LOC109419875
OG0001282	AMIN000962	LOC115267375, LOC109414779, LOC109403608, LOC134283976
OG0001283	AMIN007309	LOC109417628
OG0001284	AMIN000096	LOC109423481, LOC109432158
OG0001285	AMIN001256, AMIN001258	LOC109431042
OG0001286	AMIN002057	LOC109431437
OG0001287	AMIN004465, AMIN004466	LOC109623370, LOC109623392
OG0001288	AMIN000261	LOC109404970
OG0001289	AMIN007842	LOC115269772
OG0001289	AMIN014610	LOC109404340
OG0001290	AMIN007840	LOC115253728
OG0001292	AMIN005261	LOC109405109
OG0001293	AMIN009368	LOC109428987, LOC109428986
OG0001294	AMIN007703	LOC109420767, LOC109420768
OG0001295	AMIN002451	LOC115253773
OG0001296	AMIN001577, AMIN007728, AMIN007729	LOC115253446, LOC109417626
OG0001297	AMIN000139, AMIN000140	LOC115267280
OG0001298	AMIN009005	LOC109418502
OG0001299	AMIN003736	LOC109416152
OG0001300	AMIN000893	LOC134287657, LOC115269315, LOC115258242
OG0001301	AMIN009551	LOC109419050
OG0001302	AMIN015933	LOC134286327, LOC109409335, LOC115258647
OG0001303	AMIN009941	LOC115254181
OG0001304	AMIN007286	LOC109423814, LOC109423816
OG0001305	AMIN003218	LOC134287947, LOC134285832
OG0001306	AMIN002798	LOC109410908
OG0001307	AMIN001134	LOC109411157
OG0001308	AMIN016081	LOC109409757, LOC109432166, LOC109409762
OG0001309	AMIN002761	LOC109412146
OG0001310	AMIN000010	LOC109423622
OG0001312	AMIN003868	LOC134284789, LOC115253587, LOC109400069
OG0001313	AMIN005226, AMIN005227	LOC109415593
OG0001314	AMIN006550, AMIN006549	LOC109418486, LOC134290799
OG0001315	AMIN010426	LOC109410593
OG0001316	AMIN005229, AMIN005230	LOC109415596
OG0001317	AMIN004677	LOC109405223
OG0001318	AMIN000664	LOC109429474
OG0001319	AMIN015856, AMIN015857	LOC115253800
OG0001321	AMIN010169	LOC109404943
OG0001322	AMIN007360	LOC109430816
OG0001324	AMIN007783	LOC109405167
OG0001326	AMIN009441, AMIN009442	LOC109417777
OG0001327	AMIN002110	LOC109428554, LOC115256775
OG0001329	AMIN002565	LOC109399298, LOC109433350
OG0001331	AMIN009042, AMIN002026	LOC109431357
OG0001332	AMIN002187	LOC109429511
OG0001333	AMIN007021	LOC109405215, LOC109400336
OG0001334	AMIN003654	LOC109429898, LOC109418351
OG0001335	AMIN010967, AMIN010968	LOC109425652
OG0001336	AMIN010915	LOC109622846
OG0001337	AMIN003261, AMIN003263	LOC109398792
OG0001338	AMIN000536, AMIN000534	LOC109408443
OG0001339	AMIN003119, AMIN003118	LOC109411545
OG0001340	AMIN009541, AMIN009542	LOC134284004
OG0001341	AMIN009181, AMIN009182	LOC109409870
OG0001342	AMIN006102	LOC109429299
OG0001343	AMIN000295	LOC109425390
OG0001344	AMIN000271, AMIN000272	LOC109409584
OG0001345	AMIN005721, AMIN005727, AMIN005728	LOC109397824
OG0001346	AMIN004057, AMIN004056	LOC109429111
OG0001347	AMIN005985, AMIN005986	LOC109423693
OG0001348	AMIN009422, AMIN009423, AMIN009424	LOC109398732
OG0001349	AMIN016225	LOC115261534
OG0001350	AMIN003939, AMIN003937	LOC109398757
OG0001351	AMIN003884, AMIN003880	LOC109409011
OG0001352	AMIN002461	LOC109431771
OG0001354	AMIN016152	LOC109414240
OG0001355	AMIN000985	LOC134288770
OG0001355	AMIN000986	LOC109410234
OG0001356	AMIN006081, AMIN006083	LOC134287590, LOC109421539
OG0001357	AMIN008735	LOC134289560, LOC109416894
OG0001358	AMIN008219, AMIN008217	LOC109401679
OG0001359	AMIN007037	LOC134289509
OG0001360	AMIN004407, AMIN004412	LOC109621323
OG0001361	AMIN000019, AMIN000021	LOC109402379
OG0001362	AMIN009748, AMIN009746	LOC109417226
OG0001363	AMIN011466	LOC109423859
OG0001364	AMIN005344	LOC109415242
OG0001366	AMIN005058	LOC134284978
OG0001369	AMIN009302, AMIN009303	LOC109433666
OG0001370	AMIN008697, AMIN008696	LOC134291765, LOC115264667
OG0001371	AMIN015804	LOC115263025, LOC109410219
OG0001372	AMIN008496, AMIN008495	LOC109431036
OG0001373	AMIN005713	LOC109422117
OG0001374	AMIN001494, AMIN001493, AMIN001492	LOC109427893
OG0001375	AMIN007757	LOC115254608
OG0001376	AMIN007306, AMIN007308	LOC109426839
OG0001377	AMIN009022, AMIN009023	LOC109401309
OG0001378	AMIN004247	LOC109399634
OG0001380	AMIN010353	LOC115255807
OG0001381	AMIN004788	LOC134285580, LOC109417800
OG0001382	AMIN010997	LOC134284445, LOC109416467
OG0001383	AMIN003691	LOC109405057
OG0001384	AMIN001216, AMIN001210	LOC115263576
OG0001385	AMIN005663, AMIN005665	LOC109433599
OG0001386	AMIN008862	LOC115257876
OG0001387	AMIN004734	LOC109400433
OG0001388	AMIN003213	LOC109405203
OG0001389	AMIN001670	LOC109420544
OG0001390	AMIN000299	LOC134284141
OG0001392	AMIN010115	LOC109398078
OG0001393	AMIN006007	LOC109421628, LOC115265587
OG0001394	AMIN000308	LOC109423405
OG0001395	AMIN003459, AMIN003460	LOC109406231
OG0001396	AMIN010195, AMIN010193, AMIN010194	LOC109410520
OG0001397	AMIN000349	LOC109426160, LOC109418423
OG0001398	AMIN001926	LOC134287342
OG0001399	AMIN000936	LOC109404024
OG0001400	AMIN016027, AMIN015773	LOC109410014
OG0001402	AMIN006070	LOC109421548
OG0001403	AMIN008406, AMIN008408	LOC109431372
OG0001404	AMIN006185	LOC109401891
OG0001405	AMIN003010, AMIN003011	LOC109402372
OG0001406	AMIN011216	LOC109417578
OG0001408	AMIN000824	LOC109416447
OG0001409	AMIN011346	LOC109409967
OG0001410	AMIN008767	LOC109424724
OG0001411	AMIN007694	LOC134287310, LOC109407909
OG0001412	AMIN009358	LOC109432366, LOC109423073
OG0001413	AMIN016156	LOC134284471, LOC134283931, LOC109623134
OG0001414	AMIN009304, AMIN009305	LOC134289566, LOC109432331
OG0001443	AMIN007487	LOC109409048, LOC109398988
OG0001444	AMIN011327	LOC115254260
OG0001445	AMIN015547	LOC109415316
OG0001447	AMIN002748	LOC109400053
OG0001448	AMIN002473	LOC134284498, LOC109430466
OG0001449	AMIN005327	LOC134288003, LOC134284401, LOC109413202
OG0001450	AMIN010167	LOC134283904, LOC109402569
OG0001451	AMIN001495	LOC109412699, LOC109427211, LOC115254074
OG0001452	AMIN004042	LOC115261415
OG0001453	AMIN016098	LOC109401790
OG0001454	AMIN008932	LOC109426047
OG0001455	AMIN007267	LOC109417637
OG0001456	AMIN004976	LOC109411415, LOC109411417, LOC115267899
OG0001458	AMIN009550	LOC115258944
OG0001459	AMIN004437	LOC109410753
OG0001460	AMIN001311	LOC109410759
OG0001461	AMIN002831	LOC134291262, LOC109410390
OG0001462	AMIN002399	LOC109417375, LOC109410397
OG0001463	AMIN002507	LOC109411214
OG0001464	AMIN007342	LOC115255401, LOC109411220
OG0001465	AMIN007168, AMIN007169	LOC109418060
OG0001466	AMIN005886	LOC109421653
OG0001467	AMIN009736, AMIN009620	LOC109421659
OG0001468	AMIN001798	LOC134283928, LOC109429626
OG0001469	AMIN002185	LOC134289575, LOC109403034
OG0001470	AMIN009683	LOC109430774
OG0001471	AMIN010014	LOC109423771
OG0001472	AMIN011302	LOC109423748
OG0001473	AMIN005773	LOC109403573
OG0001474	AMIN007243	LOC115257191, LOC109432861
OG0001475	AMIN001644	LOC109412369
