Orthogroup	AaegyptiLVP_AGWG	AsinensisChina
OG0001288	AAEL011150	ASIC002152
OG0001289	AAEL011238	ASIC019507
OG0001290	AAEL011239	ASIC019514
OG0001292	AAEL011357	ASIC018795
OG0001293	AAEL011419, AAEL027486, AAEL011428	ASIC018104
OG0001294	AAEL011458, AAEL013031	ASIC011749
OG0001296	AAEL014842, AAEL011510	ASIC016817
OG0001297	AAEL011575	ASIC014859, ASIC014848
OG0001298	AAEL011632	ASIC015500, ASIC009058, ASIC009716, ASIC011133
OG0001299	AAEL011786	ASIC008030, ASIC008029, ASIC008031
OG0001300	AAEL011941	ASIC003215
OG0001301	AAEL011992	ASIC017175, ASIC017176
OG0001302	AAEL011995	ASIC008613
OG0001303	AAEL012107	ASIC003991, ASIC005106, ASIC003104, ASIC005109
OG0001304	AAEL012161, AAEL012162	ASIC014906
OG0001305	AAEL014916, AAEL012344	ASIC005672
OG0001306	AAEL012382	ASIC006326, ASIC009808
OG0001307	AAEL012472, AAEL027557	ASIC013435
OG0001308	AAEL012564, AAEL012565, AAEL012563	ASIC015154
OG0001309	AAEL019473, AAEL012613	ASIC016566, ASIC016677
OG0001310	AAEL012621	ASIC014318
OG0001311	AAEL012712	ASIC000579, ASIC000576, ASIC000580, ASIC000577
OG0001312	AAEL013335	ASIC011164
OG0001313	AAEL013405	ASIC007704, ASIC007702
OG0001314	AAEL013882	ASIC015902
OG0001315	AAEL027503, AAEL023538, AAEL025158, AAEL024757, AAEL014089	ASIC019802
OG0001316	AAEL014125	ASIC007698, ASIC007696
OG0001317	AAEL014361	ASIC011948, ASIC011949
OG0001318	AAEL023570, AAEL020504, AAEL014377	ASIC021509, ASIC021508
OG0001319	AAEL014441	ASIC004320, ASIC004321
OG0001321	AAEL014452	ASIC012970
OG0001322	AAEL014640	ASIC019100
OG0001323	AAEL017572, AAEL014699	ASIC010560
OG0001324	AAEL027937, AAEL014744	ASIC017342
OG0001326	AAEL015109	ASIC012791, ASIC012792
OG0001327	AAEL021791, AAEL015119	ASIC005247
OG0001328	AAEL028238, AAEL015150	ASIC009680
OG0001329	AAEL018025, AAEL015313	ASIC020082
OG0001330	AAEL017158	ASIC016697, ASIC016695, ASIC016696, ASIC016694, ASIC016698
OG0001331	AAEL017198	ASIC005592
OG0001332	AAEL017357, AAEL026428	ASIC010529
OG0001333	AAEL019858, AAEL018036	ASIC001185
OG0001334	AAEL018126	ASIC013994
OG0001335	AAEL018131	ASIC015090, ASIC015089
OG0001336	AAEL018149	ASIC012930
OG0001337	AAEL018161	ASIC002367, ASIC002763
OG0001338	AAEL018165	ASIC008258, ASIC008254
OG0001339	AAEL018211	ASIC021414, ASIC021380
OG0001340	AAEL018230	ASIC017191
OG0001341	AAEL018298	ASIC007904, ASIC007905
OG0001342	AAEL019430	ASIC012603, ASIC012601, ASIC012604
OG0001343	AAEL019439	ASIC020854
OG0001343	AAEL019438	ASIC020856, ASIC020855
OG0001344	AAEL019444	ASIC002135, ASIC004261
OG0001345	AAEL019446	ASIC015917
OG0001346	AAEL019476	ASIC019974, ASIC019977
OG0001347	AAEL019480	ASIC002721, ASIC015751
OG0001348	AAEL019489	ASIC001968
OG0001349	AAEL020521, AAEL024405, AAEL024673, AAEL019542	ASIC019762
OG0001350	AAEL019573	ASIC022264
OG0001351	AAEL019577	ASIC011337, ASIC011350
OG0001352	AAEL019587	ASIC000731, ASIC000735
OG0001354	AAEL019667	ASIC016675, ASIC016676, ASIC016670
OG0001356	AAEL019762	ASIC003828
OG0001357	AAEL019795	ASIC010471, ASIC010472
OG0001358	AAEL019835	ASIC004957, ASIC004954
OG0001360	AAEL019843	ASIC013049, ASIC013000
OG0001361	AAEL019848	ASIC014254, ASIC014251, ASIC014261
OG0001362	AAEL019852	ASIC020771, ASIC020774
OG0001363	AAEL019879	ASIC016554, ASIC016556, ASIC016553
OG0001364	AAEL019990	ASIC000605
OG0001366	AAEL025503	ASIC007745
OG0001366	AAEL020095	ASIC020494
OG0001369	AAEL020499	ASIC015297, ASIC015295
OG0001370	AAEL020551, AAEL025762	ASIC014495
OG0001371	AAEL020651	ASIC020751
OG0001372	AAEL020702	ASIC014464, ASIC014467
OG0001373	AAEL020789	ASIC006281
OG0001374	AAEL020800	ASIC017238
OG0001375	AAEL021099	ASIC019832
OG0001376	AAEL021805, AAEL022509	ASIC012357
OG0001377	AAEL021865	ASIC015473
OG0001378	AAEL027926	ASIC004816
OG0001379	AAEL026542, AAEL025489, AAEL021883, AAEL027561, AAEL023613	ASIC003551
OG0001380	AAEL021945	ASIC003786, ASIC003787, ASIC003785
OG0001381	AAEL022092, AAEL024337	ASIC012653, ASIC012654
OG0001382	AAEL022155, AAEL028005	ASIC015179
OG0001383	AAEL023190, AAEL024558, AAEL022214	ASIC002313
OG0001384	AAEL022539	ASIC009461, ASIC009465
OG0001385	AAEL022589	ASIC009729, ASIC009721
OG0001386	AAEL022718	ASIC010938, ASIC010940
OG0001387	AAEL023148	ASIC003020, ASIC003220
OG0001388	AAEL028188, AAEL023294	ASIC005673
OG0001389	AAEL026110	ASIC010789
OG0001390	AAEL024236	ASIC020880
OG0001391	AAEL024239, AAEL026747	ASIC006221
OG0001392	AAEL024268	ASIC019157
OG0001393	AAEL024506, AAEL024812	ASIC010610
OG0001394	AAEL024846, AAEL026507	ASIC021634
OG0001395	AAEL024922	ASIC004390
OG0001396	AAEL025165	ASIC012219
OG0001397	AAEL025298, AAEL028110, AAEL026623	ASIC007721
OG0001398	AAEL025410, AAEL025391	ASIC007146
OG0001399	AAEL025547	ASIC005497
OG0001400	AAEL025567	ASIC019862
OG0001401	AAEL025911	ASIC003882
OG0001402	AAEL025973	ASIC006833
OG0001403	AAEL026169	ASIC004784, ASIC004783
OG0001404	AAEL026227	ASIC007666
OG0001405	AAEL026287	ASIC005775
OG0001406	AAEL026387	ASIC016569
OG0001408	AAEL027904	ASIC011722
OG0001409	AAEL026671	ASIC003113
OG0001410	AAEL026939	ASIC005076
OG0001411	AAEL027023	ASIC018844, ASIC018843
OG0001412	AAEL027589	ASIC015436
OG0001413	AAEL027616	ASIC020194, ASIC020195
OG0001414	AAEL028205	ASIC015294
OG0001443	AAEL000044, AAEL014995	ASIC011828
OG0001444	AAEL000081, AAEL020741	ASIC018704
OG0001445	AAEL000092	ASIC009226, ASIC009229, ASIC009227, ASIC009228
OG0001446	AAEL000146, AAEL000111	ASIC011996
OG0001447	AAEL027754, AAEL025874, AAEL000154	ASIC021029
OG0001448	AAEL000217	ASIC000809
OG0001449	AAEL000250	ASIC003927
OG0001450	AAEL000284	ASIC012982
OG0001451	AAEL013951, AAEL000432	ASIC017244
OG0001452	AAEL000468	ASIC014049
OG0001453	AAEL024335, AAEL000502	ASIC001098, ASIC010055
OG0001454	AAEL000669, AAEL027395, AAEL023031	ASIC018212
OG0001455	AAEL000705, AAEL011193	ASIC009403
OG0001458	AAEL000944	ASIC017177, ASIC017179
OG0001459	AAEL000956	ASIC006005, ASIC001061, ASIC006004
OG0001460	AAEL000963, AAEL021108	ASIC005987
OG0001461	AAEL027902, AAEL001016	ASIC013345
OG0001462	AAEL001020, AAEL001022	ASIC013287, ASIC013288
OG0001463	AAEL001127, AAEL020358	ASIC000849
OG0001464	AAEL013004, AAEL001143	ASIC012288
OG0001465	AAEL001207	ASIC022040
OG0001466	AAEL001209	ASIC006061
OG0001467	AAEL001216	ASIC010679
OG0001468	AAEL001304	ASIC006743
OG0001469	AAEL001352, AAEL022991	ASIC010531
OG0001470	AAEL001364	ASIC015826
OG0001471	AAEL022805, AAEL001387	ASIC012381, ASIC012390
OG0001472	AAEL001458	ASIC019263
OG0001473	AAEL001464	ASIC009599, ASIC009601
OG0001474	AAEL001491	ASIC007542
OG0001475	AAEL001495	ASIC010753
OG0001476	AAEL001503	ASIC010860
OG0001477	AAEL022416, AAEL001522	ASIC011912
OG0001478	AAEL001554	ASIC010198
OG0001479	AAEL001561	ASIC010190, ASIC010191
OG0001480	AAEL001619	ASIC006947
OG0001481	AAEL001680	ASIC009900
OG0001482	AAEL001682, AAEL027289	ASIC009878
OG0001483	AAEL001695	ASIC012220
OG0001484	AAEL001696	ASIC012212, ASIC012211
OG0001486	AAEL001738	ASIC011628, ASIC010168
OG0001487	AAEL001766	ASIC018490
OG0001489	AAEL001819	ASIC005911, ASIC005910
OG0001490	AAEL010261, AAEL001879	ASIC015847
OG0001491	AAEL001939	ASIC010321, ASIC005105, ASIC010322
OG0001492	AAEL001986	ASIC006987
OG0001493	AAEL024597, AAEL002006	ASIC006976
OG0001494	AAEL002011	ASIC006948
OG0001495	AAEL002047	ASIC003970
OG0001496	AAEL002050	ASIC012959, ASIC012960
OG0001497	AAEL002069	ASIC012956
OG0001498	AAEL002135	ASIC006256, ASIC008615
OG0001501	AAEL015481, AAEL002275	ASIC013221
OG0001502	AAEL002389, AAEL020851	ASIC017187
OG0001503	AAEL024419, AAEL002415	ASIC004904
OG0001504	AAEL002503	ASIC011217
OG0001505	AAEL025146, AAEL002510	ASIC002965
OG0001506	AAEL002527	ASIC017138
OG0001507	AAEL002577, AAEL002632	ASIC018402
OG0001508	AAEL002599	ASIC018392, ASIC018391
OG0001509	AAEL002651	ASIC006547
OG0001510	AAEL002719	ASIC003804
OG0001511	AAEL002835	ASIC015642
OG0001512	AAEL002838, AAEL002840	ASIC015646
OG0001513	AAEL002859	ASIC005276
OG0001514	AAEL002902	ASIC013029, ASIC013047
OG0001515	AAEL002903	ASIC005370, ASIC005359
OG0001516	AAEL023241, AAEL002932	ASIC017040
OG0001517	AAEL003075	ASIC018433, ASIC007581, ASIC018432
OG0001518	AAEL003139	ASIC004838, ASIC004839
OG0001519	AAEL003173, AAEL003163	ASIC015690
OG0001520	AAEL003177	ASIC007153
OG0001521	AAEL027087, AAEL003179	ASIC005500
OG0001522	AAEL003194	ASIC012566
OG0001523	AAEL003211	ASIC014409
OG0001524	AAEL003384	ASIC008213
OG0001525	AAEL003406, AAEL003430	ASIC018027
OG0001526	AAEL003493	ASIC011057
OG0001527	AAEL003522	ASIC010686
OG0001528	AAEL027762, AAEL003550	ASIC010683
OG0001529	AAEL003566	ASIC010916, ASIC010915
OG0001530	AAEL003605	ASIC004974, ASIC020348
OG0001531	AAEL011519, AAEL003633	ASIC022187
OG0001532	AAEL003658	ASIC012171
OG0001533	AAEL003750	ASIC012641
OG0001534	AAEL003815	ASIC011313, ASIC011312
OG0001535	AAEL003824	ASIC002817
OG0001536	AAEL023486, AAEL003835	ASIC002813
OG0001537	AAEL003953	ASIC018266
OG0001538	AAEL004010	ASIC021516, ASIC021517
OG0001539	AAEL004059	ASIC004779
OG0001540	AAEL004119	ASIC015207, ASIC002552
OG0001541	AAEL004142	ASIC008227
OG0001542	AAEL004155	ASIC017007
OG0001543	AAEL004235	ASIC007573, ASIC012963, ASIC015093
OG0001544	AAEL004281, AAEL004273	ASIC013628
OG0001545	AAEL004295	ASIC013620
OG0001546	AAEL004344	ASIC005018
OG0001547	AAEL004405	ASIC005981
OG0001548	AAEL004415	ASIC005980
OG0001549	AAEL004456	ASIC000811
OG0001550	AAEL004478	ASIC011847
OG0001551	AAEL004495	ASIC007368, ASIC007381
OG0001552	AAEL004653	ASIC008120
OG0001553	AAEL004661	ASIC016743
OG0001554	AAEL004702	ASIC004464, ASIC004463
OG0001556	AAEL004768	ASIC013566, ASIC013565
OG0001557	AAEL004791	ASIC000672
OG0001558	AAEL004799	ASIC010105
OG0001559	AAEL025388, AAEL004823	ASIC015611
OG0001560	AAEL004964	ASIC017933
OG0001561	AAEL004967	ASIC009297
OG0001563	AAEL005195	ASIC014242
OG0001564	AAEL005206	ASIC010185
OG0001565	AAEL005247	ASIC003564
OG0001566	AAEL005255	ASIC016609
OG0001568	AAEL005350, AAEL007999, AAEL007998	ASIC002886
OG0001569	AAEL005414	ASIC020910
OG0001570	AAEL005419	ASIC020918
OG0001571	AAEL028201, AAEL021183, AAEL005433	ASIC006499
OG0001572	AAEL026733, AAEL005438, AAEL022095	ASIC007621
OG0001573	AAEL005476	ASIC010979
OG0001574	AAEL005485	ASIC011576
OG0001575	AAEL024254, AAEL005525, AAEL005526	ASIC006300
OG0001576	AAEL026634, AAEL005528	ASIC007957
OG0001578	AAEL005631	ASIC014301
OG0001579	AAEL005767	ASIC021537, ASIC021552, ASIC021548
OG0001580	AAEL005808	ASIC020948, ASIC020946, ASIC020949
OG0001581	AAEL005842, AAEL022335	ASIC011818
OG0001582	AAEL021854, AAEL026114, AAEL005843	ASIC011806
OG0001583	AAEL005846	ASIC011819
OG0001584	AAEL021191, AAEL005866	ASIC022365
OG0001585	AAEL020020, AAEL005893	ASIC015896
OG0001586	AAEL005905	ASIC021640, ASIC009709
OG0001587	AAEL020376, AAEL005950	ASIC008701
OG0001588	AAEL005952	ASIC008687
OG0001589	AAEL005962	ASIC008399
OG0001590	AAEL005970	ASIC017667, ASIC017673
OG0001591	AAEL006034, AAEL025718	ASIC002466
OG0001592	AAEL006164, AAEL009201	ASIC016000
OG0001593	AAEL006174	ASIC002836
OG0001594	AAEL006181	ASIC002835
OG0001595	AAEL006205	ASIC020626, ASIC020625
OG0001596	AAEL020128, AAEL006216	ASIC012927
OG0001597	AAEL006348, AAEL006326	ASIC014770
OG0001598	AAEL006340	ASIC014797
OG0001599	AAEL006343, AAEL025287	ASIC014800
OG0001600	AAEL006367	ASIC006352, ASIC006346, ASIC006351
OG0001601	AAEL006389	ASIC014485
OG0001602	AAEL007284, AAEL006440	ASIC020085
OG0001603	AAEL022222, AAEL023228, AAEL006445	ASIC010002
OG0001605	AAEL021322, AAEL024679, AAEL006553	ASIC002892
OG0001606	AAEL027492, AAEL006659	ASIC011579
OG0001607	AAEL020946, AAEL006687	ASIC018114
OG0001608	AAEL006688	ASIC018110
OG0001609	AAEL006697	ASIC018111
OG0001610	AAEL006718	ASIC018681
OG0001611	AAEL026097, AAEL006732	ASIC016406
OG0001612	AAEL006772, AAEL024260	ASIC004984, ASIC004985
OG0001613	AAEL006774	ASIC005001
OG0001614	AAEL006790	ASIC005019, ASIC005020
OG0001615	AAEL006839	ASIC003633, ASIC010554
OG0001616	AAEL020314, AAEL006854	ASIC017941
OG0001617	AAEL006859, AAEL014276	ASIC011165
OG0001618	AAEL006919	ASIC000526, ASIC000527
OG0001619	AAEL006987, AAEL006990	ASIC005318
OG0001620	AAEL021420, AAEL006998, AAEL028089	ASIC005289
OG0001621	AAEL025660, AAEL007001	ASIC007463
OG0001622	AAEL007049	ASIC015517
OG0001624	AAEL007278, AAEL022274	ASIC006686, ASIC006685
OG0001625	AAEL007285	ASIC013298, ASIC013304
OG0001626	AAEL007349	ASIC010817
OG0001627	AAEL010393, AAEL007385	ASIC021043
OG0001628	AAEL007409	ASIC016378, ASIC016379
OG0001629	AAEL007473	ASIC019785, ASIC019784
OG0001630	AAEL007476	ASIC003980
OG0001631	AAEL025261, AAEL007492	ASIC011969
OG0001632	AAEL007505	ASIC016508, ASIC016507
OG0001633	AAEL007568	ASIC006607
OG0001634	AAEL026096, AAEL007708	ASIC007235
OG0001635	AAEL007805	ASIC011328, ASIC011800, ASIC011330
OG0001636	AAEL007814, AAEL021591	ASIC011232
OG0001637	AAEL007823	ASIC010725
OG0001638	AAEL007902	ASIC007154, ASIC007152
OG0001639	AAEL007959	ASIC006691
OG0001640	AAEL007979	ASIC010014
OG0001641	AAEL007987, AAEL025151	ASIC002912
OG0001642	AAEL007996	ASIC002859
OG0001643	AAEL008010, AAEL025987	ASIC009768
OG0001644	AAEL008041	ASIC008247, ASIC008248
OG0001645	AAEL023409, AAEL008046	ASIC004674
OG0001647	AAEL008154	ASIC008327, ASIC008329, ASIC008328
OG0001648	AAEL008188	ASIC008157
OG0001649	AAEL008219	ASIC007829
OG0001650	AAEL008403	ASIC007672, ASIC007683
OG0001651	AAEL012845, AAEL008412	ASIC005168
OG0001653	AAEL008450	ASIC010349, ASIC010350
OG0001654	AAEL008459	ASIC009576
OG0001655	AAEL008463	ASIC009571
OG0001656	AAEL008592	ASIC006951
OG0001657	AAEL008596	ASIC013596, ASIC013597
OG0001658	AAEL008700	ASIC022156, ASIC009207, ASIC022155
OG0001659	AAEL008738	ASIC004978
OG0001660	AAEL008826	ASIC001541
OG0001661	AAEL023781, AAEL008842	ASIC005292, ASIC005293
OG0001662	AAEL008849	ASIC017618
OG0001664	AAEL008941	ASIC007642, ASIC007641
OG0001665	AAEL008942	ASIC006212, ASIC002699
OG0001666	AAEL026683, AAEL008956	ASIC007646
OG0001667	AAEL008960	ASIC007673
OG0001668	AAEL009097	ASIC021418
OG0001669	AAEL009183, AAEL027505	ASIC015059
OG0001670	AAEL009196	ASIC017861
OG0001671	AAEL009265	ASIC014205, ASIC014203, ASIC014204
OG0001672	AAEL009298	ASIC003809
OG0001673	AAEL009307	ASIC014851, ASIC014850
OG0001674	AAEL009351, AAEL021624	ASIC002414
OG0001675	AAEL009356, AAEL024601	ASIC002413
OG0001676	AAEL009364	ASIC014982, ASIC014981
OG0001677	AAEL009438	ASIC012184
OG0001678	AAEL009471, AAEL009458	ASIC006436
OG0001679	AAEL009466	ASIC006275
OG0001680	AAEL023741, AAEL009469	ASIC003524
OG0001681	AAEL009503, AAEL020495	ASIC004817
OG0001682	AAEL009588	ASIC012811, ASIC012809
OG0001683	AAEL009634	ASIC021903
OG0001684	AAEL009637	ASIC021902
OG0001685	AAEL009639	ASIC003488
OG0001686	AAEL025383, AAEL009701	ASIC010063
OG0001687	AAEL009757, AAEL009751	ASIC015894
OG0001688	AAEL009753	ASIC015886
OG0001689	AAEL009763	ASIC005263, ASIC005265
OG0001690	AAEL009779	ASIC021540
OG0001691	AAEL009850	ASIC011396
OG0001692	AAEL028144, AAEL009872	ASIC017077
OG0001693	AAEL009894, AAEL012911	ASIC013668
OG0001694	AAEL009950	ASIC010895
OG0001695	AAEL010008, AAEL026984	ASIC002575
OG0001696	AAEL010062	ASIC010375, ASIC010376
OG0001697	AAEL010090	ASIC016424
OG0001698	AAEL011805, AAEL010110	ASIC021523, ASIC021522
OG0001699	AAEL021547, AAEL024827, AAEL010226	ASIC008677
OG0001700	AAEL010260	ASIC014349, ASIC014348
OG0001701	AAEL010266	ASIC014448
OG0001702	AAEL010283, AAEL027623	ASIC012817
OG0001704	AAEL010311	ASIC019439
OG0001705	AAEL010354	ASIC013013
OG0001706	AAEL010355	ASIC013017
OG0001708	AAEL010389	ASIC018906
OG0001709	AAEL010422	ASIC006155
OG0001711	AAEL010568	ASIC000584
OG0001712	AAEL010571, AAEL026067	ASIC006773
OG0001713	AAEL010593	ASIC015055
OG0001714	AAEL010742, AAEL024119	ASIC022112
OG0001715	AAEL010757	ASIC011809
OG0001716	AAEL010771	ASIC002238
OG0001717	AAEL010778	ASIC002242
OG0001718	AAEL010827	ASIC004638
OG0001719	AAEL010855	ASIC012291, ASIC012290, ASIC001795
OG0001720	AAEL021416, AAEL011123	ASIC020115
OG0001721	AAEL024207, AAEL011124	ASIC004623
OG0001722	AAEL011157	ASIC002153
OG0001723	AAEL011159	ASIC002151
OG0001724	AAEL011271	ASIC011054
OG0001725	AAEL011345	ASIC016657
OG0001726	AAEL011349	ASIC009879
OG0001727	AAEL011379	ASIC007690
OG0001728	AAEL011382	ASIC005024
OG0001729	AAEL011411, AAEL012903	ASIC012783
OG0001730	AAEL011436	ASIC016113
OG0001731	AAEL011500	ASIC018716
OG0001732	AAEL011560	ASIC020433, ASIC009368
OG0001733	AAEL011562	ASIC015266, ASIC006784
OG0001734	AAEL011566	ASIC014874
OG0001735	AAEL011690, AAEL011691	ASIC006149
OG0001736	AAEL011697	ASIC020011, ASIC005502
OG0001737	AAEL025949, AAEL021786, AAEL011731	ASIC015876
OG0001738	AAEL011751, AAEL023265	ASIC006245
OG0001739	AAEL011754, AAEL023977	ASIC017141, ASIC015939
OG0001740	AAEL011768, AAEL011771	ASIC003010
OG0001742	AAEL011850	ASIC007116
OG0001743	AAEL011989	ASIC010673
OG0001744	AAEL011991	ASIC010670
OG0001745	AAEL011993	ASIC010671
OG0001746	AAEL011996	ASIC010669
OG0001747	AAEL012016	ASIC010414
OG0001748	AAEL027882	ASIC014865, ASIC014866
OG0001749	AAEL021939, AAEL012178	ASIC014904
OG0001750	AAEL012233	ASIC007685, ASIC007686
OG0001751	AAEL012324	ASIC018362
OG0001752	AAEL022520, AAEL012341	ASIC004407
OG0001753	AAEL012410	ASIC004236
OG0001754	AAEL012501	ASIC018176
OG0001755	AAEL012525	ASIC009942, ASIC009944
OG0001756	AAEL012539	ASIC018690, ASIC018692
OG0001757	AAEL012552	ASIC019996, ASIC020307
OG0001758	AAEL021254, AAEL012585	ASIC014201
OG0001759	AAEL012671	ASIC014157, ASIC014168
OG0001760	AAEL012710, AAEL012715	ASIC011226
OG0001761	AAEL012711, AAEL012713, AAEL026876	ASIC003919
OG0001762	AAEL012717	ASIC009563
OG0001763	AAEL012731	ASIC003781
OG0001764	AAEL012751	ASIC015177
OG0001765	AAEL012756	ASIC015167, ASIC015166
OG0001767	AAEL012822	ASIC009857
OG0001768	AAEL012823	ASIC018840
OG0001769	AAEL012826	ASIC009858
OG0001770	AAEL013626, AAEL022666, AAEL013014	ASIC009246
OG0001771	AAEL013151	ASIC005885
OG0001772	AAEL013157, AAEL013152	ASIC005879
OG0001773	AAEL013197	ASIC008145
OG0001774	AAEL026895, AAEL013199	ASIC008255
OG0001775	AAEL013253	ASIC006442, ASIC006441
OG0001776	AAEL013278	ASIC016592
OG0001777	AAEL013366	ASIC006908
OG0001778	AAEL013424	ASIC003503
OG0001779	AAEL013478	ASIC018358
OG0001780	AAEL013479	ASIC018357
OG0001781	AAEL013527	ASIC021593
OG0001782	AAEL013613	ASIC008028
OG0001784	AAEL013744	ASIC016573
OG0001785	AAEL013758	ASIC015719
OG0001786	AAEL013776	ASIC017660
OG0001787	AAEL013814	ASIC016080
OG0001788	AAEL013872	ASIC016710, ASIC016712
OG0001789	AAEL013875	ASIC016709
OG0001790	AAEL013883	ASIC003950
OG0001791	AAEL013962	ASIC008767, ASIC008766
OG0001792	AAEL020316, AAEL013974	ASIC021208
OG0001793	AAEL028215, AAEL013994	ASIC021180
OG0001794	AAEL013998, AAEL027973	ASIC021181
OG0001795	AAEL014009	ASIC007663
OG0001796	AAEL014022	ASIC012914, ASIC012918
OG0001797	AAEL014027	ASIC007477
OG0001798	AAEL014054, AAEL025786	ASIC004899
OG0001799	AAEL014059	ASIC021462, ASIC021463
OG0001800	AAEL025776, AAEL014216	ASIC001509
OG0001801	AAEL014246, AAEL014244	ASIC019678
OG0001802	AAEL014271	ASIC014309
OG0001803	AAEL014272	ASIC009519
OG0001804	AAEL014284	ASIC014383
OG0001805	AAEL014303	ASIC021473, ASIC021472
OG0001806	AAEL024066, AAEL014318	ASIC012948
OG0001807	AAEL014326	ASIC004252
OG0001808	AAEL014340	ASIC021331
OG0001809	AAEL014348	ASIC014535
OG0001810	AAEL014349	ASIC014549, ASIC014550, ASIC011629, ASIC015060
OG0001811	AAEL014435	ASIC004319
OG0001812	AAEL014505	ASIC006309
OG0001813	AAEL014577	ASIC002411
OG0001814	AAEL014578, AAEL023117	ASIC002412
OG0001815	AAEL014653	ASIC005845, ASIC005844
OG0001816	AAEL014774	ASIC008708, ASIC008709
OG0001817	AAEL014824	ASIC020782, ASIC020783
OG0001818	AAEL014851	ASIC021626
OG0001819	AAEL024910, AAEL014853	ASIC009549
OG0001820	AAEL014863	ASIC003777
OG0001821	AAEL015118	ASIC001040, ASIC001032
OG0001822	AAEL015255	ASIC006665
OG0001823	AAEL020424, AAEL015402	ASIC019817
OG0001824	AAEL015557	ASIC002801
OG0001825	AAEL015640	ASIC019990
OG0001826	AAEL017327, AAEL017097, AAEL017230	ASIC014583
OG0001827	AAEL017167	ASIC020438
OG0001828	AAEL023345, AAEL017186	ASIC014192
OG0001829	AAEL017251	ASIC008118
OG0001831	AAEL017391	ASIC000567
OG0001832	AAEL017512	ASIC018160
OG0001833	AAEL018103, AAEL026175	ASIC005302
OG0001834	AAEL018114	ASIC016151, ASIC016173
OG0001835	AAEL018141	ASIC021750
OG0001836	AAEL024668, AAEL018183	ASIC022013, ASIC022021, ASIC022016
OG0001837	AAEL018215	ASIC020182
OG0001838	AAEL018227	ASIC019355
OG0001839	AAEL018232	ASIC006749, ASIC006748
OG0001840	AAEL018263	ASIC003471
OG0001841	AAEL018302	ASIC007780
OG0001842	AAEL018310	ASIC004930
OG0001843	AAEL018324	ASIC007727
OG0001844	AAEL019406	ASIC013647
OG0001845	AAEL023349, AAEL019418	ASIC020613
OG0001846	AAEL019420, AAEL019419	ASIC012702, ASIC012705
OG0001847	AAEL019421	ASIC006989, ASIC014124
OG0001848	AAEL019425	ASIC005374
OG0001849	AAEL019457	ASIC019284
OG0001850	AAEL019467	ASIC015008
OG0001852	AAEL019502	ASIC015215
OG0001853	AAEL019515, AAEL021312	ASIC014486
OG0001854	AAEL019543	ASIC018344
OG0001855	AAEL019551	ASIC019590
OG0001856	AAEL019553	ASIC013509, ASIC013513
OG0001857	AAEL019566	ASIC002314
OG0001858	AAEL027018, AAEL019593	ASIC019799
OG0001859	AAEL019600, AAEL022282, AAEL023044	ASIC004396
OG0001860	AAEL019610	ASIC002154
OG0001861	AAEL019617	ASIC010187, ASIC010189, ASIC010188
OG0001862	AAEL025304, AAEL019619	ASIC021592
OG0001863	AAEL019632	ASIC009132, ASIC010402
OG0001864	AAEL019640	ASIC003186
OG0001865	AAEL019656	ASIC000588
OG0001866	AAEL021311, AAEL019671	ASIC008731
OG0001867	AAEL019680	ASIC002720
OG0001868	AAEL019686	ASIC011957, ASIC011955
OG0001869	AAEL019704	ASIC012024
OG0001870	AAEL019721, AAEL021660	ASIC021696
OG0001871	AAEL019723	ASIC012345, ASIC012346
OG0001872	AAEL027062, AAEL019734	ASIC021037
OG0001873	AAEL019738, AAEL022521	ASIC021542
OG0001874	AAEL019743	ASIC009436
OG0001875	AAEL019757	ASIC012424
OG0001876	AAEL019779	ASIC007967
OG0001877	AAEL019784	ASIC002040
OG0001878	AAEL019813	ASIC006957, ASIC006955, ASIC006954
OG0001879	AAEL019817	ASIC011920
OG0001879	AAEL019816	ASIC011921
OG0001881	AAEL019888	ASIC021170
OG0001882	AAEL019914	ASIC007272, ASIC007238, ASIC007261
OG0001883	AAEL019934	ASIC002883
OG0001884	AAEL019942, AAEL019943	ASIC020748
OG0001885	AAEL020938, AAEL019995	ASIC013229
OG0001886	AAEL020006	ASIC003977, ASIC003976, ASIC003975
OG0001887	AAEL020075	ASIC006252
OG0001889	AAEL020236	ASIC009561
OG0001890	AAEL020259	ASIC005099
OG0001891	AAEL020367, AAEL027037	ASIC017267
OG0001892	AAEL020427	ASIC010892
OG0001893	AAEL020670, AAEL026210	ASIC014801
OG0001894	AAEL020781, AAEL024786, AAEL024800	ASIC005224
OG0001895	AAEL024451, AAEL020804	ASIC007847
OG0001896	AAEL020847	ASIC014534
OG0001897	AAEL021006	ASIC006362, ASIC006363
OG0001898	AAEL021019	ASIC010238
OG0001899	AAEL021029	ASIC010611
OG0001900	AAEL027584, AAEL024457, AAEL021121	ASIC022017
OG0001901	AAEL022782, AAEL021202	ASIC004873
OG0001902	AAEL021288	ASIC014059
OG0001905	AAEL021386	ASIC007571
OG0001906	AAEL021402, AAEL024170, AAEL025488	ASIC003552
OG0001907	AAEL021419	ASIC004244, ASIC004243
OG0001908	AAEL026022, AAEL021519	ASIC021541
OG0001909	AAEL021548	ASIC006929
OG0001910	AAEL021574	ASIC015878, ASIC015879
OG0001912	AAEL021655, AAEL023077	ASIC018298, ASIC018297
OG0001913	AAEL021676	ASIC005208, ASIC005230
OG0001914	AAEL021748	ASIC016511, ASIC016522
