Orthogroup	AaegyptiLVP_AGWG	AdirusWRAIR2
OG0001905	AAEL021386	ADIR009690
OG0001906	AAEL021402, AAEL024170, AAEL025488	ADIR005354
OG0001907	AAEL021419	ADIR009619, ADIR009620
OG0001908	AAEL026022, AAEL021519	ADIR010310
OG0001909	AAEL021548	ADIR011251
OG0001910	AAEL021574	ADIR009743, ADIR009742
OG0001912	AAEL021655, AAEL023077	ADIR002226
OG0001913	AAEL021676	ADIR011669
OG0001914	AAEL021748	ADIR008620
OG0001915	AAEL024321, AAEL022608, AAEL021767	ADIR003323
OG0001916	AAEL021771	ADIR003539
OG0001917	AAEL021925	ADIR010533
OG0001918	AAEL021955, AAEL028133	ADIR001340
OG0001919	AAEL022200	ADIR006898
OG0001920	AAEL022248	ADIR002718
OG0001921	AAEL022316	ADIR002796
OG0001922	AAEL022351	ADIR007437
OG0001923	AAEL022431	ADIR008022
OG0001924	AAEL022611	ADIR004794
OG0001925	AAEL022632, AAEL023223	ADIR001330
OG0001926	AAEL022657, AAEL026213	ADIR004600
OG0001927	AAEL022658	ADIR008597
OG0001928	AAEL026719, AAEL022716	ADIR008075
OG0001929	AAEL022855	ADIR011668, ADIR011667, ADIR011752
OG0001930	AAEL022893, AAEL025265	ADIR006887
OG0001931	AAEL024358, AAEL022938	ADIR005212
OG0001933	AAEL024674, AAEL023115	ADIR008917
OG0001934	AAEL023151	ADIR008799
OG0001935	AAEL023352	ADIR004670
OG0001937	AAEL023471	ADIR007321, ADIR007320
OG0001938	AAEL023498, AAEL027331	ADIR009556
OG0001939	AAEL023502, AAEL025398	ADIR009997, ADIR009999
OG0001940	AAEL023745	ADIR005753
OG0001941	AAEL023750, AAEL026150, AAEL024982	ADIR001354
OG0001942	AAEL023810	ADIR015677
OG0001943	AAEL026260, AAEL023943	ADIR010369
OG0001944	AAEL023989	ADIR010788
OG0001945	AAEL024005	ADIR002380
OG0001946	AAEL027002, AAEL024101	ADIR009989
OG0001947	AAEL024141	ADIR005933
OG0001948	AAEL024258	ADIR001111, ADIR001110
OG0001949	AAEL024480	ADIR006014
OG0001950	AAEL024598	ADIR006963
OG0001951	AAEL025046, AAEL024618	ADIR006105
OG0001952	AAEL024623	ADIR008015
OG0001953	AAEL024710	ADIR006890
OG0001954	AAEL024713	ADIR003809, ADIR003810
OG0001955	AAEL024788	ADIR009700
OG0001956	AAEL025473, AAEL025076	ADIR000846
OG0001957	AAEL025133, AAEL026994	ADIR006911
OG0001958	AAEL025230	ADIR001005
OG0001959	AAEL025353	ADIR008941
OG0001960	AAEL025443	ADIR005313
OG0001961	AAEL025578, AAEL025984	ADIR006030
OG0001962	AAEL025606	ADIR004077, ADIR004078
OG0001963	AAEL026618, AAEL025692	ADIR011496
OG0001964	AAEL026074	ADIR007696
OG0001965	AAEL026170	ADIR002199
OG0001966	AAEL026291	ADIR010742
OG0001968	AAEL026355	ADIR009169
OG0001969	AAEL026388, AAEL028233	ADIR007937
OG0001970	AAEL026710	ADIR006593
OG0001971	AAEL026716, AAEL027637	ADIR002099
OG0001972	AAEL026746	ADIR009182
OG0001974	AAEL026796	ADIR001226
OG0001975	AAEL026846	ADIR007393
OG0001976	AAEL026945	ADIR010396
OG0001977	AAEL027527	ADIR001519
OG0001978	AAEL027566	ADIR011175
OG0001979	AAEL027644	ADIR003410
OG0001980	AAEL027654	ADIR003936
OG0001981	AAEL028004	ADIR010600
OG0001982	AAEL028021	ADIR003949
OG0001983	AAEL028129	ADIR004189, ADIR001406
OG0001984	AAEL029070, AAEL029071	ADIR002169
OG0002027	AAEL000008	ADIR010703
OG0002028	AAEL002639, AAEL000010	ADIR002646
OG0002029	AAEL000032	ADIR016013
OG0002030	AAEL000036	ADIR002665
OG0002031	AAEL000049	ADIR004200
OG0002032	AAEL000091	ADIR010613
OG0002033	AAEL000098	ADIR009911
OG0002034	AAEL000102	ADIR010637
OG0002035	AAEL000109, AAEL025680	ADIR008433
OG0002036	AAEL000159	ADIR002724
OG0002037	AAEL000162	ADIR009116
OG0002038	AAEL000181	ADIR010123
OG0002039	AAEL000186	ADIR005740
OG0002040	AAEL000188	ADIR010121
OG0002041	AAEL000193	ADIR003903
OG0002042	AAEL000206, AAEL004665	ADIR005750
OG0002043	AAEL000221	ADIR009807
OG0002044	AAEL000236	ADIR000975
OG0002045	AAEL021776, AAEL000243	ADIR001210
OG0002046	AAEL000258	ADIR009486
OG0002047	AAEL000267	ADIR007533
OG0002048	AAEL000272	ADIR000048
OG0002049	AAEL000291	ADIR009494
OG0002050	AAEL000327	ADIR007560
OG0002051	AAEL000340	ADIR005803
OG0002052	AAEL000343	ADIR010765
OG0002053	AAEL000362	ADIR007557
OG0002054	AAEL000397, AAEL027318	ADIR000537
OG0002055	AAEL000416	ADIR010679
OG0002056	AAEL000424	ADIR006577
OG0002057	AAEL000440, AAEL023005	ADIR010674
OG0002058	AAEL027802, AAEL000445	ADIR006455
OG0002059	AAEL000452	ADIR008365
OG0002060	AAEL000457	ADIR010673
OG0002061	AAEL000460, AAEL020197	ADIR006456
OG0002062	AAEL000464	ADIR015513
OG0002063	AAEL000510	ADIR002815
OG0002064	AAEL000550	ADIR001818
OG0002065	AAEL000551	ADIR002153
OG0002066	AAEL000559	ADIR002146
OG0002067	AAEL000590	ADIR010490
OG0002068	AAEL000593	ADIR010495
OG0002069	AAEL000618	ADIR005080
OG0002070	AAEL021450, AAEL000646	ADIR004363
OG0002072	AAEL000716	ADIR005433
OG0002073	AAEL000721	ADIR016208
OG0002074	AAEL000724	ADIR008164
OG0002075	AAEL000746	ADIR008162
OG0002076	AAEL000750	ADIR016207
OG0002077	AAEL000755	ADIR002355
OG0002078	AAEL020913, AAEL000825	ADIR010262
OG0002079	AAEL000849, AAEL027279	ADIR010264
OG0002080	AAEL000852, AAEL022708	ADIR010263
OG0002081	AAEL000883	ADIR016129
OG0002082	AAEL000897	ADIR005638
OG0002083	AAEL000924	ADIR000528
OG0002084	AAEL000925	ADIR005560
OG0002085	AAEL000933	ADIR007900
OG0002086	AAEL000938	ADIR001971
OG0002087	AAEL000940, AAEL022151	ADIR000409
OG0002088	AAEL000942	ADIR000384
OG0002089	AAEL024591, AAEL000950	ADIR000392
OG0002090	AAEL000951	ADIR000426
OG0002091	AAEL000953	ADIR007899
OG0002092	AAEL007879, AAEL000961	ADIR001969
OG0002093	AAEL026006, AAEL028134, AAEL000964	ADIR005161
OG0002094	AAEL000967	ADIR009678
OG0002095	AAEL000978	ADIR008396
OG0002096	AAEL000994	ADIR007815, ADIR007814
OG0002097	AAEL000999	ADIR007818
OG0002098	AAEL001000	ADIR005329
OG0002099	AAEL001007	ADIR008981
OG0002100	AAEL001044	ADIR003121
OG0002101	AAEL001060	ADIR010177
OG0002102	AAEL001085	ADIR006581
OG0002103	AAEL001099	ADIR004603, ADIR003476
OG0002104	AAEL001113	ADIR009552
OG0002105	AAEL001154	ADIR005178
OG0002106	AAEL021364, AAEL001162	ADIR004838
OG0002107	AAEL025170, AAEL001176	ADIR004840
OG0002108	AAEL020244, AAEL001182	ADIR006832
OG0002109	AAEL001184	ADIR011522
OG0002110	AAEL001191, AAEL020438	ADIR004018
OG0002111	AAEL001199, AAEL020222	ADIR005057
OG0002112	AAEL001228	ADIR003966
OG0002113	AAEL001238	ADIR004987
OG0002114	AAEL001241	ADIR008833
OG0002115	AAEL001245	ADIR001657
OG0002116	AAEL001254	ADIR004326
OG0002117	AAEL001257	ADIR007168
OG0002118	AAEL001268	ADIR009250
OG0002119	AAEL001281	ADIR008593
OG0002120	AAEL020619, AAEL001289	ADIR001060
OG0002121	AAEL001308	ADIR015494
OG0002122	AAEL001317	ADIR009453
OG0002123	AAEL001356	ADIR016146
OG0002124	AAEL001359	ADIR003763
OG0002125	AAEL001368	ADIR006229
OG0002126	AAEL001378	ADIR003762
OG0002127	AAEL001389	ADIR003793
OG0002128	AAEL001397	ADIR007277
OG0002129	AAEL001422	ADIR007259
OG0002130	AAEL001423	ADIR007271
OG0002131	AAEL001425	ADIR007270
OG0002132	AAEL023408, AAEL001426	ADIR007272
OG0002133	AAEL001428	ADIR007247
OG0002134	AAEL001446	ADIR001141
OG0002135	AAEL001472	ADIR006789
OG0002136	AAEL001474	ADIR011211
OG0002137	AAEL001475	ADIR004772
OG0002138	AAEL001493	ADIR008547
OG0002139	AAEL001497	ADIR011114
OG0002141	AAEL001505	ADIR011071
OG0002142	AAEL001506	ADIR006790
OG0002143	AAEL001513	ADIR000177
OG0002144	AAEL001518	ADIR000165
OG0002145	AAEL001526	ADIR000173
OG0002146	AAEL001541	ADIR007098
OG0002149	AAEL001557	ADIR007043
OG0002150	AAEL001559	ADIR007108
OG0002151	AAEL001573	ADIR007150
OG0002152	AAEL001593	ADIR015914
OG0002153	AAEL001636	ADIR004944
OG0002154	AAEL001649	ADIR000739
OG0002155	AAEL008769, AAEL001693	ADIR008661
OG0002156	AAEL001707	ADIR011176
OG0002157	AAEL001736	ADIR007452
OG0002158	AAEL001751	ADIR008651
OG0002159	AAEL001764	ADIR008646
OG0002160	AAEL001797, AAEL022985	ADIR004971
OG0002161	AAEL001808	ADIR004695
OG0002162	AAEL026493, AAEL001810	ADIR004970
OG0002163	AAEL001813	ADIR011122
OG0002164	AAEL001832	ADIR004691
OG0002165	AAEL001847	ADIR000706
OG0002166	AAEL026860, AAEL001852	ADIR004024
OG0002167	AAEL001856	ADIR009269
OG0002168	AAEL001864	ADIR000709
OG0002169	AAEL001865	ADIR000708
OG0002170	AAEL001869	ADIR000777
OG0002171	AAEL001874	ADIR005172
OG0002172	AAEL020591, AAEL001875	ADIR000778
OG0002173	AAEL001888	ADIR006237
OG0002174	AAEL001896	ADIR005034
OG0002175	AAEL019903, AAEL019902, AAEL001897	ADIR006239
OG0002176	AAEL001913, AAEL020754	ADIR006247
OG0002177	AAEL001920	ADIR000311
OG0002178	AAEL023816, AAEL001952	ADIR000309
OG0002179	AAEL021869, AAEL001962	ADIR011216
OG0002180	AAEL001978	ADIR011229
OG0002181	AAEL002016	ADIR011060
OG0002182	AAEL021392, AAEL002068	ADIR011247
OG0002183	AAEL002079	ADIR011245
OG0002184	AAEL002132	ADIR003494
OG0002185	AAEL002134	ADIR006566
OG0002186	AAEL002142	ADIR002889
OG0002187	AAEL002165	ADIR015585
OG0002188	AAEL002167	ADIR015586
OG0002189	AAEL012075, AAEL002178	ADIR004127
OG0002190	AAEL002215	ADIR000629
OG0002191	AAEL002216	ADIR006344
OG0002192	AAEL002220	ADIR000627, ADIR000628
OG0002193	AAEL002232	ADIR011446
OG0002194	AAEL002248, AAEL027046	ADIR007670
OG0002195	AAEL002250	ADIR007515
OG0002196	AAEL002271	ADIR007671
OG0002197	AAEL002307, AAEL002295	ADIR000546
OG0002198	AAEL002312	ADIR005225
OG0002199	AAEL002318, AAEL020455	ADIR005274
OG0002200	AAEL002322	ADIR008017
OG0002201	AAEL002324	ADIR003744
OG0002202	AAEL002329	ADIR003740
OG0002203	AAEL002341	ADIR004226
OG0002204	AAEL002343	ADIR001051
OG0002205	AAEL002345	ADIR008018
OG0002206	AAEL002355	ADIR003741
OG0002207	AAEL002387, AAEL025830	ADIR005159
OG0002208	AAEL002390	ADIR005019
OG0002209	AAEL002399	ADIR004997
OG0002210	AAEL002401	ADIR011383
OG0002211	AAEL002404	ADIR007898
OG0002212	AAEL002412	ADIR005441
OG0002213	AAEL002433, AAEL024815	ADIR003292
OG0002214	AAEL002438	ADIR000890
OG0002215	AAEL002451	ADIR000810
OG0002216	AAEL021792, AAEL002463	ADIR003835
OG0002217	AAEL002483	ADIR007947
OG0002218	AAEL002504	ADIR008557
OG0002219	AAEL002537	ADIR001290
OG0002220	AAEL002543, AAEL023018	ADIR006633
OG0002221	AAEL002560	ADIR010460
OG0002222	AAEL002569	ADIR010462
OG0002223	AAEL002578	ADIR005672
OG0002224	AAEL002581	ADIR003142
OG0002226	AAEL002597, AAEL023576	ADIR002188
OG0002227	AAEL002602, AAEL011967	ADIR005494
OG0002229	AAEL022118, AAEL002615	ADIR000479
OG0002230	AAEL002645	ADIR004922
OG0002231	AAEL002652	ADIR004933
OG0002232	AAEL002701	ADIR008520, ADIR003557
OG0002233	AAEL002714	ADIR007046
OG0002234	AAEL002752	ADIR007184
OG0002235	AAEL002775	ADIR005468
OG0002236	AAEL002782	ADIR010260
OG0002237	AAEL002783	ADIR004571
OG0002238	AAEL002815, AAEL022913	ADIR002662
OG0002239	AAEL002818	ADIR002664
OG0002240	AAEL002860	ADIR002876
OG0002242	AAEL002870	ADIR005447
OG0002244	AAEL002887	ADIR002103, ADIR001379
OG0002245	AAEL002888	ADIR015492, ADIR000798
OG0002246	AAEL002905, AAEL009418	ADIR001378
OG0002247	AAEL002906	ADIR003551
OG0002248	AAEL002921	ADIR000044
OG0002249	AAEL002933	ADIR000824
OG0002250	AAEL020993, AAEL002949	ADIR008320
OG0002251	AAEL002961	ADIR008321
OG0002252	AAEL024580, AAEL002962	ADIR008319
OG0002253	AAEL002980, AAEL021837	ADIR000111
OG0002254	AAEL002988	ADIR002444
OG0002255	AAEL002993, AAEL021617	ADIR002929
OG0002256	AAEL003003	ADIR015707
OG0002257	AAEL003011	ADIR010728
OG0002258	AAEL003018	ADIR003358
OG0002259	AAEL003020	ADIR001527
OG0002260	AAEL003032	ADIR004591
OG0002261	AAEL024996, AAEL003063	ADIR007912
OG0002262	AAEL003064	ADIR007698
OG0002263	AAEL003067	ADIR007700
OG0002264	AAEL003071	ADIR005763
OG0002265	AAEL003089	ADIR003745
OG0002266	AAEL003103	ADIR001443
OG0002267	AAEL003125	ADIR003607
OG0002268	AAEL003130	ADIR000383
OG0002269	AAEL003131	ADIR000382
OG0002270	AAEL026506, AAEL003136	ADIR009665
OG0002271	AAEL003140	ADIR000393
OG0002272	AAEL003143	ADIR000395
OG0002273	AAEL022327, AAEL003145	ADIR002227
OG0002274	AAEL003151	ADIR004000
OG0002275	AAEL003161	ADIR008272
OG0002276	AAEL003174	ADIR003995
OG0002277	AAEL003183	ADIR002931
OG0002278	AAEL003184	ADIR002936
OG0002279	AAEL029111, AAEL003192	ADIR002932
OG0002280	AAEL003198, AAEL026956	ADIR016217
OG0002281	AAEL003208, AAEL019417	ADIR010379
OG0002282	AAEL003214	ADIR004337
OG0002283	AAEL003216	ADIR011342
OG0002284	AAEL003229	ADIR001698
OG0002285	AAEL003237	ADIR011189
OG0002286	AAEL003246	ADIR006253
OG0002287	AAEL003264	ADIR006255
OG0002288	AAEL003269	ADIR006254
OG0002289	AAEL003275	ADIR004323
OG0002290	AAEL003277	ADIR008876
OG0002291	AAEL003282	ADIR004956
OG0002292	AAEL003301	ADIR002167, ADIR002168
OG0002293	AAEL028035, AAEL003320	ADIR009168
OG0002294	AAEL003326	ADIR011306
OG0002295	AAEL003344	ADIR011308
OG0002296	AAEL003346	ADIR011322
OG0002297	AAEL003353	ADIR000873
OG0002298	AAEL003365	ADIR003087
OG0002299	AAEL003367	ADIR002681
OG0002300	AAEL003377	ADIR003084
OG0002301	AAEL003397, AAEL024180	ADIR002689
OG0002304	AAEL003418	ADIR002341
OG0002305	AAEL003432	ADIR005770
OG0002306	AAEL003443	ADIR001922
OG0002307	AAEL017549, AAEL003448	ADIR001928
OG0002308	AAEL024469, AAEL003452	ADIR007280
OG0002309	AAEL003461, AAEL024690	ADIR007022
OG0002310	AAEL003485, AAEL011554	ADIR009158
OG0002311	AAEL003495	ADIR010486
OG0002312	AAEL003505	ADIR007430
OG0002313	AAEL003509	ADIR002263
OG0002314	AAEL003516	ADIR011385
OG0002315	AAEL003517	ADIR002040
OG0002316	AAEL003526	ADIR002041
OG0002317	AAEL003529	ADIR007523
OG0002318	AAEL003530, AAEL005027	ADIR010966
OG0002319	AAEL003541, AAEL026564	ADIR011389
OG0002320	AAEL003546	ADIR011391
OG0002321	AAEL003564, AAEL003568	ADIR008493
OG0002322	AAEL003570	ADIR008498
OG0002323	AAEL024927, AAEL024689, AAEL028067, AAEL003594	ADIR007644
OG0002325	AAEL003611	ADIR003264
OG0002326	AAEL003646	ADIR004482
OG0002328	AAEL027460, AAEL003666	ADIR004751
OG0002329	AAEL003698	ADIR004480
OG0002330	AAEL003736	ADIR007335
OG0002331	AAEL024850, AAEL003749	ADIR005376
OG0002332	AAEL022058, AAEL003754	ADIR008288
OG0002333	AAEL003755, AAEL020229	ADIR005375
OG0002334	AAEL003769	ADIR005368
OG0002335	AAEL003771, AAEL022498	ADIR005374
OG0002336	AAEL003772	ADIR005372
OG0002337	AAEL003812	ADIR010737
OG0002338	AAEL003813, AAEL023552	ADIR009138
OG0002339	AAEL003837	ADIR005606
OG0002340	AAEL003896	ADIR008517
OG0002341	AAEL003901	ADIR008513
OG0002342	AAEL003908, AAEL025153	ADIR010411
OG0002343	AAEL003929	ADIR010661
OG0002344	AAEL003945	ADIR003538
OG0002345	AAEL003965	ADIR002248
OG0002346	AAEL003983, AAEL021114	ADIR005001
OG0002347	AAEL027639, AAEL003986	ADIR002330
OG0002348	AAEL004013	ADIR002524
OG0002349	AAEL004023	ADIR002826
OG0002350	AAEL004035, AAEL022660	ADIR005825
OG0002351	AAEL004041	ADIR015686
OG0002352	AAEL004048	ADIR011541
OG0002353	AAEL004064	ADIR001143
OG0002354	AAEL004067	ADIR001178
OG0002355	AAEL004106	ADIR000506
OG0002356	AAEL004124	ADIR002837
OG0002357	AAEL004128	ADIR005568
OG0002358	AAEL004130	ADIR003024
OG0002359	AAEL004138	ADIR002838
OG0002360	AAEL025212, AAEL004165	ADIR008746
OG0002361	AAEL004174	ADIR008855
OG0002362	AAEL004271	ADIR011000
OG0002363	AAEL004297	ADIR009699
OG0002364	AAEL004298	ADIR002965
OG0002365	AAEL004300	ADIR011004
OG0002366	AAEL004302, AAEL025429	ADIR004707
OG0002367	AAEL004306	ADIR010085
OG0002368	AAEL004319	ADIR011364
OG0002369	AAEL004328	ADIR005696
OG0002370	AAEL004329	ADIR005709
OG0002371	AAEL004347	ADIR000446
OG0002372	AAEL004385	ADIR010650
OG0002373	AAEL004414	ADIR000378
OG0002374	AAEL004417	ADIR009304
OG0002375	AAEL004427	ADIR001781
OG0002376	AAEL004430	ADIR000403
OG0002377	AAEL004433	ADIR001768
OG0002378	AAEL004436	ADIR001780
OG0002379	AAEL004437	ADIR001771
OG0002380	AAEL004438	ADIR001766
OG0002381	AAEL004445	ADIR001769
OG0002382	AAEL004467	ADIR009119
OG0002383	AAEL021932, AAEL004471	ADIR006424
OG0002384	AAEL027716, AAEL004475	ADIR010382
OG0002385	AAEL021242, AAEL004480	ADIR003169
OG0002386	AAEL024995, AAEL004489	ADIR015611
OG0002387	AAEL004509	ADIR006081
OG0002388	AAEL004521	ADIR006819, ADIR006818
OG0002389	AAEL004532	ADIR004846
OG0002390	AAEL004557	ADIR006730
OG0002391	AAEL020850, AAEL004566	ADIR002851
OG0002392	AAEL004568	ADIR006728
OG0002393	AAEL004586, AAEL027991	ADIR007608
OG0002395	AAEL004688	ADIR001493
OG0002396	AAEL004697	ADIR006504
OG0002397	AAEL004698	ADIR007429
OG0002398	AAEL004699, AAEL021755, AAEL025856	ADIR010193
OG0002399	AAEL004700	ADIR006505
OG0002400	AAEL004703	ADIR006487
OG0002401	AAEL004709	ADIR010860
OG0002402	AAEL004715	ADIR004682
OG0002403	AAEL004728	ADIR010862
OG0002404	AAEL004741, AAEL021132	ADIR016111
OG0002405	AAEL004763	ADIR005174
OG0002406	AAEL004766	ADIR009277
OG0002408	AAEL020753, AAEL004783	ADIR009273
OG0002409	AAEL004802	ADIR000364
OG0002410	AAEL004803	ADIR000359
OG0002411	AAEL004817	ADIR000365
OG0002412	AAEL004818	ADIR000361
OG0002414	AAEL027919, AAEL004859	ADIR007380
OG0002415	AAEL004877, AAEL027692	ADIR004420
OG0002416	AAEL004896	ADIR004284
OG0002417	AAEL004903	ADIR007684
OG0002418	AAEL004914	ADIR004277
OG0002419	AAEL004920	ADIR009328
OG0002420	AAEL004931	ADIR009321
OG0002421	AAEL004952	ADIR004516
OG0002422	AAEL004972	ADIR010842
OG0002423	AAEL004973	ADIR009359
OG0002424	AAEL004974, AAEL021447	ADIR010846
OG0002425	AAEL004979	ADIR006334
OG0002426	AAEL004990	ADIR009357
OG0002427	AAEL005003	ADIR005773
OG0002428	AAEL005006	ADIR004517
OG0002429	AAEL005008	ADIR005775
OG0002430	AAEL005106	ADIR003643
OG0002431	AAEL005131	ADIR009767, ADIR009766
OG0002432	AAEL028242, AAEL005133	ADIR006218
OG0002433	AAEL005137, AAEL026783	ADIR002129
OG0002434	AAEL005140, AAEL022249	ADIR002128
OG0002435	AAEL005145	ADIR009763
OG0002436	AAEL027000, AAEL005146	ADIR002127
OG0002437	AAEL024541, AAEL005176	ADIR003596
OG0002438	AAEL005254	ADIR006000
OG0002439	AAEL005258	ADIR008750
OG0002440	AAEL005269	ADIR008749
OG0002441	AAEL005277	ADIR007443
OG0002442	AAEL020047, AAEL005285	ADIR009284
OG0002443	AAEL005290	ADIR009190
OG0002444	AAEL005308	ADIR009184
OG0002445	AAEL005309	ADIR009189
OG0002446	AAEL005312	ADIR006993
OG0002447	AAEL005374	ADIR006406
OG0002448	AAEL005375	ADIR006403
OG0002449	AAEL005395	ADIR011498
OG0002450	AAEL005410, AAEL025587	ADIR005392
OG0002451	AAEL005411	ADIR003389
OG0002452	AAEL005415, AAEL024350	ADIR016060
OG0002453	AAEL005432	ADIR001323
OG0002454	AAEL005437, AAEL021199	ADIR001223
OG0002455	AAEL005457	ADIR009389
OG0002456	AAEL005472	ADIR009474
OG0002457	AAEL022958, AAEL005475	ADIR002156
OG0002458	AAEL005477, AAEL024807	ADIR002157
OG0002459	AAEL005478, AAEL023936	ADIR002158
OG0002460	AAEL005490	ADIR010221
OG0002461	AAEL005491	ADIR010218
OG0002462	AAEL005493	ADIR010205
OG0002463	AAEL024830, AAEL005518	ADIR000972
OG0002464	AAEL005539	ADIR004800
OG0002465	AAEL020828, AAEL005552	ADIR005415
OG0002466	AAEL005581	ADIR009562
OG0002467	AAEL005590	ADIR000338
OG0002468	AAEL025712, AAEL005601	ADIR015965
OG0002469	AAEL024040, AAEL005610	ADIR015978
OG0002470	AAEL005628	ADIR009784
OG0002471	AAEL005633	ADIR011429
OG0002472	AAEL005635	ADIR004924
OG0002473	AAEL014772, AAEL005671	ADIR004266
OG0002474	AAEL005701	ADIR011293
OG0002475	AAEL005704	ADIR011285
OG0002476	AAEL005708	ADIR011288
OG0002477	AAEL005712	ADIR001777, ADIR001776
OG0002478	AAEL005718	ADIR005567
OG0002479	AAEL005722	ADIR005193, ADIR007494
OG0002480	AAEL005738, AAEL025360	ADIR009692
OG0002481	AAEL005765	ADIR004893
OG0002482	AAEL005772	ADIR015841
OG0002483	AAEL005798, AAEL022056	ADIR003441
OG0002484	AAEL005802	ADIR006591
OG0002485	AAEL005811, AAEL022803	ADIR008445
OG0002486	AAEL005816	ADIR006588
OG0002487	AAEL005819	ADIR005363
OG0002488	AAEL005851	ADIR005662
OG0002489	AAEL005858	ADIR002057
OG0002490	AAEL005863	ADIR002060
OG0002491	AAEL023516, AAEL005877	ADIR015715
OG0002492	AAEL027510, AAEL005880	ADIR015716
OG0002493	AAEL005885	ADIR009731
OG0002494	AAEL025333, AAEL005892	ADIR000354
OG0002495	AAEL019789, AAEL005901	ADIR010654
OG0002496	AAEL005921	ADIR008474
OG0002497	AAEL005943	ADIR002578
OG0002498	AAEL005945	ADIR003438, ADIR003437
OG0002499	AAEL006013	ADIR001842
OG0002500	AAEL023372, AAEL006026	ADIR002428
OG0002501	AAEL006028	ADIR015704
OG0002502	AAEL006035	ADIR009193
OG0002503	AAEL025276, AAEL006038	ADIR002433
OG0002504	AAEL006039	ADIR002435
OG0002505	AAEL006061	ADIR010512
OG0002506	AAEL023240, AAEL006063	ADIR003392
OG0002507	AAEL025772, AAEL006075	ADIR003390
OG0002508	AAEL006095	ADIR002105
OG0002509	AAEL006122	ADIR002835
OG0002510	AAEL006128	ADIR010317
OG0002511	AAEL006145, AAEL006812	ADIR008481
OG0002512	AAEL021190, AAEL006155	ADIR010316
OG0002513	AAEL006169	ADIR002781
OG0002514	AAEL006187	ADIR010393
OG0002515	AAEL006196	ADIR006623
OG0002516	AAEL006214	ADIR008142
OG0002517	AAEL006226	ADIR008144
OG0002518	AAEL006227	ADIR008140
OG0002519	AAEL006236	ADIR005485
OG0002520	AAEL006239	ADIR003022
OG0002521	AAEL006258	ADIR011136, ADIR015994
OG0002522	AAEL006269	ADIR009813
OG0002523	AAEL006275	ADIR009817
OG0002524	AAEL006294	ADIR005284
OG0002525	AAEL006309	ADIR002736
OG0002526	AAEL006312	ADIR001546
OG0002527	AAEL006315	ADIR002738
OG0002528	AAEL006320	ADIR002734
OG0002529	AAEL006321	ADIR002739
OG0002531	AAEL006347	ADIR002021
OG0002532	AAEL006349	ADIR001996, ADIR001995
OG0002533	AAEL006356	ADIR002008
OG0002534	AAEL006360	ADIR002002
OG0002535	AAEL006386	ADIR000335
OG0002536	AAEL006399	ADIR000601
OG0002537	AAEL006416, AAEL009224	ADIR003589
OG0002538	AAEL006435	ADIR011419
OG0002539	AAEL006442	ADIR006376
OG0002540	AAEL006449	ADIR011418
OG0002541	AAEL006452	ADIR006375
OG0002542	AAEL006469	ADIR005651
OG0002543	AAEL006474	ADIR005743
OG0002544	AAEL006515, AAEL006507	ADIR005899
OG0002545	AAEL006510	ADIR006031
OG0002546	AAEL022739, AAEL006532	ADIR006035
OG0002547	AAEL006541	ADIR016084
OG0002548	AAEL006550	ADIR008129
OG0002549	AAEL006570, AAEL015457	ADIR016193, ADIR016192
OG0002550	AAEL006571	ADIR005829
OG0002551	AAEL006572	ADIR007987
OG0002552	AAEL006584	ADIR007986
OG0002553	AAEL026822, AAEL006619	ADIR005941
OG0002554	AAEL006633	ADIR016113
OG0002555	AAEL006641	ADIR010008
OG0002556	AAEL006650	ADIR009308
OG0002557	AAEL006689	ADIR001959
OG0002558	AAEL006690	ADIR001966
OG0002559	AAEL006700	ADIR001960
OG0002560	AAEL006703	ADIR001961
OG0002561	AAEL006708, AAEL027817	ADIR002867
OG0002562	AAEL006731	ADIR008815
OG0002563	AAEL006734	ADIR008816
OG0002564	AAEL006744	ADIR004166
OG0002565	AAEL006752	ADIR004154
OG0002566	AAEL021422, AAEL006785	ADIR000449
OG0002567	AAEL006786	ADIR003302
OG0002568	AAEL006792	ADIR000447
OG0002569	AAEL006797	ADIR002770
OG0002570	AAEL023700, AAEL022312, AAEL006816, AAEL024825	ADIR014286
OG0002571	AAEL006822	ADIR000931
OG0002572	AAEL006825	ADIR009704
OG0002573	AAEL006844	ADIR010344
OG0002574	AAEL006856, AAEL023412	ADIR002277
OG0002575	AAEL006862	ADIR000273
OG0002576	AAEL027925, AAEL006876	ADIR002276
OG0002577	AAEL006892	ADIR007126
OG0002578	AAEL006917	ADIR009928
OG0002579	AAEL006945	ADIR006411
OG0002580	AAEL006947	ADIR010504
OG0002581	AAEL006948, AAEL024962	ADIR004133
OG0002582	AAEL006953, AAEL021372	ADIR003594
OG0002583	AAEL021249, AAEL006955	ADIR010505
OG0002584	AAEL006993, AAEL023712	ADIR008371
OG0002585	AAEL007007	ADIR008373
OG0002586	AAEL007033, AAEL024717	ADIR001599
OG0002587	AAEL020329, AAEL007045	ADIR000533
OG0002588	AAEL007046	ADIR001826
OG0002589	AAEL007058	ADIR001825
OG0002590	AAEL007066	ADIR000532
OG0002591	AAEL022194, AAEL007077	ADIR016026
OG0002592	AAEL021734, AAEL007080, AAEL021382	ADIR005362
OG0002593	AAEL007138, AAEL007126	ADIR010952
OG0002594	AAEL023775, AAEL007134	ADIR005318
OG0002595	AAEL007147	ADIR006351
