Orthogroup	AaegyptiLVP_AGWG	AfunestusAfunGA1
OG0000841	AAEL007910	AFUN2_003581
OG0000842	AAEL007962	AFUN2_012863, AFUN2_009082
OG0000843	AAEL008101, AAEL009987, AAEL023919	AFUN2_004148
OG0000844	AAEL008313, AAEL008308	AFUN2_013762
OG0000845	AAEL008359, AAEL008355	AFUN2_001043
OG0000846	AAEL008419	AFUN2_002550
OG0000847	AAEL008468	AFUN2_008557
OG0000849	AAEL008651	AFUN2_008721
OG0000850	AAEL008921	AFUN2_002308
OG0000852	AAEL008952	AFUN2_010299
OG0000853	AAEL009050, AAEL009045	AFUN2_006287, AFUN2_000540
OG0000854	AAEL021942, AAEL009230	AFUN2_005140
OG0000855	AAEL009479	AFUN2_008417
OG0000856	AAEL010097	AFUN2_013705
OG0000857	AAEL022757	AFUN2_005147
OG0000857	AAEL010584	AFUN2_006639
OG0000858	AAEL010907	AFUN2_010090
OG0000859	AAEL011229, AAEL015552	AFUN2_012357
OG0000860	AAEL011352	AFUN2_005387
OG0000861	AAEL011915	AFUN2_000411
OG0000861	AAEL022536	AFUN2_007567
OG0000862	AAEL011944	AFUN2_010561, AFUN2_011641
OG0000863	AAEL012042	AFUN2_006341
OG0000864	AAEL012058	AFUN2_005572
OG0000865	AAEL012239	AFUN2_011029, AFUN2_013155
OG0000866	AAEL012916	AFUN2_011442
OG0000867	AAEL012998	AFUN2_008894, AFUN2_008538
OG0000868	AAEL013445	AFUN2_006993
OG0000869	AAEL013517	AFUN2_007472, AFUN2_006141, AFUN2_004455
OG0000870	AAEL013887	AFUN2_014537, AFUN2_013801
OG0000871	AAEL013936	AFUN2_007215
OG0000872	AAEL014039	AFUN2_000789, AFUN2_013708
OG0000873	AAEL014292	AFUN2_013255
OG0000874	AAEL014343	AFUN2_010943
OG0000875	AAEL014729	AFUN2_014665, AFUN2_009680, AFUN2_006644, AFUN2_008675, AFUN2_007998
OG0000876	AAEL014762	AFUN2_006597
OG0000876	AAEL027643, AAEL014761	AFUN2_004422
OG0000877	AAEL014945	AFUN2_014506, AFUN2_007405
OG0000878	AAEL014958	AFUN2_005343, AFUN2_001520
OG0000879	AAEL017101	AFUN2_012363
OG0000880	AAEL017270, AAEL017547, AAEL023894, AAEL021095, AAEL017308	AFUN2_002609
OG0000882	AAEL018248	AFUN2_010846
OG0000883	AAEL021437	AFUN2_001206
OG0000883	AAEL019432	AFUN2_000356
OG0000884	AAEL019475	AFUN2_013148
OG0000885	AAEL019525	AFUN2_008244
OG0000886	AAEL019538	AFUN2_001563, AFUN2_006509
OG0000887	AAEL019578	AFUN2_005738, AFUN2_009539
OG0000888	AAEL019596	AFUN2_007311
OG0000889	AAEL019726	AFUN2_013006
OG0000890	AAEL019844	AFUN2_010094
OG0000891	AAEL019878	AFUN2_009957
OG0000893	AAEL019973	AFUN2_000363
OG0000894	AAEL019989	AFUN2_010941
OG0000895	AAEL025763, AAEL019997	AFUN2_012402
OG0000896	AAEL020008	AFUN2_001342
OG0000897	AAEL021294, AAEL020288, AAEL022360, AAEL020388	AFUN2_005112
OG0000898	AAEL020392, AAEL027229	AFUN2_013009, AFUN2_008423, AFUN2_011857, AFUN2_013439, AFUN2_009897
OG0000900	AAEL020941	AFUN2_011266
OG0000901	AAEL021209	AFUN2_001800, AFUN2_005751
OG0000902	AAEL021736	AFUN2_001558, AFUN2_007735, AFUN2_005022
OG0000903	AAEL027405, AAEL022409	AFUN2_002618
OG0000904	AAEL022566	AFUN2_002674, AFUN2_006487
OG0000906	AAEL023434	AFUN2_011930
OG0000907	AAEL023595, AAEL027839, AAEL027013	AFUN2_010830
OG0000908	AAEL025140	AFUN2_008542, AFUN2_002825
OG0000909	AAEL025937, AAEL026627	AFUN2_014677
OG0000910	AAEL026147	AFUN2_013373, AFUN2_000843
OG0000911	AAEL026758	AFUN2_008872
OG0000940	AAEL000324	AFUN2_003014
OG0000941	AAEL026240, AAEL000427	AFUN2_002234
OG0000942	AAEL017467, AAEL000507, AAEL000496	AFUN2_005807, AFUN2_006027
OG0000943	AAEL000781, AAEL005040	AFUN2_002469
OG0000944	AAEL001227	AFUN2_013216
OG0000945	AAEL001448	AFUN2_007985, AFUN2_013002
OG0000946	AAEL001483	AFUN2_008138
OG0000947	AAEL001514, AAEL002623	AFUN2_002877
OG0000948	AAEL001646	AFUN2_006202, AFUN2_002790
OG0000949	AAEL027778, AAEL001710	AFUN2_002721
OG0000950	AAEL002185	AFUN2_008638
OG0000950	AAEL023215	AFUN2_005692
OG0000951	AAEL002269	AFUN2_002955, AFUN2_002189
OG0000952	AAEL002435	AFUN2_002318, AFUN2_012527
OG0000953	AAEL002531, AAEL002514	AFUN2_011763
OG0000954	AAEL002518	AFUN2_014265
OG0000955	AAEL002574, AAEL002555	AFUN2_006289
OG0000956	AAEL002721	AFUN2_004804
OG0000957	AAEL002731	AFUN2_004840
OG0000958	AAEL002924	AFUN2_007605
OG0000959	AAEL002998, AAEL022096	AFUN2_013206
OG0000960	AAEL003014	AFUN2_012975
OG0000961	AAEL003056, AAEL003066	AFUN2_005230
OG0000962	AAEL003206	AFUN2_006611
OG0000963	AAEL024398, AAEL003373	AFUN2_004494
OG0000964	AAEL003424	AFUN2_006646
OG0000965	AAEL011715, AAEL003756	AFUN2_006205
OG0000966	AAEL003961, AAEL003959	AFUN2_012417
OG0000967	AAEL004021	AFUN2_011733
OG0000968	AAEL004167	AFUN2_001734, AFUN2_005944
OG0000969	AAEL025999, AAEL004175	AFUN2_006373
OG0000970	AAEL004397	AFUN2_005434, AFUN2_002638
OG0000972	AAEL010716, AAEL004523	AFUN2_005478
OG0000973	AAEL004572	AFUN2_007286
OG0000974	AAEL005017	AFUN2_007056, AFUN2_002464
OG0000975	AAEL005079, AAEL005073, AAEL023627, AAEL012510	AFUN2_001003
OG0000976	AAEL005174	AFUN2_009049
OG0000977	AAEL005356	AFUN2_003877
OG0000978	AAEL005368	AFUN2_004175, AFUN2_009598
OG0000979	AAEL024751, AAEL005386	AFUN2_009441
OG0000980	AAEL005522	AFUN2_008338
OG0000982	AAEL005773	AFUN2_013074
OG0000983	AAEL005792	AFUN2_010619
OG0000983	AAEL019781	AFUN2_005085
OG0000984	AAEL005972	AFUN2_014612
OG0000985	AAEL005997, AAEL025330	AFUN2_002733, AFUN2_001018
OG0000986	AAEL006467, AAEL006471, AAEL006458	AFUN2_006416
OG0000987	AAEL006526	AFUN2_006311
OG0000988	AAEL006617, AAEL006630	AFUN2_004546
OG0000989	AAEL006776	AFUN2_013233, AFUN2_004069
OG0000990	AAEL007696	AFUN2_014200
OG0000991	AAEL007926	AFUN2_010033
OG0000992	AAEL007109, AAEL015527	AFUN2_004641
OG0000993	AAEL007281	AFUN2_008750
OG0000994	AAEL007407	AFUN2_005222
OG0000995	AAEL007469	AFUN2_014691, AFUN2_004972
OG0000996	AAEL007544	AFUN2_008726
OG0000997	AAEL007631	AFUN2_002851
OG0000998	AAEL007692, AAEL020254, AAEL024197, AAEL019534	AFUN2_007358
OG0000999	AAEL007794	AFUN2_008443
OG0001000	AAEL024196, AAEL007880	AFUN2_010236
OG0001001	AAEL007882	AFUN2_003220
OG0001002	AAEL007911	AFUN2_012530
OG0001003	AAEL008097, AAEL013628, AAEL013623	AFUN2_000733
OG0001004	AAEL008220	AFUN2_012292, AFUN2_003332
OG0001005	AAEL008341	AFUN2_010279, AFUN2_006821
OG0001006	AAEL008350, AAEL008346, AAEL023131	AFUN2_005782
OG0001007	AAEL008658	AFUN2_005578, AFUN2_004074
OG0001008	AAEL021957, AAEL014231	AFUN2_008565
OG0001009	AAEL022297, AAEL008963	AFUN2_013604
OG0001010	AAEL009017	AFUN2_007433
OG0001011	AAEL009114	AFUN2_006316
OG0001012	AAEL009120	AFUN2_013262
OG0001013	AAEL009150	AFUN2_010040
OG0001014	AAEL009160	AFUN2_000916
OG0001015	AAEL009182	AFUN2_013170, AFUN2_006053
OG0001016	AAEL009449, AAEL013018	AFUN2_000431
OG0001017	AAEL009473	AFUN2_003363
OG0001018	AAEL009475	AFUN2_007332
OG0001019	AAEL009537	AFUN2_012170, AFUN2_013136
OG0001020	AAEL009772	AFUN2_002180, AFUN2_001053
OG0001021	AAEL017022, AAEL009852	AFUN2_008509
OG0001022	AAEL015139, AAEL009956	AFUN2_006307
OG0001023	AAEL010094	AFUN2_006648, AFUN2_005808
OG0001024	AAEL010139, AAEL020990, AAEL024387	AFUN2_008202
OG0001025	AAEL027157, AAEL010166	AFUN2_009995
OG0001027	AAEL019901	AFUN2_013246
OG0001028	AAEL021538, AAEL010924	AFUN2_001231
OG0001029	AAEL011019	AFUN2_012962, AFUN2_011400
OG0001030	AAEL011211	AFUN2_012388
OG0001031	AAEL011333	AFUN2_010898, AFUN2_007635, AFUN2_001825
OG0001032	AAEL011406, AAEL014944	AFUN2_001813
OG0001033	AAEL011543	AFUN2_003856, AFUN2_003441
OG0001034	AAEL011815	AFUN2_013690
OG0001035	AAEL016975, AAEL011889, AAEL011891	AFUN2_009271
OG0001036	AAEL011898	AFUN2_011638
OG0001037	AAEL012057	AFUN2_005298
OG0001038	AAEL012095	AFUN2_000930, AFUN2_002123
OG0001039	AAEL012206	AFUN2_000852
OG0001040	AAEL012262	AFUN2_011769
OG0001041	AAEL012342, AAEL015326	AFUN2_010564
OG0001042	AAEL012351	AFUN2_012110
OG0001043	AAEL025613, AAEL012417	AFUN2_002482, AFUN2_003968
OG0001044	AAEL012538	AFUN2_000447
OG0001045	AAEL012740	AFUN2_007955, AFUN2_014016
OG0001046	AAEL012859, AAEL012864	AFUN2_013721
OG0001047	AAEL012886	AFUN2_006279
OG0001048	AAEL013052	AFUN2_010445
OG0001049	AAEL013102	AFUN2_005644
OG0001050	AAEL013109, AAEL013111	AFUN2_014552
OG0001051	AAEL013365	AFUN2_007848
OG0001052	AAEL017129, AAEL016981, AAEL013507	AFUN2_007409, AFUN2_006942
OG0001053	AAEL013961	AFUN2_010575, AFUN2_008454
OG0001054	AAEL014102	AFUN2_002850, AFUN2_002087
OG0001055	AAEL014702	AFUN2_009617, AFUN2_009314
OG0001056	AAEL015064	AFUN2_007147
OG0001057	AAEL015637, AAEL019767	AFUN2_014339
OG0001058	AAEL024802, AAEL018061, AAEL017349, AAEL026215	AFUN2_005695
OG0001059	AAEL024164, AAEL017458	AFUN2_007716
OG0001060	AAEL017508	AFUN2_008067, AFUN2_009622
OG0001061	AAEL018154	AFUN2_006775
OG0001062	AAEL018240	AFUN2_002716
OG0001063	AAEL018294	AFUN2_006531
OG0001064	AAEL018326	AFUN2_006573, AFUN2_001158
OG0001065	AAEL019424	AFUN2_004796
OG0001066	AAEL019433	AFUN2_010853
OG0001067	AAEL019479	AFUN2_002502
OG0001068	AAEL019499	AFUN2_006558
OG0001069	AAEL019505	AFUN2_005205
OG0001070	AAEL019541	AFUN2_009505, AFUN2_003690
OG0001072	AAEL019652	AFUN2_007723
OG0001073	AAEL019733, AAEL027627	AFUN2_005792
OG0001074	AAEL019735	AFUN2_007243
OG0001075	AAEL019758	AFUN2_013417
OG0001076	AAEL019765	AFUN2_001822
OG0001077	AAEL019801	AFUN2_014184
OG0001079	AAEL019846	AFUN2_012608
OG0001080	AAEL019851	AFUN2_006663
OG0001081	AAEL019863, AAEL026810	AFUN2_013522
OG0001082	AAEL026588, AAEL019900	AFUN2_013634
OG0001083	AAEL019907	AFUN2_014149
OG0001084	AAEL019913, AAEL019912	AFUN2_000885
OG0001085	AAEL019938	AFUN2_001000
OG0001086	AAEL019939	AFUN2_012450
OG0001087	AAEL022726	AFUN2_004332
OG0001088	AAEL020127	AFUN2_000862, AFUN2_010714
OG0001090	AAEL020559	AFUN2_000532, AFUN2_008041
OG0001091	AAEL020586	AFUN2_011436
OG0001092	AAEL021335, AAEL027155, AAEL024693	AFUN2_002930
OG0001094	AAEL022196	AFUN2_012568, AFUN2_006565
OG0001095	AAEL022262	AFUN2_007325, AFUN2_009846
OG0001096	AAEL022548, AAEL022931	AFUN2_012999
OG0001097	AAEL022895, AAEL025283, AAEL027544	AFUN2_008755
OG0001098	AAEL023100	AFUN2_013971
OG0001101	AAEL024796, AAEL027832, AAEL027728, AAEL023898	AFUN2_009080
OG0001102	AAEL024145	AFUN2_001595
OG0001103	AAEL024441	AFUN2_000409
OG0001104	AAEL024560	AFUN2_005996
OG0001105	AAEL024627	AFUN2_005682
OG0001106	AAEL024632	AFUN2_000881
OG0001107	AAEL024641	AFUN2_011026
OG0001109	AAEL025245	AFUN2_001032
OG0001110	AAEL025903	AFUN2_014729
OG0001111	AAEL025977	AFUN2_011105
OG0001112	AAEL026409	AFUN2_013112, AFUN2_010771
OG0001113	AAEL026479	AFUN2_002364
OG0001114	AAEL026891	AFUN2_008599
OG0001115	AAEL027099	AFUN2_010906
OG0001138	AAEL023987, AAEL000108	AFUN2_004498
OG0001139	AAEL000151	AFUN2_014788
OG0001140	AAEL000127, AAEL017443	AFUN2_011048
OG0001142	AAEL000143	AFUN2_007932
OG0001143	AAEL000203, AAEL024571	AFUN2_011650, AFUN2_005589
OG0001144	AAEL013852, AAEL000226	AFUN2_005593
OG0001145	AAEL000242	AFUN2_003719
OG0001146	AAEL000244	AFUN2_007076
OG0001147	AAEL000293	AFUN2_000337
OG0001148	AAEL000484, AAEL027334, AAEL013718	AFUN2_011957
OG0001149	AAEL000498	AFUN2_003751
OG0001150	AAEL000528	AFUN2_008239
OG0001151	AAEL004503, AAEL020737, AAEL000529, AAEL023769	AFUN2_012323
OG0001152	AAEL000682	AFUN2_001783
OG0001153	AAEL000800, AAEL000842	AFUN2_007236
OG0001154	AAEL000824	AFUN2_012738
OG0001155	AAEL000845	AFUN2_013654
OG0001158	AAEL001148	AFUN2_008354
OG0001159	AAEL001168	AFUN2_008910
OG0001160	AAEL001231	AFUN2_007170
OG0001162	AAEL001295	AFUN2_009500
OG0001163	AAEL023150, AAEL027653, AAEL001651, AAEL021881	AFUN2_004212
OG0001164	AAEL001687, AAEL009513	AFUN2_010565
OG0001166	AAEL001857	AFUN2_005845
OG0001167	AAEL001910	AFUN2_012319
OG0001168	AAEL001937	AFUN2_003825
OG0001170	AAEL002049	AFUN2_009501
OG0001171	AAEL002125	AFUN2_009547
OG0001172	AAEL002174	AFUN2_013477
OG0001173	AAEL021031, AAEL002395	AFUN2_007904
OG0001174	AAEL002410	AFUN2_010815
OG0001175	AAEL002427, AAEL026436	AFUN2_003194
OG0001176	AAEL002725, AAEL002449	AFUN2_010087
OG0001177	AAEL002502	AFUN2_012239, AFUN2_003938
OG0001178	AAEL002538, AAEL002506	AFUN2_012149
OG0001179	AAEL002642	AFUN2_002606
OG0001180	AAEL002684	AFUN2_005954
OG0001181	AAEL002759	AFUN2_002936
OG0001182	AAEL002765	AFUN2_014404
OG0001183	AAEL002781	AFUN2_010850
OG0001184	AAEL002846	AFUN2_008345, AFUN2_010080
OG0001185	AAEL002876	AFUN2_001928
OG0001186	AAEL002999	AFUN2_010670
OG0001187	AAEL003128, AAEL021885, AAEL024262, AAEL024666	AFUN2_011460
OG0001188	AAEL003154	AFUN2_007528
OG0001189	AAEL021106, AAEL003188	AFUN2_004285
OG0001190	AAEL003407	AFUN2_006662
OG0001191	AAEL003616, AAEL028038	AFUN2_003620
OG0001192	AAEL003683	AFUN2_013792
OG0001193	AAEL003797, AAEL022585, AAEL021797, AAEL024960	AFUN2_005045
OG0001194	AAEL003968	AFUN2_006585
OG0001195	AAEL003976	AFUN2_008211
OG0001196	AAEL003996	AFUN2_007509
OG0001197	AAEL004120	AFUN2_010333
OG0001198	AAEL004127, AAEL021809, AAEL004137	AFUN2_002016
OG0001199	AAEL004217	AFUN2_012391
OG0001200	AAEL005737, AAEL004278	AFUN2_008435
OG0001201	AAEL004290, AAEL019535	AFUN2_003377
OG0001202	AAEL004388, AAEL004390, AAEL004386	AFUN2_006984
OG0001203	AAEL004392, AAEL014196	AFUN2_000490
OG0001204	AAEL004398	AFUN2_008033
OG0001205	AAEL019906, AAEL004457	AFUN2_006374
OG0001206	AAEL004544	AFUN2_005760
OG0001207	AAEL027515, AAEL028140, AAEL004564	AFUN2_004052
OG0001208	AAEL004677, AAEL004676	AFUN2_014640
OG0001209	AAEL004694	AFUN2_010831
OG0001210	AAEL004717	AFUN2_009110
OG0001211	AAEL004804	AFUN2_002519
OG0001212	AAEL004861, AAEL007167	AFUN2_011948
OG0001213	AAEL004915	AFUN2_003525
OG0001214	AAEL004933, AAEL012340	AFUN2_007368
OG0001215	AAEL005019	AFUN2_002035
OG0001216	AAEL022457, AAEL005036	AFUN2_007602, AFUN2_010053
OG0001218	AAEL005058, AAEL018331	AFUN2_008969
OG0001219	AAEL005111	AFUN2_007079
OG0001220	AAEL005256	AFUN2_012961
OG0001221	AAEL005289	AFUN2_005229
OG0001222	AAEL026757, AAEL022228, AAEL005450	AFUN2_012486
OG0001223	AAEL005638	AFUN2_000767
OG0001224	AAEL005649	AFUN2_008679
OG0001225	AAEL005774	AFUN2_013691
OG0001226	AAEL005829	AFUN2_004885
OG0001227	AAEL005895	AFUN2_008334
OG0001228	AAEL005922	AFUN2_013738
OG0001229	AAEL005978	AFUN2_004706
OG0001230	AAEL006006	AFUN2_005077
OG0001231	AAEL006023	AFUN2_004826
OG0001232	AAEL006144	AFUN2_001179
OG0001234	AAEL006319	AFUN2_006791
OG0001235	AAEL006567	AFUN2_001108
OG0001236	AAEL006593	AFUN2_012552
OG0001237	AAEL006623	AFUN2_008407
OG0001238	AAEL006645	AFUN2_008367, AFUN2_008982
OG0001239	AAEL006985, AAEL006830	AFUN2_008667
OG0001240	AAEL006968, AAEL006971	AFUN2_013198
OG0001241	AAEL007234	AFUN2_013121
OG0001242	AAEL007246, AAEL007238	AFUN2_000738
OG0001243	AAEL007248, AAEL020271	AFUN2_009999
OG0001244	AAEL007404	AFUN2_010462
OG0001245	AAEL007465	AFUN2_001260
OG0001246	AAEL027458, AAEL007762	AFUN2_006396
OG0001247	AAEL022067, AAEL007799	AFUN2_005339
OG0001248	AAEL008056	AFUN2_002379
OG0001249	AAEL013179, AAEL008148	AFUN2_011888
OG0001250	AAEL008173, AAEL023000, AAEL008157	AFUN2_005917
OG0001251	AAEL008316	AFUN2_011116, AFUN2_008725
OG0001252	AAEL008474, AAEL008472	AFUN2_001178
OG0001253	AAEL008564	AFUN2_002621
OG0001254	AAEL023635, AAEL008575	AFUN2_003776
OG0001255	AAEL008687	AFUN2_004736
OG0001256	AAEL008699	AFUN2_001182
OG0001257	AAEL008961	AFUN2_014488
OG0001258	AAEL009019	AFUN2_010759
OG0001259	AAEL009054, AAEL027056	AFUN2_012321
OG0001260	AAEL009062	AFUN2_002943
OG0001261	AAEL009176	AFUN2_006982
OG0001262	AAEL022573	AFUN2_007810
OG0001263	AAEL009328, AAEL009324	AFUN2_004604
OG0001264	AAEL009362	AFUN2_003812
OG0001265	AAEL009489	AFUN2_008429
OG0001266	AAEL009684	AFUN2_001971
OG0001267	AAEL009761	AFUN2_009797
OG0001268	AAEL009836	AFUN2_002433, AFUN2_006215
OG0001269	AAEL010041	AFUN2_009873
OG0001270	AAEL010069, AAEL024373	AFUN2_013088
OG0001271	AAEL026935, AAEL027269, AAEL010070	AFUN2_009421
OG0001272	AAEL010140, AAEL010148	AFUN2_009970
OG0001273	AAEL023181, AAEL010157	AFUN2_014012
OG0001274	AAEL010182	AFUN2_008362
OG0001275	AAEL010219	AFUN2_001422
OG0001276	AAEL010235, AAEL010228	AFUN2_011158
OG0001277	AAEL021534, AAEL026085, AAEL010265	AFUN2_008502
OG0001278	AAEL027836, AAEL024539, AAEL010314	AFUN2_012839
OG0001279	AAEL010364	AFUN2_012200
OG0001280	AAEL010397	AFUN2_009689, AFUN2_000685
OG0001281	AAEL010545	AFUN2_001466
OG0001282	AAEL010628, AAEL010631	AFUN2_006135
OG0001283	AAEL010647	AFUN2_006846
OG0001284	AAEL021724, AAEL010789	AFUN2_010280
OG0001285	AAEL010926	AFUN2_009996
OG0001286	AAEL010941	AFUN2_014437
OG0001287	AAEL011032, AAEL011029	AFUN2_010078, AFUN2_012522
OG0001288	AAEL011150	AFUN2_013388
OG0001290	AAEL011239	AFUN2_000644
OG0001292	AAEL011357	AFUN2_001839, AFUN2_002795
OG0001293	AAEL011419, AAEL027486, AAEL011428	AFUN2_007788
OG0001294	AAEL011458, AAEL013031	AFUN2_004970
OG0001296	AAEL014842, AAEL011510	AFUN2_000646
OG0001297	AAEL011575	AFUN2_005211
OG0001298	AAEL011632	AFUN2_009829
OG0001299	AAEL011786	AFUN2_012464
OG0001300	AAEL011941	AFUN2_006368
OG0001301	AAEL011992	AFUN2_011043, AFUN2_001754
OG0001302	AAEL011995	AFUN2_007370
OG0001303	AAEL012107	AFUN2_003469
OG0001304	AAEL012161, AAEL012162	AFUN2_004540
OG0001305	AAEL014916, AAEL012344	AFUN2_005779
OG0001306	AAEL012382	AFUN2_004028
OG0001307	AAEL012472, AAEL027557	AFUN2_007329
OG0001308	AAEL012564, AAEL012565, AAEL012563	AFUN2_012457
OG0001309	AAEL019473, AAEL012613	AFUN2_004228
OG0001310	AAEL012621	AFUN2_002253
OG0001311	AAEL012712	AFUN2_002437
OG0001312	AAEL013335	AFUN2_004321
OG0001313	AAEL013405	AFUN2_005496
OG0001314	AAEL013882	AFUN2_004662
OG0001315	AAEL027503, AAEL023538, AAEL025158, AAEL024757, AAEL014089	AFUN2_006191
OG0001316	AAEL014125	AFUN2_013742
OG0001317	AAEL014361	AFUN2_010486, AFUN2_004358
OG0001318	AAEL023570, AAEL020504, AAEL014377	AFUN2_014427
OG0001319	AAEL014441	AFUN2_004973
OG0001321	AAEL014452	AFUN2_003093
OG0001322	AAEL014640	AFUN2_005280
OG0001324	AAEL027937, AAEL014744	AFUN2_005794, AFUN2_008440
OG0001325	AAEL015079, AAEL015267, AAEL020714, AAEL015265	AFUN2_000468
OG0001326	AAEL015109	AFUN2_007366
OG0001327	AAEL021791, AAEL015119	AFUN2_009927
OG0001329	AAEL018025, AAEL015313	AFUN2_001677
OG0001330	AAEL017158	AFUN2_006471
OG0001331	AAEL017198	AFUN2_011276
OG0001332	AAEL017357, AAEL026428	AFUN2_008852
OG0001333	AAEL019858, AAEL018036	AFUN2_007446
OG0001334	AAEL018126	AFUN2_013486
OG0001335	AAEL018131	AFUN2_013541
OG0001336	AAEL018149	AFUN2_005063, AFUN2_004916
OG0001337	AAEL018161	AFUN2_009786
OG0001338	AAEL018165	AFUN2_007814
OG0001339	AAEL018211	AFUN2_013660
OG0001340	AAEL018230	AFUN2_007504
OG0001341	AAEL018298	AFUN2_000643
OG0001342	AAEL019430	AFUN2_007553
OG0001343	AAEL019439	AFUN2_012098
OG0001344	AAEL019444	AFUN2_012828
OG0001345	AAEL019446	AFUN2_013079
OG0001346	AAEL019476	AFUN2_007160
OG0001347	AAEL019480	AFUN2_002651
OG0001348	AAEL019489	AFUN2_006653
OG0001349	AAEL020521, AAEL024405, AAEL024673, AAEL019542	AFUN2_002613
OG0001350	AAEL019573	AFUN2_002208
OG0001351	AAEL019577	AFUN2_009166
OG0001352	AAEL019587	AFUN2_010199
OG0001354	AAEL019667	AFUN2_003911
OG0001355	AAEL019714	AFUN2_008199
OG0001356	AAEL019762	AFUN2_011863
OG0001357	AAEL019795	AFUN2_003037
OG0001358	AAEL019835	AFUN2_011978
OG0001359	AAEL019837	AFUN2_008777
OG0001360	AAEL019843	AFUN2_006047
OG0001361	AAEL019848	AFUN2_014615
OG0001362	AAEL019852	AFUN2_010955
OG0001363	AAEL019879	AFUN2_007403
OG0001364	AAEL019990	AFUN2_012706
OG0001365	AAEL023710	AFUN2_002440
OG0001366	AAEL020095	AFUN2_003389
OG0001369	AAEL020499	AFUN2_011217
OG0001370	AAEL020551, AAEL025762	AFUN2_001897
OG0001371	AAEL020651	AFUN2_011839
OG0001372	AAEL020702	AFUN2_010948
OG0001373	AAEL020789	AFUN2_002768
OG0001374	AAEL020800	AFUN2_011941
OG0001375	AAEL021099	AFUN2_008554
OG0001376	AAEL021805, AAEL022509	AFUN2_007050
OG0001377	AAEL021865	AFUN2_012395
OG0001378	AAEL027926	AFUN2_009901
OG0001379	AAEL026542, AAEL025489, AAEL021883, AAEL027561, AAEL023613	AFUN2_000946
OG0001380	AAEL021945	AFUN2_010695
OG0001381	AAEL022092, AAEL024337	AFUN2_005463
OG0001382	AAEL022155, AAEL028005	AFUN2_009081
OG0001383	AAEL023190, AAEL024558, AAEL022214	AFUN2_001304
OG0001384	AAEL022539	AFUN2_010839
OG0001385	AAEL022589	AFUN2_002071
OG0001386	AAEL022718	AFUN2_006335
OG0001387	AAEL023148	AFUN2_010535
OG0001388	AAEL028188, AAEL023294	AFUN2_010312
OG0001389	AAEL025458, AAEL024104, AAEL026110	AFUN2_008503
OG0001391	AAEL024239, AAEL026747	AFUN2_004789
OG0001392	AAEL024268	AFUN2_013509
OG0001393	AAEL024506, AAEL024812	AFUN2_004651
OG0001395	AAEL024922	AFUN2_004018
OG0001396	AAEL025165	AFUN2_007789
OG0001397	AAEL025298, AAEL028110, AAEL026623	AFUN2_006710
OG0001398	AAEL025391	AFUN2_008247
OG0001399	AAEL025547	AFUN2_000719
OG0001400	AAEL025567	AFUN2_014138
OG0001401	AAEL025911	AFUN2_002204
OG0001402	AAEL025973	AFUN2_007697
OG0001403	AAEL026169	AFUN2_013132
OG0001404	AAEL026227	AFUN2_013109
OG0001405	AAEL026287	AFUN2_004613
OG0001406	AAEL026387	AFUN2_006695, AFUN2_004458
OG0001408	AAEL026581	AFUN2_010957
OG0001409	AAEL026671	AFUN2_004503
OG0001410	AAEL026939	AFUN2_012431
OG0001411	AAEL027023	AFUN2_012253
OG0001412	AAEL027589	AFUN2_002251
OG0001413	AAEL027616	AFUN2_006847
OG0001414	AAEL028205	AFUN2_013933
OG0001443	AAEL000044, AAEL014995	AFUN2_010289
OG0001444	AAEL000081, AAEL020741	AFUN2_001365
OG0001445	AAEL000092	AFUN2_012138
OG0001446	AAEL000146, AAEL000111	AFUN2_012189
OG0001447	AAEL027754, AAEL025874, AAEL000154	AFUN2_002810
OG0001448	AAEL000217	AFUN2_010023
OG0001449	AAEL000250	AFUN2_007942
OG0001450	AAEL000284	AFUN2_005206
OG0001451	AAEL013951, AAEL000432	AFUN2_003223
OG0001452	AAEL000468	AFUN2_004290
OG0001453	AAEL024335, AAEL000502	AFUN2_000504
OG0001454	AAEL000669, AAEL027395, AAEL023031	AFUN2_003416
OG0001455	AAEL000705, AAEL011193	AFUN2_014737
OG0001456	AAEL000803, AAEL011405	AFUN2_003939
OG0001458	AAEL000944	AFUN2_002970
OG0001459	AAEL000956	AFUN2_008697
OG0001460	AAEL000963, AAEL021108	AFUN2_002626
OG0001461	AAEL027902, AAEL001016	AFUN2_003577
OG0001462	AAEL001020, AAEL001022	AFUN2_013888
OG0001463	AAEL001127, AAEL020358	AFUN2_009537
OG0001464	AAEL013004, AAEL001143	AFUN2_013842
OG0001465	AAEL001207	AFUN2_011700
OG0001466	AAEL001209	AFUN2_013376
OG0001467	AAEL001216	AFUN2_006172, AFUN2_010636
OG0001468	AAEL001304	AFUN2_012233
OG0001469	AAEL001352, AAEL022991	AFUN2_006360
OG0001470	AAEL001364	AFUN2_001585
OG0001471	AAEL022805, AAEL001387	AFUN2_014634
OG0001472	AAEL001458	AFUN2_009854
OG0001473	AAEL001464	AFUN2_001987
OG0001474	AAEL001491	AFUN2_011295
OG0001475	AAEL001495	AFUN2_014412
OG0001476	AAEL001503	AFUN2_006229, AFUN2_004837
OG0001477	AAEL022416, AAEL001522	AFUN2_005139
OG0001478	AAEL001554	AFUN2_009896
OG0001479	AAEL001561	AFUN2_007778
OG0001480	AAEL001619	AFUN2_002221
