Orthogroup	AaegyptiLVP_AGWG	CquinquefasciatusJHB2020
OG0001197	AAEL004120	CQUJHB010291, CQUJHB006315
OG0001198	AAEL004127	CQUJHB016045
OG0001198	AAEL021809, AAEL004137	CQUJHB002943
OG0001199	AAEL004217	CQUJHB010339
OG0001200	AAEL005737	CQUJHB005650
OG0001200	AAEL004278	CQUJHB002786
OG0001201	AAEL004290, AAEL019535	CQUJHB007565
OG0001202	AAEL004388, AAEL004390, AAEL004386	CQUJHB015157
OG0001203	AAEL004392	CQUJHB010629
OG0001203	AAEL014196	CQUJHB007576
OG0001204	AAEL004398	CQUJHB011526
OG0001205	AAEL019906	CQUJHB016582
OG0001205	AAEL004457	CQUJHB011022
OG0001206	AAEL004544	CQUJHB006483
OG0001207	AAEL027515, AAEL028140, AAEL004564	CQUJHB011194
OG0001208	AAEL004677	CQUJHB001959
OG0001208	AAEL004676	CQUJHB009601
OG0001209	AAEL004694	CQUJHB013094
OG0001210	AAEL004717	CQUJHB014801
OG0001211	AAEL004804	CQUJHB013663
OG0001212	AAEL004861, AAEL007167	CQUJHB013955, CQUJHB015741
OG0001213	AAEL004915	CQUJHB000153, CQUJHB002045, CQUJHB014566
OG0001214	AAEL004933	CQUJHB006567
OG0001214	AAEL012340	CQUJHB001389
OG0001215	AAEL005019	CQUJHB007784
OG0001216	AAEL022457	CQUJHB010948
OG0001216	AAEL005036	CQUJHB002297
OG0001217	AAEL023386	CQUJHB006210
OG0001217	AAEL005053, AAEL019663, AAEL023483	CQUJHB008153
OG0001218	AAEL005058	CQUJHB015464
OG0001218	AAEL018331	CQUJHB005474
OG0001219	AAEL005111	CQUJHB014977
OG0001220	AAEL005256	CQUJHB004911
OG0001221	AAEL005289	CQUJHB000175, CQUJHB011467
OG0001222	AAEL026757, AAEL022228, AAEL005450	CQUJHB005963
OG0001223	AAEL005638	CQUJHB001107
OG0001224	AAEL005649	CQUJHB010964
OG0001225	AAEL005774	CQUJHB002797
OG0001226	AAEL005829	CQUJHB004897
OG0001227	AAEL005895	CQUJHB010670
OG0001228	AAEL005922	CQUJHB012061, CQUJHB004750
OG0001229	AAEL005978	CQUJHB006235
OG0001230	AAEL006006	CQUJHB011435
OG0001231	AAEL006023	CQUJHB007720, CQUJHB006247, CQUJHB015818
OG0001232	AAEL006144	CQUJHB016364
OG0001233	AAEL018028, AAEL023949, AAEL006257	CQUJHB017615, CQUJHB006027, CQUJHB004341, CQUJHB017518, CQUJHB000156, CQUJHB015245, CQUJHB004062, CQUJHB006660, CQUJHB014109
OG0001234	AAEL006319	CQUJHB010175
OG0001235	AAEL006567	CQUJHB003925
OG0001236	AAEL006593	CQUJHB001267
OG0001237	AAEL006623	CQUJHB004175
OG0001238	AAEL006645	CQUJHB002472
OG0001239	AAEL006985, AAEL006830	CQUJHB005397, CQUJHB016379
OG0001240	AAEL006968, AAEL006971	CQUJHB006799, CQUJHB010004
OG0001241	AAEL007234	CQUJHB016654
OG0001242	AAEL007246	CQUJHB011751, CQUJHB002453
OG0001242	AAEL007238	CQUJHB001061
OG0001243	AAEL007248, AAEL020271	CQUJHB015647
OG0001244	AAEL007404	CQUJHB011548
OG0001245	AAEL007465	CQUJHB010710
OG0001246	AAEL027458, AAEL007762	CQUJHB018055
OG0001247	AAEL022067, AAEL007799	CQUJHB012283
OG0001248	AAEL008056	CQUJHB002127
OG0001249	AAEL013179, AAEL008148	CQUJHB011797
OG0001250	AAEL008173, AAEL023000, AAEL008157	CQUJHB005451
OG0001251	AAEL008316	CQUJHB006519, CQUJHB013100
OG0001252	AAEL008474, AAEL008472	CQUJHB012657
OG0001253	AAEL008564	CQUJHB001382
OG0001254	AAEL023635, AAEL008575	CQUJHB001940
OG0001255	AAEL008687	CQUJHB006501, CQUJHB009583
OG0001256	AAEL008699	CQUJHB017727, CQUJHB007395, CQUJHB008043, CQUJHB004032, CQUJHB009446
OG0001257	AAEL008961	CQUJHB016767
OG0001258	AAEL009019	CQUJHB003392
OG0001259	AAEL009054	CQUJHB016438
OG0001259	AAEL027056	CQUJHB010682
OG0001260	AAEL009062	CQUJHB016170
OG0001261	AAEL009176	CQUJHB013883
OG0001262	AAEL022573, AAEL009212	CQUJHB016878
OG0001263	AAEL009328	CQUJHB003620
OG0001263	AAEL009324	CQUJHB002466
OG0001264	AAEL009362	CQUJHB002884
OG0001265	AAEL009489	CQUJHB006364
OG0001266	AAEL009684	CQUJHB004429
OG0001267	AAEL009761	CQUJHB013444
OG0001268	AAEL009836	CQUJHB014430
OG0001269	AAEL010041	CQUJHB001567
OG0001270	AAEL010069, AAEL024373	CQUJHB014681
OG0001271	AAEL026935, AAEL027269, AAEL010070	CQUJHB010717
OG0001272	AAEL010140, AAEL010148	CQUJHB004263
OG0001273	AAEL023181, AAEL010157	CQUJHB003614, CQUJHB008222
OG0001274	AAEL010182	CQUJHB018240
OG0001275	AAEL010219	CQUJHB014242
OG0001276	AAEL010235, AAEL010228	CQUJHB013322, CQUJHB013951
OG0001277	AAEL021534, AAEL026085, AAEL010265	CQUJHB011436
OG0001278	AAEL027836, AAEL024539, AAEL010314	CQUJHB002935
OG0001279	AAEL010364	CQUJHB007827
OG0001280	AAEL010397	CQUJHB010548
OG0001281	AAEL010545	CQUJHB010234
OG0001282	AAEL010628, AAEL010631	CQUJHB008583
OG0001283	AAEL010647	CQUJHB010410
OG0001284	AAEL021724	CQUJHB014665
OG0001284	AAEL010789	CQUJHB017369
OG0001285	AAEL010926	CQUJHB011728
OG0001286	AAEL010941	CQUJHB014654
OG0001287	AAEL011032, AAEL011029	CQUJHB017594
OG0001288	AAEL011150	CQUJHB000463, CQUJHB004855, CQUJHB017025
OG0001289	AAEL011238	CQUJHB012802
OG0001291	AAEL011305, AAEL012635	CQUJHB005875, CQUJHB000518
OG0001292	AAEL011357	CQUJHB004373
OG0001293	AAEL011419, AAEL027486, AAEL011428	CQUJHB009962
OG0001294	AAEL011458, AAEL013031	CQUJHB011730, CQUJHB000828
OG0001295	AAEL025944, AAEL011475	CQUJHB008918
OG0001297	AAEL011575	CQUJHB018209
OG0001298	AAEL011632	CQUJHB007683
OG0001299	AAEL011786	CQUJHB006418, CQUJHB014237
OG0001300	AAEL011941	CQUJHB009670
OG0001302	AAEL011995	CQUJHB018342, CQUJHB001441
OG0001303	AAEL012107	CQUJHB013080
OG0001304	AAEL012161	CQUJHB013488
OG0001304	AAEL012162	CQUJHB016757
OG0001305	AAEL014916	CQUJHB014866
OG0001305	AAEL012344	CQUJHB013275
OG0001306	AAEL012382	CQUJHB006883
OG0001307	AAEL012472, AAEL027557	CQUJHB000868, CQUJHB013714
OG0001308	AAEL012564, AAEL012565, AAEL012563	CQUJHB007838
OG0001309	AAEL019473, AAEL012613	CQUJHB008601
OG0001310	AAEL027050	CQUJHB014571
OG0001311	AAEL012712	CQUJHB013473, CQUJHB016401, CQUJHB004886
OG0001312	AAEL013335	CQUJHB015646, CQUJHB004492
OG0001313	AAEL013405	CQUJHB012662
OG0001314	AAEL013882	CQUJHB000328
OG0001315	AAEL027503, AAEL023538, AAEL025158, AAEL024757, AAEL014089	CQUJHB006394
OG0001316	AAEL014125	CQUJHB002261
OG0001318	AAEL023570, AAEL020504, AAEL014377	CQUJHB015916
OG0001319	AAEL014441	CQUJHB000073, CQUJHB006576
OG0001321	AAEL014452	CQUJHB011715
OG0001322	AAEL014640	CQUJHB003265
OG0001323	AAEL017572, AAEL014699	CQUJHB000193
OG0001324	AAEL027937, AAEL014744	CQUJHB001239
OG0001325	AAEL015079, AAEL015267, AAEL020714, AAEL015265	CQUJHB017024
OG0001326	AAEL015109	CQUJHB012480
OG0001327	AAEL021791, AAEL015119	CQUJHB000322
OG0001328	AAEL028238, AAEL015150	CQUJHB008380, CQUJHB003930, CQUJHB018062, CQUJHB014431
OG0001329	AAEL015313	CQUJHB014297
OG0001330	AAEL017158	CQUJHB020314, CQUJHB020393
OG0001331	AAEL017198	CQUJHB007949
OG0001332	AAEL017357	CQUJHB008565
OG0001332	AAEL026428	CQUJHB018036, CQUJHB005506
OG0001333	AAEL019858	CQUJHB006569
OG0001333	AAEL018036	CQUJHB001421
OG0001334	AAEL018126	CQUJHB006508
OG0001335	AAEL018131	CQUJHB010728
OG0001336	AAEL018149	CQUJHB008230
OG0001337	AAEL018161	CQUJHB012843
OG0001338	AAEL018165	CQUJHB001630
OG0001339	AAEL018211	CQUJHB004028
OG0001340	AAEL018230	CQUJHB004913
OG0001341	AAEL018298	CQUJHB003700
OG0001342	AAEL019430	CQUJHB008742
OG0001343	AAEL019439	CQUJHB001026
OG0001344	AAEL019444	CQUJHB018089
OG0001345	AAEL019446	CQUJHB017357
OG0001346	AAEL019476	CQUJHB011760
OG0001347	AAEL019480	CQUJHB008308
OG0001349	AAEL024673, AAEL019542	CQUJHB005377
OG0001350	AAEL019573	CQUJHB001074
OG0001351	AAEL019577	CQUJHB012777
OG0001352	AAEL019587	CQUJHB004014
OG0001354	AAEL019667	CQUJHB000702
OG0001355	AAEL019714	CQUJHB000958
OG0001356	AAEL019762	CQUJHB011521
OG0001357	AAEL019795	CQUJHB002637
OG0001358	AAEL019835	CQUJHB008620
OG0001359	AAEL019837	CQUJHB000561
OG0001360	AAEL019843	CQUJHB006192
OG0001361	AAEL019848	CQUJHB004312
OG0001362	AAEL019852	CQUJHB017826
OG0001363	AAEL019879	CQUJHB004617
OG0001365	AAEL023710	CQUJHB015957
OG0001366	AAEL020095	CQUJHB009155
OG0001367	AAEL027260	CQUJHB001584
OG0001367	AAEL021696, AAEL025052, AAEL024856, AAEL020103, AAEL024036, AAEL020940	CQUJHB016118, CQUJHB001268
OG0001368	AAEL020333, AAEL023142, AAEL026219, AAEL023740, AAEL023205, AAEL023801, AAEL024103, AAEL020970	CQUJHB012616
OG0001369	AAEL020499	CQUJHB016113
OG0001370	AAEL020551, AAEL025762	CQUJHB010009
OG0001371	AAEL020651	CQUJHB002308, CQUJHB002124, CQUJHB018437
OG0001372	AAEL020702	CQUJHB012398
OG0001373	AAEL020789	CQUJHB013261
OG0001374	AAEL020800	CQUJHB010990, CQUJHB007748
OG0001375	AAEL021099	CQUJHB017175
OG0001376	AAEL021805, AAEL022509	CQUJHB017166
OG0001377	AAEL021865	CQUJHB004018, CQUJHB015054
OG0001378	AAEL021880, AAEL027926	CQUJHB001552
OG0001379	AAEL026542, AAEL025489, AAEL021883, AAEL027561, AAEL023613	CQUJHB009835
OG0001380	AAEL021945	CQUJHB016599
OG0001381	AAEL022092, AAEL024337	CQUJHB017011
OG0001382	AAEL022155, AAEL028005	CQUJHB011132
OG0001383	AAEL023190, AAEL024558, AAEL022214	CQUJHB012611, CQUJHB007484
OG0001384	AAEL022539	CQUJHB017133
OG0001385	AAEL022589	CQUJHB018156
OG0001386	AAEL022718	CQUJHB003605
OG0001387	AAEL023148	CQUJHB001300
OG0001388	AAEL028188, AAEL023294	CQUJHB006494
OG0001389	AAEL025458, AAEL024104, AAEL026110	CQUJHB001996
OG0001390	AAEL024236	CQUJHB018418
OG0001391	AAEL024239, AAEL026747	CQUJHB005978, CQUJHB001894
OG0001392	AAEL024268	CQUJHB006359
OG0001393	AAEL024506, AAEL024812	CQUJHB013884
OG0001394	AAEL024846, AAEL026507	CQUJHB014224
OG0001395	AAEL024922	CQUJHB010463
OG0001396	AAEL025165	CQUJHB007755
OG0001397	AAEL025298, AAEL028110, AAEL026623	CQUJHB004638
OG0001398	AAEL025410, AAEL025391	CQUJHB000060
OG0001399	AAEL025547	CQUJHB011585, CQUJHB003426, CQUJHB001092
OG0001400	AAEL025567	CQUJHB001531
OG0001401	AAEL025911	CQUJHB013793
OG0001402	AAEL025973	CQUJHB008128
OG0001403	AAEL026169	CQUJHB018024
OG0001404	AAEL026227	CQUJHB012237
OG0001405	AAEL026287	CQUJHB002067
OG0001406	AAEL026387	CQUJHB016567
OG0001407	AAEL026431, AAEL026853	CQUJHB008180, CQUJHB010762
OG0001408	AAEL026581	CQUJHB005586
OG0001409	AAEL026671	CQUJHB001447
OG0001410	AAEL026939	CQUJHB001143
OG0001411	AAEL027023	CQUJHB007992
OG0001412	AAEL027589	CQUJHB003984, CQUJHB000719
OG0001413	AAEL027616	CQUJHB005006
OG0001414	AAEL028205	CQUJHB006422
OG0001443	AAEL000044, AAEL014995	CQUJHB011879, CQUJHB000968, CQUJHB014957
OG0001444	AAEL000081, AAEL020741	CQUJHB013095, CQUJHB012168
OG0001445	AAEL000092	CQUJHB017841
OG0001446	AAEL000146	CQUJHB009549
OG0001446	AAEL000111	CQUJHB003582
OG0001447	AAEL027754, AAEL025874, AAEL000154	CQUJHB001003
OG0001448	AAEL000217	CQUJHB001400
OG0001449	AAEL000250	CQUJHB017498
OG0001450	AAEL000284	CQUJHB009691
OG0001451	AAEL013951, AAEL000432	CQUJHB013141
OG0001452	AAEL000468	CQUJHB013859
OG0001453	AAEL024335, AAEL000502	CQUJHB002401
OG0001454	AAEL000669, AAEL027395, AAEL023031	CQUJHB003356
OG0001455	AAEL000705	CQUJHB000121
OG0001455	AAEL011193	CQUJHB006268
OG0001456	AAEL000803, AAEL011405	CQUJHB002989
OG0001457	AAEL000921, AAEL000870, AAEL000916, AAEL023960, AAEL000881, AAEL023036	CQUJHB016360
OG0001458	AAEL000944	CQUJHB006351
OG0001459	AAEL000956	CQUJHB010544
OG0001460	AAEL000963, AAEL021108	CQUJHB000007
OG0001461	AAEL027902, AAEL001016	CQUJHB009377
OG0001462	AAEL001020, AAEL001022	CQUJHB005191
OG0001463	AAEL001127, AAEL020358	CQUJHB003311
OG0001464	AAEL013004, AAEL001143	CQUJHB017818
OG0001465	AAEL001207	CQUJHB012759
OG0001466	AAEL001209	CQUJHB006979
OG0001467	AAEL001216	CQUJHB016140
OG0001468	AAEL001304	CQUJHB009238
OG0001469	AAEL001352, AAEL022991	CQUJHB013666
OG0001470	AAEL001364	CQUJHB001884, CQUJHB013204, CQUJHB016696, CQUJHB010477
OG0001471	AAEL022805, AAEL001387	CQUJHB017340
OG0001472	AAEL001458	CQUJHB009188
OG0001473	AAEL001464	CQUJHB006626
OG0001474	AAEL001491	CQUJHB004358, CQUJHB013900
OG0001475	AAEL001495	CQUJHB003825
OG0001476	AAEL001503	CQUJHB009384
OG0001477	AAEL022416, AAEL001522	CQUJHB004817
OG0001478	AAEL001554	CQUJHB004889, CQUJHB018369
OG0001479	AAEL001561	CQUJHB013319
OG0001480	AAEL001619	CQUJHB003634
OG0001481	AAEL001680	CQUJHB015124
OG0001482	AAEL001682, AAEL027289	CQUJHB015032
OG0001483	AAEL001695	CQUJHB014720
OG0001484	AAEL001696	CQUJHB010772
OG0001486	AAEL001738	CQUJHB007093
OG0001488	AAEL001782	CQUJHB017438
OG0001489	AAEL001819	CQUJHB003174
OG0001490	AAEL010261	CQUJHB005620
OG0001490	AAEL001879	CQUJHB006779
OG0001491	AAEL001939	CQUJHB009598
OG0001492	AAEL001986	CQUJHB017908
OG0001493	AAEL024597, AAEL002006	CQUJHB011057
OG0001494	AAEL002011	CQUJHB006222
OG0001495	AAEL002047	CQUJHB004236
OG0001496	AAEL002050	CQUJHB013730
OG0001497	AAEL002069	CQUJHB013736
OG0001498	AAEL002135	CQUJHB002219
OG0001499	AAEL002139	CQUJHB005868
OG0001500	AAEL002175	CQUJHB002550
OG0001501	AAEL015481	CQUJHB001360
OG0001501	AAEL002275	CQUJHB000445
OG0001502	AAEL002389, AAEL020851	CQUJHB010071
OG0001503	AAEL024419, AAEL002415	CQUJHB010599
OG0001504	AAEL002503	CQUJHB017861
OG0001505	AAEL025146, AAEL002510	CQUJHB011069
OG0001506	AAEL002527	CQUJHB016211
OG0001507	AAEL002577	CQUJHB004920
OG0001507	AAEL002632	CQUJHB005220
OG0001508	AAEL002599	CQUJHB017226
OG0001509	AAEL002651	CQUJHB010194, CQUJHB004316
OG0001510	AAEL002719	CQUJHB003731, CQUJHB003523
OG0001511	AAEL002835	CQUJHB003943
OG0001512	AAEL002838	CQUJHB008488
OG0001512	AAEL002840	CQUJHB010982, CQUJHB012250
OG0001513	AAEL002859	CQUJHB003898
OG0001514	AAEL002902	CQUJHB015908
OG0001515	AAEL002903	CQUJHB003378
OG0001516	AAEL023241, AAEL002932	CQUJHB016371
OG0001517	AAEL003075	CQUJHB015770
OG0001518	AAEL003139	CQUJHB014184
OG0001519	AAEL003173, AAEL003163	CQUJHB016885
OG0001520	AAEL003177	CQUJHB001943, CQUJHB001276
OG0001520	AAEL029099	CQUJHB007485
OG0001521	AAEL027087, AAEL003179	CQUJHB003530
OG0001522	AAEL003194	CQUJHB004981
OG0001523	AAEL003211	CQUJHB010954
OG0001524	AAEL003384	CQUJHB000455
OG0001525	AAEL003406, AAEL003430	CQUJHB002784
OG0001526	AAEL003493	CQUJHB012704, CQUJHB014960
OG0001527	AAEL003522	CQUJHB006329, CQUJHB009076, CQUJHB017472
OG0001528	AAEL027762, AAEL003550	CQUJHB004340
OG0001529	AAEL003566	CQUJHB010435
OG0001530	AAEL003605	CQUJHB007850
OG0001531	AAEL011519	CQUJHB011448
OG0001531	AAEL003633	CQUJHB009826
OG0001532	AAEL003658	CQUJHB014995, CQUJHB005138, CQUJHB014354
OG0001533	AAEL003750	CQUJHB008419
OG0001534	AAEL003815	CQUJHB004219
OG0001535	AAEL003824	CQUJHB003258
OG0001536	AAEL023486, AAEL003835	CQUJHB008904
OG0001537	AAEL003953	CQUJHB018019
OG0001538	AAEL004010	CQUJHB016634
OG0001539	AAEL004059	CQUJHB005522, CQUJHB005824
OG0001540	AAEL004119	CQUJHB017730
OG0001541	AAEL004142	CQUJHB007994
OG0001542	AAEL004155	CQUJHB007813
OG0001543	AAEL004235	CQUJHB006512
OG0001544	AAEL004281, AAEL004273	CQUJHB011722
OG0001545	AAEL004295	CQUJHB001886
OG0001546	AAEL004344	CQUJHB005770
OG0001547	AAEL004405	CQUJHB016356
OG0001548	AAEL004415	CQUJHB003089
OG0001549	AAEL004456	CQUJHB006350
OG0001550	AAEL004478	CQUJHB014932
OG0001551	AAEL004495	CQUJHB014352
OG0001552	AAEL004653	CQUJHB010857
OG0001553	AAEL004661	CQUJHB013025, CQUJHB002513
OG0001554	AAEL004702	CQUJHB009869
OG0001555	AAEL022153, AAEL024364, AAEL004750	CQUJHB004786
OG0001556	AAEL004768	CQUJHB013580
OG0001557	AAEL004791	CQUJHB006059
OG0001558	AAEL004799	CQUJHB003402
OG0001559	AAEL025388, AAEL004823	CQUJHB013206
OG0001560	AAEL004964	CQUJHB015935
OG0001561	AAEL004967	CQUJHB010991, CQUJHB006122
OG0001562	AAEL005164, AAEL014480, AAEL014481	CQUJHB001393
OG0001563	AAEL005195	CQUJHB014177
OG0001564	AAEL005206	CQUJHB001600
OG0001565	AAEL005247	CQUJHB005831
OG0001566	AAEL005255	CQUJHB015877
OG0001567	AAEL021152, AAEL023206, AAEL005287, AAEL013691, AAEL008094	CQUJHB014453
OG0001568	AAEL005350, AAEL007999	CQUJHB007409
OG0001568	AAEL007998	CQUJHB003854
OG0001569	AAEL005414	CQUJHB007989
OG0001570	AAEL005419	CQUJHB002795
OG0001571	AAEL028201, AAEL021183, AAEL005433	CQUJHB000043
OG0001572	AAEL026733, AAEL005438, AAEL022095	CQUJHB001860
OG0001573	AAEL005476	CQUJHB018479
OG0001574	AAEL005485	CQUJHB007907
OG0001575	AAEL024254, AAEL005525, AAEL005526	CQUJHB001494
OG0001576	AAEL026634, AAEL005528	CQUJHB003894
OG0001577	AAEL012528	CQUJHB004564
OG0001577	AAEL005536	CQUJHB000443
OG0001578	AAEL005631	CQUJHB006128
OG0001579	AAEL005767	CQUJHB017441
OG0001580	AAEL005808	CQUJHB011676
OG0001581	AAEL005842, AAEL022335	CQUJHB000197, CQUJHB000190
OG0001582	AAEL021854, AAEL026114, AAEL005843	CQUJHB001601
OG0001583	AAEL005846	CQUJHB002636, CQUJHB009009
OG0001584	AAEL021191, AAEL005866	CQUJHB010006, CQUJHB000661
OG0001585	AAEL020020, AAEL005893	CQUJHB002648
OG0001586	AAEL005905	CQUJHB008155, CQUJHB002063
OG0001587	AAEL020376, AAEL005950	CQUJHB011140
OG0001588	AAEL005952	CQUJHB009152
OG0001589	AAEL005962	CQUJHB014204
OG0001590	AAEL005970	CQUJHB007599
OG0001591	AAEL006034, AAEL025718	CQUJHB012781
OG0001592	AAEL006164, AAEL009201	CQUJHB010271
OG0001593	AAEL006174	CQUJHB003357
OG0001594	AAEL006181	CQUJHB006598
OG0001595	AAEL006205	CQUJHB012402
OG0001596	AAEL020128, AAEL006216	CQUJHB014376
OG0001597	AAEL006348, AAEL006326	CQUJHB006773
OG0001598	AAEL006340	CQUJHB004368
OG0001599	AAEL006343, AAEL025287	CQUJHB004600
OG0001600	AAEL006367	CQUJHB008163
OG0001601	AAEL006389	CQUJHB007829
OG0001602	AAEL007284, AAEL006440	CQUJHB016977
OG0001603	AAEL022222, AAEL023228, AAEL006445	CQUJHB000521
OG0001604	AAEL006548, AAEL006556	CQUJHB016648
OG0001605	AAEL021322, AAEL024679, AAEL006553	CQUJHB007633
OG0001606	AAEL027492, AAEL006659	CQUJHB014943
OG0001607	AAEL020946, AAEL006687	CQUJHB000830
OG0001608	AAEL006688	CQUJHB011681
OG0001609	AAEL006697	CQUJHB000477
OG0001610	AAEL006718	CQUJHB015813
OG0001611	AAEL026097, AAEL006732	CQUJHB012937
OG0001612	AAEL006772, AAEL024260	CQUJHB006423
OG0001613	AAEL006774	CQUJHB012285
OG0001614	AAEL006790	CQUJHB005858
OG0001615	AAEL006839	CQUJHB003375
OG0001616	AAEL020314, AAEL006854	CQUJHB016725
OG0001617	AAEL006859, AAEL014276	CQUJHB018130
OG0001618	AAEL006919	CQUJHB017878
OG0001619	AAEL006987, AAEL006990	CQUJHB002341
OG0001620	AAEL021420, AAEL006998, AAEL028089	CQUJHB013609
OG0001621	AAEL025660	CQUJHB011768
OG0001621	AAEL007001	CQUJHB012013
OG0001622	AAEL007049	CQUJHB016232
OG0001623	AAEL020187, AAEL007078	CQUJHB011721, CQUJHB000767
OG0001624	AAEL007278, AAEL022274	CQUJHB010551
OG0001625	AAEL007285	CQUJHB017514
OG0001626	AAEL007349	CQUJHB015913
OG0001627	AAEL010393, AAEL007385	CQUJHB001936, CQUJHB014379, CQUJHB009045
OG0001628	AAEL007409	CQUJHB012184
OG0001629	AAEL007473	CQUJHB016459, CQUJHB015848
OG0001630	AAEL007476	CQUJHB010279
OG0001631	AAEL025261, AAEL007492	CQUJHB012109
OG0001633	AAEL007568	CQUJHB008156
OG0001634	AAEL026096, AAEL007708	CQUJHB006424
OG0001635	AAEL007805	CQUJHB003654
OG0001636	AAEL007814, AAEL021591	CQUJHB010165
OG0001637	AAEL007823	CQUJHB008618
OG0001638	AAEL007902	CQUJHB002093
OG0001639	AAEL007959	CQUJHB006605
OG0001640	AAEL007979	CQUJHB003721
OG0001641	AAEL007987, AAEL025151	CQUJHB000231
OG0001642	AAEL007996	CQUJHB000714
OG0001643	AAEL008010, AAEL025987	CQUJHB018425
OG0001644	AAEL008041	CQUJHB016041
OG0001645	AAEL023409, AAEL008046	CQUJHB016366
OG0001647	AAEL008154	CQUJHB008510
OG0001648	AAEL008188	CQUJHB013766, CQUJHB013159
OG0001649	AAEL008219	CQUJHB017997
OG0001650	AAEL008403	CQUJHB003344
OG0001651	AAEL012845, AAEL008412	CQUJHB017540
OG0001652	AAEL021627, AAEL008416, AAEL022499, AAEL023848	CQUJHB014777
OG0001653	AAEL008450	CQUJHB002668, CQUJHB001147
OG0001654	AAEL008459	CQUJHB007937
OG0001655	AAEL008463	CQUJHB009976
OG0001656	AAEL008592	CQUJHB007775, CQUJHB001306, CQUJHB014954
OG0001657	AAEL008596	CQUJHB003519
OG0001658	AAEL008700	CQUJHB016441
OG0001659	AAEL008738	CQUJHB002747
OG0001660	AAEL008826	CQUJHB005301
OG0001661	AAEL023781, AAEL008842	CQUJHB013990
OG0001662	AAEL008849	CQUJHB003050
OG0001663	AAEL008865	CQUJHB000198, CQUJHB010700
OG0001664	AAEL008941	CQUJHB010461
OG0001665	AAEL008942	CQUJHB003592
OG0001666	AAEL026683, AAEL008956	CQUJHB003464
OG0001667	AAEL008960	CQUJHB016693
OG0001668	AAEL009097	CQUJHB016144, CQUJHB004410
OG0001669	AAEL009183, AAEL027505	CQUJHB016614
OG0001670	AAEL009196	CQUJHB018280
OG0001671	AAEL009265	CQUJHB014605
OG0001672	AAEL009298	CQUJHB004808
OG0001673	AAEL009307	CQUJHB009227, CQUJHB016629
OG0001674	AAEL009351, AAEL021624	CQUJHB005423
OG0001675	AAEL009356, AAEL024601	CQUJHB003520
OG0001676	AAEL009364	CQUJHB011297
OG0001677	AAEL009438	CQUJHB014529
OG0001678	AAEL009458	CQUJHB008422
OG0001679	AAEL009466	CQUJHB015103
OG0001680	AAEL023741, AAEL009469	CQUJHB014713
OG0001681	AAEL009503, AAEL020495	CQUJHB010546
OG0001682	AAEL009588	CQUJHB007406
OG0001683	AAEL009634	CQUJHB004950, CQUJHB009972
OG0001684	AAEL009637	CQUJHB008526, CQUJHB002176
OG0001685	AAEL026149	CQUJHB000823
OG0001686	AAEL025383, AAEL009701	CQUJHB004481
OG0001687	AAEL009757	CQUJHB006524
OG0001687	AAEL009751	CQUJHB011409
OG0001688	AAEL009753	CQUJHB010357
OG0001689	AAEL009763	CQUJHB005346
OG0001690	AAEL009779	CQUJHB014540, CQUJHB003980
OG0001691	AAEL009850	CQUJHB005414, CQUJHB010951, CQUJHB004782
OG0001692	AAEL028144, AAEL009872	CQUJHB003437
OG0001693	AAEL009894	CQUJHB010887
OG0001693	AAEL012911	CQUJHB009390
OG0001694	AAEL009950	CQUJHB011260
OG0001695	AAEL010008, AAEL026984	CQUJHB006258
OG0001696	AAEL010062	CQUJHB005828
OG0001697	AAEL010090	CQUJHB017264
OG0001699	AAEL021547, AAEL024827, AAEL010226	CQUJHB005748
OG0001700	AAEL010260	CQUJHB008861
OG0001701	AAEL010266	CQUJHB013301
OG0001702	AAEL010283, AAEL027623	CQUJHB011702
OG0001703	AAEL010302, AAEL010323, AAEL010303	CQUJHB016525, CQUJHB003225, CQUJHB001877, CQUJHB009033
OG0001704	AAEL010311	CQUJHB012572, CQUJHB008756, CQUJHB003683
OG0001705	AAEL010354	CQUJHB007470
OG0001706	AAEL010355	CQUJHB006543, CQUJHB012272
OG0001707	AAEL010390, AAEL010381	CQUJHB009517
OG0001708	AAEL010389	CQUJHB000812
OG0001709	AAEL010422	CQUJHB007914
OG0001710	AAEL021184, AAEL010511	CQUJHB011610, CQUJHB000347
OG0001711	AAEL010568	CQUJHB016971
OG0001712	AAEL010571, AAEL026067	CQUJHB016875
OG0001713	AAEL010593	CQUJHB015985
OG0001714	AAEL010742, AAEL024119	CQUJHB003137
OG0001715	AAEL010757	CQUJHB017946
OG0001716	AAEL010771	CQUJHB006814
OG0001717	AAEL010778	CQUJHB011333
OG0001718	AAEL010827	CQUJHB018202
OG0001719	AAEL010855	CQUJHB007686
OG0001720	AAEL021416, AAEL011123	CQUJHB002212
OG0001721	AAEL024207, AAEL011124	CQUJHB006168, CQUJHB007712
OG0001722	AAEL011157	CQUJHB002479
OG0001723	AAEL011159	CQUJHB013881
OG0001724	AAEL026600, AAEL011271	CQUJHB009916
OG0001725	AAEL011345	CQUJHB017260, CQUJHB007806
OG0001726	AAEL011349	CQUJHB010294
OG0001727	AAEL011379	CQUJHB014054
OG0001728	AAEL011382	CQUJHB005672, CQUJHB009623, CQUJHB012341
OG0001729	AAEL011411, AAEL012903	CQUJHB004027
OG0001730	AAEL011436	CQUJHB013851
OG0001731	AAEL011500	CQUJHB000468
OG0001732	AAEL011560	CQUJHB001251
