Orthogroup	LlongipalpisASM	AstephensiUCISS2018
OG0002158	LOC129792677	ASTEI20_046149
OG0002159	LOC129793989	ASTEI20_033709
OG0002160	LOC129788807	ASTEI20_033303
OG0002161	LOC129789584	ASTEI20_042500
OG0002162	LOC129792208	ASTEI20_045719
OG0002163	LOC129789633, LOC129795922	ASTEI20_044009
OG0002164	LOC129789915	ASTEI20_038889
OG0002165	LOC129790660	ASTEI20_032420
OG0002166	LOC129788457	ASTEI20_033236
OG0002167	LOC129793573	ASTEI20_035998
OG0002168	LOC129790952	ASTEI20_031546
OG0002169	LOC129789473	ASTEI20_045450
OG0002170	LOC129790189	ASTEI20_039366
OG0002171	LOC129790264	ASTEI20_044237
OG0002172	LOC129789140	ASTEI20_030876
OG0002173	LOC129789107	ASTEI20_042249
OG0002174	LOC129790705, LOC129790700	ASTEI20_039001
OG0002176	LOC129789087	ASTEI20_037794
OG0002177	LOC129795949	ASTEI20_034873
OG0002178	LOC129795722	ASTEI20_043055
OG0002179	LOC129789021	ASTEI20_034393
OG0002180	LOC129793143	ASTEI20_034482, ASTEI20_031731
OG0002181	LOC129790196	ASTEI20_039889
OG0002182	LOC129786453	ASTEI20_039066
OG0002183	LOC129791374	ASTEI20_035823
OG0002184	LOC129797310	ASTEI20_036865
OG0002185	LOC129795865	ASTEI20_038700
OG0002186	LOC129797706	ASTEI20_031406
OG0002187	LOC129786836	ASTEI20_042567
OG0002188	LOC129786895	ASTEI20_036417
OG0002189	LOC129787436	ASTEI20_039485
OG0002190	LOC129788388	ASTEI20_036177
OG0002191	LOC129788510	ASTEI20_042517
OG0002192	LOC129788448	ASTEI20_032625
OG0002193	LOC129789440	ASTEI20_045635
OG0002194	LOC129792408	ASTEI20_033869
OG0002195	LOC129793090	ASTEI20_043113
OG0002196	LOC129792947	ASTEI20_030907
OG0002197	LOC129796307	ASTEI20_037747
OG0002198	LOC129796032	ASTEI20_044611
OG0002199	LOC129794812	ASTEI20_044477
OG0002200	LOC129793181	ASTEI20_039345, ASTEI20_035076
OG0002201	LOC129793237	ASTEI20_034899, ASTEI20_043590
OG0002202	LOC129793200	ASTEI20_042659, ASTEI20_038102
OG0002203	LOC129793485	ASTEI20_032832
OG0002204	LOC129788693	ASTEI20_039331
OG0002205	LOC129794185	ASTEI20_044937, ASTEI20_043622
OG0002206	LOC129793211	ASTEI20_041536, ASTEI20_033605
OG0002207	LOC129797559	ASTEI20_044187
OG0002208	LOC129789628	ASTEI20_045046
OG0002209	LOC129789680, LOC129789687	ASTEI20_040057
OG0002210	LOC129791980	ASTEI20_040549, ASTEI20_037897
OG0002211	LOC129787391	ASTEI20_033041
OG0002212	LOC129797348	ASTEI20_035996
OG0002213	LOC129788136	ASTEI20_033801
OG0002214	LOC129788860	ASTEI20_038668
OG0002215	LOC129786768	ASTEI20_033327
OG0002216	LOC129794210	ASTEI20_040253
OG0002217	LOC129793381, LOC129793379	ASTEI20_032995
OG0002218	LOC129788862	ASTEI20_035481
OG0002219	LOC129790860	ASTEI20_032843
OG0002220	LOC129797609	ASTEI20_045640
OG0002221	LOC129787562	ASTEI20_034270
OG0002222	LOC129793261	ASTEI20_037211
OG0002223	LOC129795732	ASTEI20_040530
OG0002224	LOC129797443	ASTEI20_037607
OG0002225	LOC129795743, LOC129795745	ASTEI20_032806
OG0002226	LOC129796496	ASTEI20_034642
OG0002227	LOC129795589	ASTEI20_032289
OG0002229	LOC129795588	ASTEI20_043800
OG0002230	LOC129796777	ASTEI20_039163
OG0002231	LOC129788560	ASTEI20_042868
OG0002232	LOC129785910	ASTEI20_034129
OG0002233	LOC129793461	ASTEI20_036255, ASTEI20_032533
OG0002234	LOC129792716	ASTEI20_040334
OG0002235	LOC129796803	ASTEI20_044223
OG0002236	LOC129789903, LOC129797367	ASTEI20_033975
OG0002237	LOC129787792	ASTEI20_032334
OG0002238	LOC129786065	ASTEI20_033686
OG0002239	LOC129797602	ASTEI20_035417
OG0002240	LOC129790493	ASTEI20_045129
OG0002241	LOC129787979	ASTEI20_033295
OG0002242	LOC129787955	ASTEI20_039000
OG0002244	LOC129788699	ASTEI20_033717
OG0002245	LOC129794046	ASTEI20_044614
OG0002246	LOC129788702	ASTEI20_044379
OG0002247	LOC129785965	ASTEI20_035720
OG0002248	LOC129790227, LOC129797606	ASTEI20_038610
OG0002249	LOC129789817	ASTEI20_043522, ASTEI20_036117
OG0002251	LOC129789579	ASTEI20_031231
OG0002252	LOC129786273	ASTEI20_043997
OG0002253	LOC129788451	ASTEI20_035231
OG0002254	LOC129793410	ASTEI20_035718
OG0002255	LOC129796246	ASTEI20_038984
OG0002256	LOC129793333	ASTEI20_035525
OG0002257	LOC129786737	ASTEI20_044773
OG0002258	LOC129788415, LOC129793194	ASTEI20_036901
OG0002259	LOC129785858	ASTEI20_034292
OG0002260	LOC129788509	ASTEI20_035331
OG0002261	LOC129793788	ASTEI20_040889
OG0002262	LOC129791873	ASTEI20_041779, ASTEI20_032004
OG0002263	LOC129791669	ASTEI20_043796, ASTEI20_033307
OG0002264	LOC129793023	ASTEI20_035137
OG0002265	LOC129791657	ASTEI20_030902, ASTEI20_039602
OG0002266	LOC129785912	ASTEI20_035343
OG0002267	LOC129791731, LOC129791729	ASTEI20_031246
OG0002268	LOC129797731	ASTEI20_044596, ASTEI20_042453
OG0002270	LOC129795116	ASTEI20_037324
OG0002271	LOC129795960	ASTEI20_038708, ASTEI20_035936
OG0002272	LOC129790531	ASTEI20_036329, ASTEI20_037546
OG0002273	LOC129794997	ASTEI20_044467
OG0002274	LOC129788771	ASTEI20_031610
OG0002275	LOC129788122, LOC129796151	ASTEI20_034951
OG0002276	LOC129788796	ASTEI20_035951
OG0002277	LOC129786934	ASTEI20_036205
OG0002278	LOC129786933, LOC129786932	ASTEI20_038910
OG0002281	LOC129787739	ASTEI20_039057
OG0002282	LOC129788062, LOC129788066	ASTEI20_040222
OG0002283	LOC129793663	ASTEI20_039083
OG0002284	LOC129786555	ASTEI20_033382
OG0002285	LOC129788063	ASTEI20_037197
OG0002286	LOC129793658	ASTEI20_033455
OG0002287	LOC129793672	ASTEI20_040694
OG0002288	LOC129793661	ASTEI20_034325
OG0002289	LOC129788137	ASTEI20_045997
OG0002290	LOC129789278	ASTEI20_033129
OG0002291	LOC129787557	ASTEI20_041218
OG0002292	LOC129795898	ASTEI20_036545
OG0002293	LOC129794480	ASTEI20_041434
OG0002294	LOC129786106	ASTEI20_041852
OG0002295	LOC129797132	ASTEI20_043473
OG0002296	LOC129790316	ASTEI20_036165
OG0002298	LOC129792758	ASTEI20_045742
OG0002299	LOC129797168	ASTEI20_034255
OG0002300	LOC129787547	ASTEI20_044583
OG0002301	LOC129797203	ASTEI20_042907
OG0002302	LOC129797189	ASTEI20_039469
OG0002304	LOC129795418	ASTEI20_045284
OG0002305	LOC129797328, LOC129792354	ASTEI20_044481
OG0002306	LOC129795987	ASTEI20_035750, ASTEI20_040659
OG0002307	LOC129787027	ASTEI20_036319
OG0002308	LOC129791629	ASTEI20_037047
OG0002309	LOC129792903	ASTEI20_036694
OG0002310	LOC129789716	ASTEI20_045787
OG0002311	LOC129797452	ASTEI20_040734
OG0002312	LOC129785887	ASTEI20_033632, ASTEI20_044979
OG0002313	LOC129795613	ASTEI20_042950
OG0002314	LOC129797510	ASTEI20_031522, ASTEI20_045365
OG0002315	LOC129794653	ASTEI20_036867
OG0002316	LOC129796203	ASTEI20_045144
OG0002317	LOC129793168	ASTEI20_039040
OG0002318	LOC129790590	ASTEI20_044442
OG0002319	LOC129797356	ASTEI20_038811
OG0002321	LOC129787175	ASTEI20_041840
OG0002322	LOC129789941, LOC129789940	ASTEI20_033038
OG0002325	LOC129785876	ASTEI20_041421
OG0002326	LOC129787545	ASTEI20_032967
OG0002328	LOC129791851	ASTEI20_045267
OG0002329	LOC129797403	ASTEI20_032623
OG0002330	LOC129786253	ASTEI20_041635
OG0002331	LOC129786187	ASTEI20_035370
OG0002332	LOC129786748	ASTEI20_045976
OG0002333	LOC129786299	ASTEI20_034203
OG0002334	LOC129786267	ASTEI20_045428
OG0002335	LOC129786296	ASTEI20_037151
OG0002336	LOC129786256	ASTEI20_041456
OG0002337	LOC129791435	ASTEI20_042944
OG0002338	LOC129786699	ASTEI20_038934
OG0002339	LOC129796019	ASTEI20_032110
OG0002340	LOC129795472	ASTEI20_035539
OG0002341	LOC129795471	ASTEI20_031169
OG0002342	LOC129791807	ASTEI20_036859
OG0002343	LOC129786936	ASTEI20_042897
OG0002344	LOC129786043	ASTEI20_038489
OG0002346	LOC129796797	ASTEI20_046174
OG0002347	LOC129794184	ASTEI20_031974
OG0002348	LOC129787124, LOC129789001	ASTEI20_045421
OG0002349	LOC129787282	ASTEI20_038347
OG0002350	LOC129787523	ASTEI20_033664
OG0002351	LOC129787150	ASTEI20_034549
OG0002352	LOC129790865, LOC129790231	ASTEI20_031245
OG0002353	LOC129789284	ASTEI20_039724
OG0002355	LOC129795357	ASTEI20_035915
OG0002356	LOC129786496	ASTEI20_033242
OG0002357	LOC129796952	ASTEI20_040713
OG0002358	LOC129789471	ASTEI20_041221, ASTEI20_042011
OG0002359	LOC129796826	ASTEI20_036238
OG0002360	LOC129793096	ASTEI20_045683
OG0002361	LOC129794309	ASTEI20_041119
OG0002362	LOC129786375	ASTEI20_040899, ASTEI20_043641
OG0002363	LOC129792566	ASTEI20_033694
OG0002364	LOC129786277	ASTEI20_043350
OG0002365	LOC129792656	ASTEI20_034009, ASTEI20_037411
OG0002367	LOC129794620	ASTEI20_035008
OG0002368	LOC129794057	ASTEI20_038284
OG0002369	LOC129796302	ASTEI20_044591
OG0002370	LOC129795401	ASTEI20_030905
OG0002371	LOC129796313	ASTEI20_039315
OG0002372	LOC129786076	ASTEI20_035374
OG0002373	LOC129795733	ASTEI20_039042, ASTEI20_045837
OG0002374	LOC129796619	ASTEI20_039823, ASTEI20_033669
OG0002375	LOC129796931	ASTEI20_043026
OG0002376	LOC129786382	ASTEI20_038498
OG0002377	LOC129797330	ASTEI20_037981
OG0002378	LOC129796930	ASTEI20_042537
OG0002379	LOC129797640	ASTEI20_032450
OG0002380	LOC129795616	ASTEI20_041910
OG0002381	LOC129795607	ASTEI20_044386
OG0002382	LOC129789462, LOC129786346	ASTEI20_036797
OG0002383	LOC129797341	ASTEI20_034483
OG0002384	LOC129797178	ASTEI20_035301
OG0002385	LOC129793384	ASTEI20_040781
OG0002386	LOC129788590	ASTEI20_033281
OG0002387	LOC129790966, LOC129790962	ASTEI20_036378
OG0002388	LOC129789974	ASTEI20_036578
OG0002389	LOC129789922, LOC129789923	ASTEI20_043025
OG0002390	LOC129790073	ASTEI20_042883
OG0002391	LOC129789078	ASTEI20_042204
OG0002392	LOC129790402	ASTEI20_033460
OG0002393	LOC129796443	ASTEI20_034377
OG0002395	LOC129789386	ASTEI20_044723
OG0002396	LOC129787280	ASTEI20_035380
OG0002397	LOC129792725	ASTEI20_039434, ASTEI20_031846
OG0002399	LOC129794857, LOC129787284	ASTEI20_031408
OG0002400	LOC129787157, LOC129790536, LOC129789042	ASTEI20_031131
OG0002401	LOC129789667	ASTEI20_039422
OG0002402	LOC129790284, LOC129789947	ASTEI20_041692
OG0002403	LOC129789084, LOC129789088	ASTEI20_042046
OG0002404	LOC129790472	ASTEI20_038087
OG0002406	LOC129791173	ASTEI20_043484
OG0002408	LOC129797670	ASTEI20_039046
OG0002409	LOC129794649	ASTEI20_038459, ASTEI20_044816
OG0002410	LOC129796322	ASTEI20_032437, ASTEI20_041220
OG0002411	LOC129794916	ASTEI20_037058
OG0002412	LOC129794580	ASTEI20_031058, ASTEI20_036812
OG0002414	LOC129793151	ASTEI20_046100
OG0002415	LOC129788332	ASTEI20_033070
OG0002416	LOC129791826	ASTEI20_043086
OG0002417	LOC129792313	ASTEI20_032358
OG0002418	LOC129793117	ASTEI20_038009
OG0002419	LOC129788994	ASTEI20_046123
OG0002420	LOC129789356	ASTEI20_032165
OG0002421	LOC129787829	ASTEI20_042845
OG0002422	LOC129788374	ASTEI20_035601
OG0002423	LOC129792721	ASTEI20_036156
OG0002424	LOC129791358	ASTEI20_044179
OG0002425	LOC129790699	ASTEI20_031962
OG0002426	LOC129790478	ASTEI20_031151
OG0002427	LOC129787552	ASTEI20_031585
OG0002428	LOC129787827	ASTEI20_039436
OG0002429	LOC129794503	ASTEI20_032177
OG0002430	LOC129792689	ASTEI20_032863
OG0002431	LOC129794794	ASTEI20_036777
OG0002432	LOC129790799	ASTEI20_042810
OG0002433	LOC129796596	ASTEI20_038868
OG0002434	LOC129796595	ASTEI20_037317
OG0002435	LOC129788886	ASTEI20_033752
OG0002436	LOC129795366	ASTEI20_039529
OG0002437	LOC129793010	ASTEI20_036848
OG0002438	LOC129790698	ASTEI20_044940
OG0002439	LOC129793416	ASTEI20_042128
OG0002440	LOC129793387	ASTEI20_042036
OG0002441	LOC129791833	ASTEI20_044712
OG0002442	LOC129791169	ASTEI20_032873
OG0002443	LOC129795304	ASTEI20_033612
OG0002444	LOC129797612	ASTEI20_045307
OG0002445	LOC129797371	ASTEI20_042770
OG0002446	LOC129786723	ASTEI20_034357
OG0002447	LOC129797406	ASTEI20_038353, ASTEI20_032098
OG0002448	LOC129797407	ASTEI20_035037, ASTEI20_045222
OG0002449	LOC129797012	ASTEI20_032373
OG0002450	LOC129797097	ASTEI20_033525
OG0002451	LOC129786982	ASTEI20_037338
OG0002452	LOC129786996	ASTEI20_040047
OG0002453	LOC129788324	ASTEI20_038386
OG0002454	LOC129790669	ASTEI20_038078
OG0002455	LOC129796197	ASTEI20_034385
OG0002456	LOC129796391	ASTEI20_042876
OG0002457	LOC129795197	ASTEI20_034757
OG0002458	LOC129795191	ASTEI20_033511
OG0002459	LOC129795190	ASTEI20_040196
OG0002460	LOC129787295	ASTEI20_035297, ASTEI20_033407
OG0002461	LOC129796078, LOC129787274	ASTEI20_036503
OG0002462	LOC129797861	ASTEI20_039017
OG0002463	LOC129793046	ASTEI20_030857
OG0002464	LOC129797149	ASTEI20_033304
OG0002465	LOC129785971	ASTEI20_039167
OG0002466	LOC129796587	ASTEI20_045869
OG0002467	LOC129796038	ASTEI20_043954
OG0002468	LOC129797066	ASTEI20_043160
OG0002469	LOC129797060	ASTEI20_038716
OG0002470	LOC129790273	ASTEI20_034600
OG0002471	LOC129789315	ASTEI20_038724
OG0002472	LOC129790898	ASTEI20_032025
OG0002473	LOC129793956	ASTEI20_035165
OG0002474	LOC129788869	ASTEI20_038028
OG0002475	LOC129791133	ASTEI20_034359
OG0002476	LOC129790070	ASTEI20_035988
OG0002477	LOC129791388	ASTEI20_041960
OG0002478	LOC129793190	ASTEI20_038953
OG0002479	LOC129789103	ASTEI20_037605
OG0002480	LOC129791874	ASTEI20_037414
OG0002481	LOC129788471	ASTEI20_042523, ASTEI20_035139
OG0002482	LOC129797133	ASTEI20_040236
OG0002483	LOC129793504	ASTEI20_041851
OG0002484	LOC129786397	ASTEI20_032788
OG0002485	LOC129786440	ASTEI20_041553
OG0002486	LOC129787049, LOC129793799	ASTEI20_040466
OG0002487	LOC129786101	ASTEI20_044172
OG0002488	LOC129791947	ASTEI20_032846
OG0002489	LOC129797508	ASTEI20_036227
OG0002490	LOC129795544	ASTEI20_040601
OG0002491	LOC129796181	ASTEI20_034788
OG0002492	LOC129795956	ASTEI20_045835
OG0002493	LOC129787146	ASTEI20_035378
OG0002494	LOC129795595	ASTEI20_031219
OG0002495	LOC129797046	ASTEI20_031447
OG0002496	LOC129793195	ASTEI20_037545
OG0002497	LOC129786854	ASTEI20_033781
OG0002498	LOC129786470	ASTEI20_040999
OG0002499	LOC129795391	ASTEI20_038692
OG0002500	LOC129790765	ASTEI20_033677
OG0002501	LOC129797391	ASTEI20_031739
OG0002502	LOC129796088	ASTEI20_038388
OG0002503	LOC129786336	ASTEI20_035146
OG0002504	LOC129797393	ASTEI20_036949
OG0002505	LOC129790267	ASTEI20_035738
OG0002506	LOC129786984	ASTEI20_038268
OG0002507	LOC129786983	ASTEI20_045982
OG0002508	LOC129787412	ASTEI20_038512
OG0002509	LOC129796998	ASTEI20_031872
OG0002510	LOC129791800	ASTEI20_037918
OG0002511	LOC129797402	ASTEI20_037407
OG0002512	LOC129790994	ASTEI20_041413
OG0002513	LOC129786485, LOC129786483	ASTEI20_045974
OG0002514	LOC129788143	ASTEI20_044140, ASTEI20_032914
OG0002515	LOC129797549	ASTEI20_041972
OG0002516	LOC129792429	ASTEI20_041969, ASTEI20_035920
OG0002517	LOC129791599	ASTEI20_045744
OG0002518	LOC129794086	ASTEI20_031506, ASTEI20_042710
OG0002519	LOC129786589	ASTEI20_041783
OG0002520	LOC129795012	ASTEI20_043834, ASTEI20_039522
OG0002522	LOC129793999	ASTEI20_041608
OG0002523	LOC129792441, LOC129791102	ASTEI20_037909
OG0002524	LOC129791630	ASTEI20_037072
OG0002525	LOC129797592	ASTEI20_041045, ASTEI20_040408
OG0002526	LOC129787633	ASTEI20_040572
OG0002527	LOC129790487	ASTEI20_040300, ASTEI20_035617
OG0002528	LOC129796578	ASTEI20_040589
OG0002529	LOC129797613	ASTEI20_044031, ASTEI20_032887
OG0002530	LOC129789414	ASTEI20_039624
OG0002533	LOC129796137	ASTEI20_040051
OG0002534	LOC129789534	ASTEI20_034687
OG0002535	LOC129794815	ASTEI20_036572
OG0002536	LOC129791672	ASTEI20_040319, ASTEI20_033409
OG0002538	LOC129790714	ASTEI20_043364, ASTEI20_034355
OG0002539	LOC129789052	ASTEI20_031901, ASTEI20_039058
OG0002540	LOC129797495	ASTEI20_040218, ASTEI20_041956
OG0002541	LOC129789005	ASTEI20_033353, ASTEI20_042437
OG0002542	LOC129793750	ASTEI20_034298
OG0002543	LOC129797455	ASTEI20_044718
OG0002544	LOC129789455	ASTEI20_035797
OG0002545	LOC129788989	ASTEI20_034964
OG0002546	LOC129788340	ASTEI20_030882
OG0002547	LOC129792314	ASTEI20_033704
OG0002548	LOC129792134	ASTEI20_043228
OG0002550	LOC129794627, LOC129797017	ASTEI20_041622
OG0002551	LOC129786529, LOC129786533, LOC129786531	ASTEI20_032310
OG0002552	LOC129786445	ASTEI20_034956
OG0002553	LOC129789486	ASTEI20_045149
OG0002554	LOC129795184	ASTEI20_037299
OG0002555	LOC129786513	ASTEI20_039256
OG0002556	LOC129796819	ASTEI20_039373, ASTEI20_043451
OG0002557	LOC129795783	ASTEI20_045595, ASTEI20_042654
OG0002558	LOC129787179	ASTEI20_034442, ASTEI20_031186
OG0002561	LOC129787231	ASTEI20_041644
OG0002562	LOC129792527	ASTEI20_033414
OG0002563	LOC129792521	ASTEI20_032520
OG0002564	LOC129792823, LOC129792824	ASTEI20_042008
OG0002565	LOC129795789	ASTEI20_032626
OG0002566	LOC129795720	ASTEI20_033943
OG0002567	LOC129796882	ASTEI20_035400
OG0002568	LOC129795880	ASTEI20_039946
OG0002571	LOC129790829	ASTEI20_043652
OG0002572	LOC129788589	ASTEI20_033910
OG0002573	LOC129797580	ASTEI20_032901
OG0002574	LOC129790149	ASTEI20_045427
OG0002575	LOC129786052	ASTEI20_045506
OG0002576	LOC129786026	ASTEI20_037804
OG0002577	LOC129792319	ASTEI20_035354, ASTEI20_042875
OG0002578	LOC129796386	ASTEI20_042756
OG0002579	LOC129795992	ASTEI20_042990, ASTEI20_044995
OG0002580	LOC129788075	ASTEI20_032280
OG0002581	LOC129788821	ASTEI20_040965
OG0002583	LOC129788078	ASTEI20_040229
OG0002584	LOC129795888	ASTEI20_037323
OG0002585	LOC129796775	ASTEI20_042287
OG0002586	LOC129786706	ASTEI20_037089
OG0002587	LOC129796136	ASTEI20_033913
OG0002588	LOC129795432	ASTEI20_036831
OG0002589	LOC129795429	ASTEI20_040411
OG0002590	LOC129795308	ASTEI20_038727
OG0002591	LOC129797839	ASTEI20_044730
OG0002592	LOC129787744	ASTEI20_031830
OG0002595	LOC129791461	ASTEI20_033108
OG0002596	LOC129797435	ASTEI20_031214
OG0002597	LOC129796801	ASTEI20_033146
OG0002598	LOC129793798	ASTEI20_043412
OG0002599	LOC129788919, LOC129788918	ASTEI20_041729
OG0002600	LOC129788917	ASTEI20_033142
OG0002601	LOC129793503	ASTEI20_036714
OG0002602	LOC129794214	ASTEI20_036206
OG0002603	LOC129793616	ASTEI20_034531, ASTEI20_044362
OG0002604	LOC129789823	ASTEI20_034460
OG0002605	LOC129791149	ASTEI20_043828
OG0002606	LOC129793535	ASTEI20_034119
OG0002607	LOC129786254	ASTEI20_042179
OG0002608	LOC129795860	ASTEI20_032273
OG0002609	LOC129787569	ASTEI20_032834
OG0002610	LOC129796402	ASTEI20_031782
OG0002611	LOC129793043	ASTEI20_032923, ASTEI20_039961
OG0002612	LOC129791612	ASTEI20_038694
OG0002613	LOC129795404	ASTEI20_039114
OG0002614	LOC129797182	ASTEI20_041294
OG0002615	LOC129797181	ASTEI20_031831
OG0002616	LOC129796842	ASTEI20_032715
OG0002617	LOC129797184	ASTEI20_031741
OG0002618	LOC129791551	ASTEI20_043199
OG0002619	LOC129788926	ASTEI20_031503
OG0002620	LOC129795615	ASTEI20_037331
OG0002623	LOC129787768	ASTEI20_035735
OG0002624	LOC129786992, LOC129786328	ASTEI20_039095
OG0002625	LOC129786062	ASTEI20_035804
OG0002626	LOC129795487	ASTEI20_045075
OG0002627	LOC129787922	ASTEI20_041284
OG0002628	LOC129787925	ASTEI20_040400
OG0002629	LOC129786702	ASTEI20_032528, ASTEI20_045109
OG0002630	LOC129786685	ASTEI20_044282, ASTEI20_042569
OG0002631	LOC129788511	ASTEI20_044930
OG0002632	LOC129789790	ASTEI20_033974
OG0002633	LOC129797512	ASTEI20_042864
OG0002634	LOC129790315	ASTEI20_043779
OG0002635	LOC129797851, LOC129785829	ASTEI20_039991
OG0002636	LOC129792847	ASTEI20_043411
OG0002637	LOC129797840	ASTEI20_041019
OG0002638	LOC129792613	ASTEI20_045451
OG0002639	LOC129789068	ASTEI20_035522
OG0002640	LOC129789037	ASTEI20_044222
OG0002642	LOC129793351	ASTEI20_041975
OG0002643	LOC129790204	ASTEI20_046004
OG0002644	LOC129791074	ASTEI20_039429
OG0002645	LOC129788894	ASTEI20_035589
OG0002646	LOC129786831	ASTEI20_041583
OG0002647	LOC129791760	ASTEI20_040828
OG0002648	LOC129788889	ASTEI20_036088
OG0002649	LOC129795280	ASTEI20_031321
OG0002650	LOC129792891	ASTEI20_036303, ASTEI20_036853
OG0002651	LOC129797255	ASTEI20_039359
OG0002652	LOC129793155	ASTEI20_039628
OG0002653	LOC129786439	ASTEI20_046087
OG0002654	LOC129796350	ASTEI20_035105
OG0002655	LOC129797444	ASTEI20_035128
OG0002656	LOC129797614	ASTEI20_031306
OG0002657	LOC129790444	ASTEI20_035087
OG0002658	LOC129790596	ASTEI20_044409
OG0002659	LOC129787735	ASTEI20_033191
OG0002660	LOC129790510	ASTEI20_040944
OG0002661	LOC129793449	ASTEI20_044156
OG0002662	LOC129796043	ASTEI20_042739
OG0002663	LOC129795117	ASTEI20_042110
OG0002664	LOC129795846	ASTEI20_040064
OG0002665	LOC129790789	ASTEI20_039311
OG0002666	LOC129789285	ASTEI20_033825
OG0002667	LOC129793016	ASTEI20_037086, ASTEI20_031475
OG0002668	LOC129792492	ASTEI20_034049, ASTEI20_042383
OG0002669	LOC129792498	ASTEI20_040960, ASTEI20_041174
OG0002671	LOC129786442	ASTEI20_045447, ASTEI20_040986
OG0002672	LOC129793309	ASTEI20_031685, ASTEI20_041559
OG0002673	LOC129789428	ASTEI20_040882
OG0002674	LOC129786408	ASTEI20_031197
OG0002675	LOC129791192	ASTEI20_041811
OG0002676	LOC129786852	ASTEI20_044763
OG0002677	LOC129788928	ASTEI20_043797
OG0002678	LOC129790563	ASTEI20_031560, ASTEI20_038202
OG0002679	LOC129795610	ASTEI20_034056
OG0002680	LOC129786050	ASTEI20_041046
OG0002681	LOC129795560	ASTEI20_041137
OG0002682	LOC129797445	ASTEI20_042677
OG0002683	LOC129797291	ASTEI20_042553
OG0002684	LOC129792912	ASTEI20_042353
OG0002685	LOC129787159	ASTEI20_043001
OG0002688	LOC129793915, LOC129786178	ASTEI20_042015
OG0002691	LOC129785946	ASTEI20_033358
OG0002692	LOC129788981	ASTEI20_038130
OG0002693	LOC129789775	ASTEI20_041982
OG0002694	LOC129788636	ASTEI20_045448, ASTEI20_031984
OG0002695	LOC129789873	ASTEI20_038062
OG0002696	LOC129792253	ASTEI20_031886
OG0002697	LOC129789854	ASTEI20_031906
OG0002698	LOC129795178	ASTEI20_042849
OG0002699	LOC129787504	ASTEI20_037320
OG0002701	LOC129791883	ASTEI20_037005, ASTEI20_042417
OG0002702	LOC129793902, LOC129786946	ASTEI20_035896
OG0002703	LOC129786645	ASTEI20_031236
OG0002704	LOC129786726	ASTEI20_044831
OG0002705	LOC129787415	ASTEI20_034135
OG0002706	LOC129791437	ASTEI20_039071
OG0002707	LOC129786763	ASTEI20_034373
OG0002708	LOC129789791	ASTEI20_037874
OG0002709	LOC129790141	ASTEI20_034576, ASTEI20_041616
OG0002710	LOC129790160	ASTEI20_035573
OG0002711	LOC129789270	ASTEI20_045241
OG0002712	LOC129790801	ASTEI20_032114
OG0002713	LOC129792917, LOC129797476	ASTEI20_039720
OG0002714	LOC129791727	ASTEI20_035363
OG0002716	LOC129787000	ASTEI20_032751
OG0002717	LOC129792895	ASTEI20_036819
OG0002718	LOC129792901	ASTEI20_031399
OG0002719	LOC129795851	ASTEI20_040366
OG0002720	LOC129796584	ASTEI20_045442
OG0002721	LOC129788588	ASTEI20_040039
OG0002722	LOC129791942	ASTEI20_041800, ASTEI20_031111
OG0002723	LOC129792821, LOC129791408	ASTEI20_045994
OG0002724	LOC129793129	ASTEI20_038342
OG0002725	LOC129796533	ASTEI20_031157
OG0002726	LOC129792647, LOC129792670	ASTEI20_041301
OG0002728	LOC129794945	ASTEI20_035790
OG0002729	LOC129796594	ASTEI20_031086
OG0002730	LOC129794886	ASTEI20_039692
OG0002731	LOC129796598	ASTEI20_042024
OG0002732	LOC129792070, LOC129792080	ASTEI20_040871
OG0002733	LOC129796487	ASTEI20_030963, ASTEI20_041636
OG0002734	LOC129788008	ASTEI20_032202
OG0002735	LOC129790711	ASTEI20_036560
OG0002736	LOC129791964	ASTEI20_041110
OG0002737	LOC129788988, LOC129788983	ASTEI20_040806
OG0002738	LOC129792731	ASTEI20_035069
OG0002739	LOC129795470	ASTEI20_041265
OG0002740	LOC129787546	ASTEI20_041755
OG0002741	LOC129796250	ASTEI20_036539
OG0002742	LOC129795871	ASTEI20_030844, ASTEI20_035759
OG0002743	LOC129793895	ASTEI20_043022
OG0002744	LOC129786920	ASTEI20_031751
OG0002745	LOC129789998	ASTEI20_034953, ASTEI20_045561
OG0002746	LOC129790464	ASTEI20_043154
OG0002747	LOC129788797	ASTEI20_031557
OG0002748	LOC129788684, LOC129794873	ASTEI20_046073
OG0002749	LOC129793463	ASTEI20_039169
OG0002750	LOC129795625	ASTEI20_042042
OG0002751	LOC129795779	ASTEI20_043268
OG0002752	LOC129790741	ASTEI20_041355
OG0002753	LOC129788737	ASTEI20_035001, ASTEI20_031439
OG0002754	LOC129790083	ASTEI20_042986
OG0002755	LOC129791336	ASTEI20_043255
OG0002756	LOC129792397	ASTEI20_034007
OG0002757	LOC129792360	ASTEI20_031669
OG0002758	LOC129792701	ASTEI20_042455, ASTEI20_039445
OG0002759	LOC129793350	ASTEI20_044708, ASTEI20_034792
OG0002760	LOC129793365	ASTEI20_035437, ASTEI20_033075
OG0002762	LOC129788621	ASTEI20_037355, ASTEI20_035606
OG0002763	LOC129788613	ASTEI20_037374
OG0002764	LOC129797029	ASTEI20_036008
OG0002765	LOC129795195	ASTEI20_038395
