Orthogroup	LlongipalpisASM	AminimusMINIMUS1
OG0001615	LOC129793898	AMIN002543
OG0001616	LOC129792007	AMIN008207
OG0001617	LOC129790376	AMIN003867
OG0001618	LOC129792832, LOC129787634	AMIN002552
OG0001619	LOC129786506, LOC129786488	AMIN009082
OG0001620	LOC129786438	AMIN009076
OG0001621	LOC129787620	AMIN007133
OG0001622	LOC129792130	AMIN008991
OG0001623	LOC129787944	AMIN000212
OG0001624	LOC129787347	AMIN009727
OG0001625	LOC129796179	AMIN016222
OG0001626	LOC129792140, LOC129797795	AMIN016236
OG0001627	LOC129797847	AMIN002736
OG0001628	LOC129791569	AMIN011153
OG0001630	LOC129795633	AMIN005818
OG0001631	LOC129786221	AMIN002655
OG0001632	LOC129793617	AMIN011494, AMIN011492, AMIN011495
OG0001633	LOC129789417	AMIN001413
OG0001634	LOC129796839	AMIN001878
OG0001635	LOC129795027	AMIN002954
OG0001636	LOC129790733	AMIN002952
OG0001637	LOC129790595	AMIN001620, AMIN001621
OG0001638	LOC129790797	AMIN014197, AMIN001924
OG0001639	LOC129796206	AMIN009729
OG0001640	LOC129789851, LOC129789850, LOC129789085	AMIN001727
OG0001641	LOC129790175	AMIN010513
OG0001642	LOC129793308	AMIN016032
OG0001643	LOC129797437	AMIN000337, AMIN000338
OG0001644	LOC129796435	AMIN000528
OG0001645	LOC129795123	AMIN003320
OG0001647	LOC129796554	AMIN000456
OG0001648	LOC129787158	AMIN000474
OG0001649	LOC129786326, LOC129795316, LOC129786322	AMIN010588
OG0001650	LOC129790931	AMIN001986, AMIN001985
OG0001651	LOC129790887	AMIN001983
OG0001652	LOC129786116	AMIN004587
OG0001654	LOC129789585	AMIN010756
OG0001655	LOC129789602	AMIN005792
OG0001656	LOC129788086	AMIN006186
OG0001657	LOC129789357	AMIN016153
OG0001658	LOC129786809	AMIN002815
OG0001659	LOC129793899	AMIN008225
OG0001660	LOC129786022	AMIN003346
OG0001661	LOC129786658	AMIN009074
OG0001662	LOC129792648	AMIN006302
OG0001663	LOC129796251	AMIN014628
OG0001664	LOC129790572	AMIN005474
OG0001665	LOC129790134	AMIN004491
OG0001666	LOC129789751	AMIN005479
OG0001667	LOC129790063	AMIN010062, AMIN005572
OG0001668	LOC129793929	AMIN000236
OG0001669	LOC129792436	AMIN007557
OG0001670	LOC129795951	AMIN006905, AMIN004952, AMIN004953
OG0001671	LOC129788616	AMIN006353
OG0001672	LOC129789273, LOC129789272	AMIN010337
OG0001673	LOC129787185	AMIN004565
OG0001674	LOC129792010	AMIN010633
OG0001675	LOC129791982	AMIN010632
OG0001676	LOC129795464	AMIN014634, AMIN008119
OG0001677	LOC129797117	AMIN002429
OG0001678	LOC129789742	AMIN005374
OG0001679	LOC129788938	AMIN005705, AMIN005708
OG0001680	LOC129797090	AMIN003163
OG0001681	LOC129794747, LOC129794746	AMIN004248
OG0001682	LOC129788060	AMIN009446
OG0001683	LOC129790728	AMIN004904
OG0001684	LOC129790725	AMIN004905
OG0001685	LOC129793889	AMIN002994
OG0001686	LOC129796857	AMIN000150
OG0001688	LOC129797292, LOC129797293, LOC129786585	AMIN006563
OG0001689	LOC129787992	AMIN005738
OG0001690	LOC129789156	AMIN005716
OG0001691	LOC129793247, LOC129793246	AMIN002277
OG0001692	LOC129790239	AMIN001087
OG0001694	LOC129787868	AMIN000112, AMIN000111
OG0001695	LOC129786751	AMIN003825
OG0001696	LOC129788426	AMIN003087
OG0001697	LOC129792997	AMIN011457
OG0001699	LOC129795526	AMIN007190
OG0001700	LOC129793749, LOC129791126, LOC129789479	AMIN006163
OG0001702	LOC129789529	AMIN007162
OG0001704	LOC129785963	AMIN008503
OG0001705	LOC129797629	AMIN004423, AMIN004424
OG0001706	LOC129789605, LOC129795515	AMIN004427
OG0001708	LOC129797541, LOC129792617, LOC129792400	AMIN011340
OG0001709	LOC129787238, LOC129790388	AMIN004221
OG0001710	LOC129796140	AMIN007022
OG0001711	LOC129788442	AMIN009564
OG0001712	LOC129789964	AMIN005114
OG0001714	LOC129791296	AMIN009480
OG0001715	LOC129796923	AMIN007500, AMIN007498
OG0001716	LOC129790480	AMIN009853, AMIN009378
OG0001717	LOC129789932	AMIN009855, AMIN009856
OG0001718	LOC129797155	AMIN000197, AMIN000198
OG0001719	LOC129791721	AMIN007341
OG0001720	LOC129786098	AMIN004085
OG0001721	LOC129785973	AMIN000752
OG0001722	LOC129797064	AMIN000262
OG0001723	LOC129795874	AMIN000260
OG0001724	LOC129786652	AMIN015519
OG0001725	LOC129794113	AMIN011280
OG0001726	LOC129792607, LOC129792727	AMIN010691
OG0001727	LOC129788794	AMIN005082
OG0001728	LOC129787839	AMIN008781
OG0001730	LOC129796021	AMIN010737, AMIN010736
OG0001731	LOC129788792, LOC129791986	AMIN008041
OG0001732	LOC129796695	AMIN008097
OG0001733	LOC129786263	AMIN008094
OG0001734	LOC129791737, LOC129792398	AMIN000136
OG0001735	LOC129790824	AMIN004224, AMIN000973
OG0001736	LOC129796096	AMIN000931
OG0001737	LOC129795468	AMIN006545
OG0001738	LOC129788301	AMIN005607
OG0001741	LOC129787555	AMIN002561
OG0001742	LOC129792632	AMIN005632
OG0001743	LOC129792747	AMIN001594
OG0001744	LOC129787602	AMIN015660
OG0001745	LOC129787587	AMIN001592
OG0001746	LOC129797065	AMIN015661
OG0001747	LOC129794259	AMIN008181, AMIN008179
OG0001748	LOC129786441	AMIN004574
OG0001749	LOC129792376	AMIN011276, AMIN007287
OG0001750	LOC129790222	AMIN005729, AMIN005730
OG0001751	LOC129794909	AMIN004323
OG0001752	LOC129786866	AMIN003462
OG0001753	LOC129796574, LOC129796573	AMIN008741, AMIN008743
OG0001754	LOC129788770, LOC129788776, LOC129795979	AMIN008552
OG0001755	LOC129794760	AMIN001509
OG0001756	LOC129791759	AMIN008028, AMIN008031
OG0001757	LOC129789606	AMIN003463
OG0001758	LOC129789116	AMIN001687
OG0001759	LOC129789065	AMIN001685
OG0001760	LOC129787052	AMIN002035
OG0001762	LOC129792088	AMIN005252, AMIN005251
OG0001763	LOC129791736	AMIN010356
OG0001764	LOC129794248	AMIN010999, AMIN011001
OG0001765	LOC129793816	AMIN011004, AMIN011005
OG0001767	LOC129785893	AMIN000602
OG0001768	LOC129792769	AMIN007696, AMIN007697
OG0001769	LOC129793630	AMIN000601
OG0001771	LOC129788791	AMIN001562, AMIN001533
OG0001772	LOC129789245, LOC129789345	AMIN001558
OG0001773	LOC129792735	AMIN000414
OG0001774	LOC129789403	AMIN000407
OG0001775	LOC129790827	AMIN009768
OG0001776	LOC129793498	AMIN007983
OG0001777	LOC129788364	AMIN001453
OG0001778	LOC129797665	AMIN002634, AMIN002636
OG0001779	LOC129794840	AMIN004320
OG0001780	LOC129794939	AMIN004319
OG0001781	LOC129793429	AMIN003397
OG0001782	LOC129787820	AMIN003735
OG0001783	LOC129786246	AMIN004878
OG0001784	LOC129793241	AMIN011220
OG0001785	LOC129787696, LOC129787686	AMIN003468
OG0001786	LOC129791199	AMIN006328, AMIN006329
OG0001787	LOC129791381	AMIN005488
OG0001788	LOC129792127	AMIN010624
OG0001789	LOC129792135	AMIN010625
OG0001790	LOC129790876	AMIN002012
OG0001791	LOC129786553	AMIN003556
OG0001792	LOC129796385	AMIN009998
OG0001793	LOC129792442	AMIN009986
OG0001794	LOC129797226	AMIN009987
OG0001795	LOC129789520, LOC129789252	AMIN005564
OG0001796	LOC129792783	AMIN015771
OG0001798	LOC129787211	AMIN003399
OG0001799	LOC129788959	AMIN000646
OG0001800	LOC129788729	AMIN001449
OG0001802	LOC129797610	AMIN014005, AMIN000079, AMIN000080
OG0001803	LOC129791007, LOC129791008	AMIN005838
OG0001804	LOC129795693	AMIN006121
OG0001805	LOC129790995	AMIN015793, AMIN015794
OG0001806	LOC129792413	AMIN009902, AMIN009903
OG0001807	LOC129791367	AMIN009387, AMIN009388
OG0001808	LOC129792755	AMIN011580, AMIN011581
OG0001811	LOC129792465	AMIN002928
OG0001812	LOC129787649	AMIN005218
OG0001813	LOC129793732, LOC129793734	AMIN010630
OG0001814	LOC129792252	AMIN010631
OG0001815	LOC129787405	AMIN001576, AMIN001574
OG0001816	LOC129793276	AMIN011109
OG0001817	LOC129790365	AMIN009741, AMIN009740
OG0001818	LOC129787508	AMIN010148
OG0001819	LOC129789556	AMIN005653
OG0001820	LOC129793706	AMIN010360, AMIN010361
OG0001821	LOC129791557	AMIN007908
OG0001822	LOC129793139	AMIN009715
OG0001823	LOC129791671	AMIN010415
OG0001824	LOC129790984	AMIN006690
OG0001825	LOC129795054	AMIN005256
OG0001827	LOC129787714, LOC129787776	AMIN005095
OG0001829	LOC129795457	AMIN008903
OG0001830	LOC129795064	AMIN007611
OG0001831	LOC129790640	AMIN002093
OG0001832	LOC129795501	AMIN008561
OG0001833	LOC129791389	AMIN007185
OG0001834	LOC129792115	AMIN015497
OG0001835	LOC129787975	AMIN004932, AMIN004933
OG0001837	LOC129787074	AMIN004883, AMIN004881
OG0001838	LOC129795573	AMIN008289, AMIN008290
OG0001839	LOC129791005	AMIN001761
OG0001840	LOC129788825	AMIN005561
OG0001841	LOC129791580	AMIN010560
OG0001842	LOC129794817	AMIN009351
OG0001843	LOC129788150	AMIN003499, AMIN003500
OG0001844	LOC129797361	AMIN006986
OG0001845	LOC129792975	AMIN015778
OG0001846	LOC129796912	AMIN008369
OG0001848	LOC129790690	AMIN005470
OG0001849	LOC129796195	AMIN008447, AMIN008446
OG0001850	LOC129792298	AMIN000620, AMIN000621
OG0001851	LOC129797616, LOC129797574	AMIN002423
OG0001852	LOC129797324	AMIN008435, AMIN008434
OG0001853	LOC129794826	AMIN015973
OG0001854	LOC129794842	AMIN004311
OG0001855	LOC129794073	AMIN007620, AMIN007619
OG0001856	LOC129789363	AMIN015737
OG0001857	LOC129797241	AMIN003689, AMIN003690
OG0001858	LOC129796202, LOC129796420	AMIN016030
OG0001859	LOC129791467	AMIN003454
OG0001860	LOC129796988	AMIN000263
OG0001861	LOC129792410	AMIN010248
OG0001862	LOC129787215	AMIN003396
OG0001863	LOC129792072	AMIN008168
OG0001864	LOC129790855	AMIN009862
OG0001865	LOC129790845	AMIN005321
OG0001866	LOC129795328	AMIN003416, AMIN003418
OG0001867	LOC129788957	AMIN005984
OG0001868	LOC129787270	AMIN004673, AMIN004674
OG0001869	LOC129795513	AMIN004954, AMIN006497, AMIN004999
OG0001870	LOC129786560	AMIN000808
OG0001871	LOC129787708	AMIN007313
OG0001873	LOC129787651	AMIN002562
OG0001874	LOC129795307	AMIN003048, AMIN003047
OG0001875	LOC129794108	AMIN010798, AMIN010797
OG0001876	LOC129786760	AMIN004600, AMIN004595
OG0001879	LOC129794824	AMIN008890
OG0001880	LOC129786509	AMIN002697, AMIN002696, AMIN011086, AMIN002698
OG0001881	LOC129787945, LOC129794298, LOC129794305	AMIN009979
OG0001883	LOC129793191	AMIN009931
OG0001884	LOC129790026	AMIN001054
OG0001885	LOC129791203	AMIN002968
OG0001886	LOC129785854	AMIN005742
OG0001887	LOC129789344, LOC129789624	AMIN005613
OG0001889	LOC129789558	AMIN005658, AMIN005661
OG0001890	LOC129796812	AMIN008213
OG0001891	LOC129788054	AMIN009438
OG0001892	LOC129787869	AMIN000116, AMIN000114
OG0001893	LOC129795913	AMIN004384, AMIN004338
OG0001894	LOC129790362	AMIN002076
OG0001895	LOC129793818	AMIN010600
OG0001896	LOC129788046	AMIN001064
OG0001897	LOC129790146	AMIN005514, AMIN005515
OG0001898	LOC129793044, LOC129790873, LOC129793877	AMIN005288
OG0001899	LOC129788657	AMIN006008
OG0001901	LOC129791155	AMIN006378
OG0001902	LOC129792775	AMIN002991
OG0001905	LOC129787833	AMIN000638
OG0001906	LOC129788661	AMIN004037
OG0001908	LOC129787564	AMIN002563
OG0001909	LOC129790425	AMIN006182
OG0001912	LOC129795945	AMIN004504
OG0001913	LOC129790847	AMIN005221, AMIN005223
OG0001914	LOC129794648	AMIN011518
OG0001915	LOC129795734	AMIN003811
OG0001916	LOC129791707	AMIN000785
OG0001917	LOC129795172, LOC129795169	AMIN003280
OG0001918	LOC129790323	AMIN002067
OG0001919	LOC129791890	AMIN016209, AMIN010174
OG0001920	LOC129789627	AMIN000410
OG0001923	LOC129792576	AMIN011279
OG0001924	LOC129788384	AMIN006781
OG0001925	LOC129791354	AMIN002090
OG0001926	LOC129789853	AMIN005567
OG0001928	LOC129787417	AMIN011226
OG0001929	LOC129790888	AMIN005224
OG0001930	LOC129791566	AMIN016212
OG0001931	LOC129788027	AMIN001231, AMIN001193
OG0001933	LOC129790383	AMIN000149
OG0001934	LOC129793593	AMIN011386
OG0001935	LOC129787271	AMIN001324
OG0001937	LOC129792078	AMIN010521, AMIN010519
OG0001938	LOC129796602	AMIN006913
OG0001939	LOC129787144	AMIN015735
OG0001940	LOC129788550	AMIN005390, AMIN005388
OG0001941	LOC129790566	AMIN005486
OG0001942	LOC129787632, LOC129787549	AMIN007330, AMIN007331
OG0001943	LOC129787936	AMIN003533
OG0001944	LOC129787103	AMIN004312
OG0001945	LOC129788609	AMIN005359
OG0001946	LOC129789835	AMIN006606
OG0001947	LOC129793148	AMIN007109, AMIN007108
OG0001948	LOC129790027	AMIN005424
OG0001949	LOC129791154	AMIN001886
OG0001950	LOC129791722	AMIN015502, AMIN007679
OG0001951	LOC129788275	AMIN001795
OG0001952	LOC129794314	AMIN011287
OG0001953	LOC129793162	AMIN010183
OG0001954	LOC129794292	AMIN009989
OG0001955	LOC129792214	AMIN007233
OG0001956	LOC129788139	AMIN005577
OG0001957	LOC129793821	AMIN010161
OG0001958	LOC129785990	AMIN005075, AMIN004398
OG0001959	LOC129785955, LOC129786145	AMIN000834
OG0001960	LOC129789692, LOC129789672, LOC129795154	AMIN003315
OG0001961	LOC129792189	AMIN001871
OG0001962	LOC129796121	AMIN001127, AMIN001126
OG0001963	LOC129790872	AMIN009864
OG0001964	LOC129793403	AMIN007949, AMIN007950
OG0001965	LOC129795975	AMIN004289
OG0001968	LOC129790144, LOC129793916	AMIN008112
OG0001970	LOC129797434	AMIN003167
OG0001971	LOC129793531	AMIN004269
OG0001974	LOC129785856	AMIN005498
OG0001975	LOC129792950, LOC129792892	AMIN011026
OG0001976	LOC129795962	AMIN003507
OG0001977	LOC129789328	AMIN005416
OG0001978	LOC129794833, LOC129795403	AMIN015741
OG0001979	LOC129786351	AMIN000233
OG0001980	LOC129789419, LOC129789930	AMIN005639
OG0001981	LOC129796027	AMIN004852
OG0001982	LOC129789617	AMIN005659
OG0001983	LOC129789082	AMIN005588
OG0001984	LOC129789641	AMIN009185
OG0001991	LOC129786287	AMIN005459
OG0001997	LOC129787900	AMIN015625
OG0001998	LOC129790854	AMIN005634
OG0002010	LOC129786915	AMIN005093
OG0002016	LOC129794168	AMIN008680
OG0002027	LOC129786348	AMIN003035
OG0002028	LOC129786183	AMIN000742
OG0002029	LOC129786150	AMIN016063
OG0002030	LOC129796868	AMIN000729
OG0002032	LOC129796943	AMIN004840
OG0002033	LOC129796820	AMIN003566
OG0002034	LOC129790140	AMIN000883
OG0002035	LOC129789332	AMIN002860
OG0002036	LOC129797306	AMIN002474
OG0002037	LOC129786088	AMIN007459
OG0002038	LOC129797429	AMIN016265
OG0002039	LOC129797746	AMIN005004
OG0002040	LOC129797304, LOC129797307	AMIN016267
OG0002041	LOC129787111	AMIN006460
OG0002042	LOC129787206	AMIN005013
OG0002043	LOC129792702	AMIN010723
OG0002044	LOC129793762	AMIN002134
OG0002045	LOC129788678	AMIN005824
OG0002046	LOC129787153	AMIN008681
OG0002047	LOC129792995	AMIN016072
OG0002048	LOC129795712	AMIN008309
OG0002049	LOC129787065	AMIN008671
OG0002050	LOC129787969	AMIN007814, AMIN007813
OG0002052	LOC129793489	AMIN008508
OG0002053	LOC129797520	AMIN007810
OG0002054	LOC129796471	AMIN008924
OG0002055	LOC129795446	AMIN014085, AMIN000846
OG0002056	LOC129796303	AMIN004044
OG0002057	LOC129796472	AMIN000848
OG0002058	LOC129793910	AMIN000655
OG0002059	LOC129796534	AMIN004816
OG0002060	LOC129794853	AMIN000849
OG0002061	LOC129787988	AMIN000654
OG0002062	LOC129796074	AMIN003590, AMIN003592
OG0002063	LOC129797489	AMIN000395
OG0002064	LOC129796436	AMIN008791
OG0002065	LOC129792004, LOC129794614	AMIN009170
OG0002066	LOC129796138	AMIN009163
OG0002067	LOC129795350	AMIN003419
OG0002068	LOC129797761	AMIN003413
OG0002069	LOC129797826, LOC129788594	AMIN009474
OG0002072	LOC129789432	AMIN004763
OG0002073	LOC129794275	AMIN007740
OG0002074	LOC129792662	AMIN007739
OG0002075	LOC129792271	AMIN007737
OG0002076	LOC129792610	AMIN007738
OG0002077	LOC129795742	AMIN008560
OG0002078	LOC129786002	AMIN003972
OG0002079	LOC129786109	AMIN003975
OG0002080	LOC129794911	AMIN003973
OG0002081	LOC129788016, LOC129795800	AMIN004275
OG0002082	LOC129794597	AMIN009309
OG0002083	LOC129787679	AMIN008954
OG0002084	LOC129791859	AMIN003006
OG0002085	LOC129788403, LOC129788402	AMIN011061
OG0002086	LOC129786135, LOC129786019	AMIN008582
OG0002087	LOC129796881	AMIN008197
OG0002088	LOC129795724	AMIN001301
OG0002089	LOC129796615	AMIN001310
OG0002090	LOC129796235	AMIN004529
OG0002091	LOC129788450	AMIN011062
OG0002092	LOC129787669	AMIN008580
OG0002094	LOC129795213	AMIN008340
OG0002095	LOC129786568	AMIN000347
OG0002098	LOC129785822	AMIN003332
OG0002099	LOC129797209	AMIN003072
OG0002100	LOC129793188, LOC129793187	AMIN003711
OG0002101	LOC129787041	AMIN003633
OG0002102	LOC129787051	AMIN003178
OG0002103	LOC129790062	AMIN005570
OG0002104	LOC129795021, LOC129788515	AMIN006918
OG0002105	LOC129790023	AMIN009567
OG0002106	LOC129791064	AMIN001475
OG0002107	LOC129796177	AMIN001474
OG0002108	LOC129788481	AMIN015991
OG0002109	LOC129791914	AMIN011619
OG0002110	LOC129790068	AMIN001186
OG0002111	LOC129796167	AMIN009452
OG0002112	LOC129789295	AMIN005799
OG0002113	LOC129788380	AMIN001551
OG0002114	LOC129790798	AMIN009929
OG0002115	LOC129792622	AMIN011435, AMIN011436
OG0002116	LOC129791818	AMIN007541
OG0002117	LOC129792628	AMIN010906
OG0002118	LOC129792365	AMIN011643
OG0002119	LOC129792165	AMIN009961
OG0002120	LOC129786317	AMIN002109
OG0002122	LOC129791865	AMIN006443
OG0002123	LOC129792550	AMIN010541
OG0002124	LOC129792128	AMIN007304
OG0002125	LOC129789847, LOC129791422	AMIN009682
OG0002126	LOC129793297	AMIN007369
OG0002127	LOC129792100	AMIN007276
OG0002128	LOC129792548	AMIN010480
OG0002129	LOC129792129	AMIN010466
OG0002130	LOC129794340	AMIN010475
OG0002131	LOC129797194	AMIN010474
OG0002132	LOC129792102	AMIN010476
OG0002133	LOC129793858	AMIN010454
OG0002134	LOC129790066	AMIN005571
OG0002135	LOC129795626	AMIN001648
OG0002136	LOC129789141	AMIN005998
OG0002137	LOC129789022	AMIN006808
OG0002138	LOC129786190	AMIN007157
OG0002139	LOC129788531	AMIN005947
OG0002140	LOC129792041	AMIN001181
OG0002141	LOC129794790	AMIN005989
OG0002142	LOC129794293	AMIN001649
OG0002143	LOC129794878	AMIN008877
OG0002144	LOC129796165	AMIN008865
OG0002145	LOC129794992	AMIN008872
OG0002146	LOC129792611	AMIN010223
OG0002149	LOC129795812	AMIN010343
OG0002150	LOC129793207	AMIN010211
OG0002151	LOC129792849	AMIN010258
OG0002152	LOC129787483	AMIN010216
OG0002153	LOC129792349	AMIN001367
OG0002154	LOC129786459	AMIN006403
OG0002156	LOC129795641	AMIN006042
OG0002157	LOC129794282	AMIN010929
OG0002158	LOC129792677	AMIN011547
OG0002159	LOC129793989	AMIN011542
OG0002160	LOC129788807	AMIN001568
OG0002161	LOC129789584	AMIN001351
OG0002162	LOC129792208	AMIN001569
OG0002163	LOC129789633, LOC129795922	AMIN005940
OG0002164	LOC129789915	AMIN001347
OG0002165	LOC129790660	AMIN006362
OG0002166	LOC129788457	AMIN001180
OG0002167	LOC129793573	AMIN007218
OG0002168	LOC129790952	AMIN006366
OG0002169	LOC129789473	AMIN006364
OG0002170	LOC129790189	AMIN007220
OG0002171	LOC129790264	AMIN009559
OG0002172	LOC129789140	AMIN007219
OG0002173	LOC129789107	AMIN009690
OG0002174	LOC129790705, LOC129790700	AMIN009428
OG0002176	LOC129789087	AMIN009699
OG0002177	LOC129795949	AMIN009066
OG0002178	LOC129795722	AMIN009064
OG0002179	LOC129789021	AMIN006223
OG0002180	LOC129793143	AMIN006207
OG0002181	LOC129790196	AMIN006227
OG0002182	LOC129786453	AMIN015600
OG0002183	LOC129791374	AMIN006189, AMIN001209
OG0002184	LOC129797310	AMIN003881
OG0002185	LOC129795865	AMIN004055
OG0002186	LOC129797706	AMIN003245
OG0002187	LOC129786836	AMIN015560
OG0002188	LOC129786895	AMIN015561
OG0002189	LOC129787436	AMIN005353
OG0002190	LOC129788388	AMIN001744
OG0002191	LOC129788510	AMIN006085
OG0002192	LOC129788448	AMIN001743
OG0002193	LOC129789440	AMIN009819
OG0002194	LOC129792408	AMIN007920
OG0002195	LOC129793090	AMIN010990
OG0002196	LOC129792947	AMIN007921
OG0002197	LOC129796307	AMIN008906
OG0002198	LOC129796032	AMIN009252
OG0002199	LOC129794812	AMIN009233
OG0002200	LOC129793181	AMIN011284
OG0002201	LOC129793237	AMIN007387
OG0002202	LOC129793200	AMIN007390
OG0002203	LOC129793485	AMIN007717
OG0002204	LOC129788693	AMIN002121
OG0002205	LOC129794185	AMIN011282
OG0002206	LOC129793211	AMIN007389
OG0002208	LOC129789628	AMIN001518
OG0002209	LOC129789680, LOC129789687	AMIN001540
OG0002210	LOC129791980	AMIN001593
OG0002211	LOC129787391	AMIN011063
OG0002212	LOC129797348	AMIN004772
OG0002213	LOC129788136	AMIN003786
OG0002214	LOC129788860	AMIN005748
OG0002215	LOC129786768	AMIN005125
OG0002216	LOC129794210	AMIN007316
OG0002217	LOC129793381, LOC129793379	AMIN010651
OG0002218	LOC129788862	AMIN007166
OG0002219	LOC129790860	AMIN002016
OG0002220	LOC129797609	AMIN002637
OG0002221	LOC129787562	AMIN003449
OG0002222	LOC129793261	AMIN003447
OG0002223	LOC129795732	AMIN005031
OG0002224	LOC129797443	AMIN003688
OG0002226	LOC129796496	AMIN004298
OG0002227	LOC129795589	AMIN004092
OG0002229	LOC129795588	AMIN006858
OG0002230	LOC129796777	AMIN001386
OG0002231	LOC129788560	AMIN001378
OG0002232	LOC129785910	AMIN000767
OG0002233	LOC129793461	AMIN010342
OG0002234	LOC129792716	AMIN010890
OG0002235	LOC129796803	AMIN004800
OG0002236	LOC129789903, LOC129797367	AMIN003969
OG0002237	LOC129787792	AMIN002665
OG0002238	LOC129786065	AMIN000733
OG0002239	LOC129797602	AMIN000730
OG0002240	LOC129790493	AMIN000595
OG0002241	LOC129787979	AMIN003649
OG0002242	LOC129787955	AMIN004779
OG0002244	LOC129788699	AMIN005615
OG0002245	LOC129794046	AMIN015556
OG0002246	LOC129788702	AMIN005616
OG0002247	LOC129785965	AMIN000771
OG0002248	LOC129790227, LOC129797606	AMIN005444
OG0002249	LOC129789817	AMIN011286
OG0002251	LOC129789579	AMIN000925
OG0002252	LOC129786273	AMIN000927
OG0002253	LOC129788451	AMIN008807
OG0002254	LOC129793410	AMIN003253
OG0002256	LOC129793333	AMIN003250, AMIN001938
OG0002257	LOC129786737	AMIN000803
OG0002258	LOC129788415, LOC129793194	AMIN000287
OG0002259	LOC129785858	AMIN005547
OG0002260	LOC129788509	AMIN005145
OG0002261	LOC129793788	AMIN011048
OG0002262	LOC129791873	AMIN015961
OG0002263	LOC129791669	AMIN007954
OG0002264	LOC129793023	AMIN016037
OG0002265	LOC129791657	AMIN007386
OG0002266	LOC129785912	AMIN005451
OG0002267	LOC129791731, LOC129791729	AMIN010061
OG0002268	LOC129797731	AMIN001300
OG0002270	LOC129795116	AMIN008214
OG0002271	LOC129795960	AMIN001312
OG0002272	LOC129790531	AMIN001313
OG0002273	LOC129794997	AMIN004505
OG0002274	LOC129788771	AMIN007254
OG0002275	LOC129788122, LOC129796151	AMIN003871
OG0002276	LOC129788796	AMIN007259
OG0002277	LOC129786934	AMIN003828
OG0002278	LOC129786933, LOC129786932	AMIN003833
OG0002281	LOC129787739	AMIN003524
OG0002282	LOC129788062, LOC129788066	AMIN010767
OG0002283	LOC129793663	AMIN009591
OG0002284	LOC129786555	AMIN010760
OG0002285	LOC129788063	AMIN001710
OG0002286	LOC129793658	AMIN009705
OG0002287	LOC129793672	AMIN009707
OG0002288	LOC129793661	AMIN009706
OG0002289	LOC129788137	AMIN010780
OG0002290	LOC129789278	AMIN010769
OG0002291	LOC129787557	AMIN001027
OG0002292	LOC129795898	AMIN009184
OG0002293	LOC129794480	AMIN007462
OG0002294	LOC129786106	AMIN006126
OG0002295	LOC129797132	AMIN006125
OG0002296	LOC129790316	AMIN006109
OG0002298	LOC129792758	AMIN000502
OG0002299	LOC129797168	AMIN000444
OG0002300	LOC129787547	AMIN000499
OG0002301	LOC129797203	AMIN000437
OG0002302	LOC129797189	AMIN003674
OG0002304	LOC129795418	AMIN004350
OG0002305	LOC129797328, LOC129792354	AMIN006523
OG0002306	LOC129795987	AMIN015970
OG0002307	LOC129787027	AMIN008616
OG0002308	LOC129791629	AMIN010484
OG0002309	LOC129792903	AMIN010206
OG0002310	LOC129789716	AMIN008098
OG0002311	LOC129797452	AMIN003423
OG0002312	LOC129785887	AMIN007981
OG0002313	LOC129795613	AMIN008258
OG0002314	LOC129797510	AMIN001595
OG0002315	LOC129794653	AMIN008285
OG0002316	LOC129796203	AMIN008286
OG0002317	LOC129793168	AMIN001602
OG0002318	LOC129790590	AMIN006323
OG0002319	LOC129797356	AMIN001601
OG0002321	LOC129787175	AMIN000173
OG0002322	LOC129789941, LOC129789940	AMIN000178
OG0002325	LOC129785876	AMIN003758
OG0002326	LOC129787545	AMIN002152
OG0002328	LOC129791851	AMIN006831
OG0002329	LOC129797403	AMIN002150
OG0002330	LOC129786253	AMIN007751
OG0002331	LOC129786187	AMIN004708
OG0002332	LOC129786748	AMIN003854
OG0002333	LOC129786299	AMIN004707
OG0002334	LOC129786267	AMIN004701
OG0002335	LOC129786296	AMIN004706
OG0002336	LOC129786256	AMIN004704
OG0002337	LOC129791435	AMIN005683
OG0002338	LOC129786699	AMIN007449
OG0002339	LOC129796019	AMIN009214
OG0002340	LOC129795472	AMIN000763
OG0002341	LOC129795471	AMIN000759
OG0002342	LOC129791807	AMIN003495
OG0002344	LOC129786043	AMIN000787
OG0002346	LOC129796797	AMIN001538
OG0002347	LOC129794184	AMIN004340
OG0002348	LOC129787124, LOC129789001	AMIN002918
OG0002349	LOC129787282	AMIN000669
OG0002350	LOC129787523	AMIN003148
OG0002351	LOC129787150	AMIN002910
OG0002352	LOC129790865, LOC129790231	AMIN005560
OG0002353	LOC129789284	AMIN005674
OG0002355	LOC129795357	AMIN009352
OG0002356	LOC129786496	AMIN000660
OG0002357	LOC129796952	AMIN000144
OG0002358	LOC129789471	AMIN002453
OG0002359	LOC129796826	AMIN000659
OG0002360	LOC129793096	AMIN010883
OG0002361	LOC129794309	AMIN011562
OG0002362	LOC129786375	AMIN006285
OG0002363	LOC129792566	AMIN007232
OG0002364	LOC129786277	AMIN000970
OG0002365	LOC129792656	AMIN006281
OG0002367	LOC129794620	AMIN002328
OG0002368	LOC129794057	AMIN007196
OG0002369	LOC129796302	AMIN004958
OG0002370	LOC129795401	AMIN004973
OG0002371	LOC129796313	AMIN006894
OG0002372	LOC129786076	AMIN000871
OG0002373	LOC129795733	AMIN001296
