Orthogroup	LlongipalpisASM	Aalbopictus_AalbF5
OG0001293	LOC129786935	LOC109428987, LOC109428986
OG0001294	LOC129791685	LOC109420767, LOC109420768
OG0001295	LOC129793962	LOC115253773
OG0001296	LOC129794252	LOC115253446, LOC109417626
OG0001297	LOC129797220	LOC115267280
OG0001298	LOC129797123	LOC109418502
OG0001299	LOC129787722	LOC109416152
OG0001300	LOC129797464	LOC134287657, LOC115269315, LOC115258242
OG0001301	LOC129796273	LOC109419050
OG0001302	LOC129792444	LOC134286327, LOC109409335, LOC115258647
OG0001303	LOC129797679	LOC115254181
OG0001304	LOC129791772	LOC109423814, LOC109423816
OG0001305	LOC129786484	LOC134287947, LOC134285832
OG0001306	LOC129796126, LOC129796098, LOC129796104	LOC109410908
OG0001307	LOC129792399, LOC129791720	LOC109411157
OG0001309	LOC129787408	LOC109412146
OG0001310	LOC129787452	LOC109401653, LOC109423622
OG0001312	LOC129786821	LOC134284789, LOC115253587, LOC109400069
OG0001313	LOC129787578	LOC109415593
OG0001314	LOC129796344	LOC109418486, LOC134290799
OG0001316	LOC129787612	LOC109415596
OG0001317	LOC129787196	LOC109405223
OG0001318	LOC129789533	LOC109429474
OG0001321	LOC129793272, LOC129795294, LOC129791884	LOC109404943
OG0001322	LOC129792131, LOC129793391	LOC109430816
OG0001323	LOC129785945	LOC109401483
OG0001324	LOC129792952	LOC109405167
OG0001325	LOC129794890	LOC109408945, LOC109408968, LOC109433597, LOC109431157
OG0001326	LOC129788057	LOC109417777
OG0001327	LOC129787207, LOC129788203	LOC109428554, LOC115256775
OG0001329	LOC129787650	LOC109399298, LOC109433350
OG0001331	LOC129790418	LOC109431357
OG0001332	LOC129794793	LOC109429511
OG0001333	LOC129786501	LOC109405215, LOC109400336
OG0001334	LOC129787387	LOC109429898, LOC109418351
OG0001335	LOC129792520	LOC109425652
OG0001336	LOC129791812	LOC109622846
OG0001337	LOC129788453	LOC109398792
OG0001338	LOC129795569	LOC109408443
OG0001339	LOC129797428	LOC109411545
OG0001340	LOC129789911	LOC115253815, LOC134284004
OG0001341	LOC129794983	LOC109409870
OG0001342	LOC129791318	LOC109429299
OG0001343	LOC129788194	LOC109425390
OG0001344	LOC129797436	LOC109409584
OG0001345	LOC129790255	LOC109397824
OG0001346	LOC129789567	LOC109429111
OG0001347	LOC129788984	LOC109423693
OG0001348	LOC129786210	LOC109398732
OG0001349	LOC129791767	LOC115261534
OG0001350	LOC129787246, LOC129787425, LOC129786048	LOC109398757
OG0001351	LOC129797309	LOC109409011
OG0001352	LOC129786038, LOC129794831	LOC109431771
OG0001354	LOC129791656	LOC109414240
OG0001355	LOC129790355	LOC134288770, LOC109410234
OG0001356	LOC129788536	LOC134287590, LOC109421539
OG0001357	LOC129795488	LOC134289560, LOC109416894
OG0001358	LOC129794642	LOC109401679
OG0001359	LOC129794603	LOC134289509, LOC109397126
OG0001360	LOC129794827	LOC109621323
OG0001361	LOC129787346	LOC109402379
OG0001362	LOC129788712	LOC109417226
OG0001363	LOC129794094	LOC109423859
OG0001364	LOC129790890	LOC109415242
OG0001366	LOC129788668	LOC109401936, LOC134284978
OG0001369	LOC129795634	LOC109433666
OG0001370	LOC129795437	LOC134291765, LOC115264667
OG0001371	LOC129792074	LOC115263025, LOC109410219
OG0001372	LOC129795849	LOC109431036
OG0001373	LOC129789048, LOC129789043, LOC129793651, LOC129789013	LOC109422117
OG0001374	LOC129792865	LOC109427893
OG0001375	LOC129793978, LOC129792762, LOC129795854, LOC129791830	LOC115254608
OG0001376	LOC129792898	LOC109426839
OG0001377	LOC129792532	LOC109401309
OG0001378	LOC129794706	LOC109399634
OG0001379	LOC129788726	LOC109425436
OG0001380	LOC129792424	LOC115255807
OG0001381	LOC129793780	LOC134285580, LOC109417800
OG0001382	LOC129793511, LOC129795968	LOC134284445, LOC109416467
OG0001383	LOC129797248	LOC109405057
OG0001384	LOC129792709	LOC115263576
OG0001385	LOC129789000	LOC109433599
OG0001386	LOC129795895, LOC129795900, LOC129796669	LOC115257876
OG0001387	LOC129795414	LOC109400433
OG0001388	LOC129787304	LOC109405203
OG0001389	LOC129791452	LOC109420544
OG0001390	LOC129787307	LOC109412784, LOC134284140, LOC134284141
OG0001391	LOC129789040	LOC134285373
OG0001392	LOC129792320	LOC109398078
OG0001393	LOC129788658	LOC109421628, LOC115265587
OG0001394	LOC129786332	LOC109423405
OG0001395	LOC129786709	LOC109406231
OG0001396	LOC129792394	LOC109410520
OG0001397	LOC129790720	LOC109426160, LOC109418423
OG0001398	LOC129790783	LOC109411751, LOC134287342
OG0001399	LOC129789852	LOC109404024
OG0001400	LOC129794148	LOC109410014, LOC115265144
OG0001401	LOC129785966	LOC109407868
OG0001402	LOC129788358, LOC129788323	LOC109421548
OG0001403	LOC129790814	LOC109431372
OG0001404	LOC129789519	LOC109401891
OG0001405	LOC129787029	LOC109402372
OG0001408	LOC129794090	LOC109416447
OG0001409	LOC129787691, LOC129787692, LOC129787693, LOC129787694	LOC109409967
OG0001410	LOC129795836	LOC134284294, LOC134284644, LOC109424724
OG0001411	LOC129792767	LOC134287310, LOC109407909
OG0001412	LOC129787254	LOC109432366, LOC109423073
OG0001413	LOC129792243	LOC134284471, LOC134283931, LOC109623134
OG0001414	LOC129795699	LOC134289566, LOC109432331
OG0001444	LOC129791749	LOC115254260
OG0001447	LOC129789309	LOC109400053
OG0001448	LOC129797300	LOC134284498, LOC109430466
OG0001449	LOC129793937	LOC134288003, LOC134284401, LOC109413202
OG0001450	LOC129792179	LOC134283904, LOC109402569
OG0001452	LOC129796323	LOC115261415
OG0001454	LOC129795189	LOC109426047
OG0001455	LOC129789413	LOC109417637
OG0001456	LOC129796306	LOC109411415, LOC109411417, LOC115267899
OG0001458	LOC129792908	LOC115258944
OG0001459	LOC129785982	LOC109410753
OG0001460	LOC129792966	LOC109410759
OG0001463	LOC129797338, LOC129797339	LOC109411214
OG0001464	LOC129797131	LOC115255401, LOC109411220
OG0001465	LOC129791129	LOC109418060
OG0001466	LOC129793510, LOC129786827, LOC129785848	LOC109421653
OG0001467	LOC129791077	LOC109421659
OG0001468	LOC129788389	LOC134283928, LOC109429626
OG0001469	LOC129791746	LOC134289575, LOC109403034
OG0001471	LOC129793106	LOC109423771
OG0001472	LOC129794429, LOC129794428, LOC129793075	LOC109423748
OG0001473	LOC129787638	LOC109403573
OG0001474	LOC129788540	LOC115257191, LOC109432861
OG0001475	LOC129790456	LOC109412369
OG0001476	LOC129790454	LOC109412368
OG0001477	LOC129794782	LOC134291944, LOC109424500
OG0001478	LOC129791803	LOC109423370, LOC115257528
OG0001479	LOC129792690	LOC109408358
OG0001480	LOC129789467	LOC109431403, LOC134285926
OG0001481	LOC129792723	LOC109426648, LOC134284780, LOC134288523
OG0001482	LOC129792722	LOC134287358, LOC109426647
OG0001483	LOC129791534	LOC109426672
OG0001484	LOC129792446	LOC115267285
OG0001486	LOC129791975	LOC109413954
OG0001488	LOC129786309	LOC109430940
OG0001489	LOC129786140	LOC134284001, LOC109420624
OG0001491	LOC129795445	LOC109415901
OG0001492	LOC129788839	LOC109421432
OG0001493	LOC129789657	LOC115266443, LOC109432536
OG0001494	LOC129795685	LOC115265509
OG0001495	LOC129794601, LOC129795731	LOC134285717, LOC109401923
OG0001496	LOC129791948	LOC109404954
OG0001497	LOC129793206	LOC109404952
OG0001498	LOC129790584	LOC109415195
OG0001499	LOC129789756	LOC109428390
OG0001500	LOC129791347	LOC109415202
OG0001502	LOC129790803	LOC109409324, LOC115258583
OG0001503	LOC129797594	LOC109432154
OG0001504	LOC129789482	LOC115256587
OG0001505	LOC129788406	LOC109409418, LOC134285076
OG0001506	LOC129797141	LOC109409431
OG0001509	LOC129789890	LOC109427823, LOC115259047
OG0001510	LOC129791619	LOC109621708
OG0001511	LOC129794898	LOC115264697
OG0001513	LOC129790094	LOC109623099
OG0001514	LOC129794509, LOC129788006	LOC109431589
OG0001515	LOC129794063	LOC109397596, LOC134284656
OG0001516	LOC129789723	LOC109398423, LOC134284660
OG0001517	LOC129793025	LOC109410291
OG0001518	LOC129786143	LOC109415941, LOC134290778
OG0001519	LOC129787590	LOC109411048, LOC109411047
OG0001521	LOC129787794	LOC109418948, LOC109400097
OG0001522	LOC129786952	LOC109622284, LOC109409963
OG0001523	LOC129789653, LOC129796678, LOC129790491	LOC109416057
OG0001524	LOC129787654	LOC134289496, LOC134289494, LOC134289495
OG0001525	LOC129794659	LOC134289673, LOC109399658
OG0001526	LOC129786471	LOC115266550
OG0001527	LOC129786192	LOC109412015
OG0001528	LOC129786390, LOC129786377	LOC109412018
OG0001530	LOC129785953	LOC109422144
OG0001532	LOC129797401	LOC134289439
OG0001533	LOC129788033, LOC129788157, LOC129788158	LOC109621513
OG0001534	LOC129796090	LOC109399108
OG0001535	LOC129790763	LOC109399100
OG0001536	LOC129795103, LOC129790583	LOC109399093
OG0001537	LOC129795333	LOC109422342, LOC109424442
OG0001538	LOC129786614	LOC109406517, LOC109403312
OG0001539	LOC129790300, LOC129793277	LOC109431389
OG0001540	LOC129796484	LOC109407674
OG0001541	LOC129797282	LOC109422649, LOC134291372, LOC109402824
OG0001543	LOC129790535	LOC109412996
OG0001545	LOC129791550	LOC134286314, LOC109425088
OG0001546	LOC129796309	LOC134289754, LOC109426437
OG0001547	LOC129795817	LOC115257489
OG0001548	LOC129795510	LOC109412921
OG0001549	LOC129790245	LOC109409558
OG0001550	LOC129786366	LOC134291447
OG0001551	LOC129789089	LOC109429598, LOC115262100
OG0001552	LOC129796512	LOC109420357
OG0001553	LOC129792539, LOC129793331	LOC109406422
OG0001554	LOC129789305	LOC115260696, LOC109432362
OG0001555	LOC129791177	LOC134286757
OG0001556	LOC129788452	LOC109400308
OG0001557	LOC129785961	LOC109431868
OG0001559	LOC129796361	LOC115260213, LOC109414794
OG0001560	LOC129795006	LOC109428936
OG0001561	LOC129795077, LOC129795076	LOC109428933
OG0001563	LOC129787878	LOC109409653
OG0001564	LOC129793487	LOC109409662
OG0001565	LOC129789959	LOC109432222
OG0001566	LOC129793035	LOC109409964
OG0001569	LOC129787760	LOC109429359, LOC109398210
OG0001570	LOC129793656	LOC109429314, LOC109400906
OG0001571	LOC129789218	LOC109427435
OG0001572	LOC129788874	LOC109427434
OG0001573	LOC129786492	LOC109410664
OG0001574	LOC129793674	LOC109427067
OG0001575	LOC129790110	LOC109424979
OG0001576	LOC129788159	LOC109431106, LOC109424968
OG0001577	LOC129791301	LOC115254138, LOC109421033
OG0001578	LOC129790970	LOC109416121, LOC109419098, LOC109405787
OG0001579	LOC129792659	LOC109433328
OG0001580	LOC129787883	LOC109430281
OG0001582	LOC129797368	LOC109398907
OG0001583	LOC129797370	LOC115264563
OG0001584	LOC129797763	LOC109398917
OG0001585	LOC129789268	LOC109431046, LOC134284127
OG0001586	LOC129788752	LOC115261381
OG0001587	LOC129787948	LOC115255928, LOC109421116
OG0001588	LOC129786414, LOC129786472	LOC109431331
OG0001589	LOC129789338, LOC129789341	LOC109412611, LOC109401544
OG0001590	LOC129792557	LOC109419966, LOC134287715
OG0001592	LOC129795990	LOC115268366
OG0001593	LOC129795094	LOC134284199, LOC109424033
OG0001594	LOC129787197, LOC129789390	LOC109424032
OG0001595	LOC129792937	LOC115264858, LOC134284715
OG0001596	LOC129793446	LOC109412832
OG0001597	LOC129794506	LOC109425981
OG0001598	LOC129796977	LOC115268041
OG0001599	LOC129795862, LOC129795861	LOC109425997
OG0001600	LOC129787918	LOC115256111
OG0001601	LOC129794834	LOC109411829
OG0001602	LOC129793648	LOC115261561, LOC109402475
OG0001603	LOC129787433	LOC109402525
OG0001604	LOC129791740, LOC129797719	LOC115269208, LOC109418988
OG0001605	LOC129792643	LOC109398184
OG0001606	LOC129786475	LOC134289650, LOC109422742
OG0001607	LOC129794461	LOC109410579
OG0001608	LOC129793958	LOC109421160
OG0001609	LOC129793831	LOC109421159
OG0001610	LOC129790774	LOC134283998, LOC109427105
OG0001611	LOC129794313	LOC109410535, LOC134287361
OG0001612	LOC129795496	LOC109418813
OG0001613	LOC129793815, LOC129786668, LOC129786729	LOC109405806
OG0001614	LOC129795844	LOC109403984
OG0001615	LOC129793898	LOC115254470
OG0001616	LOC129792007	LOC109403403
OG0001617	LOC129790376	LOC109621635, LOC109429086
OG0001618	LOC129792832, LOC129787634	LOC109431932
OG0001619	LOC129786506, LOC129786488	LOC109427882
OG0001620	LOC129786438	LOC109427885
OG0001621	LOC129787620	LOC109398864
OG0001622	LOC129792130	LOC134283989, LOC109426925
OG0001623	LOC129787944	LOC134285599, LOC109416957
OG0001624	LOC129787347	LOC109397551
OG0001625	LOC129796179	LOC109432771
OG0001626	LOC129792140, LOC129797795	LOC109417532, LOC109410216
OG0001627	LOC129797847	LOC109421124
OG0001628	LOC129791569	LOC109621710
OG0001629	LOC129790874, LOC129789217, LOC129792829	LOC115269210
OG0001630	LOC129795633	LOC109397865
OG0001631	LOC129786221	LOC109400499
OG0001632	LOC129793617	LOC109415156
OG0001633	LOC129789417	LOC109622893, LOC115258542
OG0001634	LOC129796839	LOC109411700, LOC134288815
OG0001635	LOC129795027	LOC115254267
OG0001636	LOC129790733	LOC109401140, LOC109422552
OG0001637	LOC129790595	LOC109433074
OG0001638	LOC129790797	LOC109420450
OG0001639	LOC129796206	LOC115253945, LOC109416842, LOC109405681
OG0001640	LOC129789851, LOC129789850, LOC129789085	LOC109621844
OG0001641	LOC129790175	LOC109399186
OG0001642	LOC129793308	LOC109420954, LOC109399228
OG0001643	LOC129797437	LOC115257156
OG0001644	LOC129796435	LOC109408449
OG0001645	LOC129795123	LOC109415684, LOC109425047
OG0001647	LOC129796554	LOC109426339
OG0001648	LOC129787158	LOC109405852
OG0001649	LOC129786326, LOC129795316, LOC129786322	LOC109409730
OG0001650	LOC129790931	LOC115271010
OG0001651	LOC129790887	LOC109409494
OG0001652	LOC129786116	LOC109397239
OG0001654	LOC129789585	LOC109398935
OG0001655	LOC129789602	LOC109427527, LOC115256522
OG0001656	LOC129788086	LOC109417569
OG0001657	LOC129789357	LOC109419928, LOC134284520
OG0001658	LOC129786809	LOC109411254
OG0001659	LOC129793899	LOC109400136, LOC109413090
OG0001660	LOC129786022	LOC109426168
OG0001661	LOC129786658	LOC109428200
OG0001662	LOC129792648	LOC109427897, LOC115263986
OG0001663	LOC129796251	LOC109398740, LOC109418764
OG0001664	LOC129790572	LOC109427405, LOC109410123
OG0001665	LOC129790134	LOC109427431, LOC134285038
OG0001666	LOC129789751	LOC109410126, LOC109427407
OG0001667	LOC129790063	LOC115254514, LOC109427416
OG0001668	LOC129793929	LOC115261817, LOC109405709
OG0001669	LOC129792436	LOC109417873, LOC134288487
OG0001670	LOC129795951	LOC109621464
OG0001671	LOC129788616	LOC109433059
OG0001672	LOC129789273, LOC129789272	LOC109409320
OG0001673	LOC129787185	LOC115253996
OG0001674	LOC129792010	LOC109418062
OG0001675	LOC129791982	LOC109414834
OG0001676	LOC129795464	LOC109623260
OG0001677	LOC129797117	LOC109428052, LOC109428054, LOC115261585
OG0001678	LOC129789742	LOC115264498, LOC109406869
OG0001679	LOC129788938	LOC109401866, LOC134284971
OG0001680	LOC129797090	LOC134285041, LOC109406867
OG0001681	LOC129794747, LOC129794746	LOC109399621
OG0001682	LOC129788060	LOC109417772
OG0001683	LOC129790728	LOC109411854, LOC115259476
OG0001684	LOC129790725	LOC109412731, LOC109411856
OG0001686	LOC129796857	LOC134291965, LOC109422607
OG0001688	LOC129797292, LOC129797293, LOC129786585	LOC109411570
OG0001689	LOC129787992	LOC134288000, LOC109413201
OG0001690	LOC129789156	LOC109421972
OG0001691	LOC129793247, LOC129793246	LOC109427990
OG0001692	LOC129790239	LOC109409457, LOC115256851
OG0001694	LOC129787868	LOC109405232
OG0001695	LOC129786751	LOC115254377, LOC109400080
OG0001696	LOC129788426	LOC109421739
OG0001697	LOC129792997	LOC115270187
OG0001699	LOC129795526	LOC109416248
OG0001700	LOC129793749, LOC129791126, LOC129789479	LOC115253486
OG0001702	LOC129789529	LOC109416535, LOC115258710
OG0001704	LOC129785963	LOC109407506
OG0001705	LOC129797629	LOC109622241
OG0001706	LOC129789605, LOC129795515	LOC109622242
OG0001708	LOC129797541, LOC129792617, LOC129792400	LOC109403032
OG0001709	LOC129787238, LOC129790388	LOC109416365
OG0001710	LOC129796140	LOC134284301, LOC109424714
OG0001711	LOC129788442	LOC109398767, LOC134284945
OG0001712	LOC129789964	LOC134284927, LOC109427493
OG0001714	LOC129791296	LOC109404794, LOC109423879
OG0001715	LOC129796923	LOC109623312
OG0001716	LOC129790480	LOC109419530
OG0001717	LOC129789932	LOC109409288
OG0001718	LOC129797155	LOC109410458
OG0001719	LOC129791721	LOC109427538
OG0001720	LOC129786098	LOC109415992
OG0001721	LOC129785973	LOC115267417
OG0001722	LOC129797064	LOC109404966
OG0001723	LOC129795874	LOC109416168
OG0001724	LOC129786652	LOC115266621
OG0001725	LOC129794113	LOC109417806
OG0001726	LOC129792607, LOC129792727	LOC134283970, LOC109426755
OG0001727	LOC129788794	LOC109431071
OG0001728	LOC129787839	LOC109405380
OG0001730	LOC129796021	LOC109414978
OG0001731	LOC129788792, LOC129791986	LOC109414740, LOC109426838
OG0001732	LOC129796695	LOC134284641, LOC109412044
OG0001733	LOC129786263	LOC109412040, LOC134284643
OG0001734	LOC129791737, LOC129792398	LOC109423450
OG0001735	LOC129790824	LOC109432041, LOC109432033
OG0001736	LOC129796096	LOC109404016
OG0001737	LOC129795468	LOC109413566
OG0001738	LOC129788301	LOC134285257, LOC134285256
OG0001739	LOC129788022	LOC109431508
OG0001741	LOC129787555	LOC109405745, LOC109433391
OG0001742	LOC129792632	LOC134285350, LOC109406906
OG0001743	LOC129792747	LOC109409336, LOC109419088
OG0001744	LOC129787602	LOC115266916, LOC109409339
OG0001745	LOC129787587	LOC115253436, LOC109409337
OG0001746	LOC129797065	LOC109419087, LOC115254144
OG0001747	LOC129794259	LOC109412507
OG0001748	LOC129786441	LOC109622592
OG0001749	LOC129792376	LOC109423813
OG0001750	LOC129790222	LOC109397805
OG0001751	LOC129794909	LOC115262555, LOC109421913
OG0001752	LOC129786866	LOC109412833
OG0001753	LOC129796574, LOC129796573	LOC109425656
OG0001754	LOC129788770, LOC129788776, LOC129795979	LOC109405799
OG0001755	LOC129794760	LOC109407063, LOC134287784
OG0001756	LOC129791759	LOC109404905
OG0001757	LOC129789606	LOC109428450
OG0001758	LOC129789116	LOC109424214
OG0001759	LOC129789065	LOC115253756
OG0001760	LOC129787052	LOC109409473, LOC109409536
OG0001762	LOC129792088	LOC109403484
OG0001763	LOC129791736	LOC109409745, LOC134290471
OG0001764	LOC129794248	LOC109416470
OG0001765	LOC129793816	LOC109416471
OG0001767	LOC129785893	LOC109412573, LOC134285652, LOC134291846, LOC109397046
OG0001768	LOC129792769	LOC109417011
OG0001769	LOC129793630	LOC134285649, LOC109397026, LOC109397016
OG0001771	LOC129788791	LOC109417248
OG0001772	LOC129789245, LOC129789345	LOC109420576, LOC109417482
OG0001773	LOC129792735	LOC134292031, LOC134291557
OG0001774	LOC129789403	LOC134291921
OG0001775	LOC129790827	LOC109430170, LOC115264870
OG0001776	LOC129793498	LOC134284690, LOC109417821
OG0001777	LOC129788364	LOC115258559, LOC109407268
OG0001778	LOC129797665	LOC109412274
OG0001779	LOC129794840	LOC109432700, LOC134291660
OG0001780	LOC129794939	LOC109421912, LOC134291661
OG0001781	LOC129793429	LOC109417113
OG0001782	LOC129787820	LOC109404988
OG0001783	LOC129786246	LOC115269840, LOC134285564
OG0001784	LOC129793241	LOC109417839, LOC109400156, LOC134291253
OG0001785	LOC129797674	LOC109398559
OG0001786	LOC129791199	LOC109622009
OG0001787	LOC129791381	LOC109430088, LOC115256457
OG0001788	LOC129792127	LOC109399416
OG0001789	LOC129792135	LOC109400672
OG0001790	LOC129790876	LOC115269692, LOC109398409
OG0001791	LOC129786553	LOC115258107, LOC109421724
OG0001792	LOC129796385	LOC109425704
OG0001793	LOC129792442	LOC134288462, LOC109418002
OG0001794	LOC129797226	LOC109406030, LOC134287316
OG0001795	LOC129789520, LOC129789252	LOC109401855
OG0001796	LOC129792783	LOC109397908
OG0001798	LOC129787211	LOC109417110
OG0001799	LOC129788959	LOC134292118, LOC109431857
OG0001800	LOC129788729	LOC115267643, LOC109398720
OG0001802	LOC129797610	LOC109402431
OG0001803	LOC129791007, LOC129791008	LOC109427363
OG0001804	LOC129795693	LOC109427576, LOC109432855, LOC115268908
OG0001805	LOC129790995	LOC109411553
OG0001806	LOC129792413	LOC109418918
OG0001807	LOC129791367	LOC109398712
OG0001808	LOC129792755	LOC134288996
OG0001811	LOC129792465	LOC109422709, LOC109412322
OG0001812	LOC129787649	LOC134288872, LOC109401913
OG0001813	LOC129793732, LOC129793734	LOC109418066
OG0001814	LOC129792252	LOC109414833
OG0001815	LOC129787405	LOC109427442
OG0001816	LOC129793276	LOC115263163
OG0001817	LOC129790365	LOC115255345
OG0001818	LOC129787508	LOC109407931
OG0001819	LOC129789556	LOC109428456, LOC109422096
OG0001820	LOC129793706	LOC109409788
OG0001821	LOC129791557	LOC109403224
OG0001822	LOC129793139	LOC109416244
OG0001823	LOC129791671	LOC109622551, LOC109622547
OG0001824	LOC129790984	LOC109622879, LOC134287988
OG0001825	LOC129795054	LOC109428464
OG0001827	LOC129787714, LOC129787776	LOC109413232
OG0001829	LOC129795457	LOC109424480
OG0001830	LOC129795064	LOC109406715, LOC109426675, LOC115265264, LOC115265266
OG0001831	LOC129790640	LOC109428415, LOC134284681
OG0001832	LOC129795501	LOC109401664, LOC109418846
OG0001833	LOC129791389	LOC109621803
OG0001834	LOC129792115	LOC109416692
OG0001835	LOC129787975	LOC109413271
OG0001837	LOC129787074	LOC109411881
OG0001838	LOC129795573	LOC115264580
OG0001839	LOC129791005	LOC109423925
OG0001840	LOC129788825	LOC109405671
OG0001841	LOC129791580	LOC109407816, LOC134288728
OG0001842	LOC129794817	LOC134292126, LOC109425933
OG0001843	LOC129788150	LOC115261297
OG0001844	LOC129797361	LOC109433484
OG0001845	LOC129792975	LOC109422692, LOC115260992
OG0001846	LOC129796912	LOC109405247
OG0001848	LOC129790690	LOC134284916, LOC109397853
OG0001849	LOC129796195	LOC109419429
OG0001850	LOC129792298	LOC109401980
OG0001851	LOC129797616, LOC129797574	LOC134292233, LOC109428047
OG0001852	LOC129797324	LOC109428744
OG0001853	LOC129794826	LOC109402885
OG0001854	LOC129794842	LOC109432643, LOC109401984
OG0001855	LOC129794073	LOC109404342
OG0001856	LOC129789363	LOC109409625
OG0001857	LOC129797241	LOC109622061
OG0001859	LOC129791467	LOC115260811
OG0001860	LOC129796988	LOC134291182, LOC109404964
OG0001861	LOC129792410	LOC109408373
OG0001862	LOC129787215	LOC109423135
OG0001863	LOC129792072	LOC109403764
OG0001864	LOC129790855	LOC134284696, LOC109400987
OG0001865	LOC129790845	LOC109402625, LOC134284665
OG0001866	LOC129795328	LOC109421746
OG0001867	LOC129788957	LOC109419826
OG0001868	LOC129787270	LOC109412872
OG0001869	LOC129795513	LOC109418781
OG0001870	LOC129786560	LOC109426187
OG0001871	LOC129787708	LOC109422596
OG0001873	LOC129787651	LOC109399319
OG0001874	LOC129795307	LOC109419187
OG0001875	LOC129794108	LOC109419645
OG0001876	LOC129786760	LOC109397249
OG0001879	LOC129794824	LOC109621461
OG0001881	LOC129787945, LOC129794298, LOC129794305	LOC109406017
OG0001882	LOC129789049	LOC109398299
OG0001883	LOC129793191	LOC109419707, LOC109398542
OG0001884	LOC129790026	LOC134285003
OG0001885	LOC129791203	LOC109415066, LOC109403279
OG0001886	LOC129785854	LOC109424966
OG0001887	LOC129789344, LOC129789624	LOC115257308
OG0001889	LOC129789558	LOC109433612
OG0001890	LOC129796812	LOC134290813, LOC109425718
OG0001891	LOC129788054	LOC109419396, LOC115255253
OG0001892	LOC129787869	LOC109406961
OG0001893	LOC129795913	LOC115268038
OG0001894	LOC129790362	LOC109405079
OG0001895	LOC129793818	LOC109404946
OG0001896	LOC129788046	LOC109398729
OG0001897	LOC129790146	LOC109427728
OG0001898	LOC129793044, LOC129790873, LOC129793877	LOC109397684
OG0001899	LOC129788657	LOC109421627, LOC109407309
OG0001901	LOC129791155	LOC109401394
OG0001902	LOC129792775	LOC109425480
OG0001905	LOC129787833	LOC115260613, LOC109422822
OG0001906	LOC129788661	LOC115263719
OG0001908	LOC129787564	LOC109399310
OG0001909	LOC129790425	LOC109401882
OG0001911	LOC129791574	LOC134288626, LOC109412697, LOC109412674, LOC109418867
OG0001912	LOC129795945	LOC109418706
OG0001913	LOC129790847	LOC109415218
OG0001914	LOC129794648	LOC109622269, LOC134284321
OG0001915	LOC129795734	LOC109411724
OG0001916	LOC129791707	LOC109418329, LOC109427298, LOC134290652
OG0001917	LOC129795172, LOC129795169	LOC134289826, LOC134290016
OG0001918	LOC129790323	LOC109416319, LOC109426538
OG0001919	LOC129791890	LOC109404918
OG0001920	LOC129789627	LOC134291561, LOC134292029
OG0001923	LOC129792576	LOC109418028
OG0001924	LOC129788384	LOC109407223
OG0001925	LOC129791354	LOC134289014, LOC109433003
OG0001926	LOC129789853	LOC109422966
OG0001928	LOC129787417	LOC109411119
OG0001929	LOC129790888	LOC109415216
OG0001930	LOC129791566	LOC109407984
OG0001931	LOC129788027	LOC109431473
OG0001933	LOC129790383	LOC109422611, LOC134290099
OG0001934	LOC129793593	LOC109409980, LOC109420213
OG0001935	LOC129787271	LOC115255029
OG0001937	LOC129792078	LOC109428694
OG0001938	LOC129796602	LOC134289924, LOC134291084
OG0001939	LOC129787144	LOC109431794
OG0001940	LOC129788550	LOC109402629, LOC134284706
OG0001941	LOC129790566	LOC109428574
OG0001942	LOC129787632	LOC109430547
OG0001943	LOC129787936	LOC109423620, LOC109400223
OG0001944	LOC129787103	LOC115267705, LOC109401974
OG0001945	LOC129788609	LOC109416118
OG0001946	LOC129789835	LOC109428492
OG0001947	LOC129793148	LOC109398278, LOC134287376
OG0001948	LOC129790027	LOC134285004
OG0001949	LOC129791154	LOC109411764, LOC134283906, LOC115262162
OG0001950	LOC129791722	LOC109420871
OG0001951	LOC129788275	LOC109429628
OG0001952	LOC129794314	LOC109414279
OG0001953	LOC129793162	LOC109400594
OG0001954	LOC129794292	LOC115269977
OG0001955	LOC129792214	LOC109429386
OG0001956	LOC129788139	LOC109424975, LOC109431086
OG0001957	LOC129793821	LOC115254148
OG0001958	LOC129785990	LOC109422033, LOC115258249
OG0001959	LOC129786145	LOC109400375, LOC134292012
OG0001960	LOC129789692, LOC129789672, LOC129795154	LOC109400170
OG0001961	LOC129792189	LOC115262164, LOC109411692
OG0001962	LOC129796121	LOC109411919
OG0001963	LOC129790872	LOC109400999
OG0001964	LOC129793403	LOC115259196
OG0001965	LOC129795975	LOC109408777
OG0001968	LOC129790144, LOC129793916	LOC109432288, LOC109397081
OG0001970	LOC129797434	LOC109430327
OG0001971	LOC129793531	LOC109622601, LOC115262671
OG0001974	LOC129785856	LOC109424678
OG0001975	LOC129792950, LOC129792892	LOC109404750
OG0001976	LOC129795962	LOC134290393, LOC109424037
OG0001977	LOC129789328	LOC115256432, LOC115256898
OG0001978	LOC129794833, LOC129795403	LOC109415848
OG0001979	LOC129786351	LOC109405716
OG0001980	LOC129789419, LOC129789930	LOC109421982
OG0001981	LOC129796027	LOC109401056
OG0001982	LOC129789617	LOC109408928
OG0001983	LOC129789082	LOC109428527
OG0001984	LOC129789641	LOC134289613, LOC134289614
OG0001988	LOC129795250, LOC129795018	LOC109403458
OG0001990	LOC129795166	LOC109421267, LOC109621817, LOC115264473, LOC109407591, LOC109407662, LOC109407592, LOC109407594, LOC134289918, LOC109425859, LOC109407593, LOC134292133
