Orthogroup	LlongipalpisASM	AsinensisChina
OG0001902	LOC129792775	ASIC014059
OG0001905	LOC129787833	ASIC007571
OG0001906	LOC129788661	ASIC003552
OG0001908	LOC129787564	ASIC021541
OG0001909	LOC129790425	ASIC006929
OG0001912	LOC129795945	ASIC018298, ASIC018297
OG0001913	LOC129790847	ASIC005208, ASIC005230
OG0001914	LOC129794648	ASIC016511, ASIC016522
OG0001915	LOC129795734	ASIC013236
OG0001916	LOC129791707	ASIC012531
OG0001917	LOC129795172, LOC129795169	ASIC004591
OG0001918	LOC129790323	ASIC016928
OG0001919	LOC129791890	ASIC012967
OG0001920	LOC129789627	ASIC008312
OG0001923	LOC129792576	ASIC005465, ASIC018679
OG0001924	LOC129788384	ASIC009961, ASIC009962, ASIC009960
OG0001925	LOC129791354	ASIC017116
OG0001926	LOC129789853	ASIC007667
OG0001928	LOC129787417	ASIC010994, ASIC010995
OG0001929	LOC129790888	ASIC017135
OG0001930	LOC129791566	ASIC018934
OG0001931	LOC129788027	ASIC017142
OG0001933	LOC129790383	ASIC010074
OG0001934	LOC129793593	ASIC003097
OG0001935	LOC129787271	ASIC002642
OG0001937	LOC129792078	ASIC019720
OG0001938	LOC129796602	ASIC019487
OG0001939	LOC129787144	ASIC011519
OG0001940	LOC129788550	ASIC020414
OG0001941	LOC129790566	ASIC004459
OG0001942	LOC129787632, LOC129787549	ASIC012314
OG0001943	LOC129787936	ASIC006172
OG0001944	LOC129787103	ASIC018346
OG0001945	LOC129788609	ASIC017118, ASIC017115, ASIC017119
OG0001946	LOC129789835	ASIC004412
OG0001947	LOC129793148	ASIC007435
OG0001948	LOC129790027	ASIC020352, ASIC020351
OG0001949	LOC129791154	ASIC007223
OG0001950	LOC129791722	ASIC018763
OG0001951	LOC129788275	ASIC006483
OG0001952	LOC129794314	ASIC016664, ASIC016674
OG0001953	LOC129793162	ASIC018764
OG0001954	LOC129794292	ASIC021195, ASIC021185
OG0001955	LOC129792214	ASIC017365, ASIC017366
OG0001956	LOC129788139	ASIC006304
OG0001957	LOC129793821	ASIC012991
OG0001958	LOC129785990	ASIC015940
OG0001959	LOC129785955, LOC129786145	ASIC002843
OG0001960	LOC129789692, LOC129789672, LOC129795154	ASIC004698
OG0001961	LOC129792189	ASIC007253
OG0001962	LOC129796121	ASIC013443
OG0001963	LOC129790872	ASIC012780
OG0001964	LOC129793403	ASIC002077
OG0001965	LOC129795975	ASIC018334, ASIC018335
OG0001968	LOC129790144, LOC129793916	ASIC011281
OG0001970	LOC129797434	ASIC020957
OG0001971	LOC129793531	ASIC020075
OG0001974	LOC129785856	ASIC006809, ASIC006810, ASIC006808
OG0001975	LOC129792950, LOC129792892	ASIC016307
OG0001976	LOC129795962	ASIC002837
OG0001977	LOC129789328	ASIC007593, ASIC007592
OG0001978	LOC129794833, LOC129795403	ASIC013183
OG0001979	LOC129786351	ASIC021432, ASIC021431
OG0001980	LOC129789419, LOC129789930	ASIC007105
OG0001981	LOC129796027	ASIC004738, ASIC005416, ASIC005417
OG0001982	LOC129789617	ASIC009559
OG0001983	LOC129789082	ASIC000726
OG0001984	LOC129789641	ASIC007908
OG0001988	LOC129795250, LOC129795018	ASIC009310, ASIC009309
OG0001991	LOC129786287	ASIC015307
OG0001997	LOC129787900	ASIC008026, ASIC005202
OG0001998	LOC129790854	ASIC018519, ASIC007113
OG0002010	LOC129786915	ASIC009445
OG0002016	LOC129794168	ASIC022292
OG0002016	LOC129794169	ASIC022293
OG0002027	LOC129786348	ASIC003238
OG0002028	LOC129786183	ASIC004635
OG0002029	LOC129786150	ASIC004624
OG0002030	LOC129796868	ASIC003349, ASIC003350
OG0002031	LOC129794312	ASIC018682
OG0002032	LOC129796943	ASIC002958
OG0002033	LOC129796820	ASIC011378, ASIC011377
OG0002034	LOC129790140	ASIC012000
OG0002035	LOC129789332	ASIC021027
OG0002036	LOC129797306	ASIC000810
OG0002037	LOC129786088	ASIC011301
OG0002038	LOC129797429	ASIC021827
OG0002039	LOC129797746	ASIC002947
OG0002041	LOC129787111	ASIC005413
OG0002043	LOC129792702	ASIC016092
OG0002044	LOC129793762	ASIC020314
OG0002045	LOC129788678	ASIC003997
OG0002046	LOC129787153	ASIC022294
OG0002047	LOC129792995	ASIC015164
OG0002048	LOC129795712	ASIC019373
OG0002049	LOC129787065	ASIC022323
OG0002050	LOC129787969	ASIC019555
OG0002052	LOC129793489	ASIC019453
OG0002053	LOC129797520	ASIC019558
OG0002054	LOC129796471	ASIC017988
OG0002056	LOC129796303	ASIC014046
OG0002057	LOC129796472	ASIC001072
OG0002058	LOC129793910	ASIC021480
OG0002059	LOC129796534	ASIC020254
OG0002060	LOC129794853	ASIC001073, ASIC001075
OG0002061	LOC129787988	ASIC021479
OG0002062	LOC129796074	ASIC008087
OG0002063	LOC129797489	ASIC021534, ASIC021535
OG0002064	LOC129796436	ASIC005023
OG0002065	LOC129792004, LOC129794614	ASIC007917
OG0002066	LOC129796138	ASIC022139, ASIC007889
OG0002067	LOC129795350	ASIC008733
OG0002068	LOC129797761	ASIC008782, ASIC008781
OG0002069	LOC129797826, LOC129788594	ASIC022124
OG0002071	LOC129795692	ASIC018214
OG0002072	LOC129789432	ASIC021729
OG0002073	LOC129794275	ASIC021275
OG0002074	LOC129792662	ASIC021271
OG0002075	LOC129792271	ASIC021274
OG0002076	LOC129792610	ASIC021272
OG0002077	LOC129795742	ASIC018161
OG0002078	LOC129786002	ASIC021866
OG0002079	LOC129786109	ASIC021930
OG0002080	LOC129794911	ASIC021867
OG0002081	LOC129788016, LOC129795800	ASIC018312
OG0002082	LOC129794597	ASIC015286
OG0002083	LOC129787679	ASIC018021
OG0002084	LOC129791859	ASIC005781
OG0002085	LOC129788403, LOC129788402	ASIC018454
OG0002086	LOC129786135, LOC129786019	ASIC018129
OG0002087	LOC129796881	ASIC017914
OG0002088	LOC129795724	ASIC006000
OG0002090	LOC129796235	ASIC017867
OG0002091	LOC129788450	ASIC018456, ASIC018455
OG0002092	LOC129787669	ASIC018125
OG0002093	LOC129795709	ASIC017181
OG0002094	LOC129795213	ASIC017936
OG0002095	LOC129786568	ASIC007719
OG0002098	LOC129785822	ASIC004650
OG0002099	LOC129797209	ASIC001246
OG0002100	LOC129793188, LOC129793187	ASIC005556
OG0002101	LOC129787041	ASIC013962
OG0002102	LOC129787051	ASIC014056
OG0002103	LOC129790062	ASIC007670, ASIC012713
OG0002104	LOC129795021, LOC129788515	ASIC022330
OG0002105	LOC129790023	ASIC014546
OG0002106	LOC129791064	ASIC006877
OG0002107	LOC129796177	ASIC006879
OG0002108	LOC129788481	ASIC008629
OG0002109	LOC129791914	ASIC001854, ASIC001856
OG0002110	LOC129790068	ASIC016203
OG0002111	LOC129796167	ASIC022024
OG0002112	LOC129789295	ASIC009627
OG0002113	LOC129788380	ASIC005908
OG0002114	LOC129790798	ASIC002871
OG0002115	LOC129792622	ASIC016066
OG0002116	LOC129791818	ASIC002426
OG0002117	LOC129792628	ASIC002449
OG0002118	LOC129792365	ASIC014936
OG0002119	LOC129792165	ASIC021143
OG0002120	LOC129786317	ASIC005250
OG0002121	LOC129789097	ASIC006671, ASIC022374
OG0002122	LOC129791865	ASIC010254, ASIC013901
OG0002123	LOC129792550	ASIC007755
OG0002124	LOC129792128	ASIC000961
OG0002125	LOC129789847, LOC129791422	ASIC015819
OG0002126	LOC129793297	ASIC000959
OG0002127	LOC129792100	ASIC014918
OG0002128	LOC129792548	ASIC019705, ASIC019707
OG0002129	LOC129792129	ASIC019737
OG0002130	LOC129794340	ASIC019714
OG0002131	LOC129797194	ASIC019715
OG0002132	LOC129792102	ASIC019713
OG0002133	LOC129793858	ASIC019760, ASIC019759
OG0002134	LOC129790066	ASIC007671
OG0002135	LOC129795626	ASIC010759
OG0002136	LOC129789141	ASIC010608
OG0002137	LOC129789022	ASIC014649
OG0002138	LOC129786190	ASIC012823
OG0002139	LOC129788531	ASIC013576
OG0002140	LOC129792041	ASIC016191
OG0002141	LOC129794790	ASIC015744
OG0002142	LOC129794293	ASIC010760, ASIC010761
OG0002143	LOC129794878	ASIC019340, ASIC002840
OG0002144	LOC129796165	ASIC010953
OG0002145	LOC129794992	ASIC020567
OG0002146	LOC129792611	ASIC010207
OG0002150	LOC129793207	ASIC010178
OG0002151	LOC129792849	ASIC010199
OG0002152	LOC129787483	ASIC010176
OG0002153	LOC129792349	ASIC006529
OG0002154	LOC129786459	ASIC003166
OG0002156	LOC129795641	ASIC013182
OG0002157	LOC129794282	ASIC013249, ASIC011665
OG0002158	LOC129792677	ASIC016147
OG0002159	LOC129793989	ASIC016158
OG0002160	LOC129788807	ASIC005907
OG0002161	LOC129789584	ASIC006503, ASIC006502
OG0002162	LOC129792208	ASIC005909
OG0002163	LOC129789633, LOC129795922	ASIC013595
OG0002164	LOC129789915	ASIC006489
OG0002165	LOC129790660	ASIC014180
OG0002166	LOC129788457	ASIC016190
OG0002167	LOC129793573	ASIC017363
OG0002168	LOC129790952	ASIC014172, ASIC014173
OG0002169	LOC129789473	ASIC014175, ASIC014177
OG0002170	LOC129790189	ASIC017385
OG0002171	LOC129790264	ASIC014537
OG0002172	LOC129789140	ASIC017374
OG0002173	LOC129789107	ASIC015855, ASIC015859
OG0002174	LOC129790705, LOC129790700	ASIC015765
OG0002176	LOC129789087	ASIC015758
OG0002177	LOC129795949	ASIC010305
OG0002178	LOC129795722	ASIC010323
OG0002179	LOC129789021	ASIC006967
OG0002180	LOC129793143	ASIC006946
OG0002181	LOC129790196	ASIC006978
OG0002182	LOC129786453	ASIC006962
OG0002183	LOC129791374	ASIC006984
OG0002184	LOC129797310	ASIC011348, ASIC011347
OG0002185	LOC129795865	ASIC019987
OG0002186	LOC129797706	ASIC009871
OG0002187	LOC129786836	ASIC005548
OG0002188	LOC129786895	ASIC005547
OG0002189	LOC129787436	ASIC017009
OG0002190	LOC129788388	ASIC012115
OG0002191	LOC129788510	ASIC006119, ASIC004492
OG0002192	LOC129788448	ASIC006854
OG0002193	LOC129789440	ASIC006085
OG0002194	LOC129792408	ASIC010661
OG0002195	LOC129793090	ASIC006826, ASIC015187
OG0002196	LOC129792947	ASIC010660, ASIC009424
OG0002197	LOC129796307	ASIC017994
OG0002198	LOC129796032	ASIC020897, ASIC020896
OG0002199	LOC129794812	ASIC000166
OG0002200	LOC129793181	ASIC016662
OG0002201	LOC129793237	ASIC011783
OG0002202	LOC129793200	ASIC011776
OG0002203	LOC129793485	ASIC011768
OG0002204	LOC129788693	ASIC020338
OG0002205	LOC129794185	ASIC016661
OG0002206	LOC129793211	ASIC011778
OG0002207	LOC129797559	ASIC017189
OG0002208	LOC129789628	ASIC005717, ASIC005716
OG0002209	LOC129789680, LOC129789687	ASIC010450
OG0002210	LOC129791980	ASIC010672
OG0002211	LOC129787391	ASIC018457
OG0002212	LOC129797348	ASIC012834
OG0002213	LOC129788136	ASIC014686
OG0002214	LOC129788860	ASIC002967
OG0002215	LOC129786768	ASIC005356
OG0002216	LOC129794210	ASIC012340
OG0002217	LOC129793381, LOC129793379	ASIC007862
OG0002218	LOC129788862	ASIC007958
OG0002219	LOC129790860	ASIC005214
OG0002220	LOC129797609	ASIC003502
OG0002221	LOC129787562	ASIC004404
OG0002222	LOC129793261	ASIC013406
OG0002223	LOC129795732	ASIC009321
OG0002224	LOC129797443	ASIC005338
OG0002225	LOC129795743, LOC129795745	ASIC018378
OG0002226	LOC129796496	ASIC017768
OG0002227	LOC129795589	ASIC020108
OG0002229	LOC129795588	ASIC018388
OG0002230	LOC129796777	ASIC006570
OG0002232	LOC129785910	ASIC012482
OG0002233	LOC129793461	ASIC003803
OG0002234	LOC129792716	ASIC018832
OG0002235	LOC129796803	ASIC020246
OG0002236	LOC129789903, LOC129797367	ASIC021864
OG0002237	LOC129787792	ASIC011984
OG0002238	LOC129786065	ASIC004264
OG0002239	LOC129797602	ASIC008778
OG0002240	LOC129790493	ASIC009868
OG0002241	LOC129787979	ASIC013989
OG0002242	LOC129787955	ASIC012644
OG0002244	LOC129788699	ASIC006254
OG0002245	LOC129794046	ASIC012060
OG0002246	LOC129788702	ASIC006255
OG0002247	LOC129785965	ASIC012488
OG0002248	LOC129790227, LOC129797606	ASIC015312
OG0002249	LOC129789817	ASIC017046
OG0002251	LOC129789579	ASIC020017
OG0002252	LOC129786273	ASIC020013
OG0002253	LOC129788451	ASIC020516
OG0002254	LOC129793410	ASIC008970, ASIC008969
OG0002255	LOC129796246	ASIC002560
OG0002256	LOC129793333	ASIC008976
OG0002257	LOC129786737	ASIC021687
OG0002258	LOC129788415	ASIC014718
OG0002259	LOC129785858	ASIC020458
OG0002260	LOC129788509	ASIC007614
OG0002261	LOC129793788	ASIC018422
OG0002262	LOC129791873	ASIC010469
OG0002263	LOC129791669	ASIC010460
OG0002264	LOC129793023	ASIC018427
OG0002265	LOC129791657	ASIC011784
OG0002266	LOC129785912	ASIC017061
OG0002267	LOC129791731, LOC129791729	ASIC019662
OG0002268	LOC129797731	ASIC005984
OG0002270	LOC129795116	ASIC005100
OG0002271	LOC129795960	ASIC005986
OG0002272	LOC129790531	ASIC005985
OG0002273	LOC129794997	ASIC018296
OG0002275	LOC129788122, LOC129796151	ASIC011148
OG0002276	LOC129788796	ASIC007520
OG0002277	LOC129786934	ASIC002572
OG0002278	LOC129786933, LOC129786932	ASIC002724
OG0002281	LOC129787739	ASIC013797
OG0002282	LOC129788062, LOC129788066	ASIC010435
OG0002283	LOC129793663	ASIC012038
OG0002284	LOC129786555	ASIC010442, ASIC010444
OG0002285	LOC129788063	ASIC017303
OG0002286	LOC129793658	ASIC006645
OG0002287	LOC129793672	ASIC006647
OG0002288	LOC129793661	ASIC006646
OG0002289	LOC129788137	ASIC018649, ASIC018645
OG0002290	LOC129789278	ASIC009573, ASIC010433
OG0002291	LOC129787557	ASIC008587
OG0002292	LOC129795898	ASIC007907
OG0002293	LOC129794480	ASIC011292
OG0002294	LOC129786106	ASIC014393
OG0002295	LOC129797132	ASIC014391
OG0002296	LOC129790316	ASIC014370
OG0002298	LOC129792758	ASIC008215
OG0002299	LOC129797168	ASIC008306
OG0002300	LOC129787547	ASIC008212
OG0002301	LOC129797203	ASIC008296
OG0002302	LOC129797189	ASIC003284
OG0002304	LOC129795418	ASIC018180
OG0002305	LOC129797328, LOC129792354	ASIC005594
OG0002306	LOC129795987	ASIC018042
OG0002307	LOC129787027	ASIC018053
OG0002308	LOC129791629	ASIC019701
OG0002309	LOC129792903	ASIC003770
OG0002310	LOC129789716	ASIC011269
OG0002311	LOC129797452	ASIC012554, ASIC012555
OG0002312	LOC129785887	ASIC010993
OG0002313	LOC129795613	ASIC017979
OG0002314	LOC129797510	ASIC010674
OG0002315	LOC129794653	ASIC019351
OG0002316	LOC129796203	ASIC019352
OG0002317	LOC129793168	ASIC010685
OG0002318	LOC129790590	ASIC017653
OG0002319	LOC129797356	ASIC010684
OG0002322	LOC129789941, LOC129789940	ASIC010914
OG0002325	LOC129785876	ASIC013807
OG0002326	LOC129787545	ASIC012179
OG0002328	LOC129791851	ASIC014614
OG0002329	LOC129797403	ASIC012174
OG0002330	LOC129786253	ASIC019643, ASIC019654
OG0002331	LOC129786187	ASIC020931
OG0002332	LOC129786748	ASIC010499
OG0002333	LOC129786299	ASIC020932
OG0002334	LOC129786267	ASIC020940
OG0002335	LOC129786296	ASIC020933
OG0002336	LOC129786256	ASIC020937, ASIC020936
OG0002337	LOC129791435	ASIC010283
OG0002338	LOC129786699	ASIC009556
OG0002339	LOC129796019	ASIC015352
OG0002340	LOC129795472	ASIC013306
OG0002341	LOC129795471	ASIC013312
OG0002342	LOC129791807	ASIC009779
OG0002343	LOC129786936	ASIC021224, ASIC021223
OG0002344	LOC129786043	ASIC012532
OG0002347	LOC129794184	ASIC018191
OG0002348	LOC129787124, LOC129789001	ASIC004325
OG0002349	LOC129787282	ASIC021519, ASIC021518
OG0002350	LOC129787523	ASIC011104
OG0002351	LOC129787150	ASIC009921
OG0002352	LOC129790865, LOC129790231	ASIC007654
OG0002353	LOC129789284	ASIC009591, ASIC015326
OG0002355	LOC129795357	ASIC004931
OG0002356	LOC129786496	ASIC021496
OG0002357	LOC129796952	ASIC010108
OG0002359	LOC129796826	ASIC021495
OG0002360	LOC129793096	ASIC018824
OG0002361	LOC129794309	ASIC012405
OG0002362	LOC129786375	ASIC013622
OG0002363	LOC129792566	ASIC017364
OG0002364	LOC129786277	ASIC006141
OG0002365	LOC129792656	ASIC013631
OG0002367	LOC129794620	ASIC011485
OG0002368	LOC129794057	ASIC008520, ASIC008531
OG0002369	LOC129796302	ASIC009313
OG0002370	LOC129795401	ASIC002175
OG0002371	LOC129796313	ASIC017836
OG0002372	LOC129786076	ASIC008412
OG0002373	LOC129795733	ASIC005978
OG0002374	LOC129796619	ASIC012855
OG0002375	LOC129796931	ASIC004772
OG0002376	LOC129786382	ASIC017921
OG0002377	LOC129797330	ASIC004763
OG0002378	LOC129796930	ASIC004771
OG0002379	LOC129797640	ASIC004754
OG0002381	LOC129795607	ASIC004774
OG0002382	LOC129789462, LOC129786346	ASIC011305
OG0002383	LOC129797341	ASIC000807
OG0002384	LOC129797178	ASIC004856
OG0002385	LOC129793384	ASIC015007
OG0002386	LOC129788590	ASIC007365
OG0002387	LOC129790966, LOC129790962	ASIC007364
OG0002388	LOC129789974	ASIC014123
OG0002389	LOC129789922, LOC129789923	ASIC006890
OG0002390	LOC129790073	ASIC020170
OG0002391	LOC129789078	ASIC020823
OG0002392	LOC129790402	ASIC020168
OG0002393	LOC129796443	ASIC019906
OG0002395	LOC129789386	ASIC009156, ASIC004465
OG0002396	LOC129787280	ASIC016864
OG0002397	LOC129792725	ASIC010992
OG0002399	LOC129794857, LOC129787284	ASIC016875
OG0002401	LOC129789667	ASIC009075
OG0002402	LOC129790284, LOC129789947	ASIC006470
OG0002403	LOC129789084, LOC129789088	ASIC009086
OG0002404	LOC129790472	ASIC006598
OG0002406	LOC129791173	ASIC010155
OG0002408	LOC129797670	ASIC010157
OG0002409	LOC129794649	ASIC015515
OG0002410	LOC129796322	ASIC015582
OG0002411	LOC129794916	ASIC015504
OG0002412	LOC129794580	ASIC015548
OG0002414	LOC129793151	ASIC017442
OG0002415	LOC129788332	ASIC021870
OG0002416	LOC129791826	ASIC000414, ASIC013785
OG0002417	LOC129792313	ASIC002709
OG0002418	LOC129793117	ASIC003259
OG0002419	LOC129788994	ASIC020540
OG0002420	LOC129789356	ASIC012868
OG0002421	LOC129787829	ASIC020906
OG0002422	LOC129788374	ASIC005299
OG0002423	LOC129792721	ASIC002626
OG0002424	LOC129791358	ASIC005304
OG0002425	LOC129790699	ASIC012615, ASIC012614
OG0002426	LOC129790478	ASIC002624
OG0002427	LOC129787552	ASIC005574
OG0002428	LOC129787827	ASIC020903
OG0002429	LOC129794503	ASIC013876
OG0002430	LOC129792689	ASIC019093
OG0002431	LOC129794794	ASIC005571
OG0002432	LOC129790799	ASIC015755
OG0002433	LOC129796596	ASIC004804
OG0002434	LOC129796595	ASIC004806
OG0002435	LOC129788886	ASIC005577
OG0002436	LOC129795366	ASIC004808
OG0002437	LOC129793010	ASIC019645
OG0002438	LOC129790698	ASIC002437
OG0002439	LOC129793416	ASIC003107
OG0002440	LOC129793387	ASIC003106
OG0002441	LOC129791833	ASIC001377, ASIC016620
OG0002442	LOC129791169	ASIC010122
OG0002443	LOC129795304	ASIC014965
OG0002444	LOC129797612	ASIC014972
OG0002445	LOC129797371	ASIC014967
OG0002446	LOC129786723	ASIC002499
OG0002447	LOC129797406	ASIC021092
OG0002448	LOC129797407	ASIC020557
OG0002449	LOC129797012	ASIC012776
OG0002450	LOC129797097	ASIC020968
OG0002451	LOC129786982	ASIC020876
OG0002452	LOC129786996	ASIC020915
OG0002453	LOC129788324	ASIC007625
OG0002454	LOC129790669	ASIC006819
OG0002455	LOC129796197	ASIC008558
OG0002456	LOC129796391	ASIC013663
OG0002457	LOC129795197	ASIC007893
OG0002458	LOC129795191	ASIC007894
OG0002459	LOC129795190	ASIC007896
OG0002460	LOC129787295	ASIC022233
OG0002461	LOC129796078, LOC129787274	ASIC022222
OG0002462	LOC129797861	ASIC014024
OG0002463	LOC129793046	ASIC020320
OG0002464	LOC129797149	ASIC009948
OG0002465	LOC129785971	ASIC020587
OG0002466	LOC129796587	ASIC019349
OG0002467	LOC129796038	ASIC019430, ASIC019429
OG0002468	LOC129797066	ASIC011552
OG0002469	LOC129797060	ASIC011553
OG0002470	LOC129790273	ASIC010257, ASIC018856
OG0002471	LOC129789315	ASIC012058
OG0002472	LOC129790898	ASIC006568
OG0002473	LOC129793956	ASIC018869
OG0002474	LOC129788869	ASIC014426
OG0002475	LOC129791133	ASIC014434
OG0002476	LOC129790070	ASIC014429
OG0002477	LOC129791388	ASIC004761
OG0002478	LOC129793190	ASIC005798
OG0002479	LOC129789103	ASIC015087
OG0002480	LOC129791874	ASIC017345
OG0002481	LOC129788471	ASIC006614
OG0002482	LOC129797133	ASIC007108
OG0002483	LOC129793504	ASIC010486
OG0002484	LOC129786397	ASIC020961, ASIC020959
OG0002485	LOC129786440	ASIC021040
OG0002486	LOC129787049, LOC129793799	ASIC020964
OG0002487	LOC129786101	ASIC020954
OG0002488	LOC129791947	ASIC009336
OG0002489	LOC129797508	ASIC022364
OG0002490	LOC129795544	ASIC022160
OG0002491	LOC129796181	ASIC015614
OG0002492	LOC129795956	ASIC015613
OG0002493	LOC129787146	ASIC015890
OG0002494	LOC129795595	ASIC015612
OG0002495	LOC129797046	ASIC000337
OG0002496	LOC129793195	ASIC007061
OG0002497	LOC129786854	ASIC021722
OG0002498	LOC129786470	ASIC008689
OG0002499	LOC129795391	ASIC005073
OG0002500	LOC129790765	ASIC008998
OG0002501	LOC129797391	ASIC008992, ASIC008994
OG0002502	LOC129796088	ASIC014961, ASIC014962
OG0002503	LOC129786336	ASIC008990
OG0002504	LOC129797393	ASIC008988
OG0002505	LOC129790267	ASIC004554
OG0002506	LOC129786984	ASIC020872
OG0002507	LOC129786983	ASIC020875
OG0002508	LOC129787412	ASIC015242
OG0002509	LOC129796998	ASIC021499, ASIC021498
OG0002510	LOC129791800	ASIC002752, ASIC002751
OG0002511	LOC129797402	ASIC007053
OG0002512	LOC129790994	ASIC002750
OG0002513	LOC129786485, LOC129786483	ASIC012633
OG0002514	LOC129788143	ASIC002834
OG0002515	LOC129797549	ASIC003509
OG0002516	LOC129792429	ASIC012928
OG0002517	LOC129791599	ASIC012933, ASIC012931
OG0002518	LOC129794086	ASIC012926
OG0002519	LOC129786589	ASIC020118
OG0002520	LOC129795012	ASIC000725
OG0002522	LOC129793999	ASIC021263, ASIC021262
OG0002523	LOC129792441, LOC129791102	ASIC021256
OG0002524	LOC129791630	ASIC007579
OG0002525	LOC129797592	ASIC000827
OG0002526	LOC129787633	ASIC012302, ASIC012303
OG0002527	LOC129790487	ASIC000828
OG0002528	LOC129796578	ASIC000823
OG0002529	LOC129797613	ASIC000829
OG0002530	LOC129789414	ASIC014810
OG0002533	LOC129796137	ASIC014798
OG0002534	LOC129789534	ASIC014806, ASIC014796
OG0002535	LOC129794815	ASIC014484
OG0002536	LOC129791672	ASIC010632
OG0002538	LOC129790714	ASIC020720
OG0002539	LOC129789052	ASIC013106
OG0002540	LOC129797495	ASIC020731
OG0002541	LOC129789005	ASIC013105
OG0002542	LOC129793750	ASIC015285
OG0002543	LOC129797455	ASIC002949
OG0002544	LOC129789455	ASIC007414
OG0002545	LOC129788989	ASIC007254
OG0002546	LOC129788340	ASIC007266
OG0002547	LOC129792314	ASIC012905
OG0002548	LOC129792134	ASIC012910
OG0002550	LOC129794627, LOC129797017	ASIC011099
OG0002552	LOC129786445	ASIC018970
OG0002553	LOC129789486	ASIC007443
OG0002554	LOC129795184	ASIC016006
OG0002555	LOC129786513	ASIC011392
OG0002556	LOC129796819	ASIC012854
OG0002557	LOC129795783	ASIC018107
OG0002558	LOC129787179	ASIC018116
OG0002561	LOC129787231	ASIC013215
OG0002562	LOC129792527	ASIC016335
OG0002563	LOC129792521	ASIC016334
OG0002564	LOC129792823, LOC129792824	ASIC003120
OG0002565	LOC129795789	ASIC016276
OG0002566	LOC129795720	ASIC017832
OG0002567	LOC129796882	ASIC002420, ASIC002421
OG0002568	LOC129795880	ASIC017835, ASIC017834
OG0002571	LOC129790829	ASIC004358, ASIC004359
OG0002572	LOC129788589	ASIC005172, ASIC005173
OG0002573	LOC129797580	ASIC019271, ASIC000881
OG0002574	LOC129790149	ASIC018243
OG0002575	LOC129786052	ASIC015443
OG0002576	LOC129786026	ASIC018239
OG0002577	LOC129792319	ASIC003714
OG0002578	LOC129796386	ASIC008353, ASIC001767
OG0002579	LOC129795992	ASIC021086
OG0002580	LOC129788075	ASIC004910
OG0002581	LOC129788821	ASIC007713
OG0002583	LOC129788078	ASIC004911
OG0002584	LOC129795888	ASIC020124
OG0002585	LOC129796775	ASIC020126
OG0002587	LOC129796136	ASIC018012
OG0002588	LOC129795432	ASIC005051
OG0002589	LOC129795429	ASIC005050
OG0002590	LOC129795308	ASIC018014
OG0002592	LOC129787744	ASIC003528
OG0002595	LOC129791461	ASIC003840
OG0002596	LOC129797435	ASIC020997
OG0002597	LOC129796801	ASIC020998
OG0002598	LOC129793798	ASIC005788
OG0002599	LOC129788919, LOC129788918	ASIC017737
OG0002600	LOC129788917	ASIC017726
OG0002601	LOC129793503	ASIC014591
OG0002602	LOC129794214	ASIC011704, ASIC011703
OG0002603	LOC129793616	ASIC006181
OG0002604	LOC129789823	ASIC006117
OG0002605	LOC129791149	ASIC006110
OG0002606	LOC129793535	ASIC006109, ASIC006108
OG0002607	LOC129786254	ASIC017188
OG0002608	LOC129795860	ASIC008013, ASIC008014
OG0002609	LOC129787569	ASIC020088, ASIC020087
OG0002610	LOC129796402	ASIC008004
OG0002611	LOC129793043	ASIC018495
OG0002612	LOC129791612	ASIC016479
OG0002613	LOC129795404	ASIC021728, ASIC021739
OG0002614	LOC129797182	ASIC008403
OG0002615	LOC129797181	ASIC008433
OG0002616	LOC129796842	ASIC008407
OG0002617	LOC129797184	ASIC008404
OG0002618	LOC129791551	ASIC013458
OG0002619	LOC129788926	ASIC013457
OG0002620	LOC129795615	ASIC013456, ASIC013454
OG0002623	LOC129787768	ASIC012655
OG0002624	LOC129786992, LOC129786328	ASIC013315
OG0002625	LOC129786062	ASIC011971
OG0002626	LOC129795487	ASIC003204
OG0002627	LOC129787922	ASIC011007
OG0002628	LOC129787925	ASIC011005, ASIC011004
OG0002629	LOC129786702	ASIC006101
OG0002630	LOC129786685	ASIC006121
OG0002631	LOC129788511	ASIC006602
OG0002633	LOC129797512	ASIC010828
OG0002634	LOC129790315	ASIC010829
OG0002635	LOC129797851, LOC129785829	ASIC013940
OG0002636	LOC129792847	ASIC019086, ASIC019085
OG0002637	LOC129797840	ASIC021355
OG0002638	LOC129792613	ASIC015907
OG0002639	LOC129789068	ASIC005692, ASIC007594
OG0002640	LOC129789037	ASIC002799
OG0002642	LOC129793351	ASIC002803
OG0002643	LOC129790204	ASIC002802
OG0002644	LOC129791074	ASIC007237
OG0002645	LOC129788894	ASIC007233
OG0002646	LOC129786831	ASIC007226
OG0002647	LOC129791760	ASIC007239
OG0002648	LOC129788889	ASIC007234
OG0002649	LOC129795280	ASIC019374
OG0002650	LOC129792891	ASIC009533
OG0002651	LOC129797255	ASIC017006
OG0002652	LOC129793155	ASIC008503
OG0002653	LOC129786439	ASIC008452
OG0002654	LOC129796350	ASIC011225
OG0002655	LOC129797444	ASIC009782
OG0002656	LOC129797614	ASIC008428
OG0002657	LOC129790444	ASIC006434
OG0002658	LOC129790596	ASIC010728
OG0002659	LOC129787735	ASIC010904
OG0002660	LOC129790510	ASIC000609
