Orthogroup	LlongipalpisASM	AfunestusAfunGA1
OG0002053	LOC129797520	AFUN2_003693
OG0002054	LOC129796471	AFUN2_012860
OG0002055	LOC129795446	AFUN2_003231
OG0002056	LOC129796303	AFUN2_014228
OG0002057	LOC129796472	AFUN2_002996
OG0002058	LOC129793910	AFUN2_010573
OG0002059	LOC129796534	AFUN2_002833, AFUN2_008903
OG0002060	LOC129794853	AFUN2_010847
OG0002061	LOC129787988	AFUN2_003438
OG0002062	LOC129796074	AFUN2_005789
OG0002063	LOC129797489	AFUN2_008172
OG0002064	LOC129796436	AFUN2_004758
OG0002065	LOC129792004, LOC129794614	AFUN2_008049
OG0002066	LOC129796138	AFUN2_001388
OG0002067	LOC129795350	AFUN2_001308
OG0002068	LOC129797761	AFUN2_012360
OG0002069	LOC129797826, LOC129788594	AFUN2_013536
OG0002071	LOC129795692	AFUN2_012681, AFUN2_000832
OG0002072	LOC129789432	AFUN2_012665
OG0002073	LOC129794275	AFUN2_003920
OG0002074	LOC129792662	AFUN2_004349
OG0002075	LOC129792271	AFUN2_000462
OG0002076	LOC129792610	AFUN2_013726
OG0002077	LOC129795742	AFUN2_012898
OG0002078	LOC129786002	AFUN2_001878
OG0002079	LOC129786109	AFUN2_003274
OG0002080	LOC129794911	AFUN2_008661
OG0002081	LOC129788016, LOC129795800	AFUN2_008613
OG0002082	LOC129794597	AFUN2_009457
OG0002083	LOC129787679	AFUN2_011982
OG0002084	LOC129791859	AFUN2_009919
OG0002085	LOC129788403, LOC129788402	AFUN2_014707
OG0002086	LOC129786135, LOC129786019	AFUN2_004782
OG0002087	LOC129796881	AFUN2_008086
OG0002088	LOC129795724	AFUN2_013562
OG0002089	LOC129796615	AFUN2_011182
OG0002090	LOC129796235	AFUN2_002895
OG0002091	LOC129788450	AFUN2_012309
OG0002092	LOC129787669	AFUN2_012593
OG0002093	LOC129795709	AFUN2_010593
OG0002094	LOC129795213	AFUN2_009439
OG0002095	LOC129786568	AFUN2_003664
OG0002098	LOC129785822	AFUN2_001646
OG0002099	LOC129797209	AFUN2_005052
OG0002100	LOC129793188, LOC129793187	AFUN2_001835
OG0002101	LOC129787041	AFUN2_013257
OG0002102	LOC129787051	AFUN2_003594
OG0002103	LOC129790062	AFUN2_000747
OG0002104	LOC129795021, LOC129788515	AFUN2_004925
OG0002105	LOC129790023	AFUN2_001694
OG0002106	LOC129791064	AFUN2_006735
OG0002107	LOC129796177	AFUN2_005676
OG0002108	LOC129788481	AFUN2_006645
OG0002109	LOC129791914	AFUN2_003026
OG0002110	LOC129790068	AFUN2_002017
OG0002111	LOC129796167	AFUN2_008490
OG0002112	LOC129789295	AFUN2_011695
OG0002113	LOC129788380	AFUN2_013602
OG0002114	LOC129790798	AFUN2_004586
OG0002115	LOC129792622	AFUN2_010808
OG0002116	LOC129791818	AFUN2_007460
OG0002117	LOC129792628	AFUN2_010364
OG0002118	LOC129792365	AFUN2_012876
OG0002119	LOC129792165	AFUN2_013502
OG0002120	LOC129786317	AFUN2_006039
OG0002121	LOC129789097	AFUN2_011526
OG0002122	LOC129791865	AFUN2_001151
OG0002123	LOC129792550	AFUN2_014471
OG0002124	LOC129792128	AFUN2_006552
OG0002125	LOC129789847, LOC129791422	AFUN2_001078
OG0002126	LOC129793297	AFUN2_008421
OG0002127	LOC129792100	AFUN2_004444
OG0002128	LOC129792548	AFUN2_012370
OG0002129	LOC129792129	AFUN2_011024
OG0002130	LOC129794340	AFUN2_012589
OG0002131	LOC129797194	AFUN2_014816
OG0002132	LOC129792102	AFUN2_003743
OG0002133	LOC129793858	AFUN2_007327
OG0002134	LOC129790066	AFUN2_011988
OG0002135	LOC129795626	AFUN2_006753
OG0002136	LOC129789141	AFUN2_004462
OG0002137	LOC129789022	AFUN2_011716
OG0002138	LOC129786190	AFUN2_009006
OG0002139	LOC129788531	AFUN2_006243
OG0002140	LOC129792041	AFUN2_008983
OG0002141	LOC129794790	AFUN2_013816
OG0002142	LOC129794293	AFUN2_010701
OG0002143	LOC129794878	AFUN2_006388
OG0002144	LOC129796165	AFUN2_006782
OG0002145	LOC129794992	AFUN2_010331
OG0002146	LOC129792611	AFUN2_006521, AFUN2_004631
OG0002149	LOC129795812	AFUN2_012515
OG0002150	LOC129793207	AFUN2_000571
OG0002151	LOC129792849	AFUN2_013355
OG0002152	LOC129787483	AFUN2_008660
OG0002153	LOC129792349	AFUN2_004907
OG0002154	LOC129786459	AFUN2_006929
OG0002156	LOC129795641	AFUN2_009613
OG0002157	LOC129794282	AFUN2_013176
OG0002158	LOC129792677	AFUN2_000837
OG0002159	LOC129793989	AFUN2_013046
OG0002160	LOC129788807	AFUN2_010876
OG0002161	LOC129789584	AFUN2_002471
OG0002162	LOC129792208	AFUN2_006584
OG0002163	LOC129789633, LOC129795922	AFUN2_011162
OG0002164	LOC129789915	AFUN2_005960
OG0002165	LOC129790660	AFUN2_000714
OG0002166	LOC129788457	AFUN2_001494
OG0002167	LOC129793573	AFUN2_005215
OG0002168	LOC129790952	AFUN2_002666
OG0002169	LOC129789473	AFUN2_001705
OG0002170	LOC129790189	AFUN2_012924
OG0002171	LOC129790264	AFUN2_003187
OG0002172	LOC129789140	AFUN2_011230
OG0002173	LOC129789107	AFUN2_013886
OG0002174	LOC129790705, LOC129790700	AFUN2_007413
OG0002176	LOC129789087	AFUN2_003254
OG0002177	LOC129795949	AFUN2_002492
OG0002178	LOC129795722	AFUN2_011069
OG0002179	LOC129789021	AFUN2_013729
OG0002180	LOC129793143	AFUN2_006817
OG0002181	LOC129790196	AFUN2_005316
OG0002182	LOC129786453	AFUN2_010879
OG0002183	LOC129791374	AFUN2_002696
OG0002184	LOC129797310	AFUN2_003880
OG0002185	LOC129795865	AFUN2_006920
OG0002186	LOC129797706	AFUN2_003349
OG0002187	LOC129786836	AFUN2_008491
OG0002188	LOC129786895	AFUN2_004365
OG0002189	LOC129787436	AFUN2_007320
OG0002190	LOC129788388	AFUN2_003578
OG0002191	LOC129788510	AFUN2_000966
OG0002192	LOC129788448	AFUN2_013609
OG0002193	LOC129789440	AFUN2_005861
OG0002194	LOC129792408	AFUN2_011152
OG0002195	LOC129793090	AFUN2_011826
OG0002196	LOC129792947	AFUN2_010120
OG0002197	LOC129796307	AFUN2_007596
OG0002198	LOC129796032	AFUN2_010752
OG0002199	LOC129794812	AFUN2_005884
OG0002200	LOC129793181	AFUN2_009296
OG0002201	LOC129793237	AFUN2_007928
OG0002202	LOC129793200	AFUN2_001681
OG0002203	LOC129793485	AFUN2_014402
OG0002204	LOC129788693	AFUN2_005868
OG0002205	LOC129794185	AFUN2_003887
OG0002206	LOC129793211	AFUN2_006443
OG0002207	LOC129797559	AFUN2_008386
OG0002208	LOC129789628	AFUN2_013507
OG0002209	LOC129789680, LOC129789687	AFUN2_000413
OG0002210	LOC129791980	AFUN2_011179
OG0002211	LOC129787391	AFUN2_000829
OG0002212	LOC129797348	AFUN2_012514
OG0002213	LOC129788136	AFUN2_003335
OG0002214	LOC129788860	AFUN2_005284
OG0002215	LOC129786768	AFUN2_008671
OG0002216	LOC129794210	AFUN2_002787
OG0002217	LOC129793381, LOC129793379	AFUN2_011488
OG0002218	LOC129788862	AFUN2_010882
OG0002219	LOC129790860	AFUN2_013061
OG0002220	LOC129797609	AFUN2_012225
OG0002221	LOC129787562	AFUN2_008740
OG0002222	LOC129793261	AFUN2_005905
OG0002223	LOC129795732	AFUN2_003030
OG0002224	LOC129797443	AFUN2_010496
OG0002225	LOC129795743, LOC129795745	AFUN2_010110
OG0002226	LOC129796496	AFUN2_013045
OG0002227	LOC129795589	AFUN2_004378
OG0002229	LOC129795588	AFUN2_008871
OG0002230	LOC129796777	AFUN2_005716
OG0002231	LOC129788560	AFUN2_001882
OG0002232	LOC129785910	AFUN2_011407
OG0002233	LOC129793461	AFUN2_001263
OG0002234	LOC129792716	AFUN2_007424
OG0002235	LOC129796803	AFUN2_011873
OG0002236	LOC129789903, LOC129797367	AFUN2_002742
OG0002237	LOC129787792	AFUN2_011203
OG0002238	LOC129786065	AFUN2_001877
OG0002239	LOC129797602	AFUN2_006182
OG0002240	LOC129790493	AFUN2_004592
OG0002241	LOC129787979	AFUN2_008568
OG0002242	LOC129787955	AFUN2_007352
OG0002244	LOC129788699	AFUN2_013033
OG0002245	LOC129794046	AFUN2_002019
OG0002246	LOC129788702	AFUN2_005459
OG0002247	LOC129785965	AFUN2_005932
OG0002248	LOC129790227, LOC129797606	AFUN2_004180
OG0002249	LOC129789817	AFUN2_009277
OG0002251	LOC129789579	AFUN2_002963
OG0002252	LOC129786273	AFUN2_012187
OG0002253	LOC129788451	AFUN2_013382
OG0002254	LOC129793410	AFUN2_006863
OG0002255	LOC129796246	AFUN2_013605
OG0002256	LOC129793333	AFUN2_011591
OG0002257	LOC129786737	AFUN2_014783
OG0002258	LOC129788415, LOC129793194	AFUN2_011390
OG0002259	LOC129785858	AFUN2_013200
OG0002260	LOC129788509	AFUN2_000860
OG0002261	LOC129793788	AFUN2_005219
OG0002262	LOC129791873	AFUN2_004155
OG0002263	LOC129791669	AFUN2_008774
OG0002264	LOC129793023	AFUN2_010554
OG0002265	LOC129791657	AFUN2_008854
OG0002266	LOC129785912	AFUN2_014753, AFUN2_011028
OG0002267	LOC129791731, LOC129791729	AFUN2_005146
OG0002268	LOC129797731	AFUN2_001639
OG0002270	LOC129795116	AFUN2_008101
OG0002271	LOC129795960	AFUN2_006491
OG0002272	LOC129790531	AFUN2_006110
OG0002273	LOC129794997	AFUN2_011537
OG0002274	LOC129788771	AFUN2_002904
OG0002275	LOC129788122, LOC129796151	AFUN2_012320
OG0002276	LOC129788796	AFUN2_002288
OG0002277	LOC129786934	AFUN2_007291
OG0002278	LOC129786933, LOC129786932	AFUN2_002292
OG0002281	LOC129787739	AFUN2_013087
OG0002282	LOC129788062, LOC129788066	AFUN2_013994
OG0002283	LOC129793663	AFUN2_013050, AFUN2_008928
OG0002284	LOC129786555	AFUN2_000894
OG0002285	LOC129788063	AFUN2_003434
OG0002286	LOC129793658	AFUN2_014185
OG0002287	LOC129793672	AFUN2_012983
OG0002288	LOC129793661	AFUN2_008123
OG0002289	LOC129788137	AFUN2_002623
OG0002290	LOC129789278	AFUN2_006870
OG0002291	LOC129787557	AFUN2_001834
OG0002292	LOC129795898	AFUN2_013802
OG0002293	LOC129794480	AFUN2_001575
OG0002294	LOC129786106	AFUN2_004962
OG0002295	LOC129797132	AFUN2_013961
OG0002296	LOC129790316	AFUN2_000557
OG0002298	LOC129792758	AFUN2_004561
OG0002299	LOC129797168	AFUN2_012079
OG0002300	LOC129787547	AFUN2_007228
OG0002301	LOC129797203	AFUN2_010702
OG0002302	LOC129797189	AFUN2_012785
OG0002304	LOC129795418	AFUN2_006715
OG0002305	LOC129797328, LOC129792354	AFUN2_009685
OG0002306	LOC129795987	AFUN2_011364
OG0002307	LOC129787027	AFUN2_011618
OG0002308	LOC129791629	AFUN2_003614
OG0002309	LOC129792903	AFUN2_011658
OG0002310	LOC129789716	AFUN2_009606
OG0002311	LOC129797452	AFUN2_012906
OG0002312	LOC129785887	AFUN2_011557
OG0002313	LOC129795613	AFUN2_014403
OG0002314	LOC129797510	AFUN2_004280
OG0002315	LOC129794653	AFUN2_011435
OG0002316	LOC129796203	AFUN2_010147
OG0002317	LOC129793168	AFUN2_007524
OG0002318	LOC129790590	AFUN2_007398
OG0002319	LOC129797356	AFUN2_008395
OG0002321	LOC129787175	AFUN2_001679
OG0002322	LOC129789941, LOC129789940	AFUN2_003579
OG0002325	LOC129785876	AFUN2_004674
OG0002326	LOC129787545	AFUN2_013348
OG0002328	LOC129791851	AFUN2_003287
OG0002329	LOC129797403	AFUN2_000420
OG0002330	LOC129786253	AFUN2_003817
OG0002331	LOC129786187	AFUN2_006319
OG0002332	LOC129786748	AFUN2_008937
OG0002333	LOC129786299	AFUN2_013199
OG0002334	LOC129786267	AFUN2_008270
OG0002335	LOC129786296	AFUN2_005187
OG0002336	LOC129786256	AFUN2_004857
OG0002337	LOC129791435	AFUN2_013229
OG0002338	LOC129786699	AFUN2_007181
OG0002339	LOC129796019	AFUN2_014538
OG0002340	LOC129795472	AFUN2_008044
OG0002341	LOC129795471	AFUN2_011752
OG0002342	LOC129791807	AFUN2_009989
OG0002343	LOC129786936	AFUN2_003195
OG0002344	LOC129786043	AFUN2_004380
OG0002346	LOC129796797	AFUN2_004853
OG0002347	LOC129794184	AFUN2_001287
OG0002348	LOC129787124, LOC129789001	AFUN2_003907
OG0002349	LOC129787282	AFUN2_001735
OG0002350	LOC129787523	AFUN2_014511
OG0002351	LOC129787150	AFUN2_010430
OG0002352	LOC129790865, LOC129790231	AFUN2_013235
OG0002353	LOC129789284	AFUN2_008812
OG0002355	LOC129795357	AFUN2_007423
OG0002356	LOC129786496	AFUN2_009604
OG0002357	LOC129796952	AFUN2_002807
OG0002358	LOC129789471	AFUN2_012258
OG0002359	LOC129796826	AFUN2_014655
OG0002360	LOC129793096	AFUN2_005982
OG0002361	LOC129794309	AFUN2_011065
OG0002362	LOC129786375	AFUN2_009979
OG0002363	LOC129792566	AFUN2_012209
OG0002364	LOC129786277	AFUN2_002860
OG0002365	LOC129792656	AFUN2_010237
OG0002367	LOC129794620	AFUN2_001531
OG0002368	LOC129794057	AFUN2_011247
OG0002369	LOC129796302	AFUN2_003279
OG0002370	LOC129795401	AFUN2_011771
OG0002371	LOC129796313	AFUN2_006911
OG0002372	LOC129786076	AFUN2_007781
OG0002373	LOC129795733	AFUN2_001167
OG0002374	LOC129796619	AFUN2_002487
OG0002375	LOC129796931	AFUN2_010238
OG0002376	LOC129786382	AFUN2_013290
OG0002377	LOC129797330	AFUN2_013852
OG0002378	LOC129796930	AFUN2_004068
OG0002380	LOC129795616	AFUN2_012687
OG0002381	LOC129795607	AFUN2_001211
OG0002382	LOC129789462, LOC129786346	AFUN2_012088
OG0002383	LOC129797341	AFUN2_008366
OG0002384	LOC129797178	AFUN2_011491
OG0002385	LOC129793384	AFUN2_014252
OG0002386	LOC129788590	AFUN2_001044
OG0002387	LOC129790966, LOC129790962	AFUN2_002475
OG0002388	LOC129789974	AFUN2_003970
OG0002389	LOC129789922, LOC129789923	AFUN2_005503
OG0002390	LOC129790073	AFUN2_008329
OG0002391	LOC129789078	AFUN2_007801
OG0002392	LOC129790402	AFUN2_006003
OG0002393	LOC129796443	AFUN2_010070
OG0002395	LOC129789386	AFUN2_005575
OG0002396	LOC129787280	AFUN2_008489
OG0002397	LOC129792725	AFUN2_003672
OG0002399	LOC129794857, LOC129787284	AFUN2_011216
OG0002400	LOC129787157, LOC129790536, LOC129789042	AFUN2_014226
OG0002401	LOC129789667	AFUN2_014245
OG0002402	LOC129790284, LOC129789947	AFUN2_006071
OG0002403	LOC129789084, LOC129789088	AFUN2_000520
OG0002404	LOC129790472	AFUN2_014424
OG0002406	LOC129791173	AFUN2_011148
OG0002408	LOC129797670	AFUN2_011583
OG0002409	LOC129794649	AFUN2_005962
OG0002410	LOC129796322	AFUN2_012490
OG0002411	LOC129794916	AFUN2_005672
OG0002412	LOC129794580	AFUN2_013479
OG0002414	LOC129793151	AFUN2_010638
OG0002415	LOC129788332	AFUN2_002147
OG0002416	LOC129791826	AFUN2_005165
OG0002417	LOC129792313	AFUN2_007672
OG0002418	LOC129793117	AFUN2_009722
OG0002419	LOC129788994	AFUN2_007412
OG0002420	LOC129789356	AFUN2_004117
OG0002421	LOC129787829	AFUN2_001497
OG0002422	LOC129788374	AFUN2_013645
OG0002423	LOC129792721	AFUN2_001176
OG0002424	LOC129791358	AFUN2_007699
OG0002425	LOC129790699	AFUN2_001751
OG0002426	LOC129790478	AFUN2_013467
OG0002427	LOC129787552	AFUN2_000936
OG0002428	LOC129787827	AFUN2_004900
OG0002429	LOC129794503	AFUN2_006346
OG0002430	LOC129792689	AFUN2_009522
OG0002431	LOC129794794	AFUN2_014347
OG0002432	LOC129790799	AFUN2_013741
OG0002433	LOC129796596	AFUN2_005536
OG0002434	LOC129796595	AFUN2_013642
OG0002435	LOC129788886	AFUN2_009270, AFUN2_004582
OG0002436	LOC129795366	AFUN2_013859
OG0002437	LOC129793010	AFUN2_003805
OG0002438	LOC129790698	AFUN2_012663
OG0002439	LOC129793416	AFUN2_006281
OG0002440	LOC129793387	AFUN2_004106
OG0002441	LOC129791833	AFUN2_005378
OG0002442	LOC129791169	AFUN2_008399
OG0002443	LOC129795304	AFUN2_013617
OG0002444	LOC129797612	AFUN2_008043
OG0002445	LOC129797371	AFUN2_004801
OG0002446	LOC129786723	AFUN2_012064
OG0002447	LOC129797406	AFUN2_013415
OG0002448	LOC129797407	AFUN2_011767
OG0002449	LOC129797012	AFUN2_011366
OG0002450	LOC129797097	AFUN2_005927
OG0002451	LOC129786982	AFUN2_007550
OG0002452	LOC129786996	AFUN2_012332
OG0002453	LOC129788324	AFUN2_009096
OG0002454	LOC129790669	AFUN2_011225
OG0002455	LOC129796197	AFUN2_012409
OG0002456	LOC129796391	AFUN2_011808
OG0002457	LOC129795197	AFUN2_011051
OG0002458	LOC129795191	AFUN2_008688
OG0002459	LOC129795190	AFUN2_010946
OG0002460	LOC129787295	AFUN2_004345
OG0002461	LOC129796078, LOC129787274	AFUN2_009718
OG0002462	LOC129797861	AFUN2_013300
OG0002463	LOC129793046	AFUN2_001608
OG0002464	LOC129797149	AFUN2_005583
OG0002465	LOC129785971	AFUN2_005416
OG0002466	LOC129796587	AFUN2_002395
OG0002467	LOC129796038	AFUN2_000425
OG0002468	LOC129797066	AFUN2_009570
OG0002469	LOC129797060	AFUN2_002710
OG0002470	LOC129790273	AFUN2_011649
OG0002471	LOC129789315	AFUN2_006458
OG0002472	LOC129790898	AFUN2_002605
OG0002473	LOC129793956	AFUN2_009971
OG0002474	LOC129788869	AFUN2_002514
OG0002475	LOC129791133	AFUN2_002455
OG0002476	LOC129790070	AFUN2_009869
OG0002477	LOC129791388	AFUN2_006180
OG0002478	LOC129793190	AFUN2_014697
OG0002479	LOC129789103	AFUN2_013249
OG0002480	LOC129791874	AFUN2_003166
OG0002481	LOC129788471	AFUN2_008157
OG0002482	LOC129797133	AFUN2_003678
OG0002483	LOC129793504	AFUN2_011211
OG0002484	LOC129786397	AFUN2_001838
OG0002485	LOC129786440	AFUN2_010826
OG0002486	LOC129787049, LOC129793799	AFUN2_009115
OG0002487	LOC129786101	AFUN2_014299
OG0002488	LOC129791947	AFUN2_007271
OG0002489	LOC129797508	AFUN2_000942
OG0002490	LOC129795544	AFUN2_005092
OG0002491	LOC129796181	AFUN2_002699
OG0002492	LOC129795956	AFUN2_008924
OG0002493	LOC129787146	AFUN2_009866
OG0002494	LOC129795595	AFUN2_009749
OG0002495	LOC129797046	AFUN2_005282
OG0002496	LOC129793195	AFUN2_004533
OG0002497	LOC129786854	AFUN2_006434
OG0002498	LOC129786470	AFUN2_009661
OG0002499	LOC129795391	AFUN2_006813
OG0002500	LOC129790765	AFUN2_005818
OG0002501	LOC129797391	AFUN2_004133
OG0002502	LOC129796088	AFUN2_010664
OG0002503	LOC129786336	AFUN2_003203
OG0002504	LOC129797393	AFUN2_003097
OG0002505	LOC129790267	AFUN2_013623
OG0002506	LOC129786984	AFUN2_011016
OG0002507	LOC129786983	AFUN2_004690
OG0002508	LOC129787412	AFUN2_012745
OG0002509	LOC129796998	AFUN2_008029
OG0002510	LOC129791800	AFUN2_005110
OG0002511	LOC129797402	AFUN2_008222
OG0002512	LOC129790994	AFUN2_008277
OG0002513	LOC129786485, LOC129786483	AFUN2_005628
OG0002514	LOC129788143	AFUN2_011726
OG0002515	LOC129797549	AFUN2_012241
OG0002516	LOC129792429	AFUN2_005664
OG0002517	LOC129791599	AFUN2_007221
OG0002518	LOC129794086	AFUN2_009630
OG0002519	LOC129786589	AFUN2_003731
OG0002520	LOC129795012	AFUN2_010902
OG0002522	LOC129793999	AFUN2_012949
OG0002523	LOC129792441, LOC129791102	AFUN2_010125
OG0002524	LOC129791630	AFUN2_003821
OG0002525	LOC129797592	AFUN2_009480
OG0002526	LOC129787633	AFUN2_014120
OG0002527	LOC129790487	AFUN2_007929
OG0002528	LOC129796578	AFUN2_007868
OG0002529	LOC129797613	AFUN2_004395
OG0002530	LOC129789414	AFUN2_014003
OG0002533	LOC129796137	AFUN2_007995
OG0002534	LOC129789534	AFUN2_008815
OG0002535	LOC129794815	AFUN2_011558
OG0002536	LOC129791672	AFUN2_009091
OG0002538	LOC129790714	AFUN2_004015
OG0002539	LOC129789052	AFUN2_013756
OG0002540	LOC129797495	AFUN2_004624
OG0002541	LOC129789005	AFUN2_008245
OG0002542	LOC129793750	AFUN2_014755
OG0002543	LOC129797455	AFUN2_008789
OG0002544	LOC129789455	AFUN2_009477
OG0002545	LOC129788989	AFUN2_007131
OG0002546	LOC129788340	AFUN2_005255
OG0002547	LOC129792314	AFUN2_010435
OG0002548	LOC129792134	AFUN2_004432
OG0002550	LOC129794627, LOC129797017	AFUN2_003522
OG0002551	LOC129786529, LOC129786533, LOC129786531	AFUN2_008892
OG0002552	LOC129786445	AFUN2_009290
OG0002553	LOC129789486	AFUN2_012815
OG0002554	LOC129795184	AFUN2_011321
OG0002555	LOC129786513	AFUN2_003777
OG0002556	LOC129796819	AFUN2_013106
OG0002558	LOC129787179	AFUN2_006070
OG0002561	LOC129787231	AFUN2_009171
OG0002562	LOC129792527	AFUN2_002131
OG0002563	LOC129792521	AFUN2_009563
OG0002564	LOC129792823, LOC129792824	AFUN2_010504
OG0002565	LOC129795789	AFUN2_013980
OG0002566	LOC129795720	AFUN2_011017
OG0002567	LOC129796882	AFUN2_002563
OG0002568	LOC129795880	AFUN2_007404
OG0002571	LOC129790829	AFUN2_000326
OG0002572	LOC129788589	AFUN2_012826
OG0002573	LOC129797580	AFUN2_007854
OG0002574	LOC129790149	AFUN2_008181
OG0002575	LOC129786052	AFUN2_003851
OG0002576	LOC129786026	AFUN2_000718
OG0002577	LOC129792319	AFUN2_004268
OG0002578	LOC129796386	AFUN2_012742
OG0002579	LOC129795992	AFUN2_012085
OG0002580	LOC129788075	AFUN2_002571
OG0002581	LOC129788821	AFUN2_008378
OG0002583	LOC129788078	AFUN2_006789
OG0002584	LOC129795888	AFUN2_014653
OG0002585	LOC129796775	AFUN2_003858
OG0002586	LOC129786706	AFUN2_010397
OG0002587	LOC129796136	AFUN2_006823
OG0002588	LOC129795432	AFUN2_013035
OG0002589	LOC129795429	AFUN2_008149
OG0002590	LOC129795308	AFUN2_002729
OG0002591	LOC129797839	AFUN2_013261
OG0002592	LOC129787744	AFUN2_004156
OG0002595	LOC129791461	AFUN2_010775
OG0002596	LOC129797435	AFUN2_004926
OG0002597	LOC129796801	AFUN2_002938
OG0002598	LOC129793798	AFUN2_002924
OG0002599	LOC129788919, LOC129788918	AFUN2_011124
OG0002600	LOC129788917	AFUN2_005005
OG0002601	LOC129793503	AFUN2_014406
OG0002602	LOC129794214	AFUN2_003161
OG0002603	LOC129793616	AFUN2_002226
OG0002604	LOC129789823	AFUN2_009788
OG0002605	LOC129791149	AFUN2_001076
OG0002606	LOC129793535	AFUN2_001056
OG0002607	LOC129786254	AFUN2_013594
OG0002608	LOC129795860	AFUN2_013244
OG0002609	LOC129787569	AFUN2_006216
OG0002610	LOC129796402	AFUN2_010180
OG0002611	LOC129793043	AFUN2_001436
OG0002612	LOC129791612	AFUN2_011479
OG0002613	LOC129795404	AFUN2_001574
OG0002614	LOC129797182	AFUN2_006689
OG0002615	LOC129797181	AFUN2_005587
OG0002616	LOC129796842	AFUN2_000333
OG0002617	LOC129797184	AFUN2_001519
OG0002618	LOC129791551	AFUN2_000998
OG0002619	LOC129788926	AFUN2_001465
OG0002620	LOC129795615	AFUN2_013834
OG0002623	LOC129787768	AFUN2_012587
OG0002624	LOC129786992, LOC129786328	AFUN2_012325
OG0002625	LOC129786062	AFUN2_009005
OG0002626	LOC129795487	AFUN2_002252
OG0002627	LOC129787922	AFUN2_005597
OG0002628	LOC129787925	AFUN2_012506
OG0002629	LOC129786702	AFUN2_008437
OG0002630	LOC129786685	AFUN2_002232
OG0002631	LOC129788511	AFUN2_012605
OG0002632	LOC129789790	AFUN2_011579
OG0002633	LOC129797512	AFUN2_001202
OG0002634	LOC129790315	AFUN2_010643
OG0002635	LOC129797851, LOC129785829	AFUN2_008026
OG0002636	LOC129792847	AFUN2_001880
OG0002637	LOC129797840	AFUN2_001411
OG0002638	LOC129792613	AFUN2_010140
OG0002639	LOC129789068	AFUN2_009243
OG0002640	LOC129789037	AFUN2_008408
OG0002642	LOC129793351	AFUN2_014317
OG0002643	LOC129790204	AFUN2_007856
OG0002644	LOC129791074	AFUN2_003124
OG0002645	LOC129788894	AFUN2_000580
OG0002646	LOC129786831	AFUN2_008320
OG0002647	LOC129791760	AFUN2_005785
OG0002648	LOC129788889	AFUN2_012980
OG0002649	LOC129795280	AFUN2_004963
OG0002650	LOC129792891	AFUN2_006214
OG0002651	LOC129797255	AFUN2_005897
OG0002652	LOC129793155	AFUN2_000442
OG0002653	LOC129786439	AFUN2_003976
OG0002654	LOC129796350	AFUN2_013034
OG0002655	LOC129797444	AFUN2_003350
OG0002656	LOC129797614	AFUN2_009210
OG0002657	LOC129790444	AFUN2_000495
OG0002658	LOC129790596	AFUN2_011581
OG0002659	LOC129787735	AFUN2_003252
OG0002660	LOC129790510	AFUN2_009623
OG0002661	LOC129793449	AFUN2_000798
OG0002662	LOC129796043	AFUN2_004407, AFUN2_007660
OG0002663	LOC129795117	AFUN2_011132
OG0002664	LOC129795846	AFUN2_007956
OG0002665	LOC129790789	AFUN2_001562
OG0002666	LOC129789285	AFUN2_011732
OG0002667	LOC129793016	AFUN2_007232
OG0002668	LOC129792492	AFUN2_007667
OG0002669	LOC129792498	AFUN2_004858
OG0002671	LOC129786442	AFUN2_013545
OG0002672	LOC129793309	AFUN2_011171
OG0002673	LOC129789428	AFUN2_007471
OG0002674	LOC129786408	AFUN2_005930
OG0002675	LOC129791192	AFUN2_003413
OG0002676	LOC129786852	AFUN2_009666
OG0002677	LOC129788928	AFUN2_004894
OG0002678	LOC129790563	AFUN2_008097
OG0002679	LOC129795610	AFUN2_002064
OG0002680	LOC129786050	AFUN2_011976
OG0002681	LOC129795560	AFUN2_011922
OG0002682	LOC129797445	AFUN2_010447
OG0002683	LOC129797291	AFUN2_009914
OG0002684	LOC129792912	AFUN2_010729
OG0002685	LOC129787159	AFUN2_014124
OG0002688	LOC129793915, LOC129786178	AFUN2_011497
OG0002691	LOC129785946	AFUN2_003133
OG0002692	LOC129788981	AFUN2_003685
OG0002693	LOC129789775	AFUN2_011420
OG0002694	LOC129788636	AFUN2_005793
OG0002695	LOC129789873	AFUN2_000987
OG0002696	LOC129792253	AFUN2_009549
OG0002697	LOC129789854	AFUN2_010631
OG0002698	LOC129795178	AFUN2_013336
OG0002699	LOC129787504	AFUN2_011735
OG0002701	LOC129791883	AFUN2_000473
OG0002702	LOC129793902, LOC129786946	AFUN2_011190
OG0002703	LOC129786645	AFUN2_012100
OG0002704	LOC129786726	AFUN2_000964
OG0002705	LOC129787415	AFUN2_006264
OG0002706	LOC129791437	AFUN2_007512
OG0002707	LOC129786763	AFUN2_013239
OG0002708	LOC129789791	AFUN2_010158
OG0002709	LOC129790141	AFUN2_002950
OG0002710	LOC129790160	AFUN2_010596
OG0002711	LOC129789270	AFUN2_000849
OG0002712	LOC129790801	AFUN2_006802
OG0002713	LOC129792917, LOC129797476	AFUN2_002926
OG0002714	LOC129791727	AFUN2_006313
OG0002716	LOC129787000	AFUN2_006484
OG0002717	LOC129792895	AFUN2_003212
OG0002718	LOC129792901	AFUN2_010984
OG0002719	LOC129795851	AFUN2_009707
OG0002720	LOC129796584	AFUN2_002827
