Orthogroup	LlongipalpisASM	AdirusWRAIR2
OG0001369	LOC129795634	ADIR005631, ADIR005632
OG0001370	LOC129795437	ADIR000329
OG0001371	LOC129792074	ADIR015861
OG0001372	LOC129795849	ADIR010752, ADIR010750
OG0001373	LOC129789048, LOC129789043, LOC129793651, LOC129789013	ADIR001174
OG0001374	LOC129792865	ADIR004822
OG0001375	LOC129793978, LOC129792762, LOC129795854, LOC129791830	ADIR007341
OG0001376	LOC129792898	ADIR003845, ADIR003843
OG0001377	LOC129792532	ADIR000257, ADIR000258
OG0001378	LOC129794706	ADIR002125, ADIR002124
OG0001379	LOC129788726	ADIR005355
OG0001380	LOC129792424	ADIR007035
OG0001381	LOC129793780	ADIR005456
OG0001382	LOC129793511, LOC129795968	ADIR007521
OG0001383	LOC129797248	ADIR003139
OG0001384	LOC129792709	ADIR014077, ADIR000852
OG0001385	LOC129789000	ADIR003952, ADIR003954
OG0001386	LOC129795895, LOC129795900, LOC129796669	ADIR000162
OG0001387	LOC129795414	ADIR005399, ADIR005397
OG0001388	LOC129787304	ADIR003448
OG0001389	LOC129791452	ADIR006812
OG0001390	LOC129787307	ADIR003347
OG0001391	LOC129789040	ADIR001147
OG0001392	LOC129792869	ADIR003664
OG0001392	LOC129792320	ADIR003665
OG0001393	LOC129788658	ADIR000606
OG0001394	LOC129786332	ADIR003258, ADIR003259, ADIR003257
OG0001395	LOC129786709	ADIR010449, ADIR010448
OG0001396	LOC129792394	ADIR003866, ADIR003867
OG0001397	LOC129790720	ADIR008394
OG0001398	LOC129790783	ADIR005972, ADIR005974
OG0001399	LOC129789852	ADIR008311
OG0001400	LOC129794148	ADIR015900, ADIR015901
OG0001401	LOC129785966	ADIR005238
OG0001402	LOC129788358, LOC129788323	ADIR016045
OG0001403	LOC129790814	ADIR001793, ADIR001791
OG0001404	LOC129789519	ADIR014138, ADIR011685, ADIR009320, ADIR009303
OG0001405	LOC129787029	ADIR005556, ADIR005555
OG0001408	LOC129794090	ADIR008952, ADIR008951
OG0001409	LOC129787691, LOC129787692, LOC129787693, LOC129787694	ADIR004172
OG0001410	LOC129795836	ADIR001846, ADIR001845
OG0001411	LOC129792767	ADIR004252, ADIR004249
OG0001412	LOC129787254	ADIR001452, ADIR000500
OG0001413	LOC129792243	ADIR016046
OG0001414	LOC129795699	ADIR005633, ADIR005634
OG0001431	LOC129796692, LOC129796686	ADIR009187, ADIR009186
OG0001444	LOC129791749	ADIR004198
OG0001447	LOC129789309	ADIR008435
OG0001448	LOC129797300	ADIR002723
OG0001449	LOC129793937	ADIR011678
OG0001450	LOC129792179	ADIR006906
OG0001452	LOC129796323	ADIR006575
OG0001454	LOC129795189	ADIR000567
OG0001455	LOC129789413	ADIR010895
OG0001456	LOC129796306	ADIR005712
OG0001458	LOC129792908	ADIR005163, ADIR005162
OG0001459	LOC129785982	ADIR009685
OG0001460	LOC129792966	ADIR000394
OG0001463	LOC129797338, LOC129797339	ADIR002755
OG0001464	LOC129797131	ADIR015744
OG0001465	LOC129791129	ADIR000766, ADIR000765
OG0001466	LOC129793510, LOC129786827, LOC129785848	ADIR000651
OG0001467	LOC129791077	ADIR006313
OG0001468	LOC129788389	ADIR006100
OG0001469	LOC129791746	ADIR009944
OG0001471	LOC129793106	ADIR008865
OG0001472	LOC129794429, LOC129794428, LOC129793075	ADIR007997
OG0001473	LOC129787638	ADIR009102
OG0001474	LOC129788540	ADIR004011
OG0001475	LOC129790456	ADIR006785
OG0001476	LOC129790454	ADIR004951
OG0001477	LOC129794782	ADIR000184
OG0001478	LOC129791803	ADIR007151
OG0001479	LOC129792690	ADIR007160
OG0001480	LOC129789467	ADIR011228
OG0001481	LOC129792723	ADIR003884
OG0001482	LOC129792722	ADIR003885
OG0001483	LOC129791534	ADIR003868, ADIR003869
OG0001484	LOC129792446	ADIR003859
OG0001486	LOC129791975	ADIR016204, ADIR016203
OG0001488	LOC129786309	ADIR015950, ADIR015951
OG0001489	LOC129786140	ADIR004969
OG0001491	LOC129795445	ADIR000308
OG0001492	LOC129788839	ADIR011051, ADIR011054
OG0001493	LOC129789657	ADIR011061
OG0001494	LOC129795685	ADIR011227
OG0001495	LOC129794601, LOC129795731	ADIR004619
OG0001496	LOC129791948	ADIR006895
OG0001497	LOC129793206	ADIR006891
OG0001498	LOC129790584	ADIR001470, ADIR010642
OG0001499	LOC129789756	ADIR010812
OG0001500	LOC129791347	ADIR009525, ADIR002375
OG0001502	LOC129790803	ADIR005157
OG0001503	LOC129797594	ADIR008291
OG0001504	LOC129789482	ADIR001749, ADIR001085
OG0001505	LOC129788406	ADIR000887
OG0001506	LOC129797141	ADIR008558, ADIR004340, ADIR001328
OG0001509	LOC129789890	ADIR004937
OG0001510	LOC129791619	ADIR007047
OG0001511	LOC129794898	ADIR000341
OG0001513	LOC129790094	ADIR010423, ADIR010425
OG0001514	LOC129794509, LOC129788006	ADIR004364
OG0001515	LOC129794063	ADIR001488
OG0001516	LOC129789723	ADIR000822
OG0001517	LOC129793025	ADIR007909
OG0001518	LOC129786143	ADIR002115
OG0001519	LOC129787590	ADIR010432
OG0001521	LOC129787794	ADIR008314
OG0001522	LOC129786952	ADIR002940
OG0001523	LOC129789653, LOC129796678, LOC129790491	ADIR011300
OG0001524	LOC129787654	ADIR003085
OG0001525	LOC129794659	ADIR000525
OG0001526	LOC129786471	ADIR007426
OG0001527	LOC129786192	ADIR011390
OG0001528	LOC129786390, LOC129786377	ADIR011388
OG0001530	LOC129785953	ADIR001108
OG0001532	LOC129797401	ADIR002473
OG0001533	LOC129788033, LOC129788157, LOC129788158	ADIR005448
OG0001534	LOC129796090	ADIR010817, ADIR010819
OG0001535	LOC129790763	ADIR010801, ADIR010800
OG0001536	LOC129795103, LOC129790583	ADIR010808
OG0001537	LOC129795333	ADIR016104
OG0001538	LOC129786614	ADIR002827
OG0001539	LOC129790300, LOC129793277	ADIR001787
OG0001540	LOC129796484	ADIR002286
OG0001541	LOC129797282	ADIR002484
OG0001543	LOC129790535	ADIR000818
OG0001545	LOC129791550	ADIR010999
OG0001546	LOC129796309	ADIR001813
OG0001547	LOC129795817	ADIR000380
OG0001548	LOC129795510	ADIR000379
OG0001549	LOC129790245	ADIR002725
OG0001550	LOC129786366	ADIR009121
OG0001551	LOC129789089	ADIR006085
OG0001552	LOC129796512	ADIR004345
OG0001553	LOC129792539, LOC129793331	ADIR003706
OG0001554	LOC129789305	ADIR011653
OG0001555	LOC129791177	ADIR009283
OG0001556	LOC129788452	ADIR011108, ADIR011107
OG0001557	LOC129785961	ADIR003014
OG0001558	LOC129786044	ADIR003013, ADIR003012
OG0001559	LOC129796361	ADIR015717
OG0001560	LOC129795006	ADIR009681, ADIR009682
OG0001561	LOC129795077, LOC129795076	ADIR005687
OG0001563	LOC129787878	ADIR009083, ADIR014787
OG0001564	LOC129793487	ADIR007138, ADIR007139
OG0001565	LOC129789959	ADIR005348, ADIR005349
OG0001566	LOC129793035	ADIR007438, ADIR007440
OG0001569	LOC129787760	ADIR005390
OG0001570	LOC129793656	ADIR005384
OG0001571	LOC129789218	ADIR004692
OG0001572	LOC129788874	ADIR001325
OG0001573	LOC129786492	ADIR009479, ADIR009480
OG0001574	LOC129793674	ADIR010106
OG0001575	LOC129790110	ADIR001020
OG0001576	LOC129788159	ADIR001161
OG0001577	LOC129791301	ADIR006827
OG0001578	LOC129790970	ADIR005862
OG0001579	LOC129792659	ADIR010304
OG0001580	LOC129787883	ADIR005365
OG0001582	LOC129797368	ADIR004115
OG0001583	LOC129797370	ADIR011711
OG0001584	LOC129797763	ADIR002058
OG0001585	LOC129789268	ADIR005592
OG0001586	LOC129788752	ADIR010571
OG0001587	LOC129787948	ADIR003431
OG0001588	LOC129786414, LOC129786472	ADIR003435, ADIR003436
OG0001589	LOC129789338, LOC129789341	ADIR000292
OG0001590	LOC129792557	ADIR011260
OG0001592	LOC129795990	ADIR001727
OG0001593	LOC129795094	ADIR010395
OG0001594	LOC129787197, LOC129789390	ADIR010394
OG0001595	LOC129792937	ADIR002543
OG0001596	LOC129793446	ADIR008141
OG0001597	LOC129794506	ADIR002020
OG0001598	LOC129796977	ADIR002009, ADIR002012
OG0001599	LOC129795862, LOC129795861	ADIR002006
OG0001600	LOC129787918	ADIR001072
OG0001601	LOC129794834	ADIR000334
OG0001602	LOC129793648	ADIR004477
OG0001603	LOC129787433	ADIR011203
OG0001604	LOC129791740, LOC129797719	ADIR008125
OG0001605	LOC129792643	ADIR008806
OG0001606	LOC129786475	ADIR010010
OG0001607	LOC129794461	ADIR001965
OG0001608	LOC129793958	ADIR001962
OG0001609	LOC129793831	ADIR001963
OG0001610	LOC129790774	ADIR008093
OG0001611	LOC129794313	ADIR004156
OG0001612	LOC129795496	ADIR009646
OG0001613	LOC129793815, LOC129786668, LOC129786729	ADIR009638
OG0001614	LOC129795844	ADIR001814
OG0001615	LOC129793898	ADIR007417, ADIR010331
OG0001616	LOC129792007	ADIR009673
OG0001617	LOC129790376	ADIR008276
OG0001618	LOC129792832, LOC129787634	ADIR010321
OG0001619	LOC129786506, LOC129786488	ADIR006847
OG0001620	LOC129786438	ADIR006855
OG0001621	LOC129787620	ADIR005959
OG0001622	LOC129792130	ADIR000229
OG0001623	LOC129787944	ADIR002583
OG0001624	LOC129787347	ADIR006279
OG0001625	LOC129796179	ADIR009855, ADIR004503
OG0001626	LOC129792140, LOC129797795	ADIR004723
OG0001628	LOC129791569	ADIR007804
OG0001630	LOC129795633	ADIR001215
OG0001631	LOC129786221	ADIR004561
OG0001632	LOC129793617	ADIR015668
OG0001633	LOC129789417	ADIR004897
OG0001634	LOC129796839	ADIR006023
OG0001635	LOC129795027	ADIR002562
OG0001636	LOC129790733	ADIR002560
OG0001637	LOC129790595	ADIR009721
OG0001638	LOC129790797	ADIR005977
OG0001639	LOC129796206	ADIR015882
OG0001640	LOC129789851, LOC129789850, LOC129789085	ADIR011206
OG0001641	LOC129790175	ADIR007314
OG0001642	LOC129793308	ADIR007293
OG0001643	LOC129797437	ADIR008405
OG0001644	LOC129796435	ADIR010562
OG0001645	LOC129795123	ADIR005317
OG0001647	LOC129796554	ADIR003041
OG0001648	LOC129787158	ADIR003060
OG0001649	LOC129786326, LOC129795316, LOC129786322	ADIR008229
OG0001650	LOC129790931	ADIR001468
OG0001651	LOC129790887	ADIR001466
OG0001652	LOC129786116	ADIR006670
OG0001654	LOC129789585	ADIR011635
OG0001655	LOC129789602	ADIR000770
OG0001656	LOC129788086	ADIR011248
OG0001657	LOC129789357	ADIR011123
OG0001658	LOC129786809	ADIR003215
OG0001659	LOC129793899	ADIR009651
OG0001660	LOC129786022	ADIR002426
OG0001661	LOC129786658	ADIR006856
OG0001662	LOC129792648	ADIR003919, ADIR010988
OG0001663	LOC129796251	ADIR014799
OG0001664	LOC129790572	ADIR001135
OG0001665	LOC129790134	ADIR002090
OG0001666	LOC129789751	ADIR000802
OG0001667	LOC129790063	ADIR001027
OG0001668	LOC129793929	ADIR003407
OG0001669	LOC129792436	ADIR006865
OG0001670	LOC129795951	ADIR000433
OG0001671	LOC129788616	ADIR010938
OG0001672	LOC129789273, LOC129789272	ADIR007052
OG0001673	LOC129787185	ADIR006649
OG0001674	LOC129792010	ADIR007965
OG0001675	LOC129791982	ADIR007966
OG0001676	LOC129795464	ADIR009175
OG0001677	LOC129797117	ADIR009889
OG0001678	LOC129789742	ADIR002374
OG0001679	LOC129788938	ADIR001172
OG0001680	LOC129797090	ADIR006597
OG0001681	LOC129794747, LOC129794746	ADIR002123
OG0001682	LOC129788060	ADIR005052, ADIR005050
OG0001683	LOC129790728	ADIR004442
OG0001684	LOC129790725	ADIR004441
OG0001685	LOC129793889	ADIR004574
OG0001686	LOC129796857	ADIR008918
OG0001688	LOC129797292, LOC129797293, LOC129786585	ADIR009735
OG0001689	LOC129787992	ADIR001139
OG0001690	LOC129789156	ADIR007614, ADIR001176
OG0001691	LOC129793247, LOC129793246	ADIR010032
OG0001692	LOC129790239	ADIR002311
OG0001694	LOC129787868	ADIR009079, ADIR009080
OG0001695	LOC129786751	ADIR002927
OG0001696	LOC129788426	ADIR008991
OG0001697	LOC129792997	ADIR014151
OG0001699	LOC129795526	ADIR011358
OG0001702	LOC129789529	ADIR008553
OG0001704	LOC129785963	ADIR010761
OG0001705	LOC129797629	ADIR004381
OG0001706	LOC129789605, LOC129795515	ADIR004384
OG0001708	LOC129797541, LOC129792617, LOC129792400	ADIR004177
OG0001709	LOC129787238, LOC129790388	ADIR015593
OG0001710	LOC129796140	ADIR011581
OG0001711	LOC129788442	ADIR011673
OG0001712	LOC129789964	ADIR000920
OG0001714	LOC129791296	ADIR005085
OG0001715	LOC129796923	ADIR005602
OG0001716	LOC129790480	ADIR011484
OG0001717	LOC129789932	ADIR011487, ADIR011488
OG0001718	LOC129797155	ADIR002625
OG0001719	LOC129791721	ADIR015742
OG0001720	LOC129786098	ADIR005487
OG0001721	LOC129785973	ADIR002636
OG0001722	LOC129797064	ADIR003382
OG0001723	LOC129795874	ADIR003384
OG0001724	LOC129786652	ADIR008709, ADIR008710
OG0001725	LOC129794113	ADIR008021
OG0001726	LOC129792607, LOC129792727	ADIR003882
OG0001727	LOC129788794	ADIR004632
OG0001728	LOC129787839	ADIR001827
OG0001730	LOC129796021	ADIR009794, ADIR009795
OG0001731	LOC129788792, LOC129791986	ADIR007718
OG0001732	LOC129796695	ADIR009157
OG0001733	LOC129786263	ADIR009156
OG0001734	LOC129791737, LOC129792398	ADIR005578, ADIR005577
OG0001735	LOC129790824	ADIR002968
OG0001736	LOC129796096	ADIR008316
OG0001737	LOC129795468	ADIR009751
OG0001738	LOC129788301	ADIR001387
OG0001739	LOC129788022	ADIR005213
OG0001741	LOC129787555	ADIR010312
OG0001742	LOC129792632	ADIR003927
OG0001743	LOC129792747	ADIR011384
OG0001744	LOC129787602	ADIR015525
OG0001745	LOC129787587	ADIR011382
OG0001746	LOC129797065	ADIR015526
OG0001747	LOC129794259	ADIR009227
OG0001748	LOC129786441	ADIR006656
OG0001749	LOC129792376	ADIR003781
OG0001750	LOC129790222	ADIR001286, ADIR001287
OG0001751	LOC129794909	ADIR010777
OG0001752	LOC129786866	ADIR010445
OG0001753	LOC129796574, LOC129796573	ADIR009617
OG0001754	LOC129788770, LOC129788776, LOC129795979	ADIR002346
OG0001755	LOC129794760	ADIR004804
OG0001756	LOC129791759	ADIR016047
OG0001757	LOC129789606	ADIR002363
OG0001758	LOC129789116	ADIR000672
OG0001759	LOC129789065	ADIR000675
OG0001760	LOC129787052	ADIR004609
OG0001762	LOC129792088	ADIR000795, ADIR000796
OG0001763	LOC129791736	ADIR007031
OG0001764	LOC129794248	ADIR007524, ADIR007526
OG0001765	LOC129793816	ADIR007531
OG0001768	LOC129792769	ADIR004247, ADIR004246
OG0001769	LOC129793630	ADIR002880
OG0001771	LOC129788791	ADIR004977
OG0001772	LOC129789245, LOC129789345	ADIR004980
OG0001773	LOC129792735	ADIR002715
OG0001774	LOC129789403	ADIR006416
OG0001775	LOC129790827	ADIR006167
OG0001776	LOC129793498	ADIR007431
OG0001777	LOC129788364	ADIR004859
OG0001778	LOC129797665	ADIR015496, ADIR006631
OG0001779	LOC129794840	ADIR010780
OG0001780	LOC129794939	ADIR010781
OG0001781	LOC129793429	ADIR005301
OG0001782	LOC129787820	ADIR003096
OG0001783	LOC129786246	ADIR006736
OG0001784	LOC129793241	ADIR007739
OG0001786	LOC129791199	ADIR010961, ADIR010960
OG0001787	LOC129791381	ADIR001236
OG0001788	LOC129792127	ADIR004146
OG0001789	LOC129792135	ADIR004147
OG0001790	LOC129790876	ADIR001802, ADIR001295
OG0001791	LOC129786553	ADIR009902
OG0001792	LOC129796385	ADIR003819
OG0001793	LOC129792442	ADIR003805
OG0001794	LOC129797226	ADIR003806
OG0001795	LOC129789520, LOC129789252	ADIR001494
OG0001796	LOC129792783	ADIR016051
OG0001798	LOC129787211	ADIR010510
OG0001799	LOC129788959	ADIR006465
OG0001800	LOC129788729	ADIR004863
OG0001802	LOC129797610	ADIR005869
OG0001803	LOC129791007, LOC129791008	ADIR000935
OG0001804	LOC129795693	ADIR011312
OG0001805	LOC129790995	ADIR006461
OG0001806	LOC129792413	ADIR016158
OG0001807	LOC129791367	ADIR011423, ADIR011422
OG0001808	LOC129792755	ADIR009820, ADIR009821
OG0001811	LOC129792465	ADIR002536
OG0001812	LOC129787649	ADIR006559, ADIR000843
OG0001813	LOC129793732, LOC129793734	ADIR004152
OG0001814	LOC129792252	ADIR004153
OG0001815	LOC129787405	ADIR004964
OG0001816	LOC129793276	ADIR007852, ADIR004479
OG0001817	LOC129790365	ADIR015888
OG0001818	LOC129787508	ADIR003700
OG0001819	LOC129789556	ADIR003946
OG0001820	LOC129793706	ADIR007027, ADIR007026
OG0001821	LOC129791557	ADIR007655, ADIR007656
OG0001822	LOC129793139	ADIR006265, ADIR006264
OG0001823	LOC129791671	ADIR007204
OG0001824	LOC129790984	ADIR009340
OG0001825	LOC129795054	ADIR000790
OG0001829	LOC129795457	ADIR004343
OG0001830	LOC129795064	ADIR008660
OG0001831	LOC129790640	ADIR000988, ADIR000989
OG0001832	LOC129795501	ADIR002356
OG0001833	LOC129791389	ADIR010845
OG0001834	LOC129792115	ADIR009810, ADIR009809
OG0001835	LOC129787975	ADIR004410, ADIR004409
OG0001837	LOC129787074	ADIR006742, ADIR006739
OG0001838	LOC129795573	ADIR002044, ADIR002046
OG0001839	LOC129791005	ADIR006131, ADIR006130
OG0001840	LOC129788825	ADIR011540, ADIR003133
OG0001841	LOC129791580	ADIR008203
OG0001842	LOC129794817	ADIR000507
OG0001843	LOC129788150	ADIR010406, ADIR010405
OG0001844	LOC129797361	ADIR009848, ADIR009468
OG0001845	LOC129792975	ADIR015691
OG0001846	LOC129796912	ADIR000080
OG0001848	LOC129790690	ADIR001138, ADIR006420
OG0001849	LOC129796195	ADIR001750, ADIR001751
OG0001850	LOC129792298	ADIR003166, ADIR003167
OG0001851	LOC129797616, LOC129797574	ADIR009883
OG0001852	LOC129797324	ADIR001763, ADIR001764
OG0001853	LOC129794826	ADIR015714
OG0001854	LOC129794842	ADIR010789
OG0001855	LOC129794073	ADIR004321, ADIR003559
OG0001856	LOC129789363	ADIR003968, ADIR003969
OG0001857	LOC129797241	ADIR003141, ADIR003140
OG0001858	LOC129796202, LOC129796420	ADIR007219
OG0001859	LOC129791467	ADIR010455
OG0001860	LOC129796988	ADIR003381
OG0001861	LOC129792410	ADIR007161
OG0001862	LOC129787215	ADIR005300
OG0001863	LOC129792072	ADIR009218, ADIR009220
OG0001864	LOC129790855	ADIR011493
OG0001865	LOC129790845	ADIR001317
OG0001866	LOC129795328	ADIR010491
OG0001867	LOC129788957	ADIR011076
OG0001868	LOC129787270	ADIR004552, ADIR004551
OG0001869	LOC129795513	ADIR005735
OG0001870	LOC129786560	ADIR010723
OG0001871	LOC129787708	ADIR003838
OG0001873	LOC129787651	ADIR010311
OG0001874	LOC129795307	ADIR010714, ADIR010713
OG0001875	LOC129794108	ADIR008777, ADIR008778
OG0001876	LOC129786760	ADIR006683, ADIR006678
OG0001879	LOC129794824	ADIR000190
OG0001880	LOC129786509	ADIR006386, ADIR006385, ADIR006387
OG0001881	LOC129787945, LOC129794298, LOC129794305	ADIR004395
OG0001883	LOC129793191	ADIR000879, ADIR008834
OG0001884	LOC129790026	ADIR004729
OG0001885	LOC129791203	ADIR002574
OG0001886	LOC129785854	ADIR000884
OG0001887	LOC129789344, LOC129789624	ADIR001381
OG0001889	LOC129789558	ADIR003948, ADIR003950
OG0001890	LOC129796812	ADIR009666
OG0001891	LOC129788054	ADIR005043
OG0001892	LOC129787869	ADIR009075, ADIR009077
OG0001893	LOC129795913	ADIR002005
OG0001894	LOC129790362	ADIR001349
OG0001895	LOC129793818	ADIR008239, ADIR008240
OG0001896	LOC129788046	ADIR004736
OG0001897	LOC129790146	ADIR001264
OG0001898	LOC129793044, LOC129790873, LOC129793877	ADIR000959
OG0001899	LOC129788657	ADIR000605
OG0001901	LOC129791155	ADIR000721
OG0001902	LOC129792775	ADIR002907
OG0001905	LOC129787833	ADIR009690
OG0001906	LOC129788661	ADIR005354
OG0001908	LOC129787564	ADIR010310
OG0001909	LOC129790425	ADIR011251
OG0001912	LOC129795945	ADIR002226
OG0001913	LOC129790847	ADIR011669
OG0001914	LOC129794648	ADIR008620
OG0001915	LOC129795734	ADIR003323
OG0001916	LOC129791707	ADIR003539
OG0001917	LOC129795172, LOC129795169	ADIR010533
OG0001918	LOC129790323	ADIR001340
OG0001919	LOC129791890	ADIR006898
OG0001920	LOC129789627	ADIR002718
OG0001923	LOC129792576	ADIR008022
OG0001924	LOC129788384	ADIR004794
OG0001925	LOC129791354	ADIR001330
OG0001926	LOC129789853	ADIR004600
OG0001928	LOC129787417	ADIR008075
OG0001929	LOC129790888	ADIR011668, ADIR011667, ADIR011752
OG0001930	LOC129791566	ADIR006887
OG0001931	LOC129788027	ADIR005212
OG0001933	LOC129790383	ADIR008917
OG0001934	LOC129793593	ADIR008799
OG0001935	LOC129787271	ADIR004670
OG0001937	LOC129792078	ADIR007321, ADIR007320
OG0001938	LOC129796602	ADIR009556
OG0001939	LOC129787144	ADIR009997, ADIR009999
OG0001940	LOC129788550	ADIR005753
OG0001941	LOC129790566	ADIR001354
OG0001942	LOC129787632, LOC129787549	ADIR015677
OG0001943	LOC129787936	ADIR010369
OG0001944	LOC129787103	ADIR010788
OG0001945	LOC129788609	ADIR002380
OG0001946	LOC129789835	ADIR009989, ADIR011656
OG0001947	LOC129793148	ADIR005933
OG0001948	LOC129790027	ADIR001111, ADIR001110
OG0001949	LOC129791154	ADIR006014
OG0001950	LOC129791722	ADIR006962, ADIR006963
OG0001951	LOC129788275	ADIR006105
OG0001952	LOC129794314	ADIR008015
OG0001953	LOC129793162	ADIR006890
OG0001954	LOC129794292	ADIR003809, ADIR003810
OG0001955	LOC129792214	ADIR009700
OG0001956	LOC129788139	ADIR000846
OG0001957	LOC129793821	ADIR006911
OG0001958	LOC129785990	ADIR001005
OG0001959	LOC129785955, LOC129786145	ADIR008941
OG0001960	LOC129789692, LOC129789672, LOC129795154	ADIR005313
OG0001961	LOC129792189	ADIR006030
OG0001962	LOC129796121	ADIR004077, ADIR004078
OG0001963	LOC129790872	ADIR011496
OG0001964	LOC129793403	ADIR007696
OG0001965	LOC129795975	ADIR002199
OG0001968	LOC129790144, LOC129793916	ADIR009169
OG0001970	LOC129797434	ADIR006593
OG0001971	LOC129793531	ADIR002099
OG0001974	LOC129785856	ADIR001226
OG0001975	LOC129792950, LOC129792892	ADIR007393
OG0001976	LOC129795962	ADIR010396
OG0001977	LOC129789328	ADIR001519
OG0001978	LOC129794833, LOC129795403	ADIR011175
OG0001979	LOC129786351	ADIR003410
OG0001980	LOC129789419, LOC129789930	ADIR003936
OG0001981	LOC129796027	ADIR010600
OG0001982	LOC129789617	ADIR003949
OG0001983	LOC129789082	ADIR004189, ADIR001406
OG0001984	LOC129789641	ADIR002169
OG0001988	LOC129795250, LOC129795018	ADIR005677, ADIR005678
OG0001997	LOC129787900	ADIR001142
OG0001998	LOC129790854	ADIR003932, ADIR003929
OG0002010	LOC129786915	ADIR004637
OG0002015	LOC129788679	ADIR009019
OG0002016	LOC129794168	ADIR009487
OG0002027	LOC129786348	ADIR010703
OG0002028	LOC129786183	ADIR002646
OG0002029	LOC129786150	ADIR016013
OG0002030	LOC129796868	ADIR002665
OG0002031	LOC129794312	ADIR004200
OG0002032	LOC129796943	ADIR010613
OG0002033	LOC129796820	ADIR009911
OG0002034	LOC129790140	ADIR010637
OG0002035	LOC129789332	ADIR008433
OG0002036	LOC129797306	ADIR002724
OG0002037	LOC129786088	ADIR009116
OG0002038	LOC129797429	ADIR010123
OG0002039	LOC129797746	ADIR005740
OG0002040	LOC129797304, LOC129797307	ADIR010121
OG0002041	LOC129787111	ADIR003903
OG0002042	LOC129787206	ADIR005750
OG0002043	LOC129792702	ADIR009807
OG0002044	LOC129793762	ADIR000975
OG0002045	LOC129788678	ADIR001210
OG0002046	LOC129787153	ADIR009486
OG0002047	LOC129792995	ADIR007533
OG0002048	LOC129795712	ADIR000048
OG0002049	LOC129787065	ADIR009494
OG0002050	LOC129787969	ADIR007560
OG0002052	LOC129793489	ADIR010765
OG0002053	LOC129797520	ADIR007557
OG0002054	LOC129796471	ADIR000537
OG0002055	LOC129795446	ADIR010679
OG0002056	LOC129796303	ADIR006577
OG0002057	LOC129796472	ADIR010674
OG0002058	LOC129793910	ADIR006455
OG0002059	LOC129796534	ADIR008365
OG0002060	LOC129794853	ADIR010673
OG0002061	LOC129787988	ADIR006456
OG0002062	LOC129796074	ADIR015513
OG0002063	LOC129797489	ADIR002815
OG0002064	LOC129796436	ADIR001818
OG0002065	LOC129792004, LOC129794614	ADIR002153
OG0002066	LOC129796138	ADIR002146
OG0002067	LOC129795350	ADIR010490
OG0002068	LOC129797761	ADIR010495
OG0002069	LOC129797826, LOC129788594	ADIR005080
OG0002072	LOC129789432	ADIR005433
OG0002073	LOC129794275	ADIR016208
OG0002074	LOC129792662	ADIR008164
OG0002075	LOC129792271	ADIR008162
OG0002076	LOC129792610	ADIR016207
OG0002077	LOC129795742	ADIR002355
OG0002078	LOC129786002	ADIR010262
OG0002079	LOC129786109	ADIR010264
OG0002080	LOC129794911	ADIR010263
OG0002081	LOC129788016, LOC129795800	ADIR016129
OG0002082	LOC129794597	ADIR005638
OG0002083	LOC129787679	ADIR000528
OG0002084	LOC129791859	ADIR005560
OG0002085	LOC129788403, LOC129788402	ADIR007900
OG0002086	LOC129786135, LOC129786019	ADIR001971
OG0002087	LOC129796881	ADIR000409
OG0002088	LOC129795724	ADIR000384
OG0002089	LOC129796615	ADIR000392
OG0002090	LOC129796235	ADIR000426
OG0002091	LOC129788450	ADIR007899
OG0002092	LOC129787669	ADIR001969
OG0002093	LOC129795709	ADIR005161
OG0002094	LOC129795213	ADIR009678
OG0002095	LOC129786568	ADIR008396
OG0002098	LOC129785822	ADIR005329
OG0002099	LOC129797209	ADIR008981
OG0002100	LOC129793188, LOC129793187	ADIR003121
OG0002101	LOC129787041	ADIR010177
OG0002102	LOC129787051	ADIR006581
OG0002103	LOC129790062	ADIR004603, ADIR003476
OG0002104	LOC129795021, LOC129788515	ADIR009552
OG0002105	LOC129790023	ADIR005178
OG0002106	LOC129791064	ADIR004838
OG0002107	LOC129796177	ADIR004840
OG0002108	LOC129788481	ADIR006832
OG0002109	LOC129791914	ADIR011522
OG0002110	LOC129790068	ADIR004018
OG0002111	LOC129796167	ADIR005057
OG0002112	LOC129789295	ADIR003966
OG0002113	LOC129788380	ADIR004987
OG0002114	LOC129790798	ADIR008833
OG0002115	LOC129792622	ADIR001657
OG0002116	LOC129791818	ADIR004326
OG0002117	LOC129792628	ADIR007168
OG0002118	LOC129792365	ADIR009250
OG0002119	LOC129792165	ADIR008593
OG0002120	LOC129786317	ADIR001060
OG0002121	LOC129789097	ADIR015494
OG0002122	LOC129791865	ADIR009453
OG0002123	LOC129792550	ADIR016146
OG0002124	LOC129792128	ADIR003763
OG0002125	LOC129789847, LOC129791422	ADIR006229
OG0002126	LOC129793297	ADIR003762
OG0002127	LOC129792100	ADIR003793
OG0002128	LOC129792548	ADIR007277
OG0002129	LOC129792129	ADIR007259
OG0002130	LOC129794340	ADIR007271
OG0002131	LOC129797194	ADIR007270
OG0002132	LOC129792102	ADIR007272
OG0002133	LOC129793858	ADIR007247
OG0002134	LOC129790066	ADIR001141
OG0002135	LOC129795626	ADIR006789
OG0002136	LOC129789141	ADIR011211
OG0002137	LOC129789022	ADIR004772
OG0002138	LOC129786190	ADIR008547
OG0002139	LOC129788531	ADIR011114
