Orthogroup	LlongipalpisASM	AgambiaePEST
OG0002041	LOC129787111	AGAP012610, AGAP012481
OG0002042	LOC129787206	AGAP010458
OG0002043	LOC129792702	AGAP005228
OG0002044	LOC129793762	AGAP000069
OG0002045	LOC129788678	AGAP000360
OG0002046	LOC129787153	AGAP010681
OG0002047	LOC129792995	AGAP006671
OG0002048	LOC129795712	AGAP012853, AGAP012137
OG0002049	LOC129787065	AGAP028154
OG0002050	LOC129787969	AGAP006571
OG0002052	LOC129793489	AGAP011085
OG0002053	LOC129797520	AGAP006574
OG0002054	LOC129796471	AGAP012403
OG0002055	LOC129795446	AGAP000244, AGAP003550
OG0002056	LOC129796303	AGAP013233
OG0002057	LOC129796472	AGAP003548
OG0002058	LOC129793910	AGAP002085
OG0002059	LOC129796534	AGAP004434
OG0002060	LOC129794853	AGAP003547
OG0002061	LOC129787988	AGAP013167
OG0002062	LOC129796074	AGAP002725
OG0002063	LOC129797489	AGAP003232
OG0002064	LOC129796436	AGAP028415
OG0002065	LOC129792004, LOC129794614	AGAP011319
OG0002066	LOC129796138	AGAP011324
OG0002067	LOC129795350	AGAP012751, AGAP001609
OG0002068	LOC129797761	AGAP001603
OG0002069	LOC129797826, LOC129788594	AGAP009733
OG0002071	LOC129795692	AGAP012394, AGAP012395
OG0002072	LOC129789432	AGAP004371, AGAP012860
OG0002073	LOC129794275	AGAP006657
OG0002074	LOC129792662	AGAP006658
OG0002075	LOC129792271	AGAP006660
OG0002076	LOC129792610	AGAP006659
OG0002077	LOC129795742	AGAP011858
OG0002078	LOC129786002	AGAP002603
OG0002079	LOC129786109	AGAP002601
OG0002080	LOC129794911	AGAP013296
OG0002081	LOC129788016, LOC129795800	AGAP011762
OG0002082	LOC129794597	AGAP010928
OG0002083	LOC129787679	AGAP012368
OG0002084	LOC129791859	AGAP004292
OG0002085	LOC129788403, LOC129788402	AGAP005761
OG0002086	LOC129786135, LOC129786019	AGAP011900
OG0002087	LOC129796881	AGAP010595
OG0002088	LOC129795724	AGAP010558
OG0002089	LOC129796615	AGAP010572
OG0002090	LOC129796235	AGAP010613, AGAP010612
OG0002091	LOC129788450	AGAP005762
OG0002092	LOC129787669	AGAP011897
OG0002093	LOC129795709	AGAP009822
OG0002094	LOC129795213	AGAP028580, AGAP012019
OG0002095	LOC129786568	AGAP003294
OG0002098	LOC129785822	AGAP002021
OG0002099	LOC129797209	AGAP002193
OG0002100	LOC129793188, LOC129793187	AGAP003003
OG0002101	LOC129787041	AGAP002672
OG0002102	LOC129787051	AGAP029803
OG0002103	LOC129790062	AGAP000631
OG0002104	LOC129795021, LOC129788515	AGAP012251
OG0002105	LOC129790023	AGAP009841
OG0002106	LOC129791064	AGAP009620
OG0002107	LOC129796177	AGAP009619
OG0002108	LOC129788481	AGAP008652
OG0002109	LOC129791914	AGAP004834
OG0002110	LOC129790068	AGAP010204
OG0002111	LOC129796167	AGAP009702
OG0002112	LOC129789295	AGAP000874
OG0002113	LOC129788380	AGAP009004
OG0002114	LOC129790798	AGAP006088
OG0002115	LOC129792622	AGAP004942
OG0002116	LOC129791818	AGAP005606
OG0002117	LOC129792628	AGAP005600
OG0002118	LOC129792365	AGAP004863
OG0002119	LOC129792165	AGAP006968, AGAP006115
OG0002120	LOC129786317	AGAP000046
OG0002121	LOC129789097	AGAP009364, AGAP009376, AGAP029881
OG0002122	LOC129791865	AGAP012523
OG0002123	LOC129792550	AGAP007325
OG0002124	LOC129792128	AGAP005141
OG0002125	LOC129789847, LOC129791422	AGAP009136
OG0002126	LOC129793297	AGAP005325
OG0002127	LOC129792100	AGAP005111
OG0002128	LOC129792548	AGAP007395
OG0002129	LOC129792129	AGAP007418
OG0002130	LOC129794340	AGAP007400
OG0002131	LOC129797194	AGAP007405, AGAP007402
OG0002132	LOC129792102	AGAP007399
OG0002133	LOC129793858	AGAP007450
OG0002134	LOC129790066	AGAP005309, AGAP000633
OG0002135	LOC129795626	AGAP008881
OG0002136	LOC129789141	AGAP008302
OG0002137	LOC129789022	AGAP009930
OG0002138	LOC129786190	AGAP007849
OG0002139	LOC129788531	AGAP008353
OG0002140	LOC129792041	AGAP010209
OG0002141	LOC129794790	AGAP008312
OG0002142	LOC129794293	AGAP008882
OG0002143	LOC129794878	AGAP011562
OG0002144	LOC129796165	AGAP011573
OG0002145	LOC129794992	AGAP029534
OG0002146	LOC129792611	AGAP007586
OG0002149	LOC129795812	AGAP007710
OG0002150	LOC129793207	AGAP007598
OG0002151	LOC129792849	AGAP007618
OG0002152	LOC129787483	AGAP007593
OG0002153	LOC129792349	AGAP008728
OG0002154	LOC129786459	AGAP007809
OG0002156	LOC129795641	AGAP008246, AGAP012477
OG0002157	LOC129794282	AGAP006014
OG0002158	LOC129792677	AGAP012763, AGAP005056
OG0002159	LOC129793989	AGAP005051, AGAP012825
OG0002160	LOC129788807	AGAP009019
OG0002161	LOC129789584	AGAP008711
OG0002162	LOC129792208	AGAP009020
OG0002163	LOC129789633, LOC129795922	AGAP008359
OG0002164	LOC129789915	AGAP008705
OG0002165	LOC129790660	AGAP007778
OG0002166	LOC129788457	AGAP010210
OG0002167	LOC129793573	AGAP010137, AGAP010136
OG0002168	LOC129790952	AGAP007781
OG0002169	LOC129789473	AGAP007780
OG0002170	LOC129790189	AGAP010139
OG0002171	LOC129790264	AGAP009834
OG0002172	LOC129789140	AGAP010138
OG0002173	LOC129789107	AGAP009144
OG0002174	LOC129790705, LOC129790700	AGAP008985
OG0002176	LOC129789087	AGAP009156
OG0002177	LOC129795949	AGAP011523
OG0002178	LOC129795722	AGAP011521
OG0002179	LOC129789021	AGAP008048
OG0002180	LOC129793143	AGAP008064
OG0002181	LOC129790196	AGAP008044
OG0002182	LOC129786453	AGAP008086
OG0002183	LOC129791374	AGAP008084
OG0002184	LOC129797310	AGAP003394
OG0002185	LOC129795865	AGAP003856
OG0002186	LOC129797706	AGAP001430
OG0002187	LOC129786836	AGAP003099
OG0002188	LOC129786895	AGAP003098
OG0002189	LOC129787436	AGAP000622
OG0002190	LOC129788388	AGAP009307
OG0002191	LOC129788510	AGAP008195
OG0002192	LOC129788448	AGAP009306
OG0002193	LOC129789440	AGAP029408, AGAP008481
OG0002194	LOC129792408	AGAP006446
OG0002195	LOC129793090	AGAP005939
OG0002196	LOC129792947	AGAP006445
OG0002197	LOC129796307	AGAP012425
OG0002198	LOC129796032	AGAP010956
OG0002199	LOC129794812	AGAP010728
OG0002200	LOC129793181	AGAP007145
OG0002201	LOC129793237	AGAP005344
OG0002202	LOC129793200	AGAP005347
OG0002203	LOC129793485	AGAP006945
OG0002204	LOC129788693	AGAP000056
OG0002205	LOC129794185	AGAP007143
OG0002206	LOC129793211	AGAP005346
OG0002207	LOC129797559	AGAP009811
OG0002208	LOC129789628	AGAP009662
OG0002209	LOC129789680, LOC129789687	AGAP009685
OG0002210	LOC129791980	AGAP008837
OG0002211	LOC129787391	AGAP005763
OG0002212	LOC129797348	AGAP004384, AGAP012507
OG0002213	LOC129788136	AGAP003081
OG0002214	LOC129788860	AGAP011412
OG0002215	LOC129786768	AGAP000779
OG0002216	LOC129794210	AGAP005155
OG0002217	LOC129793381, LOC129793379	AGAP007168
OG0002218	LOC129788862	AGAP007841
OG0002219	LOC129790860	AGAP000788
OG0002220	LOC129797609	AGAP004068
OG0002221	LOC129787562	AGAP001638
OG0002222	LOC129793261	AGAP001636
OG0002223	LOC129795732	AGAP010471
OG0002224	LOC129797443	AGAP002985
OG0002225	LOC129795743, LOC129795745	AGAP012322
OG0002226	LOC129796496	AGAP011797
OG0002227	LOC129795589	AGAP004261
OG0002229	LOC129795588	AGAP012317
OG0002230	LOC129796777	AGAP008749
OG0002231	LOC129788560	AGAP008738
OG0002232	LOC129785910	AGAP001749
OG0002233	LOC129793461	AGAP007706
OG0002234	LOC129792716	AGAP005578
OG0002235	LOC129796803	AGAP004413, AGAP004427
OG0002236	LOC129789903, LOC129797367	AGAP002605
OG0002237	LOC129787792	AGAP002400
OG0002238	LOC129786065	AGAP002913
OG0002239	LOC129797602	AGAP002908
OG0002240	LOC129790493	AGAP001417
OG0002241	LOC129787979	AGAP002653
OG0002242	LOC129787955	AGAP012819, AGAP004394
OG0002244	LOC129788699	AGAP001043
OG0002245	LOC129794046	AGAP029936
OG0002246	LOC129788702	AGAP001040
OG0002247	LOC129785965	AGAP001745
OG0002248	LOC129790227, LOC129797606	AGAP013500
OG0002249	LOC129789817	AGAP007147
OG0002251	LOC129789579	AGAP003472, AGAP003467
OG0002252	LOC129786273	AGAP003465
OG0002253	LOC129788451	AGAP011637
OG0002254	LOC129793410	AGAP001438
OG0002255	LOC129796246	AGAP012837, AGAP004100
OG0002256	LOC129793333	AGAP001434
OG0002257	LOC129786737	AGAP003367, AGAP012823
OG0002258	LOC129788415, LOC129793194	AGAP003930
OG0002259	LOC129785858	AGAP000819
OG0002260	LOC129788509	AGAP000754
OG0002261	LOC129793788	AGAP005742
OG0002262	LOC129791873	AGAP006413
OG0002263	LOC129791669	AGAP006410
OG0002264	LOC129793023	AGAP005743
OG0002265	LOC129791657	AGAP005343
OG0002266	LOC129785912	AGAP000145
OG0002267	LOC129791731, LOC129791729	AGAP006780
OG0002268	LOC129797731	AGAP010557
OG0002270	LOC129795116	AGAP012028
OG0002271	LOC129795960	AGAP010575
OG0002272	LOC129790531	AGAP010556
OG0002273	LOC129794997	AGAP011745
OG0002274	LOC129788771	AGAP012690, AGAP012822, AGAP010176
OG0002275	LOC129788122, LOC129796151	AGAP003405
OG0002276	LOC129788796	AGAP010181
OG0002277	LOC129786934	AGAP004103
OG0002278	LOC129786933, LOC129786932	AGAP004107
OG0002281	LOC129787739	AGAP001716
OG0002282	LOC129788062, LOC129788066	AGAP005283
OG0002283	LOC129793663	AGAP009868
OG0002284	LOC129786555	AGAP005290
OG0002285	LOC129788063	AGAP009266
OG0002286	LOC129793658	AGAP009161
OG0002287	LOC129793672	AGAP009163
OG0002288	LOC129793661	AGAP009162
OG0002289	LOC129788137	AGAP005269
OG0002290	LOC129789278	AGAP005281
OG0002291	LOC129787557	AGAP009032
OG0002292	LOC129795898	AGAP011306
OG0002293	LOC129794480	AGAP004724
OG0002294	LOC129786106	AGAP008149
OG0002295	LOC129797132	AGAP008150
OG0002296	LOC129790316	AGAP008166
OG0002298	LOC129792758	AGAP001942
OG0002299	LOC129797168	AGAP001872
OG0002300	LOC129787547	AGAP001939
OG0002301	LOC129797203	AGAP001865
OG0002302	LOC129797189	AGAP002124
OG0002304	LOC129795418	AGAP011842
OG0002305	LOC129797328, LOC129792354	AGAP029957
OG0002306	LOC129795987	AGAP011948
OG0002307	LOC129787027	AGAP028630
OG0002308	LOC129791629	AGAP007391
OG0002309	LOC129792903	AGAP007728
OG0002310	LOC129789716	AGAP004758
OG0002311	LOC129797452	AGAP001615
OG0002312	LOC129785887	AGAP006386
OG0002313	LOC129795613	AGAP012887, AGAP012088
OG0002314	LOC129797510	AGAP008839
OG0002315	LOC129794653	AGAP012119
OG0002316	LOC129796203	AGAP012120
OG0002317	LOC129793168	AGAP008845
OG0002318	LOC129790590	AGAP007740
OG0002319	LOC129797356	AGAP008844
OG0002321	LOC129787175	AGAP003571
OG0002322	LOC129789941, LOC129789940	AGAP003573
OG0002325	LOC129785876	AGAP003050
OG0002326	LOC129787545	AGAP001464
OG0002328	LOC129791851	AGAP009907
OG0002329	LOC129797403	AGAP001468
OG0002330	LOC129786253	AGAP006648
OG0002331	LOC129786187	AGAP003707
OG0002332	LOC129786748	AGAP003424
OG0002333	LOC129786299	AGAP003706
OG0002334	LOC129786267	AGAP003700
OG0002335	LOC129786296	AGAP003705
OG0002336	LOC129786256	AGAP013281
OG0002337	LOC129791435	AGAP000264
OG0002338	LOC129786699	AGAP004736
OG0002339	LOC129796019	AGAP010750
OG0002340	LOC129795472	AGAP001752
OG0002341	LOC129795471	AGAP001757
OG0002342	LOC129791807	AGAP001685
OG0002343	LOC129786936	AGAP003539
OG0002344	LOC129786043	AGAP002779
OG0002346	LOC129796797	AGAP009684
OG0002347	LOC129794184	AGAP011832
OG0002348	LOC129787124, LOC129789001	AGAP003781
OG0002349	LOC129787282	AGAP003220
OG0002350	LOC129787523	AGAP002970
OG0002351	LOC129787150	AGAP003789, AGAP012547
OG0002352	LOC129790865, LOC129790231	AGAP000834
OG0002353	LOC129789284	AGAP000374
OG0002355	LOC129795357	AGAP012346
OG0002356	LOC129786496	AGAP003208
OG0002357	LOC129796952	AGAP002260
OG0002358	LOC129789471	AGAP001560
OG0002359	LOC129796826	AGAP003207
OG0002360	LOC129793096	AGAP005567
OG0002361	LOC129794309	AGAP005895
OG0002362	LOC129786375	AGAP007979
OG0002363	LOC129792566	AGAP010155, AGAP010156
OG0002364	LOC129786277	AGAP004134
OG0002365	LOC129792656	AGAP007983
OG0002367	LOC129794620	AGAP001139
OG0002368	LOC129794057	AGAP008819
OG0002369	LOC129796302	AGAP010406
OG0002370	LOC129795401	AGAP012773, AGAP010419
OG0002371	LOC129796313	AGAP012281
OG0002372	LOC129786076	AGAP003527, AGAP012869
OG0002373	LOC129795733	AGAP010552
OG0002374	LOC129796619	AGAP010074
OG0002375	LOC129796931	AGAP011165
OG0002376	LOC129786382	AGAP010590
OG0002377	LOC129797330	AGAP011148, AGAP011146
OG0002378	LOC129796930	AGAP011164
OG0002379	LOC129797640	AGAP011155
OG0002380	LOC129795616	AGAP011150, AGAP012865, AGAP012770
OG0002381	LOC129795607	AGAP011147, AGAP011145
OG0002382	LOC129789462, LOC129786346	AGAP004723
OG0002383	LOC129797341	AGAP001802
OG0002384	LOC129797178	AGAP001712
OG0002385	LOC129793384	AGAP002114
OG0002386	LOC129788590	AGAP009432
OG0002387	LOC129790966, LOC129790962	AGAP009433
OG0002388	LOC129789974	AGAP008640
OG0002389	LOC129789922, LOC129789923	AGAP009610
OG0002390	LOC129790073	AGAP004498
OG0002391	LOC129789078	AGAP001396
OG0002392	LOC129790402	AGAP004496
OG0002393	LOC129796443	AGAP006511
OG0002395	LOC129789386	AGAP000868
OG0002396	LOC129787280	AGAP028503, AGAP003179
OG0002397	LOC129792725	AGAP006387
OG0002399	LOC129794857, LOC129787284	AGAP003180
OG0002400	LOC129787157, LOC129790536, LOC129789042	AGAP003161
OG0002401	LOC129789667	AGAP008536
OG0002402	LOC129790284, LOC129789947	AGAP028045
OG0002403	LOC129789084, LOC129789088	AGAP008537
OG0002404	LOC129790472	AGAP008766
OG0002406	LOC129791173	AGAP010129
OG0002408	LOC129797670	AGAP010131
OG0002409	LOC129794649	AGAP010539
OG0002410	LOC129796322	AGAP010534
OG0002411	LOC129794916	AGAP010540
OG0002412	LOC129794580	AGAP010536
OG0002414	LOC129793151	AGAP006599
OG0002415	LOC129788332	AGAP004558
OG0002416	LOC129791826	AGAP006889
OG0002417	LOC129792313	AGAP006435
OG0002418	LOC129793117	AGAP009948, AGAP006895
OG0002419	LOC129788994	AGAP010051
OG0002420	LOC129789356	AGAP010056
OG0002421	LOC129787829	AGAP010965, AGAP010963
OG0002422	LOC129788374	AGAP008812, AGAP028100
OG0002423	LOC129792721	AGAP012606, AGAP012632
OG0002424	LOC129791358	AGAP008806
OG0002425	LOC129790699	AGAP008183
OG0002426	LOC129790478	AGAP009969, AGAP009967
OG0002427	LOC129787552	AGAP010327
OG0002428	LOC129787827	AGAP010966
OG0002429	LOC129794503	AGAP028491
OG0002430	LOC129792689	AGAP006740
OG0002431	LOC129794794	AGAP010335
OG0002432	LOC129790799	AGAP009125
OG0002433	LOC129796596	AGAP029569
OG0002434	LOC129796595	AGAP011344
OG0002435	LOC129788886	AGAP010339
OG0002436	LOC129795366	AGAP011345
OG0002437	LOC129793010	AGAP006791
OG0002438	LOC129790698	AGAP000908
OG0002439	LOC129793416	AGAP006100
OG0002440	LOC129793387	AGAP006099
OG0002441	LOC129791833	AGAP006373
OG0002442	LOC129791169	AGAP010096
OG0002443	LOC129795304	AGAP004792
OG0002444	LOC129797612	AGAP004773, AGAP004786
OG0002445	LOC129797371	AGAP004789, AGAP004791
OG0002446	LOC129786723	AGAP007552
OG0002447	LOC129797406	AGAP002451
OG0002448	LOC129797407	AGAP002449
OG0002449	LOC129797012	AGAP009573
OG0002450	LOC129797097	AGAP004332
OG0002451	LOC129786982	AGAP003892, AGAP012748
OG0002452	LOC129786996	AGAP003719
OG0002453	LOC129788324	AGAP000550
OG0002454	LOC129790669	AGAP000348
OG0002455	LOC129796197	AGAP010010
OG0002456	LOC129796391	AGAP010834
OG0002457	LOC129795197	AGAP011316
OG0002458	LOC129795191	AGAP011315
OG0002459	LOC129795190	AGAP011314
OG0002460	LOC129787295	AGAP002634
OG0002461	LOC129796078, LOC129787274	AGAP002638
OG0002462	LOC129797861	AGAP002645
OG0002463	LOC129793046	AGAP000066
OG0002464	LOC129797149	AGAP029706
OG0002465	LOC129785971	AGAP004352
OG0002466	LOC129796587	AGAP012565, AGAP010621
OG0002467	LOC129796038	AGAP029274
OG0002468	LOC129797066	AGAP013220
OG0002469	LOC129797060	AGAP001138
OG0002470	LOC129790273	AGAP004064
OG0002471	LOC129789315	AGAP008938
OG0002472	LOC129790898	AGAP008747
OG0002473	LOC129793956	AGAP006903
OG0002474	LOC129788869	AGAP008133
OG0002475	LOC129791133	AGAP013730
OG0002476	LOC129790070	AGAP008129
OG0002477	LOC129791388	AGAP011162
OG0002478	LOC129793190	AGAP012870, AGAP012591
OG0002479	LOC129789103	AGAP005960
OG0002480	LOC129791874	AGAP010145
OG0002481	LOC129788471	AGAP008776
OG0002482	LOC129797133	AGAP000278
OG0002483	LOC129793504	AGAP002884
OG0002484	LOC129786397	AGAP002947
OG0002485	LOC129786440	AGAP029655
OG0002486	LOC129787049, LOC129793799	AGAP002943
OG0002487	LOC129786101	AGAP003688, AGAP013274
OG0002488	LOC129791947	AGAP010483
OG0002489	LOC129797508	AGAP012192
OG0002490	LOC129795544	AGAP010843
OG0002491	LOC129796181	AGAP010514
OG0002492	LOC129795956	AGAP010515
OG0002493	LOC129787146	AGAP010373
OG0002494	LOC129795595	AGAP010516
OG0002495	LOC129797046	AGAP003532
OG0002496	LOC129793195	AGAP004189, AGAP004195
OG0002497	LOC129786854	AGAP003158, AGAP012859
OG0002498	LOC129786470	AGAP002886
OG0002499	LOC129795391	AGAP011688
OG0002500	LOC129790765	AGAP002038
OG0002501	LOC129797391	AGAP002032
OG0002502	LOC129796088	AGAP004795
OG0002503	LOC129786336	AGAP002030
OG0002504	LOC129797393	AGAP012908, AGAP002026
OG0002505	LOC129790267	AGAP001995
OG0002506	LOC129786984	AGAP003890
OG0002507	LOC129786983	AGAP003891
OG0002508	LOC129787412	AGAP028138
OG0002509	LOC129796998	AGAP003211
OG0002510	LOC129791800	AGAP002548
OG0002511	LOC129797402	AGAP004194
OG0002512	LOC129790994	AGAP002549
OG0002513	LOC129786485, LOC129786483	AGAP003277
OG0002514	LOC129788143	AGAP001700
OG0002515	LOC129797549	AGAP004065
OG0002516	LOC129792429	AGAP006054
OG0002517	LOC129791599	AGAP006056
OG0002518	LOC129794086	AGAP006051
OG0002519	LOC129786589	AGAP012783, AGAP004268
OG0002520	LOC129795012	AGAP001563
OG0002522	LOC129793999	AGAP005235
OG0002523	LOC129792441, LOC129791102	AGAP005240
OG0002524	LOC129791630	AGAP001092
OG0002525	LOC129797592	AGAP003185
OG0002526	LOC129787633	AGAP005169
OG0002527	LOC129790487	AGAP002481
OG0002528	LOC129796578	AGAP012901, AGAP003187
OG0002529	LOC129797613	AGAP002482
OG0002530	LOC129789414	AGAP011972
OG0002533	LOC129796137	AGAP012880, AGAP010984
OG0002534	LOC129789534	AGAP011968
OG0002535	LOC129794815	AGAP010644
OG0002536	LOC129791672	AGAP008275
OG0002538	LOC129790714	AGAP008947
OG0002539	LOC129789052	AGAP008230
OG0002540	LOC129797495	AGAP008948
OG0002541	LOC129789005	AGAP008229
OG0002542	LOC129793750	AGAP010491
OG0002543	LOC129797455	AGAP010451, AGAP029272
OG0002544	LOC129789455	AGAP007929
OG0002545	LOC129788989	AGAP009496
OG0002546	LOC129788340	AGAP009488
OG0002547	LOC129792314	AGAP006036
OG0002548	LOC129792134	AGAP006041
OG0002550	LOC129794627, LOC129797017	AGAP002966
OG0002551	LOC129786529, LOC129786533, LOC129786531	AGAP006179
OG0002552	LOC129786445	AGAP006180
OG0002553	LOC129789486	AGAP007886
OG0002554	LOC129795184	AGAP011326, AGAP013034
OG0002555	LOC129786513	AGAP001222
OG0002556	LOC129796819	AGAP029595
OG0002557	LOC129795783	AGAP011910
OG0002558	LOC129787179	AGAP011902
OG0002561	LOC129787231	AGAP001412
OG0002562	LOC129792527	AGAP005422
OG0002563	LOC129792521	AGAP005421
OG0002564	LOC129792823, LOC129792824	AGAP005406
OG0002565	LOC129795789	AGAP005414
OG0002566	LOC129795720	AGAP012284
OG0002567	LOC129796882	AGAP003092
OG0002568	LOC129795880	AGAP012282
OG0002571	LOC129790829	AGAP000703
OG0002572	LOC129788589	AGAP000940
OG0002573	LOC129797580	AGAP002519
OG0002574	LOC129790149	AGAP012105
OG0002575	LOC129786052	AGAP011492
OG0002576	LOC129786026	AGAP012103
OG0002577	LOC129792319	AGAP007641
OG0002578	LOC129796386	AGAP001320
OG0002579	LOC129795992	AGAP002454
OG0002580	LOC129788075	AGAP012824, AGAP001592
OG0002581	LOC129788821	AGAP000009
OG0002583	LOC129788078	AGAP001591
OG0002584	LOC129795888	AGAP004273
OG0002585	LOC129796775	AGAP012691, AGAP004275
OG0002586	LOC129786706	AGAP005009
OG0002587	LOC129796136	AGAP012375
OG0002588	LOC129795432	AGAP011676
OG0002589	LOC129795429	AGAP011675
OG0002590	LOC129795308	AGAP012373
OG0002591	LOC129797839	AGAP003061, AGAP003064
OG0002592	LOC129787744	AGAP003687
OG0002595	LOC129791461	AGAP008199
OG0002596	LOC129797435	AGAP002687
OG0002597	LOC129796801	AGAP002686
OG0002598	LOC129793798	AGAP003660
OG0002599	LOC129788919, LOC129788918	AGAP029524
OG0002600	LOC129788917	AGAP012905, AGAP008105
OG0002601	LOC129793503	AGAP009897, AGAP009898
OG0002602	LOC129794214	AGAP005987
OG0002603	LOC129793616	AGAP004227
OG0002604	LOC129789823	AGAP008193
OG0002605	LOC129791149	AGAP008497
OG0002606	LOC129793535	AGAP008496
OG0002607	LOC129786254	AGAP028647
OG0002608	LOC129795860	AGAP003023
OG0002609	LOC129787569	AGAP001473
OG0002610	LOC129796402	AGAP003007, AGAP003006
OG0002611	LOC129793043	AGAP004872
OG0002612	LOC129791612	AGAP012445
OG0002613	LOC129795404	AGAP013053
OG0002614	LOC129797182	AGAP002405
OG0002615	LOC129797181	AGAP002404
OG0002616	LOC129796842	AGAP002408
OG0002617	LOC129797184	AGAP002406
OG0002618	LOC129791551	AGAP010279
OG0002619	LOC129788926	AGAP010278
OG0002620	LOC129795615	AGAP010276
OG0002623	LOC129787768	AGAP004401
OG0002624	LOC129786992, LOC129786328	AGAP001760
OG0002625	LOC129786062	AGAP002394
OG0002626	LOC129795487	AGAP012862, AGAP003508
OG0002627	LOC129787922	AGAP007095
OG0002628	LOC129787925	AGAP007094
OG0002629	LOC129786702	AGAP008910
OG0002630	LOC129786685	AGAP008908
OG0002631	LOC129788511	AGAP008770
OG0002632	LOC129789790	AGAP009045
OG0002633	LOC129797512	AGAP009048
OG0002634	LOC129790315	AGAP009047
OG0002635	LOC129797851, LOC129785829	AGAP002351
OG0002636	LOC129792847	AGAP006746
OG0002637	LOC129797840	AGAP003063
OG0002638	LOC129792613	AGAP000961
OG0002639	LOC129789068	AGAP000890
OG0002640	LOC129789037	AGAP010039
OG0002642	LOC129793351	AGAP010042
OG0002643	LOC129790204	AGAP010041
OG0002644	LOC129791074	AGAP009504
OG0002645	LOC129788894	AGAP009508
OG0002646	LOC129786831	AGAP009513
OG0002647	LOC129791760	AGAP009503
OG0002648	LOC129788889	AGAP009507
OG0002649	LOC129795280	AGAP011123
OG0002650	LOC129792891	AGAP012493
OG0002651	LOC129797255	AGAP000109
OG0002652	LOC129793155	AGAP005251
OG0002653	LOC129786439	AGAP002299
OG0002654	LOC129796350	AGAP003744
OG0002655	LOC129797444	AGAP002424
OG0002656	LOC129797614	AGAP002421
OG0002657	LOC129790444	AGAP008423
OG0002658	LOC129790596	AGAP029978
OG0002659	LOC129787735	AGAP004675
OG0002660	LOC129790510	AGAP000675
OG0002661	LOC129793449	AGAP007902
OG0002662	LOC129796043	AGAP029551
OG0002663	LOC129795117	AGAP012183
OG0002664	LOC129795846	AGAP012307, AGAP012813
OG0002665	LOC129790789	AGAP012655, AGAP009548
OG0002666	LOC129789285	AGAP007865
OG0002667	LOC129793016	AGAP007362
OG0002668	LOC129792492	AGAP007381
OG0002669	LOC129792498	AGAP007380
OG0002671	LOC129786442	AGAP007377
OG0002672	LOC129793309	AGAP013544
OG0002673	LOC129789428	AGAP000277
OG0002674	LOC129786408	AGAP000195
OG0002675	LOC129791192	AGAP000042
OG0002676	LOC129786852	AGAP004429
OG0002677	LOC129788928	AGAP001386
OG0002678	LOC129790563	AGAP000158
OG0002679	LOC129795610	AGAP013527
OG0002680	LOC129786050	AGAP002279
OG0002681	LOC129795560	AGAP012772, AGAP011388
OG0002682	LOC129797445	AGAP001895
OG0002683	LOC129797291	AGAP001897
OG0002684	LOC129792912	AGAP001894
OG0002685	LOC129787159	AGAP001910
OG0002688	LOC129793915, LOC129786178	AGAP001930
OG0002691	LOC129785946	AGAP000747
OG0002692	LOC129788981	AGAP010009
OG0002693	LOC129789775	AGAP010216
OG0002694	LOC129788636	AGAP008274
OG0002695	LOC129789873	AGAP000717
OG0002696	LOC129792253	AGAP006346, AGAP006345
OG0002697	LOC129789854	AGAP003139
OG0002698	LOC129795178	AGAP003134
OG0002699	LOC129787504	AGAP012913, AGAP012141
OG0002701	LOC129791883	AGAP005653
OG0002702	LOC129793902, LOC129786946	AGAP000807
OG0002703	LOC129786645	AGAP013081
OG0002704	LOC129786726	AGAP004110
OG0002705	LOC129787415	AGAP004588
OG0002706	LOC129791437	AGAP002166
OG0002707	LOC129786763	AGAP002320
OG0002708	LOC129789791	AGAP011251
OG0002709	LOC129790141	AGAP000161
OG0002710	LOC129790160	AGAP003865
OG0002711	LOC129789270	AGAP012428
OG0002712	LOC129790801	AGAP009128
OG0002713	LOC129792917, LOC129797476	AGAP005322
OG0002714	LOC129791727	AGAP006997
OG0002715	LOC129793361	AGAP006995
OG0002716	LOC129787000	AGAP006996
OG0002717	LOC129792895	AGAP004833, AGAP012699, AGAP012685
OG0002718	LOC129792901	AGAP006949
OG0002719	LOC129795851	AGAP011881
OG0002720	LOC129796584	AGAP011880
OG0002721	LOC129788588	AGAP001478
OG0002722	LOC129791942	AGAP008092
OG0002723	LOC129792821, LOC129791408	AGAP009852
OG0002724	LOC129793129	AGAP005831
OG0002725	LOC129796533	AGAP003633
OG0002726	LOC129792647, LOC129792670	AGAP010254
OG0002728	LOC129794945	AGAP012498
OG0002729	LOC129796594	AGAP010321
OG0002730	LOC129794886	AGAP012465
OG0002731	LOC129796598	AGAP010322
OG0002732	LOC129792070, LOC129792080	AGAP004993
OG0002733	LOC129796487	AGAP001347
OG0002734	LOC129788008	AGAP003289
OG0002735	LOC129790711	AGAP003290
OG0002736	LOC129791964	AGAP008680
OG0002737	LOC129788988, LOC129788983	AGAP007958
OG0002738	LOC129792731	AGAP007966
OG0002739	LOC129795470	AGAP004747
OG0002740	LOC129787546	AGAP012520, AGAP029481
OG0002741	LOC129796250	AGAP010672
OG0002742	LOC129795871	AGAP004775
OG0002743	LOC129793895	AGAP011255
OG0002744	LOC129786920	AGAP000019
OG0002745	LOC129789998	AGAP003868
OG0002746	LOC129790464	AGAP002778
