Orthogroup	LlongipalpisASM	CquinquefasciatusJHB2020
OG0000909	LOC129796560	CQUJHB012083
OG0000910	LOC129795282	CQUJHB004969, CQUJHB008293
OG0000911	LOC129795049, LOC129795046, LOC129795115, LOC129795047, LOC129795048, LOC129795050	CQUJHB004769
OG0000914	LOC129789702, LOC129791929, LOC129789064, LOC129789703, LOC129790499, LOC129793965, LOC129792174, LOC129796589, LOC129792434	CQUJHB001329
OG0000940	LOC129790864	CQUJHB004520
OG0000941	LOC129796100	CQUJHB009645
OG0000944	LOC129786944	CQUJHB016531
OG0000945	LOC129791341	CQUJHB009634
OG0000946	LOC129788541	CQUJHB001073
OG0000947	LOC129795083	CQUJHB014338, CQUJHB009540, CQUJHB002226
OG0000948	LOC129793500	CQUJHB004396, CQUJHB011163
OG0000951	LOC129793103	CQUJHB005663
OG0000954	LOC129790521	CQUJHB001350
OG0000955	LOC129788857	CQUJHB014863
OG0000956	LOC129791637	CQUJHB008114
OG0000958	LOC129789081	CQUJHB003261
OG0000959	LOC129788197	CQUJHB002198
OG0000960	LOC129787101	CQUJHB012755
OG0000961	LOC129789061, LOC129789060, LOC129791743	CQUJHB004963, CQUJHB007561
OG0000962	LOC129788175	CQUJHB009877, CQUJHB015515, CQUJHB011384, CQUJHB008236
OG0000963	LOC129791715	CQUJHB009639
OG0000964	LOC129789690	CQUJHB008744, CQUJHB010722
OG0000965	LOC129793540	CQUJHB017790, CQUJHB006908, CQUJHB007964
OG0000966	LOC129796954, LOC129794317, LOC129796959	CQUJHB016172, CQUJHB017954
OG0000967	LOC129787131	CQUJHB005852
OG0000968	LOC129786430	CQUJHB014690
OG0000969	LOC129792145	CQUJHB015784
OG0000972	LOC129791340	CQUJHB018311, CQUJHB012214
OG0000973	LOC129788414	CQUJHB016185
OG0000974	LOC129790235	CQUJHB003428
OG0000976	LOC129794233	CQUJHB001997, CQUJHB005014
OG0000977	LOC129795519	CQUJHB010487, CQUJHB018398, CQUJHB004772, CQUJHB003256, CQUJHB012401
OG0000978	LOC129791015	CQUJHB014489
OG0000979	LOC129790816	CQUJHB010582
OG0000980	LOC129788975	CQUJHB005278
OG0000982	LOC129797134	CQUJHB016893
OG0000984	LOC129792919	CQUJHB009150
OG0000985	LOC129794771	CQUJHB005271
OG0000986	LOC129793529	CQUJHB011518
OG0000987	LOC129789906	CQUJHB008220, CQUJHB018430, CQUJHB004952
OG0000988	LOC129789053	CQUJHB003586, CQUJHB006502, CQUJHB005034
OG0000989	LOC129794910	CQUJHB003833
OG0000990	LOC129790037	CQUJHB005827, CQUJHB004540
OG0000991	LOC129792116	CQUJHB002743
OG0000991	LOC129792113	CQUJHB003449
OG0000994	LOC129794241	CQUJHB002391
OG0000995	LOC129787625	CQUJHB013694
OG0000996	LOC129796131	CQUJHB015466
OG0000997	LOC129792516	CQUJHB004237
OG0000998	LOC129787963	CQUJHB012886
OG0000999	LOC129787879, LOC129797687, LOC129797198	CQUJHB014645
OG0001000	LOC129794479, LOC129795878, LOC129794521, LOC129795305	CQUJHB012706
OG0001001	LOC129789861, LOC129793688	CQUJHB007634
OG0001002	LOC129791439	CQUJHB006242, CQUJHB004437
OG0001003	LOC129792614	CQUJHB010786, CQUJHB001291, CQUJHB006893
OG0001004	LOC129789094, LOC129792668	CQUJHB008887
OG0001005	LOC129790275	CQUJHB009416
OG0001006	LOC129790929	CQUJHB005281, CQUJHB001670
OG0001008	LOC129795176	CQUJHB004423, CQUJHB018152
OG0001009	LOC129786970, LOC129786956, LOC129791459	CQUJHB006049
OG0001010	LOC129792704, LOC129795695, LOC129788700, LOC129791406	CQUJHB008609, CQUJHB010465
OG0001011	LOC129788760, LOC129790740	CQUJHB006775
OG0001013	LOC129791329	CQUJHB008606
OG0001013	LOC129791681, LOC129791698	CQUJHB009163
OG0001014	LOC129791201	CQUJHB000862, CQUJHB018422, CQUJHB002738, CQUJHB007997
OG0001016	LOC129797780, LOC129797778	CQUJHB012911
OG0001018	LOC129788551, LOC129788546	CQUJHB015199, CQUJHB006119
OG0001020	LOC129786180	CQUJHB011426
OG0001022	LOC129786089	CQUJHB008189, CQUJHB009115
OG0001023	LOC129796319, LOC129793389, LOC129794274	CQUJHB014680
OG0001024	LOC129788527	CQUJHB008615
OG0001026	LOC129794084	CQUJHB010510
OG0001027	LOC129795138	CQUJHB003034
OG0001028	LOC129795454	CQUJHB005131, CQUJHB007966
OG0001029	LOC129788741	CQUJHB013179
OG0001032	LOC129797772	CQUJHB005167, CQUJHB007849, CQUJHB005901
OG0001034	LOC129795761, LOC129787325	CQUJHB008761
OG0001035	LOC129792675, LOC129788485	CQUJHB014148, CQUJHB012364
OG0001036	LOC129791200	CQUJHB009624
OG0001037	LOC129792572	CQUJHB010944, CQUJHB016163
OG0001038	LOC129786672	CQUJHB012793
OG0001039	LOC129787219	CQUJHB012892
OG0001040	LOC129790565, LOC129797394, LOC129790576	CQUJHB014554
OG0001042	LOC129796040, LOC129796033, LOC129796013, LOC129796003	CQUJHB011988, CQUJHB007438
OG0001043	LOC129796562	CQUJHB014003
OG0001044	LOC129791588, LOC129791587	CQUJHB009456, CQUJHB009570
OG0001045	LOC129790522	CQUJHB002304
OG0001047	LOC129786341, LOC129786344, LOC129794036, LOC129786345	CQUJHB002752
OG0001048	LOC129797230, LOC129797229	CQUJHB006541, CQUJHB015947, CQUJHB017293
OG0001049	LOC129796382	CQUJHB007601
OG0001050	LOC129794622, LOC129790880	CQUJHB008829, CQUJHB004223
OG0001055	LOC129790165	CQUJHB000174
OG0001056	LOC129790417	CQUJHB011726
OG0001057	LOC129785857	CQUJHB006290
OG0001058	LOC129786362	CQUJHB003510
OG0001059	LOC129797218	CQUJHB001699, CQUJHB008683
OG0001060	LOC129797828	CQUJHB002435
OG0001061	LOC129790603	CQUJHB012829
OG0001062	LOC129788539	CQUJHB018401
OG0001062	LOC129788347	CQUJHB001563
OG0001063	LOC129788634	CQUJHB000027
OG0001064	LOC129791853	CQUJHB005644
OG0001065	LOC129787932	CQUJHB012881
OG0001066	LOC129789269	CQUJHB010424
OG0001067	LOC129789781	CQUJHB014809
OG0001068	LOC129787046	CQUJHB004688
OG0001069	LOC129787026	CQUJHB017320, CQUJHB003270
OG0001070	LOC129793530, LOC129793555	CQUJHB006431
OG0001071	LOC129795388	CQUJHB008812, CQUJHB013112
OG0001072	LOC129791290	CQUJHB018472
OG0001073	LOC129790121	CQUJHB016253
OG0001074	LOC129788670	CQUJHB017478, CQUJHB013073
OG0001075	LOC129797022	CQUJHB001253
OG0001076	LOC129785981	CQUJHB014057
OG0001077	LOC129793752	CQUJHB017342
OG0001078	LOC129788875	CQUJHB000845
OG0001080	LOC129791356	CQUJHB005199
OG0001081	LOC129791844	CQUJHB001310
OG0001082	LOC129791458	CQUJHB008406
OG0001083	LOC129795765	CQUJHB007924
OG0001084	LOC129794593	CQUJHB010600
OG0001085	LOC129796635	CQUJHB016838
OG0001086	LOC129792225	CQUJHB017140
OG0001087	LOC129794078	CQUJHB012362, CQUJHB013935
OG0001088	LOC129787136	CQUJHB013090
OG0001090	LOC129786306	CQUJHB009490
OG0001091	LOC129794575	CQUJHB012191
OG0001092	LOC129788411, LOC129788409	CQUJHB010151
OG0001094	LOC129790523, LOC129790524	CQUJHB012076
OG0001095	LOC129794186	CQUJHB001970
OG0001096	LOC129790467, LOC129789266	CQUJHB009987, CQUJHB004050
OG0001097	LOC129791217	CQUJHB013069
OG0001098	LOC129791313	CQUJHB013863
OG0001101	LOC129793636	CQUJHB001198
OG0001102	LOC129791849	CQUJHB002778
OG0001103	LOC129794982	CQUJHB018442
OG0001105	LOC129797284	CQUJHB000989
OG0001106	LOC129791987	CQUJHB013092, CQUJHB018273
OG0001107	LOC129797543	CQUJHB000759
OG0001109	LOC129788390	CQUJHB008455
OG0001110	LOC129791799	CQUJHB014045
OG0001111	LOC129792625	CQUJHB011303
OG0001112	LOC129794923	CQUJHB008113
OG0001113	LOC129793132	CQUJHB010864, CQUJHB007943, CQUJHB007461
OG0001138	LOC129793026	CQUJHB007348, CQUJHB000295
OG0001139	LOC129792462	CQUJHB010296, CQUJHB010719
OG0001142	LOC129797673, LOC129797675	CQUJHB002686
OG0001144	LOC129790186	CQUJHB006357
OG0001145	LOC129790848	CQUJHB010484
OG0001147	LOC129792090	CQUJHB008274
OG0001148	LOC129791114	CQUJHB007885, CQUJHB009789
OG0001149	LOC129796816	CQUJHB018083
OG0001150	LOC129794585	CQUJHB008800
OG0001151	LOC129790954	CQUJHB012350
OG0001152	LOC129790528	CQUJHB007774, CQUJHB011363, CQUJHB014477
OG0001153	LOC129795593	CQUJHB003298
OG0001154	LOC129795336	CQUJHB005576
OG0001155	LOC129795834	CQUJHB003017
OG0001158	LOC129797717	CQUJHB001257
OG0001159	LOC129793087	CQUJHB006668
OG0001160	LOC129789294	CQUJHB014102, CQUJHB016217
OG0001162	LOC129789452	CQUJHB008377
OG0001163	LOC129793609	CQUJHB003901
OG0001166	LOC129791338	CQUJHB004804, CQUJHB012775, CQUJHB017235
OG0001167	LOC129790044	CQUJHB000861, CQUJHB005636, CQUJHB000790
OG0001168	LOC129797215	CQUJHB003000
OG0001170	LOC129791829	CQUJHB005763
OG0001171	LOC129794785	CQUJHB002512
OG0001172	LOC129787585	CQUJHB018242, CQUJHB007240
OG0001173	LOC129797583	CQUJHB014673
OG0001174	LOC129786251	CQUJHB001642
OG0001176	LOC129797364	CQUJHB010130, CQUJHB017815
OG0001177	LOC129785986	CQUJHB004326
OG0001178	LOC129790517	CQUJHB016014
OG0001179	LOC129791030	CQUJHB000147
OG0001180	LOC129788976	CQUJHB018140
OG0001181	LOC129786120	CQUJHB007629
OG0001182	LOC129787593	CQUJHB005470
OG0001183	LOC129786482	CQUJHB003155
OG0001184	LOC129795045	CQUJHB016075
OG0001185	LOC129788331	CQUJHB014228
OG0001186	LOC129790558	CQUJHB001111
OG0001188	LOC129786823	CQUJHB006492, CQUJHB000473
OG0001189	LOC129787741	CQUJHB007511
OG0001190	LOC129794660	CQUJHB014246
OG0001191	LOC129796042	CQUJHB003666, CQUJHB003991
OG0001192	LOC129795136	CQUJHB014514
OG0001192	LOC129795137	CQUJHB011394
OG0001194	LOC129797076, LOC129786937	CQUJHB004740
OG0001195	LOC129796300	CQUJHB012265
OG0001196	LOC129796450	CQUJHB017906
OG0001197	LOC129796231	CQUJHB010291, CQUJHB006315
OG0001198	LOC129796825	CQUJHB016045, CQUJHB002943
OG0001199	LOC129787441	CQUJHB010339
OG0001200	LOC129794951	CQUJHB005650, CQUJHB002786
OG0001201	LOC129793638	CQUJHB007565
OG0001202	LOC129790675	CQUJHB015157
OG0001204	LOC129788920	CQUJHB011526
OG0001205	LOC129788476	CQUJHB016582, CQUJHB011022
OG0001206	LOC129793483	CQUJHB006483
OG0001207	LOC129789730	CQUJHB011194
OG0001208	LOC129792511, LOC129790343	CQUJHB001959, CQUJHB009601
OG0001209	LOC129787116	CQUJHB013094
OG0001210	LOC129789059	CQUJHB014801
OG0001211	LOC129794278, LOC129789216, LOC129796320	CQUJHB013663
OG0001212	LOC129786776	CQUJHB013955, CQUJHB015741
OG0001215	LOC129794117	CQUJHB007784
OG0001218	LOC129787982	CQUJHB015464, CQUJHB005474
OG0001219	LOC129792661	CQUJHB014977
OG0001220	LOC129792760	CQUJHB004911
OG0001221	LOC129795596	CQUJHB000175, CQUJHB011467
OG0001222	LOC129792565	CQUJHB005963
OG0001223	LOC129789118	CQUJHB001107
OG0001224	LOC129789722, LOC129788434	CQUJHB010964
OG0001225	LOC129791107	CQUJHB002797
OG0001226	LOC129789466	CQUJHB004897
OG0001227	LOC129786360	CQUJHB010670
OG0001229	LOC129793019	CQUJHB006235
OG0001230	LOC129790742	CQUJHB011435
OG0001231	LOC129786580	CQUJHB007720, CQUJHB006247, CQUJHB015818
OG0001232	LOC129787800, LOC129797716, LOC129788785, LOC129788854	CQUJHB016364
OG0001234	LOC129797505	CQUJHB010175
OG0001235	LOC129797456	CQUJHB003925
OG0001236	LOC129790098	CQUJHB001267
OG0001237	LOC129788970	CQUJHB004175
OG0001238	LOC129790419	CQUJHB002472
OG0001239	LOC129790877	CQUJHB005397, CQUJHB016379
OG0001241	LOC129789826	CQUJHB016654
OG0001244	LOC129794671	CQUJHB011548
OG0001245	LOC129790968	CQUJHB010710
OG0001246	LOC129792984	CQUJHB018055
OG0001247	LOC129794715, LOC129794718, LOC129791053	CQUJHB012283
OG0001248	LOC129791559	CQUJHB002127
OG0001249	LOC129796838	CQUJHB011797
OG0001250	LOC129787582	CQUJHB005451
OG0001251	LOC129793082	CQUJHB006519, CQUJHB013100
OG0001252	LOC129789405, LOC129786917	CQUJHB012657
OG0001253	LOC129792804	CQUJHB001382
OG0001254	LOC129789034	CQUJHB001940
OG0001255	LOC129790304	CQUJHB006501, CQUJHB009583
OG0001257	LOC129791044	CQUJHB016767
OG0001258	LOC129794691, LOC129795222	CQUJHB003392
OG0001259	LOC129791214	CQUJHB016438, CQUJHB010682
OG0001260	LOC129789595	CQUJHB016170
OG0001262	LOC129791832	CQUJHB016878
OG0001263	LOC129790926	CQUJHB003620, CQUJHB002466
OG0001264	LOC129795841, LOC129795859	CQUJHB002884
OG0001265	LOC129788738	CQUJHB006364
OG0001266	LOC129794670	CQUJHB004429
OG0001267	LOC129790155	CQUJHB013444
OG0001270	LOC129787668	CQUJHB014681
OG0001271	LOC129786592	CQUJHB010717
OG0001272	LOC129788766, LOC129789543	CQUJHB004263
OG0001274	LOC129785967	CQUJHB018240
OG0001275	LOC129792084, LOC129792227, LOC129794467, LOC129792193, LOC129792203	CQUJHB014242
OG0001279	LOC129796608	CQUJHB007827
OG0001281	LOC129794285	CQUJHB010234
OG0001282	LOC129786284	CQUJHB008583
OG0001284	LOC129790360	CQUJHB014665, CQUJHB017369
OG0001285	LOC129796168	CQUJHB011728
OG0001286	LOC129789014	CQUJHB014654
OG0001288	LOC129797044	CQUJHB000463, CQUJHB004855, CQUJHB017025
OG0001290	LOC129787999	CQUJHB011896
OG0001291	LOC129791602	CQUJHB005875, CQUJHB000518
OG0001292	LOC129789424	CQUJHB004373
OG0001293	LOC129786935	CQUJHB009962
OG0001294	LOC129791685	CQUJHB011730, CQUJHB000828
OG0001295	LOC129793962	CQUJHB008918
OG0001297	LOC129797220	CQUJHB018209
OG0001298	LOC129797123	CQUJHB007683
OG0001299	LOC129787722	CQUJHB006418, CQUJHB014237
OG0001300	LOC129797464	CQUJHB009670
OG0001302	LOC129792444	CQUJHB018342, CQUJHB001441
OG0001303	LOC129797679	CQUJHB013080
OG0001304	LOC129791772	CQUJHB013488, CQUJHB016757
OG0001305	LOC129786484	CQUJHB014866, CQUJHB013275
OG0001306	LOC129796126, LOC129796098, LOC129796104	CQUJHB006883
OG0001307	LOC129792399, LOC129791720	CQUJHB000868, CQUJHB013714
OG0001309	LOC129787408	CQUJHB008601
OG0001310	LOC129787452	CQUJHB014571
OG0001312	LOC129786821	CQUJHB015646, CQUJHB004492
OG0001313	LOC129787578	CQUJHB012662
OG0001314	LOC129796344	CQUJHB000328
OG0001316	LOC129787612	CQUJHB002261
OG0001318	LOC129789533	CQUJHB015916
OG0001321	LOC129793272, LOC129795294, LOC129791884	CQUJHB011715
OG0001322	LOC129792131, LOC129793391	CQUJHB003265, CQUJHB002842
OG0001323	LOC129785945	CQUJHB000193
OG0001324	LOC129792952	CQUJHB001239
OG0001325	LOC129794890	CQUJHB017024
OG0001326	LOC129788057	CQUJHB012480
OG0001327	LOC129787207, LOC129788203	CQUJHB000322
OG0001329	LOC129787650	CQUJHB014297
OG0001331	LOC129790418	CQUJHB007949
OG0001332	LOC129794793	CQUJHB008565, CQUJHB018036, CQUJHB005506
OG0001333	LOC129786501	CQUJHB006569, CQUJHB001421
OG0001334	LOC129787387	CQUJHB006508
OG0001335	LOC129792520	CQUJHB010728
OG0001336	LOC129791812	CQUJHB008230
OG0001337	LOC129788453	CQUJHB012843
OG0001338	LOC129795569	CQUJHB001630
OG0001339	LOC129797428	CQUJHB004028
OG0001340	LOC129789911	CQUJHB004913
OG0001341	LOC129794983	CQUJHB003700
OG0001342	LOC129791318	CQUJHB008742
OG0001343	LOC129788194	CQUJHB001026
OG0001344	LOC129797436	CQUJHB018089
OG0001345	LOC129790255	CQUJHB017357
OG0001346	LOC129789567	CQUJHB011760
OG0001347	LOC129788984	CQUJHB008308
OG0001349	LOC129791767	CQUJHB005377
OG0001350	LOC129787246, LOC129787425, LOC129786048	CQUJHB001074
OG0001351	LOC129797309	CQUJHB012777
OG0001352	LOC129786038, LOC129794831	CQUJHB004014
OG0001354	LOC129791656	CQUJHB000702
OG0001355	LOC129790355	CQUJHB000958
OG0001356	LOC129788536	CQUJHB011521
OG0001357	LOC129795488	CQUJHB002637
OG0001358	LOC129794642	CQUJHB008620
OG0001359	LOC129794603	CQUJHB000561
OG0001360	LOC129794827	CQUJHB006192
OG0001361	LOC129787346	CQUJHB004312
OG0001362	LOC129788712	CQUJHB017826
OG0001363	LOC129794094	CQUJHB004617
OG0001364	LOC129790890	CQUJHB013055
OG0001366	LOC129788668	CQUJHB009155
OG0001369	LOC129795634	CQUJHB016113
OG0001370	LOC129795437	CQUJHB010009
OG0001371	LOC129792074	CQUJHB002308, CQUJHB002124, CQUJHB018437
OG0001372	LOC129795849	CQUJHB012398
OG0001373	LOC129789048, LOC129789043, LOC129793651, LOC129789013	CQUJHB013261
OG0001374	LOC129792865	CQUJHB010990, CQUJHB007748
OG0001375	LOC129793978, LOC129792762, LOC129795854, LOC129791830	CQUJHB017175
OG0001376	LOC129792898	CQUJHB017166
OG0001377	LOC129792532	CQUJHB004018, CQUJHB015054
OG0001378	LOC129794706	CQUJHB001552
OG0001379	LOC129788726	CQUJHB009835
OG0001380	LOC129792424	CQUJHB016599
OG0001381	LOC129793780	CQUJHB017011
OG0001382	LOC129793511, LOC129795968	CQUJHB011132
OG0001383	LOC129797248	CQUJHB012611, CQUJHB007484
OG0001384	LOC129792709	CQUJHB017133
OG0001385	LOC129789000	CQUJHB018156
OG0001386	LOC129795895, LOC129795900, LOC129796669	CQUJHB003605
OG0001387	LOC129795414	CQUJHB001300
OG0001388	LOC129787304	CQUJHB006494
OG0001388	LOC129786976	CQUJHB011974
OG0001389	LOC129791452	CQUJHB001996
OG0001390	LOC129787307	CQUJHB018418
OG0001391	LOC129789040	CQUJHB005978, CQUJHB001894
OG0001391	LOC129788377	CQUJHB001533
OG0001392	LOC129792320	CQUJHB006359
OG0001393	LOC129788658	CQUJHB013884
OG0001394	LOC129786332	CQUJHB014224
OG0001395	LOC129786709	CQUJHB010463
OG0001396	LOC129792394	CQUJHB007755
OG0001397	LOC129790720	CQUJHB004638
OG0001398	LOC129790783	CQUJHB000060
OG0001399	LOC129789852	CQUJHB011585, CQUJHB003426, CQUJHB001092
OG0001400	LOC129794148	CQUJHB001531
OG0001401	LOC129785966	CQUJHB013793, CQUJHB003496
OG0001402	LOC129788358, LOC129788323	CQUJHB008128
OG0001403	LOC129790814	CQUJHB018024
OG0001404	LOC129789519	CQUJHB012237
OG0001405	LOC129787029	CQUJHB002067
OG0001408	LOC129794090	CQUJHB005586
OG0001409	LOC129787691, LOC129787692, LOC129787693, LOC129787694	CQUJHB001447
OG0001410	LOC129795836	CQUJHB001143
OG0001411	LOC129792767	CQUJHB007992
OG0001412	LOC129787254	CQUJHB003984, CQUJHB000719
OG0001413	LOC129792243	CQUJHB005006
OG0001414	LOC129795699	CQUJHB006422
OG0001444	LOC129791749	CQUJHB013095, CQUJHB012168
OG0001447	LOC129789309	CQUJHB001003
OG0001448	LOC129797300	CQUJHB001400
OG0001449	LOC129793937	CQUJHB017498
OG0001450	LOC129792179	CQUJHB009691
OG0001452	LOC129796323	CQUJHB013859
OG0001454	LOC129795189	CQUJHB003356
OG0001455	LOC129789413	CQUJHB000121, CQUJHB006268
OG0001456	LOC129796306	CQUJHB002989
OG0001458	LOC129792908	CQUJHB006351
OG0001459	LOC129785982	CQUJHB010544
OG0001460	LOC129792966	CQUJHB000007
OG0001463	LOC129797338, LOC129797339	CQUJHB003311
OG0001464	LOC129797131	CQUJHB017818
OG0001465	LOC129791129	CQUJHB012759
OG0001466	LOC129793510, LOC129786827, LOC129785848	CQUJHB006979
OG0001467	LOC129791077	CQUJHB016140
OG0001468	LOC129788389	CQUJHB009238
OG0001469	LOC129791746	CQUJHB013666
OG0001471	LOC129793106	CQUJHB017340
OG0001472	LOC129794429, LOC129794428, LOC129793075	CQUJHB009188
OG0001473	LOC129787638	CQUJHB006626
OG0001474	LOC129788540	CQUJHB004358, CQUJHB013900
OG0001475	LOC129790456	CQUJHB003825
OG0001476	LOC129790454	CQUJHB009384
OG0001477	LOC129794782	CQUJHB004817
OG0001478	LOC129791803	CQUJHB004889, CQUJHB018369
OG0001479	LOC129792690	CQUJHB013319
OG0001480	LOC129789467	CQUJHB003634
OG0001481	LOC129792723	CQUJHB015124
OG0001482	LOC129792722	CQUJHB015032
OG0001483	LOC129791534	CQUJHB014720
OG0001484	LOC129792446	CQUJHB010772
OG0001486	LOC129791975	CQUJHB007093
OG0001488	LOC129786309	CQUJHB017438
OG0001489	LOC129786140	CQUJHB003174
OG0001491	LOC129795445	CQUJHB009598
OG0001492	LOC129788839	CQUJHB017908
OG0001493	LOC129789657	CQUJHB011057
OG0001494	LOC129795685	CQUJHB006222
OG0001495	LOC129794601, LOC129795731	CQUJHB004236
OG0001496	LOC129791948	CQUJHB013730
OG0001497	LOC129793206	CQUJHB013736
OG0001498	LOC129790584	CQUJHB002219
OG0001499	LOC129789756	CQUJHB005868
OG0001500	LOC129791347	CQUJHB002550
OG0001502	LOC129790803	CQUJHB010071
OG0001503	LOC129797594	CQUJHB010599
OG0001504	LOC129789482	CQUJHB017861
OG0001505	LOC129788406	CQUJHB011069
OG0001506	LOC129797141	CQUJHB016211
OG0001509	LOC129789890	CQUJHB010194, CQUJHB004316
OG0001510	LOC129791619	CQUJHB003731, CQUJHB003523
OG0001511	LOC129794898	CQUJHB003943
OG0001513	LOC129790094	CQUJHB003898
OG0001514	LOC129794509, LOC129788006	CQUJHB015908
OG0001515	LOC129794063	CQUJHB003378
OG0001516	LOC129789723	CQUJHB016371
OG0001517	LOC129793025	CQUJHB015770
OG0001518	LOC129786143	CQUJHB014184
OG0001519	LOC129787590	CQUJHB016885
OG0001520	LOC129792879	CQUJHB001943, CQUJHB001276, CQUJHB007485
OG0001521	LOC129787794	CQUJHB003530
OG0001522	LOC129786952	CQUJHB004981
OG0001523	LOC129789653, LOC129796678, LOC129790491	CQUJHB010954
OG0001524	LOC129787654	CQUJHB000455
OG0001525	LOC129794659	CQUJHB002784
OG0001526	LOC129786471	CQUJHB012704, CQUJHB014960
OG0001527	LOC129786192	CQUJHB006329, CQUJHB009076, CQUJHB017472
OG0001528	LOC129786390, LOC129786377	CQUJHB004340
OG0001530	LOC129785953	CQUJHB007850
OG0001532	LOC129797401	CQUJHB014995, CQUJHB005138, CQUJHB014354
OG0001533	LOC129788033, LOC129788157, LOC129788158	CQUJHB008419
OG0001534	LOC129796090	CQUJHB004219
OG0001535	LOC129790763	CQUJHB003258
OG0001536	LOC129795103, LOC129790583	CQUJHB008904
OG0001537	LOC129795333	CQUJHB018019
OG0001538	LOC129786614	CQUJHB016634
OG0001539	LOC129790300, LOC129793277	CQUJHB005522, CQUJHB005824
OG0001540	LOC129796484	CQUJHB017730
OG0001541	LOC129797282	CQUJHB007994
OG0001543	LOC129790535	CQUJHB006512
OG0001545	LOC129791550	CQUJHB001886
OG0001546	LOC129796309	CQUJHB005770
OG0001547	LOC129795817	CQUJHB016356
OG0001548	LOC129795510	CQUJHB003089
OG0001549	LOC129790245	CQUJHB006350
OG0001550	LOC129786366	CQUJHB014932
OG0001551	LOC129789089	CQUJHB014352
OG0001552	LOC129796512	CQUJHB010857
OG0001553	LOC129792539, LOC129793331	CQUJHB013025, CQUJHB002513
OG0001554	LOC129789305	CQUJHB009869
OG0001555	LOC129791177	CQUJHB004786
OG0001556	LOC129788452	CQUJHB013580
OG0001557	LOC129785961	CQUJHB006059
OG0001558	LOC129786044	CQUJHB003402
OG0001559	LOC129796361	CQUJHB013206
OG0001560	LOC129795006	CQUJHB015935
OG0001561	LOC129795077, LOC129795076	CQUJHB010991, CQUJHB006122
OG0001563	LOC129787878	CQUJHB014177
OG0001564	LOC129793487	CQUJHB001600
OG0001565	LOC129789959	CQUJHB005831
OG0001566	LOC129793035	CQUJHB015877
OG0001569	LOC129787760	CQUJHB007989
OG0001570	LOC129793656	CQUJHB002795
OG0001571	LOC129789218	CQUJHB000043
OG0001572	LOC129788874	CQUJHB001860
OG0001573	LOC129786492	CQUJHB018479
OG0001574	LOC129793674	CQUJHB007907
OG0001575	LOC129790110	CQUJHB001494
OG0001576	LOC129788159	CQUJHB003894
OG0001577	LOC129791301	CQUJHB004564, CQUJHB000443
OG0001578	LOC129790970	CQUJHB006128
OG0001579	LOC129792659	CQUJHB017441
OG0001580	LOC129787883	CQUJHB011676
OG0001582	LOC129797368	CQUJHB001601
OG0001583	LOC129797370	CQUJHB002636, CQUJHB009009
OG0001584	LOC129797763	CQUJHB010006, CQUJHB000661
OG0001585	LOC129789268	CQUJHB002648
OG0001586	LOC129788752	CQUJHB008155, CQUJHB002063
OG0001587	LOC129787948	CQUJHB011140
OG0001588	LOC129786414, LOC129786472	CQUJHB009152
OG0001589	LOC129789338, LOC129789341	CQUJHB014204
OG0001590	LOC129792557	CQUJHB007599
OG0001592	LOC129795990	CQUJHB010271
OG0001593	LOC129795094	CQUJHB003357
OG0001594	LOC129787197, LOC129789390	CQUJHB006598
OG0001595	LOC129792937	CQUJHB012402
OG0001596	LOC129793446	CQUJHB014376
OG0001597	LOC129794506	CQUJHB006773
OG0001598	LOC129796977	CQUJHB004368
OG0001599	LOC129795862, LOC129795861	CQUJHB004600
OG0001600	LOC129787918	CQUJHB008163
OG0001601	LOC129794834	CQUJHB007829
OG0001602	LOC129793648	CQUJHB016977
OG0001603	LOC129787433	CQUJHB000521
OG0001604	LOC129791740, LOC129797719	CQUJHB016648
OG0001605	LOC129792643	CQUJHB007633
OG0001606	LOC129786475	CQUJHB014943
OG0001607	LOC129794461	CQUJHB000830
OG0001608	LOC129793958	CQUJHB011681
OG0001609	LOC129793831	CQUJHB000477
OG0001610	LOC129790774	CQUJHB015813
OG0001611	LOC129794313	CQUJHB012937
OG0001612	LOC129795496	CQUJHB006423
OG0001613	LOC129793815, LOC129786668, LOC129786729	CQUJHB012285
OG0001614	LOC129795844	CQUJHB005858
OG0001615	LOC129793898	CQUJHB003375
OG0001616	LOC129792007	CQUJHB016725
OG0001617	LOC129790376	CQUJHB018130
OG0001618	LOC129792832, LOC129787634	CQUJHB017878
OG0001619	LOC129786506, LOC129786488	CQUJHB002341
OG0001620	LOC129786438	CQUJHB013609
OG0001621	LOC129787620	CQUJHB011768, CQUJHB012013
OG0001622	LOC129792130	CQUJHB016232
OG0001623	LOC129787944	CQUJHB011721, CQUJHB000767
OG0001624	LOC129787347	CQUJHB010551
OG0001625	LOC129796179	CQUJHB017514
OG0001626	LOC129792140, LOC129797795	CQUJHB015913
OG0001627	LOC129797847	CQUJHB001936, CQUJHB014379, CQUJHB009045
OG0001628	LOC129791569	CQUJHB012184
OG0001629	LOC129790874, LOC129789217, LOC129792829	CQUJHB016459, CQUJHB015848
OG0001630	LOC129795633	CQUJHB010279
OG0001631	LOC129786221	CQUJHB012109
OG0001633	LOC129789417	CQUJHB008156
OG0001634	LOC129796839	CQUJHB006424
OG0001635	LOC129795027	CQUJHB003654
OG0001636	LOC129790733	CQUJHB010165
OG0001637	LOC129790595	CQUJHB008618
OG0001638	LOC129790797	CQUJHB002093
