Orthogroup	AsinensisChina	CquinquefasciatusJHB2020
OG0001810	ASIC014549, ASIC014550, ASIC011629, ASIC015060	CQUJHB003726
OG0001811	ASIC004319	CQUJHB013858
OG0001812	ASIC006309	CQUJHB009625
OG0001813	ASIC002411	CQUJHB016927
OG0001814	ASIC002412	CQUJHB000841
OG0001815	ASIC005845, ASIC005844	CQUJHB011802
OG0001816	ASIC008708, ASIC008709	CQUJHB007213
OG0001817	ASIC020783	CQUJHB004187
OG0001818	ASIC021626	CQUJHB015469
OG0001819	ASIC009549	CQUJHB012369
OG0001820	ASIC003777	CQUJHB007965
OG0001821	ASIC001040, ASIC001032	CQUJHB016998
OG0001822	ASIC006665	CQUJHB007572
OG0001823	ASIC019817	CQUJHB014893
OG0001824	ASIC002801	CQUJHB003487
OG0001825	ASIC019990	CQUJHB005537
OG0001826	ASIC014583	CQUJHB006583
OG0001827	ASIC020438	CQUJHB010570, CQUJHB017812, CQUJHB010623
OG0001828	ASIC014192	CQUJHB014610, CQUJHB011345, CQUJHB009880
OG0001829	ASIC008118	CQUJHB007499, CQUJHB014883
OG0001831	ASIC000567	CQUJHB014199
OG0001832	ASIC018160	CQUJHB012280
OG0001833	ASIC005302	CQUJHB012719
OG0001834	ASIC016151, ASIC016173	CQUJHB011754
OG0001835	ASIC021750	CQUJHB000069
OG0001837	ASIC020182	CQUJHB000827
OG0001838	ASIC019355	CQUJHB001157
OG0001839	ASIC006749, ASIC006748	CQUJHB002246
OG0001841	ASIC007780	CQUJHB004226
OG0001842	ASIC004930	CQUJHB003224
OG0001843	ASIC007727	CQUJHB001883
OG0001844	ASIC013647	CQUJHB017539
OG0001845	ASIC020613	CQUJHB002279
OG0001846	ASIC012702, ASIC012705	CQUJHB010678
OG0001847	ASIC006989, ASIC014124	CQUJHB010987
OG0001848	ASIC005374	CQUJHB015143
OG0001849	ASIC019284	CQUJHB005774
OG0001850	ASIC015008	CQUJHB015673
OG0001851	ASIC013242	CQUJHB004201
OG0001852	ASIC015215	CQUJHB014663
OG0001853	ASIC014486	CQUJHB009903
OG0001854	ASIC018344	CQUJHB010799
OG0001855	ASIC019590	CQUJHB002102
OG0001856	ASIC013509, ASIC013513	CQUJHB016160
OG0001857	ASIC002314	CQUJHB018237
OG0001858	ASIC019799	CQUJHB011662
OG0001859	ASIC004396	CQUJHB010404
OG0001860	ASIC002154	CQUJHB017652
OG0001861	ASIC010187, ASIC010189, ASIC010188	CQUJHB018021
OG0001862	ASIC021592	CQUJHB011807
OG0001863	ASIC009132, ASIC010402	CQUJHB006953
OG0001864	ASIC003186	CQUJHB006273
OG0001865	ASIC000588	CQUJHB016972
OG0001866	ASIC008731	CQUJHB008116
OG0001867	ASIC002720	CQUJHB013482
OG0001869	ASIC012024	CQUJHB005793
OG0001870	ASIC021697, ASIC021696	CQUJHB010502
OG0001871	ASIC012345, ASIC012346	CQUJHB002846
OG0001872	ASIC021037	CQUJHB014005
OG0001873	ASIC021542	CQUJHB017060
OG0001874	ASIC009436	CQUJHB003814
OG0001875	ASIC012424	CQUJHB003769
OG0001876	ASIC007967	CQUJHB016428
OG0001877	ASIC002040	CQUJHB007854
OG0001878	ASIC006957, ASIC006955, ASIC006954	CQUJHB012769
OG0001879	ASIC011920, ASIC011921	CQUJHB015487
OG0001881	ASIC021170	CQUJHB006399
OG0001883	ASIC002883	CQUJHB013762
OG0001884	ASIC020748	CQUJHB010453
OG0001885	ASIC013229	CQUJHB007303
OG0001886	ASIC003977, ASIC003976, ASIC003975	CQUJHB007991
OG0001887	ASIC006252	CQUJHB010974
OG0001889	ASIC009561	CQUJHB000173
OG0001890	ASIC005099	CQUJHB018269
OG0001891	ASIC017267	CQUJHB010310
OG0001892	ASIC010892	CQUJHB000339
OG0001893	ASIC014801	CQUJHB008767
OG0001894	ASIC005224	CQUJHB005240
OG0001895	ASIC007847	CQUJHB005279
OG0001896	ASIC014534	CQUJHB014927
OG0001897	ASIC006362, ASIC006363	CQUJHB000796
OG0001898	ASIC010238	CQUJHB008962
OG0001899	ASIC010611	CQUJHB016916
OG0001900	ASIC022017	CQUJHB013396, CQUJHB005339, CQUJHB003181, CQUJHB017610, CQUJHB002673
OG0001901	ASIC004873	CQUJHB001292, CQUJHB007141
OG0001902	ASIC014059	CQUJHB003665, CQUJHB015274
OG0001905	ASIC007571	CQUJHB015251
OG0001906	ASIC003552	CQUJHB012925
OG0001907	ASIC004244, ASIC004243	CQUJHB014583
OG0001908	ASIC021541	CQUJHB003954
OG0001909	ASIC006929	CQUJHB010206, CQUJHB007957, CQUJHB008854
OG0001910	ASIC015878, ASIC015879	CQUJHB011929
OG0001912	ASIC018298, ASIC018297	CQUJHB012127
OG0001913	ASIC005208, ASIC005230	CQUJHB010947
OG0001914	ASIC016511, ASIC016522	CQUJHB014627
OG0001915	ASIC013236	CQUJHB003422
OG0001916	ASIC012531	CQUJHB017477
OG0001917	ASIC004591	CQUJHB016388
OG0001918	ASIC016928	CQUJHB011861
OG0001919	ASIC012967	CQUJHB013909
OG0001920	ASIC008312	CQUJHB016365
OG0001921	ASIC009225	CQUJHB010226, CQUJHB020401, CQUJHB020267, CQUJHB001248
OG0001922	ASIC016607, ASIC016606	CQUJHB001701
OG0001923	ASIC005465, ASIC018679	CQUJHB011173
OG0001924	ASIC009961, ASIC009962, ASIC009960	CQUJHB008851
OG0001925	ASIC017116	CQUJHB008947
OG0001926	ASIC007667	CQUJHB005904
OG0001928	ASIC010994, ASIC010995	CQUJHB017584
OG0001929	ASIC017135	CQUJHB009052
OG0001930	ASIC018934	CQUJHB000488
OG0001931	ASIC017142	CQUJHB001579
OG0001933	ASIC010074	CQUJHB009853
OG0001934	ASIC003097	CQUJHB008345, CQUJHB014551
OG0001937	ASIC019720	CQUJHB005452
OG0001938	ASIC019487	CQUJHB013689
OG0001939	ASIC011519	CQUJHB015433
OG0001940	ASIC020414	CQUJHB003955
OG0001941	ASIC004459	CQUJHB017019
OG0001942	ASIC012314	CQUJHB002444
OG0001944	ASIC018346	CQUJHB012856
OG0001945	ASIC017118, ASIC017115, ASIC017119	CQUJHB015802
OG0001946	ASIC004412	CQUJHB004460
OG0001947	ASIC007435	CQUJHB017725
OG0001948	ASIC020352, ASIC020351	CQUJHB012140
OG0001949	ASIC007223	CQUJHB007700
OG0001950	ASIC018763	CQUJHB007473
OG0001951	ASIC006483	CQUJHB017052
OG0001952	ASIC016664, ASIC016674	CQUJHB014332
OG0001953	ASIC018764	CQUJHB009317
OG0001954	ASIC021195, ASIC021185	CQUJHB006751
OG0001955	ASIC017365, ASIC017366	CQUJHB014791
OG0001956	ASIC006304	CQUJHB015498
OG0001957	ASIC012991	CQUJHB008729, CQUJHB007723
OG0001958	ASIC015940	CQUJHB015953
OG0001959	ASIC002843	CQUJHB009277
OG0001960	ASIC004698	CQUJHB018138
OG0001961	ASIC007253	CQUJHB014631
OG0001962	ASIC013443	CQUJHB016651
OG0001963	ASIC012780	CQUJHB011444
OG0001964	ASIC002077	CQUJHB018337
OG0001965	ASIC018334	CQUJHB013662
OG0001968	ASIC011281	CQUJHB002848
OG0001969	ASIC019240	CQUJHB009273
OG0001970	ASIC020957	CQUJHB014942, CQUJHB003598, CQUJHB006771
OG0001971	ASIC020075	CQUJHB009557
OG0001972	ASIC014975	CQUJHB009191, CQUJHB017842
OG0001973	ASIC014644, ASIC014647, ASIC014646	CQUJHB003163
OG0001974	ASIC006809, ASIC006810, ASIC006808	CQUJHB003100
OG0001975	ASIC016307	CQUJHB017537, CQUJHB000395
OG0001976	ASIC002837	CQUJHB002571
OG0001977	ASIC007593, ASIC007592	CQUJHB018154
OG0001978	ASIC013183	CQUJHB012118
OG0001979	ASIC021432	CQUJHB016558
OG0001979	ASIC021431	CQUJHB002147
OG0001980	ASIC007105	CQUJHB016028
OG0001981	ASIC004738, ASIC005416, ASIC005417	CQUJHB002973
OG0001982	ASIC009559	CQUJHB010272, CQUJHB001693, CQUJHB010161
OG0001983	ASIC000726	CQUJHB007443
OG0001988	ASIC009309	CQUJHB001325
OG0001991	ASIC015307	CQUJHB008591, CQUJHB015134, CQUJHB016889, CQUJHB007471, CQUJHB009367
OG0001998	ASIC018519, ASIC007113	CQUJHB006595
OG0002000	ASIC017876	CQUJHB006851
OG0002010	ASIC009445	CQUJHB004416
OG0002011	ASIC003541	CQUJHB009027
OG0002011	ASIC003529	CQUJHB008730
OG0002018	ASIC005818, ASIC005816, ASIC005815, ASIC005819	CQUJHB020255, CQUJHB020336, CQUJHB020301
OG0002027	ASIC003238	CQUJHB015303
OG0002028	ASIC004635	CQUJHB000015
OG0002029	ASIC004624	CQUJHB000454, CQUJHB003417
OG0002030	ASIC003349, ASIC003350	CQUJHB007781
OG0002031	ASIC018682	CQUJHB015561, CQUJHB016004
OG0002032	ASIC002958	CQUJHB007591, CQUJHB017901
OG0002033	ASIC011378, ASIC011377	CQUJHB000201
OG0002034	ASIC012000	CQUJHB002364
OG0002035	ASIC021027	CQUJHB012676
OG0002036	ASIC000810	CQUJHB008731
OG0002037	ASIC011301	CQUJHB020324, CQUJHB020378
OG0002038	ASIC021827	CQUJHB001224
OG0002039	ASIC002947	CQUJHB010689
OG0002041	ASIC005413	CQUJHB010072
OG0002043	ASIC016092	CQUJHB013302
OG0002044	ASIC020314	CQUJHB016863
OG0002045	ASIC003997	CQUJHB011243
OG0002046	ASIC022294	CQUJHB018449, CQUJHB016117
OG0002047	ASIC015164	CQUJHB002076
OG0002048	ASIC019373	CQUJHB001769
OG0002049	ASIC022323	CQUJHB005527, CQUJHB007692
OG0002050	ASIC019555	CQUJHB014964
OG0002051	ASIC021402	CQUJHB005235, CQUJHB010587, CQUJHB000316
OG0002052	ASIC019453	CQUJHB007752
OG0002053	ASIC019558	CQUJHB001207
OG0002054	ASIC017988	CQUJHB014552
OG0002056	ASIC014046	CQUJHB002626
OG0002057	ASIC001072	CQUJHB012693
OG0002058	ASIC021480	CQUJHB004327
OG0002059	ASIC020254	CQUJHB003851
OG0002060	ASIC001073, ASIC001075	CQUJHB018185
OG0002061	ASIC021479	CQUJHB009512
OG0002062	ASIC008087	CQUJHB012677
OG0002063	ASIC021534, ASIC021535	CQUJHB004868
OG0002064	ASIC005023	CQUJHB017762
OG0002065	ASIC007917	CQUJHB001303
OG0002066	ASIC022139, ASIC007889	CQUJHB015590
OG0002067	ASIC008733	CQUJHB014615
OG0002068	ASIC008782, ASIC008781	CQUJHB001906
OG0002069	ASIC022124	CQUJHB017104
OG0002070	ASIC013018	CQUJHB009199
OG0002071	ASIC018214	CQUJHB001370
OG0002072	ASIC021729	CQUJHB008226
OG0002073	ASIC021275	CQUJHB009920
OG0002074	ASIC021271	CQUJHB008271
OG0002075	ASIC021274	CQUJHB015158
OG0002076	ASIC021272	CQUJHB013464
OG0002077	ASIC018161	CQUJHB015918
OG0002078	ASIC021866	CQUJHB011705
OG0002079	ASIC021930	CQUJHB001903
OG0002080	ASIC021867	CQUJHB013277
OG0002081	ASIC018312	CQUJHB009731
OG0002082	ASIC015286	CQUJHB003397
OG0002083	ASIC018021	CQUJHB013356
OG0002084	ASIC005781	CQUJHB013949
OG0002085	ASIC018454	CQUJHB017489
OG0002086	ASIC018129	CQUJHB010646
OG0002087	ASIC017914	CQUJHB006590
OG0002088	ASIC006000	CQUJHB010181
OG0002090	ASIC017867	CQUJHB003030
OG0002091	ASIC018456, ASIC018455	CQUJHB013258
OG0002092	ASIC018125	CQUJHB017744
OG0002093	ASIC017181	CQUJHB009534
OG0002094	ASIC017936	CQUJHB007383
OG0002095	ASIC007719	CQUJHB005853
OG0002096	ASIC016402	CQUJHB005530
OG0002097	ASIC016405	CQUJHB017962, CQUJHB012489, CQUJHB011659
OG0002098	ASIC004650	CQUJHB013710
OG0002099	ASIC001246	CQUJHB000391
OG0002100	ASIC005556	CQUJHB014387
OG0002101	ASIC013962	CQUJHB012215
OG0002102	ASIC014056	CQUJHB004208
OG0002104	ASIC022330	CQUJHB017798
OG0002105	ASIC014546	CQUJHB011479
OG0002106	ASIC006877	CQUJHB015190
OG0002107	ASIC006879	CQUJHB015721
OG0002108	ASIC008629	CQUJHB017811
OG0002109	ASIC001854, ASIC001856	CQUJHB003037
OG0002110	ASIC016203	CQUJHB006433
OG0002111	ASIC022024	CQUJHB001706
OG0002112	ASIC009627	CQUJHB012500
OG0002113	ASIC005908	CQUJHB011651, CQUJHB014730
OG0002114	ASIC002871	CQUJHB010172, CQUJHB010508
OG0002115	ASIC016066	CQUJHB001590
OG0002116	ASIC002426	CQUJHB000110
OG0002117	ASIC002449	CQUJHB002257, CQUJHB017164
OG0002118	ASIC014936	CQUJHB003964, CQUJHB008253
OG0002119	ASIC021143	CQUJHB014981
OG0002120	ASIC005250	CQUJHB014175
OG0002122	ASIC010254, ASIC013901	CQUJHB003340
OG0002123	ASIC007755	CQUJHB013223
OG0002124	ASIC000961	CQUJHB012406, CQUJHB007350
OG0002125	ASIC015819	CQUJHB011922
OG0002126	ASIC000959	CQUJHB014744, CQUJHB000820
OG0002127	ASIC014918	CQUJHB014050, CQUJHB015643
OG0002128	ASIC019705, ASIC019707	CQUJHB009908
OG0002129	ASIC019737	CQUJHB012894, CQUJHB016886
OG0002130	ASIC019714	CQUJHB009924
OG0002131	ASIC019715	CQUJHB001427
OG0002132	ASIC019713	CQUJHB014710
OG0002133	ASIC019760, ASIC019759	CQUJHB006683
OG0002134	ASIC007671	CQUJHB012801
OG0002135	ASIC010759	CQUJHB002700
OG0002136	ASIC010608	CQUJHB011012
OG0002137	ASIC014649	CQUJHB008468
OG0002138	ASIC012823	CQUJHB008948
OG0002139	ASIC013576	CQUJHB001861
OG0002140	ASIC016191	CQUJHB003839
OG0002141	ASIC015744	CQUJHB011348
OG0002142	ASIC010760, ASIC010761	CQUJHB004693
OG0002143	ASIC019340, ASIC002840	CQUJHB018228
OG0002144	ASIC010953	CQUJHB006170
OG0002145	ASIC020567	CQUJHB002789
OG0002146	ASIC010207	CQUJHB011719
OG0002150	ASIC010178	CQUJHB011406
OG0002151	ASIC010199	CQUJHB009644, CQUJHB007757
OG0002152	ASIC010176	CQUJHB014510
OG0002153	ASIC006529	CQUJHB003031
OG0002154	ASIC003166	CQUJHB002808
OG0002156	ASIC013182	CQUJHB012918
OG0002157	ASIC013249, ASIC011665	CQUJHB000632
OG0002158	ASIC016147	CQUJHB003434
OG0002159	ASIC016158	CQUJHB016275
OG0002160	ASIC005907	CQUJHB015104
OG0002161	ASIC006503, ASIC006502	CQUJHB001120
OG0002162	ASIC005909	CQUJHB002048
OG0002163	ASIC013595	CQUJHB004123
OG0002164	ASIC006489	CQUJHB003090
OG0002165	ASIC014180	CQUJHB005631
OG0002166	ASIC016190	CQUJHB015094
OG0002167	ASIC017363	CQUJHB009230
OG0002168	ASIC014172, ASIC014173	CQUJHB009807
OG0002169	ASIC014175, ASIC014177	CQUJHB008100
OG0002170	ASIC017385	CQUJHB015311
OG0002171	ASIC014537	CQUJHB017228
OG0002172	ASIC017374	CQUJHB013281
OG0002173	ASIC015855, ASIC015859	CQUJHB000228
OG0002174	ASIC015765	CQUJHB003725
OG0002175	ASIC015862	CQUJHB008401
OG0002176	ASIC015758	CQUJHB012513
OG0002177	ASIC010305	CQUJHB012766
OG0002178	ASIC010323	CQUJHB001425
OG0002179	ASIC006967	CQUJHB001471
OG0002180	ASIC006946	CQUJHB003808
OG0002181	ASIC006978	CQUJHB017639, CQUJHB016180
OG0002182	ASIC006962	CQUJHB006550
OG0002183	ASIC006984	CQUJHB012486
OG0002184	ASIC011348, ASIC011347	CQUJHB008635
OG0002185	ASIC019987	CQUJHB016880
OG0002186	ASIC009871	CQUJHB004159
OG0002187	ASIC005548	CQUJHB017101
OG0002188	ASIC005547	CQUJHB016517
OG0002189	ASIC017009	CQUJHB016647
OG0002190	ASIC012115	CQUJHB002487
OG0002191	ASIC006119, ASIC004492	CQUJHB018069
OG0002192	ASIC006854	CQUJHB005712
OG0002193	ASIC006085	CQUJHB007235
OG0002194	ASIC010661	CQUJHB013506
OG0002195	ASIC006826, ASIC015187	CQUJHB010450
OG0002196	ASIC010660, ASIC009424	CQUJHB010713
OG0002197	ASIC017994	CQUJHB000244
OG0002198	ASIC020897, ASIC020896	CQUJHB006518
OG0002199	ASIC000166	CQUJHB009360
OG0002200	ASIC016662	CQUJHB005566
OG0002201	ASIC011783	CQUJHB005134
OG0002202	ASIC011776	CQUJHB004704
OG0002203	ASIC011768	CQUJHB012321, CQUJHB015547
OG0002204	ASIC020338	CQUJHB005442, CQUJHB009865
OG0002205	ASIC016661	CQUJHB007144
OG0002206	ASIC011778	CQUJHB011470
OG0002207	ASIC017189	CQUJHB004389
OG0002208	ASIC005717, ASIC005716	CQUJHB015490
OG0002209	ASIC010450	CQUJHB006118
OG0002210	ASIC010672	CQUJHB000032
OG0002211	ASIC018457	CQUJHB005012, CQUJHB008285
OG0002212	ASIC012834	CQUJHB006368
OG0002213	ASIC014686	CQUJHB013538
OG0002214	ASIC002967	CQUJHB000717
OG0002215	ASIC005356	CQUJHB005950
OG0002216	ASIC012340	CQUJHB009349
OG0002217	ASIC007862	CQUJHB009119
OG0002218	ASIC007958	CQUJHB015348
OG0002219	ASIC005214	CQUJHB006148
OG0002220	ASIC003502	CQUJHB003376
OG0002221	ASIC004404	CQUJHB016640
OG0002222	ASIC013406	CQUJHB010238
OG0002223	ASIC009321	CQUJHB008688
OG0002224	ASIC005338	CQUJHB008876
OG0002225	ASIC018378	CQUJHB005632
OG0002226	ASIC017768	CQUJHB007377
OG0002227	ASIC020108	CQUJHB007253
OG0002228	ASIC009316	CQUJHB010088
OG0002229	ASIC018388	CQUJHB005588
OG0002230	ASIC006570	CQUJHB014027
OG0002232	ASIC012482	CQUJHB016597
OG0002233	ASIC003803	CQUJHB016148
OG0002234	ASIC018832	CQUJHB009841
OG0002235	ASIC020246	CQUJHB010122
OG0002236	ASIC021864	CQUJHB007151
OG0002237	ASIC011984	CQUJHB014136
OG0002238	ASIC004264	CQUJHB014723
OG0002239	ASIC008778	CQUJHB003596
OG0002240	ASIC009868	CQUJHB000437
OG0002241	ASIC013989	CQUJHB004604
OG0002242	ASIC012644	CQUJHB014480
OG0002243	ASIC002170	CQUJHB016589, CQUJHB000383
OG0002244	ASIC006254	CQUJHB005805
OG0002245	ASIC012060	CQUJHB016908
OG0002246	ASIC006255	CQUJHB010050
OG0002247	ASIC012488	CQUJHB004418, CQUJHB009622
OG0002248	ASIC015312	CQUJHB016195
OG0002249	ASIC017046	CQUJHB009438
OG0002250	ASIC020015, ASIC020014	CQUJHB001918
OG0002251	ASIC020017	CQUJHB014276
OG0002252	ASIC020013	CQUJHB009674
OG0002253	ASIC020516	CQUJHB004508
OG0002254	ASIC008970, ASIC008969	CQUJHB004592
OG0002255	ASIC002560	CQUJHB010680
OG0002256	ASIC008976	CQUJHB008335
OG0002257	ASIC021687	CQUJHB013146
OG0002258	ASIC014718	CQUJHB003065
OG0002259	ASIC020458	CQUJHB004536
OG0002260	ASIC007614	CQUJHB003014, CQUJHB015254
OG0002261	ASIC018422	CQUJHB010012
OG0002262	ASIC010469	CQUJHB003690
OG0002263	ASIC010460	CQUJHB003385
OG0002264	ASIC018427	CQUJHB006913
OG0002265	ASIC011784	CQUJHB007912
OG0002266	ASIC017061	CQUJHB000401
OG0002267	ASIC019662	CQUJHB011217
OG0002268	ASIC005984	CQUJHB006856
OG0002269	ASIC005983	CQUJHB011397
OG0002270	ASIC005100	CQUJHB014938
OG0002271	ASIC005986	CQUJHB010861
OG0002272	ASIC005985	CQUJHB005130
OG0002273	ASIC018296	CQUJHB005373
OG0002275	ASIC011148	CQUJHB000691
OG0002276	ASIC007520	CQUJHB003103
OG0002277	ASIC002572	CQUJHB005431
OG0002278	ASIC002724	CQUJHB002987
OG0002279	ASIC002571	CQUJHB009582
OG0002280	ASIC006169	CQUJHB016835
OG0002281	ASIC013797	CQUJHB000127
OG0002282	ASIC010435	CQUJHB011642
OG0002283	ASIC012038	CQUJHB002344
OG0002284	ASIC010442, ASIC010444	CQUJHB001446
OG0002285	ASIC017303	CQUJHB002955, CQUJHB008269
OG0002286	ASIC006645	CQUJHB007418
OG0002287	ASIC006647	CQUJHB010863
OG0002288	ASIC006646	CQUJHB004334
OG0002289	ASIC018649, ASIC018645	CQUJHB016882
OG0002290	ASIC009573, ASIC010433	CQUJHB007502
OG0002291	ASIC008587	CQUJHB013153
OG0002292	ASIC007907	CQUJHB001130
OG0002293	ASIC011292	CQUJHB003490
OG0002294	ASIC014393	CQUJHB003662
OG0002295	ASIC014391	CQUJHB000982
OG0002296	ASIC014370	CQUJHB000898
OG0002297	ASIC009676	CQUJHB020344
OG0002298	ASIC008215	CQUJHB006545
OG0002299	ASIC008306	CQUJHB009293
OG0002300	ASIC008212	CQUJHB013387
OG0002301	ASIC008296	CQUJHB018039
OG0002302	ASIC003284	CQUJHB004570
OG0002304	ASIC018180	CQUJHB010742
OG0002305	ASIC005594	CQUJHB004635
OG0002306	ASIC018042	CQUJHB013760
OG0002307	ASIC018053	CQUJHB005630
OG0002308	ASIC019701	CQUJHB011917
OG0002309	ASIC003770	CQUJHB004445
OG0002310	ASIC011269	CQUJHB009311
OG0002311	ASIC012554, ASIC012555	CQUJHB006845
OG0002312	ASIC010993	CQUJHB004384
OG0002313	ASIC017979	CQUJHB015733
OG0002314	ASIC010674	CQUJHB012634
OG0002315	ASIC019351	CQUJHB009401
OG0002316	ASIC019352	CQUJHB003740
OG0002317	ASIC010685	CQUJHB011893, CQUJHB013333
OG0002318	ASIC017653	CQUJHB003199
OG0002319	ASIC010684	CQUJHB002990
OG0002320	ASIC010687	CQUJHB014318, CQUJHB016145, CQUJHB005410
OG0002322	ASIC010914	CQUJHB005601
OG0002325	ASIC013807	CQUJHB010565
OG0002326	ASIC012179	CQUJHB013806
OG0002327	ASIC020775	CQUJHB010813
OG0002328	ASIC014614	CQUJHB009440
OG0002329	ASIC012174	CQUJHB008476
OG0002330	ASIC019643, ASIC019654	CQUJHB009297
OG0002331	ASIC020931	CQUJHB000409
OG0002332	ASIC010499	CQUJHB009608
OG0002333	ASIC020932	CQUJHB014213
OG0002334	ASIC020940	CQUJHB009980
OG0002335	ASIC020933	CQUJHB012103
OG0002336	ASIC020937, ASIC020936	CQUJHB007046
OG0002337	ASIC010283	CQUJHB016521
OG0002338	ASIC009556	CQUJHB016912
OG0002339	ASIC015352	CQUJHB000264, CQUJHB002185
OG0002340	ASIC013306	CQUJHB015241
OG0002341	ASIC013312	CQUJHB017309
OG0002342	ASIC009779	CQUJHB000893
OG0002343	ASIC021224	CQUJHB003320
OG0002343	ASIC021223	CQUJHB010668
OG0002344	ASIC012532	CQUJHB010557
OG0002345	ASIC018261, ASIC018262	CQUJHB003096
OG0002347	ASIC018191	CQUJHB014113
OG0002348	ASIC004325	CQUJHB006469
OG0002349	ASIC021519, ASIC021518	CQUJHB011400
OG0002350	ASIC011104	CQUJHB015440
OG0002351	ASIC009921	CQUJHB004563
OG0002352	ASIC007654	CQUJHB010594
OG0002353	ASIC009591, ASIC015326	CQUJHB006051
OG0002354	ASIC003973	CQUJHB010462, CQUJHB008752, CQUJHB007099
OG0002355	ASIC004931	CQUJHB005547
OG0002356	ASIC021496	CQUJHB018068
OG0002357	ASIC010108	CQUJHB013014, CQUJHB004041
OG0002359	ASIC021495	CQUJHB014974
OG0002360	ASIC018824	CQUJHB011367
OG0002361	ASIC012405	CQUJHB004650
OG0002362	ASIC013622	CQUJHB014684
OG0002363	ASIC017364	CQUJHB006766
OG0002364	ASIC006141	CQUJHB004756
OG0002365	ASIC013631	CQUJHB012487
OG0002366	ASIC006517	CQUJHB009929
OG0002367	ASIC011485	CQUJHB016718, CQUJHB012929
OG0002368	ASIC008520, ASIC008531	CQUJHB012789
OG0002369	ASIC009313	CQUJHB007800
OG0002370	ASIC002175	CQUJHB009564
OG0002371	ASIC017836	CQUJHB012855
OG0002372	ASIC008412	CQUJHB016742
OG0002373	ASIC005978	CQUJHB000794
OG0002374	ASIC012855	CQUJHB016411
OG0002375	ASIC004772	CQUJHB009769
OG0002376	ASIC017921	CQUJHB007982
OG0002377	ASIC004763	CQUJHB003022
OG0002378	ASIC004771	CQUJHB006638
OG0002379	ASIC004754	CQUJHB017208
OG0002381	ASIC004774	CQUJHB009411
OG0002382	ASIC011305	CQUJHB012201
OG0002383	ASIC000807	CQUJHB010836
OG0002384	ASIC004856	CQUJHB014687
OG0002385	ASIC015007	CQUJHB012067
OG0002386	ASIC007365	CQUJHB004362
OG0002387	ASIC007364	CQUJHB015201
OG0002388	ASIC014123	CQUJHB012524
OG0002389	ASIC006890	CQUJHB010100
OG0002390	ASIC020170	CQUJHB017513
OG0002391	ASIC020823	CQUJHB001336
OG0002392	ASIC020168	CQUJHB005239
OG0002393	ASIC019906	CQUJHB010590
OG0002395	ASIC009156, ASIC004465	CQUJHB016537
OG0002396	ASIC016864	CQUJHB001013
OG0002397	ASIC010992	CQUJHB013685
OG0002398	ASIC013987	CQUJHB006627
OG0002399	ASIC016875	CQUJHB000834
OG0002401	ASIC009075	CQUJHB017267
OG0002402	ASIC006470	CQUJHB015436
OG0002403	ASIC009086	CQUJHB003337
OG0002404	ASIC006598	CQUJHB010074
OG0002405	ASIC014541	CQUJHB007031
OG0002406	ASIC010155	CQUJHB018093
OG0002407	ASIC010140, ASIC010142	CQUJHB016791
OG0002408	ASIC010157	CQUJHB000279
OG0002409	ASIC015515	CQUJHB001593
OG0002410	ASIC015582	CQUJHB013798
OG0002411	ASIC015504	CQUJHB011085
OG0002412	ASIC015548	CQUJHB012360
OG0002414	ASIC017442	CQUJHB002452
OG0002415	ASIC021870	CQUJHB015531
OG0002416	ASIC000414, ASIC013785	CQUJHB001206
OG0002417	ASIC002709	CQUJHB005610
OG0002418	ASIC003259	CQUJHB006127
OG0002419	ASIC020540	CQUJHB015871
OG0002420	ASIC012868	CQUJHB015617, CQUJHB017009
OG0002421	ASIC020906	CQUJHB016995
OG0002422	ASIC005299	CQUJHB017800
OG0002423	ASIC002626	CQUJHB012261
OG0002424	ASIC005304	CQUJHB013532
OG0002425	ASIC012615, ASIC012614	CQUJHB007575
OG0002426	ASIC002624	CQUJHB015489
OG0002427	ASIC005574	CQUJHB012702
OG0002428	ASIC020903	CQUJHB006392, CQUJHB003056
OG0002429	ASIC013876	CQUJHB010909
OG0002430	ASIC019093	CQUJHB012663, CQUJHB006534
OG0002431	ASIC005571	CQUJHB018145
OG0002432	ASIC015755	CQUJHB002271
OG0002433	ASIC004804	CQUJHB008079
OG0002434	ASIC004806	CQUJHB006991
OG0002435	ASIC005577	CQUJHB007429
OG0002436	ASIC004808	CQUJHB018128
OG0002437	ASIC019645	CQUJHB015695
OG0002438	ASIC002437	CQUJHB008564, CQUJHB008781
OG0002439	ASIC003107	CQUJHB003907
OG0002440	ASIC003106	CQUJHB011136
OG0002441	ASIC001377, ASIC016620	CQUJHB011205
OG0002442	ASIC010122	CQUJHB000964
OG0002443	ASIC014965	CQUJHB003308
OG0002444	ASIC014972	CQUJHB013675
OG0002445	ASIC014967	CQUJHB005823
OG0002446	ASIC002499	CQUJHB014878
OG0002447	ASIC021092	CQUJHB011832
OG0002448	ASIC020557	CQUJHB013948
OG0002449	ASIC012776	CQUJHB005751
OG0002450	ASIC020968	CQUJHB010116
OG0002451	ASIC020876	CQUJHB013600
OG0002452	ASIC020915	CQUJHB017719
OG0002453	ASIC007625	CQUJHB013401
OG0002454	ASIC006819	CQUJHB013158
OG0002455	ASIC008558	CQUJHB008588
OG0002456	ASIC013663	CQUJHB003838
OG0002457	ASIC007893	CQUJHB002815
OG0002458	ASIC007894	CQUJHB000792
OG0002459	ASIC007896	CQUJHB002715
