Orthogroup	AsinensisChina	AdirusWRAIR2
OG0002187	ASIC005548	ADIR015585
OG0002188	ASIC005547	ADIR015586
OG0002189	ASIC017009	ADIR004127
OG0002190	ASIC012115	ADIR000629
OG0002191	ASIC006119, ASIC004492	ADIR006344
OG0002192	ASIC006854	ADIR000627, ADIR000628
OG0002193	ASIC006085	ADIR011446
OG0002194	ASIC010661	ADIR007670
OG0002195	ASIC006826, ASIC015187	ADIR007515
OG0002196	ASIC010660, ASIC009424	ADIR007671
OG0002197	ASIC017994	ADIR000546
OG0002198	ASIC020896	ADIR005225
OG0002199	ASIC000166	ADIR005274
OG0002200	ASIC016662	ADIR008017
OG0002201	ASIC011783	ADIR003744
OG0002202	ASIC011776	ADIR003740
OG0002203	ASIC011768	ADIR004226
OG0002204	ASIC020338	ADIR001051
OG0002205	ASIC016661	ADIR008018
OG0002206	ASIC011778	ADIR003741
OG0002207	ASIC017189	ADIR005159
OG0002208	ASIC005717, ASIC005716	ADIR005019
OG0002209	ASIC010450	ADIR004997
OG0002210	ASIC010672	ADIR011383
OG0002211	ASIC018457	ADIR007898
OG0002212	ASIC012834	ADIR005441
OG0002213	ASIC014686	ADIR003292
OG0002214	ASIC002967	ADIR000890
OG0002215	ASIC005356	ADIR000810
OG0002216	ASIC012340	ADIR003835
OG0002217	ASIC007862	ADIR007947
OG0002218	ASIC007958	ADIR008557
OG0002219	ASIC005214	ADIR001290
OG0002220	ASIC003502	ADIR006633
OG0002221	ASIC004404	ADIR010460
OG0002222	ASIC013406	ADIR010462
OG0002223	ASIC009321	ADIR005672
OG0002224	ASIC005338	ADIR003142
OG0002226	ASIC017768	ADIR002188
OG0002227	ASIC020108	ADIR005494
OG0002229	ASIC018388	ADIR000479
OG0002230	ASIC006570	ADIR004922
OG0002232	ASIC012482	ADIR008520, ADIR003557
OG0002233	ASIC003803	ADIR007046
OG0002234	ASIC018832	ADIR007184
OG0002235	ASIC020246	ADIR005468
OG0002236	ASIC021864	ADIR010260
OG0002237	ASIC011984	ADIR004571
OG0002238	ASIC004264	ADIR002662
OG0002239	ASIC008778	ADIR002664
OG0002240	ASIC009868	ADIR002876
OG0002242	ASIC012644	ADIR005447
OG0002244	ASIC006254	ADIR002103, ADIR001379
OG0002245	ASIC012060	ADIR015492, ADIR000798
OG0002246	ASIC006255	ADIR001378
OG0002247	ASIC012488	ADIR003551
OG0002248	ASIC015312	ADIR000044
OG0002249	ASIC017046	ADIR000824
OG0002250	ASIC020015, ASIC020014	ADIR008320
OG0002251	ASIC020017	ADIR008321
OG0002252	ASIC020013	ADIR008319
OG0002253	ASIC020516	ADIR000111
OG0002254	ASIC008970, ASIC008969	ADIR002444
OG0002255	ASIC002560	ADIR002929
OG0002256	ASIC008976	ADIR015707
OG0002257	ASIC021687	ADIR010728
OG0002258	ASIC014718	ADIR003358
OG0002259	ASIC020458	ADIR001527
OG0002260	ASIC007614	ADIR004591
OG0002261	ASIC018422	ADIR007912
OG0002262	ASIC010469	ADIR007698
OG0002263	ASIC010460	ADIR007700
OG0002264	ASIC018427	ADIR005763
OG0002265	ASIC011784	ADIR003745
OG0002266	ASIC017061	ADIR001443
OG0002267	ASIC019662	ADIR003607
OG0002268	ASIC005984	ADIR000383
OG0002269	ASIC005983	ADIR000382
OG0002270	ASIC005100	ADIR009665
OG0002271	ASIC005986	ADIR000393
OG0002272	ASIC005985	ADIR000395
OG0002273	ASIC018296	ADIR002227
OG0002275	ASIC011148	ADIR008272
OG0002276	ASIC007520	ADIR003995
OG0002277	ASIC002572	ADIR002931
OG0002278	ASIC002724	ADIR002936
OG0002279	ASIC002571	ADIR002932
OG0002280	ASIC006169	ADIR016217
OG0002281	ASIC013797	ADIR010379
OG0002282	ASIC010435	ADIR004337
OG0002283	ASIC012038	ADIR011342
OG0002284	ASIC010442, ASIC010444	ADIR001698
OG0002285	ASIC017303	ADIR011189
OG0002286	ASIC006645	ADIR006253
OG0002287	ASIC006647	ADIR006255
OG0002288	ASIC006646	ADIR006254
OG0002289	ASIC018649, ASIC018645	ADIR004323
OG0002290	ASIC009573, ASIC010433	ADIR008876
OG0002291	ASIC008587	ADIR004956
OG0002292	ASIC007907	ADIR002167, ADIR002168
OG0002293	ASIC011292	ADIR009168
OG0002294	ASIC014393	ADIR011306
OG0002295	ASIC014391	ADIR011308
OG0002296	ASIC014370	ADIR011322
OG0002297	ASIC009676	ADIR000873
OG0002298	ASIC008215	ADIR003087
OG0002299	ASIC008306	ADIR002681
OG0002300	ASIC008212	ADIR003084
OG0002301	ASIC008296	ADIR002689
OG0002302	ASIC003284	ADIR010824
OG0002304	ASIC018180	ADIR002341
OG0002305	ASIC005594	ADIR005770
OG0002306	ASIC018042	ADIR001922
OG0002307	ASIC018053	ADIR001928
OG0002308	ASIC019701	ADIR007280
OG0002309	ASIC003770	ADIR007022
OG0002310	ASIC011269	ADIR009158
OG0002311	ASIC012555	ADIR010486
OG0002312	ASIC010993	ADIR007430
OG0002313	ASIC017979	ADIR002263
OG0002314	ASIC010674	ADIR011385
OG0002315	ASIC019351	ADIR002040
OG0002316	ASIC019352	ADIR002041
OG0002317	ASIC010685	ADIR007523
OG0002318	ASIC017653	ADIR010966
OG0002319	ASIC010684	ADIR011389
OG0002320	ASIC010687	ADIR011391
OG0002322	ASIC010914	ADIR008498
OG0002323	ASIC000287	ADIR007644
OG0002325	ASIC013807	ADIR003264
OG0002326	ASIC012179	ADIR004482
OG0002328	ASIC014614	ADIR004751
OG0002329	ASIC012174	ADIR004480
OG0002330	ASIC019643, ASIC019654	ADIR007335
OG0002331	ASIC020931	ADIR005376
OG0002332	ASIC010499	ADIR008288
OG0002333	ASIC020932	ADIR005375
OG0002334	ASIC020940	ADIR005368
OG0002335	ASIC020933	ADIR005374
OG0002336	ASIC020937, ASIC020936	ADIR005372
OG0002337	ASIC010283	ADIR010737
OG0002338	ASIC009556	ADIR009138
OG0002339	ASIC015352	ADIR005606
OG0002340	ASIC013306	ADIR008517
OG0002341	ASIC013312	ADIR008513
OG0002342	ASIC009779	ADIR010411
OG0002343	ASIC021223	ADIR010661
OG0002344	ASIC012532	ADIR003538
OG0002345	ASIC018261, ASIC018262	ADIR002248
OG0002347	ASIC018191	ADIR002330
OG0002348	ASIC004325	ADIR002524
OG0002349	ASIC021519, ASIC021518	ADIR002826
OG0002350	ASIC011104	ADIR005825
OG0002351	ASIC009921	ADIR015686
OG0002352	ASIC007654	ADIR011541
OG0002353	ASIC009591, ASIC015326	ADIR001143
OG0002354	ASIC003973	ADIR001178
OG0002355	ASIC004931	ADIR000506
OG0002356	ASIC021496	ADIR002837
OG0002357	ASIC010108	ADIR005568
OG0002359	ASIC021495	ADIR002838
OG0002360	ASIC018824	ADIR008746
OG0002361	ASIC012405	ADIR008855
OG0002362	ASIC013622	ADIR011000
OG0002363	ASIC017364	ADIR009699
OG0002364	ASIC006141	ADIR002965
OG0002365	ASIC013631	ADIR011004
OG0002366	ASIC006517	ADIR004707
OG0002367	ASIC011485	ADIR010085
OG0002368	ASIC008520, ASIC008531	ADIR011364
OG0002369	ASIC009313	ADIR005696
OG0002370	ASIC002175	ADIR005709
OG0002371	ASIC017836	ADIR000446
OG0002372	ASIC008412	ADIR010650
OG0002373	ASIC005978	ADIR000378
OG0002374	ASIC012855	ADIR009304
OG0002375	ASIC004772	ADIR001781
OG0002376	ASIC017921	ADIR000403
OG0002377	ASIC004763	ADIR001768
OG0002378	ASIC004771	ADIR001780
OG0002379	ASIC004754	ADIR001771
OG0002381	ASIC004774	ADIR001769
OG0002382	ASIC011305	ADIR009119
OG0002383	ASIC000807	ADIR006424
OG0002384	ASIC004856	ADIR010382
OG0002385	ASIC015007	ADIR003169
OG0002386	ASIC007365	ADIR015611
OG0002387	ASIC007364	ADIR006081
OG0002388	ASIC014123	ADIR006819, ADIR006818
OG0002389	ASIC006890	ADIR004846
OG0002390	ASIC020170	ADIR006730
OG0002391	ASIC020823	ADIR002851
OG0002392	ASIC020168	ADIR006728
OG0002393	ASIC019906	ADIR007608
OG0002395	ASIC009156, ASIC004465	ADIR001493
OG0002396	ASIC016864	ADIR006504
OG0002397	ASIC010992	ADIR007429
OG0002398	ASIC013987	ADIR010193
OG0002399	ASIC016875	ADIR006505
OG0002401	ASIC009075	ADIR010860
OG0002402	ASIC006470	ADIR004682
OG0002403	ASIC009086	ADIR010862
OG0002404	ASIC006598	ADIR016111
OG0002405	ASIC014541	ADIR005174
OG0002406	ASIC010155	ADIR009277
OG0002408	ASIC010157	ADIR009273
OG0002409	ASIC015515	ADIR000364
OG0002410	ASIC015582	ADIR000359
OG0002411	ASIC015504	ADIR000365
OG0002412	ASIC015548	ADIR000361
OG0002414	ASIC017442	ADIR007380
OG0002415	ASIC021870	ADIR004420
OG0002416	ASIC000414, ASIC013785	ADIR004284
OG0002417	ASIC002709	ADIR007684
OG0002418	ASIC003259	ADIR004277
OG0002419	ASIC020540	ADIR009328
OG0002420	ASIC012868	ADIR009321
OG0002421	ASIC020906	ADIR004516
OG0002422	ASIC005299	ADIR010842
OG0002423	ASIC002626	ADIR009359
OG0002424	ASIC005304	ADIR010846
OG0002425	ASIC012615, ASIC012614	ADIR006334
OG0002426	ASIC002624	ADIR009357
OG0002427	ASIC005574	ADIR005773
OG0002428	ASIC020903	ADIR004517
OG0002429	ASIC013876	ADIR005775
OG0002430	ASIC019093	ADIR003643
OG0002431	ASIC005571	ADIR009767, ADIR009766
OG0002432	ASIC015755	ADIR006218
OG0002433	ASIC004804	ADIR002129
OG0002434	ASIC004806	ADIR002128
OG0002435	ASIC005577	ADIR009763
OG0002436	ASIC004808	ADIR002127
OG0002437	ASIC019645	ADIR003596
OG0002438	ASIC002437	ADIR006000
OG0002439	ASIC003107	ADIR008750
OG0002440	ASIC003106	ADIR008749
OG0002441	ASIC001377, ASIC016620	ADIR007443
OG0002442	ASIC010122	ADIR009284
OG0002443	ASIC014965	ADIR009190
OG0002444	ASIC014972	ADIR009184
OG0002445	ASIC014967	ADIR009189
OG0002446	ASIC002499	ADIR006993
OG0002447	ASIC021092	ADIR006406
OG0002448	ASIC020557	ADIR006403
OG0002449	ASIC012776	ADIR011498
OG0002450	ASIC020968	ADIR005392
OG0002451	ASIC020876	ADIR003389
OG0002452	ASIC020915	ADIR016060
OG0002453	ASIC007625	ADIR001323
OG0002454	ASIC006819	ADIR001223
OG0002455	ASIC008558	ADIR009389
OG0002456	ASIC013663	ADIR009474
OG0002457	ASIC007893	ADIR002156
OG0002458	ASIC007894	ADIR002157
OG0002459	ASIC007896	ADIR002158
OG0002460	ASIC022233	ADIR010221
OG0002461	ASIC022222	ADIR010218
OG0002462	ASIC014024	ADIR010205
OG0002463	ASIC020320	ADIR000972
OG0002464	ASIC009948	ADIR004800
OG0002465	ASIC020587	ADIR005415
OG0002466	ASIC019349	ADIR009562
OG0002467	ASIC019430, ASIC019429	ADIR000338
OG0002468	ASIC011552	ADIR015965
OG0002469	ASIC011553	ADIR015978
OG0002470	ASIC010257, ASIC018856	ADIR009784
OG0002471	ASIC012058	ADIR011429
OG0002472	ASIC006568	ADIR004924
OG0002473	ASIC018869	ADIR004266
OG0002474	ASIC014426	ADIR011293
OG0002475	ASIC014434	ADIR011285
OG0002476	ASIC014429	ADIR011288
OG0002477	ASIC004761	ADIR001776
OG0002478	ASIC005798	ADIR005567
OG0002479	ASIC015087	ADIR005193, ADIR007494
OG0002480	ASIC017345	ADIR009692
OG0002481	ASIC006614	ADIR004893
OG0002482	ASIC007108	ADIR015841
OG0002483	ASIC010486	ADIR003441
OG0002484	ASIC020959	ADIR006591
OG0002485	ASIC021040	ADIR008445
OG0002486	ASIC020964	ADIR006588
OG0002487	ASIC020954	ADIR005363
OG0002488	ASIC009336	ADIR005662
OG0002489	ASIC022364	ADIR002057
OG0002490	ASIC022160	ADIR002060
OG0002491	ASIC015614	ADIR015715
OG0002492	ASIC015613	ADIR015716
OG0002493	ASIC015890	ADIR009731
OG0002494	ASIC015612	ADIR000354
OG0002495	ASIC000337	ADIR010654
OG0002496	ASIC007061	ADIR008474
OG0002497	ASIC021722	ADIR002578
OG0002498	ASIC008689	ADIR003438, ADIR003437
OG0002499	ASIC005073	ADIR001842
OG0002500	ASIC008998	ADIR002428
OG0002501	ASIC008994	ADIR015704
OG0002502	ASIC014962	ADIR009193
OG0002503	ASIC008990	ADIR002433
OG0002504	ASIC008988	ADIR002435
OG0002505	ASIC004554	ADIR010512
OG0002506	ASIC020872	ADIR003392
OG0002507	ASIC020875	ADIR003390
OG0002508	ASIC015242	ADIR002105
OG0002509	ASIC021499, ASIC021498	ADIR002835
OG0002510	ASIC002752, ASIC002751	ADIR010317
OG0002511	ASIC007053	ADIR008481
OG0002512	ASIC002750	ADIR010316
OG0002513	ASIC012633	ADIR002781
OG0002514	ASIC002834	ADIR010393
OG0002515	ASIC003509	ADIR006623
OG0002516	ASIC012928	ADIR008142
OG0002517	ASIC012933, ASIC012931	ADIR008144
OG0002518	ASIC012926	ADIR008140
OG0002519	ASIC020118	ADIR005485
OG0002520	ASIC000725	ADIR003022
OG0002521	ASIC017581	ADIR011136, ADIR015994
OG0002522	ASIC021263, ASIC021262	ADIR009813
OG0002523	ASIC021256	ADIR009817
OG0002524	ASIC007579	ADIR005284
OG0002525	ASIC000827	ADIR002736
OG0002526	ASIC012302, ASIC012303	ADIR001546
OG0002527	ASIC000828	ADIR002738
OG0002528	ASIC000823	ADIR002734
OG0002529	ASIC000829	ADIR002739
OG0002531	ASIC014767, ASIC014769	ADIR002021
OG0002532	ASIC014818	ADIR001996, ADIR001995
OG0002533	ASIC014798	ADIR002008
OG0002534	ASIC014806, ASIC014796	ADIR002002
OG0002535	ASIC014484	ADIR000335
OG0002536	ASIC010632	ADIR000601
OG0002537	ASIC019630	ADIR003589
OG0002538	ASIC020720	ADIR011419
OG0002539	ASIC013106	ADIR006376
OG0002540	ASIC020731	ADIR011418
OG0002541	ASIC013105	ADIR006375
OG0002542	ASIC015285	ADIR005651
OG0002543	ASIC002949	ADIR005743
OG0002544	ASIC007414	ADIR005899
OG0002545	ASIC007254	ADIR006031
OG0002546	ASIC007266	ADIR006035
OG0002547	ASIC012905	ADIR016084
OG0002548	ASIC012910	ADIR008129
OG0002549	ASIC018963	ADIR016193, ADIR016192
OG0002550	ASIC011099	ADIR005829
OG0002552	ASIC018970	ADIR007986
OG0002553	ASIC007443	ADIR005941
OG0002554	ASIC016006	ADIR016113
OG0002555	ASIC011392	ADIR010008
OG0002556	ASIC012854	ADIR009308
OG0002557	ASIC018107	ADIR001959
OG0002558	ASIC018116	ADIR001966
OG0002559	ASIC018108	ADIR001960
OG0002560	ASIC018109	ADIR001961
OG0002561	ASIC013215	ADIR002867
OG0002562	ASIC016335	ADIR008815
OG0002563	ASIC016334	ADIR008816
OG0002564	ASIC003120	ADIR004166
OG0002565	ASIC016276	ADIR004154
OG0002566	ASIC017832	ADIR000449
OG0002567	ASIC002420, ASIC002421	ADIR003302
OG0002568	ASIC017835, ASIC017834	ADIR000447
OG0002569	ASIC003357	ADIR002770
OG0002570	ASIC001786	ADIR014286
OG0002571	ASIC004359	ADIR000931
OG0002572	ASIC005173	ADIR009704
OG0002573	ASIC019271, ASIC000881	ADIR010344
OG0002574	ASIC018243	ADIR002277
OG0002575	ASIC015443	ADIR000273
OG0002576	ASIC018239	ADIR002276
OG0002577	ASIC003714	ADIR007126
OG0002578	ASIC008353, ASIC001767	ADIR009928
OG0002579	ASIC021086	ADIR006411
OG0002580	ASIC004910	ADIR010504
OG0002581	ASIC007713	ADIR004133
OG0002582	ASIC019641	ADIR003594
OG0002583	ASIC004911	ADIR010505
OG0002584	ASIC020124	ADIR008371
OG0002585	ASIC020126	ADIR008373
OG0002587	ASIC018012	ADIR000533
OG0002588	ASIC005051	ADIR001826
OG0002589	ASIC005050	ADIR001825
OG0002590	ASIC018014	ADIR000532
OG0002592	ASIC003528	ADIR005362
OG0002593	ASIC014230	ADIR010952
OG0002594	ASIC004666	ADIR005318
OG0002595	ASIC003840	ADIR006351
OG0002596	ASIC020997	ADIR010156
OG0002597	ASIC020998	ADIR010155
OG0002598	ASIC005788	ADIR005563
OG0002599	ASIC017737	ADIR015998
OG0002600	ASIC017726	ADIR015999
OG0002601	ASIC014591	ADIR004743
OG0002602	ASIC011704, ASIC011703	ADIR007469
OG0002603	ASIC006181	ADIR005531
OG0002604	ASIC006117	ADIR006342
OG0002605	ASIC006110	ADIR011463
OG0002606	ASIC006109, ASIC006108	ADIR011462
OG0002607	ASIC017188	ADIR005156
OG0002608	ASIC008014	ADIR003102
OG0002609	ASIC020088, ASIC020087	ADIR004475
OG0002610	ASIC008004	ADIR003118
OG0002611	ASIC018495	ADIR009239
OG0002612	ASIC016479	ADIR008609
OG0002613	ASIC021728, ASIC021739	ADIR004408
OG0002614	ASIC008403	ADIR004542
OG0002615	ASIC008433	ADIR004544
OG0002616	ASIC008407	ADIR004541
OG0002617	ASIC008404	ADIR004543
OG0002618	ASIC013458	ADIR004093, ADIR004092
OG0002619	ASIC013457	ADIR004090
OG0002620	ASIC013456, ASIC013454	ADIR004088
OG0002621	ASIC021047	ADIR010063, ADIR010052, ADIR008448
OG0002623	ASIC012655	ADIR005455
OG0002624	ASIC013315	ADIR008511
OG0002625	ASIC011971	ADIR004563
OG0002626	ASIC003204	ADIR010631
OG0002627	ASIC011007	ADIR008068, ADIR008069
OG0002628	ASIC011005, ASIC011004	ADIR008070
OG0002629	ASIC006101	ADIR000679
OG0002630	ASIC006121	ADIR000681
OG0002631	ASIC006602	ADIR004898
OG0002633	ASIC010828	ADIR004718
OG0002634	ASIC010829	ADIR004717
OG0002635	ASIC013940	ADIR002593
OG0002636	ASIC019086, ASIC019085	ADIR003637
OG0002637	ASIC021355	ADIR003275
OG0002638	ASIC015907	ADIR000913
OG0002639	ASIC005692, ASIC007594	ADIR001024
OG0002640	ASIC002799	ADIR009342
OG0002641	ASIC000702	ADIR009334, ADIR009335
OG0002642	ASIC002803	ADIR009338
OG0002643	ASIC002802	ADIR009339
OG0002644	ASIC007237	ADIR006025
OG0002645	ASIC007233	ADIR006021
OG0002646	ASIC007226	ADIR006015
OG0002647	ASIC007239	ADIR006024
OG0002648	ASIC007234	ADIR006022
OG0002649	ASIC019374	ADIR001738
OG0002650	ASIC009533	ADIR009454
OG0002651	ASIC017006	ADIR001003
OG0002652	ASIC008503	ADIR004353
OG0002653	ASIC008452	ADIR006662
OG0002654	ASIC011225	ADIR002556
OG0002655	ASIC009782	ADIR006378
OG0002656	ASIC008428	ADIR004527
OG0002657	ASIC006434	ADIR006155
OG0002658	ASIC010728	ADIR009720
OG0002659	ASIC010904	ADIR005787
OG0002660	ASIC000609	ADIR001425
OG0002661	ASIC007451	ADIR005924
OG0002662	ASIC015452	ADIR000269
OG0002663	ASIC022355	ADIR000008
OG0002664	ASIC017789	ADIR000469
OG0002665	ASIC007155	ADIR005692
OG0002666	ASIC007470, ASIC007471	ADIR005966
OG0002667	ASIC002855	ADIR007312
OG0002668	ASIC002858	ADIR007291
OG0002669	ASIC002857	ADIR007292
OG0002670	ASIC005664	ADIR003468
OG0002671	ASIC002862	ADIR007296
OG0002672	ASIC002861	ADIR007295
OG0002673	ASIC007106	ADIR003935
OG0002674	ASIC020385	ADIR001508
OG0002675	ASIC003912	ADIR001253
OG0002676	ASIC020231	ADIR005480
OG0002677	ASIC020104, ASIC020103	ADIR002476
OG0002678	ASIC007572	ADIR000820
OG0002679	ASIC011465	ADIR010068
OG0002680	ASIC014841, ASIC014840	ADIR006643
OG0002681	ASIC022212	ADIR002082
OG0002682	ASIC008341	ADIR003045
OG0002683	ASIC008343	ADIR003048
OG0002684	ASIC008339, ASIC008340	ADIR003044
OG0002685	ASIC008155	ADIR003059
OG0002686	ASIC015162	ADIR006882
OG0002687	ASIC007836, ASIC007838, ASIC007837	ADIR008233
OG0002688	ASIC008192	ADIR003074
OG0002689	ASIC004790	ADIR001795
OG0002691	ASIC009526	ADIR004627
OG0002692	ASIC008569, ASIC008580	ADIR009390
OG0002693	ASIC016186	ADIR004028
OG0002694	ASIC010636	ADIR000600
OG0002695	ASIC009649	ADIR000869
OG0002696	ASIC018680	ADIR016044
OG0002697	ASIC021647	ADIR010580
OG0002698	ASIC021642	ADIR010573
OG0002699	ASIC019318	ADIR000043
OG0002700	ASIC005169, ASIC005167	ADIR001465
OG0002701	ASIC012958	ADIR006894
OG0002702	ASIC020463	ADIR001314
OG0002703	ASIC012581	ADIR002942
OG0002704	ASIC012577	ADIR002941
OG0002705	ASIC014274	ADIR009040
OG0002706	ASIC002702	ADIR009004
OG0002707	ASIC008788	ADIR006684
OG0002708	ASIC003654	ADIR002053
OG0002709	ASIC009711	ADIR000817
OG0002710	ASIC014050	ADIR006574
OG0002712	ASIC015787	ADIR006221
OG0002713	ASIC012200	ADIR003849
OG0002714	ASIC021175	ADIR007918
OG0002715	ASIC021173	ADIR008742
OG0002715	ASIC021171	ADIR008741
OG0002716	ASIC021174	ADIR007917
OG0002718	ASIC016797	ADIR004221
OG0002719	ASIC018140	ADIR000771, ADIR001983
OG0002720	ASIC018143, ASIC018142	ADIR002362
OG0002722	ASIC017293	ADIR011254
OG0002723	ASIC014577	ADIR005189
OG0002724	ASIC016826	ADIR007786, ADIR005690
OG0002725	ASIC009831, ASIC009832	ADIR003203
OG0002726	ASIC013430	ADIR004067
OG0002727	ASIC015128	ADIR006697
OG0002728	ASIC013884	ADIR009442
OG0002729	ASIC013919	ADIR009438
OG0002730	ASIC013888	ADIR009443
OG0002731	ASIC013918	ADIR009437
OG0002732	ASIC016541	ADIR001616
OG0002733	ASIC002371	ADIR010554
OG0002734	ASIC007018	ADIR008389
OG0002735	ASIC007011	ADIR008390
OG0002736	ASIC002628	ADIR006858
OG0002737	ASIC017629	ADIR010978
OG0002738	ASIC017619	ADIR010987
OG0002739	ASIC011276	ADIR009150
OG0002740	ASIC015561	ADIR001865
OG0002741	ASIC015555	ADIR001860
OG0002743	ASIC010972	ADIR002056
OG0002744	ASIC006215	ADIR001326
OG0002745	ASIC014048	ADIR006576
OG0002746	ASIC012530	ADIR003540
OG0002747	ASIC011725	ADIR001044
OG0002748	ASIC008810	ADIR008908
OG0002749	ASIC007786	ADIR008207
OG0002750	ASIC012557	ADIR003417, ADIR003418
OG0002751	ASIC008850	ADIR006611
OG0002752	ASIC008854	ADIR006609
OG0002753	ASIC014650	ADIR004773
OG0002754	ASIC010054	ADIR002495
OG0002755	ASIC009615	ADIR001047, ADIR006840
OG0002756	ASIC015056	ADIR006869
OG0002757	ASIC015058	ADIR006866
OG0002758	ASIC018925	ADIR006881
OG0002759	ASIC018928	ADIR006885
OG0002760	ASIC018927	ADIR006884
OG0002761	ASIC002076	ADIR007695
OG0002762	ASIC014207	ADIR010940
OG0002763	ASIC014199	ADIR010935
OG0002764	ASIC011047	ADIR008046
OG0002765	ASIC019211	ADIR001684
OG0002766	ASIC019281	ADIR001752
OG0002767	ASIC003805	ADIR007048
OG0002768	ASIC003810	ADIR007053
OG0002769	ASIC003808	ADIR007051
OG0002770	ASIC011048	ADIR016201
OG0002771	ASIC021873	ADIR004422
OG0002772	ASIC014852	ADIR006650
OG0002773	ASIC004353	ADIR009705
OG0002774	ASIC020679	ADIR004469, ADIR006749
OG0002775	ASIC013500	ADIR004113
OG0002776	ASIC008216	ADIR003088
OG0002777	ASIC008310, ASIC008311	ADIR002679
OG0002778	ASIC018145	ADIR002360
OG0002779	ASIC017803	ADIR000461
OG0002780	ASIC017775	ADIR016119, ADIR016120
OG0002781	ASIC012593	ADIR006329
OG0002782	ASIC014915	ADIR003790
OG0002783	ASIC007595	ADIR001025
OG0002784	ASIC020418	ADIR001453
OG0002785	ASIC004821	ADIR002119
OG0002786	ASIC014390	ADIR011309
OG0002787	ASIC015328	ADIR005618
OG0002788	ASIC007129	ADIR009778
OG0002789	ASIC011845	ADIR009125
OG0002790	ASIC004010, ASIC004011	ADIR005401
OG0002791	ASIC009887	ADIR003875, ADIR003877
OG0002792	ASIC004612	ADIR002639
OG0002793	ASIC003490	ADIR004576
OG0002794	ASIC005226	ADIR001035
OG0002795	ASIC004951	ADIR009662
OG0002796	ASIC018289, ASIC018290	ADIR002232
OG0002797	ASIC021588, ASIC021589	ADIR008304
OG0002798	ASIC014326	ADIR005875
OG0002799	ASIC005193	ADIR011641
OG0002799	ASIC005192	ADIR011640
OG0002800	ASIC003098	ADIR008800
OG0002801	ASIC003096	ADIR008798
OG0002802	ASIC015885	ADIR009736
OG0002803	ASIC016970	ADIR001358
OG0002805	ASIC013492	ADIR009267
OG0002806	ASIC013493	ADIR011721
OG0002807	ASIC013434	ADIR004070
OG0002808	ASIC011397	ADIR010033
OG0002809	ASIC011400	ADIR010035
OG0002810	ASIC011398	ADIR010034
OG0002811	ASIC018521	ADIR007876
OG0002812	ASIC018522	ADIR007875
OG0002813	ASIC004458	ADIR001356
OG0002814	ASIC010067	ADIR006439
OG0002815	ASIC017088, ASIC000995, ASIC005334	ADIR003145
OG0002816	ASIC010066, ASIC010065	ADIR006440
OG0002817	ASIC005530	ADIR002897
OG0002818	ASIC014105	ADIR008265
OG0002819	ASIC003034	ADIR008305
OG0002820	ASIC015095	ADIR006714
OG0002821	ASIC009979	ADIR004789
OG0002822	ASIC008261	ADIR002703
OG0002823	ASIC013702	ADIR004287
OG0002824	ASIC002485	ADIR006669
OG0002825	ASIC005535	ADIR002604
OG0002826	ASIC002574	ADIR002926
OG0002827	ASIC021410	ADIR005799
OG0002828	ASIC016867	ADIR007760
OG0002829	ASIC004075	ADIR002404
OG0002830	ASIC004076	ADIR002405
OG0002831	ASIC004061	ADIR002395
OG0002832	ASIC010374	ADIR008990
OG0002833	ASIC008169	ADIR003065
OG0002834	ASIC008172, ASIC008173	ADIR003067
OG0002835	ASIC005399	ADIR014824
OG0002836	ASIC019311	ADIR001740
OG0002837	ASIC019310	ADIR001741
OG0002838	ASIC019690	ADIR007290
OG0002839	ASIC004874	ADIR000719
OG0002840	ASIC004879, ASIC004878	ADIR000716
OG0002841	ASIC011568	ADIR010011
OG0002842	ASIC011557	ADIR010012
OG0002843	ASIC011546	ADIR010013
OG0002844	ASIC011524	ADIR010015
OG0002845	ASIC018518	ADIR009238
OG0002846	ASIC020409	ADIR006751
OG0002847	ASIC003296	ADIR008937
OG0002849	ASIC019466	ADIR002308
OG0002850	ASIC019469	ADIR002306
OG0002851	ASIC018923	ADIR006879
OG0002852	ASIC018916	ADIR007845
OG0002853	ASIC018924	ADIR006880
OG0002854	ASIC020586	ADIR005416
OG0002855	ASIC006157	ADIR002975
OG0002856	ASIC014243	ADIR009047
OG0002857	ASIC014338	ADIR009088
OG0002858	ASIC007067, ASIC001983	ADIR010688
OG0002859	ASIC007066	ADIR010689
OG0002860	ASIC014845	ADIR006647
OG0002862	ASIC006726	ADIR006115
OG0002863	ASIC018624	ADIR008673
OG0002864	ASIC003485	ADIR006549
OG0002866	ASIC020741	ADIR011397
OG0002867	ASIC015779	ADIR011330
OG0002868	ASIC005136	ADIR000986
OG0002869	ASIC005222	ADIR001352
OG0002870	ASIC015052	ADIR006872
OG0002871	ASIC015483	ADIR008610
OG0002872	ASIC006123	ADIR002953
OG0002873	ASIC017226	ADIR005125
OG0002874	ASIC013516	ADIR003974
OG0002875	ASIC019599	ADIR003564
OG0002876	ASIC011764	ADIR004229
OG0002877	ASIC020070	ADIR002100
OG0002878	ASIC014747	ADIR003402
OG0002879	ASIC006465	ADIR007540, ADIR006263
OG0002880	ASIC002239	ADIR011485
OG0002881	ASIC002244	ADIR011478
OG0002882	ASIC006154	ADIR002973
OG0002884	ASIC004634	ADIR002630
OG0002885	ASIC018336	ADIR000473
