Orthogroup	AsinensisChina	Aalbopictus_AalbF5
OG0000720	ASIC003556	LOC115263718
OG0000721	ASIC020534	LOC109398470
OG0000722	ASIC022221	LOC109411373
OG0000723	ASIC014878, ASIC011561	LOC109416240
OG0000724	ASIC013777	LOC109399449, LOC109404319
OG0000725	ASIC007620, ASIC002939, ASIC006218, ASIC005285	LOC109405632
OG0000726	ASIC020143, ASIC006866, ASIC020142	LOC109429237
OG0000727	ASIC011928, ASIC011923	LOC109621475, LOC109621486
OG0000728	ASIC004841, ASIC020452	LOC109410133
OG0000729	ASIC010226, ASIC012775	LOC115260570
OG0000730	ASIC017919	LOC109399566, LOC109399105
OG0000731	ASIC009453, ASIC011790	LOC109401917
OG0000732	ASIC012635	LOC109430359, LOC109430358
OG0000733	ASIC011002, ASIC011013	LOC115270390
OG0000734	ASIC012871	LOC115253434, LOC109422004
OG0000735	ASIC019585, ASIC003487	LOC115270450
OG0000736	ASIC003780	LOC134288725, LOC109407731
OG0000737	ASIC009472	LOC109405345
OG0000738	ASIC013483, ASIC013482	LOC109415132
OG0000739	ASIC000970, ASIC000950	LOC109398030
OG0000740	ASIC008048	LOC109405285
OG0000741	ASIC014976, ASIC014978	LOC109412774
OG0000742	ASIC005647	LOC115269291, LOC115269290, LOC109415309
OG0000743	ASIC018202	LOC109421916
OG0000743	ASIC018366	LOC109432718
OG0000744	ASIC006740	LOC109406520
OG0000744	ASIC006734	LOC134285744, LOC109405464
OG0000745	ASIC002565	LOC109430722, LOC115257484
OG0000746	ASIC020209	LOC115267638, LOC115268656
OG0000747	ASIC008334, ASIC008323	LOC134291558, LOC134292032
OG0000748	ASIC004573	LOC109427008
OG0000748	ASIC004572	LOC109400207
OG0000749	ASIC019830	LOC134284672, LOC109416871
OG0000750	ASIC017661	LOC109623155
OG0000751	ASIC006249	LOC134289711, LOC109431492
OG0000752	ASIC015937, ASIC004455	LOC109430087, LOC115256456
OG0000753	ASIC019082, ASIC006943	LOC109403630
OG0000754	ASIC019253	LOC109400239, LOC109414274
OG0000755	ASIC002943	LOC109430345
OG0000756	ASIC013275, ASIC013278, ASIC013276, ASIC013274	LOC134289725
OG0000757	ASIC015282	LOC109399842, LOC115256995, LOC109399850
OG0000760	ASIC014803	LOC109425998
OG0000761	ASIC013465, ASIC013463	LOC109414440
OG0000762	ASIC008818, ASIC008819	LOC109404958
OG0000763	ASIC003797	LOC134284619, LOC109398403
OG0000764	ASIC007332	LOC109429977
OG0000764	ASIC007326	LOC109429978
OG0000765	ASIC017219	LOC109418248
OG0000766	ASIC015273, ASIC015280	LOC109399236
OG0000767	ASIC020069	LOC109427049, LOC109623359
OG0000769	ASIC018352, ASIC018350	LOC109421901, LOC115267702
OG0000770	ASIC005253	LOC109428484, LOC109412976, LOC109428530
OG0000771	ASIC010224, ASIC010222, ASIC010213, ASIC010214	LOC109415781
OG0000772	ASIC009423	LOC109623124
OG0000773	ASIC009946, ASIC009947	LOC115254013
OG0000774	ASIC015592	LOC109427045
OG0000774	ASIC015577	LOC109426944
OG0000775	ASIC018881, ASIC018826, ASIC018859	LOC109622194
OG0000776	ASIC015996	LOC109399555
OG0000776	ASIC015997	LOC109431991
OG0000777	ASIC019231	LOC109414982
OG0000778	ASIC020101	LOC115261554, LOC115261571
OG0000779	ASIC018873, ASIC018871, ASIC018874	LOC109423124
OG0000782	ASIC021562	LOC134287861, LOC134284051, LOC134285796, LOC109403881
OG0000782	ASIC021565	LOC134285819, LOC109404088, LOC134285808, LOC134285791, LOC134287842, LOC134284063
OG0000786	ASIC005779	LOC109430291
OG0000790	ASIC000997, ASIC020447	LOC134289963
OG0000799	ASIC013358	LOC115266992, LOC109413206, LOC109425581
OG0000800	ASIC014042, ASIC014037	LOC109427250
OG0000801	ASIC008758, ASIC008769	LOC109421741
OG0000802	ASIC010833	LOC109421663
OG0000803	ASIC006627, ASIC006616	LOC109622651
OG0000806	ASIC007906	LOC109415861, LOC109409872
OG0000808	ASIC014189, ASIC014182	LOC109420215, LOC134284697
OG0000809	ASIC006983	LOC109421435
OG0000810	ASIC003966, ASIC014687	LOC109401901
OG0000811	ASIC003969	LOC109401915
OG0000812	ASIC013324	LOC109397309, LOC115260908
OG0000812	ASIC018087	LOC109399650
OG0000813	ASIC012108, ASIC012110, ASIC012109, ASIC012111	LOC109432481
OG0000814	ASIC005584	LOC109408708, LOC115270935, LOC109623118
OG0000815	ASIC020637	LOC109622218, LOC115267928, LOC109431594, LOC115268157
OG0000816	ASIC012651	LOC134289436, LOC134290611, LOC109432189
OG0000817	ASIC006311, ASIC011944	LOC109409415
OG0000818	ASIC009311	LOC109403459
OG0000820	ASIC012997	LOC134289784, LOC109431559, LOC115267921
OG0000821	ASIC005223	LOC109416561, LOC109416543
OG0000822	ASIC003247	LOC115261472, LOC109427214
OG0000823	ASIC018052	LOC109398036
OG0000824	ASIC016002	LOC109431321
OG0000825	ASIC009744	LOC109623069
OG0000825	ASIC009778	LOC109414942
OG0000827	ASIC019496	LOC109407627, LOC115256953
OG0000828	ASIC006317	LOC109402179
OG0000828	ASIC006324	LOC109397612
OG0000829	ASIC003920	LOC115254222, LOC109397206
OG0000830	ASIC011142	LOC109403994, LOC109432040, LOC109403982, LOC109432039
OG0000831	ASIC010156	LOC134287875, LOC134287869
OG0000832	ASIC009101	LOC115263972
OG0000833	ASIC018216, ASIC008915	LOC109400918, LOC109429315
OG0000834	ASIC017356	LOC109429391, LOC109402113, LOC109412105
OG0000835	ASIC020621	LOC134291987, LOC109415804
OG0000836	ASIC002676	LOC109430154, LOC109430157
OG0000837	ASIC016440	LOC109416502
OG0000838	ASIC009560, ASIC015831, ASIC008806, ASIC007665	LOC109415565
OG0000839	ASIC008421	LOC115255254, LOC109398228
OG0000840	ASIC013299, ASIC010736, ASIC017800	LOC134291248
OG0000842	ASIC006696, ASIC006697	LOC109417693
OG0000843	ASIC021030	LOC109415209, LOC109423491
OG0000844	ASIC020295	LOC115269572, LOC115254854
OG0000845	ASIC016333	LOC115265786, LOC109418023, LOC109418018
OG0000846	ASIC007965	LOC109423234
OG0000847	ASIC007549	LOC109427518
OG0000849	ASIC002768	LOC109429212
OG0000850	ASIC007559	LOC109422051
OG0000852	ASIC018361	LOC109427421, LOC115257141
OG0000854	ASIC019634, ASIC019639	LOC115269852, LOC109405120
OG0000855	ASIC010229	LOC109433016
OG0000855	ASIC010228	LOC115253665
OG0000856	ASIC019688	LOC109399245
OG0000857	ASIC003072	LOC109413324
OG0000858	ASIC001875	LOC109430353
OG0000858	ASIC001876, ASIC001414	LOC115267652
OG0000859	ASIC011203	LOC109415843, LOC109418743
OG0000860	ASIC015296	LOC109408950
OG0000861	ASIC018072	LOC109404460
OG0000862	ASIC019152, ASIC019190	LOC109420860
OG0000863	ASIC019790	LOC134287500
OG0000864	ASIC013860	LOC134287582
OG0000864	ASIC013869	LOC109421514
OG0000865	ASIC005377, ASIC005935	LOC109412170
OG0000867	ASIC011242, ASIC016184	LOC109406888
OG0000868	ASIC021136	LOC109430789
OG0000869	ASIC011670	LOC109399160
OG0000870	ASIC020396	LOC109422027
OG0000871	ASIC008493, ASIC004521	LOC115260913
OG0000871	ASIC008491, ASIC004522	LOC109409278
OG0000872	ASIC007709, ASIC003733	LOC109415590
OG0000873	ASIC019046	LOC115259327, LOC109407944
OG0000874	ASIC014135, ASIC014142	LOC115258615, LOC109414353
OG0000875	ASIC017056, ASIC015356	LOC109397203
OG0000878	ASIC016491	LOC109416487
OG0000880	ASIC011748	LOC115257986, LOC109412548, LOC109412559
OG0000881	ASIC008413	LOC109432399, LOC115269272
OG0000882	ASIC019412, ASIC019413	LOC109428958, LOC134284482
OG0000883	ASIC018442, ASIC018444	LOC109410282
OG0000884	ASIC008951, ASIC008954, ASIC008952	LOC134292001, LOC109402124
OG0000885	ASIC011979	LOC109403870
OG0000886	ASIC019854	LOC115253623
OG0000887	ASIC013297	LOC109429899
OG0000888	ASIC010717, ASIC010720	LOC109411294
OG0000889	ASIC019922, ASIC019929	LOC109424340
OG0000890	ASIC014867, ASIC008439	LOC109417328, LOC109623185
OG0000891	ASIC003576	LOC109429101
OG0000891	ASIC003521	LOC109429102
OG0000893	ASIC004679	LOC109419193
OG0000893	ASIC004690	LOC115253707
OG0000894	ASIC020550, ASIC012840	LOC109420563
OG0000895	ASIC017057, ASIC017058	LOC115254223, LOC134284748, LOC109397194
OG0000896	ASIC017732, ASIC017731	LOC115254967
OG0000897	ASIC011817	LOC109407883
OG0000900	ASIC017002, ASIC017003, ASIC017004	LOC109433641
OG0000901	ASIC017457, ASIC017451	LOC109408340
OG0000903	ASIC000500, ASIC019245	LOC109399718, LOC115265699
OG0000906	ASIC019097	LOC109426344
OG0000907	ASIC006166	LOC109412455, LOC134285459
OG0000908	ASIC020022, ASIC006147	LOC115264234
OG0000910	ASIC015064, ASIC003325	LOC109398826
OG0000911	ASIC009667	LOC109415236
OG0000913	ASIC021904	LOC109413157, LOC134284833, LOC109402651, LOC134284834, LOC134288308, LOC109413169
OG0000940	ASIC016260, ASIC016015, ASIC016018, ASIC016013, ASIC016259	LOC109420679
OG0000941	ASIC021485, ASIC021436, ASIC021487	LOC109427263
OG0000942	ASIC010363	LOC109433416, LOC115257322
OG0000943	ASIC018152, ASIC018151	LOC109420299, LOC109416793
OG0000944	ASIC008233	LOC109399785
OG0000945	ASIC002969, ASIC002968	LOC109403566
OG0000946	ASIC021493, ASIC021504	LOC109401384, LOC134287951
OG0000947	ASIC009305	LOC109431530, LOC115257508
OG0000948	ASIC000641	LOC109419064
OG0000949	ASIC013181, ASIC013167	LOC109402335
OG0000950	ASIC012104	LOC115265524
OG0000951	ASIC015194, ASIC015193	LOC115261050
OG0000952	ASIC002966	LOC109432985
OG0000953	ASIC020386	LOC109398420, LOC109409416
OG0000954	ASIC020471	LOC109398396, LOC115260031
OG0000955	ASIC013403	LOC109419793, LOC109425332, LOC109419787, LOC115259537
OG0000956	ASIC007294	LOC109401226, LOC109621887
OG0000957	ASIC003738	LOC115267122, LOC109410200
OG0000958	ASIC004476	LOC109416544
OG0000959	ASIC004659, ASIC004656	LOC109419225
OG0000960	ASIC021667, ASIC021680	LOC109419243
OG0000962	ASIC011118	LOC109430338, LOC134286626
OG0000963	ASIC008300, ASIC008299	LOC109399713
OG0000964	ASIC005083, ASIC005081	LOC109399631
OG0000965	ASIC012479	LOC115270143, LOC134285661
OG0000966	ASIC019954	LOC109422321, LOC109422323
OG0000967	ASIC009917	LOC109406478
OG0000968	ASIC020347, ASIC020346	LOC109431125
OG0000970	ASIC009351	LOC134284886, LOC134284891
OG0000972	ASIC006679	LOC109428891, LOC109397524, LOC115258581
OG0000973	ASIC020184, ASIC020186	LOC109400410, LOC134283973
OG0000974	ASIC006392	LOC109429695
OG0000975	ASIC015181	LOC109420491, LOC109402579, LOC109402586
OG0000976	ASIC016838, ASIC016839	LOC109409684
OG0000977	ASIC021684	LOC109419129
OG0000978	ASIC012758	LOC115255109
OG0000979	ASIC003185	LOC109408318
OG0000980	ASIC020979, ASIC010262, ASIC010263	LOC109431120
OG0000982	ASIC006306	LOC109422812
OG0000982	ASIC006307	LOC134285200
OG0000983	ASIC020950	LOC115257625, LOC109430290
OG0000984	ASIC016301, ASIC016306	LOC109621675
OG0000985	ASIC016678	LOC109402823, LOC115271096
OG0000986	ASIC015268	LOC109405691, LOC109399915, LOC109405647
OG0000987	ASIC007258	LOC109411688
OG0000989	ASIC012020, ASIC012021	LOC109418806
OG0000990	ASIC007221	LOC109411712
OG0000991	ASIC015520	LOC109424680
OG0000992	ASIC018564, ASIC018563	LOC109431737, LOC109424145
OG0000993	ASIC002068	LOC115261560
OG0000994	ASIC016389, ASIC016387, ASIC016386, ASIC016385, ASIC016381	LOC109413053
OG0000995	ASIC015404, ASIC009598	LOC109397902
OG0000996	ASIC017229	LOC109407247
OG0000997	ASIC019080, ASIC019076, ASIC019081	LOC115254240
OG0000998	ASIC012645	LOC109403247, LOC109425394
OG0000999	ASIC019299	LOC115267533
OG0001000	ASIC017776	LOC109410626
OG0001001	ASIC000014, ASIC010786	LOC109410638, LOC109433503
OG0001002	ASIC007151	LOC109411748
OG0001003	ASIC006287	LOC115255731, LOC109401885
OG0001004	ASIC007842	LOC109431947
OG0001005	ASIC009647, ASIC008582	LOC109402076
OG0001006	ASIC009653	LOC109427352, LOC109427351
OG0001007	ASIC014225	LOC109398853
OG0001008	ASIC014457	LOC109431053
OG0001009	ASIC007645	LOC109427406, LOC109410125
OG0001010	ASIC007604	LOC109428446
OG0001011	ASIC008845	LOC109425486, LOC109399007
OG0001012	ASIC006842	LOC109421550
OG0001013	ASIC009610	LOC109405326, LOC134284674
OG0001014	ASIC006512	LOC109403563
OG0001015	ASIC018825, ASIC018828	LOC109426817
OG0001016	ASIC002109	LOC109423112, LOC109419080
OG0001017	ASIC009459, ASIC009457	LOC109406871, LOC134284967
OG0001018	ASIC020388	LOC109432961
OG0001019	ASIC019363	LOC109431255
OG0001020	ASIC016968	LOC109422119
OG0001021	ASIC002330, ASIC002339	LOC109419157, LOC109427981
OG0001022	ASIC005644	LOC134287968, LOC134287970
OG0001023	ASIC016431, ASIC016432	LOC115270215
OG0001024	ASIC010752	LOC115255616, LOC115256844
OG0001025	ASIC004318	LOC109422710
OG0001026	ASIC019437	LOC109407505
OG0001027	ASIC015551	LOC115262720
OG0001028	ASIC008874, ASIC003514	LOC109398974, LOC115258403
OG0001029	ASIC009642	LOC115256872, LOC109422006
OG0001030	ASIC016782, ASIC016781, ASIC016780	LOC109422466
OG0001031	ASIC017539	LOC109410546
OG0001032	ASIC004759	LOC109426306, LOC109411963
OG0001033	ASIC015477, ASIC015476	LOC109424634
OG0001034	ASIC021524, ASIC021528, ASIC021527, ASIC021525	LOC109405749
OG0001035	ASIC004152	LOC109430115, LOC115266823, LOC109430134
OG0001036	ASIC007397	LOC115254170
OG0001037	ASIC013855	LOC109409116
OG0001037	ASIC002100	LOC134287585
OG0001038	ASIC021511, ASIC021512	LOC109402168
OG0001039	ASIC004085, ASIC004096	LOC109419299
OG0001040	ASIC017745	LOC109431811, LOC134288764
OG0001041	ASIC014693	LOC134287945, LOC109398433
OG0001042	ASIC011532	LOC109406257
OG0001043	ASIC009006	LOC109430472
OG0001044	ASIC018691	LOC109426969
OG0001045	ASIC005228	LOC109416816, LOC109398231
OG0001046	ASIC021917, ASIC021918, ASIC021915	LOC109412738
OG0001047	ASIC011591	LOC109419295
OG0001048	ASIC017966	LOC109424711, LOC134291622
OG0001049	ASIC022309	LOC109401184
OG0001050	ASIC019160	LOC109431503, LOC109431497
OG0001051	ASIC001512	LOC134285936, LOC109417138, LOC115258522, LOC109417139, LOC115258481
OG0001052	ASIC009378, ASIC009377	LOC109402125, LOC109426304, LOC109414782
OG0001053	ASIC022256, ASIC022255	LOC134289431
OG0001054	ASIC017738	LOC109431822
OG0001055	ASIC021890	LOC134284918, LOC109397852
OG0001056	ASIC017837	LOC109415291
OG0001057	ASIC002942	LOC115267651, LOC109430321
OG0001058	ASIC007054	LOC109413676, LOC109413675
OG0001059	ASIC005336	LOC109397930, LOC109397925, LOC109622058
OG0001060	ASIC014678, ASIC014689	LOC109423623
OG0001061	ASIC010737	LOC134286357, LOC109411791
OG0001062	ASIC021526	LOC109432868
OG0001062	ASIC021515	LOC134287037
OG0001063	ASIC002518, ASIC001736	LOC109427199
OG0001064	ASIC011699, ASIC011701	LOC109406424
OG0001065	ASIC020339	LOC109415434
OG0001066	ASIC014097	LOC134285574
OG0001067	ASIC009000, ASIC001664	LOC109398937
OG0001068	ASIC020966	LOC109415536
OG0001069	ASIC005764, ASIC005767	LOC115269359
OG0001070	ASIC017184	LOC109419096
OG0001071	ASIC015918	LOC109621286, LOC109415957
OG0001072	ASIC009090	LOC115255409
OG0001072	ASIC009078	LOC134288767
OG0001073	ASIC009568, ASIC009569	LOC109428467
OG0001074	ASIC017968, ASIC005155	LOC109397885
OG0001075	ASIC021814	LOC134291882, LOC109622353, LOC109405982
OG0001076	ASIC010084	LOC109431918
OG0001077	ASIC018001, ASIC018000, ASIC017998	LOC109424682, LOC134284300
OG0001078	ASIC012769	LOC109420654
OG0001079	ASIC016515	LOC109415153
OG0001080	ASIC019274, ASIC019273	LOC109405099
OG0001081	ASIC012969	LOC109404941, LOC134286822
OG0001082	ASIC005371, ASIC013577, ASIC005369	LOC109406965
OG0001083	ASIC008134, ASIC001417	LOC109409390
OG0001084	ASIC017799, ASIC017802	LOC115266894
OG0001085	ASIC000548	LOC109422303
OG0001085	ASIC000547	LOC109424401
OG0001086	ASIC002992, ASIC002984	LOC109414826
OG0001090	ASIC005258	LOC109422192
OG0001091	ASIC003390	LOC109401617
OG0001092	ASIC007959	LOC134285075, LOC109409419
OG0001095	ASIC008516, ASIC008517	LOC115254947
OG0001096	ASIC016949	LOC115260715, LOC115267137
OG0001097	ASIC013838, ASIC013837	LOC109409190
OG0001098	ASIC013589, ASIC013584	LOC109419910, LOC134287707
OG0001101	ASIC019857, ASIC019856	LOC109410008
OG0001102	ASIC007492, ASIC007493, ASIC005486, ASIC003626	LOC109403065
OG0001103	ASIC020366, ASIC002035, ASIC020193	LOC109427539
OG0001104	ASIC012516	LOC115260266
OG0001105	ASIC002338, ASIC002333	LOC109405833
OG0001106	ASIC007740	LOC109400621
OG0001107	ASIC021952, ASIC021954, ASIC021960	LOC109433280
OG0001109	ASIC006997, ASIC006992	LOC109432525
OG0001110	ASIC018582, ASIC018517	LOC134286761, LOC109403813
OG0001111	ASIC016146, ASIC016145, ASIC016144	LOC109431650
OG0001112	ASIC015640, ASIC015639	LOC109422256
OG0001113	ASIC021203	LOC109415821
OG0001115	ASIC021765	LOC109404189
OG0001120	ASIC015803, ASIC002792	LOC134288586, LOC109427826, LOC115266680, LOC115265003, LOC134290961
OG0001123	ASIC016806, ASIC002293	LOC134284832, LOC134286670
OG0001138	ASIC008225	LOC109420901, LOC109425977
OG0001139	ASIC012451	LOC109408072
OG0001140	ASIC004228, ASIC004227	LOC109400141, LOC109400144
OG0001141	ASIC003491	LOC109400108, LOC115254309, LOC109400127
OG0001142	ASIC011995	LOC109430404
OG0001143	ASIC001196	LOC109405767
OG0001144	ASIC009181	LOC115254213, LOC109417979, LOC109398203
OG0001145	ASIC009582	LOC109424932
OG0001146	ASIC021261, ASIC021260	LOC109424953, LOC115256337
OG0001147	ASIC012981	LOC134288547, LOC109416473
OG0001149	ASIC021370	LOC109433434
OG0001150	ASIC007916, ASIC007911	LOC115267983
OG0001152	ASIC007426, ASIC007427	LOC109429914
OG0001153	ASIC004993	LOC109408999
OG0001153	ASIC004982	LOC109426467
OG0001154	ASIC005060, ASIC020518, ASIC005027, ASIC005038	LOC115253958
OG0001155	ASIC005082, ASIC005012, ASIC005013, ASIC004949	LOC109408988
OG0001156	ASIC015320	LOC109396997, LOC115268263, LOC109432232, LOC109397010
OG0001158	ASIC000841	LOC109411232
OG0001159	ASIC018817	LOC109406167
OG0001160	ASIC006190	LOC109422898
OG0001162	ASIC006527, ASIC006505, ASIC006516	LOC109429639
OG0001163	ASIC000640	LOC109408144
OG0001164	ASIC012202	LOC109426660, LOC115260748
OG0001166	ASIC014178	LOC134287911, LOC109433152
OG0001167	ASIC015763, ASIC015764	LOC109427842
OG0001168	ASIC008122	LOC115254133, LOC115259941
OG0001169	ASIC015029, ASIC015025	LOC109422497
OG0001170	ASIC012964	LOC109400599, LOC109404937
OG0001171	ASIC011370, ASIC011371	LOC109398784
OG0001172	ASIC016593	LOC109402238, LOC115267212
OG0001173	ASIC017173	LOC115254019, LOC109409323
OG0001174	ASIC011863	LOC109423252
OG0001175	ASIC001582, ASIC001569	LOC109430199
OG0001176	ASIC021821	LOC109407838, LOC109406699
OG0001177	ASIC010259	LOC109398410, LOC134285080
OG0001178	ASIC020470	LOC109398429, LOC109400389
OG0001179	ASIC006576	LOC109424163
OG0001180	ASIC007401, ASIC007402	LOC109398296
OG0001181	ASIC010080	LOC109431898
OG0001182	ASIC019704, ASIC002754	LOC109404407
OG0001183	ASIC004278	LOC115254245
OG0001184	ASIC018232, ASIC018233	LOC115260379
OG0001185	ASIC013220, ASIC013223	LOC109408324
OG0001186	ASIC014720	LOC109399828, LOC109425278
OG0001187	ASIC004827	LOC115268790, LOC115257806
OG0001188	ASIC011163	LOC109400071, LOC134285480
OG0001189	ASIC006170	LOC134285458, LOC109430336
OG0001190	ASIC018031	LOC109399858
OG0001191	ASIC022165	LOC109426877, LOC109623336
OG0001193	ASIC016869	LOC109622575, LOC134287488
OG0001194	ASIC019966	LOC109422324
OG0001195	ASIC018275	LOC109420175, LOC115265507, LOC115253931
OG0001196	ASIC015926, ASIC015925	LOC109402290
OG0001197	ASIC004924, ASIC004925	LOC109425930
OG0001198	ASIC008224	LOC115257036, LOC115271087
OG0001199	ASIC017053, ASIC017042	LOC109401821
OG0001200	ASIC017358	LOC109429397, LOC109429398
OG0001201	ASIC013619	LOC109429413
OG0001202	ASIC008883	LOC109429357, LOC109399008
OG0001204	ASIC008889	LOC109398994
OG0001206	ASIC014890	LOC115266521, LOC109405943
OG0001207	ASIC020169	LOC109400415, LOC134285561
OG0001208	ASIC009335	LOC109401631
OG0001209	ASIC000265, ASIC000264	LOC109412137
OG0001210	ASIC004887	LOC109419765
OG0001211	ASIC015537	LOC109418670
OG0001212	ASIC020298	LOC109413525, LOC109404511
OG0001213	ASIC012895	LOC115265128
OG0001214	ASIC013939	LOC115267647, LOC109407286, LOC134285833
OG0001215	ASIC013069	LOC109402519
OG0001216	ASIC006415	LOC109406522
OG0001218	ASIC010456	LOC115264208, LOC109424846
OG0001219	ASIC019128, ASIC019113	LOC109397997
OG0001220	ASIC016616, ASIC016619	LOC109409965
OG0001221	ASIC014964	LOC109424732, LOC115262659
OG0001222	ASIC009251, ASIC009250	LOC109429370
OG0001223	ASIC012672, ASIC012671, ASIC010255	LOC109397896, LOC134284903
OG0001224	ASIC017307	LOC109419778
OG0001225	ASIC020477	LOC109422806, LOC109422805
OG0001226	ASIC017157, ASIC017155	LOC109423007
OG0001227	ASIC004186, ASIC015067	LOC109398837
OG0001228	ASIC020261	LOC109424084
OG0001229	ASIC015135	LOC109432373
OG0001230	ASIC009478, ASIC005349, ASIC017454, ASIC007190	LOC109421195
OG0001232	ASIC002829	LOC109425023
OG0001234	ASIC000832, ASIC000833	LOC109411239
OG0001235	ASIC011094	LOC115260549
OG0001235	ASIC011098	LOC109429483
OG0001236	ASIC003575, ASIC003579	LOC109425430
OG0001238	ASIC011403	LOC134290013, LOC109431876
OG0001239	ASIC004355	LOC134285050, LOC109402083
OG0001240	ASIC002681	LOC109430111, LOC109430116, LOC109430112
OG0001241	ASIC013833	LOC134287589, LOC109409124
OG0001242	ASIC006115	LOC109409140, LOC109421534
OG0001244	ASIC017864, ASIC017865	LOC109407655
OG0001245	ASIC017083	LOC109397845, LOC134284920
OG0001246	ASIC017005, ASIC020914	LOC115256389, LOC109422032
OG0001247	ASIC011229	LOC109401126
OG0001248	ASIC021381	LOC109411800, LOC134284657
OG0001249	ASIC008276	LOC109426998, LOC134289906
OG0001250	ASIC008337	LOC109426285, LOC109426330
OG0001251	ASIC018162	LOC109433013
OG0001252	ASIC016810	LOC109622518, LOC115265421
OG0001253	ASIC015044, ASIC015046, ASIC015045, ASIC015043	LOC109424155
OG0001254	ASIC021383	LOC109428509, LOC115256602, LOC115256201
OG0001255	ASIC017232	LOC109406841
OG0001256	ASIC020097	LOC115267144
OG0001257	ASIC013092	LOC134287600
OG0001258	ASIC002662, ASIC002663	LOC115268579, LOC109424235
OG0001259	ASIC010774	LOC109411315, LOC115256778
OG0001260	ASIC009032	LOC134287926
OG0001261	ASIC003327	LOC109429164
OG0001263	ASIC011117	LOC109427473, LOC115253538
OG0001264	ASIC005997	LOC109623253, LOC134283943
OG0001265	ASIC010243, ASIC010242	LOC109397730
OG0001266	ASIC011291, ASIC011295	LOC109397755
OG0001267	ASIC004132	LOC115261027
OG0001268	ASIC010415, ASIC010416, ASIC010418	LOC109427980
OG0001269	ASIC007939, ASIC013090, ASIC007937, ASIC007940	LOC134286042, LOC115265573
OG0001270	ASIC001348, ASIC001350	LOC109397767, LOC109428788
OG0001271	ASIC005400	LOC115254229
OG0001272	ASIC004875	LOC115256865, LOC115256862
OG0001273	ASIC009976	LOC115259235, LOC109419784
OG0001274	ASIC004313	LOC109422727
OG0001276	ASIC008667	LOC109416267, LOC134287628, LOC109423903
OG0001277	ASIC006913	LOC115255477, LOC109416191, LOC109415073
OG0001278	ASIC019451, ASIC019450, ASIC019449	LOC109425769
OG0001279	ASIC013008, ASIC013006	LOC109622238
OG0001281	ASIC006653, ASIC006652	LOC109419875
OG0001283	ASIC012355, ASIC012354, ASIC012353	LOC109417628
OG0001284	ASIC014335	LOC109423481, LOC109432158
OG0001285	ASIC015634, ASIC015632	LOC109431042
OG0001286	ASIC016947	LOC109431437
OG0001287	ASIC022173	LOC109623370, LOC109623392
OG0001288	ASIC002152	LOC109404970
OG0001289	ASIC019507	LOC109404340
OG0001290	ASIC019514	LOC115253728
OG0001290	ASIC019512	LOC115253648
OG0001292	ASIC018795	LOC109405109
OG0001293	ASIC018104	LOC109428987, LOC109428986
OG0001294	ASIC011749	LOC109420767, LOC109420768
OG0001296	ASIC016817	LOC115253446, LOC109417626
OG0001297	ASIC014859, ASIC014848	LOC115267280
OG0001298	ASIC015500, ASIC009058, ASIC009716, ASIC011133	LOC109418502
OG0001299	ASIC008030, ASIC008029, ASIC008031	LOC109416152
OG0001300	ASIC003215	LOC134287657, LOC115269315, LOC115258242
OG0001301	ASIC017175, ASIC017176	LOC109419050
OG0001302	ASIC008613	LOC134286327, LOC109409335, LOC115258647
OG0001303	ASIC003991, ASIC005106, ASIC003104, ASIC005109	LOC115254181
OG0001304	ASIC014906	LOC109423814, LOC109423816
OG0001305	ASIC005672	LOC134287947, LOC134285832
OG0001306	ASIC006326, ASIC009808	LOC109410908
OG0001307	ASIC013435	LOC109411157
OG0001308	ASIC015154	LOC109409757, LOC109432166, LOC109409762
OG0001309	ASIC016566, ASIC016677	LOC109412146
OG0001310	ASIC014318	LOC109423622
OG0001311	ASIC000579, ASIC000576, ASIC000580, ASIC000577	LOC115271017
OG0001312	ASIC011164	LOC134284789, LOC115253587, LOC109400069
OG0001313	ASIC007704, ASIC007702	LOC109415593
OG0001314	ASIC015902	LOC109418486, LOC134290799
OG0001315	ASIC019802	LOC109410593
OG0001316	ASIC007698, ASIC007696	LOC109415596
OG0001317	ASIC011948, ASIC011949	LOC109405223
OG0001318	ASIC021509, ASIC021508	LOC109429474
OG0001319	ASIC004320, ASIC004321	LOC115253800
OG0001321	ASIC012970	LOC109404943
OG0001322	ASIC019100	LOC109430816
OG0001323	ASIC010560	LOC109401483
OG0001324	ASIC017342	LOC109405167
OG0001326	ASIC012791, ASIC012792	LOC109417777
OG0001327	ASIC005247	LOC109428554, LOC115256775
OG0001328	ASIC009680	LOC109417236, LOC109424745, LOC134288154
OG0001329	ASIC020082	LOC109399298, LOC109433350
OG0001331	ASIC005592	LOC109431357
OG0001332	ASIC010529	LOC109429511
OG0001333	ASIC001185	LOC109405215, LOC109400336
OG0001334	ASIC013994	LOC109429898, LOC109418351
OG0001335	ASIC015090, ASIC015089	LOC109425652
OG0001336	ASIC012930	LOC109622846
OG0001337	ASIC002367, ASIC002763	LOC109398792
OG0001338	ASIC008258, ASIC008254	LOC109408443
OG0001339	ASIC021414, ASIC021380	LOC109411545
OG0001340	ASIC017191	LOC115253815, LOC134284004
OG0001341	ASIC007904, ASIC007905	LOC109409870
OG0001342	ASIC012603, ASIC012601, ASIC012604	LOC109429299
OG0001343	ASIC020854	LOC109425390
