Orthogroup	AsinensisChina	AgambiaePEST
OG0000989	ASIC012021	AGAP028136
OG0000990	ASIC007221	AGAP009515
OG0000991	ASIC015520	AGAP011442
OG0000992	ASIC018564, ASIC018563	AGAP007043
OG0000993	ASIC002159	AGAP002737
OG0000994	ASIC016386	AGAP029900
OG0000995	ASIC015404	AGAP010544
OG0000996	ASIC017229	AGAP008341, AGAP009784
OG0000997	ASIC019081	AGAP029116
OG0000998	ASIC012645	AGAP004392
OG0000999	ASIC019299	AGAP029494
OG0001000	ASIC017776	AGAP011805
OG0001001	ASIC000014, ASIC010786	AGAP008897
OG0001002	ASIC007151	AGAP009550
OG0001005	ASIC009647	AGAP000719
OG0001006	ASIC009653	AGAP000876
OG0001007	ASIC014225	AGAP028064, AGAP028028, AGAP028015
OG0001008	ASIC014457	AGAP011100
OG0001009	ASIC007645	AGAP000327
OG0001010	ASIC007604	AGAP000761
OG0001011	ASIC008845	AGAP004050
OG0001012	ASIC006842	AGAP008204, AGAP008203, AGAP012855
OG0001013	ASIC009610	AGAP000663
OG0001014	ASIC006512	AGAP008719
OG0001015	ASIC018825	AGAP005568
OG0001015	ASIC018828	AGAP005570
OG0001016	ASIC002109	AGAP029062
OG0001017	ASIC009459	AGAP029904
OG0001018	ASIC020388	AGAP000300
OG0001019	ASIC019363	AGAP012131, AGAP028746, AGAP028748
OG0001020	ASIC016968	AGAP000498, AGAP007024
OG0001021	ASIC002339	AGAP013105
OG0001022	ASIC005644	AGAP013388, AGAP002847
OG0001023	ASIC016431, ASIC016432	AGAP004963, AGAP004962
OG0001024	ASIC010752	AGAP008878
OG0001025	ASIC004318	AGAP003767
OG0001026	ASIC019437	AGAP011091, AGAP011092
OG0001027	ASIC015551	AGAP029893
OG0001028	ASIC008874, ASIC003514	AGAP004059
OG0001029	ASIC009642	AGAP002589, AGAP000723
OG0001030	ASIC016782	AGAP029615
OG0001030	ASIC016781, ASIC016780	AGAP029364
OG0001031	ASIC017539	AGAP011617, AGAP028207
OG0001032	ASIC004759	AGAP011159
OG0001033	ASIC015477	AGAP012881, AGAP029295
OG0001034	ASIC021524, ASIC021528, ASIC021527, ASIC021525	AGAP003230
OG0001035	ASIC004152	AGAP009121
OG0001036	ASIC007397	AGAP009418, AGAP009419, AGAP009416, AGAP009417, AGAP009415
OG0001037	ASIC013855	AGAP008026
OG0001038	ASIC021511, ASIC021512	AGAP003215, AGAP003216
OG0001039	ASIC004085	AGAP001572
OG0001039	ASIC004096	AGAP001570
OG0001040	ASIC017745	AGAP008408
OG0001041	ASIC014693	AGAP013368
OG0001042	ASIC011532	AGAP001240
OG0001043	ASIC009006	AGAP013284, AGAP001441
OG0001044	ASIC018691	AGAP006327
OG0001045	ASIC005228	AGAP000523
OG0001046	ASIC021917, ASIC021918, ASIC021915	AGAP004529
OG0001047	ASIC011591	AGAP001101
OG0001048	ASIC017966	AGAP012113
OG0001049	ASIC022309	AGAP010767
OG0001050	ASIC019160	AGAP006718
OG0001051	ASIC001512	AGAP008514
OG0001052	ASIC009378, ASIC009377	AGAP001012
OG0001053	ASIC022256	AGAP002631
OG0001053	ASIC022255	AGAP002632
OG0001054	ASIC017738	AGAP009242, AGAP009245
OG0001055	ASIC021890	AGAP007858, AGAP000325
OG0001056	ASIC017837	AGAP000852
OG0001057	ASIC002942	AGAP029770, AGAP029769
OG0001058	ASIC007054	AGAP004192
OG0001059	ASIC005336	AGAP012955
OG0001060	ASIC014678	AGAP003073
OG0001060	ASIC014689	AGAP003074
OG0001061	ASIC010737	AGAP008868
OG0001062	ASIC021526	AGAP008310
OG0001063	ASIC002518, ASIC001736	AGAP003568
OG0001064	ASIC011699	AGAP005989
OG0001064	ASIC011701	AGAP005988
OG0001065	ASIC020339	AGAP029508
OG0001066	ASIC014094, ASIC014097	AGAP002824
OG0001067	ASIC009000, ASIC001664	AGAP001439, AGAP001444
OG0001068	ASIC020966	AGAP002942
OG0001069	ASIC005764, ASIC005767	AGAP013057
OG0001070	ASIC017182	AGAP029648
OG0001070	ASIC017184	AGAP009820
OG0001071	ASIC015920	AGAP011192
OG0001072	ASIC009090	AGAP029453
OG0001073	ASIC009568, ASIC009569	AGAP000504
OG0001074	ASIC017968, ASIC005155	AGAP000082
OG0001075	ASIC021814	AGAP012958
OG0001076	ASIC010084	AGAP002083
OG0001077	ASIC018001, ASIC018000, ASIC017998	AGAP029514
OG0001079	ASIC016515	AGAP005008
OG0001080	ASIC019273	AGAP011138
OG0001081	ASIC012969	AGAP005661
OG0001082	ASIC013577, ASIC005369	AGAP000323, AGAP029259
OG0001084	ASIC017799, ASIC017802	AGAP012303
OG0001085	ASIC000547	AGAP010347
OG0001086	ASIC002984	AGAP029504
OG0001088	ASIC004315	AGAP013016, AGAP012979
OG0001088	ASIC004324	AGAP013492
OG0001090	ASIC005258	AGAP010423, AGAP000099
OG0001091	ASIC003380, ASIC003390	AGAP029482
OG0001092	ASIC007959	AGAP001084
OG0001094	ASIC020472	AGAP000798, AGAP002797
OG0001095	ASIC008516, ASIC008517	AGAP008818
OG0001096	ASIC016949	AGAP000862
OG0001097	ASIC013838, ASIC013837	AGAP009293
OG0001098	ASIC013589, ASIC013584	AGAP008357
OG0001101	ASIC019856	AGAP007537
OG0001102	ASIC007492, ASIC007493, ASIC005486, ASIC003626	AGAP006405
OG0001103	ASIC020366	AGAP000189
OG0001103	ASIC002035, ASIC020193	AGAP028457
OG0001104	ASIC012516	AGAP029676
OG0001104	ASIC012522	AGAP029639
OG0001105	ASIC002333	AGAP012949
OG0001106	ASIC007740, ASIC007739	AGAP007248
OG0001107	ASIC021952, ASIC021954, ASIC021960	AGAP002591
OG0001109	ASIC006997	AGAP029774
OG0001109	ASIC006992	AGAP029773
OG0001110	ASIC018582, ASIC018517	AGAP004835
OG0001111	ASIC016146	AGAP005057
OG0001111	ASIC016144	AGAP028440
OG0001112	ASIC015640	AGAP010930
OG0001112	ASIC015639	AGAP029301
OG0001113	ASIC021203	AGAP007008
OG0001115	ASIC021765	AGAP004169
OG0001123	ASIC016806	AGAP029353
OG0001123	ASIC002293	AGAP003812
OG0001127	ASIC007677	AGAP000640, AGAP000638, AGAP011647
OG0001127	ASIC014358	AGAP009065
OG0001129	ASIC004965, ASIC004710, ASIC004963, ASIC004964, ASIC004711	AGAP028167, AGAP028007, AGAP012843, AGAP012034
OG0001130	ASIC006026	AGAP003640
OG0001130	ASIC000388, ASIC000390	AGAP003639, AGAP003641
OG0001133	ASIC014785	AGAP029304, AGAP011007, AGAP011009, AGAP011013, AGAP029206, AGAP029092, AGAP011012, AGAP011014, AGAP011015, AGAP011011, AGAP011010
OG0001138	ASIC008225	AGAP001952
OG0001139	ASIC012451	AGAP029819
OG0001140	ASIC004227	AGAP003481
OG0001141	ASIC003491	AGAP004081
OG0001142	ASIC011995	AGAP012801, AGAP003516, AGAP012661
OG0001143	ASIC001196	AGAP029080, AGAP010798
OG0001144	ASIC009181	AGAP004849
OG0001145	ASIC009582	AGAP000254
OG0001146	ASIC021261, ASIC021260	AGAP000365
OG0001147	ASIC012981	AGAP012831, AGAP005672
OG0001149	ASIC021370	AGAP003235
OG0001150	ASIC007916, ASIC007911	AGAP011320
OG0001152	ASIC007426, ASIC007427	AGAP013764
OG0001153	ASIC004993	AGAP011654
OG0001153	ASIC004982	AGAP011653
OG0001154	ASIC005060, ASIC020518, ASIC005027, ASIC005038	AGAP011638
OG0001155	ASIC005012, ASIC005013, ASIC004949	AGAP029506
OG0001156	ASIC015320	AGAP010902
OG0001158	ASIC000841	AGAP002487
OG0001159	ASIC018817	AGAP005564
OG0001160	ASIC006190	AGAP000974
OG0001162	ASIC006527, ASIC006505, ASIC006516	AGAP009384, AGAP028142
OG0001163	ASIC000640	AGAP007819
OG0001164	ASIC012202	AGAP005319
OG0001166	ASIC014178	AGAP007779
OG0001167	ASIC015764	AGAP008984
OG0001168	ASIC008122	AGAP012893, AGAP012845, AGAP011531
OG0001169	ASIC015029	AGAP005400
OG0001169	ASIC015025	AGAP005398
OG0001170	ASIC012964	AGAP012873, AGAP005655
OG0001171	ASIC011370, ASIC011371	AGAP002807
OG0001172	ASIC016593	AGAP006383
OG0001173	ASIC017173	AGAP009936
OG0001174	ASIC011863	AGAP004230
OG0001175	ASIC001582, ASIC001569	AGAP004233
OG0001176	ASIC021821	AGAP002613
OG0001177	ASIC010259	AGAP001070
OG0001178	ASIC020470	AGAP000803, AGAP012447
OG0001179	ASIC006576	AGAP029914
OG0001180	ASIC007402	AGAP007935
OG0001181	ASIC010080	AGAP001799
OG0001182	ASIC019704	AGAP002544
OG0001183	ASIC004278	AGAP002914
OG0001184	ASIC018233	AGAP029537
OG0001185	ASIC013220, ASIC013223	AGAP001415
OG0001186	ASIC014720	AGAP003931
OG0001187	ASIC004827	AGAP011356
OG0001188	ASIC011163	AGAP003408, AGAP012641
OG0001189	ASIC006170	AGAP001724
OG0001190	ASIC018031, ASIC018030	AGAP011956
OG0001191	ASIC022165	AGAP010845
OG0001193	ASIC016869	AGAP005862
OG0001194	ASIC019966	AGAP010700
OG0001195	ASIC018275	AGAP012057
OG0001196	ASIC015926, ASIC015925	AGAP011188
OG0001197	ASIC004924	AGAP012352
OG0001198	ASIC008224	AGAP001951
OG0001199	ASIC017053, ASIC017042	AGAP000477
OG0001200	ASIC017358	AGAP010150
OG0001201	ASIC013619	AGAP007978
OG0001202	ASIC008883	AGAP004038
OG0001204	ASIC008889	AGAP004034, AGAP012698
OG0001206	ASIC014890	AGAP003318
OG0001207	ASIC020169	AGAP004497
OG0001208	ASIC009335	AGAP010885
OG0001209	ASIC000265, ASIC000264	AGAP003164
OG0001210	ASIC004887	AGAP008533
OG0001211	ASIC015537	AGAP010537
OG0001212	ASIC020298	AGAP007458
OG0001213	ASIC012895	AGAP005696, AGAP005695
OG0001214	ASIC013939	AGAP002353
OG0001215	ASIC013069	AGAP008260, AGAP008259, AGAP013767, AGAP008258
OG0001216	ASIC006415	AGAP008431, AGAP008430
OG0001218	ASIC010456	AGAP005299
OG0001219	ASIC019128, ASIC019113	AGAP028461
OG0001220	ASIC016616, ASIC016619	AGAP029811
OG0001221	ASIC014964	AGAP004793, AGAP012615
OG0001222	ASIC009250	AGAP007833
OG0001223	ASIC012672, ASIC012671, ASIC010255	AGAP007635
OG0001224	ASIC017307	AGAP009267
OG0001225	ASIC020477	AGAP000797
OG0001226	ASIC017157, ASIC017155	AGAP000317
OG0001227	ASIC004186, ASIC015067	AGAP002790
OG0001228	ASIC020261	AGAP013246, AGAP001781
OG0001229	ASIC015135	AGAP005713
OG0001230	ASIC007190	AGAP009528
OG0001232	ASIC002829	AGAP001704
OG0001234	ASIC000832	AGAP002485
OG0001235	ASIC011094, ASIC011098	AGAP013301
OG0001236	ASIC003575, ASIC003579	AGAP003669
OG0001238	ASIC011403	AGAP013048
OG0001239	ASIC004355	AGAP000879
OG0001240	ASIC002681	AGAP009110
OG0001241	ASIC013833	AGAP009290
OG0001242	ASIC006115	AGAP009605
OG0001244	ASIC017864, ASIC017865	AGAP029658
OG0001245	ASIC017083	AGAP029488
OG0001246	ASIC017005, ASIC020914	AGAP000110
OG0001247	ASIC011229	AGAP003742
OG0001248	ASIC021381	AGAP002150
OG0001249	ASIC008276	AGAP001854, AGAP012898
OG0001250	ASIC008337	AGAP001892
OG0001251	ASIC018162	AGAP000751
OG0001252	ASIC016810	AGAP007581
OG0001253	ASIC015044, ASIC015046, ASIC015045, ASIC015043	AGAP007023
OG0001254	ASIC021383	AGAP002151
OG0001255	ASIC017232	AGAP009781
OG0001256	ASIC020097	AGAP004013
OG0001257	ASIC013092	AGAP008222
OG0001258	ASIC002663	AGAP028131
OG0001259	ASIC010774	AGAP028002
OG0001260	ASIC009032	AGAP009598
OG0001261	ASIC003327	AGAP002798, AGAP002799
OG0001263	ASIC011117	AGAP003414
OG0001264	ASIC005997	AGAP010563
OG0001265	ASIC010243, ASIC010242	AGAP029808
OG0001266	ASIC011295	AGAP029113
OG0001267	ASIC004132	AGAP009112
OG0001268	ASIC010415, ASIC010416	AGAP004883
OG0001269	ASIC007939, ASIC013090, ASIC007937, ASIC007940	AGAP008273
OG0001270	ASIC001348, ASIC001350	AGAP010313
OG0001271	ASIC005400	AGAP010318, AGAP012525
OG0001272	ASIC004875	AGAP007790
OG0001273	ASIC009976	AGAP009946
OG0001274	ASIC004313	AGAP013038, AGAP003771
OG0001276	ASIC008667	AGAP009974
OG0001277	ASIC006913	AGAP008513
OG0001278	ASIC019451, ASIC019450, ASIC019449	AGAP028510
OG0001279	ASIC013006	AGAP029590
OG0001283	ASIC012355	AGAP005145
OG0001283	ASIC012354, ASIC012353	AGAP005146
OG0001284	ASIC014335	AGAP004645
OG0001285	ASIC015634, ASIC015632	AGAP029625
OG0001286	ASIC016947	AGAP029672, AGAP029671
OG0001287	ASIC022173	AGAP010848
OG0001288	ASIC002152	AGAP003899
OG0001290	ASIC019514	AGAP006530
OG0001290	ASIC019512	AGAP006529
OG0001292	ASIC018795	AGAP000514
OG0001293	ASIC018104	AGAP029265
OG0001294	ASIC011749	AGAP006931
OG0001295	ASIC010510	AGAP001558
OG0001296	ASIC016817	AGAP006962
OG0001297	ASIC014859, ASIC014848	AGAP002264
OG0001298	ASIC015500, ASIC009058, ASIC009716, ASIC011133	AGAP011458
OG0001299	ASIC008030, ASIC008029, ASIC008031	AGAP028611
OG0001300	ASIC003215	AGAP012561, AGAP003502
OG0001301	ASIC017175	AGAP009825
OG0001301	ASIC017176	AGAP009824
OG0001302	ASIC008613	AGAP009997
OG0001303	ASIC003991, ASIC005106, ASIC003104, ASIC005109	AGAP006098
OG0001304	ASIC014906	AGAP005124
OG0001305	ASIC005672	AGAP002872
OG0001306	ASIC006326, ASIC009808	AGAP003629
OG0001307	ASIC013435	AGAP010258
OG0001308	ASIC015154	AGAP006676
OG0001309	ASIC016566, ASIC016677	AGAP003175
OG0001310	ASIC014318	AGAP004592
OG0001311	ASIC000579, ASIC000576, ASIC000580, ASIC000577	AGAP000573
OG0001312	ASIC011164	AGAP003409
OG0001313	ASIC007704, ASIC007702	AGAP000484
OG0001314	ASIC015902	AGAP010355
OG0001315	ASIC019802	AGAP007498
OG0001316	ASIC007698, ASIC007696	AGAP000488
OG0001317	ASIC011948	AGAP013161
OG0001317	ASIC011949	AGAP002377
OG0001318	ASIC021509, ASIC021508	AGAP003213
OG0001319	ASIC004321	AGAP003765
OG0001321	ASIC012970	AGAP005662
OG0001322	ASIC019100	AGAP005203
OG0001323	ASIC013251	AGAP001523
OG0001324	ASIC017342	AGAP006367, AGAP006611
OG0001326	ASIC012791, ASIC012792	AGAP009000
OG0001327	ASIC005247	AGAP000047
OG0001328	ASIC009680	AGAP013409
OG0001329	ASIC020082	AGAP002556
OG0001330	ASIC016697, ASIC016695, ASIC016696, ASIC016694, ASIC016698	AGAP006143
OG0001331	ASIC005592	AGAP000952
OG0001332	ASIC010529	AGAP001296
OG0001333	ASIC001185	AGAP029620
OG0001334	ASIC013994	AGAP002649
OG0001335	ASIC015090, ASIC015089	AGAP005962
OG0001336	ASIC012930	AGAP006027
OG0001337	ASIC002367, ASIC002763	AGAP001446
OG0001338	ASIC008258, ASIC008254	AGAP001344
OG0001339	ASIC021414, ASIC021380	AGAP029545
OG0001340	ASIC017191	AGAP009809
OG0001341	ASIC007904, ASIC007905	AGAP029189
OG0001342	ASIC012603, ASIC012601, ASIC012604	AGAP029542
OG0001343	ASIC020854	AGAP003939
OG0001344	ASIC002135, ASIC004261	AGAP003914
OG0001345	ASIC015917	AGAP000639
OG0001346	ASIC019974, ASIC019977	AGAP029103
OG0001347	ASIC015751	AGAP008317
OG0001348	ASIC001968	AGAP008980
OG0001349	ASIC019762	AGAP007452
OG0001350	ASIC022264	AGAP002628
OG0001351	ASIC011350	AGAP029976
OG0001352	ASIC000731, ASIC000735	AGAP002079
OG0001354	ASIC016676, ASIC016670	AGAP029236
OG0001355	ASIC009400	AGAP008574
OG0001356	ASIC003828	AGAP029474
OG0001357	ASIC010471, ASIC010472	AGAP029899
OG0001358	ASIC004957, ASIC004954	AGAP029503
OG0001359	ASIC022321, ASIC022326	AGAP029651
OG0001360	ASIC013000	AGAP029538
OG0001361	ASIC014254, ASIC014251, ASIC014261	AGAP004604
OG0001362	ASIC020771, ASIC020774	AGAP009210
OG0001363	ASIC016554, ASIC016556, ASIC016553	AGAP004982
OG0001364	ASIC000605	AGAP000005
OG0001366	ASIC020494	AGAP000095
OG0001369	ASIC015297, ASIC015295	AGAP010922
OG0001370	ASIC014495	AGAP010655
OG0001371	ASIC020751	AGAP009057
OG0001372	ASIC014464, ASIC014467	AGAP011097
OG0001373	ASIC006281	AGAP000420
OG0001374	ASIC017238	AGAP009638
OG0001375	ASIC019832	AGAP006638
OG0001376	ASIC012357	AGAP005143
OG0001377	ASIC015473	AGAP011479
OG0001378	ASIC004816	AGAP011349
OG0001379	ASIC003551	AGAP003679
OG0001380	ASIC003786, ASIC003787, ASIC003785	AGAP007719
OG0001381	ASIC012653, ASIC012654	AGAP004402
OG0001382	ASIC015179	AGAP005931
OG0001383	ASIC002313	AGAP002989
OG0001384	ASIC009461, ASIC009465	AGAP000915
OG0001385	ASIC009729, ASIC009721	AGAP000383
OG0001386	ASIC010938, ASIC010940	AGAP029546
OG0001387	ASIC003020, ASIC003220	AGAP004335
OG0001388	ASIC005673	AGAP002879
OG0001389	ASIC017672, ASIC010789	AGAP008899
OG0001390	ASIC020881	AGAP003943
OG0001391	ASIC006221	AGAP000258
OG0001392	ASIC019157	AGAP006721
OG0001393	ASIC010610	AGAP008286
OG0001394	ASIC021634	AGAP003965
OG0001395	ASIC004390	AGAP028469
OG0001396	ASIC012219	AGAP005096
OG0001397	ASIC007721	AGAP029112
OG0001398	ASIC007146	AGAP029897
OG0001399	ASIC005497	AGAP029198, AGAP003459
OG0001400	ASIC019862	AGAP007543
OG0001401	ASIC003882	AGAP028616
OG0001402	ASIC006833	AGAP008202
OG0001403	ASIC004784, ASIC004783	AGAP011177
OG0001404	ASIC007666	AGAP011534
OG0001405	ASIC005775	AGAP012668
OG0001406	ASIC016569	AGAP007077, AGAP007076
OG0001409	ASIC003113	AGAP006235
OG0001410	ASIC005076	AGAP029516
OG0001411	ASIC018843	AGAP006923
OG0001412	ASIC015436	AGAP012340
OG0001413	ASIC020194, ASIC020195	AGAP006436
OG0001414	ASIC015294	AGAP029652
OG0001426	ASIC005213	AGAP013147
OG0001426	ASIC005212	AGAP000789
OG0001427	ASIC011789	AGAP005337, AGAP005339
OG0001428	ASIC001062	AGAP008714, AGAP011982
OG0001429	ASIC016274, ASIC016275	AGAP005790, AGAP005791, AGAP005792
OG0001431	ASIC009306	AGAP028009
OG0001432	ASIC009397, ASIC009396, ASIC009395, ASIC009394	AGAP008562, AGAP008561, AGAP028046, AGAP029079
OG0001433	ASIC014415	AGAP013752
OG0001433	ASIC014418	AGAP008138
OG0001444	ASIC018704	AGAP006205
OG0001445	ASIC009226, ASIC009229, ASIC009227, ASIC009228	AGAP003257
OG0001446	ASIC011996	AGAP013231, AGAP012662
OG0001447	ASIC021029	AGAP002476
OG0001448	ASIC000809	AGAP003202, AGAP003201
OG0001449	ASIC003927	AGAP000569
OG0001450	ASIC012982	AGAP005673
OG0001451	ASIC017244	AGAP009639
OG0001452	ASIC014049	AGAP003867
OG0001453	ASIC001098, ASIC010055	AGAP001789, AGAP012732
OG0001454	ASIC018212	AGAP012391
OG0001455	ASIC009403	AGAP008570
OG0001458	ASIC017177, ASIC017179	AGAP009823
OG0001459	ASIC006005, ASIC001061, ASIC006004	AGAP012012
OG0001460	ASIC005987	AGAP010573
OG0001461	ASIC013345	AGAP013536, AGAP003991, AGAP003990
OG0001462	ASIC013287, ASIC013288	AGAP001501
OG0001463	ASIC000849	AGAP002494
OG0001464	ASIC012288	AGAP005178
OG0001466	ASIC006061	AGAP008931
OG0001467	ASIC010679	AGAP009075
OG0001468	ASIC006743	AGAP009399, AGAP009400
OG0001469	ASIC010531	AGAP001298
OG0001470	ASIC015826	AGAP009137
OG0001471	ASIC012381, ASIC012390	AGAP005886
OG0001472	ASIC019263	AGAP006169
OG0001473	ASIC009601	AGAP010616, AGAP012469
OG0001474	ASIC007542	AGAP010165
OG0001475	ASIC010753	AGAP008879
OG0001476	ASIC010860	AGAP009036
OG0001477	ASIC011912	AGAP011553
OG0001478	ASIC010198	AGAP007617
OG0001479	ASIC010190, ASIC010191	AGAP007609, AGAP007610
OG0001480	ASIC006947	AGAP008063
OG0001481	ASIC009900	AGAP006118
OG0001482	ASIC009878	AGAP006117
OG0001483	ASIC012220	AGAP005099
OG0001484	ASIC012212, ASIC012211	AGAP005311
OG0001486	ASIC011628, ASIC010168	AGAP006025
OG0001487	ASIC018490	AGAP007061
OG0001489	ASIC005911, ASIC005910	AGAP009021
OG0001490	ASIC015847	AGAP009140
OG0001491	ASIC010321, ASIC005105, ASIC010322	AGAP011520
OG0001492	ASIC006987	AGAP008035
OG0001493	ASIC006976	AGAP013736
OG0001494	ASIC006948	AGAP008062
OG0001495	ASIC003970	AGAP000739
OG0001496	ASIC012959, ASIC012960	AGAP005654
OG0001497	ASIC012956	AGAP005650
OG0001498	ASIC006256, ASIC008615	AGAP000120
OG0001501	ASIC013221	AGAP001416
OG0001502	ASIC017187	AGAP009816
OG0001503	ASIC004904	AGAP012744, AGAP003429
OG0001504	ASIC011217	AGAP000780
OG0001505	ASIC002965	AGAP001065
OG0001506	ASIC017138	AGAP000022
OG0001507	ASIC018402	AGAP011782
OG0001508	ASIC018392	AGAP012316
OG0001508	ASIC018391	AGAP028545
OG0001509	ASIC006547	AGAP008736
OG0001510	ASIC003804	AGAP007705
OG0001511	ASIC015642	AGAP011391, AGAP011389, AGAP011390
OG0001512	ASIC015646	AGAP028519
OG0001513	ASIC005276	AGAP029568
OG0001514	ASIC013029, ASIC013047	AGAP011985
OG0001515	ASIC005359	AGAP000018
OG0001516	ASIC017040	AGAP013158
OG0001517	ASIC018433, ASIC007581, ASIC018432	AGAP005747
OG0001518	ASIC004839	AGAP011357
OG0001519	ASIC015690	AGAP001671
OG0001520	ASIC007153	AGAP028569
OG0001521	ASIC005500	AGAP003462
OG0001522	ASIC012566	AGAP012802, AGAP004109
OG0001523	ASIC014409	AGAP008143
OG0001524	ASIC008213	AGAP001940
OG0001525	ASIC018027	AGAP012364
OG0001526	ASIC011057	AGAP029903
OG0001527	ASIC010686	AGAP008846
OG0001528	ASIC010683	AGAP008843
OG0001529	ASIC010916, ASIC010915	AGAP003572
OG0001530	ASIC004974, ASIC020348	AGAP000178
OG0001531	ASIC022187	AGAP010855
OG0001532	ASIC012171	AGAP001381
OG0001533	ASIC012641	AGAP004395
OG0001534	ASIC011313	AGAP010751
OG0001535	ASIC002817	AGAP011293
OG0001536	ASIC002813	AGAP011284
OG0001537	ASIC018266	AGAP029469
OG0001538	ASIC021517	AGAP003219
OG0001539	ASIC004779	AGAP011172
OG0001540	ASIC015207, ASIC002552	AGAP011045
OG0001541	ASIC008227	AGAP001954
OG0001542	ASIC017007	AGAP000108
OG0001543	ASIC007573, ASIC012963, ASIC015093	AGAP000159
OG0001544	ASIC013628	AGAP007981
OG0001545	ASIC013620	AGAP013732
OG0001546	ASIC005018	AGAP011655
OG0001547	ASIC005981	AGAP010554
OG0001548	ASIC005980	AGAP010553
OG0001549	ASIC000811	AGAP012856, AGAP029379, AGAP013035
OG0001550	ASIC011847	AGAP004720
OG0001551	ASIC007368, ASIC007381	AGAP009428
OG0001552	ASIC008120	AGAP011535
OG0001553	ASIC016743	AGAP005381
OG0001554	ASIC004464, ASIC004463	AGAP013495
OG0001556	ASIC013566, ASIC013565	AGAP008348
OG0001557	ASIC000672	AGAP012694, AGAP002081
OG0001558	ASIC010105	AGAP002082
OG0001559	ASIC015611	AGAP010517
OG0001560	ASIC017933	AGAP029443
OG0001561	ASIC009297	AGAP010463
OG0001563	ASIC014242	AGAP004649
OG0001564	ASIC010185	AGAP007627
OG0001565	ASIC003564	AGAP003672
OG0001566	ASIC016609	AGAP006376
OG0001568	ASIC002886	AGAP007356
OG0001569	ASIC020910	AGAP004329, AGAP004330
OG0001570	ASIC020918	AGAP003717, AGAP003716
OG0001571	ASIC006499	AGAP008706
OG0001572	ASIC007621	AGAP000552
OG0001573	ASIC010979	AGAP010676
OG0001574	ASIC011576	AGAP001113
OG0001575	ASIC006300	AGAP000894
OG0001576	ASIC007957	AGAP000403
OG0001578	ASIC014301	AGAP004624
OG0001579	ASIC021552, ASIC021548	AGAP002558
OG0001580	ASIC020946	AGAP003695
OG0001580	ASIC020949	AGAP003692
OG0001581	ASIC011818	AGAP028434
OG0001582	ASIC011806	AGAP004672
OG0001583	ASIC011819	AGAP004695
OG0001584	ASIC022365	AGAP012191
OG0001585	ASIC015896	AGAP010380
OG0001586	ASIC021640, ASIC009709	AGAP003132
OG0001587	ASIC008701	AGAP002891
OG0001588	ASIC008687	AGAP002888
OG0001589	ASIC008399	AGAP011508
OG0001590	ASIC017667, ASIC017673	AGAP008098
OG0001591	ASIC002466	AGAP012357
OG0001592	ASIC016000	AGAP010920, AGAP012418
OG0001593	ASIC002836	AGAP001697
OG0001594	ASIC002835	AGAP001699
OG0001595	ASIC020626, ASIC020625	AGAP003755
OG0001596	ASIC012927	AGAP029185
OG0001597	ASIC014770	AGAP011025
OG0001598	ASIC014797	AGAP010985
OG0001599	ASIC014800	AGAP011964
OG0001600	ASIC006352, ASIC006346, ASIC006351	AGAP000242
OG0001601	ASIC014485	AGAP012900, AGAP012577, AGAP010645
OG0001602	ASIC020085	AGAP001471
OG0001603	ASIC010002	AGAP009280
OG0001605	ASIC002892	AGAP005431
OG0001606	ASIC011579	AGAP001217
OG0001607	ASIC018114	AGAP011904
OG0001608	ASIC018110	AGAP011907
OG0001609	ASIC018111	AGAP011906
OG0001610	ASIC018681	AGAP006344
OG0001611	ASIC016406	AGAP005412
OG0001612	ASIC004984, ASIC004985	AGAP029645
OG0001613	ASIC005001	AGAP011736
OG0001614	ASIC005020	AGAP011659
OG0001615	ASIC010554	AGAP002533
OG0001616	ASIC017941	AGAP028108, AGAP028157
OG0001617	ASIC011165	AGAP003410
OG0001618	ASIC000526, ASIC000527	AGAP002543
OG0001619	ASIC005318	AGAP008666
OG0001620	ASIC005289	AGAP008674
OG0001621	ASIC007463	AGAP007871
OG0001622	ASIC015517	AGAP011444, AGAP012608
OG0001624	ASIC006686, ASIC006685	AGAP009183
OG0001625	ASIC013298, ASIC013304	AGAP001495
OG0001626	ASIC010817	AGAP009053
OG0001627	ASIC021043	AGAP002465
OG0001628	ASIC016379	AGAP005810
OG0001629	ASIC019785, ASIC019784	AGAP007480
OG0001630	ASIC003980	AGAP011656, AGAP011657, AGAP000355
OG0001631	ASIC011969	AGAP002392
OG0001632	ASIC016508, ASIC016507	AGAP005010
OG0001633	ASIC006607	AGAP008771, AGAP012796
OG0001634	ASIC007235	AGAP009506
OG0001635	ASIC011328, ASIC011800, ASIC011330	AGAP013455
OG0001636	ASIC011232	AGAP003739
OG0001637	ASIC010725	AGAP008862
OG0001638	ASIC007152	AGAP009549
OG0001639	ASIC006691	AGAP009188
OG0001640	ASIC010014	AGAP009284
OG0001641	ASIC002912	AGAP007361
OG0001642	ASIC002859	AGAP007379
OG0001643	ASIC009768	AGAP003305
OG0001644	ASIC008247	AGAP001340
OG0001644	ASIC008248	AGAP001341
OG0001645	ASIC004674	AGAP002011
OG0001647	ASIC008327, ASIC008329, ASIC008328	AGAP001886
OG0001648	ASIC008157	AGAP012906, AGAP001911
OG0001649	ASIC007829	AGAP007264
OG0001650	ASIC007672, ASIC007683	AGAP000809
OG0001651	ASIC005168	AGAP008539, AGAP000291
