Orthogroup	AgambiaePEST	AsinensisChina
OG0001728	AGAP011677	ASIC005024
OG0001729	AGAP007859, AGAP007856	ASIC012783
OG0001730	AGAP029989	ASIC016113
OG0001731	AGAP006279	ASIC018716
OG0001732	AGAP004757	ASIC020433, ASIC009368
OG0001733	AGAP004754	ASIC015266, ASIC006784
OG0001734	AGAP002268	ASIC014874
OG0001736	AGAP012787	ASIC020011
OG0001736	AGAP003464	ASIC005502
OG0001737	AGAP010351	ASIC015876
OG0001738	AGAP000463	ASIC006245
OG0001739	AGAP000948	ASIC017141, ASIC015939
OG0001740	AGAP028399	ASIC003010
OG0001742	AGAP000284	ASIC007116
OG0001743	AGAP008838	ASIC010673
OG0001744	AGAP008835	ASIC010670
OG0001745	AGAP008836	ASIC010671
OG0001746	AGAP008834	ASIC010669
OG0001747	AGAP004882, AGAP012660	ASIC010414
OG0001748	AGAP002295	ASIC014865, ASIC014866
OG0001749	AGAP005125	ASIC014904
OG0001750	AGAP000646	ASIC007685, ASIC007686
OG0001751	AGAP011819	ASIC018362
OG0001752	AGAP001652	ASIC004407
OG0001753	AGAP011717	ASIC004236
OG0001754	AGAP011847	ASIC018176
OG0001755	AGAP009650	ASIC009942, ASIC009944
OG0001756	AGAP006328	ASIC018690, ASIC018692
OG0001757	AGAP001653	ASIC019996, ASIC020307
OG0001758	AGAP008916	ASIC014201
OG0001759	AGAP008914	ASIC014157, ASIC014168
OG0001760	AGAP000670	ASIC011226
OG0001761	AGAP000572	ASIC003919
OG0001762	AGAP029815	ASIC009563
OG0001763	AGAP007722	ASIC003781
OG0001764	AGAP006665	ASIC015177
OG0001765	AGAP006669	ASIC015167, ASIC015166
OG0001767	AGAP001422	ASIC009857
OG0001768	AGAP006925	ASIC018840
OG0001769	AGAP001421	ASIC009858
OG0001771	AGAP009680	ASIC005885
OG0001772	AGAP009009	ASIC005879
OG0001773	AGAP001819	ASIC008145
OG0001774	AGAP001810	ASIC008255
OG0001775	AGAP008412	ASIC006442, ASIC006441
OG0001776	AGAP006384	ASIC016592
OG0001777	AGAP008511	ASIC006908
OG0001778	AGAP013121	ASIC003503
OG0001779	AGAP011817	ASIC018358
OG0001780	AGAP011816	ASIC018357
OG0001781	AGAP001584	ASIC021593
OG0001782	AGAP003030	ASIC008028
OG0001784	AGAP007082	ASIC016573
OG0001785	AGAP001658	ASIC015719
OG0001786	AGAP029704	ASIC017660
OG0001787	AGAP000338	ASIC016080
OG0001788	AGAP007210	ASIC016710, ASIC016712
OG0001789	AGAP007209	ASIC016709
OG0001790	AGAP000791	ASIC003950
OG0001791	AGAP002760	ASIC008766
OG0001792	AGAP005789, AGAP005864	ASIC021208
OG0001793	AGAP007001	ASIC021180
OG0001794	AGAP007002	ASIC021181
OG0001795	AGAP000840	ASIC007663
OG0001796	AGAP006045	ASIC012914, ASIC012918
OG0001797	AGAP006408	ASIC007477
OG0001798	AGAP001586	ASIC004899
OG0001799	AGAP002094	ASIC021462, ASIC021463
OG0001800	AGAP008515	ASIC001509
OG0001801	AGAP007374	ASIC019678
OG0001802	AGAP004631	ASIC014309
OG0001803	AGAP000699	ASIC009519
OG0001804	AGAP008155	ASIC014383
OG0001805	AGAP002090	ASIC021473, ASIC021472
OG0001806	AGAP006063	ASIC012948
OG0001807	AGAP008944	ASIC004252
OG0001808	AGAP005243	ASIC021331
OG0001809	AGAP009832	ASIC014535
OG0001810	AGAP009844	ASIC014549, ASIC014550, ASIC011629, ASIC015060
OG0001811	AGAP003766	ASIC004319
OG0001812	AGAP000618	ASIC006309
OG0001813	AGAP007205	ASIC002411
OG0001814	AGAP007204	ASIC002412
OG0001815	AGAP009025	ASIC005845
OG0001816	AGAP007032	ASIC008708, ASIC008709
OG0001817	AGAP029480	ASIC020782, ASIC020783
OG0001818	AGAP005700	ASIC021626
OG0001819	AGAP000389	ASIC009549
OG0001820	AGAP007724	ASIC003777
OG0001821	AGAP006460	ASIC001040, ASIC001032
OG0001822	AGAP029455	ASIC006665
OG0001823	AGAP007510	ASIC019817
OG0001824	AGAP010040, AGAP012657	ASIC002801
OG0001826	AGAP009857	ASIC014583
OG0001827	AGAP029802	ASIC020438
OG0001828	AGAP007775	ASIC014192
OG0001829	AGAP029752, AGAP029751	ASIC008118
OG0001831	AGAP000029	ASIC000567
OG0001832	AGAP011859	ASIC018160
OG0001833	AGAP008807, AGAP008810	ASIC005302
OG0001834	AGAP029579	ASIC016151, ASIC016173
OG0001835	AGAP004572	ASIC021750
OG0001836	AGAP009709	ASIC022013
OG0001836	AGAP009708	ASIC022021, ASIC022016
OG0001837	AGAP004507	ASIC020182
OG0001838	AGAP012123	ASIC019355
OG0001839	AGAP029911	ASIC006749, ASIC006748
OG0001840	AGAP000835, AGAP004972, AGAP004973	ASIC003471
OG0001841	AGAP012771, AGAP007305	ASIC007780
OG0001842	AGAP028640, AGAP012729	ASIC004930
OG0001843	AGAP001690	ASIC007727
OG0001844	AGAP029564	ASIC013647
OG0001845	AGAP029052	ASIC020613
OG0001846	AGAP029630	ASIC012702, ASIC012705
OG0001847	AGAP028004	ASIC006989, ASIC014124
OG0001848	AGAP013441	ASIC005374
OG0001849	AGAP011134	ASIC019284
OG0001850	AGAP029570	ASIC015008
OG0001851	AGAP029498	ASIC013242
OG0001852	AGAP011143	ASIC015215
OG0001853	AGAP010646, AGAP012576	ASIC014486
OG0001854	AGAP011811	ASIC018344
OG0001855	AGAP029584	ASIC019590
OG0001856	AGAP010201	ASIC013509, ASIC013513
OG0001858	AGAP013547, AGAP007493	ASIC019799
OG0001859	AGAP001645	ASIC004396
OG0001860	AGAP003901	ASIC002154
OG0001861	AGAP007608	ASIC010189, ASIC010188
OG0001862	AGAP001583	ASIC021592
OG0001863	AGAP004892	ASIC009132, ASIC010402
OG0001864	AGAP009577	ASIC003186
OG0001865	AGAP000577	ASIC000588
OG0001866	AGAP001608	ASIC008731
OG0001867	AGAP008318	ASIC002720
OG0001868	AGAP002382	ASIC011957, ASIC011955
OG0001869	AGAP010442	ASIC012024
OG0001870	AGAP013204	ASIC021696
OG0001871	AGAP005150	ASIC012346
OG0001872	AGAP002469	ASIC021037
OG0001873	AGAP002553	ASIC021542
OG0001874	AGAP003355	ASIC009436
OG0001875	AGAP005465	ASIC012424
OG0001877	AGAP004446, AGAP004447	ASIC002040
OG0001878	AGAP029127	ASIC006957, ASIC006955, ASIC006954
OG0001879	AGAP011547	ASIC011921
OG0001881	AGAP006994	ASIC021170
OG0001882	AGAP028024	ASIC007238
OG0001882	AGAP007946	ASIC007261
OG0001883	AGAP006089	ASIC002883
OG0001884	AGAP009060	ASIC020748
OG0001885	AGAP003727	ASIC013229
OG0001886	AGAP001083	ASIC003976, ASIC003975
OG0001887	AGAP012187, AGAP000471	ASIC006252
OG0001889	AGAP029657	ASIC009561
OG0001890	AGAP028133, AGAP028598	ASIC005099
OG0001891	AGAP008996	ASIC017267
OG0001892	AGAP013157	ASIC010892
OG0001893	AGAP011965	ASIC014801
OG0001894	AGAP000626	ASIC005224
OG0001895	AGAP007250	ASIC007847
OG0001896	AGAP009890	ASIC014534
OG0001897	AGAP000236	ASIC006362, ASIC006363
OG0001898	AGAP000537	ASIC010238
OG0001899	AGAP008285	ASIC010611
OG0001901	AGAP007792	ASIC004873
OG0001902	AGAP004310	ASIC014059
OG0001905	AGAP001064	ASIC007571
OG0001906	AGAP003678	ASIC003552
OG0001907	AGAP011720	ASIC004244, ASIC004243
OG0001908	AGAP002554	ASIC021541
OG0001909	AGAP008090	ASIC006929
OG0001910	AGAP010359	ASIC015878, ASIC015879
OG0001912	AGAP011746	ASIC018298, ASIC018297
OG0001913	AGAP000620	ASIC005230
OG0001914	AGAP005030	ASIC016511, ASIC016522
OG0001915	AGAP003118	ASIC013236
OG0001916	AGAP013266	ASIC012531
OG0001917	AGAP001974	ASIC004591
OG0001918	AGAP000850	ASIC016928
OG0001919	AGAP005658	ASIC012967
OG0001920	AGAP001814	ASIC008312
OG0001921	AGAP003258	ASIC009225
OG0001922	AGAP028455	ASIC016607
OG0001922	AGAP006377	ASIC016606
OG0001923	AGAP007137	ASIC005465, ASIC018679
OG0001924	AGAP009950	ASIC009960
OG0001925	AGAP000023	ASIC017116
OG0001926	AGAP013491, AGAP000629	ASIC007667
OG0001927	AGAP006973, AGAP006972	ASIC021149
OG0001928	AGAP007089	ASIC010994, ASIC010995
OG0001929	AGAP000619	ASIC017135
OG0001930	AGAP005647	ASIC018934
OG0001931	AGAP000949	ASIC017142
OG0001933	AGAP002256	ASIC010074
OG0001934	AGAP005438	ASIC003097
OG0001935	AGAP008692	ASIC002642
OG0001937	AGAP007349	ASIC019720
OG0001938	AGAP012255	ASIC019487
OG0001939	AGAP001231	ASIC011519
OG0001940	AGAP001015	ASIC020414
OG0001941	AGAP000334	ASIC004459
OG0001942	AGAP005165	ASIC012314
OG0001943	AGAP001726	ASIC006172
OG0001944	AGAP011812	ASIC018346
OG0001945	AGAP013210	ASIC017118, ASIC017115, ASIC017119
OG0001946	AGAP000932	ASIC004412
OG0001948	AGAP028653	ASIC020352
OG0001949	AGAP009514	ASIC007223
OG0001950	AGAP006260	ASIC018763
OG0001951	AGAP012764, AGAP009389	ASIC006483
OG0001952	AGAP006151	ASIC016664, ASIC016674
OG0001953	AGAP029520	ASIC018764
OG0001954	AGAP007005	ASIC021195, ASIC021185
OG0001955	AGAP013739, AGAP013762	ASIC017365, ASIC017366
OG0001956	AGAP000430	ASIC006304
OG0001957	AGAP005680	ASIC012991
OG0001958	AGAP011170	ASIC015940
OG0001959	AGAP029626	ASIC002843
OG0001960	AGAP002006	ASIC004698
OG0001961	AGAP009497	ASIC007253
OG0001962	AGAP010265	ASIC013443
OG0001963	AGAP012921, AGAP009575	ASIC012780
OG0001964	AGAP006415	ASIC002077
OG0001965	AGAP011779	ASIC018334
OG0001968	AGAP004774	ASIC011281
OG0001969	AGAP007155	ASIC019240
OG0001970	AGAP002949	ASIC020957
OG0001971	AGAP011375	ASIC020075
OG0001972	AGAP004784	ASIC014975
OG0001973	AGAP029708, AGAP029707	ASIC014644, ASIC014647, ASIC014646
OG0001974	AGAP013397	ASIC006809, ASIC006810, ASIC006808
OG0001975	AGAP029549	ASIC016307
OG0001976	AGAP001696	ASIC002837
OG0001977	AGAP000185	ASIC007593, ASIC007592
OG0001978	AGAP008247, AGAP012476	ASIC013183
OG0001979	AGAP003872	ASIC021431
OG0001980	AGAP000275	ASIC007105
OG0001981	AGAP029553	ASIC004738, ASIC005416, ASIC005417
OG0001982	AGAP000385	ASIC009559
OG0001983	AGAP009064, AGAP000441	ASIC000726
OG0001984	AGAP011303, AGAP011305	ASIC007908
OG0001986	AGAP005745	ASIC018430
OG0001986	AGAP005746	ASIC018431
OG0001988	AGAP028078	ASIC009310
OG0001988	AGAP028062	ASIC009309
OG0001991	AGAP013093	ASIC015307
OG0001997	AGAP001767	ASIC008026
OG0001997	AGAP000935	ASIC005202
OG0001998	AGAP029390	ASIC018519
OG0001998	AGAP000281	ASIC007113
OG0002000	AGAP010602, AGAP010604	ASIC017876
OG0002008	AGAP013203	ASIC009736
OG0002010	AGAP013373	ASIC009445
OG0002011	AGAP029179	ASIC003541
OG0002011	AGAP013425	ASIC003529
OG0002013	AGAP009111, AGAP009390, AGAP009391	ASIC006460
OG0002014	AGAP006007, AGAP006008, AGAP006003, AGAP006004	ASIC011677, ASIC011676
OG0002016	AGAP029868	ASIC022292
OG0002016	AGAP010682	ASIC022293
OG0002018	AGAP029150, AGAP029182, AGAP029134, AGAP029164	ASIC005818, ASIC005816, ASIC005815, ASIC005819
OG0002027	AGAP003346, AGAP012877	ASIC003238
OG0002028	AGAP002921	ASIC004635
OG0002029	AGAP002919	ASIC004624
OG0002030	AGAP013354	ASIC003349, ASIC003350
OG0002031	AGAP006662	ASIC018682
OG0002032	AGAP004459	ASIC002958
OG0002033	AGAP028610	ASIC011378, ASIC011377
OG0002034	AGAP012746, AGAP003514	ASIC012000
OG0002035	AGAP003331	ASIC021027
OG0002036	AGAP012981, AGAP003200	ASIC000810
OG0002037	AGAP004727	ASIC011301
OG0002038	AGAP001099	ASIC021827
OG0002039	AGAP010449, AGAP010447	ASIC002947
OG0002041	AGAP012610, AGAP012481	ASIC005413
OG0002043	AGAP005228	ASIC016092
OG0002044	AGAP000069	ASIC020314
OG0002045	AGAP000360	ASIC003997
OG0002046	AGAP010681	ASIC022294
OG0002047	AGAP006671	ASIC015164
OG0002048	AGAP012853, AGAP012137	ASIC019373
OG0002049	AGAP028154	ASIC022323
OG0002050	AGAP006571	ASIC019555
OG0002051	AGAP002138	ASIC021402
OG0002052	AGAP011085	ASIC019453
OG0002053	AGAP006574	ASIC019558
OG0002054	AGAP012403	ASIC017988
OG0002056	AGAP013233	ASIC014046
OG0002057	AGAP003548	ASIC001072
OG0002058	AGAP002085	ASIC021480
OG0002059	AGAP004434	ASIC020254
OG0002060	AGAP003547	ASIC001073, ASIC001075
OG0002061	AGAP013167	ASIC021479
OG0002062	AGAP002725	ASIC008087
OG0002063	AGAP003232	ASIC021534, ASIC021535
OG0002064	AGAP028415	ASIC005023
OG0002065	AGAP011319	ASIC007917
OG0002066	AGAP011324	ASIC022139, ASIC007889
OG0002067	AGAP012751, AGAP001609	ASIC008733
OG0002068	AGAP001603	ASIC008782, ASIC008781
OG0002069	AGAP009733	ASIC022124
OG0002070	AGAP011984	ASIC013018
OG0002071	AGAP012394, AGAP012395	ASIC018214
OG0002072	AGAP004371, AGAP012860	ASIC021729
OG0002073	AGAP006657	ASIC021275
OG0002074	AGAP006658	ASIC021271
OG0002075	AGAP006660	ASIC021274
OG0002076	AGAP006659	ASIC021272
OG0002077	AGAP011858	ASIC018161
OG0002078	AGAP002603	ASIC021866
OG0002079	AGAP002601	ASIC021930
OG0002080	AGAP013296	ASIC021867
OG0002081	AGAP011762	ASIC018312
OG0002082	AGAP010928	ASIC015286
OG0002083	AGAP012368	ASIC018021
OG0002084	AGAP004292	ASIC005781
OG0002085	AGAP005761	ASIC018454
OG0002086	AGAP011900	ASIC018129
OG0002087	AGAP010595	ASIC017914
OG0002088	AGAP010558	ASIC006000
OG0002090	AGAP010613, AGAP010612	ASIC017867
OG0002091	AGAP005762	ASIC018456, ASIC018455
OG0002092	AGAP011897	ASIC018125
OG0002093	AGAP009822	ASIC017181
OG0002094	AGAP028580, AGAP012019	ASIC017936
OG0002095	AGAP003294	ASIC007719
OG0002096	AGAP005803	ASIC016402
OG0002097	AGAP005800	ASIC016405
OG0002098	AGAP002021	ASIC004650
OG0002099	AGAP002193	ASIC001246
OG0002100	AGAP003003	ASIC005556
OG0002101	AGAP002672	ASIC013962
OG0002102	AGAP029803	ASIC014056
OG0002103	AGAP000631	ASIC007670
OG0002104	AGAP012251	ASIC022330
OG0002105	AGAP009841	ASIC014546
OG0002106	AGAP009620	ASIC006877
OG0002107	AGAP009619	ASIC006879
OG0002108	AGAP008652	ASIC008629
OG0002109	AGAP004834	ASIC001854, ASIC001856
OG0002110	AGAP010204	ASIC016203
OG0002111	AGAP009702	ASIC022024
OG0002112	AGAP000874	ASIC009627
OG0002113	AGAP009004	ASIC005908
OG0002114	AGAP006088	ASIC002871
OG0002115	AGAP004942	ASIC016066
OG0002116	AGAP005606	ASIC002426
OG0002117	AGAP005600	ASIC002449
OG0002118	AGAP004863	ASIC014936
OG0002119	AGAP006968, AGAP006115	ASIC021143
OG0002120	AGAP000046	ASIC005250
OG0002121	AGAP009364, AGAP009376	ASIC006671
OG0002121	AGAP029881	ASIC022374
OG0002122	AGAP012523	ASIC010254, ASIC013901
OG0002123	AGAP007325	ASIC007755
OG0002124	AGAP005141	ASIC000961
OG0002125	AGAP009136	ASIC015819
OG0002126	AGAP005325	ASIC000959
OG0002127	AGAP005111	ASIC014918
OG0002128	AGAP007395	ASIC019705, ASIC019707
OG0002129	AGAP007418	ASIC019737
OG0002130	AGAP007400	ASIC019714
OG0002131	AGAP007405, AGAP007402	ASIC019715
OG0002132	AGAP007399	ASIC019713
OG0002133	AGAP007450	ASIC019760, ASIC019759
OG0002134	AGAP005309, AGAP000633	ASIC007671
OG0002135	AGAP008881	ASIC010759
OG0002136	AGAP008302	ASIC010608
OG0002137	AGAP009930	ASIC014649
OG0002138	AGAP007849	ASIC012823
OG0002139	AGAP008353	ASIC013576
OG0002140	AGAP010209	ASIC016191
OG0002141	AGAP008312	ASIC015744
OG0002142	AGAP008882	ASIC010760, ASIC010761
OG0002143	AGAP011562	ASIC019340, ASIC002840
OG0002144	AGAP011573	ASIC010953
OG0002145	AGAP029534	ASIC020567
OG0002146	AGAP007586	ASIC010207
OG0002150	AGAP007598	ASIC010178
OG0002151	AGAP007618	ASIC010199
OG0002152	AGAP007593	ASIC010176
OG0002153	AGAP008728	ASIC006529
OG0002154	AGAP007809	ASIC003166
OG0002156	AGAP008246, AGAP012477	ASIC013182
OG0002157	AGAP006014	ASIC013249, ASIC011665
OG0002158	AGAP012763, AGAP005056	ASIC016147
OG0002159	AGAP005051, AGAP012825	ASIC016158
OG0002160	AGAP009019	ASIC005907
OG0002161	AGAP008711	ASIC006502
OG0002162	AGAP009020	ASIC005909
OG0002163	AGAP008359	ASIC013595
OG0002164	AGAP008705	ASIC006489
OG0002165	AGAP007778	ASIC014180
OG0002166	AGAP010210	ASIC016190
OG0002167	AGAP010137, AGAP010136	ASIC017363
OG0002168	AGAP007781	ASIC014172, ASIC014173
OG0002169	AGAP007780	ASIC014175, ASIC014177
OG0002170	AGAP010139	ASIC017385
OG0002171	AGAP009834	ASIC014537
OG0002172	AGAP010138	ASIC017374
OG0002173	AGAP009144	ASIC015855, ASIC015859
OG0002174	AGAP008985	ASIC015765
OG0002175	AGAP009146	ASIC015862
OG0002176	AGAP009156	ASIC015758
OG0002177	AGAP011523	ASIC010305
OG0002178	AGAP011521	ASIC010323
OG0002179	AGAP008048	ASIC006967
OG0002180	AGAP008064	ASIC006946
OG0002181	AGAP008044	ASIC006978
OG0002182	AGAP008086	ASIC006962
OG0002183	AGAP008084	ASIC006984
OG0002184	AGAP003394	ASIC011348, ASIC011347
OG0002185	AGAP003856	ASIC019987
OG0002186	AGAP001430	ASIC009871
OG0002187	AGAP003099	ASIC005548
OG0002188	AGAP003098	ASIC005547
OG0002189	AGAP000622	ASIC017009
OG0002190	AGAP009307	ASIC012115
OG0002191	AGAP008195	ASIC006119, ASIC004492
OG0002192	AGAP009306	ASIC006854
OG0002193	AGAP029408, AGAP008481	ASIC006085
OG0002194	AGAP006446	ASIC010661
OG0002195	AGAP005939	ASIC006826, ASIC015187
OG0002196	AGAP006445	ASIC010660, ASIC009424
OG0002197	AGAP012425	ASIC017994
OG0002198	AGAP010956	ASIC020897, ASIC020896
OG0002199	AGAP010728	ASIC000166
OG0002200	AGAP007145	ASIC016662
OG0002201	AGAP005344	ASIC011783
OG0002202	AGAP005347	ASIC011776
OG0002203	AGAP006945	ASIC011768
OG0002204	AGAP000056	ASIC020338
OG0002205	AGAP007143	ASIC016661
OG0002206	AGAP005346	ASIC011778
OG0002207	AGAP009811	ASIC017189
OG0002208	AGAP009662	ASIC005717, ASIC005716
OG0002209	AGAP009685	ASIC010450
OG0002210	AGAP008837	ASIC010672
OG0002211	AGAP005763	ASIC018457
OG0002212	AGAP004384, AGAP012507	ASIC012834
OG0002213	AGAP003081	ASIC014686
OG0002214	AGAP011412	ASIC002967
OG0002215	AGAP000779	ASIC005356
OG0002216	AGAP005155	ASIC012340
OG0002217	AGAP007168	ASIC007862
OG0002218	AGAP007841	ASIC007958
OG0002219	AGAP000788	ASIC005214
OG0002220	AGAP004068	ASIC003502
OG0002221	AGAP001638	ASIC004404
OG0002222	AGAP001636	ASIC013406
OG0002223	AGAP010471	ASIC009321
OG0002224	AGAP002985	ASIC005338
OG0002225	AGAP012322	ASIC018378
OG0002226	AGAP011797	ASIC017768
OG0002227	AGAP004261	ASIC020108
OG0002228	AGAP029971, AGAP029972	ASIC009316
OG0002229	AGAP012317	ASIC018388
OG0002230	AGAP008749	ASIC006570
OG0002232	AGAP001749	ASIC012482
OG0002233	AGAP007706	ASIC003803
OG0002234	AGAP005578	ASIC018832
OG0002235	AGAP004413, AGAP004427	ASIC020246
OG0002236	AGAP002605	ASIC021864
OG0002237	AGAP002400	ASIC011984
OG0002238	AGAP002913	ASIC004264
OG0002239	AGAP002908	ASIC008778
OG0002240	AGAP001417	ASIC009868
OG0002241	AGAP002653	ASIC013989
OG0002242	AGAP012819, AGAP004394	ASIC012644
OG0002243	AGAP010635, AGAP010662, AGAP010415	ASIC002170
OG0002244	AGAP001043	ASIC006254
OG0002245	AGAP029936	ASIC012060
OG0002246	AGAP001040	ASIC006255
OG0002247	AGAP001745	ASIC012488
OG0002248	AGAP013500	ASIC015312
OG0002249	AGAP007147	ASIC017046
OG0002250	AGAP003466	ASIC020015, ASIC020014
OG0002251	AGAP003472, AGAP003467	ASIC020017
OG0002252	AGAP003465	ASIC020013
OG0002253	AGAP011637	ASIC020516
OG0002254	AGAP001438	ASIC008970, ASIC008969
OG0002255	AGAP012837, AGAP004100	ASIC002560
OG0002256	AGAP001434	ASIC008976
OG0002257	AGAP003367, AGAP012823	ASIC021687
OG0002258	AGAP003930	ASIC014718
OG0002259	AGAP000819	ASIC020458
OG0002260	AGAP000754	ASIC007614
OG0002261	AGAP005742	ASIC018422
OG0002262	AGAP006413	ASIC010469
OG0002263	AGAP006410	ASIC010460
OG0002264	AGAP005743	ASIC018427
OG0002265	AGAP005343	ASIC011784
OG0002266	AGAP000145	ASIC017061
OG0002267	AGAP006780	ASIC019662
OG0002268	AGAP010557	ASIC005984
OG0002269	AGAP028584, AGAP010555	ASIC005983
OG0002270	AGAP012028	ASIC005100
OG0002271	AGAP010575	ASIC005986
OG0002272	AGAP010556	ASIC005985
OG0002273	AGAP011745	ASIC018296
OG0002275	AGAP003405	ASIC011148
OG0002276	AGAP010181	ASIC007520
OG0002277	AGAP004103	ASIC002572
OG0002278	AGAP004107	ASIC002724
OG0002279	AGAP004104	ASIC002571
OG0002280	AGAP001723	ASIC006169
OG0002281	AGAP001716	ASIC013797
OG0002282	AGAP005283	ASIC010435
OG0002283	AGAP009868	ASIC012038
OG0002284	AGAP005290	ASIC010442, ASIC010444
OG0002285	AGAP009266	ASIC017303
OG0002286	AGAP009161	ASIC006645
OG0002287	AGAP009163	ASIC006647
OG0002288	AGAP009162	ASIC006646
OG0002289	AGAP005269	ASIC018649, ASIC018645
OG0002290	AGAP005281	ASIC009573, ASIC010433
OG0002291	AGAP009032	ASIC008587
OG0002292	AGAP011306	ASIC007907
OG0002293	AGAP004724	ASIC011292
OG0002294	AGAP008149	ASIC014393
OG0002295	AGAP008150	ASIC014391
OG0002296	AGAP008166	ASIC014370
OG0002297	AGAP000714	ASIC009676
OG0002298	AGAP001942	ASIC008215
OG0002299	AGAP001872	ASIC008306
OG0002300	AGAP001939	ASIC008212
OG0002301	AGAP001865	ASIC008296
OG0002302	AGAP002124	ASIC003284
OG0002304	AGAP011842	ASIC018180
OG0002305	AGAP029957	ASIC005594
OG0002306	AGAP011948	ASIC018042
OG0002307	AGAP028630	ASIC018053
OG0002308	AGAP007391	ASIC019701
OG0002309	AGAP007728	ASIC003770
OG0002310	AGAP004758	ASIC011269
OG0002311	AGAP001615	ASIC012554, ASIC012555
OG0002312	AGAP006386	ASIC010993
OG0002313	AGAP012887, AGAP012088	ASIC017979
OG0002314	AGAP008839	ASIC010674
OG0002315	AGAP012119	ASIC019351
OG0002316	AGAP012120	ASIC019352
OG0002317	AGAP008845	ASIC010685
OG0002318	AGAP007740	ASIC017653
OG0002319	AGAP008844	ASIC010684
OG0002320	AGAP008847	ASIC010687
OG0002322	AGAP003573	ASIC010914
OG0002323	AGAP006472	ASIC000287
OG0002325	AGAP003050	ASIC013807
OG0002326	AGAP001464	ASIC012179
OG0002328	AGAP009907	ASIC014614
OG0002329	AGAP001468	ASIC012174
OG0002330	AGAP006648	ASIC019643, ASIC019654
OG0002331	AGAP003707	ASIC020931
OG0002332	AGAP003424	ASIC010499
OG0002333	AGAP003706	ASIC020932
OG0002334	AGAP003700	ASIC020940
OG0002335	AGAP003705	ASIC020933
OG0002336	AGAP013281	ASIC020937, ASIC020936
OG0002337	AGAP000264	ASIC010283
OG0002338	AGAP004736	ASIC009556
OG0002339	AGAP010750	ASIC015352
OG0002340	AGAP001752	ASIC013306
OG0002341	AGAP001757	ASIC013312
OG0002342	AGAP001685	ASIC009779
OG0002343	AGAP003539	ASIC021223
OG0002344	AGAP002779	ASIC012532
OG0002345	AGAP012067	ASIC018261, ASIC018262
OG0002347	AGAP011832	ASIC018191
OG0002348	AGAP003781	ASIC004325
OG0002349	AGAP003220	ASIC021518
OG0002350	AGAP002970	ASIC011104
OG0002351	AGAP003789, AGAP012547	ASIC009921
OG0002352	AGAP000834	ASIC007654
OG0002353	AGAP000374	ASIC009591, ASIC015326
OG0002354	AGAP000426	ASIC003973
OG0002355	AGAP012346	ASIC004931
OG0002356	AGAP003208	ASIC021496
OG0002357	AGAP002260	ASIC010108
OG0002359	AGAP003207	ASIC021495
OG0002360	AGAP005567	ASIC018824
OG0002361	AGAP005895	ASIC012405
OG0002362	AGAP007979	ASIC013622
OG0002363	AGAP010155, AGAP010156	ASIC017364
OG0002364	AGAP004134	ASIC006141
OG0002365	AGAP007983	ASIC013631
OG0002366	AGAP008723	ASIC006517
OG0002367	AGAP001139	ASIC011485
OG0002368	AGAP008819	ASIC008520, ASIC008531
OG0002369	AGAP010406	ASIC009313
OG0002370	AGAP012773, AGAP010419	ASIC002175
OG0002371	AGAP012281	ASIC017836
OG0002372	AGAP003527, AGAP012869	ASIC008412
OG0002373	AGAP010552	ASIC005978
OG0002374	AGAP010074	ASIC012855
OG0002375	AGAP011165	ASIC004772
OG0002376	AGAP010590	ASIC017921
OG0002377	AGAP011148, AGAP011146	ASIC004763
OG0002378	AGAP011164	ASIC004771
OG0002379	AGAP011155	ASIC004754
OG0002381	AGAP011147, AGAP011145	ASIC004774
OG0002382	AGAP004723	ASIC011305
OG0002383	AGAP001802	ASIC000807
OG0002384	AGAP001712	ASIC004856
OG0002385	AGAP002114	ASIC015007
OG0002386	AGAP009432	ASIC007365
OG0002387	AGAP009433	ASIC007364
OG0002388	AGAP008640	ASIC014123
OG0002389	AGAP009610	ASIC006890
OG0002390	AGAP004498	ASIC020170
OG0002391	AGAP001396	ASIC020823
OG0002392	AGAP004496	ASIC020168
OG0002393	AGAP006511	ASIC019906
OG0002395	AGAP000868	ASIC009156, ASIC004465
OG0002396	AGAP028503, AGAP003179	ASIC016864
OG0002397	AGAP006387	ASIC010992
OG0002398	AGAP002654	ASIC013987
OG0002399	AGAP003180	ASIC016875
OG0002401	AGAP008536	ASIC009075
OG0002402	AGAP028045	ASIC006470
OG0002403	AGAP008537	ASIC009086
OG0002404	AGAP008766	ASIC006598
OG0002405	AGAP009837, AGAP009836	ASIC014541
OG0002406	AGAP010129	ASIC010155
OG0002407	AGAP010123	ASIC010140
OG0002407	AGAP010124	ASIC010142
OG0002408	AGAP010131	ASIC010157
OG0002409	AGAP010539	ASIC015515
OG0002410	AGAP010534	ASIC015582
OG0002411	AGAP010540	ASIC015504
OG0002412	AGAP010536	ASIC015548
OG0002414	AGAP006599	ASIC017442
OG0002415	AGAP004558	ASIC021870
OG0002416	AGAP006889	ASIC000414, ASIC013785
OG0002417	AGAP006435	ASIC002709
OG0002418	AGAP009948, AGAP006895	ASIC003259
OG0002419	AGAP010051	ASIC020540
OG0002420	AGAP010056	ASIC012868
OG0002421	AGAP010965, AGAP010963	ASIC020906
OG0002422	AGAP008812, AGAP028100	ASIC005299
OG0002423	AGAP012606, AGAP012632	ASIC002626
OG0002424	AGAP008806	ASIC005304
