Orthogroup	AgambiaePEST	Aalbopictus_AalbF5
OG0000812	AGAP003971	LOC109397309, LOC115260908
OG0000812	AGAP011919	LOC109399650
OG0000813	AGAP008443	LOC109432481
OG0000814	AGAP010341	LOC109408708, LOC115270935, LOC109623118
OG0000815	AGAP010943	LOC109622218, LOC115267928, LOC109431594, LOC115268157
OG0000816	AGAP004386, AGAP012509	LOC134289436, LOC134290611, LOC109432189
OG0000817	AGAP011557, AGAP000616	LOC109409415
OG0000818	AGAP028003	LOC109403459
OG0000820	AGAP011992	LOC134289784, LOC109431559, LOC115267921
OG0000821	AGAP000625	LOC109416561, LOC109416543
OG0000822	AGAP003562, AGAP003565, AGAP003566	LOC115261472, LOC109427214
OG0000823	AGAP028539	LOC109398036
OG0000824	AGAP011332	LOC109431321
OG0000824	AGAP004764	LOC109431319
OG0000825	AGAP001683	LOC109414942
OG0000826	AGAP009564, AGAP000260, AGAP005098	LOC109427745
OG0000827	AGAP011053	LOC109407627, LOC115256953
OG0000828	AGAP000606	LOC109402179, LOC109397612
OG0000829	AGAP000315	LOC115254222, LOC109397206
OG0000829	AGAP000571	LOC109404727
OG0000830	AGAP001740	LOC109403994, LOC109432040, LOC109403982, LOC109432039
OG0000831	AGAP010130	LOC134287875, LOC134287869
OG0000832	AGAP002443, AGAP002444	LOC115263972
OG0000833	AGAP003646, AGAP013307	LOC109400918, LOC109429315
OG0000834	AGAP010147	LOC109429391, LOC109402113, LOC109412105
OG0000835	AGAP012971, AGAP013467	LOC134291987, LOC109415804
OG0000836	AGAP009105	LOC109430154
OG0000836	AGAP009104	LOC109430157
OG0000837	AGAP012441	LOC109416502
OG0000838	AGAP004901, AGAP000627	LOC109415565
OG0000839	AGAP002417	LOC115255254, LOC109398228
OG0000840	AGAP012501	LOC134291248
OG0000842	AGAP009192, AGAP009193	LOC109417693
OG0000843	AGAP002475	LOC109415209, LOC109423491
OG0000844	AGAP013024, AGAP001024	LOC115269572, LOC115254854
OG0000845	AGAP013197, AGAP029340	LOC115265786, LOC109418023, LOC109418018
OG0000846	AGAP002313	LOC109423234
OG0000847	AGAP000162	LOC109427518
OG0000847	AGAP012897	LOC109427466
OG0000849	AGAP013329, AGAP001449	LOC109429212
OG0000850	AGAP000927	LOC109422051
OG0000853	AGAP007014, AGAP007016, AGAP007015	LOC109430966, LOC109430951
OG0000854	AGAP006794	LOC115269852, LOC109405120
OG0000855	AGAP000540	LOC115253665
OG0000856	AGAP007365, AGAP007364	LOC109399245
OG0000857	AGAP004407	LOC109413324
OG0000858	AGAP003059	LOC109430353, LOC115267652
OG0000859	AGAP010437	LOC109415843, LOC109418743
OG0000860	AGAP000979	LOC109408950
OG0000861	AGAP011930	LOC109404460
OG0000861	AGAP028679	LOC109418895
OG0000862	AGAP006723, AGAP006700	LOC109420860
OG0000863	AGAP007484	LOC134287500
OG0000864	AGAP008025	LOC134287582
OG0000865	AGAP000990, AGAP009027	LOC109412170
OG0000866	AGAP007012	LOC109430912
OG0000867	AGAP002707, AGAP002708	LOC109406888
OG0000868	AGAP006111	LOC109430789
OG0000869	AGAP006009, AGAP006011, AGAP006010	LOC109399160
OG0000870	AGAP010182, AGAP029955, AGAP000200	LOC109422027
OG0000871	AGAP009670	LOC109409278
OG0000872	AGAP000669, AGAP007630	LOC109415590
OG0000873	AGAP005131	LOC115259327, LOC109407944
OG0000874	AGAP008919	LOC115258615, LOC109414353
OG0000875	AGAP000147	LOC109397203
OG0000876	AGAP003300	LOC115259484
OG0000877	AGAP004084, AGAP012563, AGAP004307	LOC109623040
OG0000878	AGAP005013, AGAP005012, AGAP012568, AGAP012567	LOC109416487
OG0000879	AGAP008088	LOC134287710, LOC109419955
OG0000880	AGAP006926	LOC115257986, LOC109412548, LOC109412559
OG0000881	AGAP002411	LOC134292250, LOC109432399, LOC115269272
OG0000882	AGAP011111	LOC109428958, LOC134284482
OG0000883	AGAP005755	LOC109410282
OG0000884	AGAP010410	LOC134292001, LOC109402124
OG0000885	AGAP013481	LOC109403870
OG0000886	AGAP006634, AGAP006636	LOC115253623
OG0000887	AGAP007308, AGAP001496	LOC109429899
OG0000888	AGAP008859	LOC109411294
OG0000889	AGAP029898	LOC109424340
OG0000890	AGAP002296, AGAP013171	LOC109417328, LOC109623185
OG0000891	AGAP013342	LOC109429101
OG0000891	AGAP003849	LOC109429102
OG0000893	AGAP002924	LOC115253707
OG0000894	AGAP013721, AGAP007854	LOC109420563
OG0000895	AGAP000146	LOC115254223, LOC134284748, LOC109397194
OG0000896	AGAP009247, AGAP009250, AGAP009253, AGAP009248	LOC115254967
OG0000897	AGAP004694	LOC109407883
OG0000900	AGAP000113, AGAP013390	LOC109433641
OG0000901	AGAP011621, AGAP011622	LOC109408340
OG0000902	AGAP000516, AGAP000515	LOC109405106
OG0000903	AGAP029951, AGAP007149	LOC109399718, LOC115265699
OG0000904	AGAP001354, AGAP001355	LOC109398927
OG0000905	AGAP011262, AGAP011256	LOC134286131
OG0000905	AGAP012541	LOC134286631
OG0000906	AGAP006741	LOC109426344
OG0000907	AGAP001721	LOC109412455, LOC134285459
OG0000908	AGAP004135	LOC115264234
OG0000909	AGAP004181	LOC115271075, LOC134283980, LOC115271061
OG0000910	AGAP002793, AGAP002792	LOC109398826
OG0000911	AGAP000597	LOC109415236
OG0000913	AGAP004531	LOC109413157, LOC134284833, LOC109402651, LOC134284834, LOC134288308, LOC109413169
OG0000914	AGAP001085	LOC115267818, LOC109427985, LOC109403536
OG0000940	AGAP008009	LOC109420679
OG0000941	AGAP002084	LOC109427263
OG0000942	AGAP003233, AGAP013304	LOC109433416, LOC115257322
OG0000943	AGAP011871	LOC109420299, LOC109416793
OG0000944	AGAP001824	LOC109399785
OG0000945	AGAP000595, AGAP000596	LOC109403566
OG0000946	AGAP008308	LOC109401384, LOC134287951
OG0000947	AGAP010467	LOC109431530, LOC115257508
OG0000948	AGAP007818, AGAP028144	LOC109419064
OG0000949	AGAP012478, AGAP008245	LOC109402335
OG0000950	AGAP008444	LOC109421235
OG0000950	AGAP029401	LOC115265524
OG0000951	AGAP005945, AGAP005944	LOC115261050
OG0000952	AGAP001073	LOC109432985
OG0000953	AGAP000196	LOC109398420, LOC109409416
OG0000954	AGAP000801	LOC109398396, LOC115260031
OG0000955	AGAP001634	LOC109419793, LOC109425332, LOC109419787, LOC115259537
OG0000956	AGAP007944, AGAP007696	LOC109401226, LOC109621887
OG0000957	AGAP007692	LOC115267122, LOC109410200
OG0000958	AGAP011060, AGAP000812	LOC109416544
OG0000959	AGAP002018	LOC109419225
OG0000960	AGAP029991	LOC109419243
OG0000961	AGAP006414	LOC109414235
OG0000962	AGAP003415	LOC109430338, LOC134286626
OG0000963	AGAP001866	LOC109399713
OG0000964	AGAP011434, AGAP011435	LOC109399631
OG0000965	AGAP005461	LOC115270143, LOC134285661
OG0000966	AGAP010696	LOC109422321, LOC109422323
OG0000967	AGAP003788	LOC109406478
OG0000968	AGAP000049	LOC109431125
OG0000969	AGAP004887	LOC134285741, LOC115260841, LOC115261960, LOC134288856, LOC109416926
OG0000970	AGAP001011	LOC134284886, LOC134284891
OG0000972	AGAP009182	LOC109428891, LOC109397524, LOC115258581
OG0000973	AGAP004494	LOC109400410, LOC134283973
OG0000974	AGAP009320, AGAP008439	LOC109429695
OG0000975	AGAP005933	LOC109420491, LOC109402579, LOC109402586
OG0000976	AGAP029512	LOC109409684
OG0000977	AGAP029767	LOC109419129
OG0000978	AGAP009558, AGAP009559	LOC115255109
OG0000979	AGAP012765, AGAP012623, AGAP009576, AGAP009581	LOC109408318
OG0000980	AGAP001698, AGAP000400	LOC109431120
OG0000982	AGAP000431	LOC109422812, LOC134285200
OG0000983	AGAP003689	LOC115257625
OG0000983	AGAP003691	LOC109430290
OG0000984	AGAP005722, AGAP005720	LOC109621675
OG0000985	AGAP013400, AGAP013189	LOC109402823, LOC115271096
OG0000986	AGAP010499	LOC109405691, LOC109399915, LOC109405647
OG0000987	AGAP009493	LOC109411688
OG0000988	AGAP013738	LOC109398322, LOC109398331, LOC109398282
OG0000989	AGAP010445, AGAP028136	LOC109418806
OG0000990	AGAP009515	LOC109411712
OG0000991	AGAP011442	LOC109424680
OG0000992	AGAP007043	LOC109431737, LOC109424145
OG0000994	AGAP029900	LOC109413053
OG0000995	AGAP010544	LOC109397902
OG0000996	AGAP008341, AGAP009784	LOC109407247
OG0000997	AGAP029116	LOC115254240
OG0000998	AGAP004392	LOC109403247, LOC109425394
OG0000999	AGAP029494	LOC115267533
OG0001000	AGAP011805	LOC109410626
OG0001001	AGAP008897	LOC109410638, LOC109433503
OG0001002	AGAP009550	LOC109411748
OG0001004	AGAP007254	LOC109431947
OG0001005	AGAP000719	LOC109402076
OG0001006	AGAP000876	LOC109427352, LOC109427351
OG0001007	AGAP028064, AGAP028028, AGAP028015	LOC109398853
OG0001008	AGAP011100	LOC109431053
OG0001009	AGAP000327	LOC109427406, LOC109410125
OG0001010	AGAP000761	LOC109428446
OG0001011	AGAP004050	LOC109425486, LOC109399007
OG0001012	AGAP008204, AGAP008203, AGAP012855	LOC109421550
OG0001013	AGAP000663	LOC109405326, LOC134284674
OG0001014	AGAP008719	LOC109403563
OG0001015	AGAP005568, AGAP005570	LOC109426817
OG0001016	AGAP029062	LOC109423112, LOC109419080
OG0001017	AGAP029904	LOC109406871, LOC134284967
OG0001018	AGAP000300	LOC109432961
OG0001019	AGAP012131, AGAP028746, AGAP028748	LOC109431255
OG0001020	AGAP000498, AGAP007024	LOC109422119
OG0001021	AGAP013105	LOC109419157, LOC109427981
OG0001022	AGAP013388, AGAP002847	LOC134287968, LOC134287970
OG0001023	AGAP004963, AGAP004962	LOC115270215
OG0001024	AGAP008878	LOC115255616, LOC115256844
OG0001025	AGAP003767	LOC109422710
OG0001026	AGAP011091	LOC109407505
OG0001027	AGAP029893	LOC115262720
OG0001028	AGAP004059	LOC109398974, LOC115258403
OG0001029	AGAP002589, AGAP000723	LOC115256872, LOC109422006
OG0001030	AGAP029615, AGAP029364	LOC109422466
OG0001031	AGAP011617, AGAP028207	LOC109410546
OG0001032	AGAP011159	LOC109426306, LOC109411963
OG0001033	AGAP012881, AGAP029295	LOC109424634
OG0001034	AGAP003230	LOC109405749
OG0001035	AGAP009121	LOC109430115, LOC115266823, LOC109430134
OG0001036	AGAP009418, AGAP009419, AGAP009416, AGAP009417, AGAP009415	LOC115254170
OG0001037	AGAP008026	LOC109409116
OG0001038	AGAP003215, AGAP003216	LOC109402168
OG0001039	AGAP001572, AGAP001570	LOC109419299
OG0001040	AGAP008408	LOC134288764
OG0001041	AGAP013368	LOC134287945, LOC109398433
OG0001042	AGAP001240	LOC109406257
OG0001043	AGAP013284, AGAP001441	LOC109430472
OG0001044	AGAP006327	LOC109426969
OG0001045	AGAP000523	LOC109416816, LOC109398231
OG0001046	AGAP004529	LOC109412738
OG0001047	AGAP001101	LOC109419295
OG0001048	AGAP012113	LOC109424711, LOC134291622
OG0001049	AGAP010767	LOC109401184
OG0001050	AGAP006718	LOC109431503, LOC109431497
OG0001051	AGAP008514	LOC134285936, LOC109417138, LOC115258522, LOC109417139, LOC115258481
OG0001052	AGAP001012	LOC109402125, LOC109426304, LOC109414782
OG0001053	AGAP002631, AGAP002632	LOC134289431
OG0001054	AGAP009242, AGAP009245	LOC109431822
OG0001055	AGAP007858, AGAP000325	LOC134284918, LOC109397852
OG0001056	AGAP000852	LOC109415291
OG0001056	AGAP001701	LOC109424859
OG0001057	AGAP029770	LOC115267651
OG0001057	AGAP029769	LOC109430321
OG0001058	AGAP004192	LOC109413676, LOC109413675
OG0001059	AGAP012955	LOC109397930, LOC109397925, LOC109622058
OG0001060	AGAP003073, AGAP003074	LOC109423623
OG0001061	AGAP008868	LOC134286357, LOC109411791
OG0001062	AGAP008310	LOC109432868
OG0001063	AGAP003568	LOC109427199
OG0001064	AGAP005989, AGAP005988	LOC109406424
OG0001065	AGAP029508	LOC109415434
OG0001066	AGAP002824	LOC109622760, LOC134285574
OG0001067	AGAP001439, AGAP001444	LOC109398937
OG0001068	AGAP002942	LOC109415536
OG0001069	AGAP013057	LOC115269359
OG0001070	AGAP009820	LOC109419096
OG0001072	AGAP029453	LOC115255409
OG0001073	AGAP000504	LOC109428467
OG0001074	AGAP000082	LOC109397885
OG0001075	AGAP012958	LOC134291882, LOC109622353, LOC109405982
OG0001076	AGAP002083	LOC109431918
OG0001077	AGAP029514	LOC109424682, LOC134284300
OG0001079	AGAP005008	LOC109415153
OG0001080	AGAP011138	LOC109405099
OG0001081	AGAP005661	LOC109404941, LOC134286822
OG0001082	AGAP000323, AGAP029259	LOC109406965
OG0001083	AGAP029492	LOC109409390
OG0001084	AGAP012303	LOC115266894
OG0001085	AGAP010347	LOC109424401
OG0001086	AGAP007181, AGAP029504	LOC109414826
OG0001087	AGAP008077	LOC109420026
OG0001090	AGAP010423, AGAP000099	LOC109422192
OG0001091	AGAP029482	LOC109401617
OG0001092	AGAP001084	LOC134285075, LOC109409419
OG0001095	AGAP008818	LOC115254947
OG0001096	AGAP000862	LOC115260715, LOC115267137
OG0001097	AGAP009293	LOC109409190
OG0001098	AGAP008357	LOC109419910, LOC134287707
OG0001101	AGAP007537	LOC109410008
OG0001102	AGAP006405	LOC109403065
OG0001103	AGAP000189, AGAP028457	LOC109427539
OG0001104	AGAP029676	LOC115260266
OG0001105	AGAP013545, AGAP012949	LOC109405833
OG0001106	AGAP007248	LOC109400621
OG0001107	AGAP002591	LOC109433280
OG0001109	AGAP029774, AGAP029773	LOC109432525
OG0001110	AGAP004835	LOC134286761, LOC109403813
OG0001111	AGAP005057, AGAP028440	LOC109431650
OG0001112	AGAP010930, AGAP029301	LOC109422256
OG0001113	AGAP007008	LOC109415821
OG0001115	AGAP004169	LOC109404189
OG0001123	AGAP029353, AGAP003812	LOC134284832, LOC134286670
OG0001138	AGAP001952	LOC109420901, LOC109425977
OG0001139	AGAP005491	LOC109413847
OG0001139	AGAP029819	LOC109408072
OG0001140	AGAP003481	LOC109400141, LOC109400144
OG0001141	AGAP004081	LOC109400108, LOC115254309, LOC109400127
OG0001142	AGAP012801, AGAP003516, AGAP012661	LOC109430404
OG0001143	AGAP029080, AGAP010798	LOC109405767
OG0001144	AGAP004849	LOC115254213, LOC109417979, LOC109398203
OG0001145	AGAP000254	LOC109424932
OG0001146	AGAP000365	LOC109424953, LOC115256337
OG0001147	AGAP012831, AGAP005672	LOC134288547, LOC109416473
OG0001148	AGAP013270	LOC109401796, LOC115257064
OG0001149	AGAP003235	LOC109433434
OG0001150	AGAP011320	LOC115267983
OG0001151	AGAP009431	LOC109415097, LOC109408543
OG0001152	AGAP013764	LOC109429914
OG0001153	AGAP011654	LOC109408999
OG0001153	AGAP011653	LOC109426467
OG0001154	AGAP011638	LOC115253958
OG0001155	AGAP029506	LOC109408988
OG0001156	AGAP010902	LOC109396997, LOC115268263, LOC109432232, LOC109397010
OG0001157	AGAP028696	LOC109396993, LOC109397000, LOC109397051, LOC109397020
OG0001158	AGAP002487	LOC109411232
OG0001159	AGAP005564	LOC109406167
OG0001160	AGAP000974	LOC109422898
OG0001162	AGAP009384, AGAP028142	LOC109429639
OG0001163	AGAP007819	LOC109408144
OG0001164	AGAP005319	LOC109426660, LOC115260748
OG0001166	AGAP007779	LOC134287911, LOC109433152
OG0001167	AGAP008984	LOC109427842
OG0001168	AGAP012893, AGAP012845, AGAP011531	LOC115254133, LOC115259941
OG0001169	AGAP005400, AGAP005398	LOC109422497
OG0001170	AGAP012873, AGAP005655	LOC109400599, LOC109404937
OG0001171	AGAP002807	LOC109398784
OG0001172	AGAP006383	LOC109402238, LOC115267212
OG0001173	AGAP009936	LOC115254019, LOC109409323
OG0001174	AGAP004230	LOC109423252
OG0001175	AGAP004233	LOC109430199
OG0001176	AGAP002613	LOC109407838, LOC109406699
OG0001177	AGAP001070	LOC109398410, LOC134285080
OG0001178	AGAP000803, AGAP012447	LOC109398429, LOC109400389
OG0001179	AGAP029914	LOC109424163
OG0001180	AGAP007935	LOC109398296
OG0001181	AGAP001799	LOC109431898
OG0001182	AGAP002544	LOC109404407
OG0001183	AGAP002914	LOC115254245
OG0001184	AGAP029537	LOC115260379
OG0001185	AGAP001415	LOC109408324
OG0001186	AGAP003931	LOC109399828, LOC109425278
OG0001187	AGAP011356	LOC115268790, LOC115257806
OG0001188	AGAP003408, AGAP012641	LOC109400071, LOC134285480
OG0001189	AGAP001724	LOC134285458, LOC109430336
OG0001190	AGAP011956	LOC109399858
OG0001191	AGAP010845	LOC109426877, LOC109623336
OG0001192	AGAP009903	LOC109404765
OG0001193	AGAP005862	LOC109622575, LOC134287488
OG0001194	AGAP010700	LOC109422324
OG0001195	AGAP012057	LOC109420175, LOC115265507, LOC115253931
OG0001196	AGAP011188	LOC109402290
OG0001197	AGAP012352	LOC109425930
OG0001198	AGAP001951	LOC115257036, LOC115271087
OG0001199	AGAP000477	LOC109401821
OG0001200	AGAP010150	LOC109429397, LOC109429398
OG0001201	AGAP007978	LOC109429413
OG0001202	AGAP004038	LOC109429357, LOC109399008
OG0001203	AGAP001014	LOC109402653, LOC134284821, LOC134284842, LOC134284829
OG0001204	AGAP004034, AGAP012698	LOC109398994
OG0001205	AGAP009537	LOC109423381, LOC109411733
OG0001206	AGAP003318	LOC115266521, LOC109405943
OG0001207	AGAP004497	LOC109400415, LOC134285561
OG0001208	AGAP010885	LOC109401631
OG0001209	AGAP003164	LOC109412137
OG0001210	AGAP008533	LOC109419765
OG0001211	AGAP010537	LOC109418670
OG0001212	AGAP007458	LOC109413525, LOC109404511
OG0001213	AGAP005696, AGAP005695	LOC115265128
OG0001214	AGAP002353	LOC115267647, LOC109407286, LOC134285833
OG0001215	AGAP008260, AGAP008259, AGAP013767, AGAP008258	LOC109402519
OG0001216	AGAP008431, AGAP008430	LOC109406522
OG0001218	AGAP005299	LOC115264208, LOC109424846
OG0001219	AGAP028461	LOC109397997
OG0001220	AGAP029811	LOC109409965
OG0001221	AGAP004793, AGAP012615	LOC109424732, LOC115262659
OG0001222	AGAP007833	LOC109429370
OG0001223	AGAP007635	LOC109397896, LOC134284903
OG0001224	AGAP009267	LOC109419778
OG0001225	AGAP000797	LOC109422806, LOC109422805
OG0001226	AGAP000317	LOC109423007
OG0001227	AGAP002790	LOC109398837
OG0001228	AGAP013246, AGAP001781	LOC109424084
OG0001229	AGAP005713	LOC109432373
OG0001230	AGAP009528	LOC109421195
OG0001231	AGAP012627, AGAP010733	LOC134289400, LOC109421940
OG0001232	AGAP001704	LOC109425023
OG0001234	AGAP013525, AGAP002485	LOC109411239
OG0001235	AGAP013301	LOC115260549, LOC109429483
OG0001236	AGAP003669	LOC109425430
OG0001237	AGAP028189, AGAP007916	LOC109429816
OG0001238	AGAP013440, AGAP013048	LOC134290013, LOC109431876
OG0001239	AGAP000879	LOC134285050, LOC109402083
OG0001240	AGAP009110	LOC109430111, LOC109430116, LOC109430112
OG0001241	AGAP009290	LOC134287589, LOC109409124
OG0001242	AGAP009605	LOC109409140, LOC109421534
OG0001243	AGAP029440, AGAP000186, AGAP013399, AGAP004515	LOC109411872, LOC109412715
OG0001244	AGAP029658	LOC109407655
OG0001245	AGAP029488	LOC109397845, LOC134284920
OG0001246	AGAP000110	LOC115256389, LOC109422032
OG0001247	AGAP003742	LOC109401126
OG0001248	AGAP002150	LOC109411800, LOC134284657
OG0001249	AGAP001854, AGAP012898	LOC109426998, LOC134289906
OG0001250	AGAP001892	LOC109426285, LOC109426330
OG0001251	AGAP000751	LOC109433013
OG0001252	AGAP007581	LOC109622518, LOC115265421
OG0001253	AGAP007023	LOC109424155
OG0001254	AGAP002151	LOC109428509, LOC115256602, LOC115256201
OG0001255	AGAP009781	LOC109406841
OG0001256	AGAP004013	LOC115267144
OG0001257	AGAP008222	LOC134287600
OG0001258	AGAP028131	LOC115268579, LOC109424235
OG0001259	AGAP028002	LOC109411315, LOC115256778
OG0001260	AGAP009598	LOC134287926
OG0001261	AGAP002798, AGAP002799	LOC109429164
OG0001262	AGAP005245	LOC134288991, LOC109425229
OG0001263	AGAP003414	LOC109427473, LOC115253538
OG0001264	AGAP010563	LOC109623253, LOC134283943
OG0001265	AGAP029808	LOC109397730
OG0001266	AGAP029113	LOC109397755
OG0001267	AGAP009112	LOC115261027
OG0001268	AGAP004883	LOC109427980
OG0001269	AGAP008273	LOC134286042, LOC115265573
OG0001270	AGAP010313	LOC109397767, LOC109428788
OG0001271	AGAP010318, AGAP012525	LOC115254229
OG0001272	AGAP007790	LOC115256865, LOC115256862
OG0001273	AGAP009946	LOC115259235, LOC109419784
OG0001274	AGAP013038, AGAP003771	LOC109422727
OG0001275	AGAP001236	LOC134292068
OG0001276	AGAP009974	LOC109416267, LOC134287628, LOC109423903
OG0001277	AGAP008513	LOC115255477, LOC109416191, LOC109415073
OG0001278	AGAP028510	LOC109425769
OG0001279	AGAP029590	LOC109622238
OG0001280	AGAP001768, AGAP013328	LOC115268747, LOC109425210
OG0001281	AGAP009164	LOC109419875
OG0001282	AGAP012556	LOC115267375, LOC109414779, LOC109403608, LOC134283976
OG0001283	AGAP005145, AGAP005146	LOC109417628
OG0001284	AGAP004645	LOC109423481, LOC109432158
OG0001285	AGAP029625	LOC109431042
OG0001286	AGAP029672, AGAP029671	LOC109431437
OG0001287	AGAP010848	LOC109623370, LOC109623392
OG0001288	AGAP003899	LOC109404970
OG0001289	AGAP006527	LOC115269772
OG0001290	AGAP006530	LOC115253728
OG0001290	AGAP006529	LOC115253648
OG0001292	AGAP000514	LOC109405109
OG0001293	AGAP029265	LOC109428987, LOC109428986
OG0001294	AGAP006931	LOC109420767, LOC109420768
OG0001296	AGAP006962	LOC115253446, LOC109417626
OG0001297	AGAP002264	LOC115267280
OG0001298	AGAP011458	LOC109418502
OG0001299	AGAP028611	LOC109416152
OG0001300	AGAP012561	LOC134287657
OG0001300	AGAP003502	LOC115269315, LOC115258242
OG0001301	AGAP009825, AGAP009824	LOC109419050
OG0001302	AGAP009997	LOC134286327, LOC109409335, LOC115258647
OG0001303	AGAP006098	LOC115254181
OG0001304	AGAP005124	LOC109423814, LOC109423816
OG0001305	AGAP002872	LOC134287947, LOC134285832
OG0001306	AGAP003629	LOC109410908
OG0001307	AGAP010258	LOC109411157
OG0001308	AGAP006676	LOC109409757, LOC109432166, LOC109409762
OG0001309	AGAP003174, AGAP003175	LOC109412146
OG0001310	AGAP004592	LOC109423622
OG0001311	AGAP000573	LOC115271017
OG0001312	AGAP003409	LOC134284789, LOC115253587, LOC109400069
OG0001313	AGAP000484	LOC109415593
OG0001314	AGAP010355	LOC109418486, LOC134290799
OG0001315	AGAP007498	LOC109410593
OG0001316	AGAP000488	LOC109415596
OG0001317	AGAP013161, AGAP002377	LOC109405223
OG0001318	AGAP003213	LOC109429474
OG0001319	AGAP003765	LOC115253800
OG0001321	AGAP005662	LOC109404943
OG0001322	AGAP005203	LOC109430816
OG0001324	AGAP006367, AGAP006611	LOC109405167
OG0001325	AGAP000140	LOC109408945, LOC109408968, LOC109433597, LOC109431157
OG0001326	AGAP009000	LOC109417777
OG0001327	AGAP000047	LOC109428554, LOC115256775
OG0001328	AGAP013409	LOC109417236, LOC109424745, LOC134288154
OG0001329	AGAP002556	LOC109399298, LOC109433350
OG0001331	AGAP000952	LOC109431357
OG0001332	AGAP001296	LOC109429511
OG0001333	AGAP029620	LOC109405215, LOC109400336
OG0001334	AGAP002649	LOC109429898, LOC109418351
OG0001335	AGAP005962	LOC109425652
OG0001336	AGAP006027, AGAP006026	LOC109622846
OG0001337	AGAP001446	LOC109398792
OG0001338	AGAP001344	LOC109408443
OG0001339	AGAP029545	LOC109411545
OG0001340	AGAP009809	LOC115253815, LOC134284004
OG0001341	AGAP029189	LOC109409870
OG0001342	AGAP029542	LOC109429299
OG0001343	AGAP003939	LOC109425390
OG0001344	AGAP003914	LOC109409584
OG0001345	AGAP000639	LOC109397824
OG0001346	AGAP029103	LOC109429111
OG0001347	AGAP008317	LOC109423693
OG0001348	AGAP008980	LOC109398732
OG0001349	AGAP007452	LOC115261534
OG0001350	AGAP002628	LOC109398757
OG0001351	AGAP029976	LOC109409011
OG0001352	AGAP002079	LOC109431771
OG0001354	AGAP029236	LOC109414240
OG0001355	AGAP008574	LOC134288770, LOC109410234
OG0001356	AGAP029474	LOC134287590, LOC109421539
OG0001357	AGAP029899	LOC134289560, LOC109416894
OG0001358	AGAP029503	LOC109401679
OG0001359	AGAP029651	LOC134289509, LOC109397126
OG0001360	AGAP029538	LOC109621323
OG0001361	AGAP004604	LOC109402379
OG0001362	AGAP009210	LOC109417226
OG0001363	AGAP004982	LOC109423859
OG0001364	AGAP000005	LOC109415242
OG0001366	AGAP000095	LOC134284978
OG0001369	AGAP010922	LOC109433666
OG0001370	AGAP010655	LOC134291765, LOC115264667
OG0001371	AGAP009057	LOC115263025, LOC109410219
OG0001372	AGAP011097	LOC109431036
OG0001373	AGAP000420	LOC109422117
OG0001374	AGAP009638	LOC109427893
OG0001375	AGAP006638	LOC115254608
OG0001376	AGAP005143	LOC109426839
OG0001377	AGAP011479	LOC109401309
OG0001378	AGAP011349	LOC109399634
OG0001379	AGAP003679	LOC109425436
OG0001380	AGAP007719	LOC115255807
OG0001381	AGAP004402	LOC134285580, LOC109417800
OG0001382	AGAP005931	LOC134284445, LOC109416467
OG0001383	AGAP002989	LOC109405057
OG0001384	AGAP000915	LOC115263576
OG0001385	AGAP000383	LOC109433599
OG0001386	AGAP029546	LOC115257876
OG0001388	AGAP002879	LOC109405203
OG0001389	AGAP008899	LOC109420544
OG0001390	AGAP003943	LOC134284141
OG0001391	AGAP000258	LOC134285373
OG0001392	AGAP006721	LOC109398078
OG0001393	AGAP008286	LOC109421628, LOC115265587
OG0001395	AGAP028469	LOC109406231
OG0001396	AGAP005096	LOC109410520
OG0001397	AGAP029112	LOC109426160, LOC109418423
OG0001398	AGAP029897	LOC134287342
OG0001399	AGAP029198, AGAP003459	LOC109404024
OG0001400	AGAP007543	LOC109410014
OG0001402	AGAP008202	LOC109421548
OG0001403	AGAP011177	LOC109431372
OG0001404	AGAP011534	LOC109401891
OG0001405	AGAP012668, AGAP029586	LOC109402372
OG0001406	AGAP007077, AGAP007076	LOC109417578
OG0001408	AGAP002226	LOC109416447
OG0001409	AGAP006235	LOC109409967
OG0001410	AGAP029516	LOC109424724
OG0001411	AGAP006923	LOC134287310, LOC109407909
OG0001412	AGAP012340	LOC109432366, LOC109423073
OG0001413	AGAP006436	LOC134284471, LOC134283931, LOC109623134
OG0001414	AGAP029652	LOC134289566, LOC109432331
OG0001418	AGAP029849	LOC109622675, LOC109417404, LOC115269160, LOC134286195, LOC134286516, LOC115268828
OG0001444	AGAP006205	LOC115254260
OG0001445	AGAP003257	LOC109415316
OG0001446	AGAP013231, AGAP012662	LOC109430394, LOC109430401
OG0001447	AGAP002476	LOC109400053
OG0001448	AGAP003202, AGAP003201	LOC134284498, LOC109430466
OG0001449	AGAP000569	LOC134288003, LOC134284401, LOC109413202
OG0001450	AGAP005673	LOC134283904, LOC109402569
OG0001451	AGAP009639	LOC109412699, LOC109427211, LOC115254074
OG0001452	AGAP003867	LOC115261415
OG0001453	AGAP001789, AGAP012732	LOC109401790
OG0001454	AGAP012391	LOC109426047
OG0001455	AGAP008570	LOC109417637
OG0001456	AGAP010422	LOC109411415, LOC109411417, LOC115267899
OG0001458	AGAP009823	LOC115258944
OG0001459	AGAP012012	LOC109410753
OG0001460	AGAP010573	LOC109410759
OG0001461	AGAP013536, AGAP003991, AGAP003990	LOC134291262, LOC109410390
OG0001462	AGAP001501	LOC109417375, LOC109410397
OG0001463	AGAP002494	LOC109411214
OG0001464	AGAP005178	LOC115255401, LOC109411220
