Orthogroup	AgambiaePEST	AaegyptiLVP_AGWG
OG0001678	AGAP001030	AAEL009471, AAEL009458
OG0001679	AGAP029239	AAEL009466
OG0001680	AGAP002954	AAEL023741, AAEL009469
OG0001681	AGAP011350	AAEL009503, AAEL020495
OG0001682	AGAP009002	AAEL009588
OG0001683	AGAP004532	AAEL009634
OG0001684	AGAP004533	AAEL009637
OG0001685	AGAP013294	AAEL009639
OG0001685	AGAP004306	AAEL026149
OG0001686	AGAP029562	AAEL025383, AAEL009701
OG0001687	AGAP010377	AAEL009757, AAEL009751
OG0001688	AGAP010370	AAEL009753
OG0001689	AGAP013021	AAEL009763
OG0001690	AGAP000425	AAEL009779
OG0001691	AGAP001197	AAEL009850
OG0001692	AGAP000901	AAEL028144, AAEL009872
OG0001693	AGAP010675	AAEL009894, AAEL012911
OG0001694	AGAP004646	AAEL009950
OG0001695	AGAP004097	AAEL010008, AAEL026984
OG0001696	AGAP002181	AAEL010062
OG0001697	AGAP012779, AGAP012902, AGAP004964	AAEL010090
OG0001698	AGAP003224, AGAP012820	AAEL011805, AAEL010110
OG0001699	AGAP008814	AAEL021547, AAEL024827, AAEL010226
OG0001700	AGAP008113	AAEL010260
OG0001701	AGAP008117	AAEL010266
OG0001702	AGAP029772	AAEL010283
OG0001704	AGAP029632	AAEL010311
OG0001705	AGAP012001	AAEL010354
OG0001706	AGAP012004	AAEL010355
OG0001707	AGAP006222, AGAP006223	AAEL010390, AAEL010381
OG0001708	AGAP006227	AAEL010389
OG0001709	AGAP013023, AGAP012972	AAEL010422
OG0001710	AGAP010794	AAEL021184, AAEL010511
OG0001711	AGAP012471, AGAP000575	AAEL010568
OG0001712	AGAP000967	AAEL010571, AAEL026067
OG0001713	AGAP005629	AAEL010593
OG0001714	AGAP009737	AAEL010742, AAEL024119
OG0001715	AGAP028433	AAEL010757
OG0001716	AGAP029791, AGAP009586	AAEL010771
OG0001717	AGAP009583	AAEL010778
OG0001718	AGAP003595	AAEL010827
OG0001719	AGAP005176	AAEL010855
OG0001720	AGAP012809, AGAP004266	AAEL021416, AAEL011123
OG0001721	AGAP002929	AAEL024207, AAEL011124
OG0001722	AGAP012705, AGAP003900	AAEL011157
OG0001723	AGAP003898	AAEL011159
OG0001724	AGAP005531	AAEL011271
OG0001725	AGAP007138	AAEL011345
OG0001726	AGAP006120	AAEL011349
OG0001727	AGAP006572, AGAP000118	AAEL011379
OG0001728	AGAP011677	AAEL011382
OG0001729	AGAP007859, AGAP007856	AAEL011411, AAEL012903
OG0001730	AGAP029989	AAEL011436
OG0001731	AGAP006279	AAEL011500
OG0001732	AGAP004757	AAEL011560
OG0001733	AGAP004754	AAEL011562
OG0001734	AGAP002268	AAEL011566
OG0001736	AGAP012787, AGAP003464	AAEL011697
OG0001737	AGAP010351	AAEL025949, AAEL021786, AAEL011731
OG0001738	AGAP000463	AAEL011751, AAEL023265
OG0001739	AGAP000948	AAEL011754, AAEL023977
OG0001740	AGAP028399	AAEL011768, AAEL011771
OG0001741	AGAP002552	AAEL011808, AAEL027830
OG0001742	AGAP000284	AAEL011850
OG0001743	AGAP008838	AAEL011989
OG0001744	AGAP008835	AAEL011991
OG0001745	AGAP008836	AAEL011993
OG0001746	AGAP008834	AAEL011996
OG0001747	AGAP004882, AGAP012660	AAEL012016
OG0001748	AGAP002295	AAEL027882
OG0001749	AGAP005125	AAEL021939, AAEL012178
OG0001750	AGAP000646	AAEL012233
OG0001751	AGAP011819	AAEL012324
OG0001752	AGAP001652	AAEL022520, AAEL012341
OG0001753	AGAP011717	AAEL012410
OG0001754	AGAP011847	AAEL012501
OG0001755	AGAP009650	AAEL012525
OG0001756	AGAP006328	AAEL012539
OG0001757	AGAP001653	AAEL012552
OG0001758	AGAP008916	AAEL021254, AAEL012585
OG0001759	AGAP008914	AAEL012671
OG0001760	AGAP000670	AAEL012710, AAEL012715
OG0001761	AGAP000572	AAEL012711, AAEL012713, AAEL026876
OG0001762	AGAP029815	AAEL012717
OG0001763	AGAP007722	AAEL012731
OG0001764	AGAP006665	AAEL012751
OG0001765	AGAP006669	AAEL012756
OG0001766	AGAP002508	AAEL018249, AAEL012783
OG0001767	AGAP001422	AAEL012822
OG0001768	AGAP006925	AAEL012823
OG0001769	AGAP001421	AAEL012826
OG0001771	AGAP009680	AAEL013151
OG0001772	AGAP009009	AAEL013157, AAEL013152
OG0001773	AGAP001819	AAEL013197
OG0001774	AGAP001810	AAEL026895, AAEL013199
OG0001775	AGAP008412	AAEL013253
OG0001776	AGAP006384	AAEL013278
OG0001777	AGAP008511	AAEL013366
OG0001778	AGAP013121	AAEL013424
OG0001779	AGAP011817	AAEL013478
OG0001780	AGAP011816	AAEL013479
OG0001781	AGAP001584	AAEL013527
OG0001782	AGAP003030	AAEL013613
OG0001783	AGAP004504	AAEL013724
OG0001784	AGAP007082	AAEL013744
OG0001785	AGAP001658	AAEL013758
OG0001786	AGAP029704	AAEL013776
OG0001787	AGAP000338	AAEL013814
OG0001788	AGAP007210	AAEL013872
OG0001789	AGAP007209	AAEL013875
OG0001790	AGAP000791	AAEL013883
OG0001791	AGAP002760	AAEL013962
OG0001792	AGAP005789, AGAP005864	AAEL020316, AAEL013974
OG0001793	AGAP007001	AAEL028215, AAEL013994
OG0001794	AGAP007002	AAEL013998, AAEL027973
OG0001795	AGAP000840	AAEL014009
OG0001796	AGAP006045	AAEL014022
OG0001797	AGAP006408	AAEL014027
OG0001798	AGAP001586	AAEL014054, AAEL025786
OG0001799	AGAP002094	AAEL014059
OG0001800	AGAP008515	AAEL025776, AAEL014216
OG0001801	AGAP007374	AAEL014246, AAEL014244
OG0001802	AGAP004631	AAEL014271
OG0001803	AGAP000699	AAEL014272
OG0001804	AGAP008155	AAEL014284
OG0001805	AGAP002090	AAEL014303
OG0001806	AGAP006063	AAEL024066, AAEL014318
OG0001807	AGAP008944	AAEL014326
OG0001808	AGAP005243	AAEL014340
OG0001809	AGAP009832	AAEL014348
OG0001810	AGAP009844	AAEL014349
OG0001811	AGAP003766	AAEL014435
OG0001812	AGAP000618	AAEL014505
OG0001813	AGAP007205	AAEL014577
OG0001814	AGAP007204	AAEL014578, AAEL023117
OG0001815	AGAP009025	AAEL014653
OG0001816	AGAP007032	AAEL014774
OG0001817	AGAP029480	AAEL014824
OG0001818	AGAP005700	AAEL014851
OG0001819	AGAP000389	AAEL024910, AAEL014853
OG0001820	AGAP007724	AAEL014863
OG0001821	AGAP006460	AAEL015118
OG0001822	AGAP029455	AAEL015255
OG0001823	AGAP007510	AAEL020424, AAEL015402
OG0001824	AGAP010040, AGAP012657	AAEL015557
OG0001825	AGAP000507	AAEL015640
OG0001826	AGAP009857	AAEL017327, AAEL017097, AAEL017230
OG0001827	AGAP029802	AAEL017167
OG0001828	AGAP007775	AAEL023345, AAEL017186
OG0001829	AGAP029752, AGAP029751	AAEL017251
OG0001830	AGAP005064	AAEL017356
OG0001831	AGAP000029	AAEL017391
OG0001832	AGAP011859	AAEL017512
OG0001833	AGAP008807, AGAP008810	AAEL018103, AAEL026175
OG0001834	AGAP029579	AAEL018114
OG0001835	AGAP004572	AAEL018141
OG0001836	AGAP009709, AGAP009708	AAEL024668, AAEL018183
OG0001837	AGAP004507	AAEL018215
OG0001838	AGAP012123	AAEL018227
OG0001839	AGAP029911	AAEL018232
OG0001840	AGAP000835, AGAP004972, AGAP004973	AAEL018263
OG0001841	AGAP012771, AGAP007305	AAEL018302
OG0001842	AGAP028640, AGAP012729	AAEL018310
OG0001843	AGAP001690	AAEL018324
OG0001844	AGAP012693, AGAP029564	AAEL019406
OG0001845	AGAP029052	AAEL023349, AAEL019418
OG0001846	AGAP029630	AAEL019420, AAEL019419
OG0001847	AGAP028004	AAEL019421
OG0001848	AGAP013441	AAEL019425
OG0001849	AGAP011134	AAEL019457
OG0001850	AGAP029570	AAEL019467
OG0001851	AGAP029498	AAEL019491
OG0001852	AGAP011143	AAEL019502
OG0001853	AGAP010646, AGAP012576	AAEL019515, AAEL021312
OG0001854	AGAP011811	AAEL019543
OG0001855	AGAP029584	AAEL019551
OG0001856	AGAP010201	AAEL019553
OG0001857	AGAP002986	AAEL019566
OG0001858	AGAP013547, AGAP007493	AAEL027018, AAEL019593
OG0001859	AGAP001645	AAEL019600, AAEL022282, AAEL023044
OG0001860	AGAP003901	AAEL019610
OG0001861	AGAP007608	AAEL019617
OG0001862	AGAP001583	AAEL025304, AAEL019619
OG0001863	AGAP004892	AAEL019632
OG0001864	AGAP009577	AAEL019640
OG0001865	AGAP000577	AAEL019656
OG0001866	AGAP001608	AAEL019671
OG0001867	AGAP008318	AAEL019680
OG0001868	AGAP002382	AAEL019686
OG0001869	AGAP010442	AAEL019704
OG0001870	AGAP013204	AAEL019721, AAEL021660
OG0001871	AGAP005150, AGAP029363	AAEL019723
OG0001872	AGAP002469	AAEL027062, AAEL019734
OG0001873	AGAP002553	AAEL019738, AAEL022521
OG0001874	AGAP003355	AAEL019743
OG0001875	AGAP005465	AAEL019757
OG0001876	AGAP002315	AAEL019779
OG0001877	AGAP004446, AGAP004447	AAEL019784
OG0001878	AGAP029127	AAEL019813
OG0001879	AGAP011547	AAEL019816
OG0001880	AGAP002431	AAEL019872
OG0001881	AGAP006994	AAEL019888
OG0001882	AGAP028024, AGAP007946	AAEL019914
OG0001883	AGAP006089	AAEL019934
OG0001884	AGAP009060	AAEL019942, AAEL019943
OG0001885	AGAP003727	AAEL020938, AAEL019995
OG0001886	AGAP001083	AAEL020006
OG0001887	AGAP012187, AGAP000471	AAEL020075
OG0001889	AGAP029657	AAEL020236
OG0001890	AGAP028133, AGAP028598	AAEL020259
OG0001891	AGAP008996	AAEL020367, AAEL027037
OG0001892	AGAP013157	AAEL020427
OG0001893	AGAP011965	AAEL020670, AAEL026210
OG0001894	AGAP000626	AAEL020781, AAEL024786, AAEL024800
OG0001895	AGAP007250	AAEL024451, AAEL020804
OG0001896	AGAP012600, AGAP009890	AAEL020847
OG0001897	AGAP000236	AAEL021006
OG0001898	AGAP000537	AAEL021019
OG0001899	AGAP008285	AAEL021029
OG0001901	AGAP007792	AAEL022782, AAEL021202
OG0001902	AGAP004310	AAEL021288
OG0001905	AGAP001064	AAEL021386
OG0001906	AGAP003678	AAEL021402, AAEL024170, AAEL025488
OG0001907	AGAP011720	AAEL021419
OG0001908	AGAP002554	AAEL026022, AAEL021519
OG0001909	AGAP008090	AAEL021548
OG0001910	AGAP010359	AAEL021574
OG0001912	AGAP011746	AAEL021655, AAEL023077
OG0001913	AGAP000620	AAEL021676
OG0001914	AGAP005030	AAEL021748
OG0001915	AGAP003118	AAEL024321, AAEL022608, AAEL021767
OG0001916	AGAP013266	AAEL021771
OG0001917	AGAP001974	AAEL021925
OG0001918	AGAP000850	AAEL021955, AAEL028133
OG0001919	AGAP005658	AAEL022200
OG0001920	AGAP001814	AAEL022248
OG0001921	AGAP003258	AAEL022316
OG0001922	AGAP028455, AGAP006377	AAEL022351
OG0001923	AGAP007137	AAEL022431
OG0001924	AGAP009950	AAEL022611
OG0001925	AGAP000023	AAEL022632, AAEL023223
OG0001926	AGAP013491, AGAP000629	AAEL022657, AAEL026213
OG0001927	AGAP006973, AGAP006972	AAEL022658
OG0001928	AGAP007089	AAEL026719, AAEL022716
OG0001929	AGAP000619	AAEL022855
OG0001930	AGAP005647	AAEL022893, AAEL025265
OG0001931	AGAP000949	AAEL024358, AAEL022938
OG0001932	AGAP029479	AAEL022967, AAEL025768, AAEL023043, AAEL027428, AAEL026079, AAEL028036
OG0001933	AGAP002256	AAEL024674, AAEL023115
OG0001934	AGAP005438	AAEL023151
OG0001935	AGAP008692	AAEL023352
OG0001937	AGAP007349	AAEL023471
OG0001938	AGAP012255	AAEL023498
OG0001939	AGAP001231	AAEL023502, AAEL025398
OG0001940	AGAP001015	AAEL023745
OG0001941	AGAP000334	AAEL023750, AAEL026150, AAEL024982
OG0001942	AGAP005165	AAEL023810
OG0001943	AGAP001726	AAEL026260, AAEL023943
OG0001944	AGAP011812	AAEL023989
OG0001945	AGAP013210	AAEL024005
OG0001946	AGAP000932	AAEL027002, AAEL024101
OG0001948	AGAP028653	AAEL024258
OG0001949	AGAP009514	AAEL024480
OG0001950	AGAP006260	AAEL024598
OG0001951	AGAP012764	AAEL025046
OG0001951	AGAP009389	AAEL024618
OG0001952	AGAP006151	AAEL024623
OG0001953	AGAP029520	AAEL024710
OG0001954	AGAP007005	AAEL024713
OG0001955	AGAP013739, AGAP013762	AAEL024788
OG0001956	AGAP000430	AAEL025473, AAEL025076
OG0001957	AGAP005680	AAEL025133, AAEL026994
OG0001958	AGAP011170	AAEL025230
OG0001959	AGAP029626	AAEL025353
OG0001960	AGAP002006	AAEL025443
OG0001961	AGAP009497	AAEL025578, AAEL025984
OG0001962	AGAP010265	AAEL025606
OG0001963	AGAP012921, AGAP009575	AAEL026618, AAEL025692
OG0001964	AGAP006415	AAEL026074
OG0001965	AGAP011779	AAEL026170
OG0001966	AGAP002803	AAEL026291
OG0001968	AGAP004774	AAEL026355
OG0001969	AGAP007155	AAEL026388, AAEL028233
OG0001970	AGAP002949	AAEL026710
OG0001971	AGAP011375	AAEL026716, AAEL027637
OG0001972	AGAP004784	AAEL026746
OG0001973	AGAP029708, AGAP029707	AAEL026751
OG0001974	AGAP013397	AAEL026796
OG0001975	AGAP029549	AAEL026846
OG0001976	AGAP001696	AAEL026945
OG0001977	AGAP000185	AAEL027527
OG0001978	AGAP008247, AGAP012476	AAEL027566
OG0001979	AGAP003872	AAEL027644
OG0001980	AGAP012953, AGAP000275	AAEL027654
OG0001981	AGAP029553	AAEL028004
OG0001982	AGAP000385	AAEL028021
OG0001983	AGAP009064, AGAP000441	AAEL028129
OG0001984	AGAP011303, AGAP011305	AAEL029070, AAEL029071
OG0002027	AGAP003346, AGAP012877	AAEL000008
OG0002028	AGAP002921	AAEL002639, AAEL000010
OG0002029	AGAP002919	AAEL000032
OG0002030	AGAP013354	AAEL000036
OG0002031	AGAP006662	AAEL000049
OG0002032	AGAP004459	AAEL000091
OG0002033	AGAP028610	AAEL000098
OG0002034	AGAP012746, AGAP003514	AAEL000102
OG0002035	AGAP003331	AAEL000109, AAEL025680
OG0002036	AGAP012981, AGAP003200	AAEL000159
OG0002037	AGAP004727	AAEL000162
OG0002038	AGAP001099	AAEL000181
OG0002039	AGAP010449, AGAP010447	AAEL000186
OG0002040	AGAP013094	AAEL000188
OG0002041	AGAP012610, AGAP012481	AAEL000193
OG0002042	AGAP010458	AAEL000206, AAEL004665
OG0002043	AGAP005228	AAEL000221
OG0002044	AGAP000069	AAEL000236
OG0002045	AGAP000360	AAEL021776, AAEL000243
OG0002046	AGAP010681	AAEL000258
OG0002047	AGAP006671	AAEL000267
OG0002048	AGAP012853, AGAP012137	AAEL000272
OG0002049	AGAP028154	AAEL000291
OG0002050	AGAP006571	AAEL000327
OG0002051	AGAP002138	AAEL000340
OG0002052	AGAP011085	AAEL000343
OG0002053	AGAP006574	AAEL000362
OG0002054	AGAP012403	AAEL000397, AAEL027318
OG0002055	AGAP000244, AGAP003550	AAEL000416
OG0002056	AGAP013233	AAEL000424
OG0002057	AGAP003548	AAEL000440, AAEL023005
OG0002058	AGAP002085	AAEL027802, AAEL000445
OG0002059	AGAP004434	AAEL000452
OG0002060	AGAP003547	AAEL000457
OG0002061	AGAP013167	AAEL000460, AAEL020197
OG0002062	AGAP002725	AAEL000464
OG0002063	AGAP003232	AAEL000510
OG0002064	AGAP028415	AAEL000550
OG0002065	AGAP011319	AAEL000551
OG0002066	AGAP011324	AAEL000559
OG0002067	AGAP012751, AGAP001609	AAEL000590
OG0002068	AGAP001603	AAEL000593
OG0002069	AGAP009733	AAEL000618
OG0002070	AGAP011984	AAEL021450, AAEL000646
OG0002071	AGAP012394, AGAP012395	AAEL000670
OG0002072	AGAP004371, AGAP012860	AAEL000716
OG0002073	AGAP006657	AAEL000721
OG0002074	AGAP006658	AAEL000724
OG0002075	AGAP006660	AAEL000746
OG0002076	AGAP006659	AAEL000750
OG0002077	AGAP011858	AAEL000755
OG0002078	AGAP002603	AAEL020913, AAEL000825
OG0002079	AGAP002601	AAEL000849, AAEL027279
OG0002080	AGAP013296	AAEL000852, AAEL022708
OG0002081	AGAP011762	AAEL000883
OG0002082	AGAP010928	AAEL000897
OG0002083	AGAP012368	AAEL000924
OG0002084	AGAP004292	AAEL000925
OG0002085	AGAP005761	AAEL000933
OG0002086	AGAP011900	AAEL000938
OG0002087	AGAP010595	AAEL000940, AAEL022151
OG0002088	AGAP010558	AAEL000942
OG0002089	AGAP010572	AAEL024591, AAEL000950
OG0002090	AGAP010613, AGAP010612	AAEL000951
OG0002091	AGAP005762	AAEL000953
OG0002092	AGAP011897	AAEL007879, AAEL000961
OG0002093	AGAP009822	AAEL026006, AAEL028134, AAEL000964
OG0002094	AGAP028580, AGAP012019	AAEL000967
OG0002095	AGAP003294	AAEL000978
OG0002096	AGAP005803	AAEL000994
OG0002097	AGAP005800	AAEL000999
OG0002098	AGAP002021	AAEL001000
OG0002099	AGAP002193	AAEL001007
OG0002100	AGAP003003	AAEL001044
OG0002101	AGAP002672	AAEL001060
OG0002102	AGAP029803	AAEL001085
OG0002103	AGAP000631	AAEL001099
OG0002104	AGAP012251	AAEL001113
OG0002105	AGAP009841	AAEL001154
OG0002106	AGAP009620	AAEL021364, AAEL001162
OG0002107	AGAP009619	AAEL025170, AAEL001176
OG0002108	AGAP008652	AAEL020244, AAEL001182
OG0002109	AGAP004834	AAEL001184
OG0002110	AGAP010204	AAEL001191, AAEL020438
OG0002111	AGAP009702	AAEL001199, AAEL020222
OG0002112	AGAP000874	AAEL001228
OG0002113	AGAP009004	AAEL001238
OG0002114	AGAP006088	AAEL001241
OG0002115	AGAP004942	AAEL001245
OG0002116	AGAP005606	AAEL001254
OG0002117	AGAP005600	AAEL001257
OG0002118	AGAP004863	AAEL001268
OG0002119	AGAP006968, AGAP006115	AAEL001281
OG0002120	AGAP000046	AAEL020619, AAEL001289
OG0002121	AGAP009364, AGAP009376, AGAP029881	AAEL001308
OG0002122	AGAP012523	AAEL001317
OG0002123	AGAP007325	AAEL001356
OG0002124	AGAP005141	AAEL001359
OG0002125	AGAP009136	AAEL001368
OG0002126	AGAP005325	AAEL001378
OG0002127	AGAP005111	AAEL001389
OG0002128	AGAP007395	AAEL001397
OG0002129	AGAP007418	AAEL001422
OG0002130	AGAP007400	AAEL001423
OG0002131	AGAP007405, AGAP007402	AAEL001425
OG0002132	AGAP007399	AAEL023408, AAEL001426
OG0002133	AGAP007450	AAEL001428
OG0002134	AGAP005309, AGAP000633	AAEL001446
OG0002135	AGAP008881	AAEL001472
OG0002136	AGAP008302	AAEL001474
OG0002137	AGAP009930	AAEL001475
OG0002138	AGAP007849	AAEL001493
OG0002139	AGAP008353	AAEL001497
OG0002140	AGAP010209	AAEL001500
OG0002141	AGAP008312	AAEL001505
OG0002142	AGAP008882	AAEL001506
OG0002143	AGAP011562	AAEL001513
OG0002144	AGAP011573	AAEL001518
OG0002145	AGAP029534	AAEL001526
OG0002146	AGAP007586	AAEL001541
OG0002149	AGAP007710	AAEL001557
OG0002150	AGAP007598	AAEL001559
OG0002151	AGAP007618	AAEL001573
OG0002152	AGAP007593	AAEL001593
OG0002153	AGAP008728	AAEL001636
OG0002154	AGAP007809	AAEL001649
OG0002155	AGAP005065	AAEL008769, AAEL001693
OG0002156	AGAP008246, AGAP012477	AAEL001707
OG0002157	AGAP006014	AAEL001736
OG0002158	AGAP012763, AGAP005056	AAEL001751
OG0002159	AGAP005051, AGAP012825	AAEL001764
OG0002160	AGAP009019	AAEL001797, AAEL022985
OG0002161	AGAP008711	AAEL001808
OG0002162	AGAP009020	AAEL026493, AAEL001810
OG0002163	AGAP008359	AAEL001813
OG0002164	AGAP008705	AAEL001832
OG0002165	AGAP007778	AAEL001847
OG0002166	AGAP010210	AAEL026860, AAEL001852
OG0002167	AGAP010137, AGAP010136	AAEL001856
OG0002168	AGAP007781	AAEL001864
OG0002169	AGAP007780	AAEL001865
OG0002170	AGAP010139	AAEL001869
OG0002171	AGAP009834	AAEL001874
OG0002172	AGAP010138	AAEL020591, AAEL001875
OG0002173	AGAP009144	AAEL001888
OG0002174	AGAP008985	AAEL001896
OG0002175	AGAP009146	AAEL019903, AAEL019902, AAEL001897
OG0002176	AGAP009156	AAEL001913, AAEL020754
OG0002177	AGAP011523	AAEL001920
OG0002178	AGAP011521	AAEL023816, AAEL001952
OG0002179	AGAP008048	AAEL021869, AAEL001962
OG0002180	AGAP008064	AAEL001978
OG0002181	AGAP008044	AAEL002016
OG0002182	AGAP008086	AAEL021392, AAEL002068
OG0002183	AGAP008084	AAEL002079
OG0002184	AGAP003394	AAEL002132
OG0002185	AGAP003856	AAEL002134
OG0002186	AGAP001430	AAEL002142
OG0002187	AGAP003099	AAEL002165
OG0002188	AGAP003098	AAEL002167
OG0002189	AGAP000622	AAEL012075, AAEL002178
OG0002190	AGAP009307	AAEL002215
OG0002191	AGAP008195	AAEL002216
OG0002192	AGAP009306	AAEL002220
OG0002193	AGAP029408, AGAP008481	AAEL002232
OG0002194	AGAP006446	AAEL002248, AAEL027046
OG0002195	AGAP005939	AAEL002250
OG0002196	AGAP006445	AAEL002271
OG0002197	AGAP012425	AAEL002307, AAEL002295
OG0002198	AGAP010956	AAEL002312
OG0002199	AGAP010728	AAEL002318, AAEL020455
OG0002200	AGAP007145	AAEL002322
OG0002201	AGAP005344	AAEL002324
OG0002202	AGAP005347	AAEL002329
OG0002203	AGAP006945	AAEL002341
OG0002204	AGAP000056	AAEL002343
OG0002205	AGAP007143	AAEL002345
OG0002206	AGAP005346	AAEL002355
OG0002207	AGAP009811	AAEL002387, AAEL025830
OG0002208	AGAP009662	AAEL002390
OG0002209	AGAP009685	AAEL002399
OG0002210	AGAP008837	AAEL002401
OG0002211	AGAP005763	AAEL002404
OG0002212	AGAP004384, AGAP012507	AAEL002412
OG0002213	AGAP003081	AAEL002433, AAEL024815
OG0002214	AGAP011412	AAEL002438
OG0002215	AGAP000779	AAEL002451
OG0002216	AGAP005155	AAEL021792, AAEL002463
OG0002217	AGAP007168	AAEL002483
OG0002218	AGAP007841	AAEL002504
OG0002219	AGAP000788	AAEL002537
OG0002220	AGAP004068	AAEL002543, AAEL023018
OG0002221	AGAP001638	AAEL002560
OG0002222	AGAP001636	AAEL002569
OG0002223	AGAP010471	AAEL002578
OG0002224	AGAP002985	AAEL002581
OG0002225	AGAP012322	AAEL002591, AAEL002605
OG0002226	AGAP011797	AAEL002597, AAEL023576
OG0002227	AGAP004261	AAEL002602, AAEL011967
OG0002228	AGAP029971, AGAP029972	AAEL002613
OG0002229	AGAP012317	AAEL022118, AAEL002615
OG0002230	AGAP008749	AAEL002645
OG0002231	AGAP008738	AAEL002652
OG0002232	AGAP001749	AAEL002701
OG0002233	AGAP007706	AAEL002714
OG0002234	AGAP005578	AAEL002752
OG0002235	AGAP004413, AGAP004427	AAEL002775
OG0002236	AGAP002605	AAEL002782
OG0002237	AGAP002400	AAEL002783
OG0002238	AGAP002913	AAEL002815, AAEL022913
OG0002239	AGAP002908	AAEL002818
OG0002240	AGAP001417	AAEL002860
OG0002241	AGAP002653	AAEL002867, AAEL017409, AAEL026318, AAEL024386
OG0002242	AGAP012819, AGAP004394	AAEL002870
OG0002243	AGAP010635, AGAP010662, AGAP010415	AAEL021181, AAEL002880, AAEL027048
OG0002244	AGAP001043	AAEL002887
OG0002245	AGAP029936	AAEL002888
OG0002246	AGAP001040	AAEL002905, AAEL009418
OG0002247	AGAP001745	AAEL002906
OG0002248	AGAP013500	AAEL002921
OG0002249	AGAP007147	AAEL002933
OG0002250	AGAP003466	AAEL020993, AAEL002949
OG0002251	AGAP003472, AGAP003467	AAEL002961
OG0002252	AGAP003465	AAEL024580, AAEL002962
OG0002253	AGAP011637	AAEL002980, AAEL021837
OG0002254	AGAP001438	AAEL002988
OG0002255	AGAP012837, AGAP004100	AAEL002993, AAEL021617
OG0002256	AGAP001434	AAEL003003
OG0002257	AGAP003367, AGAP012823	AAEL003011
OG0002258	AGAP003930	AAEL003018
OG0002259	AGAP000819	AAEL003020
OG0002260	AGAP000754	AAEL003032
OG0002261	AGAP005742	AAEL024996, AAEL003063
OG0002262	AGAP006413	AAEL003064
OG0002263	AGAP006410	AAEL003067
OG0002264	AGAP005743	AAEL003071
OG0002265	AGAP005343	AAEL003089
OG0002266	AGAP000145	AAEL003103
OG0002267	AGAP006780	AAEL003125
OG0002268	AGAP010557	AAEL003130
OG0002269	AGAP028584, AGAP010555	AAEL003131
OG0002270	AGAP012028	AAEL026506, AAEL003136
OG0002271	AGAP010575	AAEL003140
OG0002272	AGAP010556	AAEL003143
OG0002273	AGAP011745	AAEL022327, AAEL003145
OG0002274	AGAP012690, AGAP012822, AGAP010176	AAEL003151
OG0002275	AGAP003405	AAEL003161
OG0002276	AGAP010181	AAEL003174
OG0002277	AGAP004103	AAEL003183
OG0002278	AGAP004107	AAEL003184
OG0002279	AGAP004104	AAEL029111, AAEL003192
OG0002280	AGAP001723	AAEL003198, AAEL026956
OG0002281	AGAP001716	AAEL003208, AAEL019417
OG0002282	AGAP005283	AAEL003214
OG0002283	AGAP009868	AAEL003216
OG0002284	AGAP005290	AAEL003229
OG0002285	AGAP009266	AAEL003237
OG0002286	AGAP009161	AAEL003246
OG0002287	AGAP009163	AAEL003264
OG0002288	AGAP009162	AAEL003269
OG0002289	AGAP005269	AAEL003275
OG0002290	AGAP005281	AAEL003277
OG0002291	AGAP009032	AAEL003282
OG0002292	AGAP011306	AAEL003301
OG0002293	AGAP004724	AAEL028035, AAEL003320
OG0002294	AGAP008149	AAEL003326
OG0002295	AGAP008150	AAEL003344
OG0002296	AGAP008166	AAEL003346
OG0002297	AGAP000714	AAEL003353
OG0002298	AGAP001942	AAEL003365
OG0002299	AGAP001872	AAEL003367
OG0002300	AGAP001939	AAEL003377
OG0002301	AGAP001865	AAEL003397, AAEL024180
OG0002302	AGAP002124	AAEL003398
OG0002304	AGAP011842	AAEL003418
OG0002305	AGAP029957	AAEL003432
OG0002306	AGAP011948	AAEL003443
OG0002307	AGAP028630	AAEL017549, AAEL003448
OG0002308	AGAP007391	AAEL024469, AAEL003452
OG0002309	AGAP007728	AAEL003461, AAEL024690
OG0002310	AGAP004758	AAEL003485, AAEL011554
OG0002311	AGAP001615	AAEL003495
OG0002312	AGAP006386	AAEL003505
OG0002313	AGAP012887, AGAP012088	AAEL003509
OG0002314	AGAP008839	AAEL003516
OG0002315	AGAP012119	AAEL003517
OG0002316	AGAP012120	AAEL003526
OG0002317	AGAP008845	AAEL003529
OG0002318	AGAP007740	AAEL003530, AAEL005027
OG0002319	AGAP008844	AAEL003541, AAEL026564
OG0002320	AGAP008847	AAEL003546
OG0002321	AGAP003571	AAEL003564, AAEL003568
OG0002322	AGAP003573	AAEL003570
OG0002323	AGAP006472	AAEL024927, AAEL024689, AAEL028067, AAEL003594
OG0002325	AGAP003050	AAEL003611
OG0002326	AGAP001464	AAEL003646
OG0002328	AGAP009907	AAEL027460, AAEL003666
OG0002329	AGAP001468	AAEL003698
OG0002330	AGAP006648	AAEL003736
OG0002331	AGAP003707	AAEL024850, AAEL003749
OG0002332	AGAP003424	AAEL022058, AAEL003754
OG0002333	AGAP003706	AAEL003755, AAEL020229
OG0002334	AGAP003700	AAEL003769
OG0002335	AGAP003705	AAEL003771, AAEL022498
OG0002336	AGAP013281	AAEL003772
OG0002337	AGAP000264	AAEL003812
OG0002338	AGAP004736	AAEL003813, AAEL023552
OG0002339	AGAP010750	AAEL003837
OG0002340	AGAP001752	AAEL003896
OG0002341	AGAP001757	AAEL003901
OG0002342	AGAP001685	AAEL003908, AAEL025153
